{' Yes': -0.004563751, 'Yes': -5.56492, ' Generally': -7.484099, ' yes': -9.14964, ' ': -11.00072}
{' Yes': -0.0071964324, 'Yes': -5.4201965, ' Generally': -6.038736, ' yes': -8.810816, ' An': -9.841324}
{' Yes': -0.0066946056, 'Yes': -5.2354813, ' Generally': -7.0023527, ' yes': -8.571734, ' Ant': -9.067878}
{' Yes': -0.019923523, 'Yes': -4.0977583, ' Generally': -6.1209054, ' yes': -7.8562384, ' ': -8.684213}
{' Yes': -0.019604657, 'Yes': -3.9907632, ' Generally': -7.9367127, ' yes': -8.457824, ' Ant': -8.766227}
{' Yes': -0.024063328, 'Yes': -3.819187, ' yes': -7.746723, ' Generally': -7.7521305, ' ': -7.8034835}
{' Yes': -0.03137806, 'Yes': -3.5269282, ' ': -7.7163925, ' yes': -8.157619, ' Generally': -8.340886}
{' Yes': -0.006754672, 'Yes': -5.3824964, ' Generally': -6.438262, ' yes': -8.597475, ' An': -8.7338}
{' Yes': -0.0111879995, 'Yes': -4.6750593, ' Ant': -7.1864476, ' Generally': -7.397632, ' yes': -8.235972}
{' Yes': -0.12241511, 'Yes': -3.2811675, ' No': -3.6915698, ' Generally': -3.9960437, '\n': -4.442737}
{' Yes': -0.039468758, 'Yes': -3.3982236, ' Generally': -6.548092, ' ': -6.6646214, '\n': -6.7996216}
{' Yes': -0.020025438, 'Yes': -4.2203465, ' Generally': -5.775276, ' yes': -7.1163554, ' ': -7.905927}
{' Yes': -0.024021994, 'Yes': -3.8634992, ' yes': -7.172096, ' Ant': -7.3042207, ' Generally': -7.411472}
{' Yes': -0.0036985336, 'Yes': -5.8768883, ' yes': -7.6233306, ' ': -8.385412, '\n': -9.223661}
{' Yes': -0.003495623, 'Yes': -5.9044943, ' yes': -7.9383383, '\n': -8.491866, ' ': -8.821914}
{' Yes': -0.018435841, 'Yes': -4.197137, ' ': -7.021922, '\n': -7.0595865, ' yes': -7.2661886}
{' Yes': -0.013841706, 'Yes': -4.3691025, ' yes': -7.7781386, ' ': -8.080811, '\n': -8.629501}
{' Yes': -0.054204933, 'Yes': -3.3587208, '\n': -4.452268, ' ': -5.5128436, ' yes': -6.6128144}
{' Yes': -0.09827166, '\n': -3.0971997, 'Yes': -3.341691, ' ': -4.820031, ' Ant': -6.126717}
{' Yes': -0.0042028143, 'Yes': -5.624428, ' yes': -8.124567, ' ': -8.404691, '\n': -10.259705}
{' Yes': -0.003419365, 'Yes': -5.791074, ' yes': -8.478631, ' ': -9.231359, '\n': -10.502963}
{' Yes': -0.12186972, 'Yes': -2.3974931, ' ': -4.8247848, '\n': -4.8428397, ' yes': -5.7032194}
{' Yes': -0.10732776, 'Yes': -2.4585927, '\n': -5.14561, ' ': -5.289214, ' yes': -6.0734663}
{' Yes': -0.020969111, 'Yes': -4.3871403, ' yes': -5.0190043, ' ': -6.9832854, '\n': -8.287704}
{' Yes': -0.023476453, 'Yes': -4.234179, ' yes': -4.971402, ' ': -6.9797564, '\n': -8.073194}
{' Yes': -0.05606645, 'Yes': -3.2762485, ' yes': -4.3530917, ' Generally': -6.557435, ' An': -7.354535}
{' Yes': -0.077568024, 'Yes': -3.0168266, ' yes': -3.8466206, ' Ant': -6.4109397, 'yes': -7.1925755}
{' Yes': -0.029331898, 'Yes': -3.6196675, ' yes': -6.7653203, ' Generally': -7.903956, ' ': -8.360477}
{' Yes': -0.051666044, 'Yes': -3.0141313, ' yes': -7.3034225, ' Generally': -8.045391, ' ': -9.068641}
{' Yes': -0.039384503, 'Yes': -3.3242733, ' yes': -6.8178396, ' Generally': -7.2981534, ' ': -7.710038}
{' Yes': -0.048923217, 'Yes': -3.0800815, ' yes': -6.8807735, ' ': -8.309907, ' Generally': -8.435211}
{' Yes': -0.0151296845, 'Yes': -4.2933946, ' yes': -7.076563, ' Generally': -8.5409155, ' ': -8.904737}
{' Yes': -0.021064496, 'Yes': -3.9162211, ' yes': -7.554292, ' Generally': -8.990395, ' ': -9.166081}
{' Yes': -0.23796485, 'Yes': -2.1447105, ' No': -3.7314894, 'No': -3.808344, ' Generally': -4.081547}
{' Yes': -0.17214587, 'Yes': -1.9935341, ' Ant': -4.884365, ' Generally': -4.917452, ' yes': -6.3722267}
{' Yes': -0.033939943, 'Yes': -3.6859481, ' yes': -5.0442395, ' Generally': -7.1820755, ' ': -7.7042427}
{' Yes': -0.040925354, 'Yes': -3.3535187, ' yes': -5.6743593, ' Generally': -7.408214, ' Ant': -7.6174316}
{' Yes': -0.079336345, ' yes': -2.7526515, 'Yes': -4.6552467, ' ': -6.6015334, 'yes': -6.9920444}
{' Yes': -0.07705293, ' yes': -2.7456148, 'Yes': -4.810432, ' ': -7.3129396, 'yes': -7.331257}
{' Yes': -0.034943692, 'Yes': -3.6670027, ' yes': -5.0287867, ' ': -6.9583917, '\n': -7.132765}
{' Yes': -0.046461623, 'Yes': -3.2565444, ' yes': -5.336586, '\n': -6.8591394, ' ': -7.393711}
{' Yes': -0.09815409, 'Yes': -2.7036493, '\n': -4.3431473, ' yes': -4.6859035, ' ': -5.736168}
{' Yes': -0.0967935, 'Yes': -2.8071985, '\n': -3.9575224, ' yes': -4.6646667, ' ': -6.148242}
{' Yes': -0.015120851, 'Yes': -4.457347, ' yes': -5.877816, ' ': -8.066285, '\n': -8.916502}
{' Yes': -0.013524894, 'Yes': -4.5011406, ' yes': -6.183834, ' ': -9.208994, '\n': -9.444826}
{' Yes': -0.21891485, 'Yes': -2.084687, '\n': -3.4399176, ' yes': -4.0258384, ' No': -4.8320384}
{' Yes': -0.15275326, 'Yes': -2.2152607, '\n': -4.2755136, ' yes': -4.3306704, ' ': -5.953691}
{' Yes': -0.12688085, ' yes': -2.36249, 'Yes': -3.9543457, 'yes': -6.211241, ' ': -6.4112167}
{' Yes': -0.13600202, ' yes': -2.3650727, 'Yes': -3.6344054, 'yes': -5.680929, '\n': -6.262679}
{' Yes': -0.0072712386, 'Yes': -5.3841114, ' yes': -6.8460236, '\n': -6.9005756, ' ': -7.7812667}
{' Yes': -0.007511064, 'Yes': -5.4118385, '\n': -6.3975005, ' yes': -7.21459, ' ': -7.5654426}
{' Yes': -0.029674018, 'Yes': -3.8056407, '\n': -5.52033, ' ': -6.5192995, ' yes': -6.864705}
{' Yes': -0.03077477, 'Yes': -3.833261, '\n': -5.0224643, ' ': -6.757835, ' yes': -7.3430896}
{' Yes': -0.03246023, 'Yes': -3.765351, '\n': -5.346404, ' ': -6.1612515, ' yes': -6.840769}
{' Yes': -0.0292499, 'Yes': -3.9085011, '\n': -5.390549, ' ': -6.2992387, ' Ant': -6.7969384}
{' Yes': -0.010370034, 'Yes': -5.380197, '\n': -5.9302683, ' ': -6.161075, ' yes': -7.5470614}
{' Yes': -0.013312132, '\n': -5.2888, 'Yes': -5.292132, ' ': -6.097487, ' yes': -7.754374}
{' Yes': -0.0655308, 'Yes': -3.2933939, '\n': -4.566368, ' No': -4.7889247, ' ': -5.2795196}
{' Yes': -0.03634724, 'Yes': -3.730805, ' No': -5.3042817, '\n': -5.8130765, ' ': -6.0491724}
{' Yes': -0.020298148, 'Yes': -4.5581684, ' yes': -5.0986958, ' ': -6.51722, '\n': -6.543073}
{' Yes': -0.019549163, 'Yes': -4.494376, ' yes': -5.1787806, '\n': -6.785801, ' ': -6.8771577}
{' No': -0.06844736, 'No': -3.7150934, ' Generally': -3.9054034, ' It': -4.2626514, ' Not': -6.1305194}
{' No': -0.03130912, 'No': -3.572109, ' Generally': -6.2426734, ' Ant': -8.121669, ' ': -8.917363}
{' No': -0.10926205, 'No': -2.3509212, ' Generally': -5.5269313, ' It': -6.2036967, ' ': -7.6130342}
{' No': -0.08874765, 'No': -2.4791207, ' ': -7.5583196, ' Generally': -8.3731785, ' Ant': -8.733171}
{' No': -0.11721934, 'No': -2.2539341, ' It': -6.631724, ' ': -6.8167048, ' Generally': -7.057273}
{' No': -0.11143371, 'No': -2.2842453, ' ': -6.508364, '\n': -6.772593, ' Ant': -7.684582}
{' No': -0.032604318, 'No': -3.732212, ' Generally': -5.1766434, ' An': -7.2126393, ' It': -7.6131287}
{' No': -0.047022354, 'No': -3.1227381, ' Ant': -7.0204334, ' Generally': -7.2677383, ' ': -8.660971}
{' No': -0.21904513, 'No': -1.7352843, '\n': -5.275245, ' ': -5.4965396, ' Generally': -5.866037}
{' No': -0.19844069, 'No': -1.8008481, ' ': -5.359049, '\n': -5.489398, ' Ant': -6.0123606}
{' No': -0.12005823, 'No': -2.4490414, ' Generally': -4.016556, ' An': -6.183304, ' ': -6.9904513}
{' No': -0.13188614, 'No': -2.1524892, ' Ant': -5.7407193, ' Generally': -6.2429805, ' ': -6.6959662}
{' No': -0.0064191604, 'No': -5.2965, ' ': -7.113724, '\n': -7.8101735, ' An': -10.109444}
{' No': -0.007090596, 'No': -5.1815863, ' ': -7.24895, '\n': -7.342175, ' Generally': -10.614115}
{' No': -0.08197257, 'No': -2.6017325, '\n': -6.1629395, ' ': -6.2387795, ' Generally': -8.971441}
{' No': -0.043408513, 'No': -3.2176597, ' ': -6.6090345, '\n': -7.213362, ' Ant': -8.439085}
{' No': -0.12678578, 'No': -2.4024549, '\n': -3.8099658, ' ': -5.1881905, ' An': -8.374118}
{' No': -0.15571095, 'No': -2.6159675, '\n': -2.7801883, ' ': -4.8684793, ' Ant': -7.110493}
{' No': -0.009670755, 'No': -4.7109394, ' ': -7.4990325, '\n': -10.403286, ' no': -11.181354}
{' No': -0.010382983, 'No': -4.623618, ' ': -7.983918, ' Ant': -9.452447, '\n': -9.690351}
{' No': -0.2542702, 'No': -1.5737416, '\n': -4.7737556, ' ': -4.9142394, ' An': -7.8488016}
{' No': -0.20242025, 'No': -1.8028191, '\n': -4.6752787, ' ': -4.8775663, ' Ant': -7.2099195}
{' No': -0.054122444, 'No': -3.0798657, ' ': -5.937181, ' An': -6.6206346, ' Generally': -7.476884}
{' No': -0.05983768, 'No': -2.962338, ' ': -5.9292264, ' Ant': -6.2640495, ' no': -7.333011}
{' No': -0.1448431, 'No': -2.0716736, ' An': -6.37992, ' no': -6.5034757, ' ': -6.667045}
{' No': -0.14866397, 'No': -2.0747619, ' Ant': -5.1346755, ' no': -6.2582884, ' ': -6.4112473}
{' No': -0.1389958, 'No': -2.051559, ' ': -7.508853, ' Generally': -8.329934, ' It': -8.646024}
{' No': -0.17478801, 'No': -1.8370919, ' ': -7.8686824, ' Generally': -7.975027, ' Ant': -9.050685}
{' No': -0.18939027, 'No': -1.7708284, ' ': -6.7102566, ' Generally': -8.378195, ' An': -8.560787}
{' No': -0.18954773, 'No': -1.7704995, ' ': -7.111614, ' Generally': -7.427632, ' Ant': -7.9668174}
{' No': -0.055797238, 'No': -2.9321837, ' ': -8.159329, ' Generally': -8.530822, ' It': -9.023936}
{' No': -0.04864027, 'No': -3.062749, ' ': -7.9113026, ' Ant': -9.021734, ' Generally': -9.243131}
{'No': -0.69494605, ' No': -0.74512464, ' It': -5.0606704, ' That': -5.4935393, ' Ant': -5.750482}
{' No': -0.59230465, 'No': -0.8516602, ' Ant': -4.367041, ' Generally': -6.077377, ' ': -6.453849}
{' No': -0.13405064, 'No': -2.1035712, ' ': -7.258778, ' Generally': -7.341141, ' no': -7.6635885}
{' No': -0.1999526, 'No': -1.8610071, ' Ant': -4.200557, ' Generally': -5.0867915, ' ': -6.9200068}
{' No': -0.024847955, 'No': -4.4662557, ' no': -4.7568197, ' ': -5.6473184, '\n': -7.375952}
{' No': -0.024041409, 'No': -4.313445, ' no': -5.056485, ' ': -5.934699, '\n': -7.0858393}
{' No': -0.11259402, 'No': -2.2915528, ' ': -5.9872746, '\n': -6.3550196, ' no': -7.330324}
{' No': -0.09415086, 'No': -2.5060027, '\n': -5.3529687, ' ': -5.9259033, ' no': -7.4711466}
{' No': -0.2392418, 'No': -1.7135195, '\n': -3.6502888, ' ': -5.2910967, ' no': -7.232887}
{' No': -0.2927078, 'No': -1.8838104, '\n': -2.3823073, ' ': -5.0202622, ' Ant': -6.4053807}
{' No': -0.027969614, 'No': -3.6593895, ' ': -6.7638416, ' no': -8.101903, '\n': -8.2095375}
{' No': -0.03143446, 'No': -3.5320272, ' ': -7.0388784, '\n': -7.9150743, ' no': -8.0170145}
{' No': -0.36142877, 'No': -1.3465896, '\n': -3.4633627, ' ': -4.9990964, ' no': -5.807832}
{' No': -0.32026643, 'No': -1.425203, '\n': -3.719297, ' ': -5.2146707, ' no': -6.0140886}
{' No': -0.086672544, 'No': -2.972714, ' no': -3.983977, ' ': -5.1520867, '\n': -5.594771}
{' No': -0.1120937, 'No': -2.6932933, ' no': -3.8383758, '\n': -5.075574, ' ': -5.366186}
{' No': -0.012628477, 'No': -4.762851, '\n': -6.112161, ' ': -6.5124817, ' no': -9.444065}
{' No': -0.018760104, 'No': -4.636182, '\n': -5.041114, ' ': -6.1567397, ' Ant': -8.931298}
{' No': -0.07671879, 'No': -2.9649708, '\n': -4.0381026, ' ': -5.472329, ' Generally': -9.045292}
{' No': -0.09135727, 'No': -3.0024633, '\n': -3.4341016, ' ': -5.299653, ' Ant': -8.7665415}
{' No': -0.069613144, 'No': -2.954703, '\n': -4.563416, ' ': -5.55852, ' An': -7.754455}
{' No': -0.06260839, 'No': -3.230653, '\n': -4.1492853, ' ': -5.4675517, ' Ant': -7.0863657}
{' No': -0.01727846, 'No': -4.411039, ' ': -5.8437877, '\n': -6.2971206, ' An': -9.090976}
{' No': -0.018748747, 'No': -4.354032, '\n': -5.8855867, ' ': -5.9733877, ' Ant': -8.092093}
{' No': -0.06283756, 'No': -2.984232, '\n': -5.1595383, ' ': -5.493364, ' An': -8.764233}
{' No': -0.045170154, 'No': -3.3664627, '\n': -5.324011, ' ': -5.434864, ' Ant': -8.516027}
{' No': -0.0404083, 'No': -3.5401735, ' ': -5.312621, '\n': -6.038876, ' An': -6.6953025}
{' No': -0.04421801, 'No': -3.531376, ' ': -5.1728816, '\n': -5.274635, ' Ant': -6.139556}
{' Yes': -0.009786075, 'Yes': -5.396007, ' Generally': -5.437249, ' A': -8.283929, ' yes': -8.785079}
{' Yes': -0.09033477, ' Generally': -3.1875997, ' Ge': -3.4653099, 'Yes': -5.4275713, ' No': -5.5167336}
{' Yes': -0.06234959, ' No': -3.5947325, 'Yes': -4.1493034, ' Generally': -4.5265217, 'No': -5.970095}
{' No': -0.44595468, ' Yes': -1.7117971, ' Ge': -2.4951851, 'No': -2.7882245, ' Generally': -3.6585934}
{' Yes': -0.18519782, ' No': -2.060213, 'Yes': -3.9840488, 'No': -4.3993397, ' ': -5.8907924}
{' No': -0.26577187, ' Yes': -2.4022233, 'No': -2.509876, ' Ge': -3.0964887, ' Generally': -5.44243}
{' Yes': -0.011870914, ' Generally': -5.1749415, 'Yes': -5.5194144, ' A': -7.050668, ' No': -7.508539}
{' Yes': -0.71494436, ' Ge': -1.4244514, ' No': -1.7253872, ' Generally': -2.7040362, 'No': -4.595668}
{' Yes': -0.8478638, ' No': -0.878269, 'No': -2.5854375, ' Generally': -3.9423232, '\n': -3.9959676}
{' No': -0.50881064, ' Ge': -1.9936339, 'No': -2.2299905, ' Yes': -2.390122, ' Generally': -3.7343924}
{' Yes': -0.16472068, ' No': -2.4008467, ' Generally': -3.743725, 'Yes': -4.243864, 'No': -4.75033}
{' Yes': -0.5981178, ' No': -1.5243262, ' Ge': -1.9463329, ' Generally': -3.327343, 'No': -3.6381814}
{' Yes': -0.0034801925, 'Yes': -6.190972, ' ': -7.7345514, ' yes': -7.8489485, ' No': -8.479014}
{' Yes': -0.022479825, ' No': -4.6443, ' Ge': -5.551464, 'Yes': -5.809446, ' Generally': -6.2822}
{' No': -0.23717807, ' Yes': -2.0765927, 'No': -2.8716724, ' A': -4.6477156, '\n': -5.136607}
{' No': -0.22585115, ' Ge': -2.2086356, 'No': -3.077406, ' Yes': -3.3912961, ' ': -5.33642}
{' No': -0.53946936, ' Yes': -1.4850794, '\n': -2.7121856, 'No': -2.7224603, ' A': -3.6595314}
{' No': -0.27369815, '\n': -2.2869048, 'No': -2.646724, ' Ge': -3.1991706, ' ': -3.9651785}
{' Yes': -0.05758302, ' No': -3.018246, 'Yes': -5.4915066, ' ': -6.9014893, 'No': -7.2583375}
{' No': -0.096149236, ' Yes': -2.965551, ' Ge': -3.896068, 'No': -4.1015925, ' ': -6.665256}
{' No': -0.42163584, 'No': -1.4969722, ' Yes': -2.7992105, '\n': -3.838918, ' ': -4.145067}
{' No': -0.2983912, 'No': -1.5424458, '\n': -4.0057273, ' ': -4.3415294, ' Ge': -4.6080127}
{' Yes': -0.18799174, ' No': -2.0647178, ' A': -4.4712462, 'Yes': -4.694302, ' ': -4.99476}
{' Yes': -0.71491957, ' No': -1.0785671, ' Ge': -2.1695132, 'No': -3.8749557, ' ': -4.6414986}
{' Yes': -0.080161065, 'Yes': -3.4124362, ' No': -4.139161, ' yes': -4.2424846, ' A': -5.177601}
{' Yes': -0.24156582, ' Ge': -2.6453476, ' No': -2.8898315, 'Yes': -3.363081, ' yes': -4.139745}
{' No': -0.27391163, ' Yes': -1.9992665, 'No': -2.3454752, 'Yes': -5.3805494, ' Generally': -6.35368}
{' No': -0.36555362, 'No': -1.6211728, ' Yes': -2.627034, ' Ge': -3.800063, ' Generally': -5.0243287}
{' Yes': -0.40134725, ' No': -1.3702252, 'No': -3.1576989, 'Yes': -3.5546443, ' ': -6.433584}
{' No': -0.29504403, 'No': -1.9502869, ' Yes': -2.383646, ' Ge': -4.5167503, 'Yes': -5.19742}
{' Yes': -0.28924158, ' No': -1.4617745, 'Yes': -4.716043, 'No': -4.825161, ' Generally': -7.236917}
{' Yes': -0.097395085, ' No': -2.7790983, 'Yes': -4.2428355, ' Ge': -4.81374, 'No': -5.488659}
{'No': -0.7795717, ' No': -0.81828314, ' Yes': -3.2609787, ' Generally': -3.9154298, ' A': -4.5999775}
{'No': -0.90514207, ' No': -0.9393313, ' Ge': -1.9168285, ' Generally': -3.8122256, ' Yes': -4.641267}
{' No': -0.18271202, 'No': -2.1140778, ' Yes': -3.497695, ' Generally': -4.7712283, ' A': -5.8512006}
{' No': -0.5058639, ' Yes': -1.8526771, 'No': -2.0397592, ' Ge': -2.4808967, ' Generally': -4.5347466}
{' Yes': -0.053540856, ' yes': -3.1849282, 'Yes': -4.9637218, ' ': -6.1663756, '\n': -7.2320867}
{' Yes': -0.04857294, ' yes': -3.548443, 'Yes': -5.136008, ' No': -5.141976, ' ': -5.8792653}
{' Yes': -0.106126666, ' No': -3.149183, 'Yes': -3.7336993, ' A': -4.961353, ' yes': -5.1881905}
{' Yes': -0.90331906, ' No': -1.0089825, ' Ge': -2.2690797, 'No': -2.9006336, ' Generally': -3.8298745}
{' No': -1.1008428, ' Yes': -1.1433136, '\n': -1.6818918, 'No': -2.6302903, ' ': -3.5454361}
{' No': -0.7486607, '\n': -1.232658, 'No': -1.9914871, ' Ge': -3.2589908, ' ': -3.5948331}
{' Yes': -0.015111229, 'Yes': -4.637374, ' yes': -5.860149, ' No': -6.9507575, ' ': -7.3215437}
{' Yes': -0.08965123, ' No': -2.7876627, 'Yes': -4.7136765, ' Ge': -5.098816, 'No': -6.0142417}
{' No': -0.5550992, 'No': -1.2804905, '\n': -2.5677009, ' Yes': -3.124718, ' ': -4.4143696}
{' No': -0.39507473, 'No': -1.3096101, '\n': -3.3192995, ' ': -4.5452332, ' Yes': -5.398588}
{' Yes': -0.12059322, ' yes': -2.7812986, ' No': -4.200761, 'Yes': -4.2847824, '\n': -4.946459}
{' Yes': -0.29200315, ' No': -2.4873538, ' yes': -2.5140793, ' Ge': -3.4441733, 'Yes': -4.1597095}
{' Yes': -0.007835947, 'Yes': -5.7173314, ' No': -6.6998525, '\n': -6.739766, ' ': -6.9007173}
{' Yes': -0.20992729, ' No': -1.8692117, '\n': -4.5033193, ' Ge': -4.8824773, ' ': -4.9765897}
{' Yes': -0.6609583, ' No': -0.9503165, '\n': -3.3789966, 'No': -3.6098928, 'Yes': -4.424884}
{' No': -0.135266, 'No': -2.9877899, ' Ge': -3.7736862, '\n': -3.7912393, ' Yes': -3.9404664}
{' No': -0.59022444, ' Yes': -1.1052773, 'No': -3.2205763, '\n': -3.2556753, ' A': -4.3900347}
{' No': -0.14902048, 'No': -3.0490773, ' Ge': -3.0925782, '\n': -3.8891578, ' Yes': -4.316053}
{' Yes': -0.08339406, ' No': -2.8271358, '\n': -4.9234533, ' ': -4.9284368, 'Yes': -5.546601}
{' No': -0.2242363, ' Yes': -2.2101924, ' Ge': -3.3093095, '\n': -3.9068189, 'No': -4.0701838}
{' No': -0.11601307, 'No': -2.648024, ' Yes': -3.9958212, '\n': -4.449791, ' ': -5.050621}
{' No': -0.063243225, 'No': -3.1224473, ' ': -5.0052843, '\n': -5.2538576, ' Yes': -5.838391}
{' Yes': -0.0918547, ' No': -2.926909, ' ': -4.842711, 'Yes': -4.8599706, '\n': -5.026096}
{' Yes': -0.44882536, ' No': -1.2284255, ' Ge': -3.7252803, ' ': -4.4682817, 'No': -4.594978}
{' Yes': -0.0095022535, 'Yes': -5.482036, ' Generally': -6.3302665, ' A': -6.387761, ' No': -6.7658896}
{' Yes': -0.4043378, ' Ge': -1.5169878, ' No': -2.680642, ' Generally': -3.2782505, 'Yes': -5.719561}
{' Yes': -0.53660196, ' No': -1.0578823, 'No': -3.5132842, ' Generally': -4.336063, 'Yes': -4.4197307}
{' No': -0.2923506, ' Ge': -1.9195651, 'No': -3.0459952, ' Yes': -3.0616739, ' Generally': -4.774095}
{' No': -0.6072052, ' Yes': -0.98681915, 'No': -2.989367, 'Yes': -4.595084, ' A': -4.656785}
{' No': -0.30099493, ' Ge': -1.9851893, 'No': -2.8463094, ' Yes': -2.9858778, ' ': -5.221977}
{' Yes': -0.10723454, ' No': -2.7451854, ' A': -4.114154, ' Generally': -4.4950233, 'Yes': -5.0342}
{' Ge': -0.5129958, ' No': -1.5706874, ' Yes': -1.8299416, ' Generally': -3.8315704, 'No': -4.9161787}
{' No': -0.21981762, 'No': -1.9836116, ' Yes': -3.4624588, '\n': -4.9644504, ' ': -5.003482}
{' No': -0.25946283, ' Ge': -2.3131585, 'No': -2.362555, ' Generally': -4.4223714, ' Yes': -4.9681115}
{' Yes': -0.25150523, ' No': -2.0008242, ' Generally': -3.3064158, ' A': -4.0965137, 'Yes': -4.325133}
{' Yes': -0.78625673, ' Ge': -0.8717651, ' No': -2.650488, ' Generally': -3.689342, 'Yes': -4.4171906}
{' No': -0.13586046, ' Yes': -2.1713145, ' A': -5.2497253, 'No': -5.419552, ' ': -6.1713386}
{' No': -0.05986381, ' Ge': -3.634439, ' Yes': -3.841295, 'No': -5.221983, ' ': -5.943088}
{' No': -0.068906, 'No': -2.8659315, ' A': -5.6458116, '\n': -5.8797064, ' ': -6.076768}
{' No': -0.17356384, ' Ge': -2.158261, 'No': -3.456498, ' ': -5.390418, ' Yes': -5.44167}
{' No': -0.16991691, 'No': -2.5567634, '\n': -2.8530872, ' ': -4.4891458, ' A': -4.9291883}
{' No': -0.24359061, '\n': -2.2436094, 'No': -2.863725, ' Ge': -3.39343, ' ': -4.0751104}
{' No': -0.014882338, 'No': -4.3703756, ' ': -6.6432996, ' A': -7.8613667, ' Yes': -8.160184}
{' No': -0.020063384, 'No': -4.5431423, ' Ge': -4.8379264, ' ': -7.126938, ' Yes': -8.112323}
{' No': -0.26634988, 'No': -1.6159515, '\n': -4.184206, ' ': -4.455862, ' A': -5.1132565}
{' No': -0.23182954, 'No': -1.7443627, '\n': -4.3434725, ' ': -4.499608, ' Ge': -4.9492154}
{' Yes': -0.6753567, ' No': -0.9769027, ' A': -2.664727, ' ': -4.1998334, 'No': -4.2706685}
{' Ge': -0.709303, ' No': -1.4163055, ' Yes': -1.522997, ' ': -4.22816, 'No': -4.2896824}
{' No': -0.20497014, 'No': -2.4489524, ' Yes': -2.8894563, ' A': -3.4414544, ' Generally': -6.0605793}
{' No': -0.25351682, 'No': -2.2121768, ' Ge': -2.2969549, ' Yes': -5.68325, ' Generally': -5.7806554}
{' No': -0.11798672, 'No': -2.2123702, ' Yes': -7.0685306, ' ': -7.3233714, ' Generally': -9.45458}
{' No': -0.16654024, 'No': -2.0091114, ' Ge': -4.4046702, ' Yes': -5.5364623, ' Generally': -6.3093314}
{' No': -0.243503, 'No': -1.9465613, ' Yes': -2.7430222, 'Yes': -5.6404486, ' ': -5.995698}
{' No': -0.17453964, 'No': -1.9639474, ' Ge': -4.2701683, ' Yes': -5.7894053, ' ': -6.6584234}
{' No': -0.032158397, 'No': -3.492442, ' Yes': -7.7228227, ' ': -7.9905934, ' A': -8.398855}
{' No': -0.07160585, 'No': -3.4053519, ' Ge': -4.0250874, ' Yes': -4.137333, ' Generally': -7.096538}
{'No': -0.6351333, ' No': -0.7737786, ' Generally': -6.2600284, ' A': -6.369723, ' ': -6.4701533}
{' No': -0.71292835, 'No': -0.9940009, ' Ge': -2.1617239, ' Generally': -4.24983, ' ': -5.978514}
{' No': -0.12305851, 'No': -2.1971436, ' A': -6.568764, ' Generally': -6.9189982, ' ': -7.0984716}
{' No': -0.36587524, 'No': -1.9517821, ' Ge': -2.0334702, ' Yes': -3.9336166, ' Generally': -4.8719387}
{' No': -0.3428054, ' Yes': -1.4419895, ' ': -4.239845, ' A': -4.4599414, 'No': -4.5741134}
{' No': -0.033149935, 'No': -4.5089593, ' ': -4.9023857, ' Ge': -5.1570053, ' Yes': -5.6617274}
{' No': -0.15583974, 'No': -2.221964, ' A': -4.256271, '\n': -4.928335, ' Yes': -5.0640335}
{' No': -0.5062673, ' Yes': -1.9603611, ' Ge': -2.0878828, 'No': -2.8410623, '\n': -3.3099837}
{' No': -0.2951735, 'No': -1.9368417, '\n': -2.3455274, ' ': -4.564716, ' A': -5.664954}
{' No': -0.51998496, '\n': -1.4904268, 'No': -1.9723718, ' Ge': -3.9319055, ' ': -3.9961872}
{' No': -0.033435676, 'No': -3.609823, ' Yes': -5.9241385, ' ': -6.32212, '\n': -7.365621}
{' No': -0.043443304, 'No': -3.5557325, ' Yes': -5.232627, ' Ge': -5.2999663, ' ': -6.1996984}
{' No': -0.3680674, 'No': -1.3547484, '\n': -3.190991, ' ': -5.0470138, ' no': -6.9095864}
