{' No': -9.308281, ' ': -12.225896, ' Yes': -0.0017987726, ' yes': -10.136244, 'Yes': -6.40177}
{' No': -10.0089245, ' ': -11.557517, ' Yes': -0.004665906, ' yes': -10.010317, 'Yes': -5.3927464}
{' No': -8.589008, ' ': -10.211018, ' Yes': -0.013849564, ' yes': -9.530354, 'Yes': -4.3102226}
{' No': -9.291207, ' ': -10.11345, ' Yes': -0.0065492247, ' yes': -8.892352, 'Yes': -5.0762167}
{' YES': -12.392564, ' ': -11.103425, ' Yes': -0.0008722881, ' yes': -9.190823, 'Yes': -7.2021656}
{' No': -11.150972, ' ': -10.374142, ' Yes': -0.0048836106, ' yes': -9.167498, 'Yes': -5.3587556}
{' No': -10.648206, ' ': -9.641709, ' Yes': -0.0064082416, ' yes': -9.073745, 'Yes': -5.090762}
{' No': -11.120225, ' ': -10.968007, ' Yes': -0.0012371556, ' yes': -9.7567625, 'Yes': -6.7770643}
{'\n': -9.905195, ' ': -8.662937, ' Yes': -0.006653082, ' yes': -9.074499, 'Yes': -5.07246}
{'\n': -10.116542, ' ': -9.024821, ' Yes': -0.005332636, ' yes': -7.6806617, 'Yes': -5.371019}
{' No': -9.516562, ' ': -10.774049, ' Yes': -0.008918377, ' yes': -7.8027983, 'Yes': -4.7865386}
{' No': -12.596995, ' Yes': -0.012164999, ' yes': -9.438402, 'Yes': -4.4230266, 'yes': -11.9282675}
{' ': -10.468447, ' Yes': -0.018073084, ' yes': -8.437907, 'Yes': -4.0380564, 'yes': -11.035929}
{' No': -10.221844, ' ': -11.458412, ' Yes': -0.0051534814, ' yes': -8.667072, 'Yes': -5.3167796}
{' ': -10.437928, ' Yes': -0.023011593, ' yes': -8.395398, 'Yes': -3.796403, 'yes': -10.470613}
{' ': -10.191451, ' Yes': -0.0146755185, ' yes': -7.117515, 'Yes': -4.293173, 'yes': -10.273872}
{' ': -9.869719, ' Yes': -0.0018854785, ' yes': -7.4794264, 'Yes': -6.6867685, 'yes': -11.781712}
{' No': -10.605273, ' ': -9.224229, ' Yes': -0.008551241, ' yes': -7.63217, 'Yes': -4.8450036}
{'\n': -11.15418, ' ': -9.127736, ' Yes': -0.0076447516, ' yes': -8.40692, 'Yes': -4.9274807}
{' No': -9.418463, ' ': -9.078203, ' Yes': -0.0029279739, ' yes': -7.9747977, 'Yes': -6.0489864}
{'\n': -10.038866, ' ': -8.362999, ' Yes': -0.008115974, ' yes': -8.395147, 'Yes': -4.8874054}
{'\n': -8.932665, ' ': -7.856871, ' Yes': -0.0121659655, ' yes': -5.6228642, 'Yes': -4.8516088}
{'\n': -10.9633665, ' ': -10.140649, ' Yes': -0.00087682175, ' yes': -9.718261, 'Yes': -7.2039175}
{' No': -9.666617, ' ': -9.240699, ' Yes': -0.0037033788, ' yes': -9.313884, 'Yes': -5.680079}
{'\n': -8.899595, ' ': -8.889038, ' Yes': -0.0053730872, ' yes': -9.6198845, 'Yes': -5.309391}
{' No': -8.317367, ' ': -9.342174, ' Yes': -0.0012011124, ' yes': -9.982585, 'Yes': -7.1195993}
{'\n': -8.820273, ' ': -8.280683, ' Yes': -0.006184931, ' yes': -9.755935, 'Yes': -5.1762877}
{'\n': -10.139251, ' ': -9.192744, ' Yes': -0.0017601978, ' yes': -9.392385, 'Yes': -6.4898486}
{' No': -0.0073241354, '\n': -13.786495, ' ': -10.89248, 'No': -4.9233074, ' NO': -13.566019}
{' No': -0.02969023, ' ': -10.400242, 'No': -3.5330641, ' no': -13.226061, ' NO': -12.619322}
{' No': -0.053324185, ' ': -9.841068, 'No': -2.9591467, ' no': -13.248596, ' NO': -12.389729}
{' No': -0.0144982515, ' ': -11.337982, 'No': -4.2420335, ' no': -13.911307, ' NO': -13.536572}
{' No': -0.04763622, '\n': -12.225537, ' ': -9.708214, 'No': -3.0695384, ' NO': -12.60967}
{' No': -0.028532213, '\n': -12.475606, ' ': -9.259772, 'No': -3.5750713, ' no': -12.188283}
{' No': -0.0017216259, '\n': -11.697296, ' ': -10.087829, 'No': -6.397887, ' no': -12.93713}
{' No': -0.010770499, '\n': -11.834517, ' ': -9.666287, 'No': -4.543521, ' NO': -13.080189}
{' No': -0.010881665, '\xa0': -12.647708, '\n': -9.822846, ' ': -8.922281, 'No': -4.5444875}
{' No': -0.0029417786, '\n': -12.87304, ' ': -10.38082, 'No': -5.843064, ' NO': -13.30809}
{' No': -0.009248473, '\n': -9.282996, ' ': -8.3169565, 'No': -4.726562, ' no': -12.633221}
{' No': -0.011077884, '\n': -9.33469, ' ': -8.557946, 'No': -4.5364227, ' no': -11.29385}
{' No': -0.019029738, ' ': -10.100896, 'No': -3.974899, ' no': -11.332285, ' NO': -12.30151}
{' No': -0.030815464, ' ': -11.346973, 'No': -3.495695, 'no': -13.344863, ' no': -12.967577}
{' No': -0.068117045, '\n': -11.073149, ' ': -9.323131, 'No': -2.7223299, ' no': -11.941337}
{' No': -0.009584754, ' ': -10.321558, 'No': -4.656992, ' no': -12.087838, ' NO': -13.009551}
{' No': -0.08529196, '\n': -10.7002125, ' ': -8.997085, 'No': -2.5062325, ' no': -11.68527}
{' No': -0.07153228, '\n': -9.761929, ' ': -8.552405, 'No': -2.6788378, ' Yes': -9.978919}
{' No': -0.002446261, '\n': -11.056017, ' ': -8.9143, 'No': -6.084502, ' no': -11.444477}
{' No': -0.01693722, '\n': -11.281595, ' ': -8.591098, 'No': -4.0998497, ' no': -11.327872}
{' No': -0.01607863, '\n': -9.125226, ' ': -8.314028, 'No': -4.161691, ' no': -12.053669}
{' No': -0.004960158, '\n': -11.736849, ' ': -8.89925, 'No': -5.341935, ' no': -11.437952}
{' No': -0.013507254, '\n': -8.730092, ' ': -7.9264517, 'No': -4.3526816, ' no': -11.484531}
{' No': -0.017028823, '\n': -8.17073, ' ': -7.425231, 'No': -4.1444435, ' no': -8.990966}
{' No': -0.0014874195, '\n': -10.457376, ' ': -9.500548, 'No': -6.587421, ' NO': -12.763961}
{' No': -0.0075368863, '\n': -10.966418, ' ': -9.263281, 'No': -4.907595, ' NO': -12.68046}
{' No': -0.011925924, '\n': -7.5295463, ' ': -8.150186, 'No': -4.5083227, ' NO': -12.360362}
{' No': -0.0018206873, '\n': -11.387414, ' ': -9.327779, 'No': -6.3695607, ' NO': -12.659128}
{' No': -0.0108358115, '\n': -8.576052, ' ': -8.053808, 'No': -4.5793667, ' NO': -12.748724}
{' No': -0.003761592, '\n': -9.82427, ' ': -9.023226, 'No': -5.6337795, ' no': -13.263006}
{' No': -0.00556277, ' ': -11.490473, 'No': -5.2002726, ' Yes': -10.870939, ' NO': -13.491357}
{' No': -0.028839458, ' ': -10.669029, 'No': -3.5694299, ' Yes': -8.420303, 'Yes': -12.371008}
{' No': -0.037626628, ' ': -10.0211315, 'No': -3.3054087, ' Yes': -8.596756, 'Yes': -12.251862}
{' No': -0.007089457, ' ': -11.930819, 'No': -4.956905, ' Yes': -10.778493, ' NO': -13.760485}
{' No': -0.030560398, ' ': -9.795806, 'No': -3.5290592, ' Yes': -7.292884, 'Yes': -11.384023}
{' No': -0.026323419, ' ': -8.958414, 'No': -4.1848197, ' Yes': -4.553564, 'Yes': -9.54793}
{' No': -0.0016638314, '\n': -12.644743, ' ': -10.343552, 'No': -7.069189, ' Yes': -7.167569}
{' No': -0.0070114215, '\n': -12.545224, ' ': -10.042461, 'No': -5.0181384, ' Yes': -8.059738}
{' No': -0.0071547683, '\n': -10.013519, ' ': -9.182901, 'No': -5.1321874, ' Yes': -6.8450203}
{' No': -0.0015688464, '\n': -13.189243, ' ': -10.597583, 'No': -6.517573, ' Yes': -9.7014265}
{' No': -0.0066961665, '\n': -9.9117, ' ': -8.680984, 'No': -5.0679984, ' Yes': -8.783395}
{' No': -0.010165528, '\n': -9.391942, ' ': -8.34401, 'No': -4.94651, ' Yes': -5.932655}
{' No': -0.018769216, ' ': -10.13302, 'No': -4.0118, ' Yes': -7.75054, ' no': -11.675819}
{' No': -0.020711068, ' ': -11.534626, 'No': -4.016116, ' Yes': -6.0189524, 'Yes': -10.426145}
{' No': -0.04640418, ' ': -9.318697, 'No': -3.61578, ' Yes': -4.0149574, 'Yes': -8.167646}
{' No': -0.007908984, ' ': -11.089028, 'No': -5.215028, ' Yes': -6.0284314, 'Yes': -11.216018}
{' No': -0.12714224, ' ': -8.85458, 'No': -3.3582993, ' Yes': -2.490513, 'Yes': -6.498934}
{' No': -1.0452569, 'No': -4.088498, ' Yes': -0.4730638, ' yes': -7.5409193, 'Yes': -4.8779655}
{' No': -0.0013331261, ' ': -9.208837, 'No': -6.760129, ' Yes': -9.837018, ' no': -11.479621}
{' No': -0.011228566, ' ': -9.000505, 'No': -4.5253997, ' Yes': -8.568497, ' no': -11.4603}
{' No': -0.0071682753, '\n': -10.634941, ' ': -8.775604, 'No': -5.115292, ' Yes': -6.96199}
{' No': -0.0026578044, ' ': -9.399281, 'No': -5.9888387, ' Yes': -9.844282, ' no': -12.196348}
{' No': -0.009048467, '\n': -9.663738, ' ': -8.19628, 'No': -4.7672915, ' Yes': -8.79743}
{' No': -0.011123386, '\n': -8.519312, ' ': -7.336894, 'No': -4.6880794, ' Yes': -7.04791}
{' No': -0.00069053244, '\n': -11.290674, ' ': -9.949486, 'No': -7.4344134, ' Yes': -10.219614}
{' No': -0.0038932874, '\n': -11.6249, ' ': -9.658173, 'No': -5.594213, ' Yes': -9.331615}
{' No': -0.0055405926, '\n': -8.443186, ' ': -8.543229, 'No': -5.3355346, ' Yes': -8.14437}
{' No': -0.0009654792, '\n': -12.16174, ' ': -9.696938, 'No': -7.03936, ' Yes': -10.913593}
{' No': -0.0063741687, '\n': -9.15496, ' ': -8.3188505, 'No': -5.17378, ' Yes': -8.004687}
{' No': -0.0024499057, '\n': -10.182384, ' ': -8.714672, 'No': -6.3582964, ' Yes': -7.585284}
{' YES': -11.909099, ' ': -12.679682, ' Yes': -0.0019420331, ' yes': -10.490318, 'Yes': -6.2653756}
{' YES': -11.51045, ' ': -11.718534, ' Yes': -0.010038787, ' yes': -9.474306, 'Yes': -4.616665}
{' YES': -11.216085, ' ': -11.728033, ' Yes': -0.014205412, ' yes': -9.653213, 'Yes': -4.2679}
{' YES': -12.039186, ' ': -12.584378, ' Yes': -0.004719085, ' yes': -10.534944, 'Yes': -5.366661}
{' ': -11.390406, ' Yes': -0.014002659, ' yes': -9.659317, 'Yes': -4.282452, 'yes': -11.454691}
{' YES': -11.789838, ' ': -11.017964, ' Yes': -0.006117104, ' yes': -9.465291, 'Yes': -5.11747}
{' YES': -11.805825, ' ': -11.655522, ' Yes': -0.0006102534, ' yes': -9.787151, 'Yes': -7.5345798}
{' YES': -11.502192, ' ': -10.85879, ' Yes': -0.0050813467, ' yes': -9.464302, 'Yes': -5.308264}
{'\n': -10.3848295, ' ': -10.179168, ' Yes': -0.0038938853, ' yes': -9.515214, 'Yes': -5.5916452}
{' YES': -12.212646, ' ': -11.778172, ' Yes': -0.001081348, ' yes': -10.207051, 'Yes': -6.880368}
{'\n': -9.964312, ' ': -9.258662, ' Yes': -0.005748653, ' yes': -9.552659, 'Yes': -5.202648}
{'\n': -9.447899, ' ': -9.261181, ' Yes': -0.005831145, ' yes': -8.137119, 'Yes': -5.2381234}
{' YES': -11.445838, ' Yes': -0.0072511253, ' yes': -8.561126, 'Yes': -4.9615736, 'yes': -11.27134}
{' YES': -12.795731, ' Yes': -0.013618909, ' yes': -9.6537, 'Yes': -4.308775, 'yes': -11.703939}
{' ': -11.0776415, ' Yes': -0.017939752, ' yes': -8.591686, 'Yes': -4.0434237, 'yes': -10.67646}
{' YES': -12.189024, ' Yes': -0.005721497, ' yes': -9.357245, 'Yes': -5.1843348, 'yes': -11.977543}
{' ': -11.039034, ' Yes': -0.019634869, ' yes': -8.774013, 'Yes': -3.951115, 'yes': -10.493106}
{' ': -10.5536995, ' Yes': -0.016988872, ' yes': -7.6946983, 'Yes': -4.116682, 'yes': -10.172792}
{' YES': -11.371384, ' ': -10.363709, ' Yes': -0.0015519508, ' yes': -8.098123, 'Yes': -6.7323194}
{' ': -9.850531, ' Yes': -0.008358226, ' yes': -7.8725204, 'Yes': -4.8482246, 'yes': -10.591179}
{'\n': -10.998026, ' ': -9.844329, ' Yes': -0.0050813467, ' yes': -8.946535, 'Yes': -5.3283386}
{' ': -10.302741, ' Yes': -0.0028659236, ' yes': -8.41689, 'Yes': -5.9600263, 'yes': -11.324633}
{'\n': -9.841249, ' ': -9.163357, ' Yes': -0.007688779, ' yes': -8.81221, 'Yes': -4.9163113}
{'\n': -8.696951, ' ': -8.452632, ' Yes': -0.011895161, ' yes': -5.9783826, 'Yes': -4.733758}
{'\n': -10.87008, ' ': -10.624, ' Yes': -0.0008289806, ' yes': -10.17088, 'Yes': -7.218574}
{'\n': -11.034669, ' ': -10.235263, ' Yes': -0.004131109, ' yes': -9.707307, 'Yes': -5.5230656}
{'\n': -9.432304, ' ': -9.839546, ' Yes': -0.0040264926, ' yes': -9.815603, 'Yes': -5.5678635}
{'\n': -11.772074, ' ': -10.532172, ' Yes': -0.0010503792, ' yes': -10.2166605, 'Yes': -6.9380674}
{'\n': -9.775564, ' ': -9.383905, ' Yes': -0.0073800953, ' yes': -9.938819, 'Yes': -4.9405346}
{'\n': -10.354946, ' ': -10.013893, ' Yes': -0.001846841, ' yes': -10.005703, 'Yes': -6.367133}
{' No': -11.377636, ' ': -11.9271555, ' Yes': -0.002498785, ' yes': -10.026842, 'Yes': -6.0205364}
{' ': -11.024701, ' Yes': -0.012250981, ' yes': -8.938863, 'Yes': -4.4223995, 'yes': -11.584385}
{' No': -10.903908, ' ': -10.480858, ' Yes': -0.020804051, ' yes': -9.248726, 'Yes': -3.8910413}
{' No': -12.0935135, ' ': -11.678892, ' Yes': -0.004788378, ' yes': -10.036621, 'Yes': -5.3574}
{' No': -10.151648, ' ': -10.155975, ' Yes': -0.016247088, ' yes': -9.510113, 'Yes': -4.1388626}
{' No': -11.321445, ' ': -10.132587, ' Yes': -0.0074657854, ' yes': -8.867447, 'Yes': -4.929337}
{' YES': -12.344232, ' ': -11.044994, ' Yes': -0.00082074676, ' yes': -9.221897, 'Yes': -7.270218}
{' YES': -11.849506, ' ': -10.334632, ' Yes': -0.0049659694, ' yes': -9.092231, 'Yes': -5.341365}
{'\n': -10.945193, ' ': -9.645099, ' Yes': -0.0058895405, ' yes': -9.174745, 'Yes': -5.1730113}
{' YES': -12.568121, ' ': -10.949533, ' Yes': -0.001152418, ' yes': -9.798758, 'Yes': -6.8412666}
{'\n': -9.800029, ' ': -8.695983, ' Yes': -0.006712968, ' yes': -9.049073, 'Yes': -5.062632}
{'\n': -9.576074, ' ': -8.885522, ' Yes': -0.005666407, ' yes': -7.7327, 'Yes': -5.306047}
{' ': -11.046905, ' Yes': -0.008563205, ' yes': -7.963969, 'Yes': -4.813054, 'yes': -10.9667635}
{' ': -12.719317, ' Yes': -0.013318594, ' yes': -9.512422, 'Yes': -4.3318133, 'yes': -11.854585}
{' ': -10.39196, ' Yes': -0.016856292, ' yes': -8.317738, 'Yes': -4.1100225, 'yes': -10.938637}
{' ': -11.721835, ' Yes': -0.005280025, ' yes': -8.611679, 'Yes': -5.2866673, 'yes': -11.635062}
{' ': -10.2657385, ' Yes': -0.025014294, ' yes': -8.335812, 'Yes': -3.713943, 'yes': -10.286174}
{' ': -10.235447, ' Yes': -0.017275613, ' yes': -7.2067895, 'Yes': -4.1170816, 'yes': -10.160004}
{' ': -9.759361, ' Yes': -0.0019855704, ' yes': -7.345399, 'Yes': -6.6786857, 'yes': -11.614343}
{' ': -9.253722, ' Yes': -0.009799618, ' yes': -7.459012, 'Yes': -4.7071986, 'yes': -10.346423}
{'\n': -11.042966, ' ': -9.05288, ' Yes': -0.007770049, ' yes': -8.52637, 'Yes': -4.9077773}
{' ': -9.387687, ' Yes': -0.0028181623, ' yes': -7.8894243, 'Yes': -6.0656724, 'yes': -11.139776}
{'\n': -10.002138, ' ': -8.479012, ' Yes': -0.010069008, ' yes': -8.1786, 'Yes': -4.6617947}
{'\n': -8.537898, ' ': -7.726991, ' Yes': -0.013411982, ' yes': -5.5235915, 'Yes': -4.7627635}
{'\n': -11.132394, ' ': -10.278052, ' Yes': -0.0008587452, ' yes': -9.624548, 'Yes': -7.2159696}
{'\n': -11.381379, ' ': -9.722003, ' Yes': -0.0032248818, ' yes': -9.49635, 'Yes': -5.7907934}
{'\n': -8.85208, ' ': -8.89075, ' Yes': -0.0048941523, ' yes': -9.648974, 'Yes': -5.4012485}
{' No': -10.4694395, ' ': -9.726359, ' Yes': -0.00085743394, ' yes': -10.060313, 'Yes': -7.243333}
{'\n': -9.450533, ' ': -8.906026, ' Yes': -0.0070435363, ' yes': -9.656674, 'Yes': -5.0015845}
{'\n': -10.260945, ' ': -9.52426, ' Yes': -0.0017668859, ' yes': -9.452908, 'Yes': -6.454909}
{' No': -0.007155009, '\n': -13.936644, ' ': -10.773855, 'No': -4.9470468, ' NO': -13.613751}
{' No': -0.03113337, ' ': -10.283271, 'No': -3.4864078, ' no': -13.236892, ' NO': -12.452497}
{' No': -0.05665269, '\n': -12.703667, ' ': -9.512875, 'No': -2.9006083, ' NO': -12.301648}
{' No': -0.015171259, ' ': -11.183126, 'No': -4.197092, ' no': -13.953766, ' NO': -13.472918}
{' No': -0.040709287, '\n': -11.20485, ' ': -9.152753, 'No': -3.2251537, ' Yes': -11.733817}
{' No': -0.026011253, '\n': -12.4159975, ' ': -9.091325, 'No': -3.6674542, ' Yes': -12.400134}
{' No': -0.001476197, '\n': -11.816774, ' ': -10.038392, 'No': -6.556965, ' no': -13.336862}
{' No': -0.009325356, '\n': -11.798995, ' ': -9.58634, 'No': -4.6885853, ' NO': -13.184525}
{' No': -0.012147443, '\xa0': -12.393434, '\n': -9.230992, ' ': -8.547633, 'No': -4.4422393}
{' No': -0.0024854608, '\n': -12.53289, ' ': -10.164638, 'No': -6.017038, ' NO': -13.556723}
{' No': -0.009740871, '\xa0': -12.463686, '\n': -8.9483, ' ': -8.06981, 'No': -4.6844463}
{' No': -0.010757485, '\n': -9.148223, ' ': -8.33482, 'No': -4.572996, ' no': -11.319711}
{' No': -0.016422909, ' ': -9.971027, 'No': -4.1219945, ' Yes': -11.924405, ' no': -11.365041}
{' No': -0.033029918, ' ': -11.177565, 'No': -3.4274158, 'no': -13.520339, ' no': -13.129975}
{' No': -0.0677117, '\n': -10.971763, ' ': -9.154585, 'No': -2.728562, ' Yes': -11.099162}
{' No': -0.008864135, ' ': -10.271902, 'No': -4.7355027, ' no': -12.011247, ' NO': -13.077942}
{' No': -0.07049109, ' ': -8.648007, 'No': -2.6991282, ' Yes': -7.4900427, 'Yes': -10.616552}
{' No': -0.07037099, '\n': -9.670612, ' ': -8.2675495, 'No': -2.7118807, ' Yes': -6.806901}
{' No': -0.0025164117, '\n': -10.70632, ' ': -8.657574, 'No': -6.0744224, ' no': -11.422252}
{' No': -0.016690942, '\n': -11.169601, ' ': -8.389562, 'No': -4.1172442, ' no': -11.351146}
{' No': -0.015533932, '\n': -8.828268, ' ': -7.974146, 'No': -4.205868, ' no': -12.397638}
{' No': -0.004456696, '\n': -11.501111, ' ': -8.763617, 'No': -5.457402, ' no': -11.520133}
{' No': -0.012419402, '\n': -8.647568, ' ': -7.7090898, 'No': -4.448649, ' no': -11.4070215}
{' No': -0.017195141, '\n': -8.003906, ' ': -7.2560062, 'No': -4.145056, ' no': -8.91617}
{' No': -0.0011543272, '\n': -10.560139, ' ': -9.567106, 'No': -6.8549976, ' NO': -13.242744}
{' No': -0.007241999, '\n': -10.870147, ' ': -9.199391, 'No': -4.9490204, ' NO': -12.9046335}
{' No': -0.011063236, '\n': -7.6786942, ' ': -8.0603485, 'No': -4.5841413, ' NO': -12.557549}
{' No': -0.0017580483, '\n': -11.450892, ' ': -9.126407, 'No': -6.418313, ' NO': -12.801937}
{' No': -0.0119465515, '\n': -7.699496, ' ': -7.723595, 'No': -4.5126786, '  ': -12.818823}
{' No': -0.003419964, '\n': -9.773469, ' ': -8.914564, 'No': -5.7388263, ' NO': -13.38544}
{' No': -0.008036237, ' ': -10.542166, 'No': -5.0616956, ' Yes': -6.419028, 'Yes': -11.750512}
{' No': -0.04078329, ' ': -9.541643, 'No': -3.683823, ' Yes': -4.231539, 'Yes': -8.415344}
{' No': -0.05861168, ' ': -8.879651, 'No': -3.1808496, ' Yes': -4.2113023, 'Yes': -7.8387666}
{' No': -0.019796146, ' ': -10.48118, 'No': -4.796028, ' Yes': -4.4883857, 'Yes': -9.606653}
{' No': -0.08147343, ' ': -8.528831, 'No': -3.6992846, ' Yes': -2.946559, 'Yes': -7.2051477}
{' No': -1.5862606, ' ': -7.8356133, 'No': -5.3261933, ' Yes': -0.24376954, 'Yes': -5.0821023}
{' No': -0.27309355, ' ': -8.544913, 'No': -7.2888865, ' Yes': -1.4362614, 'Yes': -8.41072}
{' No': -0.19531809, ' ': -8.471108, 'No': -5.1075053, ' Yes': -1.7710968, 'Yes': -6.937141}
{' No': -0.21066262, ' ': -7.579122, 'No': -5.213308, ' Yes': -1.6996305, 'Yes': -6.8347793}
{' No': -0.009475897, ' ': -9.262129, 'No': -6.4009576, ' Yes': -4.8729324, 'Yes': -11.063822}
{' No': -0.1656939, ' ': -6.672423, 'No': -4.9054112, ' Yes': -1.947556, 'Yes': -6.7872014}
{' No': -0.7384228, ' ': -6.9943204, 'No': -5.604119, ' Yes': -0.6649631, 'Yes': -5.928057}
{' No': -0.029278317, ' ': -9.159651, 'No': -3.9264987, ' Yes': -4.7218785, 'Yes': -9.166964}
{' No': -0.3064962, ' ': -10.049601, 'No': -4.106152, ' Yes': -1.4099277, 'Yes': -5.72255}
{' No': -0.6856362, ' ': -8.321723, 'No': -4.053741, ' Yes': -0.7556398, 'Yes': -4.7386184}
{' No': -0.53978163, 'No': -5.6253486, ' Yes': -0.8884393, ' yes': -9.5214615, 'Yes': -6.1828074}
{' No': -2.3793013, 'No': -5.400534, ' Yes': -0.12218514, ' yes': -8.509613, 'Yes': -4.0472775}
{' No': -5.5268326, 'No': -8.491594, ' Yes': -0.018194536, ' yes': -7.3326135, 'Yes': -4.338259}
{' No': -0.015040795, ' ': -7.928727, 'No': -6.756458, ' Yes': -4.3172984, 'Yes': -10.759381}
{' No': -0.021624688, ' ': -8.135192, 'No': -4.512622, ' Yes': -4.6058474, 'Yes': -9.186662}
{' No': -0.5813795, ' ': -7.138773, 'No': -5.5872293, ' Yes': -0.8354325, 'Yes': -6.0027733}
{' No': -0.0065958425, ' ': -8.341175, 'No': -5.9691024, ' Yes': -5.5870457, 'Yes': -11.258993}
{' No': -0.08276224, ' ': -6.7732162, 'No': -4.5234756, ' Yes': -2.710198, 'Yes': -7.2711296}
{' No': -0.11956168, ' ': -6.1127253, 'No': -4.6866484, ' Yes': -2.3101897, 'Yes': -7.1708426}
{' No': -0.008410097, '\n': -9.9823475, ' ': -8.589373, 'No': -7.256045, ' Yes': -4.903189}
{' No': -0.0129140895, ' ': -8.567466, 'No': -5.6068296, ' Yes': -4.720914, 'Yes': -10.330041}
{' No': -0.10626201, '\n': -7.404706, ' ': -6.9272037, 'No': -5.4082217, ' Yes': -2.361282}
{' No': -0.0033578228, '\n': -11.035545, ' ': -8.612801, 'No': -7.0557065, ' Yes': -6.081816}
{' No': -1.7802646, ' ': -6.6600556, 'No': -6.432511, ' Yes': -0.19618309, 'Yes': -5.1066613}
{' No': -0.14612839, ' ': -7.2181587, 'No': -6.6032696, ' Yes': -2.0138574, 'Yes': -8.486942}
{' YES': -11.818972, ' ': -11.848044, ' Yes': -0.0034198442, ' yes': -9.850949, 'Yes': -5.700746}
{' YES': -11.412914, ' ': -11.086668, ' Yes': -0.01245151, ' yes': -9.171736, 'Yes': -4.4035873}
{' YES': -11.031625, ' ': -11.205099, ' Yes': -0.022405455, ' yes': -9.3242235, 'Yes': -3.815603}
{' YES': -11.940789, ' ': -12.180269, ' Yes': -0.005945243, ' yes': -10.197333, 'Yes': -5.137012}
{' ': -10.871922, ' Yes': -0.019024272, ' yes': -9.396135, 'Yes': -3.9785595, 'yes': -11.105801}
{' YES': -11.319527, ' ': -10.459084, ' Yes': -0.010733085, ' yes': -9.078686, 'Yes': -4.555361}
{' YES': -11.472743, ' ': -11.030659, ' Yes': -0.0010323619, ' yes': -9.176943, 'Yes': -7.017847}
{' YES': -11.253995, ' ': -10.562136, ' Yes': -0.0057683163, ' yes': -9.206549, 'Yes': -5.1851544}
{'\n': -10.402836, ' ': -10.033337, ' Yes': -0.0052799047, ' yes': -9.282366, 'Yes': -5.282576}
{' YES': -11.886231, ' ': -11.38053, ' Yes': -0.0014027805, ' yes': -9.876948, 'Yes': -6.624499}
{'\n': -10.393625, ' ': -9.2013445, ' Yes': -0.007978075, ' yes': -9.160799, 'Yes': -4.8687224}
{'\n': -9.725609, ' ': -9.179068, ' Yes': -0.0074406834, ' yes': -7.7756934, 'Yes': -4.9943275}
{' ': -11.003958, ' Yes': -0.011393321, ' yes': -7.982344, 'Yes': -4.5164304, 'yes': -10.625509}
{' YES': -12.764902, ' Yes': -0.015467162, ' yes': -9.927874, 'Yes': -4.180704, 'yes': -11.8214445}
{' ': -10.895079, ' Yes': -0.022770338, ' yes': -8.4959545, 'Yes': -3.8056548, 'yes': -10.567919}
{' YES': -11.96286, ' Yes': -0.0068077208, ' yes': -8.939421, 'Yes': -5.0156846, 'yes': -11.681895}
{' ': -10.619978, ' Yes': -0.02545368, ' yes': -8.666845, 'Yes': -3.693531, 'yes': -10.171223}
{' ': -10.366249, ' Yes': -0.020817684, ' yes': -7.518296, 'Yes': -3.9140368, 'yes': -10.026915}
{' YES': -11.240505, ' ': -10.189435, ' Yes': -0.001901063, ' yes': -7.9593263, 'Yes': -6.5123105}
{' ': -9.717481, ' Yes': -0.010126208, ' yes': -7.672052, 'Yes': -4.65749, 'yes': -10.351764}
{'\n': -11.630521, ' ': -10.108371, ' Yes': -0.0061920686, ' yes': -9.163505, 'Yes': -5.1156697}
{' ': -10.042637, ' Yes': -0.0032748755, ' yes': -8.157556, 'Yes': -5.8403487, 'yes': -11.158554}
{'\n': -10.152416, ' ': -9.207109, ' Yes': -0.008948148, ' yes': -8.687681, 'Yes': -4.7596707}
{'\n': -8.608494, ' ': -8.216885, ' Yes': -0.014067278, ' yes': -5.739102, 'Yes': -4.5908513}
{'\n': -10.762376, ' ': -10.301592, ' Yes': -0.0011520595, ' yes': -9.878688, 'Yes': -6.881763}
{' YES': -11.131236, ' ': -10.068473, ' Yes': -0.0047184853, ' yes': -9.61869, 'Yes': -5.3894625}
