{' On': -8.312587, ' Generally': -4.545278, ' A': -8.284638, ' Yes': -0.018477857, 'Yes': -5.053342}
{' No': -3.455616, ' Ravens': -3.8771935, 'No': -5.631901, ' Yes': -0.0850071, 'Yes': -3.822041}
{' Generally': -5.3766932, ' A': -7.152417, ' Yes': -0.01125304, ' yes': -8.576919, 'Yes': -5.328939}
{' No': -7.472142, ' Ravens': -5.5018992, ' Generally': -6.3603315, ' Yes': -0.01541129, 'Yes': -4.8362465}
{' No': -0.7458582, '\n': -4.511912, 'No': -2.5354183, ' Yes': -0.9416036, 'Yes': -4.2084756}
{' No': -0.89862686, ' Ravens': -3.676003, 'No': -2.8955197, ' Yes': -0.7428574, 'Yes': -4.115006}
{' No': -4.6624928, ' Generally': -4.3796577, ' A': -5.426033, ' Yes': -0.048530698, 'Yes': -4.3636436}
{' No': -3.9917753, ' Ravens': -3.386715, 'No': -6.0385585, ' Yes': -0.0835515, 'Yes': -3.918409}
{'\n': -9.607919, ' ': -8.698556, ' Yes': -0.002647344, ' yes': -7.97619, 'Yes': -6.251453}
{' No': -6.4152827, ' ': -8.335193, ' Yes': -0.005164984, ' yes': -7.931451, 'Yes': -6.0322566}
{' No': -0.98094004, 'No': -3.8095114, ' A': -4.4350777, ' Yes': -0.57288575, 'Yes': -4.576927}
{' No': -1.0223727, ' Ravens': -3.2096782, 'No': -3.8788674, ' Yes': -0.5853859, 'Yes': -4.5291286}
{' No': -2.0154877, '\n': -2.9200268, ' A': -3.317484, ' Yes': -0.33162504, 'Yes': -3.5980566}
{' No': -0.7098858, '\n': -2.2957335, ' Ravens': -2.683164, 'No': -3.0539696, ' Yes': -1.3861228}
{' No': -5.7862372, ' A': -8.16716, ' Yes': -0.006864672, ' yes': -7.986369, 'Yes': -5.851827}
{' No': -0.45424515, ' Ravens': -5.2027726, 'No': -4.7742615, ' Yes': -1.0583595, 'Yes': -6.1044164}
{' No': -1.0714296, '\n': -3.6848788, 'No': -2.3597786, ' Yes': -0.81045467, 'Yes': -2.9581008}
{' No': -0.25451332, '\n': -4.3756185, ' ': -4.3009057, 'No': -1.955996, ' Yes': -3.2806783}
{' ': -6.7586703, ' A': -6.5150948, ' Yes': -0.017305143, ' yes': -5.6353884, 'Yes': -4.692907}
{' No': -4.893309, ' Ravens': -5.9095783, ' Yes': -0.032534305, ' yes': -5.362128, 'Yes': -4.316628}
{' No': -5.2445464, ' A': -5.4580173, ' Yes': -0.060592137, ' yes': -4.395646, 'Yes': -3.498399}
{' No': -4.9460077, ' Ravens': -4.103537, ' Yes': -0.083939396, ' yes': -4.5857077, 'Yes': -3.1894557}
{' No': -0.36514553, ' ': -6.881093, 'No': -2.443795, ' Yes': -1.5673989, 'Yes': -4.8086286}
{' No': -3.2247236, ' Ravens': -6.3247447, 'No': -4.8630733, ' Yes': -0.1003055, 'Yes': -3.1095026}
{' No': -1.6869264, ' ': -6.4904103, 'No': -3.509396, ' Yes': -0.28979743, 'Yes': -3.4420552}
{' No': -1.6838197, ' Ravens': -5.566696, 'No': -3.4599905, ' Yes': -0.3078355, 'Yes': -3.1900334}
{' No': -5.6809635, ' ': -9.056485, ' Yes': -0.014967767, ' yes': -7.7140884, 'Yes': -4.5578084}
{' No': -7.2644835, ' Ravens': -6.6791334, ' Yes': -0.018764053, ' yes': -7.7364755, 'Yes': -4.144418}
{' No': -0.6814109, '\n': -6.1688027, ' Ravens': -5.1548796, ' ': -6.3569517, 'No': -0.7369816}
{' No': -0.7718517, ' Ravens': -2.8740969, 'No': -1.0797799, ' Yes': -2.339616, 'Yes': -4.0651646}
{' No': -0.45948464, ' Generally': -5.53348, 'No': -2.6314492, ' Yes': -1.2880025, 'Yes': -4.897137}
{' No': -3.934602, ' Ravens': -2.6562874, ' Generally': -4.9358034, ' Yes': -0.15094118, 'Yes': -3.438857}
{' ': -6.7914486, ' Yes': -0.066009246, ' yes': -2.8788831, 'Yes': -5.1828227, 'yes': -7.637278}
{' No': -7.9828653, ' ': -7.20101, ' Yes': -0.029960057, ' yes': -3.8572206, 'Yes': -5.02267}
{' No': -6.461509, ' ': -6.6015697, ' Yes': -0.039634824, ' yes': -5.150696, 'Yes': -3.598833}
{' No': -4.32742, ' Ravens': -5.720185, ' Yes': -0.064875565, ' yes': -5.564381, 'Yes': -3.3549929}
{' No': -3.6270113, '\n': -3.1430254, ' ': -4.704129, ' Yes': -0.1746493, 'Yes': -2.7717047}
{' No': -1.6882982, '\n': -2.409461, ' Ravens': -2.6842067, ' Yes': -0.6057309, 'Yes': -3.0383995}
{'\n': -8.838589, ' ': -8.171188, ' Yes': -0.014051319, ' yes': -5.6584964, 'Yes': -4.6303554}
{' No': -4.9649687, ' Ravens': -7.170958, ' Yes': -0.026560942, ' yes': -6.5722947, 'Yes': -4.1481066}
{' No': -0.6773587, '\n': -3.038229, 'No': -1.6742363, ' Yes': -1.5973188, 'Yes': -3.3437746}
{' No': -0.5811869, '\n': -3.4033875, 'No': -1.8072516, ' Yes': -1.6369958, 'Yes': -3.4759526}
{'\n': -5.854743, ' ': -6.030057, ' Yes': -0.1115086, ' yes': -2.489982, 'Yes': -4.264846}
{' No': -4.645904, '\n': -5.464852, ' Yes': -0.109290905, ' yes': -2.8468585, 'Yes': -3.7971876}
{'\n': -8.367571, ' ': -8.649033, ' Yes': -0.0038040718, ' yes': -7.6831036, 'Yes': -5.9433866}
{' No': -4.1265483, '\n': -6.989684, ' ': -7.581273, ' Yes': -0.02116147, 'Yes': -6.044997}
{' No': -4.869271, '\n': -4.54202, ' ': -5.9083486, ' Yes': -0.04440188, 'Yes': -4.060442}
{' No': -0.6979855, '\n': -3.877074, ' Ravens': -3.5420291, 'No': -3.5854328, ' Yes': -0.9010074}
{' No': -4.418915, '\n': -4.4950867, ' A': -4.9852295, ' Yes': -0.05673627, 'Yes': -3.9942417}
{' No': -1.7691954, '\n': -4.4301505, ' Ravens': -2.8258188, ' Yes': -0.3276937, 'Yes': -4.190467}
{' No': -5.45816, '\n': -5.7599573, ' ': -6.0817046, ' Yes': -0.014909625, 'Yes': -5.5324244}
{' No': -1.6306442, '\n': -4.410622, ' Ravens': -4.628361, ' ': -5.095574, ' Yes': -0.2677103}
{' No': -0.200718, '\n': -4.974945, 'No': -2.959459, ' Yes': -2.1857986, 'Yes': -5.424568}
{' No': -0.057225604, '\n': -5.527318, ' ': -5.476348, 'No': -3.514001, ' Yes': -4.178289}
{'\n': -5.9421, ' ': -5.960113, ' Yes': -0.021943709, ' yes': -5.5586257, 'Yes': -4.7566805}
{' No': -5.3163724, ' ': -6.0990925, ' Yes': -0.025616141, ' yes': -5.535622, 'Yes': -4.628945}
{' Generally': -7.561473, ' A': -10.023019, ' Yes': -0.008458306, ' yes': -9.248515, 'Yes': -4.868625}
{' No': -4.405275, ' Ravens': -6.686174, ' Generally': -6.725187, ' Yes': -0.019944927, 'Yes': -5.3995166}
{' No': -5.9489408, ' Generally': -5.3747907, ' A': -7.4604, ' Yes': -0.025843406, 'Yes': -4.1276803}
{' No': -1.7142963, ' Ravens': -3.54418, ' Generally': -4.0559654, 'No': -3.6740186, ' Yes': -0.32105437}
{' No': -2.9389954, '\n': -5.9595146, 'No': -5.30229, ' Yes': -0.09290728, 'Yes': -3.8937612}
{' No': -2.101676, ' Ravens': -4.0062017, 'No': -4.635928, ' Yes': -0.20156778, 'Yes': -4.1079893}
{' No': -6.257836, ' Generally': -6.2595425, ' A': -6.9875283, ' Yes': -0.013857361, 'Yes': -4.7672563}
{' No': -1.4522583, ' Ravens': -2.8637574, 'No': -3.563014, ' Yes': -0.4233964, 'Yes': -4.2454424}
{' No': -0.22907203, ' Generally': -5.209138, 'No': -1.986009, ' A': -5.685363, ' Yes': -3.1303246}
{' No': -0.4162339, ' Ravens': -3.006034, ' Generally': -4.364423, 'No': -2.2211313, ' Yes': -1.9786843}
{' No': -3.7770925, ' Generally': -3.4508045, ' A': -4.996493, ' Yes': -0.112316824, 'Yes': -3.6873214}
{' No': -0.71500665, ' Ravens': -2.4898956, ' Generally': -3.834151, 'No': -2.8050735, ' Yes': -1.1170453}
{'\n': -8.389858, ' ': -8.492359, ' Yes': -0.0031301675, ' yes': -7.9826865, 'Yes': -6.187229}
{' No': -4.073075, '\n': -7.513518, ' ': -8.527408, ' Yes': -0.020781232, 'Yes': -6.049544}
{' No': -2.9353876, '\n': -4.487401, ' A': -4.422828, ' Yes': -0.12374242, 'Yes': -3.7967556}
{' No': -0.2360318, '\n': -5.477597, ' Ravens': -4.066247, 'No': -2.7286122, ' Yes': -2.1659615}
{' No': -2.013679, '\n': -1.55125, ' ': -3.4846013, ' Yes': -0.5945028, 'Yes': -3.5869443}
{' No': -2.1612954, '\n': -1.3096604, ' Ravens': -3.472224, ' ': -3.6173503, ' Yes': -0.64315087}
{' No': -4.4486394, ' ': -7.885962, ' A': -7.2927017, ' Yes': -0.01681774, 'Yes': -5.725222}
{' No': -0.7886978, ' Ravens': -5.6038465, 'No': -5.049175, ' Yes': -0.63233894, 'Yes': -5.817508}
{' No': -0.84907943, '\n': -2.712927, 'No': -2.0649152, ' Yes': -1.1831477, 'Yes': -3.2960455}
{' No': -0.39377916, '\n': -3.3482049, ' Ravens': -3.8639731, 'No': -1.9045805, ' Yes': -2.340961}
{' ': -6.3013496, ' A': -6.400697, ' Yes': -0.025421763, ' yes': -5.6499486, 'Yes': -4.2615204}
{' No': -1.8049786, ' Ravens': -4.330821, 'No': -4.569787, ' Yes': -0.24131131, 'Yes': -4.2674036}
{' No': -6.145319, ' Generally': -5.4167686, ' A': -5.4809737, ' Yes': -0.045062713, 'Yes': -3.538097}
{' No': -2.575523, ' Ravens': -3.749723, 'No': -4.0473933, ' Yes': -0.18823203, 'Yes': -3.1983426}
{' No': -0.3703732, ' ': -7.8508606, 'No': -1.856398, ' Yes': -1.9475806, 'Yes': -4.6701927}
{' No': -0.3882719, ' Ravens': -5.6753883, 'No': -1.526442, ' Yes': -2.4265637, 'Yes': -4.811379}
{' No': -0.3110817, ' ': -7.5077734, 'No': -2.0744274, ' Yes': -2.0187154, 'Yes': -4.962788}
{' No': -0.35923797, ' Ravens': -4.9702396, 'No': -1.7411311, ' Yes': -2.2310336, 'Yes': -4.7141476}
{' No': -4.893136, 'No': -8.105866, ' Yes': -0.020028112, ' yes': -7.6005826, 'Yes': -4.507203}
{' No': -0.32184023, ' Ravens': -5.643989, 'No': -2.8331602, ' Yes': -1.5837706, 'Yes': -5.2359467}
{' No': -0.50131255, '\n': -6.3048654, ' Ravens': -6.3135514, ' ': -6.8337965, 'No': -0.9511244}
{' No': -0.704516, ' Ravens': -3.722384, 'No': -0.8163477, ' Yes': -4.1070027, ' It': -5.430613}
{' No': -0.3438574, ' Ravens': -6.020186, 'No': -1.5175291, ' Yes': -2.8363042, 'Yes': -5.5236497}
{' No': -0.3536601, ' Ravens': -4.215833, ' Generally': -6.5556903, 'No': -1.2798058, ' Yes': -6.678558}
{'\n': -8.0361185, ' ': -7.4909315, ' Yes': -0.014666445, ' yes': -4.501845, 'Yes': -6.033847}
{' No': -6.2017097, ' ': -8.020483, ' Yes': -0.009165639, ' yes': -5.5326753, 'Yes': -5.9966435}
{' No': -2.9488611, '\n': -4.898795, 'No': -4.8165536, ' Yes': -0.12634379, 'Yes': -3.3365276}
{' No': -1.556207, '\n': -5.1766005, 'No': -3.4895735, ' Yes': -0.3384316, 'Yes': -3.6069727}
{' No': -3.9619815, '\n': -1.6117865, ' ': -4.3315587, ' Yes': -0.3759429, 'Yes': -2.7157693}
{' No': -3.1667335, '\n': -2.4434555, ' Ravens': -4.346835, ' Yes': -0.2422111, 'Yes': -2.9542472}
{'\n': -8.329991, ' ': -8.644261, ' Yes': -0.008374995, ' yes': -6.2839274, 'Yes': -5.1539035}
{' No': -4.4699535, ' Ravens': -6.592421, ' Yes': -0.026764173, ' yes': -7.3135095, 'Yes': -4.4729595}
{' No': -0.6928629, '\n': -2.149898, 'No': -1.4626517, ' Yes': -2.1852908, 'Yes': -3.7904468}
{' No': -1.3601979, '\n': -2.7982244, 'No': -2.6503134, ' Yes': -0.6448411, 'Yes': -2.7158365}
{'\n': -5.6045346, ' ': -6.3049626, ' Yes': -0.07475346, ' yes': -3.0098863, 'Yes': -4.4499154}
{' No': -2.9864626, ' Ravens': -5.276526, ' Yes': -0.11446841, ' yes': -3.6170452, 'Yes': -4.292102}
{'\n': -6.087862, ' ': -7.4704475, ' Yes': -0.0068802773, ' yes': -7.550934, 'Yes': -5.8297505}
{' No': -2.557832, '\n': -4.1672564, ' ': -6.215338, ' Yes': -0.1062023, 'Yes': -5.56523}
{' No': -3.966093, '\n': -2.7249413, ' ': -4.891979, ' Yes': -0.13942157, 'Yes': -3.693991}
{' No': -1.1565979, '\n': -2.2521596, 'No': -3.424954, ' Yes': -0.6772793, 'Yes': -4.145697}
{' No': -3.4303446, '\n': -2.1629577, ' ': -3.8695939, ' Yes': -0.24007742, 'Yes': -3.8604481}
{' No': -2.4408178, '\n': -2.171912, ' Ravens': -2.2869387, ' ': -4.1920843, ' Yes': -0.41338247}
{' No': -5.378934, '\n': -3.7481086, ' ': -4.9497385, ' Yes': -0.04554656, 'Yes': -5.3216715}
{' No': -4.1540985, '\n': -3.4404006, ' ': -5.2559104, ' Yes': -0.06677826, 'Yes': -4.870817}
{' No': -1.1620325, '\n': -3.6533864, 'No': -3.8724146, ' Yes': -0.505607, 'Yes': -3.9839773}
{' No': -0.2766176, '\n': -3.6910079, ' Ravens': -4.084101, 'No': -3.5306878, ' Yes': -1.8334394}
{'\n': -4.295091, ' ': -5.0974383, ' Yes': -0.043523427, ' yes': -5.2660937, 'Yes': -4.42028}
{' No': -2.2781901, '\n': -4.4475355, ' Ravens': -4.612787, ' Yes': -0.16407546, 'Yes': -4.4312224}
{' No': -2.783824, ' Generally': -4.7542944, ' A': -6.4175177, ' Yes': -0.08093942, 'Yes': -5.5692906}
{' No': -6.854679, ' Ravens': -6.4772854, ' Generally': -6.883366, ' Yes': -0.00931423, 'Yes': -5.3313656}
{' No': -0.29996732, ' Generally': -5.4712243, 'No': -3.0205271, ' Yes': -1.6207204, 'Yes': -5.5581913}
{' No': -0.6584317, ' Ravens': -4.2766986, 'No': -3.136484, ' Yes': -0.8850819, 'Yes': -4.701093}
{' No': -0.38240737, 'No': -3.0030258, ' A': -5.255128, ' Yes': -1.392175, 'Yes': -5.0918913}
{' No': -0.9755722, ' Ravens': -2.2195947, 'No': -3.2574823, ' Yes': -0.79516375, 'Yes': -4.335916}
{' No': -2.3514109, ' Generally': -4.4464273, ' A': -4.5203695, ' Yes': -0.13767736, 'Yes': -5.45819}
{' No': -4.00331, ' Ravens': -3.8248723, ' Generally': -6.411353, ' Yes': -0.05283675, 'Yes': -4.9610624}
{' No': -0.15217291, ' ': -5.734774, ' Generally': -6.016848, 'No': -2.0873096, ' Yes': -5.2093377}
{' No': -0.49503112, ' Ravens': -2.8954444, 'No': -2.530588, ' Yes': -1.5043504, 'Yes': -4.703848}
{' No': -2.238466, ' Ravens': -4.240383, ' Generally': -3.3039892, ' A': -4.2054768, ' Yes': -0.22298223}
{' No': -2.743381, ' Ravens': -1.893579, 'No': -4.768766, ' Yes': -0.296497, 'Yes': -3.8946013}
{' No': -1.232121, ' ': -6.639238, ' A': -5.938604, ' Yes': -0.3553699, 'Yes': -6.4849086}
{' Raven': -6.1264477, ' No': -0.61207026, ' Ravens': -5.9971905, 'No': -6.257319, ' Yes': -0.80488414}
{' No': -0.059144303, '\n': -6.3403444, ' ': -6.5656805, 'No': -2.992246, ' A': -5.8800764}
{' No': -0.4716015, ' Ravens': -2.6755142, ' ': -4.8615017, 'No': -3.5744858, ' Yes': -1.3694744}
{' No': -0.15676011, '\n': -3.3942955, 'No': -2.6264694, ' A': -4.2803755, ' Yes': -4.1579404}
{' No': -0.29489145, '\n': -2.223692, ' Ravens': -3.4027233, ' ': -3.8217754, 'No': -2.6264}
{' No': -0.008868884, ' ': -7.597984, 'No': -5.0360904, ' A': -7.471158, ' Yes': -6.7183814}
{' No': -0.037353728, ' Ravens': -6.058214, ' ': -7.1336513, 'No': -4.780546, ' Yes': -3.7142334}
{' No': -0.21587798, '\n': -4.7530193, ' ': -4.678675, 'No': -1.8147779, ' A': -4.9192395}
{' No': -0.16800265, '\n': -4.6901393, ' Ravens': -5.4383836, ' ': -4.600768, 'No': -2.0554004}
{' No': -2.4644806, ' ': -4.938616, ' A': -3.31083, ' Yes': -0.15977027, 'Yes': -4.750703}
{' No': -2.566343, ' Ravens': -3.3041053, ' ': -4.7410445, ' Yes': -0.16260692, 'Yes': -4.5042624}
{' No': -0.40506884, 'No': -2.7282689, ' A': -3.6938088, ' Yes': -1.4994979, 'Yes': -4.8761554}
{' No': -1.1596069, ' Ravens': -1.8060225, 'No': -2.9620228, ' Yes': -0.8481482, 'Yes': -3.8147619}
{' No': -0.11540479, ' ': -7.7510014, 'No': -2.2242992, ' Yes': -8.615358, ' no': -9.550306}
{' No': -0.66089386, ' Ravens': -5.038076, 'No': -2.5660472, ' Yes': -0.9701037, 'Yes': -3.9652016}
{' No': -0.15094112, ' ': -6.7508593, 'No': -2.0987008, ' Yes': -4.2308702, 'Yes': -7.147052}
{' No': -0.24417846, ' Ravens': -4.451776, 'No': -2.0221515, ' Yes': -2.7382886, 'Yes': -5.381477}
{' No': -0.0243121, ' ': -8.438662, 'No': -3.8221636, ' A': -8.502735, ' Yes': -6.492998}
{' No': -1.4824524, ' Ravens': -2.750984, 'No': -4.339481, ' Yes': -0.38574222, 'Yes': -4.3441825}
{' No': -0.6288162, '\n': -6.002578, ' Ravens': -6.3469305, ' ': -6.5053205, 'No': -0.77778393}
{' No': -0.50310713, ' Ravens': -3.3502216, 'No': -1.0684547, ' Yes': -5.600719, 'Raven': -5.7582655}
{' No': -0.11631273, ' Ravens': -6.8738313, ' ': -6.5588813, 'No': -2.2726562, ' Yes': -6.57854}
{' No': -1.1629885, ' Ravens': -1.1488914, 'No': -2.774334, ' Yes': -1.3086643, 'Yes': -4.26288}
{' No': -2.141988, ' ': -4.9251986, ' Yes': -0.16950737, ' yes': -3.8957608, 'Yes': -5.180967}
{' No': -0.41527775, ' Ravens': -4.443083, ' ': -4.870884, 'No': -4.964882, ' Yes': -1.2025893}
{' No': -0.17092721, ' ': -5.2192082, 'No': -2.6037848, ' A': -4.822228, ' Yes': -2.793682}
{' No': -0.79749024, ' Ravens': -3.4526167, 'No': -3.1143236, ' Yes': -0.87153167, 'Yes': -4.0549}
{' No': -0.23759992, '\n': -2.9628863, ' ': -4.654174, 'No': -2.0469432, ' Yes': -4.472095}
{' No': -0.4949961, '\n': -1.8437643, ' Ravens': -2.4827967, 'No': -2.4031131, ' Yes': -3.762061}
{' No': -0.42941508, ' ': -5.987716, 'No': -4.2858872, ' Yes': -1.1209606, 'Yes': -5.5482445}
{' No': -0.048520256, ' Ravens': -5.44312, ' ': -6.4065256, 'No': -3.5646904, ' Yes': -4.4336653}
{' No': -0.29740867, '\n': -3.890928, ' ': -5.3463593, 'No': -1.4707351, ' no': -7.3129225}
{' No': -0.2231792, '\n': -3.7195532, ' Ravens': -7.1128263, ' ': -5.04027, 'No': -1.795794}
{' No': -2.1762204, ' A': -3.8451388, ' Yes': -0.2512556, ' yes': -3.1938827, 'Yes': -4.261247}
{' No': -0.83979446, '\n': -3.5186865, ' Ravens': -2.3982854, 'No': -3.340912, ' Yes': -1.0637155}
{' No': -0.8238275, ' ': -6.264593, 'No': -6.2310114, ' A': -5.6993155, ' Yes': -0.59755677}
{' No': -0.2152718, '\n': -5.4300733, ' ': -5.952529, 'No': -5.3822107, ' Yes': -1.7287643}
{' No': -0.08956361, '\n': -4.106703, 'No': -3.2678301, ' A': -5.3077793, ' Yes': -3.89839}
{' No': -0.11180924, '\n': -3.3028207, ' Ravens': -4.1865945, 'No': -3.4939063, ' Yes': -4.3457894}
{' No': -0.1092098, '\n': -4.0349984, 'No': -3.239823, ' A': -4.452672, ' Yes': -3.5869052}
{' No': -0.18176737, '\n': -3.6931884, ' Ravens': -2.7349558, 'No': -3.4733226, ' Yes': -3.599179}
{' No': -0.027559634, '\n': -5.787697, ' ': -5.6393223, 'No': -4.598156, ' Yes': -4.872845}
{' No': -0.07408178, '\n': -4.728892, ' Ravens': -3.9392853, 'No': -4.2508206, ' Yes': -3.864985}
{' No': -0.04807918, '\n': -5.6721196, ' ': -6.2850804, 'No': -3.2152183, ' A': -7.166688}
{' No': -0.038329024, '\n': -5.347159, ' Ravens': -6.605694, ' ': -5.42307, 'No': -3.6666458}
{' No': -3.4329221, ' ': -4.996531, ' A': -4.4953003, ' Yes': -0.07415181, 'Yes': -4.8193884}
{' No': -3.4911919, ' Ravens': -4.1818867, ' ': -5.0089607, ' Yes': -0.07921408, 'Yes': -4.62039}
{' No': -4.9812765, ' Generally': -6.9033895, ' A': -7.512955, ' Yes': -0.015807314, 'Yes': -4.986333}
{' No': -1.125415, ' Ravens': -3.3227494, ' Generally': -5.328629, 'No': -5.0126157, ' Yes': -0.4733554}
{' No': -1.2992514, ' Generally': -4.8002124, 'No': -3.918884, ' Yes': -0.3850784, 'Yes': -4.3974304}
{' No': -0.26222754, ' Ravens': -3.3098767, ' Generally': -4.3386245, 'No': -2.5401397, ' Yes': -2.3575265}
{' No': -0.15014262, '\n': -5.4238224, 'No': -2.7730424, ' A': -5.9416175, ' Yes': -2.7559147}
{' No': -0.16887909, '\n': -4.924872, ' Ravens': -3.5786347, 'No': -2.6940236, ' Yes': -3.106358}
{' No': -0.54446745, 'No': -3.613952, ' A': -4.5703998, ' Yes': -0.9835409, 'Yes': -5.193303}
{' No': -0.11951346, ' Ravens': -3.9268923, ' Generally': -6.527999, 'No': -2.605672, ' Yes': -4.111989}
{' No': -0.15346536, ' ': -5.8302283, ' Generally': -6.0696692, 'No': -2.0598052, ' Yes': -5.485937}
{' No': -0.24074115, '\n': -5.0608234, ' Ravens': -3.0904627, 'No': -2.330848, ' Yes': -3.0808136}
{' No': -1.4659266, ' Generally': -2.9321895, 'No': -3.1284554, ' Yes': -0.49734643, 'Yes': -3.781574}
{' No': -0.6235167, ' Ravens': -2.1410758, ' Generally': -4.256726, 'No': -2.7962291, ' Yes': -1.3821228}
{' No': -0.38966125, ' ': -6.5358934, 'No': -5.6240115, ' A': -5.045673, ' Yes': -1.1747813}
{' No': -4.7690487, '\n': -7.586508, ' Ravens': -7.9479084, ' Yes': -0.012825276, 'Yes': -5.8381233}
{' No': -0.1055414, '\n': -4.916723, 'No': -2.7031822, ' A': -4.491625, ' Yes': -4.6746373}
{' No': -1.2823673, ' Ravens': -2.3596072, 'No': -3.926906, ' Yes': -0.56457853, 'Yes': -4.190471}
{' No': -0.40074256, '\n': -1.7724811, 'No': -2.6216307, ' A': -3.7106068, ' Yes': -3.210431}
{' No': -1.3895116, '\n': -1.1118627, ' Ravens': -2.4492383, ' ': -3.4272103, ' Yes': -1.3362546}
{' No': -0.015120731, ' ': -7.367131, 'No': -4.674758, ' A': -6.080493, ' Yes': -5.947547}
{' No': -0.14695224, ' Ravens': -3.6452162, 'No': -4.2670846, ' Yes': -2.3696923, 'Yes': -7.0545006}
{' No': -0.34258974, '\n': -3.6823382, ' ': -4.5847983, 'No': -1.5223134, ' Yes': -3.8623114}
{' No': -1.6902587, '\n': -2.8763855, ' Ravens': -2.1714084, ' Yes': -0.69549054, 'Yes': -2.7372653}
{' No': -2.6299732, ' ': -4.9094796, ' A': -3.7426095, ' Yes': -0.14196272, 'Yes': -4.0371194}
{' No': -2.0084112, ' Ravens': -2.7527616, ' ': -4.290378, ' Yes': -0.29719514, 'Yes': -3.9587362}
{' No': -0.22512875, ' Generally': -5.2738004, 'No': -2.3676116, ' A': -4.4799523, ' Yes': -2.4756896}
{' No': -0.27341887, ' Ravens': -3.4365273, ' Generally': -5.351279, 'No': -1.9213871, ' Yes': -3.10623}
{' No': -0.144435, ' ': -8.168327, 'No': -2.0315542, ' Yes': -5.8988023, 'Yes': -8.514851}
{' No': -0.19902186, ' Ravens': -6.583703, ' Generally': -7.4012747, 'No': -1.7362783, ' Yes': -6.556823}
{' No': -0.103907675, '\n': -8.872101, ' ': -8.195109, 'No': -2.3241453, ' Yes': -8.372766}
{' No': -0.19625951, ' Ravens': -6.0529275, ' ': -7.596036, 'No': -1.7579528, ' Yes': -6.2809873}
{' No': -0.030648591, ' ': -7.6034517, 'No': -3.6175797, ' A': -9.57032, ' Yes': -5.969289}
{' No': -0.07487416, ' Ravens': -6.345843, ' ': -8.066793, 'No': -2.6847432, ' Yes': -6.6647706}
{' No': -0.4612409, '\n': -6.0486317, ' Ravens': -6.1885695, ' ': -6.7183714, 'No': -1.0149956}
{' No': -0.47697493, '\n': -6.269789, ' Ravens': -4.367089, ' Generally': -6.2988315, 'No': -1.0277848}
{' No': -0.17963624, '\n': -6.6040397, ' Ravens': -6.390022, 'No': -1.8853705, ' Yes': -4.976557}
{' No': -0.25993726, '\n': -7.8247867, ' Ravens': -4.8374743, ' ': -7.6389937, 'No': -1.5164986}
{' No': -2.3804348, ' ': -6.244694, ' Yes': -0.107954755, ' yes': -5.55052, 'Yes': -6.13486}
{' No': -2.630982, ' Ravens': -5.650912, ' Yes': -0.086025864, ' yes': -6.5946527, 'Yes': -5.7661877}
{' No': -0.3913196, '\n': -4.176483, 'No': -2.3956873, ' Yes': -1.6556896, 'Yes': -4.5187173}
{' No': -0.3613726, '\n': -4.3969426, ' Ravens': -3.9621317, 'No': -2.3611112, ' Yes': -1.827559}
{' No': -0.6760577, '\n': -1.2058027, ' ': -4.2719703, 'No': -2.2884786, ' Yes': -2.9004743}
{' No': -1.0879614, '\n': -1.3188249, ' Ravens': -2.7111762, 'No': -3.0179656, ' Yes': -1.461815}
{' No': -0.1881482, ' ': -6.3910823, 'No': -4.3221335, ' A': -5.9455104, ' Yes': -1.8938442}
{' No': -0.10726313, ' Ravens': -5.17856, 'No': -3.2019076, ' Yes': -2.952478, 'Yes': -6.8681703}
{' No': -0.38208395, '\n': -2.8972034, ' ': -5.2115192, 'No': -1.3750345, ' Yes': -6.3069324}
{' No': -0.35217357, '\n': -2.5987003, ' ': -4.7768846, 'No': -1.8268764, ' Yes': -3.2399297}
{' No': -2.9401674, '\n': -5.0473843, ' Yes': -0.122933485, ' yes': -3.5280502, 'Yes': -4.1235948}
{' No': -4.213183, '\n': -4.3990254, ' Yes': -0.091892734, ' yes': -4.0183644, 'Yes': -3.6817362}
{' No': -0.42267403, '\n': -4.357918, ' ': -5.3730125, ' A': -4.8044524, ' Yes': -1.1567801}
{' No': -1.0465215, '\n': -3.1882277, ' ': -5.142652, 'No': -5.5762296, ' Yes': -0.5269751}
{' No': -0.14211152, '\n': -3.03398, ' ': -5.124144, 'No': -2.7255063, ' Yes': -5.12011}
{' No': -0.35430184, '\n': -1.7518907, ' Ravens': -4.119339, 'No': -3.066397, ' Yes': -3.006106}
