{' No': -0.21113746, ' Yes': -1.686834, 'No': -5.565593, ' Not': -7.585437, 'Yes': -7.616578}
{' Yes': -0.1399311, ' No': -2.0696833, 'Yes': -5.7665753, 'No': -7.2070966, '\n': -8.687387}
{' Yes': -0.0020763539, 'Yes': -6.4988875, ' No': -7.75217, ' yes': -9.540101, ' ': -10.836844}
{' Yes': -0.02315048, ' No': -3.851344, 'Yes': -6.6552114, ' The': -8.766093, ' yes': -9.3216095}
{' No': -0.18956488, ' Yes': -1.7743827, 'No': -6.221137, 'Yes': -7.996234, ' The': -8.150628}
{' Yes': -0.23195438, ' No': -1.5813863, 'Yes': -7.002918, 'No': -8.054046, ' ': -10.1543045}
{' Yes': -0.012891268, ' No': -4.623224, 'Yes': -6.1201906, ' The': -7.859521, ' yes': -9.031024}
{' Yes': -0.0026420858, 'Yes': -6.204126, ' No': -7.975502, '\n': -9.090681, ' yes': -9.5439625}
{' Yes': -0.026608685, ' No': -3.7065518, 'Yes': -6.884743, ' The': -7.782626, ' yes': -9.1507225}
{' Yes': -0.05925649, ' No': -2.9009137, 'Yes': -6.4460335, ' The': -7.758396, ' yes': -8.655973}
{' Yes': -0.09595463, ' No': -2.4056013, 'Yes': -6.923492, ' yes': -9.299699, 'No': -9.425145}
{' Yes': -0.005057984, ' No': -5.6796217, 'Yes': -6.583795, ' yes': -8.9639845, ' The': -9.932204}
{' Yes': -0.0011480007, 'Yes': -7.0039816, ' No': -9.43835, ' The': -9.536603, ' yes': -9.697555}
{' Yes': -0.001962691, 'Yes': -6.2928944, ' yes': -10.00522, ' The': -10.577143, '\n': -11.036105}
{' Yes': -0.116638266, ' No': -2.2233105, 'Yes': -6.8106437, ' The': -7.9967556, '\n': -8.892815}
{' Yes': -0.011974299, ' No': -4.520279, 'Yes': -7.4467063, ' The': -8.154489, ' yes': -9.8499775}
{' Yes': -0.0009928596, 'Yes': -7.025222, ' yes': -10.236453, ' The': -10.413272, ' ': -11.145286}
{' Yes': -0.0028228844, 'Yes': -6.7303615, ' No': -7.040081, ' The': -7.4632525, ' yes': -9.276066}
{' Yes': -0.0015607271, 'Yes': -6.980307, ' Rough': -7.9261956, ' The': -9.138807, ' ': -9.926524}
{' Yes': -0.012382531, ' Rough': -5.114914, ' No': -5.70483, 'Yes': -6.048113, ' ': -8.3877125}
{' Yes': -0.003395381, 'Yes': -5.7186203, ' yes': -9.56065, ' YES': -11.491393, ' ': -11.7281685}
{' Yes': -0.0022455766, 'Yes': -6.336058, ' No': -8.428196, ' yes': -9.236786, '\n': -9.776181}
{' Yes': -0.0010015131, 'Yes': -7.027342, ' yes': -9.768843, ' No': -10.305395, ' The': -11.862443}
{' Yes': -0.061616685, ' No': -2.8388877, 'Yes': -6.894733, 'No': -9.340873, ' yes': -9.63482}
{' Yes': -0.014805206, ' No': -4.438013, 'Yes': -6.1095905, ' The': -7.841328, ' yes': -8.758233}
{' Yes': -0.048533767, ' No': -3.118398, 'Yes': -5.9572973, ' The': -8.250657, ' yes': -9.138108}
{' Yes': -0.0014953004, 'Yes': -6.7784495, ' The': -8.839924, ' No': -9.545731, ' yes': -9.86628}
{' Yes': -0.0010380914, 'Yes': -7.0579567, ' yes': -9.630684, ' ': -10.244831, '\n': -10.544004}
{' Yes': -0.0015825169, 'Yes': -6.8706803, ' No': -8.060919, ' The': -9.195197, ' yes': -9.5630665}
{' Yes': -0.0013561024, 'Yes': -6.827825, ' No': -8.819622, ' yes': -9.810822, ' The': -10.639724}
{' Yes': -0.06572358, ' No': -2.8064349, 'Yes': -6.01514, ' ': -8.535112, 'No': -8.5536}
{' Yes': -0.0072783227, ' No': -5.1207237, 'Yes': -6.7665725, ' yes': -9.926695, ' The': -10.176984}
{' Yes': -0.004594588, 'Yes': -6.320621, ' The': -6.490339, ' No': -6.863231, ' yes': -9.063115}
{' Yes': -0.014678664, ' No': -5.1021457, 'Yes': -5.347457, ' Sh': -6.5426574, ' Sho': -6.828643}
{' Yes': -0.0016280097, 'Yes': -6.5726795, ' No': -9.055329, ' ': -10.241943, ' yes': -10.36065}
{' Yes': -0.009307731, ' No': -4.901432, 'Yes': -6.459579, ' yes': -9.290987, ' ': -9.734941}
{' Yes': -0.0008323203, 'Yes': -7.271626, ' No': -9.898597, ' yes': -10.054105, ' ': -11.217021}
{' Yes': -0.00074964116, 'Yes': -7.3848844, ' yes': -9.36489, ' ': -11.18055, ' YES': -11.225621}
{' Yes': -0.0026382608, ' No': -6.4244823, 'Yes': -7.0553665, ' yes': -9.441908, ' The': -10.02783}
{' Yes': -0.004248067, ' No': -5.9379716, 'Yes': -6.707144, ' yes': -8.9017105, ' The': -8.996544}
{' Yes': -0.0025492194, 'Yes': -6.0655026, ' No': -8.947262, ' yes': -9.643794, ' ': -10.991174}
{' Yes': -0.018209955, ' No': -4.1272016, 'Yes': -6.3946514, ' The': -9.204103, 'No': -9.879253}
{' Yes': -0.0025473074, 'Yes': -6.629208, ' No': -7.0725503, ' The': -8.721415, ' Arrow': -9.530615}
{' Yes': -0.0023730106, 'Yes': -6.4901576, ' No': -8.038706, ' The': -8.229103, ' Arrow': -9.145485}
{' Yes': -0.0063015306, ' No': -5.429151, 'Yes': -6.605147, ' The': -8.0567255, ' yes': -9.367152}
{' Yes': -0.006573463, ' No': -5.3257184, 'Yes': -6.5504518, ' yes': -8.947753, ' ': -9.850968}
{' Yes': -0.0013320514, 'Yes': -6.7760415, ' No': -9.392642, ' yes': -9.741452, ' The': -10.580332}
{' Yes': -0.0008008229, 'Yes': -7.366002, ' No': -9.235522, ' yes': -10.200461, ' The': -11.463848}
{' Yes': -0.0029172723, 'Yes': -6.335683, ' No': -7.40322, ' The': -8.130797, ' Heart': -9.2801895}
{' Yes': -0.0021196557, 'Yes': -6.6524067, ' Heart': -8.2035885, ' The': -8.375343, ' No': -8.628645}
{' Yes': -0.0016465769, ' No': -7.088562, 'Yes': -7.266014, ' The': -9.801888, ' yes': -10.351664}
{' Yes': -0.0008736013, 'Yes': -7.1082335, ' ': -11.135987, ' yes': -11.211843, ' The': -11.646941}
{' No': -0.11067473, ' Yes': -2.2668693, 'No': -7.0611024, 'Yes': -9.215266, ' ': -9.299981}
{' Yes': -0.018261002, ' No': -4.104517, 'Yes': -6.8234835, ' The': -8.253139, ' ': -9.334102}
{' Yes': -0.042033557, ' No': -3.2662458, 'Yes': -6.4045877, ' Pizza': -6.8935695, ' ': -8.891273}
{' Yes': -0.11163662, ' No': -2.2609706, 'Yes': -6.7898574, 'No': -8.802878, ' ': -10.160844}
{' Yes': -0.00089328847, 'Yes': -7.1843605, ' yes': -9.609951, ' The': -10.123566, ' ': -11.299453}
{' Yes': -0.0012453914, 'Yes': -6.7563667, ' yes': -10.35041, ' ': -10.937748, ' YES': -11.183441}
{' Yes': -0.0010977585, 'Yes': -7.3890634, ' No': -8.115105, ' ': -9.289567, ' The': -10.271254}
{' Yes': -0.0008377485, 'Yes': -7.3074265, ' No': -9.919882, ' yes': -10.114416, ' ': -10.28516}
{' Yes': -0.0036873447, ' No': -5.8405743, 'Yes': -7.3906574, ' The': -9.733585, ' yes': -9.913338}
{' Yes': -0.010081293, ' No': -4.6888757, 'Yes': -7.4300866, ' The': -9.596726, ' ': -9.65683}
{' Yes': -0.03065105, ' No': -3.5450475, 'Yes': -6.8087306, ' The': -9.50053, 'No': -9.839268}
{' Yes': -0.0026720278, ' No': -6.3383136, 'Yes': -7.22405, ' The': -9.66549, ' yes': -9.79941}
{' Yes': -0.0015883658, 'Yes': -6.5132914, ' yes': -10.183953, ' No': -10.390243, ' ': -11.363839}
{' Yes': -0.0018112509, 'Yes': -6.5510683, ' The': -9.308612, ' ': -9.448777, '\n': -9.456494}
{' Yes': -0.0052021896, ' No': -5.6983304, ' Found': -7.13109, 'Yes': -7.43231, ' The': -8.846549}
{' Yes': -0.0020040225, ' No': -6.838311, 'Yes': -7.2170362, ' ': -9.512069, ' yes': -9.813468}
{' Yes': -0.0009031922, 'Yes': -7.246003, ' Uncle': -9.333809, ' ': -9.76394, ' yes': -10.351139}
{' Yes': -0.0006707898, 'Yes': -7.6946855, ' No': -9.80647, ' yes': -9.820727, ' ': -9.98195}
{' Yes': -0.046424657, ' No': -3.1164947, 'Yes': -7.385559, ' The': -8.202597, 'No': -9.870706}
{' Yes': -0.015748514, ' No': -4.2729177, 'Yes': -6.5197306, ' ': -9.648566, 'No': -10.140462}
{' Yes': -0.0019687857, 'Yes': -6.8300285, ' No': -7.3235817, ' yes': -9.490385, ' The': -9.658813}
{' Yes': -0.0009994846, 'Yes': -7.0117664, ' yes': -10.05035, ' YES': -10.927401, ' ': -10.990673}
{' Yes': -0.08890419, ' No': -2.4769943, 'Yes': -7.1872315, ' The': -9.09243, 'No': -9.464776}
{' Yes': -0.00642486, ' No': -5.418851, 'Yes': -6.5496354, ' The': -8.460812, ' ': -8.974759}
{' Yes': -0.0063155056, ' No': -5.519169, 'Yes': -6.3630786, ' Te': -8.618008, ' The': -8.767092}
{' Yes': -0.004318102, 'Yes': -6.3644996, ' No': -6.6497593, ' The': -6.9247737, ' yes': -8.908481}
{' Yes': -0.052606408, ' No': -2.9897115, 'Yes': -7.219329, ' ': -9.465915, 'No': -9.977429}
{' Yes': -0.0014063595, 'Yes': -7.289871, ' No': -7.382277, ' ': -10.564758, ' yes': -10.677376}
{' Yes': -0.0018156711, 'Yes': -6.7613387, ' No': -7.626159, ' The': -9.688056, ' yes': -9.914831}
{' Yes': -0.0014657535, 'Yes': -6.864142, ' No': -8.366354, ' yes': -9.268514, ' ': -9.939223}
{' No': -0.6437337, ' Yes': -0.74887437, 'No': -7.4959726, ' The': -7.7059107, 'Yes': -7.7184386}
{' Yes': -0.48391557, ' No': -0.9636004, 'Yes': -7.2538357, 'No': -7.4377823, ' ': -7.8995953}
{' Yes': -0.0008208669, 'Yes': -7.349854, ' The': -9.5179615, ' yes': -9.639978, ' ': -11.07589}
{' Yes': -0.0004436879, 'Yes': -7.939502, ' yes': -9.767213, ' YES': -11.276388, ' The': -11.859671}
{' Yes': -0.0019508114, 'Yes': -6.8353095, ' No': -7.3813033, ' yes': -9.386496, ' ': -9.495208}
{' Yes': -0.47071767, ' No': -0.9824687, 'Yes': -7.6563387, 'No': -8.12136, ' ': -8.528356}
{' Yes': -0.0007857313, 'Yes': -7.277833, ' yes': -9.988484, ' The': -10.968812, ' ': -10.97689}
{' Yes': -0.0004789305, 'Yes': -7.7739697, ' yes': -10.707434, ' The': -11.5794735, ' ': -11.597703}
{' Yes': -0.0014005108, 'Yes': -6.6653385, ' yes': -10.055033, ' No': -10.257555, ' ': -10.931528}
{' Yes': -0.012086932, ' No': -4.5119476, 'Yes': -7.0835586, ' ': -9.435176, ' The': -9.785329}
{' Yes': -0.05207976, ' No': -3.0023592, 'Yes': -7.141561, ' ': -9.319677, 'No': -9.407934}
{' Yes': -0.01506379, ' No': -4.287126, 'Yes': -6.943517, ' yes': -9.426259, ' ': -9.522855}
{' Yes': -0.0023610014, ' No': -6.6717143, 'Yes': -6.890813, ' yes': -10.364709, ' ': -10.973683}
{' Yes': -0.001720432, 'Yes': -6.3803415, ' yes': -11.170503, ' YES': -12.39295, ' ': -13.0612}
{' Yes': -0.055921596, ' No': -2.9358022, 'Yes': -6.9757876, ' The': -8.575021, 'No': -9.525625}
{' Yes': -0.0027680139, ' No': -6.2692566, 'Yes': -7.4780316, ' The': -8.663885, ' yes': -10.166418}
{' Yes': -0.0017557815, ' No': -6.9198275, 'Yes': -7.2618666, ' yes': -10.622838, ' ': -11.164479}
{' Yes': -0.00047410018, 'Yes': -7.817029, ' No': -10.706321, ' yes': -10.812982, ' ': -11.191265}
{' Yes': -0.006314906, ' No': -5.224462, 'Yes': -7.065187, ' yes': -10.753055, ' ': -11.555303}
{' Yes': -0.004044804, ' No': -5.7959795, 'Yes': -7.0895853, ' The': -9.368408, ' ': -10.448102}
{' Yes': -0.0013514466, 'Yes': -7.018618, ' The': -8.842718, ' ': -9.120057, ' yes': -9.430354}
{' Yes': -0.022670586, ' Board': -4.266649, ' No': -5.789722, 'Yes': -5.990697, ' yes': -7.075881}
{' Yes': -0.0020128028, 'Yes': -6.4479313, ' The': -8.73521, ' No': -8.893049, ' yes': -9.59992}
{' Yes': -0.0022037597, ' No': -6.811587, 'Yes': -7.1079297, ' The': -9.139212, ' yes': -9.461761}
{' Yes': -0.017426986, ' No': -4.093623, 'Yes': -7.65373, ' The': -9.821953, ' yes': -10.559679}
{' Yes': -0.06675417, ' No': -2.7905548, 'Yes': -6.6525984, ' The': -6.774611, ' ': -7.9803796}
{' Yes': -0.0009010445, 'Yes': -7.252761, ' No': -9.031273, ' yes': -10.178151, ' The': -10.916549}
{' Yes': -0.477248, ' No': -0.9768341, 'Yes': -6.8084283, 'No': -6.812896, ' The': -7.566689}
{' Yes': -0.0055366973, ' No': -5.319368, 'Yes': -7.582366, ' yes': -10.239175, ' YES': -10.357896}
{' Yes': -0.001909783, ' No': -6.8093076, 'Yes': -7.226977, ' yes': -10.0309105, ' ': -10.89884}
{' Yes': -0.03503461, ' No': -3.4148448, ' The': -7.778717, 'Yes': -7.884491, ' Throw': -8.00634}
{' Yes': -0.0064453147, ' No': -5.2060986, 'Yes': -7.132622, ' ': -10.024914, ' The': -10.131266}
{' Yes': -0.0008549268, 'Yes': -7.3394814, ' No': -9.073505, ' yes': -10.345369, ' The': -10.401314}
{' Yes': -0.0019643656, 'Yes': -7.105321, ' Women': -7.4538436, ' ': -7.79882, ' No': -9.381501}
{' Yes': -0.005895477, 'Yes': -5.507074, ' No': -6.7534156, ' yes': -8.273763, ' YES': -8.680526}
{' Yes': -0.0028710647, ' No': -6.2961583, 'Yes': -7.335371, '\n': -8.777775, ' yes': -8.943502}
{' No': -0.113255054, ' Yes': -2.2471452, 'No': -6.8941803, ' ': -8.752823, 'Yes': -9.115486}
{' Yes': -0.002748829, ' No': -6.3981576, 'Yes': -7.0690994, ' ': -9.60895, ' yes': -9.708784}
{' Yes': -0.00081668893, 'Yes': -7.6269665, ' No': -8.176586, ' yes': -11.003475, ' ': -11.278743}
{' Yes': -0.104300186, ' No': -2.3233554, 'Yes': -7.204436, ' The': -9.180578, 'No': -9.241882}
{' Yes': -0.0004952696, 'Yes': -7.7051225, ' yes': -10.427365, ' ': -11.822287, ' YES': -12.525909}
{' Yes': -0.00080118055, 'Yes': -7.1733093, ' yes': -10.788887, ' ': -11.739258, ' YES': -12.983332}
{' Yes': -0.0034822256, ' No': -6.104644, 'Yes': -7.0679846, ' ': -8.097353, ' Lemon': -10.45518}
{' Yes': -0.000793249, 'Yes': -7.4312453, ' No': -9.119166, ' yes': -9.877787, ' ': -10.544719}
{' Yes': -0.6642092, ' No': -0.72648036, ' The': -7.786472, ' ': -7.8282313, 'No': -7.985387}
{' No': -0.42112085, ' Yes': -1.0755818, 'No': -6.936425, ' ': -7.46918, 'Yes': -7.7695775}
{' No': -0.0028845125, ' Yes': -6.506615, 'No': -6.6327705, ' ': -10.20105, '\n': -11.157474}
{' No': -0.40639067, ' Yes': -1.1033435, 'No': -6.928441, 'Yes': -7.778367, ' ': -8.234145}
{' Yes': -0.0018552606, ' No': -6.816664, 'Yes': -7.2813215, ' yes': -10.319486, ' ': -11.236003}
{' Yes': -0.004817906, ' No': -5.6802173, 'Yes': -6.8036633, ' ': -9.252575, ' yes': -9.575662}
{' Yes': -0.0060498784, ' No': -5.4340963, 'Yes': -6.560716, ' ': -9.135459, ' yes': -9.896524}
{' Yes': -0.08566488, ' No': -2.5254824, 'Yes': -6.7814293, ' The': -7.821939, ' ': -8.37038}
{' No': -0.0017588846, 'No': -6.3743396, ' Yes': -10.313052, ' ': -11.021626, ' no': -13.656765}
{' Yes': -0.6182806, ' No': -0.7775347, 'No': -7.3580394, 'Yes': -7.6528583, ' ': -8.620291}
{' Yes': -0.0067618736, ' No': -5.556338, 'Yes': -6.8827806, ' Devil': -7.2926693, ' The': -7.5688796}
{' Yes': -0.009991224, ' No': -4.9785314, ' The': -6.7363987, ' Devil': -7.015181, 'Yes': -7.45389}
{' Yes': -0.009905741, ' No': -4.679076, 'Yes': -7.8312955, ' The': -9.455718, ' yes': -9.944686}
{' Yes': -0.00068945857, 'Yes': -7.63003, ' No': -9.133985, ' yes': -10.0617075, ' ': -10.244098}
{' Yes': -0.0738868, ' No': -2.6525056, 'Yes': -7.6116023, ' The': -9.3573475, ' ': -9.862207}
{' Yes': -0.0009302187, 'Yes': -7.521989, ' No': -8.006898, ' yes': -10.436027, ' ': -11.134473}
{' Yes': -0.03978832, ' No': -3.3145568, 'Yes': -6.2135296, ' The': -8.059251, 'No': -9.095866}
{' Yes': -0.02173597, ' No': -3.9220042, 'Yes': -6.6258655, ' The': -9.134938, ' yes': -9.546707}
{' Yes': -0.08372654, ' No': -2.537969, 'Yes': -6.999173, ' The': -8.628623, 'No': -9.293433}
{' Yes': -0.004107825, ' No': -6.0297213, 'Yes': -6.638248, ' ': -8.767423, ' yes': -9.535661}
{' Yes': -0.00875686, ' No': -4.8003883, 'Yes': -7.8943615, ' ': -10.079908, ' The': -10.421974}
{' Yes': -0.0017242541, 'Yes': -6.9530864, ' No': -7.4686527, ' Dirty': -9.26467, ' yes': -10.064822}
{' Yes': -0.0007491634, 'Yes': -7.332946, ' ': -10.506227, ' yes': -10.606656, ' YES': -10.986175}
{' Yes': -0.0009741307, 'Yes': -7.110242, ' yes': -9.755393, ' No': -10.463742, ' ': -10.546334}
{' Yes': -0.0013797994, 'Yes': -6.8639436, ' yes': -9.124093, ' YES': -9.266092, ' E': -9.715367}
{' Yes': -0.40958977, ' No': -1.3600826, ' E': -3.7447193, 'rupt': -3.9664438, ' erupt': -4.6544886}
{' Yes': -0.00064943644, 'Yes': -7.4500623, ' yes': -10.118756, ' The': -11.518975, ' ': -11.77179}
{' Yes': -0.00084908464, 'Yes': -7.2142906, ' No': -9.805311, ' yes': -10.200659, ' The': -11.875846}
{' Yes': -0.003064816, ' No': -6.440585, ' Armor': -7.1774607, 'Yes': -7.478164, ' The': -9.897426}
{' Yes': -0.0016191732, ' No': -7.0805354, 'Yes': -7.48882, ' The': -9.441607, ' yes': -9.535427}
{' Yes': -0.021155506, ' No': -3.896062, 'Yes': -7.7989507, ' ': -9.594341, ' yes': -9.971305}
{' Yes': -0.008977797, ' No': -4.8173695, 'Yes': -7.2994227, ' yes': -9.732045, ' ': -9.914939}
{' Yes': -0.0019302672, ' No': -7.098657, 'Yes': -7.5311966, ' Still': -7.8801036, ' yes': -9.742548}
{' Yes': -0.0021517333, 'Yes': -7.136446, ' No': -7.149206, ' yes': -8.711794, ' The': -8.774773}
{' Yes': -0.006165202, ' No': -5.2864175, 'Yes': -6.8895283, ' yes': -10.7681465, 'No': -11.503363}
{' Yes': -0.0020016327, ' No': -6.638051, 'Yes': -7.3845186, ' yes': -10.3536, ' ': -10.726552}
{' Yes': -0.0008613715, 'Yes': -7.151828, ' yes': -10.369697, ' The': -10.594842, ' ': -11.73753}
{' Yes': -0.0011099891, 'Yes': -7.0282073, ' The': -9.702568, ' yes': -9.733385, ' No': -10.173607}
{' No': -0.49994218, ' Yes': -0.9399942, 'No': -6.9450197, ' The': -7.1728697, 'Yes': -7.9147196}
{' Yes': -0.063164115, ' No': -2.831484, 'Yes': -6.6582527, ' The': -8.023632, ' yes': -8.264231}
{' Yes': -0.0024058125, 'Yes': -6.684128, ' No': -6.9756055, ' The': -9.35017, ' yes': -9.429863}
{' Yes': -0.0022204884, 'Yes': -6.8787847, ' No': -7.358296, ' The': -8.081179, ' yes': -9.125311}
{' No': -0.0011303964, 'No': -7.269805, ' Yes': -8.514896, ' ': -9.043872, '\n': -9.649999}
{' No': -0.001805758, 'No': -6.3988066, ' Yes': -9.496306, ' ': -10.307273, '\n': -11.03197}
{' No': -0.20286553, ' Un': -2.2781332, ' Unt': -3.3843246, ' ': -3.7009926, 'No': -4.391632}
{' No': -0.0032186643, ' Yes': -5.896817, 'No': -7.879319, ' ': -9.723958, ' False': -11.489443}
{' Yes': -0.0023688287, 'Yes': -6.287609, ' The': -8.926125, ' yes': -9.055584, ' ': -9.235791}
{' Yes': -0.0011544465, 'Yes': -7.526037, ' No': -8.443359, ' The': -8.494024, ' ': -9.10449}
{' Yes': -0.36652136, ' No': -1.2120719, ' Spice': -5.067909, 'Yes': -6.894658, ' ': -7.0258512}
{' Yes': -0.0029424967, ' No': -6.224702, 'Yes': -7.0758047, ' ': -10.313239, ' yes': -10.437861}
{' Yes': -0.0005178132, 'Yes': -7.725112, ' yes': -10.19166, ' ': -10.53719, ' YES': -11.799043}
{' Yes': -0.0011982486, 'Yes': -7.106106, ' ': -8.678465, ' No': -9.314602, ' yes': -9.691582}
{' Yes': -0.0038317759, ' No': -5.8069544, 'Yes': -7.491113, ' The': -8.987378, ' yes': -10.121049}
{' Yes': -0.21567155, ' No': -1.6580257, 'Yes': -6.40122, 'No': -7.196075, ' The': -7.5208225}
{' Yes': -0.013640298, ' No': -4.8229012, 'Yes': -5.7931542, ' The': -7.009165, '\n': -7.350567}
{' Yes': -0.000921388, 'Yes': -7.202905, ' No': -9.101424, ' yes': -10.198099, ' ': -11.132085}
{' Yes': -0.0005937923, 'Yes': -7.688816, ' No': -9.701015, ' yes': -10.092632, ' ': -11.152284}
{' Yes': -0.000759007, 'Yes': -7.4099402, ' yes': -9.645599, ' No': -10.117008, ' ': -10.557858}
{' Yes': -0.118361786, ' No': -2.2814116, ' Early': -5.6792555, 'Yes': -5.826486, ' ': -6.9660373}
{' Yes': -0.0014692134, 'Yes': -6.9564176, ' No': -8.275982, ' yes': -9.226892, ' The': -9.442163}
{' Yes': -0.0010603449, 'Yes': -7.221605, ' No': -8.31506, ' ': -10.493053, ' yes': -10.641432}
{' Yes': -0.0015170283, 'Yes': -6.9729996, ' No': -7.53325, ' yes': -10.828177, ' ': -11.452617}
{' Yes': -0.09206322, ' No': -2.49121, ' Ocean': -5.636122, ' The': -7.2365904, 'Yes': -7.4204493}
{' Yes': -0.40074018, ' No': -1.175406, ' Ocean': -4.2234406, ' The': -5.905644, 'Yes': -6.3875604}
{' No': -0.09842996, ' Yes': -2.394048, 'No': -6.23981, ' ': -8.187362, 'Yes': -8.959445}
{' Yes': -0.034288205, ' No': -3.4492834, 'Yes': -6.8320117, ' The': -7.778997, ' ': -8.770978}
{' Yes': -0.0019896284, ' No': -6.8868804, 'Yes': -6.9754863, ' yes': -11.223937, '\n': -12.146172}
{' Yes': -0.0024036611, ' No': -6.3447, 'Yes': -7.534003, ' The': -10.156933, ' yes': -10.339413}
{' Yes': -0.0014444424, 'Yes': -6.954354, ' No': -8.299536, ' The': -9.450401, ' yes': -9.538114}
{' Yes': -0.00078286754, 'Yes': -7.2429776, ' yes': -10.784255, ' YES': -11.093123, ' ': -11.16885}
{' Yes': -0.004404606, ' No': -5.6057606, 'Yes': -7.771742, ' The': -9.046194, ' yes': -9.247633}
{' Yes': -0.001311937, 'Yes': -7.4753695, ' No': -7.5036974, ' yes': -9.227292, ' The': -10.286572}
{' Yes': -0.00478706, ' No': -6.3375616, 'Yes': -6.4747863, ' Sweet': -6.983939, ' ': -7.891564}
{' Yes': -0.0030535182, 'Yes': -6.374059, ' No': -6.7530704, ' ': -9.963899, ' yes': -9.985669}
{' Yes': -0.0006421591, 'Yes': -7.436406, ' No': -10.596389, ' yes': -11.2925, ' ': -11.49805}
{' Yes': -0.064837344, ' No': -2.8385034, 'Yes': -5.84668, 'No': -7.801659, ' The': -7.879027}
{' Yes': -0.00237337, 'Yes': -6.521992, ' No': -7.2276783, ' ': -9.767197, ' yes': -9.858318}
{' Yes': -0.013650992, ' No': -4.3547745, 'Yes': -7.480222, ' yes': -9.900257, ' ': -10.127266}
{' No': -0.66065615, ' Yes': -0.7300703, 'No': -7.4205933, 'Yes': -7.6286945, ' The': -8.361937}
{' Yes': -0.08268953, ' No': -2.5441608, 'Yes': -7.396732, 'No': -9.622688, ' The': -9.681095}
{' Yes': -0.0017643785, 'Yes': -6.7895107, ' No': -8.1768055, ' The': -9.052774, ' ': -9.206129}
{' Yes': -0.0014539933, 'Yes': -6.80332, ' The': -9.021368, ' No': -9.168776, ' yes': -9.965452}
{' Yes': -0.0035825972, ' No': -5.993542, 'Yes': -7.138813, ' The': -9.35808, ' ': -9.601675}
{' Yes': -0.02196613, ' No': -3.9055395, 'Yes': -7.015385, ' The': -8.230654, ' ': -8.618992}
{' Yes': -0.021499896, ' No': -3.8861525, 'Yes': -7.443048, ' ': -9.631401, ' yes': -9.891928}
{' Yes': -0.0019222653, ' No': -6.7432075, 'Yes': -7.4467745, ' yes': -9.602827, ' ': -9.89698}
{' Yes': -0.00065277616, 'Yes': -7.607252, ' yes': -9.693924, ' The': -10.172766, ' ': -10.333691}
{' Yes': -0.0009010445, 'Yes': -7.087371, ' yes': -10.23088, ' ': -11.604011, ' YES': -11.697625}
{' Yes': -0.2655633, ' No': -1.459964, 'Yes': -7.668885, ' The': -8.619349, 'No': -9.157054}
{' Yes': -0.0021594996, ' No': -6.519989, 'Yes': -7.5644183, ' ': -9.760008, ' yes': -10.084921}
{' Yes': -0.00047028364, 'Yes': -7.876263, ' The': -10.6435, ' No': -10.71778, ' yes': -10.974132}
{' Yes': -0.0011995599, 'Yes': -7.2837806, ' No': -8.088063, ' The': -9.412885, ' yes': -9.621497}
{' Yes': -0.0007445123, 'Yes': -7.401177, ' No': -9.880783, ' ': -10.680161, ' The': -10.7765}
{' Yes': -0.051841553, ' No': -3.005802, 'Yes': -7.210422, ' ': -9.023974, 'No': -9.786029}
{' Yes': -0.0016852054, 'Yes': -6.4667063, ' yes': -9.52204, ' YES': -10.397666, ' ': -11.280225}
{' Yes': -0.0012248012, 'Yes': -7.0968204, ' No': -8.546696, ' yes': -9.6155205, '\n': -9.707243}
{' Yes': -0.0006868351, 'Yes': -7.394167, ' yes': -10.2918415, ' No': -10.550823, ' YES': -12.503518}
{' Yes': -0.042769413, ' No': -3.2016535, 'Yes': -6.9178643, 'No': -9.740354, ' yes': -9.80585}
{' Yes': -0.031213924, ' No': -3.5528965, 'Yes': -6.8948975, ' The': -7.4441013, ' ': -8.140802}
{' Yes': -0.028053284, ' No': -3.6447198, 'Yes': -6.640146, ' yes': -9.568402, ' The': -9.651442}
{' Yes': -0.000903072, 'Yes': -7.368546, ' The': -9.095538, ' No': -9.774495, ' Store': -10.328568}
{' Yes': -0.0007666419, 'Yes': -7.6430426, ' ': -9.38852, ' yes': -9.567174, ' The': -9.708444}
{' Yes': -0.00089961407, 'Yes': -7.4103613, ' No': -8.816904, ' The': -9.771661, ' yes': -9.97597}
{' Yes': -0.0012726666, 'Yes': -6.7886834, ' yes': -9.851568, ' No': -10.09729, ' ': -10.692896}
{' Yes': -0.03250173, ' No': -3.4815295, 'Yes': -7.0204215, ' yes': -8.808079, ' ': -9.449459}
{' Yes': -0.001633801, ' No': -7.018761, 'Yes': -7.3269563, ' yes': -10.173569, ' ': -10.866008}
{' Yes': -0.0022695328, 'Yes': -7.017637, ' No': -7.2148237, ' The': -7.696661, ' yes': -9.27972}
{' Yes': -0.017320853, ' No': -4.3384647, 'Yes': -5.918171, ' ': -8.07774, ' The': -8.079889}
{' Yes': -0.0021788527, 'Yes': -6.605355, ' No': -7.8791695, ' Sy': -8.185197, ' ': -9.094201}
{' Yes': -0.0022893692, 'Yes': -6.887343, ' No': -6.9076214, ' ': -8.940481, ' yes': -9.592655}
{' Yes': -0.0006001122, 'Yes': -7.714848, ' No': -9.515352, ' yes': -10.221544, ' ': -10.870748}
{' Yes': -0.00064263685, 'Yes': -7.572096, ' yes': -9.507235, ' ': -10.720051, ' YES': -11.234728}
