{' Up': -0.2724869, ' up': -1.4387046, ' "': -7.1159296, ' UP': -8.748977, ' Down': -9.052027}
{' Up': -0.040158838, ' up': -3.2414756, ' UP': -9.423459, 'Up': -9.527558, 'up': -9.577493}
{' Down': -0.10919842, ' down': -2.2733736, 'down': -8.253288, 'Down': -8.786734, ' "': -9.797302}
{' Up': -0.24161993, ' up': -2.1358783, ' Down': -2.7960362, ' down': -3.7145412, ' "': -5.5481453}
{' Down': -0.21556982, ' down': -1.7387534, 'Down': -4.669145, 'down': -4.7748885, ' "': -8.70971}
{' Up': -0.31802002, ' up': -1.3420717, 'up': -5.2259464, 'Up': -5.2399025, ' UP': -8.362743}
{' Down': -0.6144623, ' down': -0.8211884, 'down': -4.3325405, 'Down': -5.131594, ' ': -9.867479}
{' Up': -0.51341707, ' up': -1.1936483, ' Down': -2.9222398, ' down': -3.1267724, ' UP': -8.11761}
{' down': -0.3450623, ' Down': -1.253212, ' up': -5.8915, ' Up': -6.0408816, 'down': -7.242492}
{' Up': -0.35095945, ' up': -1.475721, ' Down': -3.267963, ' down': -3.544725, ' "': -8.677423}
{' Down': -0.6780131, ' down': -0.7239744, ' Up': -5.5555916, ' up': -5.6971474, 'down': -8.465942}
{' Down': -0.33239302, ' down': -1.9806035, ' Up': -2.0309842, ' up': -4.4081945, 'down': -7.233094}
{' Down': -0.7157814, ' down': -1.0710232, ' Up': -2.0883055, ' up': -3.191245, 'down': -6.1126885}
{' Up': -0.9166911, ' Down': -0.9489578, ' down': -1.9728665, ' up': -2.6164286, 'down': -7.86384}
{' Down': -0.27120626, ' down': -1.9233649, ' Up': -2.5304053, ' up': -4.5306625, 'down': -7.516201}
{' Up': -0.6428344, ' Down': -1.1908348, ' down': -2.2563448, ' up': -2.7586105, 'down': -7.0569577}
{' Down': -0.6439336, ' down': -0.83445865, ' Up': -3.5125575, ' up': -4.8956103, 'down': -5.9599824}
{' Down': -0.6422065, ' down': -0.7901424, ' Up': -4.290699, ' up': -5.520329, 'down': -6.3474336}
{' Up': -0.57523614, ' Down': -1.3089473, ' up': -2.455989, ' down': -2.5245636, 'down': -7.4346147}
{' down': -1.0550975, ' up': -1.350027, ' Up': -1.3869817, ' Down': -1.9523543, 'down': -8.555381}
{' down': -0.25532252, ' Down': -1.6137838, ' up': -4.26353, ' Up': -4.4892797, 'down': -7.5043726}
{' up': -0.6836097, ' Up': -0.84595186, ' down': -3.0355842, ' Down': -4.063962, ' UP': -7.967261}
{' down': -0.31087184, ' Down': -1.365813, ' up': -4.925925, ' Up': -5.4714227, 'down': -7.937491}
{' Down': -0.85193557, ' Up': -1.138177, ' down': -1.61012, ' up': -3.0140314, 'down': -6.517867}
{' Down': -0.50344455, ' down': -1.2414759, ' Up': -2.4806519, ' up': -4.0614123, 'down': -5.7890663}
{' Down': -0.25119433, ' down': -1.5183718, ' Up': -6.763971, 'down': -6.9289412, 'Down': -7.2298546}
{' Up': -0.19601642, ' Down': -2.008871, ' up': -3.4446964, ' down': -4.4953876, 'Up': -8.284176}
{' Up': -0.34912717, ' Down': -1.6087477, ' up': -2.7914145, ' down': -3.4401436, ' UP': -7.5961146}
{' Down': -0.37744668, ' down': -1.8977981, ' Up': -1.9010844, ' up': -4.2477107, 'down': -8.13893}
{' Up': -0.31332114, ' Down': -1.7042551, ' up': -2.8810434, ' down': -3.4969168, ' UP': -7.89103}
{' Down': -0.21789163, ' down': -2.3499124, ' Up': -2.3913, ' up': -4.780519, 'down': -8.580364}
{' down': -1.0438366, ' Down': -1.1638393, ' Up': -1.6414698, ' up': -2.0449636, 'down': -4.951092}
{' Down': -0.8781554, ' down': -0.9017149, ' Up': -2.135825, ' up': -3.0436902, 'down': -4.7432833}
{' Up': -0.6712126, ' up': -1.2419122, ' down': -2.2917244, ' Down': -2.3727448, 'down': -6.2450194}
{' Down': -0.6974898, ' down': -0.7556163, ' Up': -4.50628, 'down': -4.608924, ' up': -4.8680067}
{' Up': -0.6714502, ' up': -0.71715784, ' UP': -7.4133096, ' "': -8.660711, 'Up': -9.62463}
{' Down': -0.39570394, ' down': -1.1193863, 'down': -8.956735, 'Down': -9.015288, ' "': -10.038127}
{' Up': -0.14382648, ' up': -2.013503, ' UP': -7.8931413, 'Up': -9.988965, 'up': -11.073124}
{' down': -0.5435508, ' Down': -0.869776, 'down': -8.701317, 'Down': -9.527311, ' "': -10.999947}
{' Up': -0.06606738, ' up': -2.7604375, ' UP': -7.9642377, 'Up': -8.420586, 'up': -9.712874}
{' Down': -0.058737457, ' down': -2.8729787, 'Down': -8.020538, 'down': -8.800528, ' DOWN': -10.930521}
{' Up': -0.031565294, ' up': -3.482899, ' UP': -8.572117, 'Up': -9.017422, 'up': -10.321009}
{' Down': -0.19959158, ' down': -1.7132063, 'down': -7.950623, 'Down': -8.274123, ' "': -10.735241}
{' Up': -0.036646638, ' up': -3.3454576, ' UP': -7.7971864, 'Up': -8.439344, ' "': -9.701192}
{' Down': -0.054427084, ' down': -2.9534407, 'Down': -7.5871754, 'down': -8.350145, ' "': -10.280413}
{' Up': -0.022342373, ' up': -3.839395, ' UP': -7.8955517, 'Up': -8.715539, 'up': -10.672302}
{' Down': -0.19559449, ' down': -1.7336518, 'Down': -7.6328464, 'down': -7.706907, ' DOWN': -10.328948}
{' up': -0.28816706, ' Up': -1.3874999, ' UP': -8.084966, ' "': -8.763597, 'up': -9.180083}
{' down': -0.3392104, ' Down': -1.248066, 'down': -7.9136195, 'Down': -8.836998, ' "': -9.843901}
{' up': -0.39180923, ' Up': -1.1282079, ' UP': -8.271908, 'up': -8.802061, 'Up': -9.301619}
{' down': -0.1526285, ' Down': -1.9586358, 'down': -7.8897386, 'Down': -9.625071, ' "': -10.145294}
{' Up': -0.122786485, ' up': -2.1757114, 'Up': -7.070784, ' UP': -7.1242514, 'up': -8.414434}
{' Down': -0.15446289, ' down': -1.960558, 'Down': -6.584512, 'down': -7.251421, ' DOWN': -8.988066}
{' Up': -0.037513994, ' up': -3.3374271, 'Up': -7.4195857, ' UP': -7.538433, 'up': -9.188829}
{' Down': -0.31796727, ' down': -1.3073777, 'Down': -6.9536715, 'down': -7.114732, ' ': -10.401231}
{' Up': -0.049828805, ' up': -3.0418673, ' UP': -7.380624, 'Up': -9.002875, ' "': -9.520114}
{' Down': -0.071659304, ' down': -2.6777382, 'Down': -8.377623, 'down': -8.932877, ' DOWN': -10.330639}
{' Up': -0.042166844, ' up': -3.1980984, ' UP': -8.1611185, 'Up': -9.28814, 'up': -10.377851}
{' Down': -0.13872878, ' down': -2.0478816, 'down': -8.404557, 'Down': -8.534104, ' "': -9.79235}
{' Up': -0.48906446, ' up': -0.9715856, 'Up': -5.5300474, 'up': -6.047795, ' UP': -6.3195543}
{' Down': -0.32649568, ' down': -1.3436351, 'Down': -4.645921, 'down': -4.839933, ' DOWN': -9.492032}
{' Up': -0.119205385, ' up': -2.2668762, 'Up': -5.0522647, 'up': -6.5238237, ' UP': -7.1858587}
{' down': -0.38681734, ' Down': -1.1985239, 'down': -4.274106, 'Down': -5.284692, ' DOWN': -9.557575}
{' Up': -0.48534346, ' up': -0.9578128, 'up': -8.013284, ' UP': -8.530725, 'Up': -8.72619}
{' down': -0.4898564, ' Down': -0.95008814, 'down': -7.940694, 'Down': -8.553397, ' DOWN': -11.199402}
{' Up': -0.44284979, ' up': -1.0291975, ' UP': -8.164249, ' "': -9.407584, 'Up': -9.49991}
{' Down': -0.6590344, ' down': -0.7293222, 'down': -8.259124, 'Down': -8.97363, ' "': -11.081993}
{' Up': -0.06727745, ' up': -2.7430835, 'up': -8.093932, 'Up': -8.336286, ' UP': -9.718949}
{' Down': -0.19281818, ' down': -1.7486845, 'down': -7.280958, 'Down': -7.3836174, ' "': -10.336527}
{' Up': -0.044530623, ' up': -3.146486, 'Up': -8.2706785, ' UP': -8.53538, 'up': -9.829509}
{' Down': -0.058893662, ' down': -2.8736804, 'Down': -7.7308297, 'down': -8.514868, ' DOWN': -10.278662}
{' Up': -0.028563984, ' up': -3.5959961, 'Up': -8.053887, 'up': -8.588931, ' UP': -8.875521}
{' Down': -0.11129326, ' down': -2.2688994, 'Down': -6.7236524, 'down': -7.3745394, ' DOWN': -10.237885}
{' Up': -0.04157601, ' up': -3.2168727, ' UP': -8.147761, 'Up': -8.295223, 'up': -9.899449}
{' Down': -0.04974473, ' down': -3.0536394, 'Down': -7.0047803, 'down': -7.963462, ' DOWN': -9.823548}
{' up': -0.48714688, ' Up': -0.95491666, 'up': -7.6776357, ' UP': -9.071266, 'Up': -9.167096}
{' down': -0.17424509, ' Down': -1.8393052, 'down': -7.2356114, 'Down': -8.50744, ' "': -10.446044}
{' up': -0.24289086, ' Up': -1.5382591, ' UP': -8.098287, 'up': -8.168851, 'Up': -8.88198}
{' down': -0.20302309, ' Down': -1.7000513, 'down': -7.1190577, 'Down': -8.553288, ' "': -10.359097}
{' Up': -0.060214523, ' up': -2.876039, 'Up': -6.8960276, 'up': -7.218833, ' UP': -8.280527}
{' Down': -0.27155405, ' down': -1.4510432, 'Down': -6.220425, 'down': -6.562112, ' DOWN': -10.074533}
{' Up': -0.09455127, ' up': -2.4345741, ' UP': -6.6305327, 'Up': -7.032272, 'up': -8.456024}
{' Down': -0.10656799, ' down': -2.3328347, 'Down': -5.921313, 'down': -6.918003, ' DOWN': -8.318119}
{' Up': -0.03202958, ' up': -3.4680207, 'Up': -9.134694, ' UP': -9.240487, 'up': -9.372994}
{' Down': -0.102926634, ' down': -2.3320372, 'Down': -7.926922, 'down': -8.168636, ' "': -10.144329}
{' Up': -0.046929896, ' up': -3.0991642, ' UP': -7.610498, 'Up': -8.901342, ' "': -9.349082}
{' Down': -0.038514283, ' down': -3.285016, 'Down': -8.539613, 'down': -9.275134, ' "': -10.467352}
{' Up': -0.15074968, ' up': -2.04468, 'Up': -5.0084057, 'up': -5.6498756, ' UP': -8.7839985}
{' Down': -0.34015545, ' down': -1.3559331, 'Down': -3.9897714, 'down': -4.426472, ' ': -9.064188}
{' Up': -0.43814635, ' up': -1.0796258, 'Up': -4.668054, 'up': -5.4159546, ' UP': -7.0428214}
{' Down': -0.5822041, ' down': -0.9264157, 'down': -3.5327294, 'Down': -4.1407504, ' ': -9.268548}
{' down': -0.33413047, ' Down': -1.2988083, ' Up': -5.2421827, ' up': -5.630061, 'down': -6.4027567}
{' down': -0.3079026, ' Down': -1.4400247, ' up': -4.2348228, ' Up': -4.563674, 'down': -6.158717}
{' down': -0.30256245, ' up': -2.0387647, ' Down': -2.4403684, ' Up': -3.188112, 'down': -6.363479}
{' down': -0.06498325, ' Down': -2.8388977, 'down': -6.1445103, ' up': -6.656431, ' Up': -7.714319}
{' down': -0.7569021, ' Down': -0.87538284, ' Up': -2.5626118, ' up': -3.7777455, 'down': -4.973851}
{' down': -0.6864982, ' Down': -0.74640036, ' Up': -4.606483, 'down': -5.320579, ' up': -5.4524283}
{' down': -0.6071142, ' Down': -0.89788, ' Up': -3.7834506, ' up': -4.125421, 'down': -5.415696}
{' down': -0.53362864, ' Down': -0.9022657, 'down': -5.8504195, ' Up': -6.2657533, ' "': -6.4396553}
{' Down': -0.38654342, ' down': -1.1679498, 'down': -5.703296, ' Up': -5.8436284, 'Down': -6.468538}
{' down': -0.70405877, ' Down': -0.73354256, ' Up': -4.56816, 'down': -5.034339, ' up': -5.7231684}
{' Down': -0.6759263, ' down': -0.7371006, ' Up': -5.328678, 'down': -5.8733215, ' up': -6.0786777}
{' Down': -0.6179774, ' down': -0.7975771, ' Up': -5.7194576, 'down': -5.9044213, ' "': -6.109735}
{' down': -0.18001002, ' Down': -1.8898392, ' up': -5.1316357, ' Up': -5.477482, 'down': -6.265405}
{' down': -0.47251937, ' Down': -1.1357465, ' Up': -3.5135388, ' up': -3.7943347, 'down': -6.336611}
{' down': -0.47435057, ' up': -1.8107479, ' Down': -1.9725006, ' Up': -2.6293266, 'down': -6.6323476}
{' down': -0.10465881, ' Down': -2.4251182, ' up': -5.094086, ' Up': -6.1868687, 'down': -6.4937477}
{' down': -0.7254799, ' Down': -0.7765149, ' Up': -3.4529197, 'down': -4.8813405, ' up': -4.9556093}
{' Down': -0.3390324, ' down': -1.3191063, ' Up': -4.841277, 'down': -5.2847853, 'Down': -5.556649}
{' Down': -0.41822162, ' down': -1.1414025, ' Up': -4.3608675, 'down': -5.615605, 'Down': -5.789166}
{' down': -0.6043279, ' Down': -0.8360383, ' Up': -4.9710803, 'down': -5.3740745, ' "': -5.6776633}
{' Down': -0.563934, ' down': -0.88688636, ' Up': -4.751476, ' "': -5.2459846, 'down': -6.048919}
{' Down': -0.46750906, ' down': -1.0663728, ' Up': -3.9782836, ' up': -5.458689, ' "': -5.6428475}
{' Down': -0.4641693, ' down': -1.0307015, ' Up': -4.7414136, ' up': -5.9870605, 'down': -6.5530324}
{' Down': -0.5735438, ' down': -0.89718467, ' Up': -4.0536866, ' "': -5.294052, ' up': -5.4818325}
{' down': -0.5011247, ' Down': -1.1427835, ' Up': -3.6991093, 'down': -3.7955713, ' up': -4.2798853}
{' down': -0.57291234, ' Down': -0.9425221, 'down': -3.48345, 'Down': -4.5950317, ' Up': -6.230514}
{' down': -0.39625123, ' Down': -1.2872634, 'down': -3.415065, 'Down': -4.562736, ' up': -6.0365443}
{' down': -0.25203916, ' Down': -1.6946337, 'down': -3.5375595, 'Down': -5.3294716, ' "': -6.3673663}
{' Down': -0.44414666, ' down': -1.0273014, 'down': -7.7450705, 'Down': -8.639358, ' "': -10.536906}
{' Up': -0.39635798, ' up': -1.1184173, ' UP': -8.262065, 'Up': -9.541137, 'up': -9.876437}
{' down': -0.32052404, ' Down': -1.2952917, 'down': -8.051515, 'Down': -9.440371, ' DOWN': -11.700245}
{' Up': -0.5557784, ' up': -0.8532408, ' UP': -8.262553, 'up': -10.141292, 'Up': -10.15131}
{' Down': -0.042594433, ' down': -3.191556, 'Down': -7.9599047, 'down': -8.449515, ' DOWN': -11.132974}
{' Up': -0.03303035, ' up': -3.4377866, 'Up': -8.706424, ' UP': -9.070225, 'up': -10.280119}
{' Down': -0.15021335, ' down': -1.9746304, 'down': -8.013012, 'Down': -8.09133, ' DOWN': -11.344281}
{' Up': -0.068217225, ' up': -2.7241352, 'Up': -8.935653, ' UP': -8.941131, 'up': -9.705207}
{' Down': -0.048514683, ' down': -3.0774872, 'Down': -7.114623, 'down': -7.75952, ' DOWN': -10.765944}
{' Up': -0.025530538, ' up': -3.7005508, 'Up': -8.287645, ' UP': -8.930586, ' "': -9.951103}
{' Down': -0.059118755, ' down': -2.8725874, 'Down': -7.5082536, 'down': -8.193308, ' DOWN': -11.473477}
{' Up': -0.013459526, ' up': -4.339612, 'Up': -8.687308, ' UP': -9.037654, 'up': -10.589398}
{' down': -0.5887956, ' Down': -0.81185424, 'down': -7.3501534, 'Down': -8.267261, ' "': -10.374764}
{' up': -0.4414619, ' Up': -1.0322136, ' UP': -8.423263, 'up': -8.623068, 'Up': -8.852226}
{' down': -0.18303543, ' Down': -1.7920175, 'down': -7.6057954, 'Down': -9.078714, ' DOWN': -11.539401}
{' up': -0.29720727, ' Up': -1.3604357, ' UP': -8.391048, 'up': -8.470494, 'Up': -9.257635}
{' Down': -0.1516778, ' down': -1.9853665, 'Down': -6.189353, 'down': -6.7311435, ' DOWN': -9.026853}
{' Up': -0.12424635, ' up': -2.1618476, 'Up': -7.267411, ' UP': -7.325675, 'up': -8.486333}
{' Down': -0.29403594, ' down': -1.3776256, 'Down': -6.5097833, 'down': -6.8940115, ' DOWN': -10.07842}
{' Up': -0.04179351, ' up': -3.2224824, 'Up': -7.4790034, ' UP': -8.02901, 'up': -8.92538}
{' Down': -0.027256086, ' down': -3.6264935, 'Down': -8.705613, 'down': -9.342305, ' DOWN': -11.172045}
{' Up': -0.023966257, ' up': -3.76372, ' UP': -8.022505, 'Up': -9.295744, ' "': -10.107162}
{' Down': -0.08468996, ' down': -2.5160291, 'Down': -8.485279, 'down': -8.695785, ' DOWN': -10.780304}
{' Up': -0.035115425, ' up': -3.3790598, ' UP': -8.164378, 'Up': -9.506179, 'up': -10.177524}
{' Down': -0.2029275, ' down': -1.7754352, 'Down': -4.801896, 'down': -5.1390424, ' ': -9.439592}
{' Up': -0.16562608, ' up': -1.9171369, 'Up': -5.7404284, 'up': -6.7836547, ' UP': -7.206672}
{' Down': -0.5656184, ' down': -0.879404, 'down': -4.619316, 'Down': -4.973999, ' ': -9.070182}
{' Up': -0.19495049, ' up': -1.7640537, 'Up': -5.830979, 'up': -6.515539, ' UP': -6.8044624}
{' Down': -0.11099771, ' down': -2.2586267, 'Down': -7.8733625, 'down': -8.760198, ' DOWN': -11.098254}
{' Up': -0.03904604, ' up': -3.278914, ' UP': -7.789295, 'Up': -8.721214, 'up': -10.670082}
{' Down': -0.05120281, ' down': -3.006336, 'Down': -8.164331, 'down': -9.435829, ' DOWN': -9.73965}
{' Up': -0.10006652, ' up': -2.380521, ' UP': -5.9755244, 'Up': -8.930928, 'up': -10.47523}
{' Down': -0.13720009, ' down': -2.0699582, 'Down': -6.761201, 'down': -7.1546926, ' "': -10.006845}
{' Up': -0.01720624, ' up': -4.0961647, 'Up': -8.243702, ' UP': -9.207222, 'up': -10.369728}
{' Down': -0.034494627, ' down': -3.4134734, 'Down': -7.264009, 'down': -8.476145, ' DOWN': -10.326715}
{' Up': -0.03566625, ' up': -3.3730552, ' UP': -7.9853406, 'Up': -8.020149, 'up': -9.997063}
{' Down': -0.121470526, ' down': -2.1999638, 'Down': -6.1010346, 'down': -6.7315087, ' DOWN': -9.575944}
{' Up': -0.0115237925, ' up': -4.5444174, ' UP': -7.834761, 'Up': -7.864416, 'up': -10.427056}
{' Down': -0.054407135, ' down': -2.9784715, 'Down': -6.6036963, 'down': -7.596563, ' DOWN': -9.136451}
{' Up': -0.041871138, ' up': -3.2305956, ' UP': -7.179539, 'Up': -7.6260285, ' "': -8.8724575}
{' Down': -0.6116717, ' down': -0.78445274, 'Down': -7.495899, 'down': -7.680138, ' "': -8.953516}
{' Up': -0.11528091, ' up': -2.2220638, 'Up': -8.682317, ' UP': -8.76265, ' Down': -9.812409}
{' Down': -0.2950599, ' down': -1.3704994, 'Down': -7.126593, 'down': -7.4740314, ' DOWN': -9.588232}
{' Up': -0.388428, ' up': -1.1383289, ' UP': -7.1913795, 'Up': -7.8052044, 'up': -8.496923}
{' Down': -0.13592184, ' down': -2.109072, 'Down': -5.555836, 'down': -6.3710575, ' DOWN': -9.249456}
{' Up': -0.028548585, ' up': -3.6345112, 'Up': -7.0286245, ' UP': -7.2544026, 'up': -9.058255}
{' Down': -0.033595435, ' down': -3.5213542, 'Down': -5.943614, 'down': -7.459737, ' DOWN': -8.408454}
{' Up': -0.060458146, ' up': -2.8991766, ' UP': -6.0677724, 'Up': -6.883272, 'up': -8.9439125}
{' Down': -0.07986308, ' down': -2.5810015, 'Down': -7.5231256, 'down': -7.7095647, ' "': -9.971794}
{' Up': -0.0070295483, ' up': -5.0304055, ' UP': -8.013017, 'Up': -9.127852, 'up': -11.350501}
{' Down': -0.015361658, ' down': -4.224088, 'Down': -7.82706, 'down': -9.0287485, ' DOWN': -9.852639}
{' Up': -0.019287596, ' up': -4.0184765, ' UP': -7.0380282, 'Up': -8.552513, 'up': -10.587391}
{' Down': -0.7164511, ' down': -0.7586664, 'down': -3.6138527, 'Down': -4.1617656, ' ': -7.695239}
{' Up': -0.198293, ' up': -1.7730057, 'Up': -5.1058455, 'up': -5.938996, ' UP': -6.9838915}
{' Down': -0.26549923, ' down': -1.5572397, 'Down': -4.4593086, 'down': -4.5776787, ' DOWN': -8.140038}
{' Up': -0.2361109, ' up': -1.6740878, 'Up': -4.134981, 'up': -5.514599, ' UP': -6.1683173}
{' down': -0.33837867, ' Down': -1.2941129, ' up': -4.6971545, ' Up': -5.9484653, 'down': -7.2284803}
{' down': -0.17908056, ' Down': -2.0663924, ' up': -3.5061142, ' Up': -5.0924125, 'down': -7.2613573}
{' down': -0.2846669, ' Down': -1.5660161, ' up': -3.6932285, ' Up': -4.392436, 'down': -6.9809537}
{' down': -0.4400573, ' up': -1.6465526, ' Down': -2.0730891, ' Up': -3.3116198, 'down': -7.4976935}
{' Down': -0.27098078, ' down': -1.4522209, 'down': -6.4198475, 'Down': -7.2321873, ' Up': -7.3337193}
{' Down': -0.70691526, ' down': -1.4119629, ' Up': -1.6666569, ' up': -2.659979, 'down': -6.2191944}
{' Down': -0.42324919, ' down': -1.0971022, ' Up': -4.975516, ' up': -6.1777487, 'down': -6.640042}
{' Down': -0.2513947, ' down': -1.7269882, ' Up': -3.3469908, ' up': -4.875944, 'down': -7.157354}
{' Down': -0.19328384, ' down': -1.7774074, ' Up': -6.0060616, 'down': -6.0907927, 'Down': -6.6990666}
{' Down': -0.29975766, ' down': -1.6171386, ' Up': -3.0072505, ' up': -4.967438, 'down': -6.0586343}
{' Down': -0.16752458, ' down': -2.0366366, ' Up': -3.9581242, ' up': -6.2672048, 'down': -6.5744023}
{' Down': -0.14264001, ' down': -2.2067, ' Up': -4.008473, ' up': -6.140574, 'down': -6.7340703}
{' down': -0.15642056, ' Down': -2.0431316, ' up': -4.472649, ' Up': -6.2052565, 'down': -6.571223}
{' down': -0.26713127, ' up': -2.0222085, ' Down': -2.5263877, ' Up': -3.89739, 'down': -6.762374}
{' down': -0.07893475, ' Down': -2.8990164, ' up': -4.0644636, ' Up': -6.177977, 'down': -6.7339463}
{' down': -0.34117332, ' up': -1.8711226, ' Down': -2.213274, ' Up': -3.716488, 'down': -7.0975604}
{' Down': -0.5964235, ' down': -0.8391566, 'down': -4.7351027, 'Down': -5.8430147, ' Up': -5.914951}
{' Down': -0.6527995, ' down': -0.9135112, ' Up': -3.1219347, ' up': -3.8499315, 'down': -4.773264}
{' Down': -0.56162536, ' down': -0.88337976, ' Up': -5.019761, 'down': -5.333888, ' up': -5.966601}
{' Down': -0.49895796, ' down': -1.0238373, ' Up': -3.9904394, ' up': -4.5956144, 'down': -5.835464}
{' Down': -0.27965945, ' down': -1.4201738, ' Up': -6.931963, 'down': -7.1840434, ' up': -8.221309}
{' Down': -0.7702116, ' Up': -0.9975637, ' down': -2.166654, ' up': -2.946485, 'down': -7.764426}
{' Down': -0.26028407, ' down': -1.5034556, ' Up': -5.2622523, ' up': -7.0469694, 'down': -7.798707}
{' Down': -0.38011685, ' down': -1.9203409, ' Up': -1.9795163, ' up': -3.4795566, 'down': -8.090663}
{' down': -0.6503937, ' Down': -0.7915166, 'down': -4.378541, 'Down': -5.2800245, ' up': -5.6460714}
{' down': -0.3480495, ' Down': -1.4412158, ' up': -3.675373, ' Up': -4.186779, 'down': -4.4772987}
{' down': -0.39376736, ' Down': -1.2674875, ' up': -4.201318, 'down': -4.3567114, ' Up': -4.444133}
{' down': -0.64446306, ' Down': -0.8659997, ' up': -3.895371, ' Up': -4.0956006, 'down': -4.4661717}
{' Up': -0.6206512, ' up': -0.80288315, ' down': -4.7521267, ' Down': -5.456375, ' "': -6.7189255}
{' down': -0.46520662, ' Down': -0.9974217, ' up': -6.6264424, ' Up': -6.7816544, 'down': -7.6501603}
{' up': -0.18069388, ' Up': -1.8046846, 'up': -8.058734, ' down': -8.252767, ' UP': -9.200164}
{' down': -0.1275221, ' Down': -2.1271138, 'down': -7.7146263, ' "': -9.901297, 'Down': -10.257044}
{' Up': -0.0766433, ' up': -3.16206, ' Down': -3.6244261, ' down': -5.6502347, ' "': -7.1073074}
{' Down': -0.2649278, ' down': -1.4694184, 'down': -6.942054, ' Up': -7.088227, 'Down': -7.43073}
{' Up': -0.13823533, ' up': -2.0701618, ' Down': -6.278338, ' down': -7.577242, 'up': -8.421125}
{' Down': -0.27322286, ' down': -1.4377718, 'down': -6.8059144, 'Down': -7.698895, ' "': -10.52698}
{' Up': -0.17796984, ' Down': -2.2039, ' up': -3.3692157, ' down': -4.105988, ' "': -6.8588815}
{' Down': -0.12391389, ' down': -2.1699133, 'down': -7.0101185, 'Down': -7.0117726, ' Up': -8.152284}
{' Up': -0.06993897, ' up': -2.7808573, ' Down': -5.5063176, ' down': -7.3567815, 'Up': -8.355715}
