{' Yes': -0.023977548, ' No': -3.916216, 'Yes': -5.6816344, ' The': -8.715471, 'No': -9.452027}
{' Yes': -0.12457723, ' No': -2.1602428, 'Yes': -6.6228337, 'No': -8.595114, ' yes': -8.62129}
{' Yes': -0.090183035, ' No': -2.483383, 'Yes': -6.1745577, ' The': -8.204665, 'No': -8.580991}
{' No': -0.44852874, ' Yes': -1.0557027, ' Door': -4.5846405, 'No': -6.6521688, ' The': -7.2768345}
{' Yes': -0.5245665, ' No': -1.2085893, ' Door': -2.2654302, ' ': -5.97566, 'Yes': -6.819932}
{' No': -0.071689144, ' Yes': -2.7153602, 'No': -6.319808, ' The': -7.606246, 'Yes': -7.962632}
{' No': -0.5327574, ' Yes': -0.8906467, 'Yes': -6.62172, 'No': -7.1849504, ' The': -8.07811}
{' No': -0.04470812, ' Yes': -3.2173457, 'No': -5.849954, ' The': -8.037418, 'Yes': -8.937527}
{' No': -0.17362125, ' Yes': -1.85872, 'No': -6.026164, 'Yes': -7.5497103, ' The': -8.260187}
{' Yes': -0.043522056, ' No': -3.244011, 'Yes': -5.883257, ' The': -8.460281, 'No': -8.598301}
{' Yes': -0.46403018, ' No': -0.99854183, 'Yes': -6.617806, 'No': -6.9640756, ' ': -8.405202}
{' Yes': -0.1768578, ' No': -1.8315933, 'Yes': -6.5815516, 'No': -8.054923, ' ': -9.735906}
{' Yes': -0.031177027, ' No': -3.522369, 'Yes': -6.926231, ' yes': -9.821147, 'No': -10.129514}
{' Yes': -0.29533038, ' No': -1.3764479, ' Most': -6.518762, 'Yes': -6.8053703, 'No': -7.8672557}
{' Yes': -0.6093674, ' No': -0.8140775, ' Most': -4.6035423, 'Yes': -6.5486317, 'No': -6.752182}
{' Yes': -0.3041642, ' No': -1.3523495, 'Yes': -6.529519, ' The': -7.113397, 'No': -7.1165595}
{' Yes': -0.0029278537, ' No': -6.430259, 'Yes': -6.72838, ' yes': -9.805174, ' The': -10.728462}
{' No': -0.2265585, ' Yes': -1.6119077, 'No': -6.0750804, 'Yes': -7.431938, ' The': -9.086227}
{' Yes': -0.07581164, ' No': -2.6522582, 'Yes': -6.2117615, ' The': -8.628019, 'No': -8.741743}
{' Yes': -0.1882305, ' No': -1.7792645, 'Yes': -6.7671013, ' The': -7.1660137, 'No': -7.9416976}
{' Yes': -0.024316255, ' No': -3.8455212, 'Yes': -6.1624904, ' The': -8.416999, ' yes': -9.054305}
{' No': -0.03643013, ' Yes': -3.3952882, 'No': -6.203418, 'Yes': -9.591393, ' ': -9.699187}
{' Yes': -0.6388271, ' No': -0.76061904, 'No': -6.311223, 'Yes': -6.5596533, ' The': -6.9655595}
{' No': -0.11402361, ' Yes': -2.2558978, 'No': -6.0209103, 'Yes': -8.505564, ' ': -8.871786}
{' No': -0.26714823, ' Yes': -1.4607784, 'No': -6.3900003, 'Yes': -7.9359713, ' The': -8.739266}
{' Yes': -0.0055148806, 'Yes': -5.7139263, ' No': -6.1779613, ' yes': -9.944452, ' The': -10.420204}
{' Yes': -0.003496461, 'Yes': -6.376978, ' No': -6.414938, ' yes': -9.87627, ' The': -9.883463}
{' Yes': -0.07671249, ' No': -2.646718, 'Yes': -6.233687, ' ': -8.217758, ' The': -8.413015}
{' Yes': -0.023851486, ' No': -3.827452, 'Yes': -6.5330486, ' The': -9.008439, ' yes': -9.456994}
{' Yes': -0.23606288, ' No': -1.5652504, 'Yes': -7.132688, 'No': -8.537104, ' yes': -9.50924}
{' Yes': -0.09772706, ' No': -2.3928492, 'Yes': -6.641833, 'No': -8.589712, ' The': -8.966795}
{' Yes': -0.002907528, 'Yes': -5.930571, ' No': -8.655416, ' ': -10.430702, ' yes': -10.488638}
{' Yes': -0.046280127, ' No': -3.1361427, 'Yes': -6.5341735, ' yes': -9.257463, 'No': -9.4675255}
{' No': -0.15283221, ' Yes': -1.9786453, 'No': -6.268268, ' The': -7.143535, 'Yes': -7.6453533}
{' No': -0.10254688, ' Yes': -2.3577673, 'No': -6.0170097, 'Yes': -8.386286, ' The': -9.638659}
{' No': -0.30145627, ' Yes': -1.3538034, 'No': -6.6911254, 'Yes': -7.588002, ' ': -8.829986}
{' No': -0.11595564, ' Yes': -2.235697, 'No': -6.222094, 'Yes': -7.837278, ' ': -9.743389}
{' No': -0.04791137, ' Yes': -3.1251054, 'No': -6.0204973, ' The': -8.778109, 'Yes': -9.326146}
{' No': -0.14961998, ' Yes': -1.9950427, 'No': -6.0903144, 'Yes': -8.039428, ' The': -8.661443}
{' No': -0.4990061, ' Yes': -0.93897796, 'No': -7.193662, 'Yes': -7.3661437, ' The': -8.270992}
{' No': -0.13801423, ' Yes': -2.0728421, 'No': -6.0478363, 'Yes': -7.9912066, ' The': -9.033924}
{' Yes': -0.03122407, ' No': -3.5444992, 'Yes': -6.617833, ' The': -8.717208, '\n': -9.060618}
{' Yes': -0.025369918, ' No': -3.757656, 'Yes': -6.969263, ' The': -7.5441184, ' ': -9.465759}
{' Yes': -0.021756195, ' No': -3.9517314, ' The': -6.869406, 'Yes': -6.940091, ' yes': -8.786527}
{' Yes': -0.01487387, ' No': -4.3869514, 'Yes': -6.408453, ' The': -8.307916, ' yes': -8.472237}
{' Yes': -0.02216319, ' No': -3.9293172, 'Yes': -6.5198064, ' The': -7.832938, ' YES': -8.750915}
{' Yes': -0.002976155, 'Yes': -6.5367265, ' No': -6.7967114, ' The': -8.412582, ' yes': -9.481104}
{' No': -0.03678787, ' Yes': -3.387629, 'No': -6.734789, ' ': -7.4446645, ' The': -8.002922}
{' Yes': -0.3375184, ' No': -1.2563301, 'Yes': -7.4469786, 'No': -8.313914, ' ': -8.323911}
{' Yes': -0.122723885, ' No': -2.258361, ' Late': -5.182542, 'Yes': -5.7849607, ' ': -7.161988}
{' Yes': -0.01983445, ' No': -3.9789922, 'Yes': -7.3801365, ' ': -9.2146435, ' yes': -9.420004}
{' No': -0.006722089, ' Yes': -5.489159, 'No': -6.033608, ' The': -9.511134, ' ': -10.127752}
{' Yes': -0.23169705, ' No': -1.5903703, 'Yes': -6.4509706, 'No': -7.3073874, ' The': -8.165339}
{' Yes': -0.005844276, 'Yes': -5.8955503, ' No': -5.9722066, ' Wife': -8.338232, ' ': -9.138054}
{' No': -0.21506076, ' Yes': -1.64776, 'No': -7.2911596, 'Yes': -8.657233, ' ': -9.523959}
{' Yes': -0.0064133424, ' No': -5.2043195, 'Yes': -7.333704, ' ': -9.104003, ' yes': -9.571749}
{' Yes': -0.014273065, ' No': -4.3506317, 'Yes': -7.003923, ' yes': -9.230129, '\n': -9.274521}
{' Yes': -0.12846088, ' No': -2.139039, 'Yes': -6.329959, ' ': -8.036476, 'No': -8.039231}
{' Yes': -0.13561662, ' No': -2.0813544, 'Yes': -6.530161, 'No': -7.9047623, ' The': -9.307301}
{' Yes': -0.002057777, 'Yes': -6.8545766, ' No': -7.282869, ' The': -9.018634, ' ': -9.658067}
{' No': -0.0701665, ' Yes': -2.8921497, 'No': -4.5242567, 'Yes': -7.1451283, ' yes': -8.63992}
{' Yes': -0.0028505016, ' No': -6.2403455, 'Yes': -7.3964753, ' yes': -9.277829, ' ': -9.417096}
{' Yes': -0.19434279, ' No': -1.7435677, 'Yes': -7.10008, ' The': -7.9134703, 'No': -8.457255}
{' Yes': -0.037677072, ' No': -3.3668833, 'Yes': -6.1976194, ' The': -8.929468, ' ': -9.175197}
{' Yes': -0.001741269, 'Yes': -6.887661, ' No': -7.6261044, ' yes': -9.089952, ' The': -9.404145}
{' No': -0.17215933, ' Yes': -1.8581374, 'No': -6.5173316, 'Yes': -8.010257, ' The': -8.485471}
{' Yes': -0.16730879, ' No': -1.9082775, ' The': -6.0358424, 'Yes': -6.0571003, 'No': -7.735754}
{' No': -0.008258697, 'No': -4.844854, ' Yes': -8.150402, ' ': -10.004689, ' Not': -12.03182}
{' No': -0.07886103, ' Yes': -2.6248853, 'No': -5.8054347, 'Yes': -8.536693, ' ': -9.57894}
{' Yes': -0.1188192, ' No': -2.2095938, ' The': -7.1212277, 'Yes': -7.1655965, '\n': -8.330282}
{' No': -0.35807696, ' Yes': -1.2063416, 'No': -6.7724047, 'Yes': -7.938994, ' ': -9.386586}
{' Yes': -0.0027851085, ' No': -6.188887, 'Yes': -7.3575897, ' yes': -10.102024, ' The': -10.821835}
{' Yes': -0.07115865, ' No': -2.6943617, 'Yes': -7.332663, ' The': -8.497632, ' yes': -9.466638}
{' Yes': -0.028885962, ' No': -3.6290295, 'Yes': -7.067427, ' The': -7.179997, ' ': -8.881674}
{' Yes': -0.016391829, ' No': -4.202875, 'Yes': -6.9834933, ' The': -8.533482, ' yes': -9.5096245}
{' Yes': -0.027784701, 'Yes': -4.0178204, ' No': -4.695673, 'No': -8.689123, ' ': -10.055492}
{' Yes': -0.11910023, ' No': -2.1965652, 'Yes': -7.1557145, ' The': -9.105071, 'No': -9.294932}
{' Yes': -0.0009721014, 'Yes': -7.0743356, ' yes': -9.659415, ' ': -10.479682, ' The': -11.057286}
{' Yes': -0.016267989, ' No': -4.227766, 'Yes': -6.772863, ' yes': -8.553165, ' The': -9.528755}
{' Yes': -0.07389841, ' No': -2.674591, 'Yes': -6.653566, ' Dirt': -7.641853, 'No': -8.47797}
{' No': -0.22892296, ' Yes': -1.6051226, 'No': -6.055656, ' The': -7.6579504, 'Yes': -8.008094}
{' Yes': -0.0021592602, 'Yes': -7.1396713, ' No': -7.450088, ' The': -7.6901264, ' yes': -8.354654}
{' Yes': -0.03553006, ' No': -3.6113527, 'Yes': -5.9408417, ' The': -6.1449685, ' ': -6.9164042}
{' False': -0.048047595, ' No': -3.0927575, 'False': -6.7048697, 'No': -8.564397, ' ': -9.141728}
{' No': -0.00401925, ' Yes': -5.831736, 'No': -6.983242, ' ': -9.159886, '\n': -10.775991}
{' Yes': -0.013152134, ' No': -5.093484, ' Rain': -5.538865, 'Yes': -6.2355866, ' The': -7.8252306}
{' Yes': -0.09357728, ' No': -2.4519682, 'Yes': -6.7880177, ' Rain': -6.92789, ' The': -7.7787485}
{' No': -0.2246496, ' Yes': -1.612055, 'No': -6.829193, 'Yes': -8.354141, ' ': -8.633057}
{' No': -0.006393305, ' Yes': -5.329773, 'No': -6.534555, ' ': -9.89017, 'Yes': -11.700681}
{' No': -0.16022912, ' Yes': -1.9285054, 'No': -6.397434, ' Unfortunately': -8.048073, 'Yes': -8.25552}
{' Yes': -0.20453191, ' No': -1.6918023, 'Yes': -7.754515, ' The': -9.187537, 'No': -9.321074}
{' No': -0.15961462, ' Yes': -1.9250069, 'No': -7.077095, ' ': -8.092327, ' The': -8.405598}
{' No': -0.5070095, ' Yes': -0.92940515, 'No': -6.6572413, 'Yes': -7.360147, ' The': -7.778606}
{' Yes': -0.0015038374, 'Yes': -7.261322, ' No': -7.2992196, ' yes': -9.790912, ' The': -10.3019285}
{' Yes': -0.008319821, ' No': -4.9599075, 'Yes': -7.2241244, ' The': -7.8549023, ' ': -9.741249}
{' No': -0.5901421, ' Yes': -0.8149879, ' The': -6.6795964, 'No': -7.087973, 'Yes': -7.391228}
{' No': -0.45250332, ' Yes': -1.015627, 'No': -7.0261817, 'Yes': -7.730884, ' ': -8.086804}
{' Yes': -0.0012058873, 'Yes': -7.058441, ' No': -8.49958, ' yes': -9.625124, ' ': -10.552656}
{' Yes': -0.013159322, ' No': -4.4698853, 'Yes': -6.5577416, ' ': -9.490865, ' yes': -9.924948}
{' Yes': -0.016620334, ' No': -4.2157016, 'Yes': -7.340244, ' The': -7.406108, ' yes': -8.419536}
{' Yes': -0.057612944, ' No': -2.9151113, 'Yes': -6.957919, ' The': -7.755494, ' ': -8.935321}
{' No': -0.0023188824, ' Yes': -6.696864, 'No': -6.8939962, ' ': -9.813746, '\n': -12.169564}
{' Yes': -0.037185013, ' No': -3.4667923, ' The': -6.1182485, 'Yes': -6.287064, ' ': -7.642949}
{' Yes': -0.0073399865, 'Yes': -5.8225536, ' The': -6.304926, ' No': -6.5397587, ' ': -7.195444}
{' Yes': -0.0017206704, 'Yes': -6.691931, ' ': -8.61808, ' yes': -9.211323, ' No': -9.496529}
{' Yes': -0.0024984253, ' No': -6.73739, 'Yes': -6.774318, ' yes': -9.47932, ' ': -10.054553}
{' Yes': -0.007713045, ' No': -4.9846225, 'Yes': -7.2754817, ' yes': -9.694563, ' ': -9.957044}
{' Yes': -0.020640299, ' Deer': -4.362685, ' No': -5.1025643, 'Yes': -6.8486433, ' ': -8.454775}
{' Yes': -0.00089113996, 'Yes': -7.24573, ' yes': -9.547651, ' No': -9.857208, ' The': -10.602232}
{' Yes': -0.012469553, ' No': -4.5109396, 'Yes': -6.921744, ' The': -8.455016, ' yes': -9.244687}
{' Yes': -0.30904222, ' No': -1.3305227, 'Yes': -7.2734847, ' The': -8.286699, 'No': -8.430716}
{' Yes': -0.12053713, ' No': -2.1857285, 'Yes': -7.128151, 'No': -9.183168, ' The': -9.194405}
{' Yes': -0.6643179, ' No': -0.7251452, 'Yes': -7.7756877, 'No': -7.781913, ' ': -9.111371}
{' Yes': -0.006965025, ' No': -5.2023134, 'Yes': -6.703208, ' yes': -9.395957, ' ': -10.263906}
{' Yes': -0.0013790824, 'Yes': -7.060688, ' No': -7.938242, ' yes': -9.289511, ' YES': -10.146069}
{' Yes': -0.38740066, ' No': -1.1407806, 'Yes': -7.345065, 'No': -7.8309946, ' The': -8.041263}
{' Yes': -0.38627124, ' No': -1.1443814, 'Yes': -7.0633645, 'No': -7.828554, ' The': -8.092924}
{' Yes': -0.0008926924, 'Yes': -7.5696545, ' No': -8.332888, ' The': -9.744122, ' yes': -10.165176}
{' Yes': -0.010072321, ' No': -4.959766, 'Yes': -5.9280963, ' ': -8.890976, ' The': -9.1208315}
{' Yes': -0.4839763, ' No': -0.9610519, 'Yes': -7.466163, 'No': -8.026052, ' The': -9.274655}
{' Yes': -0.37976173, ' No': -1.1549063, 'Yes': -7.6664343, 'No': -8.40837, ' ': -9.272687}
{' No': -0.033497617, ' Yes': -3.460402, 'No': -7.0413613, ' Lion': -7.5021734, ' ': -10.504398}
{' Yes': -0.16584092, ' No': -1.88683, 'Yes': -7.147485, 'No': -8.626503, ' The': -8.848823}
{' Yes': -0.004429035, ' No': -5.8752785, 'Yes': -7.021059, ' ': -7.8447385, '\n': -8.974604}
{' Yes': -0.005768197, ' No': -5.4527855, 'Yes': -6.8744407, ' yes': -9.01746, ' The': -9.043505}
{' Yes': -0.0014055233, 'Yes': -6.833539, ' No': -8.766818, ' The': -9.544994, ' yes': -10.292492}
{' Yes': -0.024116386, ' No': -3.8024442, 'Yes': -7.0134554, ' Want': -8.378043, ' The': -8.544299}
{' Yes': -0.06142589, ' No': -2.847448, 'Yes': -6.74081, ' ': -8.935825, 'No': -9.148864}
{' Yes': -0.3942722, ' No': -1.1337131, ' Wind': -6.1217747, 'Yes': -7.0889664, 'No': -7.2328377}
{' Yes': -0.103042975, ' No': -2.3364508, 'Yes': -7.3927855, ' The': -8.410296, ' yes': -8.898071}
{' Yes': -0.007567636, ' No': -5.0028186, 'Yes': -7.6143484, ' The': -8.947537, ' yes': -9.181283}
{' No': -0.006033986, 'No': -5.776599, ' Yes': -5.995187, ' ': -8.359679, ' Unfortunately': -9.561776}
{' Yes': -0.5124774, ' No': -0.9162116, 'Yes': -7.857267, 'No': -8.3804655, ' ': -8.6166525}
{' No': -0.053244784, ' Yes': -2.9809997, 'No': -7.0642767, ' ': -9.185081, ' The': -9.594619}
{' Yes': -0.23144029, ' No': -1.5866058, 'Yes': -7.009707, 'No': -7.861394, '\n': -8.305975}
{' Yes': -0.05184275, ' No': -3.002267, 'Yes': -7.523593, ' ': -9.137744, ' The': -9.206073}
{' No': -0.26915076, ' Yes': -1.4486647, 'No': -7.218901, 'Yes': -8.620286, ' ': -8.979419}
{' Yes': -0.009054964, ' No': -4.8606114, 'Yes': -6.792748, ' yes': -9.9190445, ' The': -10.2067}
{' Yes': -0.0010787218, ' No': -7.381306, 'Yes': -7.858771, ' yes': -10.18657, ' ': -10.7239065}
{' Yes': -0.0021482075, ' No': -6.7729263, 'Yes': -7.0896454, ' The': -9.347403, ' yes': -10.532164}
{' No': -0.3570418, ' Yes': -1.20964, 'No': -6.947826, 'Yes': -7.896003, ' The': -8.293565}
{' Yes': -0.0077094412, ' No': -5.112602, 'Yes': -6.8045745, ' The': -8.000042, ' yes': -9.369755}
{' Yes': -0.0056694634, ' No': -5.7491283, 'Yes': -6.2779126, ' The': -8.63883, ' yes': -8.798742}
{' Yes': -0.06730709, ' No': -2.758343, 'Yes': -6.9897404, ' Skin': -7.7165394, ' ': -9.343773}
{' Yes': -0.16256526, ' No': -1.9059601, 'Yes': -7.103725, ' Skin': -8.444023, 'No': -8.8996725}
{' Yes': -0.07469726, ' No': -2.6634157, 'Yes': -6.8307223, ' The': -7.1963325, ' yes': -8.956148}
{' Yes': -0.19082615, ' No': -1.8932034, ' So': -4.0731845, 'Yes': -5.966503, ' ': -6.745469}
{' Yes': -0.0052451524, ' No': -5.5849295, 'Yes': -6.6590667, ' ': -8.986545, ' yes': -10.547027}
{' Yes': -0.0023374, ' No': -6.813491, 'Yes': -6.9599195, ' The': -9.042197, ' yes': -9.653927}
{' No': -0.034912024, ' Yes': -3.4564857, 'No': -6.085226, ' Male': -8.124376, ' ': -9.43472}
{' Yes': -0.2845861, ' No': -1.4155847, 'Yes': -5.8320594, 'No': -6.8505855, ' ': -8.267056}
{' Yes': -0.60851455, ' No': -0.7872294, 'Yes': -7.8509383, 'No': -8.384119, ' yes': -9.986219}
{' Yes': -0.20390691, ' No': -1.695671, 'Yes': -7.295198, 'No': -9.31737, ' ': -9.581673}
{' Yes': -0.050996866, ' No': -3.0352132, 'Yes': -6.6405616, ' ': -9.209235, ' The': -9.587354}
{' Yes': -0.17631567, ' No': -1.8308146, 'Yes': -7.069975, ' The': -8.869408, 'No': -9.006435}
{' No': -0.11181231, ' Yes': -2.2746408, 'No': -6.0258384, 'Yes': -8.12398, ' ': -8.884069}
{' No': -0.011324595, ' Yes': -4.6963468, 'No': -6.228857, ' ': -9.518513, ' The': -10.537008}
{' Yes': -0.001231963, 'Yes': -7.432868, ' No': -7.4631414, ' yes': -10.458844, ' The': -10.916875}
{' Yes': -0.0059500984, ' No': -5.299445, 'Yes': -7.1383963, ' yes': -9.633878, ' ': -10.349015}
{' No': -0.51720315, ' Yes': -0.91319346, 'No': -6.557465, 'Yes': -7.264506, ' The': -8.95718}
{' Yes': -0.028064193, ' No': -3.6645136, 'Yes': -6.3551793, ' yes': -9.186349, ' ': -9.553704}
{' Yes': -0.14483285, ' No': -2.022051, 'Yes': -6.4631004, 'No': -7.687034, ' Pain': -8.785683}
{' No': -0.33097628, ' Yes': -1.2826881, 'No': -6.2931914, ' Pain': -6.945199, 'Yes': -7.629183}
{' Yes': -0.02997916, ' No': -3.5627625, 'Yes': -6.8702784, ' ': -10.261703, 'No': -10.38087}
{' No': -0.0014945832, 'No': -6.5727773, ' Yes': -9.724689, ' ': -10.642684, '\n': -11.997078}
{' No': -0.3940082, ' Yes': -1.1298118, 'No': -6.7764635, ' The': -7.561465, 'Yes': -7.6188517}
{' No': -0.12551123, ' Yes': -2.1605701, 'No': -6.2280917, 'Yes': -7.9837914, ' ': -8.776831}
{' Yes': -0.030278, ' No': -3.7167077, ' Dive': -5.494221, 'Yes': -6.8232765, ' ': -9.248016}
{' Yes': -0.057715934, ' No': -2.9198773, 'Yes': -6.3509493, ' The': -9.107644, 'No': -9.279788}
{' Yes': -0.018390672, ' No': -4.457655, 'Yes': -5.3230076, ' The': -6.9470444, ' ': -8.316624}
{' Yes': -0.0013535962, 'Yes': -6.8256903, ' yes': -9.316459, ' No': -9.366376, ' ': -9.680551}
{' Yes': -0.003970598, 'Yes': -5.638486, ' No': -8.651517, ' ': -9.054313, ' yes': -9.924298}
{' Yes': -0.002226461, 'Yes': -6.7499394, ' No': -7.3735433, ' Bush': -9.023497, ' yes': -9.177319}
{' Yes': -0.043883834, ' No': -3.1766884, 'Yes': -7.3731437, ' Near': -8.619582, ' The': -8.681918}
{' Yes': -0.055794086, ' Near': -3.4972668, ' No': -3.8399255, 'Yes': -7.1172104, ' yes': -7.7745395}
{' No': -0.009079682, ' Yes': -5.0423326, 'No': -6.034001, ' ': -9.497324, ' The': -9.860592}
{' Yes': -0.013859233, ' No': -4.463404, 'Yes': -6.2133155, ' ': -8.97637, ' yes': -10.064689}
{' Yes': -0.0014256403, 'Yes': -6.7564015, ' No': -8.947891, ' yes': -9.453915, ' The': -10.598729}
{' Yes': -0.0019631695, 'Yes': -6.471094, ' No': -8.63541, ' yes': -9.443228, ' Navy': -9.688078}
{' No': -0.005815257, 'No': -5.3567557, ' Not': -7.3953924, ' Yes': -8.383362, ' ': -9.295551}
{' No': -0.006717468, ' Yes': -5.5041156, 'No': -6.2173176, ' ': -8.455396, ' The': -8.545345}
{' No': -0.15655822, ' Yes': -1.9416916, 'No': -7.036244, ' The': -8.598855, 'Yes': -8.854838}
{' No': -0.41684783, ' Yes': -1.0807577, 'No': -7.043968, 'Yes': -7.9396954, ' ': -9.306653}
{' No': -0.05594063, ' Yes': -2.946819, 'No': -6.693273, ' The': -7.8350635, ' ': -9.220926}
{' No': -0.027517175, ' Yes': -3.6565776, 'No': -6.871303, ' The': -8.821536, ' ': -9.933965}
{' Yes': -0.04855304, ' No': -3.0961697, 'Yes': -6.319136, 'No': -8.86682, ' ': -9.68023}
{' Yes': -0.1736636, ' No': -1.8568912, 'Yes': -6.4873557, ' The': -6.99834, 'No': -7.872735}
{' No': -0.3914082, ' Yes': -1.1332392, 'No': -6.9175577, 'Yes': -7.6588693, ' ': -8.301497}
{' Yes': -0.37371376, ' No': -1.1707491, 'Yes': -7.1844616, 'No': -7.755658, ' ': -8.486037}
{' Yes': -0.0072265104, ' No': -5.070829, 'Yes': -7.143125, ' The': -9.902333, ' yes': -10.1306925}
{' Yes': -0.029683596, ' No': -3.5709584, 'Yes': -7.295745, ' The': -8.796775, ' yes': -9.005408}
{' Yes': -0.0021593794, 'Yes': -6.423965, ' No': -7.9481773, ' The': -9.294334, ' yes': -10.155363}
{' Yes': -0.0027097387, 'Yes': -6.3533683, ' No': -7.2325015, ' yes': -9.161082, ' YES': -9.390698}
{' Yes': -0.0417216, ' No': -3.217041, 'Yes': -7.3845706, ' yes': -9.912634, ' ': -10.036388}
{' Yes': -0.018875565, ' No': -4.1372876, 'Yes': -6.6442285, ' The': -7.1498504, ' ': -8.4482765}
{' Yes': -0.04996546, ' No': -3.0619888, 'Yes': -6.68252, ' The': -8.838518, ' ': -8.849667}
{' Yes': -0.19599764, ' No': -1.7680113, ' Too': -5.7894425, ' ': -6.4250736, 'Yes': -6.676203}
{' No': -0.30486122, ' Yes': -1.3488922, ' The': -6.542846, 'No': -6.887338, 'Yes': -8.216227}
{' No': -0.109661646, ' Yes': -2.2916114, 'No': -6.15152, 'Yes': -8.289164, ' The': -8.940861}
{' Yes': -0.0025436627, ' No': -6.3817053, 'Yes': -7.434266, ' yes': -9.134845, ' The': -9.500333}
{' Yes': -0.0009253256, 'Yes': -7.1105137, ' yes': -10.127812, ' No': -10.833294, ' ': -11.0029}
{' Yes': -0.13349707, ' No': -2.0903108, 'Yes': -7.0683556, 'No': -8.91383, ' ': -8.94218}
{' Yes': -0.03630459, ' No': -3.405264, 'Yes': -6.26164, ' The': -8.317464, ' yes': -9.1480875}
{' No': -0.07455508, ' Yes': -2.7010982, ' Door': -5.7953877, 'No': -6.990098, ' ': -8.157644}
{' No': -0.030514127, ' Yes': -3.6395516, ' Door': -6.5136952, 'No': -6.520605, ' ': -7.319616}
{' No': -0.09873346, ' Yes': -2.3944354, 'No': -6.5302577, ' ': -7.486888, 'Yes': -7.766983}
{' Yes': -0.27218345, ' No': -1.4488422, 'Yes': -6.0534315, ' YES': -8.088696, 'No': -8.192521}
{' No': -0.060800258, ' Yes': -2.848516, 'No': -7.1590414, ' The': -9.070848, 'Yes': -9.643114}
{' Yes': -0.559035, ' No': -0.852225, 'Yes': -7.0963635, 'No': -7.657086, ' The': -8.21837}
{' Yes': -0.025081033, ' No': -3.7852545, 'Yes': -6.4981318, ' The': -8.57582, '\n': -8.903892}
{' Yes': -0.14629734, ' No': -2.0113676, 'Yes': -6.694404, ' ': -7.9063053, 'No': -8.266603}
{' Yes': -0.0077654244, ' No': -5.0070996, 'Yes': -6.9790597, ' yes': -10.1118355, ' ': -10.413246}
{' Yes': -0.054667287, ' No': -2.9483933, 'Yes': -7.5137577, ' ': -9.2820835, ' yes': -10.189868}
{' No': -0.29383323, ' Yes': -1.3784716, 'No': -6.684807, ' Most': -7.5190883, 'Yes': -7.9160404}
{' Yes': -0.25765753, ' No': -1.5264621, ' Most': -4.830976, 'Yes': -6.8869257, 'No': -8.048482}
{' Yes': -0.03672733, ' No': -3.3699696, 'Yes': -6.7688265, ' ': -8.806094, ' The': -8.8740225}
{' Yes': -0.0075839725, ' No': -4.999836, 'Yes': -7.208355, ' yes': -10.386536, ' The': -11.131528}
{' Yes': -0.22144638, ' No': -1.624206, 'Yes': -6.8706903, 'No': -8.460757, ' ': -9.068885}
{' Yes': -0.19528005, ' No': -1.7411803, 'Yes': -6.6387973, 'No': -7.9951587, ' The': -8.321835}
{' Yes': -0.11151007, ' No': -2.2631767, 'Yes': -7.2045846, ' The': -8.0111, ' ': -8.876059}
{' Yes': -0.002035976, ' No': -6.9344773, 'Yes': -7.034245, ' yes': -9.5865965, ' The': -9.714112}
{' Yes': -0.1926508, ' No': -1.7531652, 'Yes': -6.71885, 'No': -7.953244, ' ': -8.305354}
{' Yes': -0.07475038, ' No': -2.6938586, 'Yes': -6.308535, ' The': -6.45308, '\n': -7.8253565}
{' No': -0.033201937, ' Yes': -3.5103307, 'No': -6.006825, ' ': -9.014244, 'Yes': -9.481315}
{' No': -0.29388782, ' Yes': -1.3772447, 'No': -6.47018, 'Yes': -7.9168034, ' The': -8.390307}
{' Yes': -0.004014284, ' No': -5.8904347, 'Yes': -6.791808, ' yes': -9.968026, ' The': -10.350701}
{' Yes': -0.0010917896, 'Yes': -6.9732976, ' yes': -9.598845, ' No': -10.135622, ' ': -10.830715}
{' Yes': -0.044035558, ' No': -3.1887612, 'Yes': -6.5902076, ' ': -8.841471, ' yes': -9.054737}
{' Yes': -0.021245487, ' No': -3.927272, 'Yes': -6.868634, ' The': -9.007966, ' ': -9.937623}
{' Yes': -0.047846463, ' No': -3.0863118, 'Yes': -7.1404705, ' The': -9.405765, ' ': -9.716287}
{' Yes': -0.04103825, ' No': -3.241445, 'Yes': -7.082961, ' yes': -9.162644, ' The': -9.826486}
{' Yes': -0.025453005, ' No': -3.7475595, 'Yes': -6.567725, ' ': -9.613759, 'No': -9.939364}
{' Yes': -0.08378474, ' No': -2.5357652, 'Yes': -6.954993, 'No': -9.338232, ' ': -10.051098}
{' Yes': -0.37824577, ' No': -1.1645446, 'Yes': -6.6944194, ' The': -7.0772786, 'No': -7.852752}
{' No': -0.63080215, ' Yes': -0.76348877, 'No': -7.1102943, 'Yes': -7.386942, ' The': -8.487003}
{' Yes': -0.15721047, ' No': -1.9380485, 'Yes': -6.9733853, ' ': -8.136254, 'No': -8.685967}
{' No': -0.47046214, ' Yes': -0.98709995, 'No': -6.6460176, 'Yes': -6.8734064, ' ': -8.712392}
{' No': -0.62571126, ' Yes': -0.76931554, 'No': -7.2246256, 'Yes': -7.6411734, ' The': -8.0700445}
{' No': -0.45533675, ' Yes': -1.0103084, 'No': -7.0717216, 'Yes': -7.7588205, ' The': -8.733165}
{' No': -0.10314103, ' Yes': -2.3300047, 'No': -7.734721, 'Yes': -9.587724, ' ': -9.767215}
