{' Right': -0.041503377, ' right': -3.2299895, 'Right': -7.226049, 'right': -8.495124, ' ': -10.113856}
{' Right': -0.08371027, ' right': -2.5652432, 'Right': -6.0744934, 'right': -6.916592, ' ': -9.598401}
{' Left': -0.12034323, ' left': -2.2110205, 'Left': -5.956214, 'left': -6.7769246, ' ': -10.145296}
{' Right': -0.05341384, ' right': -3.0447736, 'Right': -5.6715736, 'right': -7.1746964, ' ': -9.182949}
{' Left': -0.15825212, ' left': -1.9480547, 'Left': -5.9343953, 'left': -6.8329244, ' ': -9.908661}
{' Right': -0.1478541, ' right': -2.030514, 'Right': -5.5101147, 'right': -6.2563896, ' ': -9.020347}
{' Left': -0.2125738, ' left': -1.6817168, 'Left': -5.6098766, 'left': -6.4108157, ' ': -9.49412}
{' Right': -0.33877695, ' right': -1.2615464, 'Right': -6.0232882, 'right': -6.5641065, ' ': -9.004413}
{' left': -0.64940673, ' Left': -0.7460407, 'Left': -6.417158, 'left': -6.4338818, '\n': -9.269901}
{' Right': -0.50464433, ' right': -0.9364967, 'Right': -6.1632776, 'right': -6.2691836, ' ': -8.847374}
{' Left': -0.6731399, ' left': -0.7236217, 'Left': -5.9347515, 'left': -6.1998806, '\n': -9.091269}
{' Right': -0.10192291, ' right': -2.41757, 'Right': -5.0835686, 'right': -6.732072, ' ': -8.443263}
{' Left': -0.2439404, ' left': -1.572014, 'Left': -5.021467, 'left': -6.200075, ' ': -8.9343605}
{' Right': -0.3759408, ' right': -1.198235, 'Right': -4.8767934, 'right': -5.6255913, ' ': -8.38144}
{' Left': -0.32014632, ' left': -1.3465917, 'Left': -4.590902, 'left': -5.686727, ' ': -8.713642}
{' Right': -0.029232774, ' right': -3.64272, 'Right': -6.2487855, 'right': -7.8213997, ' ': -9.1816025}
{' Left': -0.07553211, ' left': -2.6504316, 'Left': -6.573596, 'left': -7.4406404, ' ': -9.561071}
{' Right': -0.07260005, ' right': -2.6961255, 'Right': -6.4508076, 'right': -7.2366295, ' ': -8.816291}
{' Left': -0.098170005, ' left': -2.4084442, 'Left': -6.0673122, 'left': -6.9004846, ' ': -9.162279}
{' Right': -0.23335734, ' right': -1.5791482, 'Right': -6.7802873, 'right': -7.4044614, ' ': -9.390418}
{' Left': -0.18998235, ' left': -1.7635317, 'Left': -6.8062234, 'left': -7.820503, ' Right': -10.492813}
{' Right': -0.16402476, ' right': -1.8971523, 'Right': -7.295679, 'right': -8.01111, ' ': -9.371171}
{' Left': -0.19139257, ' left': -1.7554548, 'Left': -6.9951477, 'left': -7.8601184, ' ': -10.226497}
{' Right': -0.0960308, ' right': -2.457849, 'Right': -5.4653163, 'right': -6.698021, ' ': -8.55099}
{' Left': -0.08837801, ' left': -2.5432043, 'Left': -5.3702517, 'left': -6.707431, ' ': -9.767537}
{' Right': -0.06085201, ' right': -2.907898, 'Right': -5.899261, 'right': -7.3653536, ' Left': -7.3659053}
{' Left': -0.095642455, ' left': -2.4442065, 'Left': -5.704262, 'left': -6.9028416, ' ': -9.748753}
{' Right': -0.1228557, ' right': -2.2295794, 'Right': -5.232593, 'right': -6.1950884, ' ': -7.7918196}
{' Left': -0.15601654, ' left': -1.9921887, 'Left': -5.16286, 'left': -6.152616, ' ': -8.898055}
{' Right': -0.0789085, ' right': -2.6479716, 'Right': -5.722825, 'right': -6.877366, ' ': -8.061593}
{' Left': -0.14139113, ' left': -2.070264, 'Left': -5.508918, 'left': -6.5068865, ' ': -9.127597}
{' Right': -0.42803004, ' right': -1.0799407, 'Right': -5.2897143, 'right': -5.921705, ' ': -7.804395}
{' Left': -0.47416833, ' left': -0.9967838, 'Left': -5.1188955, 'left': -6.0659018, ' ': -9.080231}
{' Right': -0.41861522, ' right': -1.0923003, 'Right': -5.6695514, 'right': -6.184253, ' ': -7.915503}
{' Left': -0.6024419, ' left': -0.80527514, 'Left': -5.6943684, 'left': -6.2253017, ' ': -9.003769}
{' Right': -0.18121389, ' right': -1.8678592, 'Right': -4.790695, 'right': -6.201616, ' ': -7.355347}
{' Left': -0.277844, ' left': -1.4656053, 'Left': -4.7224107, 'left': -6.0022163, ' ': -8.493372}
{' Right': -0.14421286, ' right': -2.0907402, 'Right': -5.1107254, 'right': -6.5048347, ' Left': -6.6186347}
{' Left': -0.3330821, ' left': -1.3007431, 'Left': -4.865761, 'left': -5.837766, ' ': -8.335815}
{' Right': -0.047661033, ' right': -3.1942348, 'Right': -5.725279, 'right': -7.0629745, ' Left': -7.2261863}
{' Left': -0.08274029, ' left': -2.603471, 'Left': -5.485273, 'left': -6.9076667, ' ': -8.878631}
{' Right': -0.051306207, ' right': -3.164368, ' Left': -5.836885, 'Right': -5.932594, 'right': -7.2004924}
{' Left': -0.07540754, ' left': -2.6747954, 'Left': -5.9550247, 'left': -7.0285945, ' ': -8.694364}
{' Right': -0.050959483, ' right': -3.188626, ' Left': -5.214835, 'Right': -6.389914, ' left': -7.410331}
{' Left': -0.5465873, ' Right': -1.2111094, ' left': -2.3950846, ' right': -3.5392246, 'Left': -6.990846}
{' Right': -0.37972754, ' Left': -1.5589515, ' right': -2.6238835, ' left': -3.497842, 'Right': -6.7639685}
{' Right': -0.07335815, ' right': -2.8085876, ' Left': -4.9246244, ' left': -6.6899176, 'Right': -6.726676}
{' Right': -0.07840515, ' Left': -3.1508574, ' right': -3.8512628, 'Right': -4.9795094, ' left': -5.900144}
{' Left': -0.20077032, ' Right': -2.2246482, ' left': -2.7760477, ' right': -5.3847356, 'Left': -5.4579797}
{' Left': -0.10602997, ' left': -2.7945251, ' Right': -3.468119, 'Left': -5.317183, 'left': -6.430315}
{' Right': -0.04878389, ' right': -3.5793586, ' Left': -4.4586062, 'Right': -5.1683955, ' left': -6.7736254}
{' Right': -0.3506957, ' Left': -1.3439417, ' left': -4.3700223, ' right': -4.424796, 'Right': -5.0855474}
{' Right': -0.63542974, ' Left': -0.8641781, ' left': -3.6828218, ' right': -4.3044705, 'Right': -5.4160695}
{' Left': -0.06297709, ' left': -3.2632124, ' Right': -4.259573, 'Left': -5.015053, 'left': -6.6091022}
{' Right': -0.035386354, ' right': -3.9929326, ' Left': -4.826581, 'Right': -5.060563, 'right': -6.9858975}
{' Right': -0.1405048, ' right': -2.326912, ' Left': -3.9987028, 'Right': -4.833177, ' left': -5.425586}
{' Left': -0.3824963, ' left': -1.6939758, ' Right': -2.2370932, ' right': -3.9807777, 'Left': -5.3890195}
{' Left': -0.32236615, ' left': -1.5559152, ' Right': -3.0689404, ' right': -4.610502, 'Left': -5.3287253}
{' Right': -0.18095984, ' right': -1.927105, 'Right': -4.7330093, ' Left': -5.196081, 'right': -5.8835754}
{' Left': -0.32181257, ' Right': -1.5331124, ' left': -3.3468826, 'Left': -4.512532, ' right': -5.1701818}
{' Left': -0.54768014, ' Right': -1.007046, ' left': -3.5016708, ' right': -4.5898213, 'Left': -4.9636917}
{' Left': -0.19786637, ' Right': -2.161308, ' left': -3.1001868, 'Left': -4.5672455, ' right': -5.4561214}
{' Right': -0.55697304, ' Left': -1.0555024, ' left': -3.37628, ' right': -3.584021, 'Right': -4.781777}
{' Right': -0.023897944, ' Left': -4.6149144, ' right': -4.9821267, 'Right': -5.166529, 'right': -7.561646}
{' Left': -0.13054709, ' Right': -2.4253335, ' left': -3.6165316, 'Left': -5.5625596, ' right': -6.631527}
{' Left': -0.07694014, ' Right': -3.1952565, ' left': -3.6156554, 'Left': -5.5192084, 'left': -7.0395155}
{' Right': -0.018170377, ' right': -4.6438494, 'Right': -5.3221483, ' Left': -5.958889, 'right': -7.542937}
{' Left': -0.37161425, ' left': -1.1741903, 'Left': -7.3177137, 'left': -7.4773574, '\n': -10.036199}
{' Right': -0.20713754, ' right': -1.6828378, 'Right': -7.2727156, 'right': -7.8528624, ' ': -9.575131}
{' Left': -0.5489246, ' left': -0.8662368, 'left': -6.9497876, 'Left': -7.145156, '\n': -9.679904}
{' Right': -0.4111255, ' right': -1.092215, 'right': -7.1874695, 'Right': -7.1907463, ' ': -9.826635}
{' Left': -0.101873145, ' left': -2.3668, 'Left': -6.1433735, 'left': -7.052415, ' ': -9.962048}
{' Right': -0.035312563, ' right': -3.4457455, 'Right': -6.0622444, 'right': -7.907526, ' ': -9.547938}
{' Left': -0.18869583, ' left': -1.7913837, 'Left': -5.7535014, 'left': -6.2473373, ' ': -9.47357}
{' Right': -0.102252044, ' right': -2.3713982, 'Right': -5.9268785, 'right': -6.853356, ' ': -9.349453}
{' Left': -0.18384515, ' left': -1.8113018, 'Left': -5.8063326, 'left': -6.6106715, ' ': -9.221538}
{' Right': -0.04913262, ' right': -3.1163933, 'Right': -5.8352213, 'right': -7.595111, ' ': -8.927417}
{' Left': -0.18690675, ' left': -1.8090684, 'Left': -5.397047, 'left': -6.2307615, ' ': -9.062682}
{' Right': -0.10958376, ' right': -2.322745, 'Right': -5.4756627, 'right': -6.5831795, ' ': -8.814717}
{' Left': -0.5379082, ' left': -0.88818514, 'Left': -5.9656115, 'left': -6.2866206, ' ': -9.20279}
{' Right': -0.28159487, ' right': -1.4247528, 'Right': -5.760703, 'right': -6.6138086, ' ': -8.570603}
{' Left': -0.6143911, ' left': -0.86872274, ' Right': -3.9465404, ' right': -4.4031367, 'left': -5.7506137}
{' Right': -0.4706253, ' right': -0.99729955, 'Right': -5.6972694, 'right': -5.887262, ' ': -8.488585}
{' Left': -0.26447493, ' left': -1.4890825, 'Left': -5.3293858, 'left': -6.337261, ' ': -8.850962}
{' Right': -0.08338123, ' right': -2.6170745, 'Right': -5.144056, 'right': -7.1566935, ' ': -8.279827}
{' Left': -0.9029631, ' Right': -0.99358505, ' left': -1.897594, ' right': -2.7973285, 'Right': -5.6616282}
{' Right': -0.18431109, ' right': -1.8523351, 'Right': -4.7930813, 'right': -5.9894867, ' ': -8.128562}
{' Left': -0.044484567, ' left': -3.1973183, 'Left': -6.248683, 'left': -7.4742556, ' ': -9.299252}
{' Right': -0.027231952, ' right': -3.7108312, 'Right': -6.2982273, 'right': -8.000414, ' ': -8.857962}
{' Left': -0.09505287, ' left': -2.4649832, 'Left': -5.6229205, 'left': -6.3604083, ' ': -8.640715}
{' Right': -0.042468984, ' right': -3.257557, 'Right': -6.134916, 'right': -7.2562556, ' ': -8.786182}
{' Left': -0.18679912, ' left': -1.7818459, 'Left': -6.617524, 'left': -7.475251, '\n': -9.745246}
{' Right': -0.24823053, ' right': -1.5264382, 'Right': -6.457127, 'right': -7.2140007, '\n': -9.342002}
{' Left': -0.2802924, ' left': -1.4167575, 'Left': -6.7766433, 'left': -7.3040023, ' ': -9.665501}
{' Right': -0.22237432, ' right': -1.6236709, 'Right': -6.651058, 'right': -7.4054885, ' ': -9.059038}
{' Left': -0.07675921, ' left': -2.698589, 'Left': -5.2918525, 'left': -6.5927215, ' Right': -9.253549}
{' Right': -0.09399161, ' right': -2.4752228, 'Right': -5.497632, 'right': -6.60773, ' ': -9.474671}
{' Left': -0.16216941, ' left': -1.9392269, 'Left': -5.561763, 'left': -6.236066, ' ': -9.619038}
{' Right': -0.101961784, ' right': -2.4068265, 'Right': -5.278548, 'right': -6.5566044, ' ': -8.960196}
{' Left': -0.08168633, ' left': -2.6248934, 'Left': -5.4636745, 'left': -6.643185, ' Right': -8.141188}
{' Right': -0.06484071, ' right': -2.8726656, 'Right': -5.3542194, 'right': -6.661303, ' ': -8.831549}
{' Left': -0.11597191, ' left': -2.2568543, 'Left': -5.7065287, 'left': -6.5767856, ' ': -9.518743}
{' Right': -0.06643142, ' right': -2.8377857, 'Right': -5.432886, 'right': -6.9683113, ' RIGHT': -8.673558}
{' Left': -0.26118642, ' left': -1.5064315, 'Left': -5.208816, 'left': -6.1902823, ' Right': -8.453835}
{' Right': -0.38544592, ' right': -1.1649202, 'Right': -5.3027034, 'right': -5.9924006, ' ': -8.3507185}
{' Left': -0.6636691, ' left': -0.73756564, 'Left': -5.628501, 'left': -5.8807235, ' ': -8.512842}
{' Right': -0.44688797, ' right': -1.0475559, 'Right': -5.1791153, 'right': -5.781984, ' ': -8.010464}
{' Left': -0.12641364, ' left': -2.233988, 'Left': -4.6679406, 'left': -6.250692, ' ': -8.336287}
{' Right': -0.16823994, ' right': -1.9433197, 'Right': -4.7369943, 'right': -6.0401864, ' ': -8.047864}
{' Left': -0.23285045, ' left': -1.626117, 'Left': -4.8491073, 'left': -5.842025, ' ': -8.412147}
{' Right': -0.17720129, ' right': -1.8974009, 'Right': -4.7092695, 'right': -6.0998135, ' ': -7.40952}
{' Left': -0.039877735, ' left': -3.3764503, 'Left': -5.6042166, 'left': -7.2171407, ' Right': -7.993438}
{' Right': -0.030588917, ' right': -3.6756787, 'Right': -5.554184, 'right': -7.3218484, ' ': -8.733733}
{' Left': -0.048981432, ' left': -3.1368737, 'Left': -5.7026854, 'left': -7.0024533, ' ': -9.4016905}
{' Right': -0.032193363, ' right': -3.6000834, 'Right': -5.6882124, 'right': -7.352599, ' ': -8.808076}
{' Right': -0.08518434, ' right': -2.5320017, 'Right': -6.5894446, 'right': -7.6093, ' ': -9.357296}
{' Left': -0.2377066, ' left': -1.56261, 'Left': -6.6937814, 'left': -7.338877, ' ': -10.164558}
{' Right': -0.15145072, ' right': -1.9794458, 'Right': -6.6578918, 'right': -6.9586525, ' ': -9.615873}
{' Left': -0.21791133, ' left': -1.6400589, 'Left': -6.8034706, 'left': -7.408331, ' ': -10.198142}
{' Right': -0.027936332, ' right': -3.8414373, 'Right': -5.342199, 'right': -7.216756, ' Left': -8.057181}
{' Left': -0.10316437, ' left': -2.3942354, 'Left': -5.314829, 'left': -6.3503413, ' ': -9.5060835}
{' Right': -0.056703344, ' right': -3.018581, 'Right': -5.465326, 'right': -6.291063, ' ': -9.202311}
{' Left': -0.116737, ' left': -2.2837598, 'Left': -5.1158595, 'left': -6.156314, ' ': -9.619813}
{' Right': -0.03501622, ' right': -3.6655855, 'Right': -5.0101748, 'right': -6.707253, ' Left': -7.748796}
{' Left': -0.14238714, ' left': -2.0928895, 'Left': -5.02675, 'left': -5.961421, ' ': -8.828122}
{' Right': -0.081265785, ' right': -2.6843083, 'Right': -5.0743914, 'right': -5.8210726, ' ': -8.322176}
{' Left': -0.16542442, ' left': -1.9569073, 'Left': -4.9098854, 'left': -5.711931, ' Right': -8.490465}
{' Right': -0.18722942, ' right': -1.8341619, 'Right': -4.9444394, 'right': -6.0083957, ' Left': -7.5019073}
{' Left': -0.4600938, ' left': -1.0203661, 'Left': -5.243127, 'left': -5.9108286, ' ': -8.917666}
{' Right': -0.36485836, ' right': -1.217327, 'Right': -5.2151847, 'right': -5.5727553, ' ': -8.480038}
{' Left': -0.42972234, ' left': -1.0857016, 'Left': -4.936331, 'left': -5.59323, ' Right': -8.263416}
{' Right': -0.053553753, ' right': -3.2451086, 'Right': -4.6166906, 'right': -6.422138, ' Left': -7.2893963}
{' Left': -0.2039729, ' left': -1.7786722, 'Left': -4.4860888, 'left': -5.5146303, ' ': -8.426439}
{' Right': -0.093845926, ' right': -2.5845897, 'Right': -4.625529, 'right': -5.713331, ' ': -7.853903}
{' Left': -0.19062288, ' left': -1.8547962, 'Left': -4.397755, 'left': -5.4771924, ' ': -8.15773}
{' Right': -0.030032592, ' right': -3.8115132, 'Right': -5.2042856, 'right': -6.9646993, ' Left': -7.3888264}
{' Left': -0.061253384, ' left': -2.9109159, 'Left': -5.5661435, 'left': -6.899498, ' ': -9.418932}
{' Right': -0.030127984, ' right': -3.6947074, 'Right': -5.6060114, 'right': -6.9905214, ' ': -9.043446}
{' Left': -0.057831243, ' left': -3.0074182, 'Left': -5.2801194, 'left': -6.558319, ' Right': -9.196274}
{' Right': -0.10420531, ' right': -2.3391411, 'Right': -6.9573812, ' Left': -7.464072, 'right': -7.7371664}
{' Left': -0.2384245, ' left': -1.5587312, 'Left': -6.920198, 'left': -7.390825, '\n': -9.483197}
{' Right': -0.19788438, ' right': -1.740693, 'Right': -6.7649083, ' Left': -6.797964, 'right': -7.007204}
{' Left': -0.278152, ' left': -1.422954, 'Left': -7.3195105, 'left': -7.468892, ' Right': -8.079556}
{' Right': -0.7060425, ' Left': -0.7662251, ' left': -3.647521, ' right': -4.5613165, 'Right': -6.308697}
{' Left': -0.059452564, ' left': -2.9248183, 'Left': -5.8784847, 'left': -7.0280857, ' Right': -8.207891}
{' Left': -0.06424348, ' left': -2.89682, 'Left': -5.83684, ' Right': -5.9068146, 'left': -6.817714}
{' Left': -0.12728398, ' left': -2.5794764, ' Right': -3.2899768, 'Left': -5.8211966, ' right': -6.4062867}
{' Left': -0.5882842, ' Right': -0.9477583, ' left': -3.244288, ' right': -4.52319, 'Left': -6.255818}
{' Left': -0.10945215, ' left': -2.3091726, 'Left': -5.8424435, 'left': -6.7901845, ' Right': -9.030886}
{' Left': -0.20997639, ' left': -2.281086, ' Right': -2.5693114, ' right': -5.406311, 'Left': -5.8939743}
{' Left': -0.085353695, ' left': -2.5784736, 'Left': -5.7589374, ' Right': -6.5605273, 'left': -6.9122047}
{' Left': -0.5292601, ' left': -1.2025312, ' Right': -2.538976, ' right': -3.7467113, 'Left': -5.8629675}
{' Left': -0.45934835, ' left': -1.0142742, 'Left': -5.9145503, 'left': -6.2940555, ' Right': -7.643945}
{' Left': -0.39490584, ' left': -1.1430023, 'Left': -5.877159, 'left': -6.3445706, ' Right': -6.3895574}
{' Left': -0.51031613, ' left': -0.9684841, ' Right': -4.6101294, ' right': -5.469735, 'Left': -5.895282}
{' Left': -0.21948604, ' Right': -2.1937253, ' left': -2.6857297, 'Left': -4.987722, ' right': -5.343141}
{' Left': -0.12663633, ' left': -2.2216833, 'Left': -4.8973765, 'left': -6.3987823, ' Right': -7.1650577}
{' Left': -0.12557752, ' left': -2.24962, 'Left': -4.6299605, 'left': -6.155696, ' Right': -8.0766325}
{' Left': -0.15357168, ' left': -2.058027, 'Left': -4.710704, ' Right': -6.0259447, 'left': -6.069225}
{' Right': -0.14887977, ' Left': -2.2234683, ' right': -4.095123, ' left': -5.015716, 'Right': -5.669738}
{' Left': -0.048045404, ' left': -3.1295218, 'Left': -6.08727, 'left': -7.3342032, ' ': -9.144893}
{' Left': -0.062972, ' left': -2.9009256, 'Left': -6.0076013, ' Right': -6.148434, 'left': -7.021271}
{' Left': -0.08272625, ' left': -2.7734625, ' Right': -4.4615235, 'Left': -5.797383, 'left': -6.7936826}
{' Right': -0.3269524, ' right': -1.2858319, 'Right': -6.636209, 'right': -7.024651, ' ': -9.137573}
{' Left': -0.2691619, ' left': -1.4517218, 'Left': -6.720221, 'left': -7.578577, '\n': -10.177023}
{' Right': -0.19429749, ' right': -1.7422558, 'Right': -7.1264777, 'right': -7.82788, ' ': -9.2984915}
{' Left': -0.3097228, ' left': -1.3295783, 'Left': -6.7994385, 'left': -7.5129347, ' ': -9.818286}
{' Right': -0.09697002, ' right': -2.4376585, 'Right': -5.6402035, 'right': -6.734255, ' ': -8.66308}
{' Left': -0.09264196, ' left': -2.487545, 'Left': -5.4841514, 'left': -6.812158, ' ': -9.523027}
{' Right': -0.07182574, ' right': -2.7478797, 'Right': -5.8109097, ' Left': -7.0732007, 'right': -7.148347}
{' Left': -0.097267896, ' left': -2.428027, 'Left': -5.7067513, 'left': -6.840098, ' ': -9.697386}
{' Right': -0.13802025, ' right': -2.1102855, 'Right': -5.2954106, 'right': -6.123991, ' ': -8.131643}
{' Left': -0.14904289, ' left': -2.0279434, 'Left': -5.2954717, 'left': -6.4248476, ' ': -8.851717}
{' Right': -0.10096016, ' right': -2.4049745, 'Right': -5.629904, 'right': -6.640639, ' ': -7.963782}
{' Left': -0.17106228, ' left': -1.8844621, 'Left': -5.609142, 'left': -6.503043, ' ': -9.219935}
{' Right': -0.4074266, ' right': -1.1183984, 'Right': -5.3816395, 'right': -6.0059443, ' ': -7.757465}
{' Left': -0.39907196, ' left': -1.1362927, 'Left': -5.129443, 'left': -6.258425, ' ': -9.053502}
{' Right': -0.4088377, ' right': -1.1112036, 'Right': -5.7314234, 'right': -6.2568846, ' ': -7.7415705}
{' Left': -0.5781515, ' left': -0.8362749, 'Left': -5.6368876, 'left': -6.2296653, ' ': -8.999154}
{' Right': -0.13149178, ' right': -2.1887026, 'Right': -4.7805333, 'right': -6.2777834, ' ': -7.533366}
{' Left': -0.1222764, ' left': -2.2914488, 'Left': -4.4164925, 'left': -6.424339, ' ': -8.63691}
{' Right': -0.09923727, ' right': -2.454683, 'Right': -5.1025023, 'right': -6.654672, ' ': -7.496017}
{' Left': -0.21139112, ' left': -1.7128617, 'Left': -4.8928313, 'left': -6.0470324, ' ': -8.450099}
{' Right': -0.07051309, ' right': -2.7927458, 'Right': -5.4226365, 'right': -6.6159687, ' ': -7.6394114}
{' Left': -0.096913606, ' left': -2.4577706, 'Left': -5.2551603, 'left': -6.6855497, ' ': -8.788775}
{' Right': -0.06283141, ' right': -2.9215062, 'Right': -5.8036184, ' Left': -6.3157887, 'right': -6.998799}
{' Left': -0.10143378, ' left': -2.3901072, 'Left': -5.690804, 'left': -6.7082677, ' ': -8.752194}
{' Left': -0.41382954, ' left': -1.088024, 'Left': -6.8833485, 'left': -7.06475, '\n': -9.52963}
{' Right': -0.17470643, ' right': -1.8417959, 'Right': -6.868128, 'right': -7.592438, '\n': -9.327521}
{' Left': -0.51621383, ' left': -0.92375517, ' Right': -6.232127, 'left': -6.4961195, 'Left': -6.751691}
{' Right': -0.26077598, ' right': -1.4839967, 'Right': -6.476943, 'right': -6.832637, '\n': -9.387753}
{' Left': -0.15438512, ' left': -1.9830195, 'Left': -5.631073, 'left': -6.3656754, ' ': -9.653626}
