{' Yes': -0.0029946903, ' No': -6.6307826, 'Yes': -6.8748684, ' The': -7.6930256, ' yes': -9.08091}
{' No': -0.5036512, ' Yes': -0.93811274, 'No': -6.130181, 'Yes': -6.6900334, '\n': -8.064059}
{' No': -0.10813019, ' Yes': -2.3036904, 'No': -6.4638233, '\n': -7.5956154, ' The': -8.693459}
{' No': -0.04354503, ' Yes': -3.2878568, 'No': -5.3421764, '\n': -8.618866, 'Yes': -8.956557}
{' No': -0.01697517, ' Yes': -4.1629443, 'No': -6.9453444, ' The': -9.252355, ' ': -9.612884}
{' No': -0.009945289, ' Yes': -4.750653, 'No': -6.9094224, ' The': -9.313074, '\n': -9.987699}
{' No': -0.05419688, ' Yes': -3.0753627, 'No': -5.3364177, '\n': -7.1917925, ' ': -7.873702}
{' No': -0.25344327, ' Yes': -1.5177122, 'No': -6.074625, '\n': -6.8032837, 'Yes': -7.4948745}
{' Yes': -0.048280016, ' No': -3.108718, 'Yes': -6.5400457, '\n': -8.018012, ' yes': -8.332475}
{' No': -0.30557546, ' Yes': -1.3436518, 'No': -6.4762316, 'Yes': -8.200088, ' The': -8.533011}
{' Yes': -0.009191745, ' No': -4.8472214, 'Yes': -6.841179, ' yes': -9.041954, ' The': -10.305595}
{' No': -0.028623411, ' Yes': -3.6797633, 'No': -6.028482, '\n': -8.804503, ' The': -8.969691}
{' No': -0.11963202, ' Yes': -2.241111, 'No': -5.405826, '\n': -7.2317743, ' The': -7.5363226}
{' No': -0.12654507, ' Yes': -2.1548615, 'No': -6.2419834, '\n': -7.914629, 'Yes': -8.470219}
{' Yes': -0.06125775, ' No': -2.8600075, 'Yes': -6.516044, ' The': -8.528134, 'No': -8.650361}
{' No': -0.5166926, ' Yes': -0.9157079, 'No': -6.318425, 'Yes': -7.035884, '\n': -8.636519}
{' Yes': -0.2531957, ' No': -1.5068159, 'Yes': -6.84521, 'No': -7.7867455, ' The': -8.238129}
{' No': -0.12616667, ' Yes': -2.1662266, 'No': -5.778407, 'Yes': -8.102028, ' The': -8.410107}
{' No': -0.018823635, ' Yes': -4.289625, 'No': -5.730335, '\n': -6.7369623, ' The': -8.478483}
{' No': -0.043001603, ' Yes': -3.2450488, 'No': -5.9462643, ' The': -8.47459, 'Yes': -9.270121}
{' No': -0.013775169, ' Yes': -4.5697155, 'No': -5.82238, ' The': -9.012247, '\n': -9.396043}
{' No': -0.011198248, ' Yes': -4.848749, 'No': -5.8312874, ' The': -8.920111, '\n': -9.312367}
{' No': -0.010696996, 'No': -5.2163568, ' Yes': -5.3547673, '\n': -8.562, ' The': -9.043878}
{' No': -0.011540193, 'No': -4.921799, ' Yes': -5.6589985, '\n': -8.10936, ' The': -8.743477}
{' No': -0.008609735, 'No': -4.8396373, ' Yes': -8.3368845, ' ': -9.067049, ' The': -9.20686}
{' No': -0.06605655, ' Yes': -2.8069184, 'No': -5.792588, 'Yes': -8.613248, '\n': -9.224503}
{' No': -0.056632817, ' Yes': -2.9497354, 'No': -6.160943, ' The': -8.639688, '\n': -8.669677}
{' Yes': -0.6350946, ' No': -0.76258, 'No': -6.4858427, 'Yes': -6.639624, '\n': -7.7194357}
{' No': -0.115588106, ' Yes': -2.241452, 'No': -6.1870995, ' The': -8.386801, 'Yes': -8.386925}
{' No': -0.029917557, ' Yes': -3.6701381, 'No': -5.739056, '\n': -8.212566, ' The': -8.634909}
{' Yes': -0.0023434956, 'Yes': -6.4667406, ' yes': -8.14952, ' No': -8.357396, '\n': -8.685391}
{' Yes': -0.10323448, ' No': -2.3444471, 'Yes': -6.9273667, ' yes': -7.9380693, ' The': -8.117211}
{' Yes': -0.0017974576, ' No': -6.9439154, 'Yes': -7.7830377, ' The': -8.190577, ' yes': -9.2177515}
{' Yes': -0.0019611404, ' No': -6.630029, 'Yes': -7.8457127, ' yes': -8.981241, ' The': -9.494513}
{' Yes': -0.003919971, ' No': -5.6995525, 'Yes': -7.7881203, ' yes': -9.631023, ' The': -10.347016}
{' Yes': -0.0010863014, ' No': -7.242516, 'Yes': -8.109878, ' yes': -10.156531, ' The': -11.303097}
{' No': -0.05879277, ' Yes': -2.8917048, ' The': -7.4055157, 'No': -7.4875493, '\n': -8.635566}
{' No': -0.12632044, ' Yes': -2.1457982, 'No': -7.2428784, ' The': -7.5702057, ' ': -8.635307}
{' No': -0.3313097, ' Yes': -1.27292, 'No': -7.140361, ' The': -7.2880397, 'Yes': -8.328988}
{' No': -0.05202331, ' Yes': -3.0143838, 'No': -6.706297, ' The': -8.661434, '\n': -9.61548}
{' Yes': -0.16361056, ' No': -1.8984337, 'Yes': -7.3224697, 'No': -8.493181, ' yes': -9.210598}
{' Yes': -0.21431807, ' No': -1.6514901, 'Yes': -7.6108313, ' The': -8.266549, 'No': -8.492839}
{' No': -0.0033291762, 'No': -6.2048173, ' Yes': -6.9593287, ' The': -8.52168, ' ': -9.778769}
{' No': -0.26474065, ' Yes': -1.4675604, 'No': -6.700094, 'Yes': -7.943312, ' The': -8.434098}
{' Yes': -0.17454839, ' No': -1.8430645, ' The': -7.013142, 'Yes': -7.6464434, 'No': -8.817456}
{' No': -0.030964414, ' Yes': -3.5377886, 'No': -6.9697137, ' The': -7.9598503, 'Yes': -10.569972}
{' Yes': -0.12747374, ' No': -2.132549, 'Yes': -7.714027, ' The': -7.8943973, ' yes': -9.191288}
{' Yes': -0.008934436, ' No': -4.807965, 'Yes': -7.6880393, ' The': -8.830584, ' yes': -9.735199}
{' No': -0.24334227, ' Yes': -1.5390346, 'No': -7.043858, 'Yes': -8.542153, ' The': -8.848338}
{' No': -0.54718584, ' Yes': -0.8669319, 'No': -7.603988, 'Yes': -8.150576, ' The': -9.03953}
{' Yes': -0.4496164, ' No': -1.0206385, 'Yes': -7.4774575, 'No': -7.511954, ' The': -8.015279}
{' No': -0.0017984132, 'No': -6.74418, ' Yes': -7.5344214, ' ': -9.936204, ' The': -10.871079}
{' No': -0.30875972, ' Yes': -1.3389301, ' The': -6.580578, 'No': -6.665216, 'Yes': -8.279442}
{' No': -0.022661377, ' Yes': -3.9287436, 'No': -6.275017, ' The': -7.8663807, ' ': -8.446804}
{' Yes': -0.000712005, 'Yes': -7.380425, ' yes': -9.648071, ' ': -11.628555, ' YES': -11.769314}
{' Yes': -0.0007499988, 'Yes': -7.323963, ' yes': -9.778976, ' YES': -11.169949, ' ': -11.606434}
{' Yes': -0.3522203, ' No': -1.2210119, ' The': -7.0207725, 'Yes': -7.5082335, 'No': -8.074855}
{' No': -0.07909569, ' Yes': -2.6020887, 'No': -6.974312, ' The': -7.185148, 'Yes': -9.669017}
{' Yes': -0.17448962, ' No': -1.8477931, ' The': -6.704919, 'Yes': -7.1842947, 'No': -8.556199}
{' Yes': -0.08562806, ' No': -2.5187583, 'Yes': -6.9067264, ' The': -8.557137, 'No': -9.188558}
{' No': -0.055494644, ' Yes': -2.947321, 'No': -6.989023, ' The': -8.04072, ' ': -9.743909}
{' No': -0.19024098, ' Yes': -1.7615681, 'No': -7.0905356, 'Yes': -8.656576, ' The': -8.731549}
{' No': -0.029696, ' Yes': -3.597527, 'No': -6.584252, ' The': -8.188021, ' ': -9.172873}
{' No': -0.039462563, ' Yes': -3.2844384, 'No': -6.9440336, ' The': -9.313563, ' ': -9.699126}
{' Yes': -0.01210521, ' No': -4.5013, 'Yes': -7.446234, ' The': -8.53526, ' yes': -9.66051}
{' No': -0.12370929, ' Yes': -2.1599755, 'No': -7.424721, ' The': -8.313511, 'Yes': -9.601018}
{' Yes': -0.07036696, ' No': -2.7149096, 'Yes': -6.82401, ' The': -7.7305493, ' yes': -9.530755}
{' No': -0.07507319, ' Yes': -2.6447465, 'No': -6.963655, ' The': -8.839347, 'Yes': -8.979814}
{' No': -0.1042249, ' Yes': -2.3392656, 'No': -6.644756, ' The': -7.044597, 'Yes': -9.020453}
{' No': -0.43808028, ' Yes': -1.0428109, 'No': -7.1377296, ' The': -7.462336, 'Yes': -7.7578487}
{' Yes': -0.055572964, ' No': -2.9404182, 'Yes': -7.159872, ' The': -8.76108, ' yes': -9.264347}
{' Yes': -0.038140945, ' No': -3.3255439, 'Yes': -6.8639574, ' The': -8.789315, ' yes': -9.319678}
{' Yes': -0.00062373054, 'Yes': -7.958385, ' No': -8.499641, ' yes': -9.933349, ' ': -11.692121}
{' Yes': -0.057844818, ' No': -2.8959184, 'Yes': -7.3556714, ' The': -9.213465, 'No': -9.527476}
{' No': -0.013331704, ' Yes': -4.4499598, 'No': -6.749293, ' The': -8.347113, ' ': -9.427137}
{' Yes': -0.06739304, ' No': -2.7721715, ' The': -6.782686, 'Yes': -7.3834, ' Pen': -7.6112733}
{' Yes': -0.0062242765, ' No': -5.239611, 'Yes': -7.2574024, ' yes': -9.553848, ' The': -9.710123}
{' Yes': -0.10748219, ' No': -2.2931225, 'Yes': -7.9780507, ' The': -8.050326, ' yes': -9.138162}
{' Yes': -0.0017655726, ' No': -6.6979356, 'Yes': -7.896194, ' yes': -9.629885, ' The': -9.742491}
{' Yes': -0.0015730244, ' No': -6.8637266, 'Yes': -8.015712, ' The': -9.070933, ' yes': -9.735038}
{' Yes': -0.00433265, ' No': -5.6245794, 'Yes': -7.5621133, ' The': -9.11003, ' yes': -10.171985}
{' Yes': -0.11633329, ' No': -2.2222388, ' The': -7.3376465, 'Yes': -7.677347, ' yes': -8.963007}
{' No': -0.06559221, ' Yes': -2.7882235, 'No': -7.0473976, ' The': -7.137396, ' ': -9.683394}
{' No': -0.358988, ' Yes': -1.2056886, 'No': -7.068014, ' The': -7.2532825, 'Yes': -8.023224}
{' Yes': -0.0057165204, ' No': -5.268799, 'Yes': -7.9325557, ' yes': -9.237239, ' The': -9.816802}
{' Yes': -0.21480219, ' No': -1.6476655, 'Yes': -7.982969, ' The': -8.635668, 'No': -8.77351}
{' No': -0.23271038, ' Yes': -1.5867696, 'No': -6.341736, 'Yes': -8.001007, ' The': -8.079952}
{' Yes': -0.6724822, ' No': -0.7178904, ' The': -6.937769, 'No': -8.123444, 'Yes': -8.226112}
{' Yes': -0.0011025306, ' No': -7.534927, 'Yes': -7.617599, ' yes': -10.114244, ' The': -11.044259}
{' Yes': -0.011683828, ' No': -4.4976206, 'Yes': -7.916761, ' yes': -10.014642, ' The': -10.114631}
{' Yes': -0.0016552332, ' No': -6.8877044, 'Yes': -7.5525503, ' The': -10.102466, ' yes': -10.224424}
{' Yes': -0.0033974152, ' No': -5.899208, 'Yes': -7.671425, ' The': -9.184196, ' yes': -9.834564}
{' No': -0.14169024, ' Yes': -2.0450523, 'No': -6.672461, ' The': -6.7848077, 'Yes': -8.785844}
{' No': -0.013837355, ' Yes': -4.412719, 'No': -6.7433214, ' The': -8.264596, ' ': -9.592208}
{' No': -0.0042079, ' Yes': -5.8729095, 'No': -6.770653, ' ': -9.518278, ' The': -9.557533}
{' Yes': -0.03561968, ' No': -3.3889558, 'Yes': -6.969583, ' The': -8.88261, ' yes': -9.556073}
{' Yes': -0.00069745025, 'Yes': -7.720882, ' yes': -9.185271, ' No': -9.240432, ' The': -10.502036}
{' Yes': -0.01171338, ' No': -4.5398884, 'Yes': -7.8461323, ' The': -8.305475, ' yes': -8.55308}
{' Yes': -0.34354758, ' No': -1.2407243, ' The': -7.2357326, 'Yes': -7.73974, 'No': -8.245201}
{' No': -0.18506777, ' Yes': -1.7849859, 'No': -7.360677, ' The': -8.132239, 'Yes': -9.002228}
{' Yes': -0.14711429, ' No': -1.9984039, 'Yes': -7.4769773, ' The': -8.053937, 'No': -8.964046}
{' Yes': -0.41740367, ' No': -1.0864234, ' The': -6.1788783, 'Yes': -7.0640044, 'No': -7.606857}
{' No': -0.11974066, ' Yes': -2.1965227, 'No': -6.9127374, ' The': -8.435318, ' ': -8.547326}
{' No': -0.39968342, ' Yes': -1.1154314, 'No': -7.218355, 'Yes': -7.954695, ' The': -8.296743}
{' No': -0.48735666, ' Yes': -0.9576994, ' The': -7.320912, 'No': -7.4411244, 'Yes': -7.9552517}
{' No': -0.06993341, ' Yes': -2.713116, 'No': -7.2591915, ' The': -8.039799, 'Yes': -9.689926}
{' Yes': -0.027230786, ' No': -3.659698, 'Yes': -7.24176, ' The': -8.293735, ' yes': -9.957227}
{' Yes': -0.0036302148, ' No': -5.921318, 'Yes': -7.1143346, ' The': -9.733492, ' yes': -10.2838}
{' No': -0.46672085, ' Yes': -0.9885828, 'No': -8.234161, ' The': -8.473301, 'Yes': -8.790252}
{' No': -0.04915691, ' Yes': -3.0667808, 'No': -7.390578, ' The': -7.449183, ' Not': -10.097869}
{' Yes': -0.0015725484, 'Yes': -7.339467, ' No': -7.403661, ' yes': -8.803621, ' The': -9.372863}
{' Yes': -0.007891501, ' No': -4.933135, 'Yes': -7.5047426, ' yes': -10.048444, ' The': -10.449676}
{' Yes': -0.27742845, ' No': -1.4224021, 'Yes': -7.639897, 'No': -8.475576, ' The': -8.718576}
{' No': -0.24035586, ' Yes': -1.5523714, 'No': -6.747739, 'Yes': -8.224288, ' The': -8.634936}
{' Yes': -0.0017553038, ' No': -6.882931, 'Yes': -7.3720403, ' yes': -9.702471, ' ': -10.960609}
{' Yes': -0.06145542, ' No': -2.8404412, 'Yes': -7.0319924, 'No': -9.391026, ' The': -9.396849}
{' No': -0.6891509, ' Yes': -0.6995307, 'No': -7.5416093, 'Yes': -7.9881215, ' The': -8.743018}
{' Yes': -0.48005828, ' No': -0.9678112, 'Yes': -7.6544046, 'No': -7.669843, ' The': -8.334935}
{' No': -0.011553156, ' Yes': -4.586651, 'No': -7.1165447, ' The': -7.9950337, ' ': -9.594133}
{' No': -0.11957082, ' Yes': -2.216895, ' The': -5.8838806, 'No': -7.3601727, 'Yes': -9.039981}
{' No': -0.35970566, ' Yes': -1.204043, ' The': -7.030291, 'No': -7.6217117, 'Yes': -8.067974}
{' Yes': -0.11153245, ' No': -2.266865, ' The': -7.103246, 'Yes': -7.1631184, ' yes': -9.195742}
{' Yes': -0.03543557, ' No': -3.3957546, 'Yes': -7.303172, ' The': -7.674746, ' yes': -9.692578}
{' Yes': -0.17220111, ' No': -1.8584081, 'Yes': -6.894607, ' The': -7.390537, 'No': -8.371316}
{' Yes': -0.00068218034, 'Yes': -7.4391413, ' yes': -9.953387, ' No': -11.354661, ' YES': -11.360479}
{' No': -0.38329464, ' Yes': -1.1489788, 'No': -7.537452, ' The': -7.97491, 'Yes': -8.21288}
{' Yes': -0.001569204, ' No': -7.0819674, 'Yes': -7.3184004, ' yes': -10.336852, ' ': -11.305624}
{' No': -0.34449047, ' Yes': -1.2358575, 'No': -8.073841, ' The': -8.1115055, 'Yes': -9.112375}
{' Yes': -0.04580529, ' No': -3.127289, 'Yes': -7.206539, ' yes': -9.917004, ' The': -9.917875}
{' Yes': -0.009995921, ' No': -4.670213, 'Yes': -7.6791587, ' yes': -10.155349, ' The': -10.207408}
{' Yes': -0.05307123, ' No': -2.9855318, 'Yes': -7.242827, ' The': -8.288603, 'No': -9.551788}
{' Yes': -0.03332407, ' No': -3.4657066, 'Yes': -6.860832, ' The': -8.372132, ' yes': -9.159103}
{' No': -0.03314094, ' Yes': -3.4634366, 'No': -7.3675294, ' The': -7.90392, '\n': -9.254965}
{' No': -0.008400661, ' Yes': -4.9841256, 'No': -6.638224, ' The': -9.221775, ' ': -10.350778}
{' No': -0.01276901, ' Yes': -4.438237, 'No': -7.1486025, ' The': -10.200639, ' ': -11.388661}
{' No': -0.002212184, 'No': -6.6130133, ' Yes': -7.20771, ' ': -9.86173, ' The': -10.118096}
{' Yes': -0.012200236, ' No': -4.500571, 'Yes': -7.393246, ' The': -9.081799, ' yes': -9.107133}
{' Yes': -0.024973044, ' No': -3.7319353, 'Yes': -7.752311, ' yes': -9.169386, ' The': -9.251516}
{' Yes': -0.018857224, ' No': -4.037961, 'Yes': -7.22712, ' yes': -9.18536, ' The': -9.257632}
{' Yes': -0.035070296, ' No': -3.3955648, 'Yes': -7.5767837, ' The': -8.423199, ' yes': -9.281379}
{' No': -0.0828312, ' Yes': -2.5421073, 'No': -7.652045, ' The': -8.783919, 'Yes': -9.9937}
{' No': -0.018321646, ' Yes': -4.059119, 'No': -7.345205, ' ': -9.32187, ' The': -9.572822}
{' Yes': -0.24382028, ' No': -1.5391065, 'Yes': -7.1489773, ' The': -7.677923, 'No': -8.130003}
{' Yes': -0.21453387, ' No': -1.6508801, 'Yes': -7.6008058, ' The': -8.063549, 'No': -8.758904}
{' No': -0.007573763, ' Yes': -4.996164, 'No': -7.601297, ' The': -8.639682, ' ': -10.475362}
{' No': -0.0016207247, 'No': -6.705992, ' Yes': -8.122054, ' ': -10.220387, ' The': -10.696052}
{' Yes': -0.011387532, ' No': -4.5390725, 'Yes': -7.699719, ' The': -9.565281, ' yes': -9.958206}
{' Yes': -0.21778373, ' No': -1.6366907, 'Yes': -7.3042994, 'No': -8.431658, ' yes': -9.671167}
{' Yes': -0.116823, ' No': -2.2170446, 'Yes': -7.3136444, ' The': -8.4235115, 'No': -8.951129}
{' Yes': -0.45973545, ' No': -1.00189, ' The': -7.756173, 'Yes': -7.767293, 'No': -8.060382}
{' No': -0.2178064, ' Yes': -1.6374744, 'No': -7.431103, ' The': -8.018696, 'Yes': -9.068129}
{' No': -0.18157955, ' Yes': -1.8104877, 'No': -6.57629, ' The': -7.7374916, 'Yes': -8.463747}
{' No': -0.032172248, ' Yes': -3.5026405, 'No': -6.833764, ' The': -8.909972, ' ': -9.142542}
{' Yes': -0.31121838, ' No': -1.3215944, 'Yes': -8.36842, ' The': -8.741318, 'No': -9.186241}
{' Yes': -0.13489617, ' No': -2.0791538, 'Yes': -7.3373985, ' The': -8.440655, 'No': -9.082495}
{' Yes': -0.34384984, ' No': -1.2396457, ' The': -7.219824, 'Yes': -7.917742, 'No': -8.842476}
{' Yes': -0.06612762, ' No': -2.7821708, ' The': -6.8685393, 'Yes': -7.1921344, ' yes': -9.349357}
{' Yes': -0.18923664, ' No': -1.7729577, ' The': -6.3690743, 'Yes': -7.4521666, 'No': -9.022361}
{' No': -0.01099815, ' Yes': -4.612444, 'No': -7.129238, ' The': -9.309864, ' ': -9.816217}
{' No': -0.033177968, ' Yes': -3.4500728, 'No': -7.4473324, ' The': -8.638614, '\n': -10.254369}
{' No': -0.027022501, ' Yes': -3.6909683, 'No': -6.9457216, ' The': -7.616138, ' ': -9.078168}
{' No': -0.0060657687, ' Yes': -5.3450055, 'No': -6.9663033, ' ': -9.079117, ' The': -9.112913}
{' No': -0.017420558, ' Yes': -4.1476884, 'No': -6.949797, ' The': -7.798363, ' ': -10.483891}
{' No': -0.010721639, ' Yes': -4.6368012, 'No': -7.2468452, ' The': -8.760874, ' ': -10.461859}
{' No': -0.44750944, ' Yes': -1.0239769, 'No': -7.231586, 'Yes': -8.1530695, ' ': -8.4259405}
{' No': -0.14016655, ' Yes': -2.0519364, 'No': -6.67307, ' The': -7.2538595, 'Yes': -9.0219965}
{' No': -0.087239325, ' Yes': -2.503562, 'No': -7.042008, ' The': -7.52805, 'Yes': -8.855369}
{' No': -0.004048335, ' Yes': -5.8290815, 'No': -7.0190706, ' The': -9.064818, ' ': -10.457143}
{' No': -0.27245447, ' Yes': -1.443845, ' The': -6.87189, 'No': -7.14518, 'Yes': -7.8786607}
{' No': -0.08956218, ' Yes': -2.4755046, ' The': -7.1894135, 'No': -7.3898797, 'Yes': -9.677967}
{' No': -0.04837417, ' Yes': -3.0779018, 'No': -7.058866, '\n': -9.215649, ' ': -9.550451}
{' Yes': -0.079339765, ' No': -2.5903451, 'Yes': -7.222663, '\n': -8.832192, ' The': -9.00117}
{' No': -0.6049232, ' Yes': -0.7911204, 'No': -8.399404, 'Yes': -8.643204, ' The': -10.138108}
{' No': -0.32915705, ' Yes': -1.2736646, 'No': -8.265772, ' The': -8.77358, 'Yes': -9.329808}
{' Yes': -0.003411291, ' No': -5.972008, 'Yes': -7.3681283, ' yes': -9.092899, ' The': -9.524324}
{' Yes': -0.34923849, ' No': -1.230979, ' The': -6.9888425, 'Yes': -7.015824, 'No': -7.525342}
{' Yes': -0.027906666, ' No': -3.643635, 'Yes': -7.3077908, ' The': -7.948923, ' yes': -8.499563}
{' Yes': -0.07188377, ' No': -2.6946979, 'Yes': -7.0543246, ' The': -7.8568473, ' yes': -8.124984}
{' Yes': -0.03835683, ' No': -3.3066158, 'Yes': -7.118721, 'No': -9.6207695, ' ': -10.035046}
{' Yes': -0.08479084, ' No': -2.5244215, 'Yes': -7.2340026, ' The': -8.83685, 'No': -9.018926}
{' Yes': -0.20928487, ' No': -1.6728392, 'Yes': -7.431037, 'No': -8.691154, ' ': -9.135768}
{' Yes': -0.00572971, ' No': -5.3580437, 'Yes': -7.3122, ' The': -8.839795, ' yes': -9.1714525}
{' Yes': -0.49565947, ' No': -0.9420648, 'No': -7.830214, 'Yes': -7.8501053, ' The': -9.25009}
{' No': -0.323234, ' Yes': -1.2906011, 'No': -7.2188654, 'Yes': -8.375024, ' ': -10.369412}
{' No': -0.5490007, ' Yes': -0.8656434, ' The': -6.927111, 'No': -8.173134, 'Yes': -8.585967}
{' No': -0.008241871, ' Yes': -4.8947716, 'No': -7.555855, ' The': -9.335665, ' ': -9.915354}
{' No': -0.10320204, ' Yes': -2.3315325, 'No': -7.5989523, ' The': -8.377904, ' ': -9.724027}
{' Yes': -0.13181534, ' No': -2.1097968, ' The': -6.954914, 'Yes': -7.3204827, ' yes': -8.281718}
{' Yes': -0.0025220877, ' No': -6.277052, 'Yes': -7.6264095, ' The': -9.444417, ' yes': -10.099907}
{' Yes': -0.0064834696, ' No': -5.161734, 'Yes': -7.673454, ' The': -8.817539, ' yes': -9.515604}
{' Yes': -0.029349945, ' No': -3.5605524, 'Yes': -7.9722033, ' The': -9.940476, ' yes': -9.973872}
{' Yes': -0.01924682, ' No': -4.0144305, 'Yes': -7.66871, ' The': -7.8415337, ' yes': -9.422909}
{' No': -0.0030907067, ' Yes': -6.3222656, 'No': -6.8157105, ' The': -9.078676, ' ': -10.217335}
{' No': -0.037365112, ' Yes': -3.3474922, 'No': -6.9687614, ' The': -8.4100895, ' ': -8.922434}
{' No': -0.57585067, ' Yes': -0.8289177, 'No': -7.582083, ' The': -8.157193, 'Yes': -8.191713}
{' No': -0.004782089, ' Yes': -5.695135, 'No': -6.769526, ' The': -8.708595, ' ': -10.159893}
{' Yes': -0.0018956291, ' No': -6.749408, 'Yes': -7.3699336, ' yes': -9.913039, ' ': -10.964797}
{' Yes': -0.0005040948, 'Yes': -8.100843, ' yes': -9.6357155, ' The': -9.804989, ' No': -10.043686}
{' No': -0.22788878, ' Yes': -1.5967641, 'No': -7.435099, ' The': -8.027909, 'Yes': -8.96842}
{' Yes': -0.2906813, ' No': -1.3847402, 'Yes': -7.0833898, ' The': -7.7534914, 'No': -7.868533}
{' No': -0.48246923, ' Yes': -0.96535075, 'No': -7.2982607, ' The': -7.7542925, 'Yes': -7.9971304}
{' Yes': -0.046799786, ' No': -3.128253, 'Yes': -6.5937166, ' The': -8.289361, 'No': -9.359019}
{' No': -0.17750768, ' Yes': -1.820286, 'No': -8.048058, ' The': -8.952412, 'Yes': -9.535063}
{' No': -0.15380834, ' Yes': -1.9601896, 'No': -6.635902, 'Yes': -8.587451, ' The': -9.024358}
{' No': -0.023995437, ' Yes': -3.7716532, 'No': -7.737763, ' The': -8.959266, ' ': -9.876736}
{' No': -0.052067768, ' Yes': -3.0078514, 'No': -7.3477, ' The': -8.077912, ' Circ': -8.827299}
{' No': -0.15406188, ' Yes': -1.9570441, 'No': -7.034689, ' ': -8.6927185, ' The': -8.835928}
{' No': -0.3434942, ' Yes': -1.239498, 'No': -7.562909, 'Yes': -8.368966, ' The': -8.487839}
{' Yes': -0.052385226, ' No': -2.9923782, 'Yes': -7.506301, ' ': -9.5526285, ' yes': -9.660802}
{' No': -0.22450858, ' Yes': -1.6096957, 'No': -7.48892, ' The': -8.228014, 'Yes': -9.314804}
{' Yes': -0.010736641, ' No': -4.6071434, 'Yes': -7.533638, ' yes': -9.730455, ' The': -9.95499}
{' No': -0.6270159, ' Yes': -0.76851445, ' The': -7.25431, 'Yes': -7.4025207, 'No': -7.704412}
{' Yes': -0.13073544, ' No': -2.1087513, 'Yes': -7.4519496, ' The': -8.100406, 'No': -9.249338}
{' No': -0.41139296, ' Yes': -1.0918682, ' The': -7.403641, 'No': -7.474076, 'Yes': -8.265753}
{' Yes': -0.041411426, ' No': -3.2284687, 'Yes': -7.344437, ' The': -8.724259, ' yes': -9.910811}
{' Yes': -0.36148757, ' No': -1.196584, 'Yes': -7.4672856, 'No': -8.160128, ' The': -8.970863}
{' Yes': -0.04231047, ' No': -3.2267165, 'Yes': -7.10971, ' The': -7.583921, ' yes': -8.273118}
{' No': -0.15876903, ' Yes': -1.9291071, 'No': -6.977638, ' The': -8.00237, 'Yes': -8.867446}
{' No': -0.016050043, ' Yes': -4.2022414, 'No': -7.307544, ' The': -8.879143, '\n': -9.562842}
{' No': -0.020122495, ' Yes': -3.9575362, 'No': -7.3615794, ' The': -9.10637, ' ': -10.736608}
{' No': -0.35964358, ' Yes': -1.2011505, 'No': -7.7211113, ' The': -7.782105, 'Yes': -8.679325}
{' No': -0.037183277, ' Yes': -3.3349087, 'No': -7.4110427, ' The': -8.834937, ' ': -9.968341}
{' No': -0.025591318, ' Yes': -3.7573552, 'No': -6.446911, ' The': -8.737589, ' ': -9.747957}
{' No': -0.01909535, ' Yes': -4.0833516, 'No': -6.3882775, ' The': -8.425889, ' ': -9.832595}
{' No': -0.005420607, 'No': -5.5374885, ' Yes': -7.089582, ' Unfortunately': -8.460475, ' The': -8.512068}
{' No': -0.22409056, ' Yes': -1.6159458, 'No': -6.6457796, ' The': -7.9651275, 'Yes': -8.208276}
{' No': -0.10942223, ' Yes': -2.2774158, 'No': -7.3552446, ' The': -8.156314, 'Yes': -9.636695}
{' No': -0.62777615, ' Yes': -0.7656432, 'No': -7.4909067, 'Yes': -7.8147154, ' The': -9.53726}
{' No': -0.156564, ' Yes': -1.9418384, 'No': -7.1418257, ' The': -7.8455977, 'Yes': -8.840074}
{' No': -0.11341193, ' Yes': -2.2543592, 'No': -6.7656803, ' The': -7.448647, 'Yes': -9.012352}
{' Yes': -0.0029031646, ' No': -6.1540294, 'Yes': -7.632639, ' yes': -9.0846615, ' The': -9.344615}
{' Yes': -0.045607574, ' No': -3.1289926, 'Yes': -7.9546156, ' The': -8.215604, ' yes': -9.2479315}
