{' Yes': -0.017299628, ' No': -4.178966, 'Yes': -6.4146748, 'No': -10.048907, ' Nope': -10.280585}
{' Yes': -0.014188486, 'Yes': -5.4842277, ' Pur': -5.646141, ' Purs': -5.8009334, ' Sure': -6.05447}
{' Yes': -0.036641136, ' Purs': -4.301112, ' Pur': -4.984001, 'Yes': -4.991826, ' Sure': -5.5292654}
{' Yes': -0.067118965, ' No': -2.8785908, 'Yes': -5.499747, ' Actor': -5.972722, ' yes': -7.042027}
{' No': -0.28196108, ' Yes': -1.4655586, ' Actor': -4.597865, 'No': -6.1005654, 'Yes': -7.4000616}
{' Yes': -0.0045684827, 'Yes': -6.21574, ' Smoke': -6.2405663, ' Sure': -8.487009, ' No': -9.259538}
{' Yes': -0.004752144, 'Yes': -5.936656, ' Smoke': -7.04323, ' No': -7.5398846, ' yes': -8.649507}
{' Yes': -0.34947565, ' No': -1.2290857, 'Yes': -6.854754, 'No': -7.5585895, ' Nope': -7.8334947}
{' No': -0.19468673, ' Yes': -1.7588652, ' Nope': -6.150614, 'No': -6.258247, 'Yes': -8.01784}
{' Yes': -0.29248816, ' No': -1.3777237, 'Yes': -7.0342617, 'No': -8.182419, ' Nope': -8.382184}
{' No': -0.17926288, ' Yes': -1.8173493, ' False': -7.4000416, ' Nope': -7.531409, 'No': -7.917151}
{' Yes': -0.0009000909, 'Yes': -7.2737036, ' No': -9.116811, ' yes': -10.671082, ' Watch': -11.041474}
{' Yes': -0.0016537999, 'Yes': -6.838594, ' Watch': -8.295227, ' No': -9.045012, ' yes': -9.754128}
{' Yes': -0.044962205, ' Spice': -3.4468784, ' Sp': -5.380512, 'Yes': -5.65081, ' Sure': -6.648327}
{' Yes': -0.018181423, ' Spice': -4.5581517, 'Yes': -5.524319, ' Sp': -6.6740217, ' No': -7.558001}
{' Yes': -0.00071653776, 'Yes': -7.4386687, ' yes': -10.051254, ' YES': -10.551149, ' Absolutely': -11.220651}
{' Yes': -0.0053623, ' No': -6.400838, ' Under': -6.4958806, 'Yes': -6.8947353, ' Und': -8.223818}
{' Yes': -0.0019611404, 'Yes': -6.8255863, ' Crack': -7.8166065, ' Cr': -8.409452, ' yes': -9.36203}
{' Yes': -0.0012718304, 'Yes': -7.241231, ' No': -7.7199416, ' yes': -10.17962, ' Crack': -10.598093}
{' Yes': -0.03271381, ' Ar': -4.3142653, ' Sure': -5.2726526, ' Arg': -5.2757874, 'Yes': -5.9912925}
{' Yes': -0.06389764, ' Ar': -3.5867648, ' Arg': -4.2968264, ' No': -5.0333557, ' Argument': -5.463016}
{' Yes': -0.000635719, 'Yes': -7.691318, ' No': -9.145039, ' yes': -10.453678, ' YES': -11.097646}
{' Yes': -0.0014270728, ' No': -7.27716, 'Yes': -7.420916, ' yes': -9.825829, ' YES': -10.514772}
{' Yes': -0.008697334, 'Yes': -5.873386, ' Early': -6.712155, ' Yeah': -7.2102838, ' Ye': -7.2132745}
{' Yes': -0.005235745, 'Yes': -6.2095003, ' No': -7.666654, ' Ye': -7.885474, ' Yeah': -8.058687}
{' Yes': -0.032933388, ' Goose': -3.5590217, 'Yes': -6.1687665, ' No': -6.956202, ' Ge': -8.8315525}
{' Yes': -0.010209545, ' No': -5.1355224, ' Goose': -5.851025, 'Yes': -6.74047, ' yes': -10.0466}
{' No': -0.13337721, ' Yes': -2.8076649, ' Ocean': -2.8442762, ' Nope': -5.819685, 'No': -6.0109673}
{' No': -0.088864245, ' Ocean': -2.8918276, ' Yes': -3.8540351, ' Nope': -5.596312, 'No': -5.7274966}
{' Yes': -0.03054049, ' No': -3.6348264, 'Yes': -5.9104176, ' Trash': -7.84797, 'No': -8.862481}
{' Yes': -0.009923379, ' No': -5.6906176, 'Yes': -5.9414077, ' Thr': -6.497521, ' Trash': -7.0467453}
{' Yes': -0.042344548, ' Gross': -3.4901917, ' No': -5.443418, ' Gro': -6.0102954, 'Yes': -6.1210427}
{' Yes': -0.08605866, ' Gross': -2.7150867, ' No': -5.0657616, ' Gro': -5.860336, 'Yes': -6.1826606}
{' Yes': -0.0010941776, 'Yes': -6.949139, ' YES': -10.047486, ' yes': -10.5624895, ' Yep': -10.724307}
{' Yes': -0.0009778243, 'Yes': -7.11217, ' Yep': -10.226842, ' YES': -10.288902, ' yes': -10.827649}
{' Yes': -0.22933708, ' Guard': -1.7210726, ' No': -4.3454447, ' Guardian': -5.529203, 'Yes': -5.955198}
{' Yes': -0.10801232, ' Guard': -2.951018, ' No': -3.112929, 'Yes': -6.3751135, ' Guardian': -6.649274}
{' Yes': -0.002452534, 'Yes': -6.4934387, ' Sweet': -7.609975, ' Swe': -8.772789, ' yes': -9.514152}
{' Yes': -0.0058211926, ' Sweet': -6.028852, 'Yes': -6.2039547, ' Swe': -7.1313777, ' YES': -8.650458}
{' Yes': -0.094077975, ' Grass': -2.602354, ' No': -4.3481765, 'Yes': -6.4513025, ' Gr': -7.923431}
{' Yes': -0.01954041, ' No': -4.1349154, ' Grass': -6.1599555, 'Yes': -6.806455, ' yes': -10.233285}
{' Yes': -0.0015351742, 'Yes': -6.6553397, ' yes': -9.176524, ' YES': -9.945531, ' No': -10.108684}
{' Yes': -0.0024384963, 'Yes': -6.263812, ' yes': -8.690597, ' No': -9.179688, ' YES': -9.652013}
{' Yes': -0.019916652, ' Girls': -4.85111, ' No': -5.237051, 'Yes': -5.6471715, ' G': -6.6252413}
{' Yes': -0.033868354, ' Girls': -3.8052208, ' No': -5.042114, 'Yes': -6.466067, ' G': -6.611053}
{' Yes': -0.002417464, 'Yes': -6.57981, ' Light': -8.271876, ' YES': -8.403524, ' No': -8.715073}
{' Yes': -0.0027710628, 'Yes': -6.699758, ' Light': -7.120839, ' No': -8.410451, ' YES': -8.426389}
{' Yes': -0.02529937, ' No': -3.7716045, 'Yes': -6.7647266, ' Spoon': -8.207849, ' Nope': -8.507857}
{' Yes': -0.004442924, ' No': -5.6674905, 'Yes': -7.0747457, ' Yep': -10.636333, ' yes': -10.677402}
{' Yes': -0.19613725, ' No': -2.3231056, ' Lo': -2.9075608, ' Lose': -3.8548439, 'Yes': -6.4494348}
{' Yes': -0.45620695, ' No': -1.4592874, ' Lo': -2.2798972, ' Lose': -3.6308877, ' Nope': -6.3674297}
{' Yes': -0.009696573, ' No': -5.359489, 'Yes': -5.615054, ' Plant': -7.1699615, ' yes': -8.793344}
{' Yes': -0.013629845, 'Yes': -5.1729827, ' No': -5.51798, ' Plant': -6.0569487, ' Planet': -7.9011307}
{' Yes': -0.0031302874, 'Yes': -6.316784, ' No': -7.015867, ' Seven': -8.913659, ' yes': -9.305507}
{' Yes': -0.018928472, ' Seven': -4.2000675, 'Yes': -6.4857078, ' No': -6.717908, ' yes': -8.596274}
{' Yes': -0.0026090378, 'Yes': -6.121292, ' YES': -9.45235, ' yes': -9.67796, ' Yeah': -9.705631}
{' Yes': -0.0021886493, 'Yes': -6.7893186, ' No': -7.0027056, ' yes': -10.456627, ' YES': -10.510178}
{' Rough': -0.56806487, ' Yes': -0.85372853, ' Tough': -5.5338945, ' Though': -7.10934, 'Yes': -7.3256764}
{' Yes': -0.56059855, ' Rough': -0.85879916, ' Tough': -6.4461956, ' No': -6.565059, 'Yes': -7.057095}
{' Yes': -0.06473108, ' Dance': -2.9620335, 'Yes': -5.0146074, ' No': -6.8031235, ' YES': -7.193164}
{' Yes': -0.1044065, ' No': -2.8818324, ' Dance': -3.3123512, 'Yes': -5.6661935, ' Nope': -7.1397038}
{' Yes': -0.00136434, 'Yes': -6.985745, ' No': -8.280344, ' Salad': -9.56947, ' yes': -9.654915}
{' Yes': -0.0015459819, 'Yes': -6.9117017, ' Salad': -8.334633, ' No': -8.730211, ' yes': -9.45069}
{' Yes': -0.03472515, ' Looks': -4.129934, ' No': -4.664856, 'Yes': -5.345679, ' Lo': -6.716186}
{' Yes': -0.10839413, ' Looks': -2.812427, ' No': -4.214741, ' Lo': -4.402554, 'Yes': -5.058862}
{' Store': -0.19877984, ' Yes': -1.8824422, ' Sure': -3.6250226, 'Store': -7.4876676, 'Yes': -8.05239}
{' Yes': -0.6588897, ' Store': -0.7870883, ' Sure': -4.1888943, ' St': -5.1578693, ' Stores': -6.26305}
{' Yes': -0.0011652457, 'Yes': -7.013511, ' Break': -8.837846, ' yes': -9.637956, ' YES': -10.880587}
{' Yes': -0.001208631, 'Yes': -6.9767137, ' No': -9.179902, ' Break': -10.038554, ' yes': -10.043958}
{' Yes': -0.0029696987, 'Yes': -6.276712, ' No': -7.0282435, ' yes': -9.731231, ' Parts': -9.852269}
{' Yes': -0.0023731308, 'Yes': -6.278359, ' No': -7.849375, ' yes': -9.981884, ' YES': -10.718715}
{' Yes': -0.015926247, ' Sh': -4.9119124, 'Yes': -5.686155, ' Sho': -6.0540223, ' Sure': -7.1856656}
{' Yes': -0.17998998, ' Sh': -2.2139692, ' Sho': -3.2147129, 'Yes': -5.8448973, ' Show': -5.9900923}
{' Yes': -0.008832141, ' Sy': -5.1487093, 'Yes': -5.9895353, ' yes': -8.847436, ' YES': -9.231672}
{' Yes': -0.0075837323, ' Sy': -5.630922, 'Yes': -5.752479, ' yes': -8.213543, ' YES': -8.639743}
{' Yes': -0.00095975155, 'Yes': -7.200702, ' yes': -9.664782, ' Learn': -9.70794, ' YES': -9.907287}
{' Yes': -0.00071558316, 'Yes': -7.4705334, ' No': -9.849058, ' yes': -10.252449, ' YES': -10.506409}
{' Yes': -0.008675689, ' No': -4.836741, 'Yes': -7.3408175, ' yes': -10.323842, 'No': -11.294692}
{' Yes': -0.0017242541, ' No': -6.99937, 'Yes': -7.2596545, ' yes': -9.93135, ' Minor': -10.542786}
{' Yes': -0.0011263395, 'Yes': -6.847882, ' Where': -10.6012125, ' yes': -11.207748, ' YES': -11.723782}
{' Yes': -0.004842461, ' Where': -5.8054495, 'Yes': -6.3952837, ' YES': -10.804626, ' Yeah': -10.908891}
{' Yes': -0.0038152612, 'Yes': -6.0744114, ' Arrow': -6.8962903, ' No': -7.9093666, ' yes': -9.8413}
{' Yes': -0.05985204, ' Arrow': -2.9393687, 'Yes': -5.744437, ' No': -6.849039, 'arrow': -8.438381}
{' Yes': -0.004225858, 'Yes': -6.1080017, ' No': -6.3470864, ' Chain': -9.534034, ' yes': -9.944749}
{' Yes': -0.004098308, 'Yes': -6.266635, ' No': -6.6967206, ' Chain': -7.321282, ' yes': -9.933938}
{' Yes': -0.00096559647, 'Yes': -7.516966, ' No': -7.867426, ' yes': -10.632603, ' ': -12.329642}
{' Yes': -0.046765678, ' No': -3.1019206, 'Yes': -7.3853045, 'No': -10.024348, ' yes': -10.523998}
{' Yes': -0.023177382, ' Heart': -3.9482183, 'Yes': -5.8501825, ' YES': -8.338374, ' Hearts': -9.060559}
{' Yes': -0.04178375, ' Heart': -3.2746365, 'Yes': -6.0895896, ' Hearts': -8.415, ' YES': -8.525735}
{' Yes': -0.003431623, ' Horse': -6.530472, 'Yes': -6.735752, ' Sure': -7.280409, ' YES': -11.276898}
{' Yes': -0.001753631, 'Yes': -6.558794, ' Sure': -8.841244, ' Horse': -8.988329, ' YES': -11.12258}
{' Yes': -0.1440948, ' No': -2.0144598, 'Yes': -7.538069, 'No': -9.279269, ' Nope': -9.307868}
{' Yes': -0.14991403, ' No': -1.9808313, 'Yes': -7.317369, ' Nope': -8.659394, 'No': -8.902993}
{' Yes': -0.07175652, ' No': -2.6812785, 'Yes': -7.613121, ' Nope': -9.420185, ' Pizza': -10.016947}
{' Yes': -0.16613697, ' No': -1.8826417, 'Yes': -7.4971657, 'No': -9.074868, ' Nope': -9.4506235}
{' Yes': -0.004847313, 'Yes': -6.0693245, ' Snake': -6.088343, ' yes': -9.708357, ' YES': -9.7190895}
{' Yes': -0.006547665, ' Snake': -5.653707, 'Yes': -6.0724807, ' Sn': -8.367627, ' No': -8.989171}
{' Yes': -0.010262297, ' No': -5.6257234, ' Laugh': -5.8220468, 'Yes': -6.7319913, ' Yeah': -7.0183644}
{' Yes': -0.0023450481, 'Yes': -7.014347, ' No': -7.194859, ' Yeah': -8.569913, ' Laugh': -8.575939}
{' No': -0.4376312, ' Yes': -1.0429436, 'No': -6.6243734, 'Yes': -7.7085824, ' Nope': -8.728334}
{' No': -0.21245027, ' Yes': -1.6647589, 'No': -6.528133, ' Nope': -7.990368, 'Yes': -8.319431}
{' No': -0.034816116, ' Yes': -3.3970253, 'No': -7.3333464, ' Nope': -9.966622, 'Yes': -10.459435}
{' Yes': -0.023889886, ' No': -3.7828488, 'Yes': -7.418333, ' Nope': -9.4327135, ' Sure': -9.99841}
{' Yes': -0.059607238, ' Plane': -2.939675, 'Yes': -5.8573055, ' No': -6.532416, ' yes': -8.5848875}
{' Yes': -0.04718992, ' Plane': -3.19215, ' No': -5.9094596, 'Yes': -6.3216915, ' yes': -8.819943}
{' Yes': -0.014705822, ' No': -4.386593, 'Yes': -6.8005066, ' Found': -7.7554355, ' yes': -9.148912}
{' Yes': -0.012611997, ' No': -4.577107, 'Yes': -7.200812, ' Found': -7.25343, ' F': -9.174295}
{' Yes': -0.16711019, ' No': -1.8800561, ' Uncle': -7.3085246, 'Yes': -8.013727, ' Nope': -9.023255}
{' No': -0.17535338, ' Yes': -1.8674576, ' Nope': -5.4006643, 'No': -7.314069, ' Un': -7.971919}
{' Yes': -0.0006496739, 'Yes': -7.97419, ' No': -8.220582, ' yes': -11.2139, ' YES': -11.620613}
{' Yes': -0.002958877, ' No': -6.3373876, 'Yes': -6.88926, ' YES': -10.436764, ' yes': -10.451321}
{' Yes': -0.0035956379, ' Sleep': -6.2084694, 'Yes': -7.001259, ' Yep': -8.527462, ' yes': -8.819511}
{' Yes': -0.0022755684, 'Yes': -7.083769, ' No': -7.3889217, ' Sleep': -7.6602364, ' yes': -8.826082}
{' No': -0.3632402, ' Yes': -1.1913995, 'No': -7.7056165, 'Yes': -8.1969795, ' Nope': -10.292767}
{' Yes': -0.0347017, ' No': -3.4216204, 'Yes': -6.9110703, ' Nope': -8.459138, ' Close': -9.106241}
{' Yes': -0.011636431, ' No': -4.9140677, ' Te': -6.152459, 'Yes': -6.6362357, ' Nope': -9.0908985}
{' Yes': -0.0031271789, ' No': -6.348887, 'Yes': -6.842089, ' Yeah': -9.906949, ' YES': -10.12004}
{' Yes': -0.00031441596, 'Yes': -8.419932, ' No': -9.819566, ' Sure': -10.508201, '\n': -12.74654}
{' Yes': -0.00031441596, 'Yes': -8.603282, ' Sure': -9.660735, ' No': -9.848729, '\n': -12.644562}
{' Yes': -0.0005856814, 'Yes': -7.622894, ' yes': -10.162124, ' No': -10.396839, ' YES': -10.933638}
{' Yes': -0.02007275, ' No': -4.095308, 'Yes': -6.3579783, ' Drunk': -7.355317, ' Nope': -8.669726}
{' No': -0.0064948066, ' Yes': -5.1305866, 'No': -7.659415, ' Nope': -9.470095, 'Yes': -12.545769}
{' No': -0.013830888, ' Yes': -4.3384614, 'No': -7.4354105, ' Nope': -9.765626, 'Yes': -11.3794}
{' Yes': -0.0005746466, 'Yes': -7.8810716, ' Word': -9.094483, ' yes': -9.969469, ' YES': -11.302342}
{' Yes': -0.0012142995, ' Word': -7.788373, 'Yes': -7.8341208, ' No': -8.494199, ' yes': -9.423307}
{' Yes': -0.10890689, ' No': -2.3269358, ' Ch': -6.119597, 'Yes': -6.8181796, ' Nope': -6.920708}
{' No': -0.44907075, ' Yes': -1.019448, 'No': -7.835072, ' Nope': -7.9623914, 'Yes': -8.57213}
{' Yes': -0.0080442885, ' Woman': -5.0812044, ' No': -6.935399, 'Yes': -7.300549, ' yes': -9.837476}
{' Yes': -0.00035418657, 'Yes': -8.186082, ' Woman': -10.239297, ' YES': -11.211195, ' No': -11.598995}
{' Yes': -0.004599677, ' Party': -5.695426, 'Yes': -6.941228, ' YES': -9.500388, ' yes': -9.957955}
{' Yes': -0.0037505236, ' No': -5.945414, 'Yes': -7.3046556, ' Party': -8.173807, ' Yep': -9.66201}
{' Yes': -0.010041495, ' No': -4.7229624, 'Yes': -7.0185304, ' yes': -9.003173, ' YES': -10.034101}
{' Yes': -0.0042303465, ' No': -5.592252, 'Yes': -7.6985064, ' yes': -10.789307, ' YES': -11.436003}
{' Yes': -0.00047762014, 'Yes': -7.7088284, ' YES': -11.612778, ' yes': -11.722327, ' No': -12.736772}
{' Yes': -0.0015397727, 'Yes': -6.9019475, ' Shoes': -7.800434, ' YES': -10.001579, ' yes': -10.373875}
{' Yes': -0.0006164532, 'Yes': -7.579857, ' No': -9.653816, ' yes': -11.235085, ' Ghost': -11.677319}
{' Yes': -0.05301491, ' No': -2.9775124, 'Yes': -7.76478, ' Ghost': -9.113468, ' Nope': -9.236105}
{' Yes': -0.00035335214, 'Yes': -8.24259, ' Shirt': -9.857744, ' YES': -11.311972, ' yes': -11.387}
{' Yes': -0.009036918, ' Shirt': -4.8359694, 'Yes': -7.1210513, ' No': -9.671478, ' YES': -9.777515}
{' Yes': -0.028583549, ' No': -3.7240794, 'Yes': -6.135692, ' Pants': -6.4104667, ' Nope': -9.815707}
{' Yes': -0.017629405, ' No': -4.317428, 'Yes': -5.9741664, ' Pants': -6.686033, ' Nope': -9.214916}
{' Yes': -0.02360265, ' No': -4.255473, ' Board': -5.0616655, 'Yes': -6.3598733, ' yes': -8.068572}
{' Yes': -0.0067934995, ' No': -5.8045325, 'Yes': -6.1949744, ' Board': -6.7724376, ' yes': -8.202535}
{' Yes': -0.0029360398, ' No': -6.5149407, 'Yes': -6.8005543, ' yes': -9.101425, ' YES': -9.514871}
{' Yes': -0.011307533, ' No': -4.590834, 'Yes': -7.1513596, ' yes': -9.5432205, ' Nope': -9.922267}
{' Yes': -0.0047062705, ' No': -5.7007523, 'Yes': -7.3606286, ' Sure': -8.297515, ' Nope': -8.318024}
{' Yes': -0.034744713, ' There': -3.7830164, ' No': -5.2748, 'Yes': -6.3034415, ' The': -6.3611684}
{' No': -0.46615636, ' Yes': -0.992985, 'No': -6.8740745, 'Yes': -7.421863, ' Nope': -8.742737}
{' No': -0.45045206, ' Yes': -1.0801746, ' Sn': -4.0911245, 'No': -6.4243846, 'Yes': -6.8778577}
{' Yes': -0.015231837, ' No': -4.26164, 'Yes': -7.5013404, ' Bride': -8.367644, ' yes': -9.580482}
{' Yes': -0.013409446, ' Bride': -5.2589097, ' Bridge': -5.7711053, ' No': -5.8422513, 'Yes': -6.8349996}
{' Yes': -0.0011007388, ' No': -7.1686974, 'Yes': -8.09753, ' yes': -11.078693, ' YES': -12.503957}
{' Yes': -0.0114894835, ' No': -4.9312167, ' Throw': -5.783815, 'Yes': -7.391109, '\n': -8.816597}
{' Yes': -0.0021705495, ' No': -6.515516, 'Yes': -7.535505, ' Women': -9.689362, ' yes': -10.487529}
{' Yes': -0.0016981023, 'Yes': -7.24687, ' No': -7.7066545, ' Yep': -9.094797, ' Women': -9.17398}
{' Yes': -0.41306457, ' No': -1.1519581, ' Ank': -5.160212, 'Yes': -5.79201, ' K': -6.242667}
{' Yes': -0.39231193, ' No': -1.1330155, 'Yes': -6.8564734, ' Nope': -7.5810223, 'No': -8.054476}
{' Yes': -0.5039468, ' No': -0.9329647, ' Nope': -6.384135, 'Yes': -7.8280015, 'No': -8.338251}
{' Yes': -0.02688038, ' No': -3.865015, ' Los': -6.1004086, ' Lo': -6.503216, 'Yes': -7.1414933}
{' Yes': -0.0031652083, ' No': -5.8735666, 'Yes': -8.019001, ' yes': -12.0248785, ' YES': -12.284806}
{' No': -0.3619486, ' Yes': -1.1939303, 'No': -7.754565, 'Yes': -8.83725, ' Nope': -9.797014}
{' Yes': -0.00027995434, 'Yes': -8.298015, ' Sure': -11.618394, ' yes': -11.843331, ' YES': -11.926165}
{' Yes': -0.000584784, 'Yes': -7.7522593, ' Shark': -9.407979, ' Sure': -10.645487, ' yes': -11.076724}
{' Yes': -0.011375172, ' No': -4.5617957, 'Yes': -7.238571, ' Lemon': -9.926141, ' yes': -10.278567}
{' Yes': -0.0027174498, ' No': -6.370386, 'Yes': -7.040198, ' Lemon': -9.937171, ' yes': -10.614031}
{' No': -0.5180076, ' Yes': -0.9132293, ' Nope': -6.578528, 'No': -7.5493164, ' Tight': -7.6750765}
{' Yes': -0.2571767, ' No': -1.4942354, ' Nope': -7.0022073, ' Maybe': -7.4900274, 'Yes': -7.6382527}
{' Yes': -0.04090989, ' No': -3.2467775, 'Yes': -6.9930234, 'No': -9.680216, ' Below': -9.839819}
{' Yes': -0.08633116, ' No': -2.5051582, 'Yes': -7.1369176, 'No': -8.975252, ' yes': -10.265461}
{' Yes': -0.010468269, ' Sm': -4.761744, ' Spell': -7.1670327, 'Yes': -7.544766, ' No': -8.59458}
{' Yes': -0.0043585706, ' No': -6.0546184, ' Sm': -7.130159, 'Yes': -7.4920006, ' Spell': -8.082546}
{' Yes': -0.14354931, ' No': -2.1146986, 'Yes': -5.6606617, ' Your': -5.8651953, ' Y': -6.417189}
{' Yes': -0.12600325, ' No': -2.17741, 'Yes': -6.2658668, ' Nope': -7.2648883, ' Sure': -7.3179793}
{' No': -0.025921699, ' Yes': -3.7078977, 'No': -6.917458, 'Yes': -10.400526, ' Nope': -10.533148}
{' No': -0.116399646, ' Yes': -2.226034, ' Wrong': -6.5412993, 'No': -8.093059, ' Nope': -9.099912}
{' Yes': -0.01732837, ' No': -4.335575, ' Devil': -6.1281986, 'Yes': -6.921997, ' yes': -7.8181343}
{' Yes': -0.09135857, ' Devil': -3.0744977, ' No': -3.6720355, 'Yes': -5.9830127, ' Dev': -5.9861317}
{' Yes': -0.00033146844, 'Yes': -8.149629, ' No': -10.929202, ' yes': -11.213788, ' YES': -12.226451}
{' Yes': -0.0060861595, ' No': -5.1687126, 'Yes': -8.14152, ' yes': -10.142856, ' Sure': -11.2676525}
{' Yes': -0.24663594, ' No': -1.5245023, 'Yes': -7.48168, 'No': -8.414761, ' yes': -10.329927}
{' No': -0.124734744, ' Yes': -2.1541386, 'No': -6.931154, ' Major': -9.145154, 'Yes': -9.269635}
{' No': -0.24544378, ' Yes': -1.5280193, 'No': -7.700337, 'Yes': -8.959089, ' Nope': -9.386162}
{' Yes': -0.037409853, ' No': -3.4109373, ' Worst': -6.0391583, 'Yes': -7.244481, ' Nope': -8.963897}
{' No': -0.6563403, ' Yes': -0.7341716, ' Nope': -7.7721353, 'No': -8.009337, 'Yes': -8.219152}
{' Yes': -0.1182598, ' No': -2.206677, 'Yes': -7.597246, ' Nope': -7.6214085, ' Pound': -9.211285}
{' Yes': -0.0377805, ' No': -3.3237703, 'Yes': -7.136237, ' Nope': -9.590304, 'No': -10.19056}
{' Yes': -0.07999563, ' Dirty': -3.0595644, ' Dirt': -4.2558017, ' No': -4.5703826, 'Yes': -5.838681}
{' Yes': -0.0011342157, 'Yes': -6.8780317, ' yes': -10.167692, ' YES': -10.324827, ' No': -11.8896}
{' Yes': -0.0021554371, 'Yes': -6.6385684, ' No': -7.2930584, ' yes': -9.735462, ' YES': -10.0311365}
{' Yes': -0.0018431388, 'Yes': -6.4977093, ' YES': -9.399994, ' yes': -9.754982, ' Yep': -9.890645}
{' Yes': -0.15041521, ' No': -3.4245038, 'rupt': -3.5555818, ' Inter': -4.6061473, ' U': -4.8168263}
{' Yes': -0.007633521, ' No': -4.989031, 'Yes': -7.19778, ' yes': -10.534487, 'No': -12.006779}
{' Yes': -0.01144553, ' Swamp': -5.276077, 'Yes': -5.946134, ' No': -5.9719462, ' Sw': -7.6501055}
{' Yes': -0.1886715, ' Armor': -2.4313836, ' No': -2.5309281, ' Armour': -6.3171825, 'Yes': -6.9931774}
{' Yes': -0.21085078, ' No': -1.6779892, ' Armor': -5.990423, 'Yes': -7.7030106, 'No': -8.369676}
{' Yes': -0.0047459765, ' No': -5.4452157, 'Yes': -7.851061, ' yes': -11.319607, ' YES': -12.403501}
{' Yes': -0.4418713, ' No': -1.0318886, 'Yes': -8.006677, 'No': -8.219022, ' Nope': -9.249072}
{' Yes': -0.00267406, ' No': -6.458669, 'Yes': -7.1671486, ' yes': -9.1827135, ' YES': -9.451525}
{' Yes': -0.0040160795, ' No': -5.8857865, 'Yes': -7.1331944, ' Still': -8.73566, ' yes': -9.153341}
{' Yes': -0.00067496306, 'Yes': -7.4648356, ' No': -9.984579, ' Hello': -10.598584, ' yes': -11.343335}
{' Yes': -0.00032121275, 'Yes': -8.182929, ' No': -10.865754, ' yes': -11.55589, ' YES': -12.259622}
{' Yes': -0.0013578943, 'Yes': -6.9237247, ' No': -8.664419, ' Sure': -9.156935, ' yes': -10.510853}
{' Yes': -0.036502957, ' No': -3.5107136, 'Yes': -6.027023, ' Sure': -6.6345572, ' Nope': -7.20466}
{' Yes': -0.4341422, ' No': -1.0626842, ' Actor': -5.8390646, 'Yes': -6.557215, 'No': -6.707616}
{' No': -0.16083513, ' Yes': -1.9689996, ' Actor': -5.24971, 'No': -6.202303, ' Nope': -7.8743324}
{' Yes': -0.0007582317, 'Yes': -7.4324617, ' No': -9.2299185, ' yes': -10.73697, ' YES': -10.851211}
{' Yes': -0.004231065, ' No': -6.1187496, 'Yes': -6.576193, ' Smoke': -8.60343, ' Nope': -9.198034}
{' No': -0.3688825, ' Yes': -1.1788208, 'No': -7.810094, 'Yes': -8.417008, ' Nope': -8.862327}
{' No': -0.09789245, ' Yes': -2.3938708, 'No': -6.9270053, ' Nope': -7.147119, 'Yes': -9.125119}
{' No': -0.024014058, ' Yes': -3.7819865, 'No': -7.4121914, ' Nope': -8.102967, 'Yes': -10.711081}
{' No': -0.17051806, ' Yes': -1.8567822, ' Nope': -8.1396885, 'No': -8.568022, 'Yes': -9.577672}
{' Yes': -0.00052341784, 'Yes': -7.942517, ' No': -9.024715, ' Sure': -11.281426, ' yes': -11.34607}
{' Yes': -0.0036362573, ' No': -5.8683224, 'Yes': -7.3912373, ' Watch': -9.751202, ' yes': -10.091129}
{' Yes': -0.004768196, ' No': -5.9508204, 'Yes': -6.7517605, ' Spice': -7.901115, ' Sp': -8.696049}
{' Yes': -0.019589707, ' No': -4.045394, 'Yes': -6.706233, ' Nope': -8.190093, ' Spice': -8.957313}
{' Yes': -0.00025634444, 'Yes': -8.361557, ' yes': -11.400405, ' YES': -12.252625, ' No': -13.044012}
{' Yes': -0.03856502, ' No': -3.2932818, 'Yes': -7.755146, ' Under': -9.860734, ' yes': -10.204081}
{' Yes': -0.00082551886, ' No': -7.6237326, 'Yes': -8.113681, ' yes': -10.810718, ' YES': -11.931651}
{' Yes': -0.0055751163, ' No': -5.2449303, 'Yes': -8.275908, ' yes': -11.189643, ' YES': -11.901157}
{' Yes': -0.0064069824, ' Sure': -6.3099875, ' No': -6.595394, 'Yes': -6.676895, ' Ar': -7.2435236}
{' Yes': -0.057653233, ' No': -3.9871113, ' Ar': -4.2946506, ' Arg': -4.438455, ' Argument': -5.4242096}
{' Yes': -0.0028652053, ' No': -5.9788127, 'Yes': -8.126268, ' yes': -10.897186, ' YES': -12.166753}
{' Yes': -0.01653592, ' No': -4.136195, 'Yes': -8.039092, ' yes': -10.530864, ' Nope': -11.091018}
{' Yes': -0.0042438745, 'Yes': -6.2996674, ' No': -7.649853, ' Early': -7.851255, ' Yeah': -7.9415436}
{' Yes': -0.005503614, 'Yes': -6.3855205, ' No': -6.733283, ' Yeah': -7.7347164, ' Ye': -8.149861}
{' Yes': -0.001208631, ' No': -7.533229, 'Yes': -7.6362314, ' Goose': -9.167523, ' YES': -10.773644}
{' Yes': -0.021404227, ' No': -3.885988, 'Yes': -7.516078, ' Nope': -10.487835, ' Goose': -10.815305}
{' No': -0.03469843, ' Ocean': -3.9869115, ' Yes': -4.393894, 'No': -6.325613, ' Nope': -6.867059}
{' No': -0.0240049, ' Ocean': -4.5448103, ' Yes': -4.72457, 'No': -6.2216234, ' Nope': -6.3314304}
