{' Yes': -0.013008951, ' No': -5.207686, 'Yes': -5.404065, ' Generally': -6.76965, ' An': -6.8052945}
{' Yes': -0.005702673, 'Yes': -5.6388254, ' Generally': -6.674369, ' B': -7.6238356, ' yes': -8.753707}
{' Yes': -0.006748972, 'Yes': -5.393393, ' Generally': -6.6564198, ' B': -7.654673, ' yes': -8.728975}
{' Yes': -0.0357308, 'Yes': -4.112395, ' No': -4.2001214, 'No': -6.796379, ' Generally': -6.825739}
{' Yes': -0.03313139, 'Yes': -4.146216, ' No': -4.4330587, ' Generally': -5.9890466, 'No': -7.0786405}
{' Yes': -0.013578305, 'Yes': -4.6282134, ' Generally': -5.822353, ' B': -8.3580675, ' yes': -9.144967}
{' Yes': -0.020559374, 'Yes': -4.1122437, ' Generally': -6.182, ' No': -7.123506, ' B': -7.8535895}
{' Yes': -0.031518668, 'Yes': -3.620792, ' No': -6.230857, '\n': -6.789649, ' ': -8.073064}
{' Yes': -0.04875755, ' No': -3.5242898, 'Yes': -4.211651, 'No': -6.6490974, '\n': -7.0845237}
{' Yes': -0.02896523, 'Yes': -3.7487144, '\n': -5.886321, ' Generally': -7.1092014, ' ': -7.670752}
{' Yes': -0.019559072, 'Yes': -4.0349627, '\n': -7.275101, ' No': -8.125415, ' yes': -8.452123}
{' Yes': -0.019540168, ' No': -4.478563, 'Yes': -5.0646086, ' Generally': -7.71229, ' A': -7.9791837}
{' Yes': -0.19909662, ' No': -1.8305588, 'Yes': -4.7655277, 'No': -5.253929, ' A': -5.4185276}
{' Yes': -0.013929403, 'Yes': -4.8638573, ' Generally': -5.6460323, ' B': -6.299917, ' On': -8.638082}
{' Yes': -0.01421436, 'Yes': -4.480603, ' B': -6.6833715, ' Generally': -6.8884134, ' yes': -8.357261}
{' Yes': -0.08623629, ' No': -3.2015905, 'Yes': -3.5788088, 'No': -5.270562, '\n': -5.641824}
{' Yes': -0.4138778, ' No': -1.2550836, 'No': -3.7793257, 'Yes': -4.079487, ' A': -5.431801}
{' Yes': -0.03166428, 'Yes': -3.689833, '\n': -6.0987797, ' Generally': -6.6979156, ' B': -6.841122}
{' Yes': -0.033746466, 'Yes': -3.5503497, ' No': -6.3481097, ' Generally': -7.1420755, ' B': -7.591821}
{' Yes': -0.038898606, 'Yes': -3.7516346, ' Generally': -5.306587, ' No': -5.3533874, ' A': -6.5585017}
{' Yes': -0.046960756, 'Yes': -3.7397134, ' Generally': -4.601579, ' No': -5.1486716, ' A': -6.0264907}
{' Yes': -0.020046357, 'Yes': -4.058172, ' Generally': -6.404445, ' B': -7.9912143, ' yes': -8.457584}
{' Yes': -0.03449197, 'Yes': -3.4996085, ' B': -6.608525, ' Generally': -6.640439, ' yes': -7.777134}
{' Yes': -0.035441685, ' No': -3.5003557, 'Yes': -6.0525775, '\n': -7.1060286, ' ': -7.563552}
{' Yes': -0.19232258, ' No': -1.7732799, 'Yes': -5.9281836, 'No': -7.0443254, '\n': -7.744726}
{' Yes': -0.004406702, 'Yes': -5.822375, '\n': -7.0923676, ' yes': -8.0369835, ' ': -8.924703}
{' Yes': -0.004032059, 'Yes': -5.767984, ' yes': -8.241794, ' No': -8.283511, '\n': -8.340988}
{' Yes': -0.08858652, ' No': -2.884668, 'Yes': -4.1643944, '\n': -5.406564, 'No': -5.657525}
{' Yes': -0.48794365, ' No': -1.0887852, 'No': -3.9369562, 'Yes': -4.382059, '\n': -4.7061577}
{' Yes': -0.016358504, 'Yes': -4.27979, ' yes': -7.350333, '\n': -7.7055254, ' B': -7.74754}
{' Yes': -0.015457113, 'Yes': -4.280657, ' yes': -7.4131255, '\n': -8.360863, ' Generally': -8.511253}
{' Yes': -0.18630257, ' No': -2.8106503, '\n': -2.8437448, 'Yes': -3.4575102, ' ': -4.66384}
{' Yes': -0.5840332, ' No': -1.1914854, '\n': -2.4887822, 'No': -4.0528536, 'Yes': -4.1078324}
{' Yes': -0.10458946, '\n': -2.8381383, 'Yes': -3.4718187, ' ': -5.0958743, ' yes': -6.621653}
{' Yes': -0.06726284, '\n': -3.3770466, 'Yes': -3.6876202, ' ': -5.6960354, ' yes': -6.8307133}
{' Yes': -0.007971467, ' No': -5.518328, 'Yes': -5.8318048, ' yes': -7.7758126, ' A': -8.648578}
{' Yes': -0.10316952, ' No': -2.393487, 'Yes': -5.4409285, 'No': -6.986464, ' A': -7.351985}
{' Yes': -0.00436354, 'Yes': -5.60089, ' yes': -8.502028, '\n': -8.884976, ' B': -9.050818}
{' Yes': -0.003979933, 'Yes': -5.6158133, ' yes': -8.679284, ' No': -10.052243, ' B': -10.435086}
{' Yes': -0.36290723, ' No': -1.9180486, 'Yes': -2.6537893, 'No': -3.2602649, '\n': -3.535488}
{' No': -0.55235595, ' Yes': -1.2986271, 'No': -2.3878222, '\n': -3.8147097, 'Yes': -3.8813696}
{' Yes': -0.10264515, 'Yes': -2.636308, '\n': -4.221137, ' ': -5.527754, ' yes': -5.8796496}
{' Yes': -0.08383342, 'Yes': -2.6765113, '\n': -5.4281974, ' yes': -6.15908, ' ': -6.219427}
{' Yes': -0.107480854, ' No': -2.653467, 'Yes': -4.4294906, ' yes': -4.960645, 'No': -5.5509033}
{' Yes': -0.04778532, ' No': -3.7507937, 'Yes': -4.3375688, ' yes': -5.9528236, ' A': -5.965885}
{' Yes': -0.033535644, 'Yes': -3.8093858, ' yes': -5.308396, '\n': -6.2840223, ' B': -6.477176}
{' Yes': -0.021104977, 'Yes': -4.1486645, ' yes': -5.657345, '\n': -7.7013845, ' ': -7.7796288}
{' Yes': -0.060541224, 'Yes': -3.5331705, ' No': -3.8422241, ' yes': -5.82536, 'No': -6.0577493}
{' Yes': -0.1024292, ' No': -2.9491642, 'Yes': -3.4909945, 'No': -5.163777, ' A': -5.6374416}
{' Yes': -0.054514572, 'Yes': -3.2195077, ' yes': -4.868588, ' B': -6.205456, ' Generally': -6.4527907}
{' Yes': -0.06765143, 'Yes': -3.0313218, ' yes': -4.8379664, ' B': -5.766328, ' No': -6.1488004}
{' No': -0.49561876, ' Yes': -1.280138, 'No': -2.3670213, 'Yes': -4.1029887, ' yes': -6.6988535}
{' No': -0.22255233, 'No': -1.9953433, ' Yes': -2.8261042, 'Yes': -5.6220307, ' It': -8.425225}
{' Yes': -0.05727717, 'Yes': -2.9702506, ' No': -6.0872736, ' yes': -7.427907, 'No': -7.608245}
{' Yes': -0.14586926, ' No': -2.6829443, 'Yes': -2.9518423, 'No': -4.3115187, ' yes': -7.1426077}
{' Yes': -0.13686453, ' No': -2.6366508, 'Yes': -3.1437404, 'No': -4.5958657, ' yes': -6.1965947}
{' No': -0.52951753, ' Yes': -1.0374616, 'No': -3.1404698, 'Yes': -4.3977733, ' yes': -7.7643523}
{' Yes': -0.091832615, 'Yes': -2.4666934, ' yes': -7.2285185, ' No': -7.2622194, ' Generally': -8.170453}
{' Yes': -0.08634194, 'Yes': -2.7181873, ' No': -4.366867, 'No': -5.9763494, ' yes': -6.924065}
{' Yes': -0.27554804, ' No': -1.488389, 'Yes': -4.7935114, 'No': -5.1902604, ' yes': -7.424056}
{' Yes': -0.49146006, ' No': -0.98694354, 'No': -4.847039, 'Yes': -4.953868, ' yes': -8.069012}
{' Yes': -0.010084483, 'Yes': -4.749003, ' Generally': -7.1598506, ' No': -8.373531, ' yes': -8.684446}
{' Yes': -0.013740243, 'Yes': -4.4330997, ' No': -6.7133346, ' yes': -8.404765, ' Generally': -8.546224}
{' No': -0.40663758, 'No': -1.2097763, ' Yes': -3.5915415, 'Yes': -5.563797, '\n': -6.2120647}
{' No': -0.2257161, 'No': -1.6518865, ' Yes': -4.9863305, ' A': -6.9591956, 'Yes': -7.338535}
{' Yes': -0.13749611, 'Yes': -2.1788511, ' B': -5.0520105, ' Generally': -5.669614, ' No': -6.6212244}
{' Yes': -0.5454791, ' No': -1.51841, 'No': -2.1686578, 'Yes': -2.6190379, ' B': -4.8742847}
{' No': -0.24904333, 'No': -1.6371562, ' Yes': -3.9587507, '\n': -5.6627913, 'Yes': -6.630359}
{' No': -0.070299745, 'No': -2.712794, ' Yes': -6.9549236, ' no': -8.573773, ' A': -8.907614}
{' Yes': -0.17182264, 'Yes': -2.4433565, ' No': -3.2569342, 'No': -4.099015, ' B': -4.7268896}
{' No': -0.6881658, ' Yes': -1.221573, 'No': -1.8465443, 'Yes': -3.337614, ' B': -5.457123}
{' Yes': -0.013800673, ' yes': -4.9167757, 'Yes': -5.6302037, ' No': -6.4769006, ' ': -7.193587}
{' Yes': -0.034929495, ' No': -3.7349834, ' yes': -4.9925537, 'Yes': -5.984989, ' ': -7.3160224}
{' Yes': -0.013660417, ' yes': -4.574583, 'Yes': -5.953924, '\n': -8.071358, ' ': -8.371969}
{' Yes': -0.006866173, ' yes': -5.588901, 'Yes': -5.95121, '\n': -8.40646, ' ': -8.872809}
{' Yes': -0.060880262, ' No': -3.6149096, 'Yes': -3.8090472, ' yes': -5.699556, '\n': -6.0123987}
{' Yes': -0.7239283, ' No': -0.75542426, 'No': -3.643371, 'Yes': -4.4401126, '\n': -5.727382}
{' Yes': -0.03108498, 'Yes': -3.706128, ' yes': -5.6475015, '\n': -6.709012, ' No': -7.878226}
{' Yes': -0.030234996, 'Yes': -3.6403365, ' yes': -6.179258, '\n': -7.1138487, ' ': -8.571204}
{' Yes': -0.18003479, '\n': -2.5175705, 'Yes': -2.7870407, ' ': -4.888134, ' No': -5.073456}
{' Yes': -0.53790724, ' No': -1.5885378, '\n': -1.9871681, 'Yes': -3.427443, 'No': -3.7450473}
{' Yes': -0.09520095, 'Yes': -3.1029372, '\n': -3.3177712, ' yes': -5.128888, ' ': -5.957797}
{' Yes': -0.062409293, 'Yes': -3.1830108, '\n': -4.3217416, ' yes': -5.439322, ' ': -6.920628}
{' Yes': -0.0108188195, 'Yes': -5.007023, ' yes': -6.2269096, ' No': -6.593653, '\n': -8.202529}
{' Yes': -0.01313897, 'Yes': -4.721738, ' yes': -6.436984, ' No': -6.482156, ' A': -7.9986258}
{' Yes': -0.010832617, 'Yes': -4.678681, ' yes': -7.02241, '\n': -8.391953, ' Generally': -8.604216}
{' Yes': -0.011260394, 'Yes': -4.585281, ' yes': -7.386937, '\n': -8.916205, ' Generally': -8.942412}
{' Yes': -0.31742588, ' No': -2.410041, 'Yes': -2.4808648, '\n': -2.9216013, 'No': -3.6772203}
{' Yes': -0.8872859, ' No': -1.051152, 'No': -2.4122455, '\n': -2.4594944, 'Yes': -2.96469}
{' Yes': -0.12555292, 'Yes': -2.570173, '\n': -3.7634616, ' yes': -4.3802695, ' ': -6.108474}
{' Yes': -0.13135473, 'Yes': -2.3382256, '\n': -4.3696585, ' yes': -4.6479945, ' No': -6.616536}
{' Yes': -0.10058012, ' yes': -2.778253, 'Yes': -3.9194431, ' No': -5.020458, '\n': -5.740266}
{' Yes': -0.08524237, ' No': -3.538737, ' yes': -3.9029512, 'Yes': -4.102471, '\n': -5.2736063}
{' Yes': -0.06325853, ' yes': -3.1973755, 'Yes': -4.0760546, '\n': -6.3901587, ' ': -7.401078}
{' Yes': -0.044927794, ' yes': -3.6934605, 'Yes': -4.113186, '\n': -6.488632, ' ': -7.808618}
{' Yes': -0.15492424, ' No': -2.0668066, '\n': -4.6554008, ' ': -5.9428873, 'Yes': -6.090934}
{' Yes': -0.30389994, ' No': -1.3667969, 'Yes': -6.0639896, 'No': -6.536913, '\n': -6.544689}
{' Yes': -0.020269863, '\n': -4.2899575, 'Yes': -5.606167, ' ': -6.5289664, ' Generally': -7.387979}
{' Yes': -0.006812642, 'Yes': -5.496698, '\n': -6.252216, ' yes': -8.023015, ' ': -8.300285}
{' Yes': -0.09394394, ' No': -3.404359, '\n': -3.6906939, 'Yes': -3.8295338, ' ': -5.512521}
{' Yes': -0.20322275, ' No': -2.0604348, '\n': -3.7841246, 'Yes': -4.0818443, 'No': -5.018095}
{' Yes': -0.05710626, '\n': -3.458952, 'Yes': -3.8917983, ' ': -6.0474477, ' yes': -7.364212}
{' Yes': -0.059972472, '\n': -3.4282296, 'Yes': -3.8588765, ' ': -6.0925612, ' yes': -7.272569}
{' Yes': -0.16969918, ' No': -2.8142076, '\n': -3.024527, 'Yes': -3.7021163, ' ': -4.474694}
{' No': -0.49516246, ' Yes': -1.2184938, '\n': -3.0763466, 'No': -3.677957, ' ': -4.6339197}
{' Yes': -0.053853564, '\n': -3.5359929, 'Yes': -4.2068534, ' ': -5.155465, ' B': -6.744216}
{' Yes': -0.04937218, '\n': -3.587996, 'Yes': -4.1938863, ' ': -5.594916, ' yes': -7.038222}
{' Yes': -0.039905716, ' No': -4.1297207, '\n': -4.3867264, ' ': -5.36817, 'Yes': -5.430057}
{' Yes': -0.035798505, ' No': -4.0262003, '\n': -4.9333186, 'Yes': -5.4341063, ' ': -5.6482553}
{' Yes': -0.05710841, '\n': -3.1919253, 'Yes': -5.0167637, ' ': -5.071978, ' Generally': -7.229136}
{' Yes': -0.03200761, '\n': -3.8670695, 'Yes': -5.0237656, ' ': -5.808333, ' yes': -7.8821683}
{' No': -0.51959825, ' Yes': -1.1632599, 'No': -3.2643168, '\n': -3.4970324, 'Yes': -4.5772004}
{' No': -0.47619218, ' Yes': -1.174114, 'No': -3.523292, '\n': -3.893152, 'Yes': -4.716491}
{' Yes': -0.0335407, 'Yes': -4.0217133, '\n': -4.6509533, ' ': -5.9693522, ' B': -6.8395534}
{' Yes': -0.038959958, 'Yes': -3.929705, '\n': -4.4921155, ' ': -5.9310336, ' No': -6.1557236}
{' Yes': -0.102943935, '\n': -3.4691453, ' No': -3.584536, 'Yes': -4.190861, ' ': -4.7019744}
{' Yes': -0.10231622, ' No': -2.9974003, 'Yes': -4.295174, '\n': -4.4189935, ' A': -4.8246846}
{' Yes': -0.04999917, 'Yes': -3.8867185, '\n': -4.1385536, ' yes': -5.1455135, ' ': -5.333124}
{' Yes': -0.04058165, 'Yes': -3.943259, '\n': -4.4976892, ' yes': -5.1921606, ' ': -5.906581}
{' Yes': -0.7002487, ' No': -0.7364406, 'No': -4.294716, 'Yes': -5.547916, ' A': -6.0157733}
{' Yes': -0.036959734, ' No': -3.9010437, 'Yes': -4.4336023, ' A': -6.3289704, 'No': -7.1096463}
{' No': -0.18714562, ' B': -2.707001, ' Yes': -3.4129927, 'No': -3.4655666, ' Generally': -4.1587925}
{' Yes': -0.23267977, ' No': -2.2020895, ' B': -2.8199964, ' Generally': -4.1386757, 'Yes': -4.6079426}
{' No': -0.1888344, ' Yes': -2.2678823, 'No': -2.7720692, 'Yes': -5.966741, ' Generally': -6.4556327}
{' Yes': -0.08430851, ' No': -3.070211, 'Yes': -3.658485, 'No': -5.263555, ' Generally': -6.374191}
{' No': -0.11646427, 'No': -2.4475741, ' B': -4.3312144, ' Generally': -5.542878, ' Yes': -6.0031753}
{' Yes': -0.51328504, ' No': -1.2079357, 'No': -3.3280873, ' B': -3.6358223, 'Yes': -3.933003}
{' No': -0.4758511, ' Yes': -1.1523571, 'No': -3.0576208, 'Yes': -4.827076, '\n': -5.3193526}
{' Yes': -0.27121994, ' No': -1.5805423, 'Yes': -4.1170545, 'No': -4.456723, '\n': -6.1634755}
{' No': -0.1621458, 'No': -2.1225166, '\n': -4.187292, ' B': -4.766577, ' ': -6.5170565}
{' No': -0.6714964, ' Yes': -1.0648241, 'No': -2.8243663, ' B': -3.4070518, '\n': -3.554446}
{' No': -0.40629, ' Yes': -1.2008475, 'No': -3.7362497, 'Yes': -5.5392056, ' A': -6.0083766}
{' Yes': -0.0328174, 'Yes': -4.2133474, ' No': -4.404332, ' A': -5.501664, 'No': -7.3734007}
{' No': -0.10783571, 'No': -2.6718633, ' B': -3.5678308, ' Generally': -6.0960727, ' Yes': -7.3438907}
{' No': -0.6867152, ' Yes': -1.2407751, ' B': -1.9549417, 'No': -3.0848856, 'Yes': -4.715781}
{' No': -0.12136285, 'No': -2.2580855, '\n': -5.5034637, ' Yes': -6.0762405, ' ': -6.6992702}
{' Yes': -0.5084494, ' No': -1.1107119, 'No': -3.4719656, 'Yes': -3.950092, ' A': -4.986175}
{' No': -0.19013926, 'No': -1.9811834, ' B': -4.227903, '\n': -4.814761, ' Not': -5.9495006}
{' No': -0.6131155, ' Yes': -1.3154966, 'No': -2.2523556, ' B': -3.3881226, 'Yes': -4.158167}
{' No': -0.16256687, 'No': -1.9680536, ' Yes': -5.7460666, ' Generally': -6.064798, ' A': -6.4156795}
{' Yes': -0.080991775, 'Yes': -3.4701977, ' No': -3.8318193, ' Generally': -4.465015, ' A': -5.0885005}
{' No': -0.15205981, 'No': -2.0594313, ' B': -4.7741776, ' Generally': -6.185406, ' Not': -7.002077}
{' Yes': -0.86795294, ' No': -1.0032641, ' B': -2.4937215, 'No': -2.5525994, 'Yes': -3.632086}
{' No': -0.05186164, ' Yes': -3.163087, 'No': -5.1512136, '\n': -7.052106, ' ': -7.2965035}
{' Yes': -0.32594213, ' No': -1.299943, 'Yes': -5.885768, 'No': -6.5436563, '\n': -7.6948786}
{' No': -0.02532205, 'No': -4.1158276, '\n': -5.6332455, ' B': -5.7628474, ' ': -7.257012}
{' Yes': -0.5811195, ' No': -0.8658104, ' B': -5.0238147, 'No': -5.208505, 'Yes': -5.558349}
{' No': -0.090204105, 'No': -2.6262949, '\n': -5.4717827, ' Yes': -5.6840525, ' It': -6.339751}
{' Yes': -0.72517234, ' No': -0.8075126, 'No': -3.7635345, '\n': -4.165875, ' A': -4.313803}
{' No': -0.082818896, 'No': -2.8326757, ' B': -4.348663, '\n': -5.8585296, ' It': -6.6968436}
{' Yes': -0.08422706, 'Yes': -3.5368867, ' No': -3.5940573, ' B': -4.2407155, 'No': -5.8291435}
{' No': -0.41134495, ' Yes': -2.0324614, '\n': -2.3356652, 'No': -2.6184735, ' ': -4.2859883}
{' No': -0.20675531, 'No': -2.8666043, '\n': -2.874724, ' Yes': -2.9569576, ' A': -4.655617}
{' No': -0.22776675, '\n': -2.1245735, 'No': -2.8086495, ' B': -4.5184965, ' ': -4.6164403}
{' Yes': -0.28692096, '\n': -1.7071862, 'Yes': -3.4639554, ' No': -4.385798, ' ': -4.392731}
{' No': -0.24859042, ' Yes': -1.6040974, 'No': -4.5299854, ' A': -5.583067, 'Yes': -6.7653155}
{' Yes': -0.19590679, ' No': -1.7808926, 'Yes': -5.4454427, ' A': -6.237979, 'No': -6.382891}
{' No': -0.035803016, 'No': -3.5785444, ' B': -5.191326, '\n': -7.6366487, ' ': -8.088045}
{' No': -0.15593295, ' Yes': -2.2918963, 'No': -3.6398883, ' B': -4.280309, 'Yes': -6.321412}
{' No': -0.34038293, 'No': -1.5134518, ' Yes': -3.4641623, '\n': -4.05397, ' A': -4.9408045}
{' No': -0.30795047, 'No': -2.058576, ' Yes': -2.4807677, '\n': -3.631435, ' A': -4.7650695}
{' No': -0.2388988, 'No': -1.766334, '\n': -3.7555783, ' B': -4.575881, ' ': -5.2903175}
{' Yes': -0.8211103, ' No': -1.1030871, 'No': -2.3718743, 'Yes': -2.8124716, ' B': -3.235207}
{' No': -0.09995553, 'No': -2.6894598, ' Yes': -4.3130083, ' A': -5.174024, '\n': -6.178757}
{' Yes': -0.096369475, ' No': -3.0133173, 'Yes': -4.047295, ' A': -4.3488183, 'No': -5.827497}
{' No': -0.14580913, 'No': -2.296217, ' B': -3.7220113, '\n': -5.382701, ' ': -5.904378}
{' Yes': -0.17350796, ' B': -2.615681, ' No': -3.1656039, 'Yes': -3.5964034, 'No': -5.370882}
{' No': -0.40971398, ' Yes': -1.40193, 'No': -2.6755905, 'Yes': -4.7008877, ' Generally': -5.3683863}
{' Yes': -0.15299203, ' No': -2.4732301, 'Yes': -3.3811567, 'No': -4.5, ' A': -5.049484}
{' No': -0.21925062, 'No': -1.7999372, ' B': -4.063833, ' Generally': -5.977211, ' It': -6.129181}
{' Yes': -0.6270535, ' No': -1.2844765, 'No': -2.5307057, 'Yes': -3.156474, ' B': -3.1662495}
{' No': -0.14379834, 'No': -2.1092582, ' Yes': -4.4995775, 'Yes': -7.0684175, ' ': -8.128737}
{' No': -0.23919788, 'No': -2.1578035, ' Yes': -2.4035044, 'Yes': -5.1345987, ' ': -8.105699}
{' No': -0.2647754, 'No': -1.4787914, ' B': -5.8615594, ' Yes': -7.5979714, ' Generally': -8.177414}
{' No': -0.31377995, 'No': -1.4137326, ' Yes': -3.8253326, 'Yes': -5.877092, ' It': -7.9712243}
{' No': -0.20110479, 'No': -2.23344, ' Yes': -2.6748328, 'Yes': -5.3978553, ' ': -7.525127}
{' No': -0.09053051, 'No': -2.7274895, ' Yes': -3.9317684, 'Yes': -7.1541805, ' ': -7.984804}
{' No': -0.34081715, 'No': -1.312842, ' Yes': -4.9113984, ' B': -5.0718427, ' It': -6.345885}
{' No': -0.29363355, 'No': -1.9084902, ' Yes': -2.3650045, 'Yes': -4.6273565, ' B': -7.1761217}
{' No': -0.0449859, 'No': -3.3950622, ' Yes': -4.624072, 'Yes': -8.4294, ' ': -8.725012}
{' Yes': -0.4751296, ' No': -1.0226493, 'No': -4.6399817, 'Yes': -4.807214, ' yes': -8.133784}
{' No': -0.07982757, 'No': -2.5883248, ' B': -7.191638, ' Generally': -7.987176, ' Not': -9.099149}
{' No': -0.11338042, 'No': -2.5906506, ' Yes': -3.5249786, 'Yes': -6.793913, ' Generally': -7.2024593}
{' No': -0.46829036, 'No': -0.99464417, ' Yes': -6.523203, '\n': -6.610576, ' ': -7.6838703}
{' No': -0.28541785, 'No': -1.4210724, ' Yes': -5.4435387, 'Yes': -7.40078, ' A': -7.527028}
{' No': -0.52988136, 'No': -0.9298028, ' B': -4.4791455, '\n': -6.6882463, ' ': -7.1298833}
{' No': -0.6644576, 'No': -0.770531, ' B': -4.6735234, ' Yes': -5.1741753, 'Yes': -6.315525}
{' No': -0.2244336, 'No': -1.6482484, '\n': -5.454139, ' Yes': -5.8666034, ' ': -7.963476}
{' No': -0.08526515, 'No': -2.52954, ' Yes': -7.444273, '\n': -7.6961484, ' no': -7.936984}
{' No': -0.3175319, 'No': -1.3206484, ' B': -5.6455593, '\n': -7.502753, ' ': -8.046675}
{' No': -0.2928992, 'No': -1.4012861, ' B': -5.343478, '\n': -6.936583, ' Yes': -7.7611423}
{' No': -0.027537573, ' Yes': -3.9347048, 'No': -5.212613, ' ': -6.642659, '\n': -8.119529}
{' Yes': -0.13478792, ' No': -2.118131, ' yes': -6.165303, 'Yes': -6.226273, ' ': -6.9111104}
{' No': -0.008785361, 'No': -5.08794, ' B': -6.916591, '\n': -7.6117077, ' ': -7.8164062}
{' Yes': -0.047023725, ' No': -3.4947755, ' B': -5.1392436, 'Yes': -5.221681, ' yes': -5.8782077}
{' No': -0.115986764, 'No': -2.2596178, '\n': -6.323336, ' Yes': -6.738871, ' ': -7.111707}
{' No': -0.116322376, 'No': -2.6316898, ' Yes': -3.4544818, '\n': -5.7416673, 'Yes': -6.563095}
{' No': -0.14770514, 'No': -2.1215572, '\n': -4.927566, ' B': -5.5058994, ' It': -5.8783474}
{' No': -0.8249111, ' Yes': -0.8392753, 'No': -2.505062, 'Yes': -3.5654259, '\n': -4.5519958}
{' No': -0.8308938, ' Yes': -1.5116075, '\n': -1.6304562, 'No': -2.3325303, 'Yes': -3.9697945}
{' No': -0.4690291, '\n': -1.950259, ' Yes': -2.1012866, 'No': -2.5302646, ' ': -4.380244}
{' No': -0.2738357, 'No': -1.9258151, '\n': -2.5187697, ' B': -5.1514063, ' ': -5.5541544}
{' Yes': -0.86856335, '\n': -1.1450547, ' No': -1.8914362, 'Yes': -3.2902455, 'No': -3.3393464}
{' No': -0.049208444, 'No': -3.2427835, ' Yes': -5.0231824, '\n': -7.264211, ' ': -7.7700367}
{' Yes': -0.4496424, ' No': -1.1074622, 'No': -4.4203835, 'Yes': -4.764925, ' A': -5.100624}
{' No': -0.0947407, 'No': -2.4511268, ' B': -6.284374, '\n': -6.7857423, ' ': -7.915276}
{' Yes': -0.27215427, ' No': -1.7020344, 'Yes': -3.8980865, 'No': -4.0937576, ' B': -4.780903}
{' No': -0.3890066, 'No': -1.3077499, '\n': -3.115054, ' ': -5.642481, ' Yes': -6.676513}
{' No': -0.38882896, 'No': -1.551505, '\n': -2.516539, ' Yes': -3.996514, ' ': -5.1427064}
{' No': -0.33425644, 'No': -1.5367423, '\n': -2.8713315, ' ': -5.3019805, ' B': -6.142197}
{' No': -0.50516427, 'No': -1.31417, '\n': -2.683631, ' Yes': -3.2695835, 'Yes': -4.796692}
{' No': -0.08472849, 'No': -2.7406065, ' no': -4.785942, '\n': -5.608808, ' ': -6.227997}
{' No': -0.111769244, 'No': -3.108185, ' Yes': -3.4368956, '\n': -4.725136, ' It': -5.2673326}
{' No': -0.13313818, 'No': -2.2820773, ' B': -4.748941, ' no': -5.2632556, '\n': -5.33416}
{' No': -0.6230507, ' Yes': -1.5122851, 'No': -2.4535904, ' B': -2.6181107, '\n': -3.3973637}
{' No': -0.024037808, ' Yes': -4.624505, 'No': -5.0515757, '\n': -5.395404, ' ': -6.518887}
{' No': -0.6793062, ' Yes': -0.72857875, 'No': -5.916185, '\n': -5.932022, 'Yes': -6.2747974}
{' No': -0.06705599, '\n': -3.3812647, 'No': -3.88161, ' B': -5.2924323, ' ': -5.8401613}
{' Yes': -0.43039006, ' No': -1.2229278, '\n': -3.621073, ' B': -4.6922517, 'No': -5.0552297}
{' No': -0.106103204, 'No': -2.597686, '\n': -3.9475987, ' ': -5.6404448, ' Yes': -6.5339856}
{' No': -0.28912398, ' Yes': -2.0784686, '\n': -2.8097653, 'No': -3.1935525, ' ': -4.5644474}
{' No': -0.25081554, '\n': -2.0925362, 'No': -2.5573933, ' B': -4.369235, ' ': -5.191087}
{' No': -0.9221889, ' Yes': -1.3876181, '\n': -1.4426985, 'No': -3.1038141, ' B': -3.1100245}
{' No': -0.20671383, 'No': -2.75743, ' Yes': -2.8443863, '\n': -3.174903, ' ': -4.646096}
{' No': -0.12423988, 'No': -2.9835176, '\n': -3.1519442, ' Yes': -4.524178, ' ': -4.8081713}
{' No': -0.13943686, '\n': -2.6824646, 'No': -3.1104965, ' B': -4.8279552, ' ': -4.918312}
{' Yes': -0.38736096, '\n': -1.9856124, ' No': -2.1530852, ' B': -3.6908867, 'Yes': -3.9780495}
{' No': -0.024635585, 'No': -4.2093124, '\n': -5.407385, ' ': -5.7737446, ' A': -7.017885}
{' No': -0.06131054, ' Yes': -3.9386792, 'No': -4.291327, ' A': -4.5799184, '\n': -4.684479}
{' No': -0.08740434, '\n': -3.11454, 'No': -3.6293867, ' B': -5.129368, ' ': -5.1875496}
{' Yes': -0.4545565, ' No': -1.6191244, '\n': -2.5050268, ' B': -2.921609, 'Yes': -4.5787096}
{' No': -0.081280395, 'No': -2.9011352, '\n': -4.1163754, ' ': -5.474957, ' A': -6.7986016}
{' No': -0.20670591, ' Yes': -2.305331, 'No': -2.9426923, '\n': -3.9370105, ' ': -5.146506}
