{' Yes': -0.0005849042, 'Yes': -7.5844274, ' yes': -10.218534, ' Spider': -10.872956, ' The': -11.29661}
{' Yes': -0.02764762, ' No': -3.6399617, 'Yes': -7.054884, 'No': -9.773619, ' yes': -10.127531}
{' Yes': -0.0031849376, ' No': -6.479091, 'Yes': -6.533853, ' yes': -9.751962, ' The': -9.8719425}
{' Yes': -0.0027617982, 'Yes': -6.226024, ' No': -8.1672535, '\n': -8.838653, ' The': -8.887024}
{' Yes': -0.0017850974, 'Yes': -6.686792, ' ': -8.371843, ' YES': -8.934558, ' yes': -9.508544}
{' Yes': -0.003503579, 'Yes': -5.9353404, ' No': -7.5387115, '\n': -8.375146, ' ': -10.358017}
{' Yes': -0.001967113, 'Yes': -6.4231057, ' No': -8.334988, ' yes': -9.791222, '\n': -10.84701}
{' No': -0.06985741, ' Yes': -2.743544, 'No': -6.4844265, ' Dis': -6.8845143, 'Yes': -8.792839}
{' Yes': -0.04424692, ' No': -3.1688385, 'Yes': -7.129127, ' The': -8.568763, ' yes': -9.664333}
{' Yes': -0.6061278, ' No': -0.79033196, 'Yes': -7.8785505, 'No': -8.135501, ' yes': -9.649381}
{' Yes': -0.032707963, ' No': -3.5477242, 'Yes': -5.917595, ' The': -8.416361, 'No': -8.941429}
{' Yes': -0.0012406164, 'Yes': -6.909897, ' yes': -9.073148, ' The': -9.961056, ' ': -10.364958}
{' Yes': -0.00097520265, 'Yes': -7.037678, ' No': -10.252673, ' yes': -10.5387335, ' The': -10.873709}
{' Yes': -0.09178205, ' No': -2.4557574, 'Yes': -7.2293224, ' The': -7.366537, ' ': -9.125479}
{' Yes': -0.0018612331, 'Yes': -6.9956183, ' The': -7.4701757, ' yes': -8.725154, ' No': -8.85719}
{' Yes': -0.18728097, ' No': -1.793524, ' The': -6.070322, 'Yes': -6.533201, 'No': -7.9467773}
{' Yes': -0.004461666, 'Yes': -6.131546, ' The': -6.750927, ' No': -6.9375076, ' yes': -9.755903}
{' Yes': -0.19605696, ' No': -1.7485625, ' The': -6.386763, ' Ex': -6.6638145, 'Yes': -7.2652993}
{' No': -0.68865293, ' Yes': -0.70595074, ' The': -6.354609, 'Yes': -7.1111608, 'No': -7.17912}
{' Yes': -0.0007455852, 'Yes': -7.347987, ' yes': -9.92324, ' ': -10.536983, ' No': -11.795134}
{' Yes': -0.0013737123, 'Yes': -6.8561006, ' No': -9.248333, ' The': -9.512283, ' yes': -9.663567}
{' Yes': -0.056726873, ' Planet': -3.0785718, ' No': -4.978682, 'Yes': -6.372858, ' ': -8.915222}
{' Yes': -0.0015958281, 'Yes': -6.525184, ' No': -9.936923, ' yes': -10.052848, ' YES': -11.617419}
{' Yes': -0.0018514985, 'Yes': -6.445342, ' No': -8.577159, ' yes': -10.146239, ' ': -11.247532}
{' Yes': -0.001205051, 'Yes': -6.873013, ' yes': -9.7286005, ' No': -10.060725, ' ': -10.583219}
{' Yes': -0.0018418237, 'Yes': -6.370221, ' yes': -10.133689, ' ': -10.490003, ' The': -10.743508}
{' Yes': -0.0022859029, 'Yes': -6.1344175, ' No': -10.254752, ' yes': -10.7294235, '\n': -11.329112}
{' Yes': -0.006096474, ' No': -5.540215, 'Yes': -6.311854, ' Circus': -8.942511, ' The': -9.151869}
{' Yes': -0.0012489733, 'Yes': -6.9212623, ' No': -8.524276, ' yes': -10.836785, ' The': -11.090539}
{' Yes': -0.0015545781, 'Yes': -6.666494, ' No': -8.4762535, ' yes': -10.208635, ' ': -10.848385}
{' Yes': -0.0029373558, 'Yes': -6.0189643, ' No': -8.1978445, '\n': -9.272943, ' yes': -9.894678}
{' Yes': -0.0052094394, ' No': -5.53479, 'Yes': -6.9873943, ' yes': -9.1418915, ' The': -9.71969}
{' Yes': -0.08186505, ' No': -2.5732152, 'Yes': -6.8704886, ' Finger': -7.5418944, 'No': -8.523288}
{' Yes': -0.0026560107, 'Yes': -6.001973, ' yes': -9.6473, ' The': -9.777423, ' ': -10.416482}
{' Yes': -0.00200247, 'Yes': -6.499885, ' The': -8.310049, ' yes': -8.844207, ' ': -10.172432}
{' Yes': -0.0011044398, 'Yes': -7.1401305, ' No': -8.585012, ' yes': -9.674988, ' ': -10.290437}
{' Yes': -0.0017549442, 'Yes': -6.5248065, ' The': -8.8165245, ' yes': -9.805984, ' ': -10.400077}
{' Yes': -0.082847774, ' No': -2.5839024, 'Yes': -5.78689, 'No': -7.7285175, ' The': -8.146675}
{' Yes': -0.014760321, ' No': -4.37305, 'Yes': -6.3259616, ' ': -9.728768, '\n': -9.839177}
{' Yes': -0.0055759554, 'Yes': -5.7428117, ' Sc': -6.783274, ' yes': -7.50133, ' YES': -8.5610895}
{' Yes': -0.056583054, ' Sc': -3.1214805, 'Yes': -5.3406806, ' No': -5.992791, ' yes': -7.024083}
{' Yes': -0.035350908, ' No': -3.4100344, 'Yes': -6.6021247, '\n': -9.364765, ' The': -9.639515}
{' Yes': -0.354556, ' No': -1.2362412, 'Yes': -5.627152, ' ': -6.151192, 'No': -6.540859}
{' Yes': -0.0014413383, 'Yes': -6.746103, ' No': -9.484366, '\n': -9.808887, ' The': -9.816613}
{' Yes': -0.0033301327, 'Yes': -6.419482, ' No': -6.643565, ' ': -8.964882, ' The': -9.560785}
{' Yes': -0.004895945, ' No': -5.648727, 'Yes': -6.7720714, ' The': -9.407521, ' yes': -9.527638}
{' Yes': -0.0031388376, ' No': -6.3655252, 'Yes': -6.7483206, ' yes': -9.17422, ' The': -9.365186}
{' Yes': -0.0010219193, 'Yes': -7.4312334, ' No': -7.9005733, ' yes': -10.878279, ' ': -11.173476}
{' Yes': -0.0025696538, 'Yes': -6.105047, ' No': -8.518902, ' yes': -10.020048, ' The': -10.300102}
{' Yes': -0.0024417224, 'Yes': -6.435106, ' No': -7.702404, ' yes': -8.804491, ' The': -8.987383}
{' Yes': -0.042039525, ' No': -3.2390707, 'Yes': -6.592233, ' The': -8.372951, 'No': -9.388082}
{' Yes': -0.072825864, ' No': -2.7079635, 'Yes': -6.1681986, ' The': -7.1951513, 'No': -8.557164}
{' Yes': -0.008501825, ' No': -5.1722417, 'Yes': -6.0607, ' The': -8.975304, ' ': -9.083506}
{' Yes': -0.008490344, ' Repeat': -4.881055, 'Yes': -7.6878247, ' No': -9.102975, ' YES': -9.321377}
{' Yes': -0.0005232977, 'Yes': -7.769375, ' yes': -9.748648, ' The': -11.097757, ' YES': -11.622439}
{' Yes': -0.0006539692, 'Yes': -7.498594, ' yes': -10.083267, ' The': -10.56056, ' ': -11.286599}
{' Yes': -0.0011548041, 'Yes': -7.093993, ' yes': -9.07674, ' ': -9.429138, ' No': -9.794459}
{' Yes': -0.00037600833, 'Yes': -8.008015, ' yes': -10.959642, ' YES': -11.717212, ' ': -11.7697115}
{' Yes': -0.0007753527, 'Yes': -7.587525, ' YES': -9.122962, ' Candle': -10.164351, ' ': -10.186891}
{' Yes': -0.0056719817, ' No': -5.409826, 'Yes': -7.336505, ' The': -8.017564, ' yes': -9.13152}
{' Yes': -0.05336115, ' No': -2.9863653, 'Yes': -7.4929953, ' The': -7.6990194, ' ': -8.470546}
{' Yes': -0.0013567003, 'Yes': -6.9184766, ' Bleach': -8.416563, ' yes': -10.011387, ' No': -10.339962}
{' Yes': -0.0014310132, 'Yes': -6.837221, ' No': -8.812408, ' yes': -9.079016, ' The': -10.427629}
{' Yes': -0.0011507472, 'Yes': -6.9200397, ' No': -9.670488, ' yes': -10.136873, ' ': -10.462357}
{' Yes': -0.0006478858, 'Yes': -7.578029, ' yes': -9.65833, ' YES': -10.668881, ' The': -10.844705}
{' Yes': -0.069908984, ' No': -2.709006, 'Yes': -7.252665, 'No': -9.867619, ' The': -9.956636}
{' Yes': -0.032820664, ' No': -3.5419395, 'Yes': -6.395877, ' ': -7.609959, ' The': -7.645196}
{' Yes': -0.001950573, ' No': -6.8807836, 'Yes': -7.2363844, ' The': -9.060196, ' yes': -9.996018}
{' Yes': -0.077702716, ' No': -2.6182775, 'Yes': -6.58853, 'No': -8.749198, ' yes': -8.778248}
{' Yes': -0.0008387032, 'Yes': -7.621484, ' No': -8.226268, ' ': -9.914983, ' yes': -10.924058}
{' Yes': -0.0023712185, ' No': -6.3690815, 'Yes': -7.5823617, ' yes': -9.99853, ' ': -10.000381}
{' Yes': -0.2855241, ' No': -1.4046913, 'Yes': -6.3941507, 'No': -7.219363, ' Hungry': -8.194238}
{' Yes': -0.0009700729, 'Yes': -7.3521795, ' yes': -9.162028, '\n': -9.371177, ' No': -9.714808}
{' No': -0.013382142, ' Yes': -4.457657, 'No': -6.57132, ' ': -8.58503, '\n': -9.802715}
{' No': -0.05742721, ' Yes': -2.9426124, 'No': -6.061564, ' ': -7.567717, 'Yes': -9.270791}
{' Yes': -0.0015258647, 'Yes': -7.223049, ' No': -7.482858, ' yes': -9.283725, ' ': -9.569223}
{' Yes': -0.0031868506, ' No': -5.9530067, 'Yes': -7.7724257, ' yes': -9.760118, ' ': -9.912855}
{' Yes': -0.0008904247, 'Yes': -7.081634, ' yes': -10.654373, ' ': -11.3957615, ' YES': -11.727067}
{' Yes': -0.001416925, 'Yes': -6.701904, ' yes': -9.133372, ' ': -10.166129, ' YES': -10.918635}
{' Yes': -0.008100109, ' No': -5.044086, 'Yes': -6.732154, ' The': -8.475919, ' yes': -9.396426}
{' Yes': -0.007051697, 'Yes': -5.595951, ' Pepper': -7.177616, ' No': -7.3028407, ' yes': -7.4089394}
{' Yes': -0.0007430809, 'Yes': -7.3467245, ' ': -10.186233, ' yes': -10.468987, ' The': -11.3427925}
{' Yes': -0.0010428615, 'Yes': -6.999854, ' yes': -9.885003, ' The': -10.484822, ' ': -10.498982}
{' Yes': -0.0025788583, ' No': -6.6430416, 'Yes': -6.9371433, ' ': -8.382393, ' yes': -10.072161}
{' Yes': -0.0196049, ' No': -4.0430803, 'Yes': -6.429835, ' ': -9.568732, ' The': -9.921182}
{' No': -0.00136434, 'No': -6.8186784, ' Yes': -8.462942, ' ': -9.965169, ' The': -12.61391}
{' No': -0.49532002, ' Yes': -0.94244444, 'No': -7.928622, 'Yes': -8.304636, ' ': -8.383633}
{' Yes': -0.0007807199, 'Yes': -7.269286, ' yes': -10.4940605, ' ': -10.524418, ' No': -11.365271}
{' Yes': -0.0006144238, 'Yes': -7.571903, ' ': -10.322187, ' yes': -10.354095, '\n': -11.022291}
{' Yes': -0.0033926305, ' No': -6.14912, 'Yes': -6.7845182, ' The': -10.135125, ' yes': -10.316443}
{' Yes': -0.0054090414, ' No': -5.6200213, 'Yes': -6.390769, ' yes': -9.995664, ' ': -10.86082}
{' No': -0.121125594, ' Yes': -2.203973, 'No': -5.842311, 'Yes': -8.086156, ' The': -8.60389}
{' Yes': -0.12198648, ' No': -2.1800175, 'Yes': -6.9017158, ' The': -8.366152, ' ': -8.439669}
{' Yes': -0.000697928, 'Yes': -7.4721766, ' yes': -10.0282545, ' No': -10.417617, ' ': -10.519012}
{' Yes': -0.001556907, ' Energy': -7.322245, 'Yes': -7.4427857, ' No': -9.083696, ' ': -9.532145}
{' Yes': -0.011025391, ' No': -4.732817, 'Yes': -6.387686, ' Father': -8.900176, ' ': -9.104165}
{' Yes': -0.0009565282, 'Yes': -7.5058193, ' No': -8.002194, ' yes': -10.037848, ' ': -11.204983}
{' Yes': -0.0010354641, 'Yes': -7.679977, ' No': -7.73718, ' yes': -9.83297, ' The': -10.310532}
{' No': -0.49052387, ' Yes': -0.96088564, ' Pen': -5.8039484, 'No': -7.0746984, 'Yes': -7.839616}
{' Yes': -0.0010244246, 'Yes': -7.011911, ' yes': -10.036559, ' No': -10.166387, ' The': -10.940084}
{' Yes': -0.012253333, ' No': -4.8653874, 'Yes': -5.938879, ' ': -7.0409355, '\n': -7.366909}
{' Yes': -0.0007884759, 'Yes': -7.20957, ' YES': -11.072637, '\n': -11.230055, ' yes': -11.51186}
{' Yes': -0.00033904242, 'Yes': -8.074953, ' yes': -11.063186, ' ': -12.158145, ' YES': -12.441597}
{' Yes': -0.007975131, ' No': -4.985255, 'Yes': -6.987009, ' The': -9.476976, ' yes': -10.09668}
{' Yes': -0.0007974823, 'Yes': -7.3042026, ' yes': -9.59141, ' No': -11.017303, ' ': -11.2580595}
{' Yes': -0.014710298, ' Bl': -4.9454656, ' No': -5.138396, 'Yes': -6.837466, ' ': -7.8972406}
{' Yes': -0.0013359918, 'Yes': -7.1494684, ' No': -8.056087, ' yes': -8.695363, ' YES': -10.319417}
{' Yes': -0.0019883153, ' No': -6.8099318, 'Yes': -7.2604294, ' The': -9.544073, ' yes': -9.647171}
{' Yes': -0.0012255172, 'Yes': -7.186785, ' No': -8.411661, ' ': -8.846236, ' yes': -10.108539}
{' Yes': -0.00094459514, 'Yes': -7.384688, ' No': -8.156084, ' yes': -11.175461, ' ': -11.371618}
{' Yes': -0.0026636005, ' No': -6.2792654, 'Yes': -7.3616605, ' The': -9.435688, ' yes': -9.990613}
{' Yes': -0.000785613, 'Yes': -7.281484, ' ': -10.3447695, ' yes': -10.497245, ' The': -10.79198}
{' Yes': -0.0010444121, 'Yes': -7.02608, ' yes': -9.612161, ' YES': -10.28716, ' No': -10.509877}
{' Yes': -0.0008181213, 'Yes': -7.244085, ' yes': -10.154612, ' ': -10.801155, ' The': -11.136124}
{' Yes': -0.0018768194, 'Yes': -6.730894, ' No': -7.627022, ' ': -9.149183, '\n': -9.836666}
{' Yes': -0.012923391, ' No': -4.4373484, 'Yes': -7.1316557, ' The': -9.266269, ' yes': -9.904103}
{' Yes': -0.15482327, ' No': -1.9647483, 'Yes': -6.4860687, ' The': -7.198312, 'No': -8.032336}
{' Yes': -0.0045942287, ' No': -5.8947363, 'Yes': -6.6104045, ' The': -8.587085, '\n': -8.961282}
{' Yes': -0.013955514, 'Yes': -5.0944304, ' Stars': -5.6099215, ' No': -6.162598, ' St': -7.0639124}
{' Yes': -0.001031884, 'Yes': -7.024486, ' yes': -9.665064, ' The': -10.110788, ' ': -10.752289}
{' Yes': -0.0017721985, ' No': -7.020573, 'Yes': -7.4609957, ' Doctor': -8.850634, ' yes': -9.422471}
{' Yes': -0.0078762425, ' No': -4.944703, 'Yes': -7.320669, ' yes': -11.051554, ' The': -11.112961}
{' Yes': -0.0011044398, 'Yes': -7.077427, ' No': -8.514279, ' yes': -10.249308, ' ': -11.583606}
{' Yes': -0.035456263, ' No': -3.3797495, 'Yes': -7.5968513, ' ': -8.905365, ' The': -10.143213}
{' Yes': -0.3253174, ' No': -1.294838, 'Yes': -6.201828, 'No': -7.0161514, ' The': -8.066034}
{' Yes': -0.010792312, ' No': -4.668335, 'Yes': -6.8936486, ' The': -9.056271, ' yes': -9.247372}
{' Yes': -0.0034807906, ' No': -5.985166, 'Yes': -7.5504336, ' yes': -8.737436, ' The': -9.028636}
{' Yes': -0.0038068236, 'Yes': -5.936887, ' States': -7.693722, ' The': -8.267814, ' yes': -8.7957735}
{' Yes': -0.0030815576, ' No': -6.51343, 'Yes': -6.598197, ' yes': -9.26492, ' The': -9.9295635}
{' Yes': -0.000877659, 'Yes': -7.2203503, ' No': -9.34388, ' ': -10.773603, ' The': -10.990345}
{' Yes': -0.0012608491, 'Yes': -6.7650657, ' No': -10.166382, ' yes': -10.447567, ' ': -10.852938}
{' No': -0.006333861, ' Yes': -6.0202627, ' In': -6.1224318, 'No': -6.839242, ' Ex': -8.742169}
{' Yes': -0.030379556, ' No': -3.5718071, 'Yes': -6.7307653, ' The': -8.36686, ' In': -8.668719}
{' Yes': -0.0029030452, 'Yes': -6.302095, ' No': -8.144507, ' Loving': -8.17985, ' ': -8.572392}
{' Yes': -0.0047523845, ' No': -5.754325, 'Yes': -7.058902, ' The': -8.123206, ' ': -8.522016}
{' Yes': -0.0574815, ' No': -2.9022481, 'Yes': -7.4050207, ' ': -8.5466175, ' The': -9.918075}
{' Yes': -0.040177826, ' No': -3.2850509, 'Yes': -6.820083, ' The': -7.9784136, ' ': -8.2969055}
{' Yes': -0.001357774, 'Yes': -6.894451, ' ': -8.402288, ' No': -10.16633, ' yes': -10.388709}
{' Yes': -0.0010871368, 'Yes': -6.8888874, ' yes': -10.352813, ' ': -11.3624115, ' YES': -11.372752}
{' Yes': -0.25761998, ' No': -1.4866714, 'Yes': -7.5213966, 'No': -8.4448185, ' ': -8.767723}
{' Yes': -0.0016671148, ' No': -6.914864, 'Yes': -7.58095, ' ': -9.474266, ' yes': -10.0584955}
{' Yes': -0.049735334, ' No': -3.0549974, ' The': -7.2495565, 'Yes': -7.484317, ' ': -10.223094}
{' Yes': -0.33256865, ' No': -1.2748426, ' The': -6.269709, 'Yes': -7.0278845, 'No': -8.041139}
{' Yes': -0.009385583, ' She': -5.3135715, 'Yes': -5.980029, ' No': -6.475139, ' ': -9.380326}
{' Yes': -0.0016081281, 'Yes': -6.7711215, ' No': -8.080651, ' The': -9.660602, ' yes': -9.830858}
{' Yes': -0.0013489996, 'Yes': -6.8217144, ' No': -8.650673, ' yes': -10.084753, ' ': -10.761061}
{' Yes': -0.001211018, 'Yes': -6.9454937, ' No': -9.077974, ' yes': -9.764899, ' The': -10.171781}
{' Yes': -0.036030818, ' No': -3.3643217, 'Yes': -7.260327, 'No': -10.3546095, ' ': -10.602968}
{' Yes': -0.0010370156, 'Yes': -7.307709, ' No': -8.081855, ' yes': -10.544934, ' ': -11.492127}
{' Yes': -0.038353365, ' No': -3.3090765, 'Yes': -7.5087705, ' The': -8.095797, ' ': -9.031754}
{' Yes': -0.06279256, ' No': -2.8421218, ' Minute': -6.5382833, 'Yes': -7.5085874, ' ': -7.8403707}
{' Yes': -0.0012521946, 'Yes': -7.0930543, ' No': -7.869649, ' yes': -11.149228, ' ': -11.229747}
{' Yes': -0.0011693042, 'Yes': -7.086601, ' No': -8.385729, ' The': -10.499884, ' ': -10.5519495}
{' Yes': -0.0018994513, ' No': -7.337943, 'Yes': -7.5443416, ' yes': -7.9692817, ' The': -8.140172}
{' Yes': -0.0010729932, 'Yes': -7.282468, ' No': -9.084397, ' The': -9.221, ' yes': -9.345054}
{' Yes': -0.0054668738, ' No': -5.4443173, 'Yes': -7.1948037, ' The': -8.672592, ' ': -9.306153}
{' No': -0.3862058, ' Yes': -1.1582853, 'No': -6.0844016, ' Flight': -6.9722075, ' Fr': -6.975363}
{' No': -0.24643658, ' Yes': -1.5253139, 'No': -7.8607035, ' The': -8.444286, 'Yes': -8.831525}
{' Yes': -0.18725948, ' No': -1.8178461, ' Length': -4.9657245, 'Yes': -7.2391944, ' The': -8.462264}
{' Yes': -0.00041888215, 'Yes': -7.9367776, ' yes': -10.368789, ' The': -11.347542, ' ': -11.607603}
{' Yes': -0.00082695123, 'Yes': -7.239983, ' yes': -9.818788, ' The': -10.650395, ' ': -10.963459}
{' Yes': -0.0015732637, 'Yes': -6.7035003, ' France': -8.582757, ' yes': -9.521579, ' ': -10.137664}
{' Yes': -0.00031286344, 'Yes': -8.217897, ' yes': -10.587677, ' ': -11.682352, ' YES': -12.62577}
{' Yes': -0.00060846336, 'Yes': -7.9922175, ' No': -8.73194, ' yes': -9.6588, ' ': -10.728262}
{' Yes': -0.001155999, 'Yes': -7.004438, ' yes': -9.504086, ' ': -9.584628, ' No': -9.669469}
{' Yes': -0.0025278258, ' Empire': -6.7404785, 'Yes': -7.5476003, ' No': -7.91433, ' The': -8.141272}
{' Yes': -0.019444503, ' Empire': -4.0223093, 'Yes': -6.839831, ' ': -9.29132, ' No': -10.027923}
{' Yes': -0.0027032848, ' No': -6.3728623, 'Yes': -7.206421, ' The': -9.025097, ' ': -9.715406}
{' No': -0.004657943, ' Yes': -5.8816624, 'No': -6.358528, ' ': -9.547329, '\n': -10.08654}
{' Yes': -0.0020227768, ' No': -6.7236695, 'Yes': -7.2975817, ' ': -9.841338, ' Hunger': -10.1210375}
{' Yes': -0.004221427, ' No': -5.6503987, 'Yes': -7.5412126, ' yes': -10.037413, ' The': -10.146618}
{' Yes': -0.0006543287, 'Yes': -7.522716, ' ': -9.996348, ' yes': -10.214972, ' The': -11.426221}
{' Yes': -0.23842615, ' No': -1.8755816, '\n': -2.91839, ' ': -6.2076735, 'Yes': -6.7510605}
{' Yes': -0.00083894253, 'Yes': -7.383027, ' yes': -9.316334, ' No': -9.509163, ' The': -10.894653}
{' Yes': -0.0023238393, ' No': -6.516108, 'Yes': -7.3248734, ' yes': -9.098477, ' ': -10.666647}
{' Yes': -0.5713508, ' No': -0.8343723, 'Yes': -7.8379083, 'No': -7.936613, ' The': -8.629183}
{' Yes': -0.0018691751, ' No': -6.974487, 'Yes': -7.246976, ' ': -9.574443, ' yes': -9.582898}
{' Yes': -0.0013284085, 'Yes': -7.1172104, ' No': -8.659164, ' The': -8.815183, ' yes': -9.160828}
{' Yes': -0.00071689725, 'Yes': -7.499578, ' No': -9.715434, ' The': -10.149339, ' yes': -10.256537}
{' Yes': -0.0053965766, ' No': -5.8415775, 'Yes': -6.454054, ' The': -7.760964, ' ': -8.392792}
{' Yes': -0.002074442, 'Yes': -6.603326, ' No': -8.128472, ' ': -8.658925, ' YES': -9.446801}
{' Yes': -0.028085161, ' No': -3.6400104, 'Yes': -7.1506147, ' Behind': -8.070483, ' ': -8.957149}
{' Yes': -0.211037, ' No': -1.7270626, '\n': -5.810159, 'Yes': -6.0099125, ' ': -6.0504665}
{' Yes': -0.010494107, ' No': -4.669786, 'Yes': -7.3406086, ' ': -8.811083, ' The': -9.056896}
{' Yes': -0.014621023, ' No': -4.305068, 'Yes': -7.249503, ' The': -9.126721, ' yes': -9.359473}
{' No': -0.3172501, ' Yes': -1.7086512, ' T': -2.5283592, 'No': -5.8167906, ' The': -6.304889}
{' Yes': -0.014723425, ' No': -4.346745, 'Yes': -6.7095895, ' yes': -8.919649, ' The': -9.049807}
{' Yes': -0.0015216859, 'Yes': -7.26967, ' No': -7.329465, ' yes': -9.473445, ' The': -10.166264}
{' Yes': -0.011965254, ' No': -4.559946, 'Yes': -6.859783, ' ': -8.765783, ' The': -9.380917}
{' Yes': -0.034876786, ' No': -3.435006, 'Yes': -6.3541627, ' The': -9.017694, ' yes': -9.407593}
{' Yes': -0.06560271, ' No': -2.7931798, 'Yes': -6.2081695, 'No': -9.533874, ' ': -9.606917}
{' Yes': -0.007924606, ' No': -5.5385337, 'Yes': -6.342477, ' The': -6.608415, ' Sne': -7.675761}
{' Yes': -0.017375676, ' No': -4.3815584, 'Yes': -6.1011343, ' Sne': -6.3978515, ' yes': -8.265301}
{' Yes': -0.56928015, ' No': -0.84546036, 'Yes': -6.356416, 'No': -6.458305, ' ': -7.214851}
{' Yes': -0.0009827194, 'Yes': -7.050095, ' yes': -9.898165, ' ': -10.655176, ' YES': -10.961729}
{' Yes': -0.00062969286, 'Yes': -7.8953643, ' No': -8.989513, ' ': -9.650427, ' Purple': -10.137131}
{' Yes': -0.00047112093, 'Yes': -8.002192, ' No': -9.839364, ' ': -10.22308, ' yes': -10.811013}
{' Yes': -0.0009494883, 'Yes': -7.172992, ' yes': -9.332995, ' ': -10.245965, ' The': -10.247567}
{' Yes': -0.0012797083, 'Yes': -6.925845, ' No': -8.801784, ' yes': -9.2888565, ' The': -10.719638}
{' Yes': -0.0019460937, 'Yes': -7.0923066, ' The': -7.6293454, ' yes': -7.88423, ' No': -9.005965}
{' Yes': -0.0016747572, 'Yes': -6.85865, ' No': -8.161216, ' yes': -8.295094, ' YES': -10.217783}
{' Yes': -0.12326103, ' No': -2.1637673, 'Yes': -7.2727127, 'No': -8.443155, ' ': -9.282663}
{' Yes': -0.0012387063, 'Yes': -7.0960426, ' No': -8.082764, ' yes': -10.030302, ' ': -10.13401}
{' Yes': -0.0010726355, 'Yes': -7.1647477, ' yes': -9.029615, ' No': -9.347427, ' ': -9.826599}
{' Yes': -0.00085373747, 'Yes': -7.401263, ' ': -9.144002, ' YES': -9.65179, ' yes': -10.07274}
{' Yes': -0.013388001, ' No': -4.512741, 'Yes': -6.2497025, '\n': -8.806973, ' ': -9.286033}
{' Yes': -0.0014631263, 'Yes': -6.6233845, ' No': -9.6085415, ' yes': -10.208136, ' ': -11.142804}
{' No': -0.20983759, ' Yes': -1.6822535, 'No': -6.8349996, ' Dis': -6.968313, ' The': -7.9310117}
{' Yes': -0.012110397, ' No': -4.4720254, 'Yes': -7.763201, ' yes': -9.569549, ' ': -9.886748}
{' Yes': -0.5193155, ' No': -0.9050538, 'Yes': -8.349311, 'No': -9.065679, ' ': -9.450269}
{' Yes': -0.008634205, ' No': -5.0573535, 'Yes': -6.385331, ' ': -8.701535, '\n': -8.966056}
{' Yes': -0.0009471023, 'Yes': -7.3070073, ' yes': -9.093274, ' No': -9.505679, ' The': -10.207042}
{' Yes': -0.0010795591, 'Yes': -7.186258, ' Hammer': -8.603937, ' ': -9.596952, ' yes': -10.49832}
{' Yes': -0.0043701855, ' No': -5.597464, 'Yes': -7.7838483, ' The': -9.038986, ' yes': -10.020066}
{' Yes': -0.0012575676, 'Yes': -7.4890556, ' No': -8.127342, ' The': -8.62752, ' yes': -8.780455}
{' Yes': -0.069764666, ' No': -2.7298958, ' The': -6.819787, 'Yes': -7.104461, 'No': -9.442468}
{' Yes': -0.007844763, 'Yes': -5.962116, ' The': -6.1242156, ' No': -6.371927, ' Amount': -7.137735}
{' No': -0.34205464, ' Yes': -1.2463973, ' The': -6.691197, 'No': -7.888338, 'Yes': -8.597229}
{' Yes': -0.08173206, ' No': -2.5692103, 'Yes': -7.1310196, ' The': -7.478758, ' ': -8.632534}
{' Yes': -0.00048537247, 'Yes': -7.8442655, ' ': -10.00049, ' yes': -10.545781, ' No': -11.309062}
{' Yes': -0.0013002977, 'Yes': -6.8656034, ' ': -9.638388, ' No': -9.7682905, ' yes': -9.971532}
{' Yes': -0.040871207, ' Planet': -3.601702, ' No': -4.4942727, 'Yes': -6.753366, ' ': -8.796995}
{' Yes': -0.0015300417, 'Yes': -6.604231, ' No': -9.756168, ' yes': -10.093201, ' YES': -10.687267}
{' Yes': -0.0009804507, 'Yes': -6.99395, ' No': -10.553059, ' yes': -10.81949, ' ': -11.838461}
{' Yes': -0.000672576, 'Yes': -7.468665, ' yes': -10.101283, ' No': -10.788558, ' ': -10.929804}
{' Yes': -0.0014906438, 'Yes': -6.6168833, ' ': -10.063367, ' yes': -10.298186, ' The': -10.73805}
{' Yes': -0.0035869647, 'Yes': -6.0138464, ' No': -6.9967504, ' Ass': -9.553819, ' YES': -10.36002}
{' Yes': -0.0051271203, ' No': -5.5878525, 'Yes': -6.9349785, ' Circus': -8.108725, ' The': -10.485561}
{' Yes': -0.0005898546, 'Yes': -7.514517, ' No': -11.088982, ' ': -11.393415, ' yes': -11.493984}
{' Yes': -0.0006287392, 'Yes': -7.7124224, ' No': -8.765601, ' yes': -11.356106, ' ': -11.62733}
{' Yes': -0.0012384688, 'Yes': -6.8236356, ' No': -9.319128, ' yes': -10.406647, '\n': -11.378814}
{' Yes': -0.00090235675, ' No': -7.832707, 'Yes': -7.95364, ' yes': -9.871489, ' The': -10.207567}
{' Yes': -0.03477754, ' No': -3.4347754, 'Yes': -7.0768247, ' Finger': -7.6016273, ' ': -8.55937}
{' Yes': -0.0013206523, 'Yes': -6.718231, ' yes': -9.976603, ' The': -10.451953, ' ': -11.045898}
{' Yes': -0.0013553861, 'Yes': -6.850627, ' The': -9.283244, ' ': -9.420596, ' yes': -9.56603}
{' Yes': -0.00039652258, 'Yes': -7.94637, ' yes': -10.854497, ' No': -11.241186, ' ': -12.140024}
{' Yes': -0.001361354, 'Yes': -7.056232, ' The': -7.912593, ' yes': -9.729194, ' ': -10.3685255}
{' Yes': -0.010224901, ' No': -4.822755, 'Yes': -6.2679915, ' The': -9.264943, ' ': -10.102017}
