{' Up': -0.1780345, ' up': -1.8195369, ' UP': -7.5168424, 'Up': -8.332804, 'up': -9.8074875}
{' Up': -0.031637393, ' up': -3.5352974, 'Up': -7.167605, ' UP': -7.31649, ' Down': -8.224173}
{' Down': -0.046196356, ' down': -3.1812136, 'Down': -5.953909, 'down': -7.194212, ' DOWN': -9.419794}
{' Up': -0.009104102, ' up': -4.864197, 'Up': -7.14641, ' UP': -8.083517, 'up': -9.013588}
{' Down': -0.06449362, ' down': -2.826897, 'Down': -6.232727, 'down': -6.8943844, ' ': -9.275603}
{' Up': -0.24883968, ' up': -1.669307, 'Up': -3.757089, 'up': -5.3403563, ' UP': -6.70756}
{' Down': -0.29291806, ' down': -1.6128412, 'Down': -3.1978498, 'down': -4.363972, ' ': -7.77081}
{' Up': -0.10989313, ' up': -2.6022274, 'Up': -3.7132695, 'up': -5.491603, ' UP': -7.048342}
{' Down': -0.39569268, ' down': -1.4026887, 'Down': -2.9048707, 'down': -3.6793056, ' ': -7.8325534}
{' Up': -0.40923116, ' Down': -1.4713877, ' up': -2.775213, ' down': -3.1781251, '\n': -6.9843473}
{' Down': -0.34344202, ' down': -1.2460624, ' Up': -6.6504164, 'Down': -7.5021462, 'down': -7.722161}
{' Down': -0.44298047, ' down': -1.0959766, ' Up': -4.039648, ' up': -5.5968843, 'Down': -7.138434}
{' Down': -0.2272244, ' down': -1.7643069, ' Up': -3.6908853, ' up': -5.338739, 'Down': -6.9993873}
{' Down': -0.40618223, ' Up': -1.1747141, ' down': -4.099128, ' up': -5.2697515, 'Down': -6.392831}
{' Down': -0.13789189, ' Up': -2.4672966, ' down': -3.2605135, ' up': -6.1219325, 'Down': -6.1366653}
{' Down': -0.06984072, ' down': -2.7970574, ' Up': -5.8638926, 'Down': -6.040416, 'down': -7.319869}
{' Up': -0.17353229, ' Down': -1.9787385, ' up': -4.2387366, ' down': -5.485517, 'Up': -7.041826}
{' Up': -0.34687775, ' Down': -1.311977, ' up': -4.471132, ' down': -4.685077, 'Down': -7.1152263}
{' Down': -0.10702295, ' down': -2.855016, ' Up': -3.2641385, 'Down': -5.89194, ' up': -6.6867533}
{' Down': -0.067519166, ' down': -2.8350859, 'Down': -5.6219068, ' Up': -6.5320597, 'down': -7.0755124}
{' Up': -0.07357034, ' Down': -3.0229416, ' up': -4.0548306, ' down': -6.1851726, 'Up': -6.801573}
{' Up': -0.42913178, ' Down': -1.4644481, ' up': -2.7209713, ' down': -3.069419, '\n': -6.505698}
{' Down': -0.34085938, ' down': -1.2665911, 'Down': -5.8769236, ' Up': -6.2645974, 'down': -6.838509}
{' Down': -0.67041415, ' down': -1.3647139, ' Up': -1.6950016, ' up': -3.1594393, 'Down': -5.990366}
{' Down': -0.2415175, ' down': -1.6512426, ' Up': -4.241605, ' up': -5.795684, 'Down': -5.827729}
{' Down': -0.23283021, ' Up': -1.874384, ' down': -3.1482773, ' up': -5.2909794, 'Down': -5.606882}
{' Down': -0.10342694, ' down': -2.69164, ' Up': -3.7468824, 'Down': -5.473153, ' up': -6.9883065}
{' Down': -0.09462164, ' down': -2.5068665, 'Down': -5.0702777, 'down': -6.662315, ' Up': -7.687124}
{' Up': -0.051739857, ' Down': -3.7229853, ' up': -3.8708713, 'Up': -6.1822286, ' down': -6.6973386}
{' Down': -0.39529327, ' Up': -1.2402143, ' down': -3.670123, ' up': -4.972501, 'Down': -6.4854517}
{' Down': -0.11934124, ' down': -2.780697, ' Up': -3.1096177, 'Down': -6.246929, ' up': -6.2951465}
{' Down': -0.11813879, ' down': -2.3694606, ' Up': -4.3722816, 'Down': -6.143716, 'down': -6.6133947}
{' Down': -0.48735473, ' Up': -1.0654532, ' down': -3.6417506, ' up': -4.5709686, 'Down': -6.457302}
{' Down': -0.68875504, ' Up': -1.1169186, ' down': -2.3921566, ' up': -3.2625597, 'Down': -3.7756462}
{' Down': -0.41309837, ' down': -1.4751426, ' Up': -2.9237201, 'Down': -3.622674, 'down': -4.301627}
{' Down': -0.57786244, ' down': -1.2691942, ' Up': -2.5514572, 'Down': -3.5810819, ' up': -3.7236295}
{' Down': -0.58216846, ' down': -1.7177981, ' Up': -1.7556914, ' up': -3.1010816, 'Down': -3.6854134}
{' Up': -0.087003395, ' up': -2.491266, ' UP': -8.14881, 'Up': -8.825189, 'up': -10.219268}
{' Down': -0.16897494, ' down': -1.865941, 'Down': -7.860797, 'down': -8.45501, '\n': -9.736606}
{' Up': -0.0694182, ' up': -2.711767, ' UP': -8.186483, 'Up': -8.438919, '\n': -9.470034}
{' Down': -0.38257822, ' down': -1.1492103, 'down': -7.6445637, 'Down': -7.8645344, '\n': -9.507758}
{' Up': -0.038518436, ' up': -3.298877, 'Up': -7.7253103, ' UP': -8.055676, 'up': -9.584329}
{' Down': -0.05538408, ' down': -2.9488225, 'Down': -6.81695, 'down': -8.073851, ' DOWN': -10.504647}
{' Up': -0.015100095, ' up': -4.254108, 'Up': -7.6163898, ' UP': -8.644058, 'up': -9.778861}
{' Down': -0.21480796, ' down': -1.6548542, 'down': -6.8705506, 'Down': -6.888981, ' ': -9.78241}
{' Up': -0.047288716, ' up': -3.096813, 'Up': -7.538572, ' UP': -8.0618925, 'up': -9.574781}
{' Down': -0.09038246, ' down': -2.4767883, 'Down': -6.3549905, 'down': -7.5654306, ' ': -9.850662}
{' Up': -0.020379294, ' up': -3.9599771, 'Up': -7.2726126, ' UP': -8.343574, 'up': -9.596719}
{' Down': -0.13961291, ' down': -2.0611048, 'Down': -6.2374797, 'down': -7.072528, ' ': -9.362701}
{' Up': -0.36524147, ' up': -1.1894373, 'Up': -7.4248075, ' UP': -7.6128097, 'up': -8.2273245}
{' Down': -0.44587424, ' down': -1.0300074, 'Down': -6.630147, 'down': -6.8186536, '\n': -8.672048}
{' Up': -0.18872318, ' up': -1.771317, 'Up': -7.1048107, ' UP': -7.698612, 'up': -8.230412}
{' Down': -0.54763615, ' down': -0.87143916, 'down': -6.511604, 'Down': -6.5615273, '\n': -8.464109}
{' Up': -0.10498548, ' up': -2.3313668, 'Up': -6.6423535, ' UP': -7.235314, 'up': -8.430684}
{' Down': -0.14721498, ' down': -2.0186749, 'Down': -5.8254433, 'down': -7.0773063, ' DOWN': -9.319686}
{' Up': -0.03587326, ' up': -3.4091337, 'Up': -6.5110645, ' UP': -8.056131, 'up': -8.760651}
{' Down': -0.21536204, ' down': -1.669616, 'Down': -5.6109743, 'down': -6.5545797, ' ': -8.848575}
{' Up': -0.035060853, ' up': -3.3998947, ' UP': -7.573385, 'Up': -8.02753, '\n': -9.667911}
{' Down': -0.06320627, ' down': -2.8190043, 'Down': -6.9487433, 'down': -7.855903, '\n': -9.231112}
{' Up': -0.019616632, ' up': -4.0085654, ' UP': -7.503621, 'Up': -7.695449, '\n': -9.148536}
{' Down': -0.1405671, ' down': -2.0484228, 'Down': -6.952319, 'down': -6.9767632, ' ': -9.084918}
{' Up': -0.4705584, ' up': -1.0310233, 'Up': -4.457756, 'up': -5.217617, ' UP': -6.88421}
{' Down': -0.60883296, ' down': -0.88204926, 'Down': -3.8105314, 'down': -3.9478507, ' ': -8.076906}
{' Up': -0.28655693, ' up': -1.4572284, 'Up': -4.5421624, 'up': -5.514607, ' UP': -6.787993}
{' down': -0.5511965, ' Down': -0.98006773, 'down': -3.5422356, 'Down': -3.9667504, ' ': -7.9662046}
{' Up': -0.10285792, ' up': -2.504187, ' Down': -4.484278, ' down': -5.615156, '\n': -7.8774323}
{' Down': -0.32982022, ' down': -1.274347, 'Down': -7.3643403, 'down': -7.6490993, '\n': -9.084693}
{' Up': -0.21831208, ' up': -1.7575177, ' Down': -4.2820883, ' down': -4.811486, '\n': -7.6188455}
{' Down': -0.31701005, ' down': -1.308345, 'Down': -7.2777867, 'down': -7.561776, '\n': -9.28335}
{' Up': -0.023714399, ' up': -3.9644854, ' Down': -5.7750034, 'Up': -7.2620106, ' down': -8.438259}
{' Down': -0.13480157, ' down': -2.0918539, 'Down': -6.3250494, 'down': -7.2319427, ' ': -9.533906}
{' Up': -0.07267645, ' up': -2.6796043, 'Up': -7.3961325, ' UP': -7.932099, ' Down': -8.346141}
{' Down': -0.09200074, ' down': -2.4610841, 'Down': -6.3070974, 'down': -7.4862585, ' DOWN': -9.578012}
{' Up': -0.027763925, ' up': -3.8714604, ' Down': -5.4629903, 'Up': -6.951481, ' down': -7.7369213}
{' Down': -0.1622832, ' down': -1.9276906, 'Down': -5.842129, 'down': -6.8285565, ' ': -8.703476}
{' Up': -0.10283539, ' up': -2.3496463, 'Up': -7.1744194, ' UP': -7.4408865, ' Down': -7.8345895}
{' Down': -0.1346025, ' down': -2.1032572, 'Down': -5.9648485, 'down': -6.9076753, ' DOWN': -9.097189}
{' Up': -0.23197107, ' up': -2.0163357, ' Down': -3.170701, ' down': -3.6600564, '\n': -6.1251082}
{' Down': -0.37383392, ' down': -1.1832211, 'Down': -5.6804686, 'down': -6.323037, ' ': -8.760525}
{' Up': -0.33076403, ' up': -1.3292439, ' Down': -4.9534674, ' down': -5.0590696, 'Up': -6.7804785}
{' Down': -0.40124303, ' down': -1.1240042, 'Down': -5.8075137, 'down': -6.1904635, '\n': -8.527158}
{' Up': -0.09045012, ' up': -2.9566858, ' Down': -3.7066817, ' down': -5.202928, 'Up': -6.569288}
{' Down': -0.2522082, ' down': -1.5267367, 'Down': -5.574645, 'down': -6.5683546, ' ': -8.262773}
{' Up': -0.26086643, ' up': -2.0384333, ' Down': -2.8028355, ' down': -3.4840393, ' ': -5.9321647}
{' Down': -0.21291408, ' down': -1.6882539, 'Down': -5.4153867, 'down': -6.2697244, ' DOWN': -8.315986}
{' Up': -0.023585869, ' up': -4.3660884, ' Down': -4.7641597, 'Up': -7.451558, ' ': -7.6719623}
{' Down': -0.08875553, ' down': -2.5044792, 'Down': -6.221368, 'down': -7.1867285, ' ': -8.421574}
{' Up': -0.10640216, ' up': -2.8559136, ' Down': -3.3653476, ' down': -5.1489377, ' ': -7.04958}
{' Down': -0.055086896, ' down': -2.9774594, 'Down': -6.390694, 'down': -7.446387, ' ': -8.913274}
{' Up': -0.1878369, ' up': -1.9983094, 'Up': -3.9430668, 'up': -4.978509, ' ': -5.597116}
{' Down': -0.6311207, ' down': -0.95798874, 'Down': -3.0141332, 'down': -3.3877048, ' ': -6.8982673}
{' Up': -0.51158553, ' up': -1.0626606, ' down': -4.214562, 'Up': -4.3259263, ' Down': -4.530487}
{' Down': -0.7265692, ' down': -0.7940207, 'down': -3.3929908, 'Down': -3.533309, ' ': -6.9243755}
{' Down': -0.33193004, ' down': -1.6762903, ' Up': -2.4788854, ' up': -4.641926, 'Down': -7.150766}
{' Down': -0.1767631, ' down': -2.274261, ' Up': -2.9444478, ' up': -5.3393226, 'Down': -6.987251}
{' Up': -0.45717853, ' Down': -1.4603447, ' up': -2.4333558, ' down': -3.0895445, 'Down': -8.062049}
{' Down': -0.35028076, ' down': -1.2477512, ' Up': -5.195009, ' up': -7.0022774, 'Down': -7.1208415}
{' Down': -0.09417431, ' down': -2.6244383, ' Up': -4.3174253, 'Down': -5.9956117, ' up': -7.3325253}
{' Up': -0.4085489, ' Down': -1.1841513, ' up': -4.1574464, ' down': -4.468489, 'Down': -6.992931}
{' Down': -0.12312236, ' Up': -2.84871, ' down': -2.9840841, ' up': -5.7171774, 'Down': -5.819819}
{' Down': -0.26956847, ' Up': -1.9973364, ' down': -2.429185, ' up': -4.798295, 'Down': -5.9792943}
{' Down': -0.05379223, ' down': -3.0575037, 'Down': -5.9154577, ' Up': -6.2511396, 'down': -7.664244}
{' Up': -0.4977722, ' Down': -0.993557, ' down': -4.5998306, ' up': -4.731888, 'Down': -6.597162}
{' Down': -0.055508632, ' down': -3.4184368, ' Up': -4.1205053, 'Down': -5.656358, ' up': -7.3901396}
{' Down': -0.37161574, ' Up': -1.4297459, ' down': -2.8426523, ' up': -4.8104258, 'Down': -5.891748}
{' Down': -0.28306505, ' down': -1.7393752, ' Up': -2.832078, ' up': -4.976125, 'Down': -5.7120805}
{' Down': -0.52371657, ' Up': -1.2298247, ' down': -2.4996707, ' up': -3.5518215, 'Down': -5.9919496}
{' Down': -0.32595655, ' down': -1.9677451, ' Up': -2.1898081, ' up': -3.9030132, 'Down': -5.5676847}
{' Down': -0.69407254, ' Up': -1.3698233, ' down': -1.6283759, ' up': -3.1311376, 'Down': -5.83977}
{' Down': -0.096124895, ' down': -2.4715464, 'Down': -5.4994473, ' Up': -6.5524235, 'down': -6.897743}
{' Down': -0.48131657, ' Up': -1.0654135, ' down': -3.7514064, ' up': -4.914958, 'Down': -5.6300745}
{' Down': -0.21943186, ' Up': -1.9831895, ' down': -3.1104975, ' up': -4.9466786, 'Down': -5.236438}
{' Down': -0.14059791, ' down': -2.180221, ' Up': -4.669488, 'Down': -5.1639953, 'down': -6.4259224}
{' Down': -0.16540052, ' Up': -2.100228, ' down': -3.6905277, ' up': -6.1003456, 'Down': -6.36845}
{' Down': -0.32387942, ' Up': -1.346779, ' down': -4.5315723, ' up': -5.8168464, 'Down': -6.393741}
{' Down': -0.15455562, ' Up': -2.1425812, ' down': -3.9428113, ' up': -5.745646, 'Down': -6.172477}
{' Down': -0.6498367, ' Up': -0.8254026, ' down': -3.6769097, ' up': -4.4803667, 'Down': -6.74344}
{' Down': -0.21679153, ' down': -2.2412932, 'Down': -3.0355093, ' Up': -3.6346114, 'down': -4.8344483}
{' Down': -0.20851386, ' down': -2.6696324, ' Up': -2.952929, 'Down': -2.9831967, 'down': -4.917109}
{' Down': -0.28687966, ' down': -2.1756086, ' Up': -2.8054936, 'Down': -2.985511, ' up': -4.555131}
{' Down': -0.36955816, ' down': -1.826452, ' Up': -2.7123697, 'Down': -2.962732, 'down': -4.392381}
{' Down': -0.26562354, ' down': -1.4592652, 'Down': -7.6591983, 'down': -8.179235, '\n': -9.772974}
{' Up': -0.20457593, ' up': -1.6911461, ' UP': -8.003997, 'Up': -8.535281, 'up': -9.600469}
{' Down': -0.38568532, ' down': -1.1429828, 'Down': -7.4927635, 'down': -7.7470074, '\n': -9.544615}
{' Up': -0.14623567, ' up': -2.000581, ' UP': -7.925553, 'Up': -8.304562, 'up': -9.515771}
{' Down': -0.08633909, ' down': -2.5153475, 'Down': -6.5851407, 'down': -7.83561, ' ': -10.076987}
{' Up': -0.06735121, ' up': -2.7463615, 'Up': -7.6649575, ' UP': -7.983256, 'up': -9.373557}
{' Down': -0.18217045, ' down': -1.8104948, 'Down': -6.3211894, 'down': -6.8937583, ' ': -9.415298}
{' Up': -0.034113783, ' up': -3.4274127, 'Up': -7.3583436, ' UP': -8.385422, 'up': -9.179261}
{' Down': -0.09006499, ' down': -2.4796178, 'Down': -6.3473225, 'down': -7.656549, ' ': -9.759499}
{' Up': -0.0880801, ' up': -2.486916, 'Up': -7.5588784, ' UP': -7.766022, 'up': -9.320966}
{' Down': -0.1468382, ' down': -2.0205526, 'Down': -5.8416696, 'down': -7.0883336, ' ': -9.043925}
{' Up': -0.03323404, ' up': -3.4637816, 'Up': -7.0963283, ' UP': -8.146109, 'up': -9.176725}
{' Down': -0.42890075, ' down': -1.0640249, 'Down': -6.235722, 'down': -6.5915456, '\n': -8.61618}
{' Up': -0.39605752, ' up': -1.1239132, 'Up': -7.2064953, ' UP': -7.418682, 'up': -8.083575}
{' Down': -0.4344844, ' down': -1.0580424, 'Down': -5.878831, 'down': -6.169082, '\n': -8.82216}
{' Up': -0.23917909, ' up': -1.5612082, 'Up': -6.672887, 'up': -7.5496397, ' UP': -7.592597}
{' Down': -0.12252963, ' down': -2.1927197, 'Down': -5.8657274, 'down': -7.330037, ' ': -9.273412}
{' Up': -0.09034188, ' up': -2.4767134, 'Up': -6.9836774, ' UP': -7.258126, ' ': -8.294565}
{' Down': -0.1788615, ' down': -1.8476083, 'Down': -5.388126, 'down': -6.6614265, ' DOWN': -9.008341}
{' Up': -0.071766056, ' up': -2.7140865, 'Up': -6.6079254, ' Down': -7.5979724, ' UP': -7.875113}
{' Down': -0.049205244, ' down': -3.0691006, 'Down': -6.8810797, 'down': -7.9739313, ' ': -9.627092}
{' Up': -0.028728792, ' up': -3.6027222, ' UP': -7.587935, 'Up': -7.8821964, ' ': -9.552743}
{' Down': -0.08537791, ' down': -2.5335264, 'Down': -6.560601, 'down': -7.188416, ' ': -8.921058}
{' Up': -0.022250948, ' up': -3.8796096, 'Up': -7.473872, ' UP': -7.7621107, ' ': -8.976207}
{' Down': -0.35909235, ' down': -1.3482451, 'Down': -3.5622592, 'down': -4.3704295, ' ': -7.4838376}
{' Up': -0.33570006, ' up': -1.3171186, 'Up': -4.5057344, 'up': -5.603253, ' UP': -6.60776}
{' Down': -0.33791792, ' down': -1.434218, 'Down': -3.4529614, 'down': -4.1483636, ' ': -7.310736}
{' Up': -0.14897469, ' up': -2.1277382, 'Up': -4.325156, 'up': -5.675475, ' UP': -6.690202}
{' Down': -0.24726658, ' down': -1.5250374, 'Down': -7.068103, 'down': -7.967725, '\n': -9.077918}
{' Up': -0.08211809, ' up': -2.5557146, ' UP': -7.2756624, 'Up': -8.037482, '\n': -9.526462}
{' Down': -0.22099367, ' down': -1.6277586, 'Down': -6.8213186, 'down': -7.5702324, '\n': -9.087925}
{' Up': -0.2412526, ' up': -1.5462776, ' UP': -7.2744823, 'Up': -7.982097, 'up': -9.013238}
{' Down': -0.2157728, ' down': -1.658577, 'Down': -6.0106616, 'down': -6.844372, ' ': -9.504673}
{' Up': -0.028557112, ' up': -3.611527, 'Up': -7.445995, ' UP': -7.7501907, 'up': -9.60523}
{' Down': -0.1753786, ' down': -1.8491228, 'Down': -6.067016, 'down': -6.964353, ' DOWN': -8.995799}
{' Up': -0.11217991, ' up': -2.2618322, 'Up': -7.067264, ' UP': -7.138631, 'up': -8.508073}
{' Down': -0.16288103, ' down': -1.9204855, 'Down': -5.9225473, 'down': -7.061061, ' ': -8.9926195}
{' Up': -0.024791557, ' up': -3.7958734, ' UP': -6.913537, 'Up': -7.0876403, ' ': -9.354753}
{' Down': -0.12706386, ' down': -2.1556911, 'Down': -6.0214634, 'down': -7.144848, ' DOWN': -8.723846}
{' Up': -0.116465874, ' up': -2.2362664, ' UP': -6.382302, 'Up': -6.917578, 'up': -8.41099}
{' Down': -0.48942867, ' down': -0.9625369, 'Down': -5.7622633, 'down': -6.4860864, ' ': -8.586619}
{' Up': -0.12826836, ' up': -2.1428576, ' UP': -6.6811132, 'Up': -6.7405577, 'up': -8.263242}
{' Down': -0.54415995, ' down': -0.88316053, 'Down': -5.7162466, 'down': -6.092278, ' DOWN': -8.523391}
{' Up': -0.5859089, ' up': -0.82197756, 'Up': -6.668655, ' UP': -6.682813, 'up': -7.186973}
{' Down': -0.26480615, ' down': -1.4852078, 'Down': -5.4542627, 'down': -6.5220847, ' ': -8.533116}
{' Up': -0.06428091, ' up': -2.8479056, ' UP': -6.1459394, 'Up': -6.398152, 'up': -8.326987}
{' Down': -0.2184853, ' down': -1.664412, 'Down': -5.369049, 'down': -6.4780807, ' DOWN': -7.6204777}
{' Up': -0.20566611, ' up': -1.7177377, ' UP': -5.777645, 'Up': -6.1571693, 'up': -7.282379}
{' Down': -0.067086846, ' down': -2.7807307, 'Down': -6.1846213, 'down': -7.350467, ' ': -9.33409}
{' Up': -0.012071968, ' up': -4.5458755, ' UP': -7.316414, 'Up': -7.5022492, ' ': -9.483864}
{' Down': -0.061682366, ' down': -2.8720596, 'Down': -6.0935, 'down': -7.28681, ' DOWN': -8.877407}
{' Up': -0.06885517, ' up': -2.7431371, ' UP': -6.67424, 'Up': -7.377805, 'up': -8.995896}
{' Down': -0.68551546, ' down': -0.94625574, 'Down': -2.8008718, 'down': -3.0851183, ' ': -6.939721}
{' Up': -0.25005257, ' up': -1.6684561, 'Up': -3.818835, 'up': -4.9526525, ' UP': -6.249499}
{' Down': -0.6314939, ' down': -0.95531785, 'Down': -3.0840104, 'down': -3.3212314, ' ': -7.1943746}
{' Up': -0.6778336, ' up': -0.78886604, 'Up': -3.8205543, 'up': -4.390959, ' UP': -6.1699443}
{' Up': -0.19365199, ' up': -1.74528, ' UP': -7.3911877, 'Up': -7.924559, ' Down': -8.900622}
{' Down': -0.1465176, ' down': -2.0029457, 'Down': -7.121775, 'down': -8.079742, '\n': -9.470543}
{' Up': -0.1239929, ' up': -2.1592386, 'Up': -7.7699904, ' UP': -7.7937484, 'up': -8.681798}
{' Down': -0.30778503, ' down': -1.3347378, 'Down': -7.1986957, 'down': -7.2948527, '\n': -9.280847}
{' Up': -0.074813716, ' up': -2.9076514, ' Down': -4.349199, ' down': -6.0466228, 'Up': -6.9605727}
{' Down': -0.1087155, ' down': -2.3203433, 'Down': -5.7481995, 'down': -6.81221, ' Up': -8.627083}
{' Up': -0.0527359, ' up': -3.0129485, 'Up': -6.651889, ' UP': -7.8144217, 'up': -7.880161}
{' Down': -0.1876561, ' down': -1.7969644, 'Down': -5.747865, 'down': -6.3012075, ' ': -9.189511}
{' Up': -0.12031392, ' Down': -2.9392302, ' up': -3.0904427, ' down': -4.5993905, 'Up': -6.446232}
{' Down': -0.095490694, ' down': -2.4741852, 'Down': -5.3101454, 'down': -6.630491, ' DOWN': -8.480762}
{' Up': -0.027078107, ' up': -3.7386565, 'Up': -6.387643, ' UP': -7.65698, 'up': -8.1093}
{' Down': -0.17752889, ' down': -1.8626598, 'Down': -5.3531766, 'down': -6.129547, ' DOWN': -8.660137}
{' Up': -0.8417177, ' Down': -1.0801116, ' down': -1.9511043, ' up': -2.5230246, 'Down': -6.243641}
{' Down': -0.23670848, ' down': -1.6175048, ' Up': -5.3406034, 'Down': -5.38971, 'down': -6.5078106}
{' Up': -0.18856794, ' up': -1.7857987, 'Up': -6.1963325, 'up': -7.082075, ' UP': -7.320671}
{' Down': -0.36343375, ' down': -1.2145004, 'Down': -5.3178577, 'down': -6.0208583, ' ': -8.706678}
{' Up': -0.24723093, ' Down': -2.24626, ' up': -2.605776, ' down': -3.5457098, ' ': -5.773715}
{' Down': -0.16380748, ' down': -1.9561087, 'Down': -5.019612, 'down': -6.1428003, ' DOWN': -8.199742}
{' Up': -0.049176197, ' up': -3.1491995, 'Up': -5.894421, 'up': -7.2744455, ' Down': -7.570829}
{' Down': -0.21017018, ' down': -1.7253622, 'Down': -4.900453, 'down': -5.740468, ' ': -8.175002}
{' Up': -0.05097761, ' up': -3.1617334, ' Down': -5.3817782, 'Up': -6.916078, ' UP': -7.461409}
{' Down': -0.07007283, ' down': -2.7553334, 'Down': -5.9048824, 'down': -6.9848557, ' DOWN': -9.192797}
{' Up': -0.020602511, ' up': -3.9819057, 'Up': -6.9657927, ' UP': -7.8480783, 'up': -8.588847}
{' Down': -0.11308899, ' down': -2.279614, 'Down': -5.921036, 'down': -6.5208683, ' ': -8.765005}
{' Up': -0.9134354, ' Down': -1.240519, ' down': -1.9290873, ' up': -2.1248174, 'Down': -4.176949}
{' Down': -0.28780907, ' down': -1.6359537, 'Down': -3.266218, 'down': -4.515152, ' Up': -5.720493}
{' Up': -0.14033587, ' up': -2.2776763, 'Up': -3.8381755, 'up': -5.307936, ' UP': -6.7458177}
{' Down': -0.5229781, ' down': -1.0571808, 'Down': -3.32803, 'down': -3.7797704, ' ': -7.542691}
{' Down': -0.3176439, ' Up': -1.8610914, ' down': -2.3026729, ' up': -4.265289, 'Down': -7.019426}
{' Down': -0.40648907, ' down': -1.7513757, ' Up': -1.9679705, ' up': -4.0022836, 'Down': -7.240591}
{' Down': -0.34670106, ' down': -1.2360463, 'Down': -7.0987854, 'down': -7.169637, ' Up': -8.063314}
{' Up': -0.19028136, ' up': -2.3821168, ' Down': -2.704262, ' down': -4.4524293, '\n': -7.2178097}
{' Down': -0.21396902, ' Up': -1.735583, ' down': -4.443129, ' up': -6.1760774, 'Down': -6.3941793}
{' Up': -0.3478088, ' Down': -1.296423, ' up': -4.6416125, ' down': -4.7919235, 'Down': -7.3322635}
{' Down': -0.052479256, ' down': -3.0385976, 'Down': -6.1017437, 'down': -7.568838, ' Up': -8.504417}
{' Up': -0.011308679, ' up': -4.805944, ' Down': -6.563587, 'Up': -7.213474, ' UP': -7.2423472}
{' Up': -0.38762406, ' Down': -1.2005534, ' up': -4.6449995, ' down': -4.9046125, 'Down': -6.9318705}
{' Down': -0.47902134, ' Up': -1.0918962, ' down': -3.4241812, ' up': -4.9144497, 'Down': -6.0712852}
{' Down': -0.054269183, ' down': -3.0605154, 'Down': -5.5857134, ' Up': -7.0226927, 'down': -7.3201857}
