{'\n': -10.568761, ' ': -9.932915, ' Yes': -0.002365244, ' yes': -9.487791, 'Yes': -6.126602}
{' No': -1.7142844, 'No': -8.2141695, ' Yes': -0.20341806, 'Yes': -7.4404655, ' Three': -5.9272275}
{' No': -1.5477625, ' ': -5.358151, ' Yes': -0.6645533, 'Yes': -5.58188, ' Three': -1.3682889}
{' three': -5.7784204, ' No': -1.4045819, 'No': -5.304517, ' Yes': -1.061261, ' Three': -0.9447029}
{' No': -4.4520073, ' ': -7.2553654, ' Yes': -0.014028652, ' yes': -7.7689095, 'Yes': -7.471706}
{' No': -1.4477998, '\n': -4.919489, ' ': -4.881598, ' Yes': -0.31900808, ' Three': -4.470066}
{' No': -1.8406727, '\n': -3.5267572, ' ': -4.1189547, ' Yes': -0.26056805, 'Yes': -4.2700205}
{' No': -2.9466324, ' ': -6.073072, ' Yes': -0.062191196, 'Yes': -7.1260777, ' Three': -5.510596}
{' No': -0.5240487, '\n': -2.7643917, 'No': -3.1353204, ' Yes': -1.7493981, ' Three': -2.7674532}
{' three': -4.132908, ' No': -4.000183, ' Yes': -0.22942376, ' yes': -4.776472, ' Three': -1.9884684}
{' No': -1.7760286, 'No': -5.1835957, ' Yes': -0.22685161, ' yes': -4.5958853, 'Yes': -4.5441713}
{' No': -1.6562718, ' Yes': -0.28578854, ' 3': -3.7965913, 'Yes': -4.6967816, ' Three': -4.217854}
{' No': -1.0748742, ' Yes': -0.5458329, ' 3': -3.3985796, 'Yes': -4.781768, ' Three': -3.9415805}
{' No': -0.54111576, ' ': -7.5059, 'No': -5.1188364, ' Yes': -0.8962012, 'Yes': -6.0848775}
{' No': -0.40591654, 'No': -2.8060553, ' Yes': -1.5125926, 'Yes': -4.4631367, ' Three': -3.484623}
{' No': -0.5841836, 'No': -4.3188257, ' Yes': -1.0991963, ' 3': -3.6152694, ' Three': -2.8621604}
{' No': -4.9086695, '\n': -5.827778, ' ': -5.2285395, ' Yes': -0.0684734, ' yes': -3.146261}
{'\n': -4.5372066, ' ': -4.6909237, ' Yes': -0.05468957, ' yes': -4.601429, 'Yes': -4.444055}
{' No': -1.8837057, '\n': -1.658181, ' ': -3.060063, ' Yes': -0.60784984, 'Yes': -4.0575376}
{' No': -3.2547982, ' ': -4.9917884, ' Yes': -0.0725359, 'Yes': -5.0317984, ' Three': -4.8160567}
{' No': -0.5361653, '\n': -1.4837648, ' ': -3.5984151, 'No': -2.9058495, ' Yes': -2.5327415}
{' three': -3.7117615, '\n': -3.5841718, ' Yes': -0.32259607, ' yes': -1.8466746, ' 3': -4.008593}
{' No': -4.5889144, '\n': -7.0133333, ' ': -7.239436, ' Yes': -0.014045577, 'Yes': -6.7339983}
{' No': -3.0965836, '\n': -3.304614, ' ': -3.85391, ' Yes': -0.48374307, ' Three': -1.3582413}
{' No': -0.9400153, '\n': -3.243198, ' ': -3.4898522, ' Yes': -0.7982078, ' Three': -2.615539}
{' No': -3.2461839, '\n': -6.147778, ' ': -4.828652, ' Yes': -0.09157248, ' Three': -3.3034673}
{' No': -1.1048332, '\n': -1.7270237, ' ': -3.267677, ' Yes': -1.966993, ' Three': -1.2739903}
{' No': -3.5770595, '\n': -3.1112537, ' Yes': -0.36758333, ' 3': -3.533348, ' Three': -2.0666437}
{' No': -0.0061599836, ' One': -11.364314, '\n': -8.916265, ' ': -8.554628, 'No': -5.156434}
{' No': -0.027444575, '\n': -9.519353, ' ': -7.4566336, 'No': -3.6383147, ' no': -10.511501}
{' No': -0.028460765, '\xa0': -9.754708, '\n': -7.074807, ' ': -7.105281, 'No': -3.644143}
{' No': -0.0048619276, ' One': -10.8385515, '\n': -11.355575, ' ': -8.734867, 'No': -5.375948}
{' No': -0.020186052, '\n': -6.9863896, ' ': -7.069032, 'No': -4.0679803, ' Yes': -7.7497487}
{' No': -0.047509015, '\n': -7.6194386, ' ': -7.4041, 'No': -3.106116, ' Of': -9.352654}
{' No': -0.0028901924, '\n': -8.230206, ' ': -6.8716908, 'No': -6.5498414, ' no': -9.316719}
{' No': -0.039378237, '\n': -6.130967, ' ': -6.3346834, 'No': -3.3717887, ' no': -8.833396}
{' No': -0.06808706, '\n': -3.9581494, ' ': -4.8424263, 'No': -3.2720852, ' no': -8.210306}
{' No': -0.0066863247, '\n': -8.901382, ' ': -6.8316216, 'No': -5.229918, ' no': -9.869418}
{' No': -0.13198435, '\n': -4.252503, ' ': -4.6810966, 'No': -2.324531, ' no': -7.071101}
{' No': -0.03656861, '\n': -6.945546, ' ': -6.0356765, 'No': -3.5204992, ' no': -6.084627}
{' No': -0.058691572, '\n': -7.88561, ' ': -6.5818176, 'No': -2.9772437, ' no': -5.5605326}
{' No': -0.0411496, ' ': -7.7603602, 'No': -3.233946, ' Yes': -9.381009, ' no': -8.392785}
{' No': -0.075383246, ' ': -7.000828, 'No': -2.6492052, ' Yes': -8.241912, ' no': -8.205184}
{' No': -0.020451628, ' ': -7.851517, 'No': -3.9336233, 'no': -10.426743, ' no': -8.730896}
{' No': -0.20372456, '\n': -7.269957, ' ': -7.126327, 'No': -1.7057425, ' no': -7.9515347}
{' No': -0.052735083, ' ': -8.129139, 'No': -2.9780793, 'no': -10.239185, ' no': -9.231963}
{' No': -0.020509424, '\n': -7.4339767, ' ': -5.58892, 'No': -5.4651027, ' no': -4.467878}
{' No': -0.04184118, '\n': -6.237823, ' ': -5.696256, 'No': -3.3663514, ' no': -6.969455}
{' No': -0.0981779, '\n': -4.063445, ' ': -5.1365743, 'No': -2.6853914, ' no': -6.380526}
{' No': -0.036453687, '\n': -6.420979, ' ': -5.7893624, 'No': -3.5175247, ' no': -6.686217}
{' No': -0.18904442, '\n': -3.4076858, ' ': -4.88054, 'No': -2.1045108, ' no': -4.9306955}
{' No': -0.124216124, '\n': -4.773221, ' ': -5.408745, 'No': -3.6405468, ' no': -2.587925}
{' No': -0.006654223, '\n': -6.609948, ' ': -6.392408, 'No': -5.684175, ' no': -8.769157}
{' No': -0.03751517, '\n': -5.3656, ' ': -5.943399, 'No': -3.5309842, ' no': -9.141901}
{' No': -0.051563926, '\n': -4.217442, ' ': -4.9391217, 'No': -3.5940557, ' no': -8.087121}
{' No': -0.00987245, '\n': -6.422403, ' ': -5.930326, 'No': -5.225729, ' no': -9.342804}
{' No': -0.050525542, '\n': -4.2568564, ' ': -5.2091107, 'No': -3.5604548, ' no': -7.4545484}
{' No': -0.05009135, '\n': -4.306603, ' ': -5.117972, 'No': -3.6507003, ' no': -5.9278502}
{' No': -0.010340284, '\n': -9.099512, ' ': -8.470173, 'No': -4.6359944, ' Four': -8.650515}
{' No': -0.04405711, ' ': -8.143929, 'No': -3.1654046, ' Yes': -8.611276, ' Four': -9.026442}
{' No': -0.037331577, '\n': -7.8526907, ' ': -7.2041383, 'No': -3.3577335, ' Four': -8.203758}
{' No': -0.009373972, ' ': -8.947615, 'No': -4.832444, ' Yes': -7.7484555, ' Four': -7.3073735}
{' No': -0.042840708, '\n': -6.8344784, ' ': -6.26127, 'No': -3.2734482, ' Four': -7.5096087}
{' That': -7.9606214, ' No': -0.0457618, 'No': -3.1572878, ' Yes': -7.3946614, ' Four': -7.919065}
{' No': -0.0028081816, '\n': -8.238102, ' ': -6.7976213, 'No': -6.7607827, ' Four': -8.763498}
{' No': -0.028008534, '\n': -5.9677644, ' ': -6.118701, 'No': -3.7931945, ' no': -9.083347}
{' No': -0.08201268, '\n': -3.494576, ' ': -4.518996, 'No': -3.3138354, '  ': -8.294246}
{' No': -0.0029397465, '\n': -9.713465, ' ': -7.2050304, 'No': -6.1823387, ' no': -10.253279}
{' {': -7.7481723, ' No': -0.1417995, '\n': -4.1771765, ' ': -4.6933093, 'No': -2.244535}
{' No': -0.021592408, '\n': -7.733528, ' ': -6.263192, 'No': -4.0473223, ' no': -6.8921294}
{' No': -0.07634797, ' ': -6.431909, 'No': -2.7662911, ' Yes': -7.539118, ' no': -4.9959416}
{' No': -0.08332331, ' ': -7.3720984, 'No': -2.5449855, 'no': -9.337139, ' no': -7.8675413}
{' No': -0.083378054, ' ': -6.9019175, 'No': -2.6519625, ' Yes': -5.040806, ' no': -7.0108013}
{' No': -0.021882843, ' ': -7.7740297, 'No': -3.88162, ' Yes': -8.446223, ' no': -8.463384}
{' No': -0.32237044, '\n': -7.3308935, ' ': -6.773057, 'No': -1.29821, ' no': -8.376687}
{' No': -0.06355136, ' ': -7.8885446, 'No': -2.8014796, 'no': -9.223747, ' no': -8.401201}
{' No': -0.024890179, '\n': -7.4976125, ' ': -5.543332, 'No': -5.601793, ' no': -4.136945}
{' No': -0.04170147, '\n': -5.7929544, ' ': -5.7145305, 'No': -3.4324732, ' no': -6.3333607}
{' No': -0.09070325, '\n': -3.7040436, ' ': -4.832591, 'No': -2.97515, ' no': -6.074718}
{' No': -0.020808918, '\n': -6.9400635, ' ': -6.1643653, 'No': -4.119203, ' no': -6.8161044}
{' No': -0.23915736, '\n': -2.5179048, ' ': -4.692508, 'No': -2.1372097, ' no': -5.7498636}
{' No': -0.1205828, '\n': -4.680275, ' ': -5.131054, 'No': -3.748969, ' no': -2.647814}
{' No': -0.007348633, '\n': -6.3710194, ' ': -6.164626, 'No': -5.7443857, ' no': -9.234114}
{' No': -0.025300533, '\n': -5.3263316, ' ': -5.9041877, 'No': -4.0701613, ' no': -9.378336}
{' No': -0.04493129, '\n': -4.532745, ' ': -5.0341372, 'No': -3.6546817, ' no': -8.651111}
{' No': -0.005769274, '\n': -7.443698, ' ': -6.1941557, 'No': -5.8141375, ' Four': -9.942653}
{' No': -0.04693708, '\n': -4.054948, ' ': -5.276244, 'No': -3.7844703, ' no': -8.313424}
{' No': -0.034624074, '\n': -5.0297356, ' ': -5.0871773, 'No': -4.053238, ' no': -5.918688}
{'\n': -10.336132, ' ': -9.683792, ' Yes': -0.0035858273, ' yes': -9.786794, 'Yes': -5.679823}
{'\n': -10.266148, ' ': -8.0733185, ' Yes': -0.020176258, ' yes': -8.299778, 'Yes': -3.9476683}
{'\n': -8.088338, ' ': -7.3036323, ' Yes': -0.023717383, ' yes': -8.05931, 'Yes': -3.8184023}
{' YES': -12.465092, ' ': -9.726968, ' Yes': -0.0012523138, ' yes': -10.349991, 'Yes': -6.7714124}
{'\n': -7.9620028, ' ': -7.2472787, ' Yes': -0.02237766, ' yes': -8.577933, 'Yes': -3.8763394}
{'\n': -8.656247, ' ': -8.033225, ' Yes': -0.012858905, ' yes': -8.354331, 'Yes': -4.4283957}
{'\n': -8.056754, ' ': -7.126854, ' Yes': -0.002588241, ' yes': -8.051554, 'Yes': -6.8209987}
{'\n': -6.6460547, ' ': -6.4424143, ' Yes': -0.018127525, ' yes': -7.5575805, 'Yes': -4.243885}
{'\n': -4.2230415, ' ': -4.954996, ' Yes': -0.057084993, ' yes': -6.810781, 'Yes': -3.447456}
{'\n': -9.631551, ' ': -7.27826, ' Yes': -0.0030487368, ' yes': -8.737707, 'Yes': -6.169748}
{'\n': -5.073557, ' ': -5.264063, ' Yes': -0.11681001, ' yes': -5.943549, 'Yes': -2.3558047}
{'\n': -7.6157236, ' ': -6.4698997, ' Yes': -0.017133716, ' yes': -5.8138824, 'Yes': -4.4639583}
{'\n': -7.878488, ' ': -6.8794317, ' Yes': -0.036363807, ' yes': -5.1555176, 'Yes': -3.5804768}
{' ': -7.53696, ' Yes': -0.034719165, ' yes': -6.6889524, 'Yes': -3.4415774, 'yes': -8.878854}
{'\n': -7.540563, ' ': -6.5129814, ' Yes': -0.064753905, ' yes': -5.772409, 'Yes': -2.8730824}
{' YES': -9.538109, ' ': -7.7625475, ' Yes': -0.015689343, ' yes': -6.968255, 'Yes': -4.2719316}
{' ': -6.7951465, ' Yes': -0.15485118, ' yes': -6.685853, 'Yes': -1.9654152, 'yes': -7.7522793}
{' ': -8.103464, ' Yes': -0.031521313, ' yes': -6.252178, 'Yes': -3.5595248, 'yes': -8.265451}
{'\n': -6.8335557, ' ': -5.6548824, ' Yes': -0.030981505, ' yes': -3.9230866, 'Yes': -5.2248898}
{'\n': -5.4102316, ' ': -5.2377753, ' Yes': -0.052041706, ' yes': -5.310476, 'Yes': -3.3501103}
{'\n': -3.7664444, ' ': -4.8504043, ' Yes': -0.08291765, ' yes': -5.1102915, 'Yes': -3.1941407}
{'\n': -7.0056105, ' ': -6.487197, ' Yes': -0.024797238, ' yes': -5.842067, 'Yes': -3.9748552}
{'\n': -3.5839689, ' ': -5.042241, ' Yes': -0.16481775, ' yes': -4.4788623, 'Yes': -2.2807884}
{'\n': -5.0465693, ' ': -5.3031163, ' Yes': -0.13184072, ' yes': -2.3721972, 'Yes': -4.184985}
{'\n': -6.690246, ' ': -6.7135506, ' Yes': -0.0067007868, ' yes': -7.579183, 'Yes': -5.62805}
{'\n': -5.679332, ' ': -6.023807, ' Yes': -0.019544119, ' yes': -7.492665, 'Yes': -4.3632026}
{'\n': -4.717467, ' ': -5.220829, ' Yes': -0.035324544, ' yes': -6.7841187, 'Yes': -3.9853349}
{'\n': -7.07172, ' ': -6.251852, ' Yes': -0.0065807234, ' yes': -8.34886, 'Yes': -5.6569347}
{'\n': -4.9253893, ' ': -5.7516875, ' Yes': -0.048508555, ' yes': -6.4092917, 'Yes': -3.367768}
{'\n': -5.0830956, ' ': -5.1862755, ' Yes': -0.031372096, ' yes': -4.910406, 'Yes': -4.513729}
{' No': -6.508739, ' ': -9.930881, ' Yes': -0.0031961186, ' yes': -9.813547, 'Yes': -6.5313177}
{' No': -2.6792133, ' Yes': -0.22247759, 'Yes': -5.1529374, ' 4': -4.351376, ' Four': -2.2280507}
{' No': -1.7580525, ' One': -5.3619056, ' Yes': -0.6131607, ' 4': -4.9226966, ' Four': -1.3383442}
{' No': -3.8591743, ' Yes': -0.03486796, 'Yes': -7.482034, ' 4': -9.196028, ' Four': -4.405935}
{' No': -1.0478203, ' One': -5.846013, 'No': -5.5465155, ' Yes': -1.0129751, ' Four': -1.3069396}
{' No': -2.0287309, ' four': -5.7666397, 'No': -5.9749346, ' Yes': -1.1599699, ' Four': -0.61838007}
{' No': -7.2506785, ' ': -8.162578, ' Yes': -0.002235363, ' yes': -8.232173, 'Yes': -7.584991}
{' No': -2.224658, '\n': -5.9102755, ' Yes': -0.14520183, 'Yes': -5.441945, ' Four': -4.2460985}
{' No': -1.633276, '\n': -3.8252199, ' ': -4.415653, ' Yes': -0.29186827, 'Yes': -4.4993744}
{' No': -5.4450517, ' ': -6.898003, ' Yes': -0.014094359, 'Yes': -7.378405, ' Four': -4.884883}
{' No': -0.3983055, '\n': -3.4047558, 'No': -2.9423995, ' Yes': -2.0904422, ' Four': -2.4870086}
{' four': -3.9483974, ' Yes': -0.42418757, ' yes': -4.7637644, ' 4': -5.0730314, ' Four': -1.2266587}
{' No': -0.63390225, 'No': -4.055159, ' Yes': -0.84710187, ' yes': -5.097779, 'Yes': -5.1844716}
{' No': -1.3550986, 'No': -5.0972915, ' Yes': -0.50671, ' 4': -3.0488145, ' Four': -2.5957143}
{' No': -1.0799708, 'No': -4.644667, ' Yes': -0.70902014, ' 4': -2.505987, ' Four': -2.7938876}
{' No': -0.13152169, ' ': -7.6007686, 'No': -4.823406, ' Yes': -2.1783795, 'Yes': -7.3132243}
{' No': -0.28603977, 'No': -2.568169, ' Yes': -2.2813058, 'Yes': -5.3213735, ' Four': -2.8799784}
{' No': -0.9950354, 'No': -4.905047, ' Yes': -1.211302, ' 4': -2.567219, ' Four': -1.4505368}
{' No': -5.5762587, '\n': -5.866545, ' ': -5.519953, ' Yes': -0.09897389, ' yes': -2.5979533}
{'\n': -5.661803, ' ': -5.702313, ' Yes': -0.033331897, ' yes': -5.024129, 'Yes': -4.4517756}
{' No': -1.768574, '\n': -2.1139739, ' ': -3.6999187, ' Yes': -0.45888355, 'Yes': -4.175333}
{' No': -4.0929213, ' ': -5.461314, ' Yes': -0.066884294, 'Yes': -5.256845, ' Four': -3.5308084}
{' No': -0.48222196, '\n': -1.8532624, ' ': -4.1472783, 'No': -2.7982116, ' Yes': -2.0802023}
{' four': -2.7299461, '\n': -4.017523, ' Yes': -0.42254078, ' yes': -1.9057142, ' Four': -2.7545378}
{' No': -6.362063, '\n': -7.367228, ' ': -7.5679436, ' Yes': -0.0054310374, 'Yes': -6.6068254}
{' No': -5.13168, '\n': -4.153382, ' ': -4.847176, ' Yes': -0.40020257, ' Four': -1.2328653}
{' No': -1.5119594, '\n': -3.6282828, ' ': -4.010922, ' Yes': -0.531649, ' Four': -2.0270214}
{' No': -5.5998855, '\n': -6.41677, ' ': -5.5750327, ' Yes': -0.121165894, ' Four': -2.268066}
{' No': -0.7309375, '\n': -2.8243575, ' ': -4.245257, ' Yes': -2.216146, ' Four': -1.1473786}
{' four': -3.645885, '\n': -3.8731892, ' Yes': -0.6118874, ' 4': -3.8378146, ' Four': -1.0632254}
{' No': -0.006281736, '\n': -8.918087, ' ': -8.356127, 'No': -5.1409135, ' no': -11.626965}
{' No': -0.039772257, '\n': -9.282474, ' ': -7.466505, 'No': -3.2652721, ' no': -10.305695}
{' No': -0.04213172, '\xa0': -9.607713, '\n': -7.112247, ' ': -7.1247134, 'No': -3.234627}
{' No': -0.006036507, ' One': -11.264941, '\n': -11.436073, ' ': -8.631816, 'No': -5.153169}
{' No': -0.027502224, ' One': -8.590136, '\n': -7.1303744, ' ': -6.9442782, 'No': -3.6941109}
{' Five': -9.141926, ' No': -0.065640144, '\n': -8.140529, ' ': -7.6259193, 'No': -2.776669}
{' No': -0.0033732525, '\n': -8.034897, ' ': -6.6331606, 'No': -6.4474325, ' no': -9.580598}
{' No': -0.040428903, '\n': -5.796623, ' ': -6.1656837, 'No': -3.3761582, ' no': -9.123206}
{' No': -0.06619308, '\n': -3.9170341, ' ': -4.8826814, 'No': -3.3364127, ' no': -8.301581}
{' No': -0.0057307296, '\n': -8.910069, ' ': -6.7239485, 'No': -5.4463606, ' no': -10.388739}
{' No': -0.15119672, '\n': -4.2132835, ' ': -4.6826468, 'No': -2.1745732, ' no': -6.9620256}
{' No': -0.04380586, '\n': -6.7134376, ' ': -5.8797617, 'No': -3.3083718, ' no': -6.510326}
{' No': -0.068733536, '\n': -7.6775064, ' ': -6.5, 'No': -2.81361, ' no': -5.5351086}
{' No': -0.058684744, ' ': -7.5830674, 'No': -2.8820868, 'no': -9.869955, ' no': -8.250158}
{' No': -0.09742682, '\n': -8.948186, ' ': -7.3128543, 'No': -2.3926196, ' no': -8.084749}
{' No': -0.022693206, ' ': -7.663392, 'No': -3.8302035, 'no': -10.556976, ' no': -8.883739}
{' No': -0.18866976, '\n': -7.7060647, ' ': -7.1861634, 'No': -1.7729632, ' no': -7.9186883}
{' No': -0.07291279, ' ': -7.858057, 'No': -2.6642406, 'no': -9.835227, ' no': -8.942285}
{' No': -0.02184958, '\n': -7.034457, ' ': -5.5203304, 'No': -5.032508, ' no': -4.6172566}
{' No': -0.04663528, '\n': -6.050924, ' ': -5.6254163, 'No': -3.2547612, ' no': -7.1272736}
{' No': -0.11433142, '\n': -3.837018, ' ': -4.8653984, 'No': -2.5697014, ' no': -6.4791946}
{' No': -0.037495058, '\n': -6.516363, ' ': -5.808676, 'No': -3.4630988, ' no': -7.1042376}
{' No': -0.21769486, '\n': -3.0182815, ' ': -4.697965, 'No': -2.062389, ' no': -4.8825016}
{' No': -0.09659897, '\n': -4.6265597, ' ': -5.3723817, 'No': -3.524406, ' no': -3.0730832}
{' No': -0.00713928, '\n': -6.490095, ' ': -6.301685, 'No': -5.621462, ' no': -9.371051}
{' No': -0.043235905, '\n': -4.934122, ' ': -5.917061, 'No': -3.4356174, ' no': -9.612589}
{' No': -0.055718657, '\n': -3.984624, ' ': -4.8242445, 'No': -3.6238222, ' no': -8.258579}
{' No': -0.00944142, '\n': -6.6292033, ' ': -6.0749984, 'No': -5.1731944, ' no': -9.9635105}
{' No': -0.063833915, '\n': -3.7743802, ' ': -5.048732, 'No': -3.4640658, ' no': -7.59778}
{' No': -0.05733549, '\n': -4.2707334, ' ': -4.976315, 'No': -3.4407694, ' no': -6.1620846}
{' Five': -7.477851, ' No': -0.014963168, ' ': -8.107255, 'No': -4.2983627, ' Yes': -8.436785}
{' Five': -7.238452, ' That': -8.368821, ' No': -0.044383496, ' ': -8.313758, 'No': -3.1774495}
{' Five': -8.01569, ' No': -0.03380084, '\n': -8.020104, ' ': -7.530312, 'No': -3.4531655}
{' Five': -7.1293874, ' No': -0.012526168, ' ': -8.83143, 'No': -4.5034146, ' Yes': -8.376822}
{' Five': -5.9470096, ' No': -0.040313534, '\n': -7.1507683, ' ': -6.558711, 'No': -3.3792663}
{' Five': -7.2125306, ' That': -7.7055154, ' No': -0.0516014, 'No': -3.0451846, ' Yes': -7.3215137}
{' Five': -7.538947, ' No': -0.0034175715, '\n': -8.060801, ' ': -6.7363977, 'No': -6.7017984}
{' No': -0.022600105, '\n': -6.115365, ' ': -6.3046207, 'No': -4.015148, ' no': -9.748024}
{' No': -0.06522765, '\n': -3.8536568, ' ': -4.751066, 'No': -3.4300327, '  ': -8.628776}
{' Five': -10.260042, ' No': -0.0023281402, '\n': -9.5004635, ' ': -7.454823, 'No': -6.4490967}
{' No': -0.12525523, '\n': -4.323993, ' ': -4.9114566, 'No': -2.3446748, ' no': -8.049789}
{' No': -0.025460893, '\n': -7.564928, ' ': -6.405984, 'No': -3.8310065, ' no': -7.5722284}
{' No': -0.089354776, ' ': -6.160075, 'No': -2.68003, ' Yes': -4.7421618, ' no': -5.75646}
{' No': -0.09290924, '\n': -9.468099, ' ': -7.138819, 'No': -2.4412122, ' no': -8.060948}
{' No': -0.09058154, ' ': -7.013501, 'No': -2.5073066, ' Yes': -6.0070453, ' no': -7.142822}
{' No': -0.017077023, ' ': -7.680023, 'No': -4.136185, ' Yes': -8.547487, ' no': -8.750522}
{' Five': -7.483284, ' No': -0.3284558, '\n': -7.1083155, ' ': -6.917238, 'No': -1.2837666}
{' No': -0.09423365, ' ': -7.901196, 'No': -2.419185, 'no': -9.202983, ' no': -8.465134}
{' No': -0.015240249, '\n': -7.00598, ' ': -5.5497518, 'No': -5.514359, ' no': -5.1656995}
{' No': -0.03579795, '\n': -5.671122, ' ': -5.7868524, 'No': -3.6166027, ' no': -6.555401}
{' No': -0.088854805, '\n': -3.8459613, ' ': -4.766484, 'No': -2.941981, ' no': -6.457861}
{' No': -0.028769953, '\n': -6.237466, ' ': -5.907939, 'No': -3.7793632, ' no': -7.3731556}
{' No': -0.2017151, '\n': -2.769096, ' ': -4.8036447, 'No': -2.2217345, ' no': -6.1591177}
{' No': -0.08896927, '\n': -4.7614403, ' ': -5.0961723, 'No': -3.8967094, ' no': -3.0850687}
{' Five': -8.675093, ' No': -0.006703487, '\n': -6.441952, ' ': -6.131287, 'No': -5.9705586}
{' Five': -9.086935, ' No': -0.02473877, '\n': -5.2508087, ' ': -5.913969, 'No': -4.1283307}
{' Five': -8.398108, ' No': -0.04560545, '\n': -4.3841424, ' ': -5.0062795, 'No': -3.7088208}
{' Five': -8.616773, ' No': -0.008412021, '\n': -6.845837, ' ': -5.8904614, 'No': -5.468596}
{' No': -0.037133235, '\n': -4.4819055, ' ': -5.6149926, 'No': -3.8596618, ' no': -8.852435}
{' No': -0.037923068, '\n': -4.7704515, ' ': -4.854985, 'No': -4.134223, ' Yes': -6.4032335}
{'\n': -10.110911, ' ': -9.463775, ' Yes': -0.0048476723, ' yes': -9.813878, 'Yes': -5.371127}
{' ': -7.922999, ' Yes': -0.025418706, ' yes': -7.9179215, 'Yes': -3.7192376, 'yes': -10.418883}
{'\n': -7.9558425, ' ': -7.1172786, ' Yes': -0.028366083, ' yes': -7.826717, 'Yes': -3.6422138}
{' YES': -12.627073, ' ': -9.617804, ' Yes': -0.0014359064, ' yes': -9.916635, 'Yes': -6.639898}
{'\n': -7.862794, ' ': -7.1932993, ' Yes': -0.029769622, ' yes': -8.392305, 'Yes': -3.5824637}
{'\n': -8.716444, ' ': -7.9922104, ' Yes': -0.01638819, ' yes': -8.155073, 'Yes': -4.1753426}
{'\n': -8.039499, ' ': -7.183304, ' Yes': -0.0028654449, ' yes': -7.9799595, 'Yes': -6.5842876}
{'\n': -6.791627, ' ': -6.513678, ' Yes': -0.024121517, ' yes': -7.3867745, 'Yes': -3.891463}
{'\n': -4.4263344, ' ': -5.0799046, ' Yes': -0.057212792, ' yes': -6.784683, 'Yes': -3.3379629}
{'\n': -9.400558, ' ': -7.2543445, ' Yes': -0.003662759, ' yes': -8.649898, 'Yes': -5.931423}
{'\n': -5.0255065, ' ': -5.2794375, ' Yes': -0.12676772, ' yes': -6.0015984, 'Yes': -2.2652907}
{'\n': -7.4215927, ' ': -6.2920723, ' Yes': -0.024112783, ' yes': -5.7317734, 'Yes': -4.034954}
{'\n': -7.7639914, ' ': -6.786972, ' Yes': -0.0513965, ' yes': -5.222304, 'Yes': -3.1565845}
{' ': -7.398876, ' Yes': -0.047220476, ' yes': -6.401083, 'Yes': -3.1362095, 'yes': -8.669833}
{'\n': -7.522546, ' ': -6.304245, ' Yes': -0.073550396, ' yes': -5.4004984, 'Yes': -2.774354}
{' YES': -9.638787, ' ': -7.3713565, ' Yes': -0.019911, ' yes': -6.943752, 'Yes': -4.027115}
{'\n': -7.6217422, ' ': -6.6555758, ' Yes': -0.17346649, ' yes': -6.619806, 'Yes': -1.8635432}
{' ': -7.6899385, ' Yes': -0.042001106, ' yes': -5.9569635, 'Yes': -3.2777853, 'yes': -8.237208}
{'\n': -6.760923, ' ': -5.9530377, ' Yes': -0.039660435, ' yes': -3.6591191, 'Yes': -4.7720327}
{'\n': -5.2090163, ' ': -5.1368194, ' Yes': -0.062394638, ' yes': -5.1665454, 'Yes': -3.1570106}
{'\n': -3.977008, ' ': -4.8306327, ' Yes': -0.10151801, ' yes': -4.626706, 'Yes': -2.8475275}
{'\n': -6.721404, ' ': -6.3555865, ' Yes': -0.029128943, ' yes': -5.8329425, 'Yes': -3.7951946}
{'\n': -3.4606209, ' ': -5.008936, ' Yes': -0.18964788, ' yes': -4.317071, 'Yes': -2.145363}
{'\n': -5.3500876, ' ': -5.479942, ' Yes': -0.12761466, ' yes': -2.4408011, 'Yes': -3.8805268}
{'\n': -6.582141, ' ': -6.78827, ' Yes': -0.0075789876, ' yes': -7.38596, 'Yes': -5.4506254}
{'\n': -5.4421735, ' ': -6.0403924, ' Yes': -0.023764445, ' yes': -7.296906, 'Yes': -4.145642}
{'\n': -4.412191, ' ': -5.1060004, ' Yes': -0.04598233, ' yes': -6.756348, 'Yes': -3.6933193}
{'\n': -6.548604, ' ': -6.097459, ' Yes': -0.0090711415, ' yes': -8.09565, 'Yes': -5.302604}
{'\n': -4.0359807, ' ': -5.282788, ' Yes': -0.07328856, ' yes': -6.5199723, 'Yes': -3.085795}
{'\n': -4.7800655, ' ': -4.8668346, ' Yes': -0.042997498, ' yes': -4.5344067, 'Yes': -4.255192}
