{' Yes': -0.0047830474, ' No': -5.822646, 'Yes': -6.374882, ' yes': -10.36971, '\n': -10.858401}
{' Dive': -0.37484434, ' Yes': -1.1802928, 'Yes': -6.8989587, ' Divide': -6.9751716, ' No': -7.1683927}
{' Dive': -0.6295859, ' Yes': -0.8750217, ' No': -3.533812, ' Divide': -4.943646, ' Div': -5.7032127}
{' Yes': -0.0034019009, ' Hear': -6.2067556, 'Yes': -7.012822, ' Yeah': -8.717432, ' No': -9.54882}
{' Yes': -0.0026426837, 'Yes': -6.744332, ' Hear': -7.5137467, ' Yeah': -8.226509, ' No': -8.309986}
{' Yes': -0.07676815, ' Bush': -2.6477864, 'Yes': -6.200393, 'Bush': -8.430581, ' Brush': -8.449182}
{' Yes': -0.24824847, ' Bush': -1.5526594, ' Brush': -5.8944407, 'Yes': -6.2115817, 'Bush': -7.234201}
{' No': -0.5030008, ' Yes': -0.9383187, 'No': -6.503582, ' Near': -6.66968, ' Nope': -7.732363}
{' No': -0.14307165, ' Yes': -2.0249438, 'No': -6.8596754, ' Nope': -9.006549, 'Yes': -9.506621}
{' Mile': -0.64252514, ' Yes': -0.8136333, ' M': -4.7386365, ' Miles': -4.7465234, ' No': -5.1237664}
{' Yes': -0.08390796, ' Mile': -2.822513, ' No': -4.0793166, ' Miles': -6.5468845, 'Yes': -6.8185673}
{' Yes': -0.29433694, ' Navy': -1.5545583, ' No': -3.6011853, 'Yes': -5.555089, ' Nav': -5.8204594}
{' No': -0.7297913, ' Yes': -0.778402, ' Navy': -3.3135123, ' Nope': -5.090995, 'No': -5.84603}
{' No': -0.01500298, ' Nope': -4.823663, ' Yes': -5.633455, 'No': -5.9474177, ' N': -8.24948}
{' No': -0.00239918, 'No': -6.934268, ' Yes': -6.9935846, ' Nope': -7.9865694, ' Okay': -9.69541}
{' Yes': -0.0047728047, ' No': -6.2464952, 'Yes': -6.68285, ' Math': -6.708649, ' YES': -9.435151}
{' Yes': -0.046516635, ' No': -3.1138077, 'Yes': -7.4826922, ' Nope': -8.735116, ' Math': -9.530626}
{' No': -0.029206635, ' Yes': -3.6870282, ' Nope': -6.550151, ' Bee': -6.882495, 'No': -6.8831744}
{' No': -0.009761395, ' Yes': -4.77708, 'No': -7.331599, ' Nope': -7.570159, ' Bee': -9.719217}
{' Yes': -0.0014530377, 'Yes': -6.763774, ' No': -8.9542055, ' Milk': -9.28049, ' yes': -10.211678}
{' Yes': -0.19113912, ' No': -1.7842482, ' Milk': -5.4387836, 'Yes': -6.760144, 'No': -8.104232}
{' Yes': -0.015691461, ' No': -4.3169284, 'Yes': -6.2632365, ' yes': -9.140881, 'No': -9.9725275}
{' Yes': -0.01165814, ' No': -4.6952133, 'Yes': -6.198939, ' yes': -9.112951, ' Bass': -9.287538}
{' Yes': -0.0035377946, 'Yes': -6.530805, ' Bird': -6.5676622, ' yes': -8.513385, ' No': -8.574399}
{' Yes': -0.050865594, ' Bird': -3.105326, 'Yes': -6.3033147, ' No': -7.085907, ' yes': -7.7603307}
{' Yes': -0.029779445, ' No': -3.5947971, 'Yes': -6.713243, ' YES': -8.678451, ' yes': -8.702204}
{' Yes': -0.017214363, ' No': -4.3362985, 'Yes': -6.424105, ' YES': -7.5197315, ' Believe': -7.8855805}
{' Yes': -0.010439959, ' No': -4.9600286, ' Need': -6.7459598, 'Yes': -6.9235525, ' Indeed': -8.022147}
{' Yes': -0.045917116, ' No': -3.5592036, ' Need': -4.52527, ' Indeed': -6.3972654, 'Yes': -6.828881}
{' Yes': -0.4756367, ' Tool': -1.243789, ' Too': -2.790986, ' No': -4.3554564, ' Tools': -5.0109797}
{' Yes': -0.14391899, ' Too': -2.7097435, ' Tool': -3.1204355, ' No': -3.910797, 'Yes': -6.5485168}
{' Yes': -0.12726605, ' Po': -2.2421515, ' No': -4.7754536, 'Yes': -6.1036186, ' Nope': -6.788159}
{' Yes': -0.055412866, ' Po': -3.1097054, ' No': -4.9960923, 'Yes': -6.2920628, ' Nope': -8.246773}
{' Yes': -0.04216784, ' No': -3.2235625, 'Yes': -7.2584033, ' Rock': -8.19318, ' yes': -8.776581}
{' Yes': -0.41157854, ' Cro': -1.1921171, ' No': -4.247266, ' Rock': -4.953021, ' Rocket': -5.8706064}
{' Yes': -0.0056692245, ' No': -5.4559975, 'Yes': -6.6170354, ' yes': -10.849787, 'No': -11.520837}
{' Yes': -0.009327223, ' No': -4.994446, 'Yes': -6.246298, ' Last': -8.335725, ' yes': -9.409884}
{' Yes': -0.14029877, ' Door': -2.0747051, ' No': -6.0070367, 'Yes': -6.476052, ' yes': -7.620505}
{' Yes': -0.5555278, ' Door': -0.89620316, ' No': -4.33862, 'Yes': -6.4594884, ' Doors': -7.0498214}
{' Yes': -0.45403406, ' No': -1.0461646, ' To': -4.8688974, 'Yes': -5.9561973, ' Nope': -6.473784}
{' No': -0.5110234, ' Yes': -0.93066114, ' Nope': -5.9359937, 'Yes': -6.521893, 'No': -7.081199}
{' Yes': -0.28916806, ' Maze': -1.8538367, ' No': -2.4206455, 'Yes': -6.32853, ' Maybe': -6.5299945}
{' No': -0.5615229, ' Yes': -0.8530687, ' Maze': -6.7245727, ' Nope': -7.0043497, 'Yes': -7.4080653}
{' Yes': -0.025288427, ' Monk': -4.6560616, ' No': -4.734755, 'Yes': -5.88949, ' Monkey': -6.573157}
{' Yes': -0.04328358, ' No': -3.995699, ' Monkey': -4.704193, ' Monk': -5.494231, ' Mon': -5.551587}
{' Yes': -0.0032142985, ' Camp': -6.6451893, 'Yes': -6.738188, ' No': -8.027416, ' yes': -8.464581}
{' Yes': -0.0052744513, ' No': -6.2999043, ' Camp': -6.410176, 'Yes': -6.616669, ' yes': -8.581966}
{' Yes': -0.04316259, ' Most': -3.2266212, 'Yes': -6.5882254, ' Mostly': -7.500857, ' No': -8.021773}
{' Yes': -0.04183944, ' Most': -3.284786, ' No': -6.6536975, 'Yes': -6.9035563, ' Mostly': -7.202347}
{' Yes': -0.012838556, ' Tri': -5.4361744, ' Trip': -5.6097927, 'Yes': -6.648551, ' No': -6.8918514}
{' Yes': -0.015031478, ' Tri': -5.195274, ' Trip': -5.8809743, 'Yes': -6.314342, ' No': -6.6456103}
{' Yes': -0.18197243, ' No': -2.1845589, ' Dusk': -3.0161014, 'Yes': -5.6728797, ' D': -7.877096}
{' Yes': -0.6118732, ' No': -0.80067974, ' Dusk': -5.5819736, 'Yes': -6.185807, 'No': -6.6026793}
{' Yes': -0.00116071, ' No': -7.269267, 'Yes': -8.037263, ' yes': -10.173153, ' Hello': -10.279541}
{' Yes': -0.0006487193, 'Yes': -8.000122, ' No': -8.6195545, ' Hello': -10.252758, ' yes': -10.450489}
{' No': -0.04381134, ' Yes': -3.1830494, 'No': -6.682788, ' Nope': -9.485357, 'Yes': -10.022038}
{' No': -0.11496024, ' Yes': -2.2792764, ' Nope': -5.6847787, 'No': -6.5191064, ' Lawn': -7.4921136}
{' Yes': -0.0082992045, ' No': -5.099274, ' Hill': -6.577043, 'Yes': -7.4580135, ' yes': -9.3437395}
{' Yes': -0.073947705, ' No': -2.6793096, ' Hill': -6.6233344, 'Yes': -7.2923903, 'No': -8.54185}
{' Yes': -0.0031902608, ' No': -6.3947134, 'Yes': -6.682992, ' Take': -9.977506, ' Nope': -10.216873}
{' Yes': -0.005778149, ' No': -5.6751947, 'Yes': -6.710835, ' Take': -7.46849, ' yes': -8.999365}
{' Yes': -0.018119695, ' No': -4.1079483, 'Yes': -6.778112, ' Part': -9.2029915, ' yes': -9.52756}
{' Yes': -0.021257423, ' No': -4.766843, 'Yes': -5.522051, ' Part': -5.937941, ' Apart': -6.2424407}
{' Yes': -0.32849565, ' No': -1.278569, ' Nope': -7.314953, 'Yes': -7.5227623, 'No': -8.537877}
{' Yes': -0.047134064, ' No': -3.1268075, 'Yes': -6.649394, ' Nope': -8.002868, ' Pick': -8.530805}
{' Yes': -0.0013211282, 'Yes': -6.7601786, ' No': -9.941981, ' yes': -10.2432165, ' YES': -10.539628}
{' Yes': -0.0020608832, ' No': -6.5045977, 'Yes': -7.5857606, ' yes': -10.520767, ' YES': -11.450876}
{' No': -0.011222659, ' Yes': -4.5718513, 'No': -7.408178, ' Nope': -8.573436, 'Yes': -11.669585}
{' No': -0.027697256, ' Yes': -3.8266242, ' Nope': -5.5339704, 'No': -6.6947117, ' Def': -9.423104}
{' Yes': -0.4891671, ' No': -0.9556989, 'Yes': -6.7916403, 'No': -7.4788365, ' Nope': -8.18452}
{' No': -0.23722251, ' Yes': -1.571655, 'No': -6.5395637, ' Nope': -7.095304, 'Yes': -7.50329}
{' Yes': -0.35747847, ' No': -1.209186, 'Yes': -7.1445417, ' Soda': -7.568795, ' Nope': -7.7937613}
{' No': -0.36207247, ' Yes': -1.1958259, 'No': -7.249857, 'Yes': -7.929243, ' Nope': -8.615259}
{' Yes': -0.10603666, ' No': -2.3070483, 'Yes': -7.6659822, ' Nope': -8.170909, ' Gone': -8.724866}
{' No': -0.5693002, ' Yes': -0.8476034, ' Nope': -5.624338, ' Gone': -6.894823, 'No': -8.052472}
{' Yes': -0.004726631, 'Yes': -6.363846, ' No': -6.810485, ' Fire': -7.3003626, ' yes': -7.951116}
{' Yes': -0.0067019863, ' No': -5.388229, 'Yes': -6.8446817, ' Fire': -7.831128, ' Sure': -8.447219}
{' Yes': -0.0012805457, 'Yes': -7.1380696, ' yes': -8.406357, ' YES': -9.325515, ' No': -10.410274}
{' Yes': -0.0012215778, 'Yes': -7.2560487, ' yes': -8.1114235, ' No': -9.750267, ' YES': -9.86743}
{' Yes': -0.007679889, ' No': -4.949116, 'Yes': -7.655934, ' yes': -10.444762, ' Nope': -11.130144}
{' Yes': -0.38659713, ' No': -1.1447912, ' Nope': -6.4191055, 'Yes': -7.7726326, 'No': -9.075457}
{' Yes': -0.04967125, ' Stop': -3.731886, ' No': -3.8935184, 'Yes': -6.2591515, ' Nope': -6.6998134}
{' Yes': -0.1412103, ' No': -2.3967397, ' Stop': -3.5838907, ' Nope': -4.7082705, 'Yes': -6.526837}
{' Yes': -0.010219903, ' No': -4.870007, ' Late': -6.50346, 'Yes': -7.1213403, ' yes': -9.964636}
{' Yes': -0.23929721, ' No': -1.5547307, ' Late': -7.420448, 'Yes': -7.6946387, ' Nope': -8.325482}
{' Yes': -0.054768074, ' No': -2.9538252, 'Yes': -6.9550934, ' yes': -9.534195, 'No': -9.852267}
{' Yes': -0.030130748, ' No': -3.5843565, 'Yes': -6.4889145, ' yes': -9.166767, ' Nope': -9.412289}
{' Yes': -0.007215343, ' No': -5.0099716, 'Yes': -7.707193, ' yes': -10.800517, ' YES': -10.8181715}
{' No': -0.3611399, ' Yes': -1.2048537, ' Nope': -6.299879, ' Wife': -7.5094447, 'No': -7.5958157}
{' Yes': -0.011213316, ' No': -4.6066437, 'Yes': -7.2144217, ' Frog': -8.47041, ' yes': -9.173676}
{' Yes': -0.014813555, ' No': -4.2825212, 'Yes': -7.5165143, ' Frog': -8.832795, ' yes': -9.45304}
{' Yes': -0.0024064085, ' No': -6.575534, 'Yes': -6.9836364, ' yes': -9.792489, ' YES': -11.473663}
{' Yes': -0.4556822, ' No': -1.0104536, 'Yes': -7.4854193, ' Nope': -7.6908383, 'No': -7.8072352}
{' Yes': -0.0401916, ' No': -3.445141, ' Bank': -5.2205863, 'Yes': -6.5139804, ' yes': -8.501395}
{' Yes': -0.10690216, ' No': -2.2976084, 'Yes': -7.2509217, 'No': -9.43893, ' yes': -10.168228}
{' Yes': -0.004753582, 'Yes': -6.244054, ' No': -6.7798448, ' Nest': -7.3160853, ' Test': -8.300777}
{' Yes': -0.048876524, ' No': -3.1115482, 'Yes': -6.426856, ' Test': -7.4417815, ' Nope': -8.251279}
{' Yes': -0.42674667, ' No': -1.0602, 'Yes': -7.497665, 'No': -8.252819, ' Nope': -9.727959}
{' No': -0.5768267, ' Yes': -0.82774025, 'Yes': -7.781674, 'No': -7.85809, ' Nope': -8.17155}
{' Yes': -0.6455763, ' No': -0.7466219, 'Yes': -7.100149, 'No': -7.424861, ' Nope': -8.84641}
{' No': -0.6436763, ' Yes': -0.75993294, ' East': -6.5190496, 'Yes': -6.5199995, 'No': -6.8547616}
{' No': -0.0025390014, ' Yes': -6.370291, 'No': -7.1661325, ' Nope': -10.121586, '\n': -11.755122}
{' No': -0.0039342735, ' Nope': -6.3178434, ' Yes': -6.6058087, 'No': -7.2550817, ' N': -10.581946}
{' No': -0.02450883, ' Yes': -3.7476015, 'No': -7.512294, ' Nope': -10.070059, 'Yes': -10.88491}
{' Yes': -0.7130261, ' No': -0.8720553, ' Draw': -2.5072024, ' Drew': -6.661302, ' D': -6.758041}
{' King': -0.6001338, ' Yes': -0.81996524, 'King': -5.6109653, ' Kings': -5.756213, ' No': -6.4635086}
{' Yes': -0.33248958, ' No': -1.4325395, ' King': -3.2302155, ' Nope': -6.002476, 'Yes': -7.108547}
{' No': -0.08899369, ' Yes': -2.488629, ' Nope': -6.398199, 'No': -8.084347, ' Lose': -9.787352}
{' No': -0.079361126, ' Yes': -2.602745, ' Nope': -6.4845805, 'No': -7.7133136, ' Lose': -9.295877}
{' Yes': -0.011207349, ' No': -4.7389083, ' Nope': -7.128252, ' Sure': -7.381195, 'Yes': -7.514274}
{' Yes': -0.002159617, ' No': -6.331843, 'Yes': -8.069185, ' Sure': -10.24224, ' yes': -12.110382}
{' Yes': -0.00089328847, 'Yes': -7.1779003, ' yes': -9.936574, ' Sick': -10.270047, ' YES': -10.309418}
{' No': -0.34486723, ' Yes': -1.2389389, ' Nope': -7.041438, 'No': -7.477319, 'Yes': -8.006658}
{' Yes': -0.06298616, ' No': -3.2037215, ' Dirt': -3.9827495, 'Yes': -6.706723, ' Dirty': -8.81675}
{' No': -0.062012848, ' Yes': -2.8376455, 'No': -6.796906, ' Nope': -8.671292, ' Dirt': -8.870107}
{' Yes': -0.157197, ' No': -1.9847383, ' Te': -5.672847, ' Nope': -7.1120715, 'Yes': -7.128713}
{' Yes': -0.015499004, ' No': -5.20375, ' Te': -5.2575192, 'Yes': -6.371366, ' yes': -7.945}
{' No': -0.0009934576, 'No': -6.9546638, ' Nope': -10.739362, ' Yes': -11.519021, '\n': -12.233584}
{' No': -0.30759385, ' Yes': -1.3317523, 'No': -8.091815, ' Nope': -8.244018, 'Yes': -8.872226}
{' No': -0.40443388, ' Rain': -1.2544152, ' Yes': -4.066396, ' Train': -4.5318294, 'Rain': -5.04693}
{' No': -0.34986773, ' Rain': -1.4407833, ' Yes': -3.585904, 'Rain': -5.0082088, ' Nope': -5.228192}
{' No': -0.21728359, ' Yes': -1.636084, 'No': -8.0322895, 'Yes': -9.220373, ' Nope': -9.243238}
{' No': -0.22622228, ' Yes': -1.6026509, ' Nope': -7.5186186, 'No': -7.894625, 'Yes': -9.013762}
{' Yes': -0.02024006, ' No': -4.033759, ' Nope': -7.3750253, 'Yes': -7.455409, ' Sure': -7.841605}
{' Yes': -0.50294197, ' No': -0.96425337, ' Nope': -4.3664727, 'Yes': -7.8469863, 'No': -8.399648}
{' No': -0.060322966, ' Yes': -2.8529847, 'No': -7.5694075, ' Nope': -8.251706, 'Yes': -10.199196}
{' No': -0.012884805, ' Yes': -4.402083, 'No': -7.5887494, ' Nope': -10.528456, 'Yes': -11.721098}
{' Yes': -0.46612823, ' No': -0.9895276, ' Nope': -7.8051343, 'Yes': -8.426108, 'No': -8.761238}
{' No': -0.39043322, ' Yes': -1.1396856, ' Nope': -5.9812546, 'No': -7.609572, 'Yes': -8.481404}
{' No': -0.0029574418, ' Yes': -6.1545963, 'No': -7.187117, ' Nope': -9.703132, ' Not': -12.2981205}
{' No': -0.04259816, ' Yes': -3.2281141, 'No': -6.7316847, ' Tail': -7.690753, ' Nope': -8.400851}
{' Yes': -0.016550343, ' No': -4.2100964, 'Yes': -6.9347763, ' Land': -7.9617505, ' yes': -8.9940815}
{' Yes': -0.2742537, ' No': -1.4545324, ' Land': -5.5851893, 'Yes': -6.643705, 'No': -8.080972}
{' Yes': -0.28372967, ' No': -1.4050332, ' Feel': -7.1230216, 'Yes': -8.031303, 'No': -9.043815}
{' No': -0.38073796, ' Yes': -1.1582173, ' Feel': -6.9748855, ' Nope': -7.502223, 'No': -7.9280267}
{' Yes': -0.12317285, ' No': -2.169115, 'Yes': -7.2116785, ' Loud': -8.276641, ' Nope': -8.3606}
{' No': -0.027267786, ' Yes': -3.6789668, 'No': -7.404472, ' Loud': -7.4588914, ' Nope': -7.9366455}
{' Yes': -0.0014791829, 'Yes': -6.920883, ' Sure': -8.594048, ' Star': -8.664295, ' No': -9.967343}
{' Yes': -0.00407054, 'Yes': -6.3897266, ' No': -6.7670646, ' Sure': -7.8272142, ' Star': -7.9309955}
{' Yes': -0.0019022579, 'Yes': -6.527638, ' Card': -8.553511, ' yes': -9.019527, ' No': -10.044315}
{' Yes': -0.0017816329, 'Yes': -6.639677, ' No': -8.582424, ' yes': -8.9508705, ' Card': -10.127338}
{' Yes': -0.23217946, ' Deer': -1.676149, ' No': -4.2058177, ' De': -6.211521, 'Yes': -7.21519}
{' Yes': -0.4689692, ' Deer': -1.0401496, ' No': -4.5147533, ' De': -5.0914783, 'Yes': -7.306689}
{' Yes': -0.035642903, ' No': -3.4832861, ' Look': -6.1344447, 'Yes': -6.736067, ' Nope': -8.036526}
{' Yes': -0.017247716, ' No': -4.161979, 'Yes': -6.853158, ' Nope': -9.164697, ' YES': -9.379048}
{' No': -0.10889831, ' Yes': -2.2895088, ' Nope': -6.604728, 'No': -7.8823085, 'Yes': -9.86135}
{' No': -0.024561483, ' Yes': -3.7593446, ' Nope': -7.5404525, 'No': -7.9742913, ' Gl': -10.159961}
{' No': -0.55510324, ' Yes': -0.85459507, 'No': -8.340456, 'Yes': -8.42259, ' Nope': -10.141365}
{' No': -0.026500348, ' Yes': -3.6641746, 'No': -7.7193975, ' Nope': -10.168813, 'Yes': -10.871315}
{' Yes': -0.007995442, ' No': -4.9582953, 'Yes': -7.1036944, ' Sure': -10.4215145, ' yes': -10.603438}
{' Yes': -0.24313062, ' No': -1.5518541, ' Nope': -6.41033, ' Code': -6.9060655, 'Yes': -7.2191305}
{' Yes': -0.004956564, ' No': -5.458862, 'Yes': -7.6477065, ' Sure': -9.263598, ' Nope': -9.874904}
{' Yes': -0.0056415903, ' Shoes': -5.930522, ' No': -6.66492, 'Yes': -7.026275, ' Sh': -8.116471}
{' No': -0.40787256, ' Exit': -1.7034029, ' Yes': -1.8985265, ' Ex': -6.8814154, 'No': -7.155932}
{' No': -0.07488572, ' Exit': -3.150718, ' Yes': -3.5902586, 'No': -7.1191244, ' Nope': -7.6313453}
{' Yes': -0.06931867, ' No': -2.7517948, ' Lion': -6.312917, 'Yes': -6.934795, 'No': -8.791904}
{' No': -0.27280146, ' Yes': -1.4358319, 'No': -7.4527826, 'Yes': -8.68007, ' Nope': -9.68416}
{' Yes': -0.13601041, ' No': -2.2143013, ' Roof': -4.10135, 'Yes': -7.177457, ' Nope': -8.554867}
{' Roof': -0.15149705, ' No': -2.2244549, ' Yes': -3.522753, ' roof': -6.7438817, ' Ro': -7.563003}
{' Yes': -0.48235416, ' No': -1.4539251, ' Want': -1.9564066, ' Nope': -6.5741677, ' W': -6.823117}
{' No': -0.3649715, ' Yes': -1.4473594, ' Want': -2.8779833, ' Nope': -4.9980326, ' W': -6.0801153}
{' Yes': -0.0040946594, ' No': -5.966327, ' Wind': -7.0837283, 'Yes': -7.482108, ' yes': -9.817334}
{' No': -0.5809293, ' Yes': -0.83191913, ' Wind': -5.7404637, 'No': -7.256368, ' Nope': -7.657281}
{' Yes': -0.0018260019, ' No': -6.964331, 'Yes': -7.4804554, ' Foot': -8.7160015, ' yes': -9.617685}
{' Yes': -0.15155962, ' Foot': -2.0314138, ' No': -5.323606, 'Yes': -6.2058387, ' YES': -7.416618}
{' Yes': -0.42328975, ' No': -1.712299, ' Hate': -1.8835254, ' Nope': -4.952441, ' Hat': -5.9067307}
{' No': -0.3315363, ' Yes': -1.4220837, ' Nope': -3.9668856, ' Hate': -3.9761155, ' Hat': -6.641453}
{' No': -0.004240104, ' Yes': -5.670992, 'No': -7.224401, ' Nope': -9.935011, 'Yes': -12.485051}
{' Yes': -0.09855901, ' No': -2.3781059, 'Yes': -7.2291107, 'No': -9.031969, ' Nope': -9.385685}
{' Yes': -0.011024244, ' No': -4.63639, ' Ring': -7.523439, 'Yes': -7.577825, ' yes': -9.714757}
{' Yes': -0.06412209, ' No': -2.8309047, ' Ring': -6.843776, 'Yes': -7.2533426, ' Gr': -8.120463}
{' Yes': -0.0044381954, ' No': -5.970136, ' Bear': -6.8252273, 'Yes': -7.460357, ' yes': -9.595509}
{' Yes': -0.03249077, ' Bear': -3.7474566, ' No': -5.1984453, 'Yes': -6.830525, ' Bears': -7.5319853}
{' Yes': -0.13459656, ' No': -2.0761497, 'Yes': -8.006832, ' Nope': -9.637569, 'No': -10.022358}
{' No': -0.13694373, ' Yes': -2.0583305, 'No': -8.674204, ' Nope': -9.373091, 'Yes': -10.1520195}
{' Yes': -0.018286131, ' No': -4.082329, 'Yes': -6.8722377, ' yes': -9.145338, ' Nope': -10.595282}
{' Yes': -0.012332502, ' No': -4.5169597, 'Yes': -6.7850237, ' yes': -9.067258, ' YES': -10.365478}
{' No': -0.035945058, ' Yes': -3.5066118, ' Skin': -5.8573523, ' Nope': -6.5003743, 'No': -7.1827703}
{' No': -0.008123786, ' Yes': -5.0753574, 'No': -6.9793, ' Nope': -7.1109505, ' Skin': -9.682537}
{' Yes': -0.2514375, ' No': -1.5408757, ' Nope': -5.339877, 'Yes': -6.537675, ' So': -6.7729135}
{' Yes': -0.15477805, ' No': -2.1799092, ' So': -4.2285595, ' Nope': -4.422114, 'Yes': -6.152159}
{' Yes': -0.0005200772, 'Yes': -7.8134885, ' No': -9.6343355, ' Sure': -10.997575, ' Yep': -11.21729}
{' Yes': -0.013544773, ' No': -4.4224343, 'Yes': -7.2192044, ' Che': -7.996328, ' Yep': -9.561119}
{' Yes': -0.085394196, ' No': -2.5134776, 'Yes': -7.2991886, 'No': -9.465126, ' yes': -9.787102}
{' Yes': -0.026287863, ' No': -3.7075562, 'Yes': -7.0278306, ' Nope': -9.292609, ' yes': -9.434841}
{' Yes': -0.06704694, ' No': -2.7448192, 'Yes': -7.6809454, ' Nope': -9.856178, 'No': -10.350633}
{' No': -0.007829099, ' Yes': -4.983304, ' Nope': -7.423873, 'No': -8.047854, ' None': -11.264167}
{' Yes': -0.24461484, ' Bike': -2.2218792, ' No': -2.6058857, ' Bicycle': -4.1624937, ' B': -4.218709}
{' No': -0.49500492, ' Yes': -1.3184149, ' Bike': -2.2742407, ' B': -5.0408764, ' Nope': -5.069622}
{' No': -0.034158867, ' Yes': -3.490078, ' Nope': -6.072168, 'No': -7.427496, ' Dead': -9.869833}
{' No': -0.059662722, ' Yes': -2.876004, ' Nope': -6.9465566, 'No': -7.692103, 'Yes': -10.124973}
{' Yes': -0.0004164971, 'Yes': -8.039525, ' No': -9.550643, ' yes': -10.901045, ' YES': -12.814376}
{' Yes': -0.5915644, ' Cave': -0.8460907, ' No': -4.340519, 'Yes': -6.726221, ' Wave': -7.2376437}
{' Yes': -0.051048428, ' No': -3.6521873, ' Moon': -3.8820019, 'Yes': -6.3829517, ' Moons': -7.9343}
{' Yes': -0.081005275, ' No': -2.747061, ' Moon': -4.8165646, 'Yes': -6.052525, ' Moons': -7.355667}
{' No': -0.093080096, ' Yes': -2.7370505, ' Nope': -4.2007823, ' Pain': -5.126025, 'No': -6.8313766}
{' No': -0.14714614, ' Yes': -2.0511034, ' Nope': -5.0019665, 'No': -6.910492, 'Yes': -8.791314}
{' No': -0.010018617, ' Yes': -4.6626906, 'No': -7.7369313, ' Nope': -9.525619, 'Yes': -11.474613}
{' No': -0.011249544, ' Yes': -4.81311, ' Nope': -5.99856, 'No': -7.7171917, ' Plus': -9.957809}
{' Yes': -0.105720006, ' No': -2.3405068, ' Area': -6.6314135, 'Yes': -6.7788754, ' Rare': -7.499517}
{' Yes': -0.049642, ' No': -3.1641536, ' Area': -5.7740297, 'Yes': -6.5901628, ' Rare': -7.5347466}
{' Yes': -0.07379048, ' Dive': -2.799956, ' No': -4.833995, 'Yes': -6.475968, ' YES': -8.512356}
{' Dive': -0.68085307, ' Yes': -1.2622454, ' No': -1.681452, ' Divide': -4.906921, ' Diver': -5.486948}
{' Yes': -0.0009827194, 'Yes': -7.616344, ' No': -8.327061, ' Hear': -9.313105, ' Yeah': -9.455315}
{' Yes': -0.0136566125, ' Hear': -4.9865894, ' No': -5.337114, 'Yes': -7.2279506, ' Yeah': -8.185193}
{' Yes': -0.0013057287, 'Yes': -7.5776906, ' Bush': -7.889149, ' No': -7.9115815, ' yes': -10.743567}
{' Yes': -0.02559963, ' Bush': -3.8934755, ' No': -5.823842, 'Yes': -6.7818575, ' Brush': -8.28336}
{' No': -0.18574765, ' Yes': -1.7982488, ' Near': -6.251606, 'No': -6.8385715, ' Nope': -7.516781}
{' No': -0.0788442, ' Yes': -2.5954933, 'No': -7.3780265, ' Nope': -7.836164, ' Near': -9.387273}
{' Yes': -0.36768347, ' No': -1.4303551, ' Mile': -2.7836053, ' Miles': -6.103372, ' M': -6.3818464}
{' Yes': -0.39460498, ' No': -1.1901294, ' Mile': -3.9928582, 'Yes': -7.247089, ' Nope': -7.300672}
{' No': -0.7062494, ' Yes': -0.7291147, ' Navy': -3.992651, ' Nope': -6.326864, 'No': -6.5346932}
{' No': -0.046417356, ' Yes': -3.195839, 'No': -6.1006413, ' Nope': -6.7379856, ' Navy': -7.7007923}
{' No': -0.00874291, ' Nope': -5.5758123, ' Yes': -5.614515, 'No': -6.765354, ' N': -9.969192}
{' No': -0.0008325587, 'No': -7.4428506, ' Nope': -8.720122, ' Yes': -9.756617, ' N': -12.102514}
{' Yes': -0.008939187, ' No': -4.8131022, 'Yes': -7.599878, ' Nope': -9.616636, ' YES': -9.9505205}
{' No': -0.47355923, ' Yes': -0.97967416, ' Nope': -6.775271, 'No': -8.038305, 'Yes': -8.694982}
{' No': -0.0018488711, ' Yes': -6.9747686, 'No': -7.646321, ' Nope': -7.833022, ' Bee': -11.2689905}
{' No': -0.0011574305, ' Yes': -7.4478292, 'No': -7.9708323, ' Nope': -8.449857, ' no': -12.614998}
{' Yes': -0.031776916, ' No': -3.4907572, 'Yes': -7.3169823, ' Milk': -9.669966, 'No': -10.653128}
{' No': -0.05752967, ' Yes': -2.9130669, 'No': -7.009981, ' Milk': -7.6359234, ' Nope': -9.174341}
{' No': -0.6120636, ' Yes': -0.78475684, 'No': -7.4331293, 'Yes': -7.617108, ' Nope': -7.930993}
{' Yes': -0.35018823, ' No': -1.228591, 'Yes': -6.833583, ' Nope': -6.9964933, 'No': -7.5854306}
{' Yes': -0.014132625, ' No': -4.8067484, ' Bird': -5.458337, 'Yes': -6.841496, ' yes': -8.922495}
{' Yes': -0.13182399, ' No': -2.2042727, ' Bird': -4.5023146, 'Yes': -6.893539, 'No': -8.502425}
{' Yes': -0.22732447, ' No': -1.6018553, 'Yes': -7.109944, 'No': -8.552914, ' YES': -8.593819}
{' Yes': -0.10057029, ' No': -2.389221, 'Yes': -6.701423, ' YES': -7.565168, ' Believe': -7.6443305}
{' Yes': -0.02382274, ' No': -3.854675, 'Yes': -7.1624165, ' Need': -7.899608, ' Nope': -7.907866}
{' Yes': -0.35926017, ' No': -1.2318454, ' Need': -5.4857163, ' Nope': -5.766427, 'Yes': -7.2976346}
{' Yes': -0.38584372, ' No': -1.630093, ' Tool': -2.392365, ' Too': -3.7993326, ' Tools': -5.4818516}
{' Yes': -0.7105698, ' No': -1.2306274, ' Tool': -1.9596922, ' Too': -2.729056, ' Tools': -6.3108807}
