{' Yes': -0.008686332, ' No': -5.233551, ' Spider': -6.134765, 'Yes': -7.0355487, ' The': -8.79744}
{' No': -0.10914791, ' Yes': -2.3981724, 'No': -5.044563, ' Unfortunately': -5.586284, '\n': -6.835766}
{' No': -0.22254676, ' Yes': -1.6325734, 'No': -5.8801928, 'Yes': -7.426942, ' Unfortunately': -8.316726}
{' No': -0.007854137, 'No': -5.548446, ' Yes': -5.6965365, ' Dis': -8.024114, '\n': -9.248895}
{' No': -0.04280251, ' Yes': -3.232757, 'No': -6.5062118, '\n': -7.845311, ' ': -8.458886}
{' No': -0.11048347, ' Yes': -2.2694266, 'No': -7.330301, ' Divide': -8.458952, 'Yes': -8.9093275}
{' Yes': -0.27281147, ' No': -1.4569088, 'Yes': -5.9777136, ' The': -6.666932, 'No': -7.322721}
{' Yes': -0.023462724, ' No': -3.8674412, 'Yes': -6.450294, ' The': -8.621236, ' ': -8.665426}
{' Yes': -0.051983, ' No': -3.387165, ' Hammer': -4.3095627, 'Yes': -6.245775, ' ': -7.476011}
{' No': -0.02916613, ' Yes': -3.6179, 'No': -6.779, ' The': -7.9110265, '\n': -9.284364}
{' Yes': -0.065960474, ' No': -2.8218522, ' The': -6.2546635, 'Yes': -6.40226, ' yes': -8.008724}
{' No': -0.049277127, ' Yes': -3.160769, 'No': -5.593609, ' The': -6.664309, 'Yes': -8.447538}
{' No': -0.36131245, ' Yes': -1.2430452, 'No': -5.309665, ' The': -5.67553, 'Yes': -6.20562}
{' No': -0.3374266, ' Yes': -1.3609765, ' Ex': -3.598739, 'No': -7.0427327, ' The': -7.169492}
{' No': -0.012853049, ' Yes': -4.5196466, 'No': -6.5451818, ' ': -8.856777, '\n': -9.317842}
{' No': -0.689764, ' Yes': -0.71082866, ' Dollar': -5.5430965, 'No': -6.8072796, 'Yes': -7.395914}
{' Yes': -0.23207472, ' No': -1.5922108, 'Yes': -6.3569555, ' The': -7.176198, 'No': -7.5053177}
{' No': -0.52140695, ' Planet': -1.0027702, ' Yes': -3.341668, 'No': -6.1422753, 'Planet': -7.3167195}
{' No': -0.08044933, ' Yes': -2.6005356, 'No': -6.050769, 'Yes': -8.3055315, '\n': -8.580371}
{' Yes': -0.2872241, ' No': -1.4089513, 'Yes': -5.776085, 'No': -6.979227, ' ': -7.3450255}
{' Yes': -0.008472611, ' No': -4.940052, 'Yes': -6.8898945, ' yes': -8.934259, ' ': -9.660003}
{' Yes': -0.006382808, 'Yes': -5.640799, ' No': -6.1695485, ' Pres': -7.9193654, '\n': -8.986713}
{' No': -0.10027294, ' Yes': -2.420904, 'No': -5.258226, 'Yes': -7.217117, '\n': -8.077375}
{' No': -0.02981242, ' Yes': -3.66499, 'No': -6.446791, ' Circus': -7.1200128, ' Circ': -7.4385095}
{' No': -0.09528329, ' Yes': -2.6437871, ' Circ': -4.5539203, ' Circus': -5.9755363, ' Cir': -6.036302}
{' No': -0.13317521, ' Yes': -2.1382697, 'No': -5.526552, 'Yes': -7.386141, ' Not': -7.4986267}
{' Yes': -0.30174935, ' No': -1.3684436, 'Yes': -5.765174, 'No': -6.673457, '\n': -7.42566}
{' No': -0.13667153, ' Yes': -2.0765615, 'No': -6.315674, 'Yes': -8.593439, ' ': -9.034252}
{' Yes': -0.4155721, ' No': -1.0872641, 'No': -6.748484, 'Yes': -6.822116, ' Finger': -8.574497}
{' Yes': -0.6635873, ' No': -0.7593171, ' The': -4.770775, 'Yes': -5.9628654, 'No': -6.7081466}
{' No': -0.5180024, ' Yes': -0.9288548, ' The': -5.517142, 'Yes': -6.6011815, 'No': -7.0115094}
{' Yes': -0.6372863, ' No': -0.7577984, 'Yes': -6.9059076, 'No': -7.0855646, ' Possibly': -8.5593405}
{' Yes': -0.010761281, ' No': -4.972307, 'Yes': -6.0452003, ' The': -6.931501, ' yes': -9.301499}
{' No': -0.01632591, ' Yes': -4.6169686, 'No': -5.12506, ' The': -9.096106, ' ': -9.58124}
{' Yes': -0.1913881, ' No': -1.7847109, 'Yes': -5.6371064, ' The': -6.492551, 'No': -7.47249}
{' Yes': -0.013075801, ' No': -4.923861, 'Yes': -5.418578, ' yes': -7.674563, ' Sc': -7.7265325}
{' Yes': -0.04846776, ' No': -3.1460001, 'Yes': -5.7178493, ' yes': -8.305029, ' ': -8.741738}
{' No': -0.08588192, ' Yes': -2.526636, 'No': -6.2632995, 'Yes': -8.774861, ' The': -9.2064}
{' No': -0.013853795, ' Yes': -4.7011895, 'No': -5.447411, ' ': -8.520462, '\n': -9.690084}
{' Yes': -0.56797, ' No': -0.8490864, 'No': -6.352485, 'Yes': -6.402469, ' Unfortunately': -7.0685115}
{' No': -0.047023974, ' Yes': -3.1660748, 'No': -5.868416, ' The': -8.312981, 'Yes': -8.562819}
{' No': -0.2841547, ' Yes': -1.4086589, 'No': -6.3383956, 'Yes': -7.5768676, ' The': -8.202205}
{' No': -0.031462755, ' Yes': -3.568517, 'No': -6.012698, 'Yes': -9.383214, ' ': -9.712953}
{' Yes': -0.13481534, ' No': -2.0808773, 'Yes': -7.052187, 'No': -8.888002, ' ': -9.698402}
{' No': -0.11876879, ' Yes': -2.2196655, 'No': -6.057848, 'Yes': -8.038578, ' The': -8.35985}
{' Yes': -0.117802106, ' No': -2.2307417, 'Yes': -6.0023923, 'No': -7.738337, ' The': -8.406435}
{' No': -0.12690759, ' Yes': -2.151411, 'No': -6.2389145, ' The': -8.040836, 'Yes': -8.16737}
{' No': -0.02571607, ' Yes': -3.8262112, 'No': -5.8605165, ' The': -8.404588, ' ': -9.023215}
{' No': -0.13713883, ' Yes': -2.0839696, 'No': -5.8860626, 'Yes': -7.9387364, ' ': -8.506744}
{' Yes': -0.25094944, ' No': -1.5824238, ' Repeat': -4.1986976, 'Yes': -7.49554, 'No': -8.675598}
{' Yes': -0.07229759, ' No': -2.682302, 'Yes': -7.205381, ' The': -8.213928, ' yes': -9.087088}
{' Yes': -0.0030663111, ' No': -6.1404805, 'Yes': -7.3686852, ' The': -9.013166, ' yes': -9.42023}
{' Yes': -0.015472247, ' No': -4.2967854, 'Yes': -6.844129, ' The': -8.152119, ' ': -8.742929}
{' Yes': -0.001172048, ' No': -7.40397, 'Yes': -7.653867, ' yes': -10.174296, ' The': -11.097928}
{' Yes': -0.07731859, ' Candle': -3.02191, ' No': -3.9231324, ' Cand': -5.8270335, 'Yes': -6.57078}
{' Yes': -0.6055483, ' No': -0.7981505, ' The': -6.742211, 'No': -6.9557915, 'Yes': -7.0513}
{' No': -0.6819367, ' Yes': -0.7097363, ' The': -7.0892797, 'No': -7.7146072, 'Yes': -7.7892494}
{' Yes': -0.08290768, ' No': -3.051463, ' Beach': -3.9722278, ' Bleach': -5.1916533, ' Ble': -5.810086}
{' Yes': -0.01722067, ' No': -4.309418, 'Yes': -6.0719023, ' Beach': -7.6266603, ' yes': -8.043042}
{' Yes': -0.11611128, ' No': -2.2355492, 'Yes': -6.5410056, ' The': -7.8299627, 'No': -8.089387}
{' Yes': -0.0051737307, ' No': -5.461972, 'Yes': -7.487702, ' The': -8.876058, ' yes': -9.017732}
{' No': -0.0057340865, ' Yes': -5.361071, 'No': -7.0035157, ' ': -10.147614, ' Unfortunately': -10.543711}
{' No': -0.1589527, ' Yes': -1.9649448, 'No': -6.152993, ' The': -6.57731, '\n': -6.602142}
{' No': -0.15280111, ' Yes': -1.965587, 'No': -6.8026266, ' The': -8.369796, 'Yes': -8.760119}
{' No': -0.009926207, ' Yes': -4.938151, 'No': -5.9614244, ' ': -10.353535, 'Yes': -10.822236}
{' Yes': -0.00087037886, 'Yes': -7.3668385, ' No': -8.864328, ' ': -9.782913, ' yes': -10.678326}
{' Yes': -0.022202132, ' No': -3.8690493, 'Yes': -7.189562, ' ': -9.012621, ' yes': -9.587433}
{' No': -0.01476268, ' Yes': -4.7338176, 'No': -5.1757236, ' ': -9.461431, 'Yes': -9.978377}
{' Yes': -0.0637916, ' No': -2.823521, 'Yes': -6.68154, '\n': -7.608612, ' yes': -8.268785}
{' No': -0.0026132204, 'No': -6.277988, ' Yes': -7.4470863, ' ': -9.348204, '\n': -10.074141}
{' No': -0.0060977335, 'No': -5.2887874, ' Yes': -7.1915965, ' ': -8.485471, '\n': -10.920694}
{' No': -0.16593915, ' Yes': -1.8952273, 'No': -6.4934187, ' ': -7.813415, ' The': -8.246266}
{' No': -0.1265475, ' Yes': -2.1464393, 'No': -6.7040567, ' The': -8.423462, ' ': -8.529424}
{' Yes': -0.0016933256, 'Yes': -6.5075464, ' No': -9.49936, ' yes': -10.059758, ' Mother': -10.19877}
{' Yes': -0.0025419882, 'Yes': -6.214467, ' No': -8.482442, ' yes': -8.951003, ' ': -9.225987}
{' No': -0.24555777, ' Yes': -1.5401173, 'No': -6.31759, ' The': -7.5447726, 'Yes': -7.6078143}
{' Yes': -0.6495206, ' No': -1.0854241, ' Pepper': -2.4975164, ' Pe': -3.4235473, ' Paper': -4.8560576}
{' Yes': -0.0031703499, ' No': -6.327244, 'Yes': -6.7590904, ' ': -9.522969, ' The': -9.6423435}
{' Yes': -0.017947339, ' No': -4.172261, 'Yes': -6.440633, ' The': -7.671397, ' ': -9.096499}
{' No': -0.6174072, ' Yes': -0.7993416, 'No': -5.6395416, ' ': -5.7125854, 'Yes': -6.1572895}
{' No': -0.18870899, ' Yes': -1.8430611, 'No': -4.971826, ' Nope': -5.79977, 'Yes': -6.694756}
{' No': -0.46977967, ' Yes': -0.9847295, 'No': -7.29388, 'Yes': -7.7470064, ' ': -9.338471}
{' No': -0.30035213, ' Yes': -1.357277, 'No': -6.822691, 'Yes': -7.8966613, ' ': -8.181136}
{' Yes': -0.0053716493, ' No': -5.4767766, 'Yes': -6.8752666, ' ': -9.697846, ' yes': -10.306344}
{' Yes': -0.0036731064, ' No': -5.9129953, 'Yes': -7.167468, ' ': -9.3442335, '\n': -9.904107}
{' Yes': -0.104850434, ' No': -2.3298984, 'Yes': -6.306438, ' The': -9.07514, 'No': -9.129709}
{' Yes': -0.14292856, ' No': -2.0428174, 'Yes': -5.7781816, 'No': -8.401563, ' yes': -9.527215}
{' No': -0.00420485, 'No': -5.811417, ' Yes': -6.829835, ' ': -9.733392, '\n': -10.769389}
{' Yes': -0.53424704, ' No': -0.89211136, 'Yes': -6.6985283, 'No': -6.868665, ' Ending': -7.366884}
{' Yes': -0.17217086, ' No': -1.858349, 'Yes': -6.772947, ' The': -8.257972, 'No': -8.347918}
{' Yes': -0.2055297, ' Energy': -2.2128005, ' No': -2.6236644, 'Yes': -6.588737, ' energy': -7.430692}
{' Yes': -0.015510503, ' No': -4.341614, 'Yes': -6.300189, ' Father': -8.125081, ' ': -9.494604}
{' Yes': -0.33144796, ' No': -1.2699246, 'Yes': -7.294689, 'No': -7.9747524, ' ': -9.098955}
{' Yes': -0.27712357, ' No': -1.4255801, ' The': -7.3905554, 'Yes': -7.6550355, 'No': -8.683623}
{' No': -0.0072989166, ' Yes': -5.545446, 'No': -6.247054, ' Pen': -6.827161, ' Nope': -9.6731}
{' Yes': -0.03444946, ' No': -3.432347, 'Yes': -6.9697175, ' The': -8.382416, ' ': -9.159957}
{' No': -0.012075287, 'No': -5.075176, ' Yes': -5.565618, ' ': -7.121534, '\n': -7.38221}
{' Yes': -0.001254822, 'Yes': -6.7670608, '\n': -10.031111, ' yes': -11.027573, ' ': -11.115068}
{' Yes': -0.00081370876, 'Yes': -7.809049, ' No': -7.9153185, ' yes': -10.649059, ' ': -11.944926}
{' Yes': -0.022435753, ' No': -3.8889954, 'Yes': -6.6142707, ' The': -8.73553, ' yes': -9.553265}
{' Yes': -0.009344609, ' No': -5.358687, ' Seller': -6.014693, 'Yes': -6.4218483, ' yes': -8.379181}
{' Yes': -0.27510116, ' No': -1.5359691, ' Bl': -3.786606, ' ': -6.767819, 'Yes': -7.1351776}
{' Yes': -0.5944388, ' No': -0.85196906, ' Bl': -4.30629, 'Yes': -6.2366977, ' yes': -6.4142456}
{' Yes': -0.18163764, ' No': -1.8034732, 'Yes': -7.1713924, 'No': -8.308295, ' The': -8.77672}
{' Yes': -0.01389894, ' No': -4.4779506, 'Yes': -6.5640087, ' ': -7.55273, ' B': -8.723699}
{' Yes': -0.228006, ' No': -1.5953633, 'Yes': -7.2017584, 'No': -8.490666, ' ': -10.4675045}
{' No': -0.26658094, ' Yes': -1.4615023, 'No': -6.9096794, ' The': -7.5063214, 'Yes': -8.002346}
{' Yes': -0.0012535079, 'Yes': -6.9456544, ' No': -8.784327, ' ': -10.075251, ' The': -10.104271}
{' Yes': -0.00513401, ' No': -5.566996, 'Yes': -6.740224, ' yes': -9.776141, ' ': -10.462747}
{' Yes': -0.0017378073, 'Yes': -6.4656386, ' No': -9.425883, ' yes': -10.139914, ' ': -10.544733}
{' Yes': -0.17860107, ' No': -1.8273343, 'Yes': -6.3334126, 'No': -7.748482, ' ': -8.127978}
{' No': -0.031805832, ' Yes': -3.5208573, 'No': -6.5686154, ' The': -8.690208, 'Yes': -9.811458}
{' No': -0.03497684, ' Yes': -3.4804647, 'No': -5.885549, ' The': -8.052914, ' ': -8.630699}
{' Yes': -0.1867198, ' No': -1.7906893, 'Yes': -6.317573, '\n': -7.4912887, ' The': -7.725927}
{' Yes': -0.16830264, ' No': -2.3976421, ' Stars': -3.2500267, 'Yes': -4.320608, ' St': -5.370802}
{' Yes': -0.00462369, ' No': -6.118585, 'Yes': -6.492981, ' The': -7.942074, ' Doctor': -8.447231}
{' Yes': -0.19636367, ' No': -1.7557147, ' Doctor': -5.553804, 'Yes': -7.0756016, 'No': -8.286966}
{' No': -0.0038201073, 'No': -6.0889225, ' Yes': -6.5189037, ' ': -10.446336, '\n': -11.527826}
{' No': -0.1150277, ' Yes': -2.2462726, 'No': -6.3253417, 'Yes': -8.099127, ' The': -8.275772}
{' No': -0.12739034, ' Yes': -2.1397822, 'No': -7.25462, ' ': -7.459124, ' The': -8.3139715}
{' No': -0.027044667, ' Yes': -3.756579, 'No': -5.865063, ' ': -8.843077, ' The': -8.916288}
{' No': -0.41379285, ' Yes': -1.096885, ' Bucket': -6.4719567, 'No': -6.620356, 'Yes': -7.2663846}
{' No': -0.45287672, ' Yes': -1.0215662, ' The': -6.3682394, 'No': -7.498368, ' ': -7.58018}
{' Yes': -0.14497684, ' No': -2.1936772, ' States': -4.4651384, 'Yes': -4.863187, ' The': -6.195652}
{' No': -0.3176021, ' Yes': -1.3110981, 'No': -6.8268676, 'Yes': -6.9815574, ' The': -8.403607}
{' Yes': -0.0135948, ' No': -4.3840303, 'Yes': -7.0030694, ' ': -9.803937, ' The': -10.558122}
{' Yes': -0.014566046, ' No': -4.396131, 'Yes': -6.3239703, ' The': -8.641332, ' ': -9.681731}
{' No': -0.015702603, ' Yes': -4.6355085, ' Ex': -5.3574996, 'No': -7.0232973, ' ': -9.074052}
{' No': -0.29110906, ' Yes': -1.4173107, 'No': -5.521296, 'Yes': -6.7092013, ' The': -6.870996}
{' Yes': -0.02740941, ' No': -4.0167985, ' Loving': -5.525466, 'Yes': -5.7667894, ' ': -7.1746163}
{' Yes': -0.46538696, ' No': -0.99769163, 'Yes': -7.0586195, ' The': -7.119599, ' ': -7.3287606}
{' No': -0.0927471, ' Yes': -2.4358943, 'No': -7.3795395, ' ': -8.201996, 'Yes': -9.4701}
{' No': -0.041989107, ' Yes': -3.2587361, 'No': -6.448357, ' The': -7.3734503, ' ': -8.267924}
{' Yes': -0.16471577, ' No': -1.9363985, ' ': -5.5894914, 'Yes': -6.2614017, ' Butter': -6.925122}
{' Yes': -0.015068749, ' No': -4.371777, 'Yes': -6.3900533, ' Butter': -8.281425, ' yes': -9.0554905}
{' Yes': -0.5831935, ' No': -0.8203303, 'Yes': -7.2345567, 'No': -7.3211174, ' ': -8.764421}
{' Yes': -0.007452513, ' No': -5.0735683, 'Yes': -7.081428, ' ': -8.72443, ' yes': -9.520851}
{' No': -0.032820664, ' Yes': -3.4898918, 'No': -6.6909075, ' The': -7.9156575, ' ': -9.630063}
{' No': -0.08296376, ' Yes': -2.57324, 'No': -6.3586893, ' The': -7.0193686, 'Yes': -8.667592}
{' Yes': -0.24826904, ' No': -1.7119721, ' She': -3.580935, 'Yes': -4.9896894, ' Sheet': -6.644691}
{' Yes': -0.34172162, ' No': -1.2496215, 'Yes': -6.265521, 'No': -7.6883516, '\n': -8.862855}
{' Yes': -0.1286134, ' No': -2.1360328, 'Yes': -6.31943, 'No': -8.053549, ' ': -8.780176}
{' Yes': -0.13913704, ' No': -2.0600622, 'Yes': -6.55212, ' The': -7.800928, 'No': -8.465593}
{' No': -0.44421902, ' Yes': -1.028461, 'No': -7.335477, 'Yes': -7.950433, ' ': -10.251584}
{' Yes': -0.06563289, ' No': -2.7862082, 'Yes': -6.5931683, ' The': -9.012592, ' yes': -9.12591}
{' No': -0.38348877, ' Yes': -1.1496804, 'No': -7.3418493, ' The': -7.9273267, ' ': -8.02662}
{' No': -0.025963664, ' Yes': -3.7709527, ' Minute': -6.4652586, 'No': -7.25265, ' ': -8.45524}
{' No': -0.46649057, ' Yes': -0.9927585, 'No': -6.675715, 'Yes': -7.302122, ' ': -8.705385}
{' Yes': -0.5300304, ' No': -0.89382476, 'Yes': -7.0463443, 'No': -7.512246, ' Car': -7.5964227}
{' Yes': -0.058320988, ' No': -2.9514368, ' The': -6.098779, 'Yes': -7.005185, ' yes': -7.1343107}
{' Yes': -0.18548068, ' No': -1.7874761, 'Yes': -6.952587, ' ': -8.154718, ' The': -8.303406}
{' Yes': -0.68665034, ' No': -0.7032481, 'No': -7.1329618, 'Yes': -7.3910723, ' ': -8.613121}
{' No': -0.0065636234, 'No': -5.574404, ' Yes': -5.984644, ' Not': -9.124109, ' ': -9.945925}
{' No': -0.003363862, ' Yes': -6.055312, 'No': -7.070954, ' The': -9.551453, ' ': -9.887454}
{' No': -0.032036718, ' Yes': -3.502583, 'No': -6.8795958, '\n': -9.389863, ' ': -9.548781}
{' Yes': -0.0010266341, 'Yes': -7.6165166, ' No': -7.89733, ' The': -9.490076, ' yes': -10.103944}
{' Yes': -0.013844063, ' No': -4.451863, 'Yes': -6.612469, ' The': -7.805741, ' yes': -9.042137}
{' Yes': -0.0029036424, 'Yes': -6.6259236, ' France': -7.254553, ' No': -7.3774343, ' ': -9.11537}
{' Yes': -0.0031485837, ' No': -6.127273, 'Yes': -7.1728506, ' The': -9.628631, ' yes': -9.755706}
{' No': -0.2777897, ' Yes': -1.4205718, 'No': -7.719133, 'Yes': -8.668189, ' ': -8.99439}
{' Yes': -0.37642667, ' No': -1.2809868, ' Muscle': -3.821203, ' Mus': -5.2168407, 'Yes': -5.908787}
{' Yes': -0.13014361, ' No': -2.2761817, ' Empire': -4.383163, ' The': -5.8500223, ' Emperor': -6.235595}
{' Empire': -0.35041606, ' Yes': -1.9945562, ' No': -2.2793577, ' Emperor': -3.1824338, ' Em': -4.677583}
{' No': -0.011461448, ' Yes': -4.6171665, 'No': -6.564159, ' ': -9.724571, 'Yes': -11.016601}
{' No': -0.0044080205, 'No': -5.491146, ' Yes': -8.524487, ' ': -10.136639, '\n': -10.397493}
{' Yes': -0.06163742, ' No': -2.8607955, 'Yes': -6.772235, ' Hunger': -6.955241, ' ': -8.536014}
{' Yes': -0.042729907, ' No': -3.2016673, 'Yes': -7.183142, ' The': -9.161351, ' yes': -9.424209}
{' Yes': -0.044267297, ' No': -3.164247, 'Yes': -7.2422748, ' ': -8.881724, ' The': -9.828109}
{' No': -0.38024622, ' Yes': -1.3408424, '\n': -3.0263355, ' ': -6.1327763, 'No': -6.2776995}
{' Yes': -0.1320748, ' No': -2.1074147, 'Yes': -6.7863464, ' The': -7.729094, ' yes': -8.609863}
{' No': -0.6067677, ' Yes': -0.7917786, 'No': -7.0263133, 'Yes': -7.3078194, ' The': -9.201381}
{' No': -0.007871739, ' Yes': -4.9892197, 'No': -6.9908104, ' ': -9.781849, ' The': -10.825405}
{' Yes': -0.036681138, ' No': -3.3717735, 'Yes': -6.732571, ' ': -8.617664, ' yes': -9.2538805}
{' Yes': -0.2271735, ' No': -1.6045634, 'Yes': -6.9193597, ' The': -7.3522797, 'No': -8.390015}
{' Yes': -0.109491974, ' No': -2.2792077, 'Yes': -7.046854, ' The': -8.648489, 'No': -9.133436}
{' Yes': -0.5416535, ' No': -0.88346946, ' The': -6.46057, 'Yes': -6.7813, '\n': -7.184781}
{' Yes': -0.37027398, ' No': -1.2054905, 'Yes': -5.6695137, ' ': -6.157901, ' Office': -6.6725683}
{' Yes': -0.61308277, ' No': -0.78504753, 'Yes': -7.127137, 'No': -7.4788795, ' ': -8.067646}
{' No': -0.15677732, ' Yes': -2.0607612, ' It': -5.23252, '\n': -5.6886244, ' ': -5.731742}
{' No': -0.27770552, ' Yes': -1.4245313, 'No': -7.1767497, 'Yes': -8.073554, ' ': -8.0801115}
{' No': -0.19751999, ' Yes': -1.7387758, ' The': -6.7793946, 'No': -6.87493, ' ': -7.266754}
{' No': -0.067000665, ' Yes': -2.8951142, 'No': -5.941523, ' Issue': -6.732072, ' The': -6.8109674}
{' Yes': -0.37175533, ' No': -1.1757274, 'Yes': -6.9385753, ' ': -8.167429, 'No': -8.236505}
{' Yes': -0.0811074, ' No': -2.5708783, 'Yes': -7.0987635, ' The': -8.290977, ' ': -9.1078615}
{' Yes': -0.61754954, ' No': -0.7806736, 'Yes': -7.1204596, 'No': -7.1385546, ' ': -7.6987333}
{' No': -0.03811265, ' Yes': -3.3155537, 'No': -7.1130204, 'Yes': -9.122152, ' The': -9.670908}
{' No': -0.10013017, ' Yes': -2.3734152, 'No': -6.513813, 'Yes': -7.9005027, ' ': -8.9250965}
{' No': -0.5243847, ' Yes': -0.90240216, 'Yes': -6.8108664, 'No': -7.187201, ' The': -7.874379}
{' No': -0.21968977, ' Yes': -1.6394762, 'No': -6.8118505, ' Sne': -7.01731, 'Yes': -7.3048353}
{' No': -0.017658101, ' Yes': -4.493772, 'No': -5.1970615, ' ': -7.7420497, ' Not': -9.014244}
{' Yes': -0.02118071, ' No': -3.9764705, 'Yes': -6.485706, ' The': -8.506486, ' ': -8.661626}
{' Yes': -0.039597552, ' No': -3.2786722, 'Yes': -7.338961, ' ': -8.428884, ' Purple': -8.557149}
{' Yes': -0.5107195, ' No': -0.9210417, 'Yes': -7.5393844, 'No': -7.830645, ' ': -7.8562527}
{' Yes': -0.0068384483, ' No': -5.359343, 'Yes': -6.736078, ' Animal': -7.8403344, ' The': -8.585995}
{' Yes': -0.039711908, ' No': -3.3711765, 'Yes': -5.91824, ' Animal': -7.0915365, ' The': -7.7189894}
{' Yes': -0.004638242, ' The': -6.48656, ' No': -6.6891704, 'Yes': -6.698077, ' yes': -7.7548246}
{' Yes': -0.004231185, 'Yes': -6.1916733, ' No': -6.409872, ' yes': -7.97081, ' The': -9.640953}
{' Yes': -0.49637416, ' No': -0.9429666, 'No': -7.0314364, 'Yes': -7.315866, ' ': -8.834097}
{' Yes': -0.013842735, ' No': -4.395409, 'Yes': -6.7225556, ' yes': -9.476306, ' ': -9.480791}
{' Yes': -0.114198446, ' No': -2.243135, 'Yes': -6.8523436, ' ': -8.577238, ' The': -8.625651}
{' Yes': -0.0018261202, 'Yes': -6.6922855, ' No': -8.608908, ' ': -8.8333025, ' YES': -9.362701}
{' No': -0.06447194, ' Yes': -2.9070525, 'No': -5.4036098, ' Unfortunately': -6.187536, '\n': -7.6293178}
{' Yes': -0.5514816, ' No': -0.8653798, 'Yes': -6.5416484, 'No': -6.6299095, ' yes': -9.7449255}
{' No': -0.005398554, 'No': -5.812662, ' Yes': -6.376236, ' Dis': -8.133841, ' ': -8.622122}
{' No': -0.07424746, ' Yes': -2.6561525, 'No': -7.3002887, ' ': -7.9248977, '\n': -9.198167}
{' Yes': -0.17961562, ' No': -1.8135381, 'Yes': -7.407032, ' Divide': -8.417028, ' yes': -8.748686}
{' Yes': -0.011557495, ' No': -4.7454557, 'Yes': -6.1442895, ' yes': -8.63136, ' ': -8.677449}
{' Yes': -0.017421044, ' No': -4.138749, 'Yes': -7.0272093, ' yes': -8.706416, ' ': -9.165828}
{' Yes': -0.034064632, ' Hammer': -3.6226914, ' No': -5.613782, 'Yes': -6.3127985, ' ': -7.3131022}
{' No': -0.19092777, ' Yes': -1.7611905, 'No': -7.0031276, ' The': -7.8317223, 'Yes': -8.448262}
{' Yes': -0.0186865, ' No': -4.089264, 'Yes': -7.0462184, ' The': -7.791624, ' yes': -7.958311}
{' No': -0.081262164, ' Yes': -2.5838141, 'No': -6.30803, ' The': -8.0093565, 'Yes': -8.735112}
{' Yes': -0.24017435, ' No': -1.7638865, ' The': -4.2294083, ' Mount': -4.4697976, 'Yes': -5.2712517}
{' No': -0.24005446, ' Yes': -1.553161, 'No': -7.5022154, ' The': -7.608245, ' Ex': -7.8229227}
{' No': -0.05863323, ' Yes': -2.8929057, 'No': -6.827809, ' ': -8.659492, ' The': -9.12534}
{' Yes': -0.08581464, ' No': -2.6900587, ' Dollar': -4.4869947, 'Yes': -7.066983, ' ': -7.3456707}
{' Yes': -0.09085382, ' No': -2.4736187, 'Yes': -6.615506, ' The': -7.951947, ' ': -8.030517}
{' No': -0.40393555, ' Planet': -1.1664573, ' Yes': -4.050496, 'No': -6.316157, 'Planet': -7.5633388}
{' No': -0.1404081, ' Yes': -2.0578563, 'No': -6.094206, 'Yes': -7.741511, '\n': -8.626346}
{' Yes': -0.04287244, ' No': -3.2476795, 'Yes': -5.9675717, ' ': -8.455921, 'No': -9.069821}
{' Yes': -0.0025828616, ' No': -6.443638, 'Yes': -7.2562866, ' yes': -8.878799, ' ': -9.33498}
{' Yes': -0.056077737, ' No': -2.9814277, 'Yes': -5.774439, ' ': -8.564126, 'No': -8.770116}
{' No': -0.3047993, ' Yes': -1.3607455, 'No': -5.608932, 'Yes': -6.328404, ' The': -8.357697}
{' No': -0.026175216, ' Yes': -4.215401, ' Circus': -5.1623273, ' Circ': -5.936021, 'No': -6.472382}
{' No': -0.062012594, ' Yes': -2.8955126, ' Circ': -5.8716726, 'No': -7.131955, ' Circus': -7.7880354}
{' No': -0.46768847, ' Yes': -0.9959095, 'No': -6.403, 'Yes': -6.795956, ' Not': -7.9504642}
{' Yes': -0.09725883, ' No': -2.4170964, 'Yes': -6.0325804, 'No': -8.143857, '\n': -8.309766}
{' Yes': -0.44761884, ' No': -1.0218605, 'Yes': -7.961027, 'No': -8.020702, ' ': -9.332403}
{' No': -0.51583105, ' Yes': -0.92630035, ' Finger': -5.590992, 'No': -6.3007755, 'Yes': -7.402998}
{' Yes': -0.04192552, ' No': -3.4525414, ' The': -5.5582995, 'Yes': -5.624561, '\n': -6.922656}
{' Yes': -0.67595726, ' No': -0.7276082, ' The': -5.60936, 'Yes': -6.4108605, ' ': -7.2510433}
{' Yes': -0.14277571, ' No': -2.0274384, 'Yes': -6.896874, 'No': -8.961768, ' ': -9.614055}
{' Yes': -0.0063564745, ' The': -6.0794683, ' No': -6.1078157, 'Yes': -6.5679054, ' yes': -8.908789}
{' No': -0.05408306, ' Yes': -3.0543652, 'No': -5.3104987, ' ': -8.569168, 'Yes': -8.878351}
{' Yes': -0.44730675, ' No': -1.0300152, 'Yes': -6.4055715, 'No': -7.1296983, ' The': -7.6267533}
{' Yes': -0.051314928, ' No': -3.0892994, 'Yes': -5.679593, ' Sc': -8.253035, ' yes': -8.336923}
{' Yes': -0.024023397, ' No': -3.8180523, 'Yes': -6.5641294, ' ': -9.172365, ' yes': -9.333323}
{' No': -0.3854753, ' Yes': -1.1471559, 'No': -6.734075, 'Yes': -7.5284767, ' ': -8.234013}
{' No': -0.15402344, ' Yes': -1.9812005, 'No': -5.865313, ' ': -6.675277, 'Yes': -7.431445}
