{' Up': -0.80227643, ' Down': -1.2832868, ' down': -1.5959585, ' up': -2.6505296, ' "': -7.713283}
{' Down': -0.014399984, ' down': -4.3642726, 'Down': -6.685391, 'down': -8.248204, ' DOWN': -10.376174}
{' Down': -0.020095069, ' down': -4.464549, ' Up': -4.8323073, 'Down': -8.189748, 'down': -9.590018}
{' Down': -0.023545591, ' down': -3.873418, ' Up': -6.2371745, 'Down': -7.9272285, 'down': -8.997281}
{' Up': -0.005625108, ' Down': -5.8160076, ' up': -6.0038238, 'Up': -9.70113, ' UP': -9.804016}
{' Down': -0.007909825, ' down': -4.8710136, 'Down': -8.8067875, 'down': -9.986294, ' "': -11.4014225}
{' Down': -0.027658649, ' down': -4.0443516, 'Down': -4.9604874, ' Up': -6.1453304, 'down': -7.6700473}
{' Down': -0.020524936, ' down': -4.503591, 'Down': -5.027836, ' Up': -6.138141, 'down': -7.7459726}
{' Up': -0.013656249, ' up': -4.5915217, 'Up': -6.125863, ' Down': -7.0562887, 'up': -8.613495}
{' Down': -0.07459258, ' down': -2.7548676, 'Down': -5.0333385, 'down': -6.396459, ' DOWN': -10.315155}
{' Down': -0.63252616, ' down': -1.4349533, ' Up': -1.6114079, ' up': -3.507919, 'Down': -7.791204}
{' down': -0.48276713, ' Down': -0.9649926, 'down': -7.211216, ' Up': -7.432953, 'Down': -8.0223675}
{' down': -0.23045895, ' Down': -1.5909059, ' Up': -7.1898775, 'down': -7.329007, ' up': -7.7659335}
{' down': -0.27662647, ' Down': -1.5445153, ' up': -4.2440505, ' Up': -4.3363338, 'down': -7.495759}
{' Down': -0.25950214, ' down': -2.2025564, ' Up': -2.2074428, ' up': -5.233318, 'Down': -6.4931192}
{' Down': -0.12167488, ' down': -2.2301686, ' Up': -5.1856203, 'Down': -7.396613, 'down': -7.412963}
{' Down': -0.09738103, ' down': -2.4024498, ' Up': -6.569716, 'Down': -7.809787, 'down': -7.8441834}
{' Down': -0.4563778, ' Up': -1.160615, ' down': -3.1504982, ' up': -4.6384535, 'Down': -8.179687}
{' Up': -0.6660007, ' Down': -0.95537806, ' down': -2.585507, ' up': -3.780638, 'Down': -6.7679973}
{' Down': -0.20935312, ' down': -1.7053246, ' Up': -5.3980565, 'down': -6.591305, 'Down': -6.9849873}
{' Down': -0.21652111, ' down': -1.6597775, ' Up': -6.025419, 'down': -6.8109517, 'Down': -7.274811}
{' Up': -0.39087975, ' Down': -1.2628795, ' down': -3.8896682, ' up': -3.947766, ' UP': -8.075915}
{' Down': -0.61830926, ' down': -1.2590696, ' Up': -1.8848897, ' up': -3.6990588, 'Down': -8.254645}
{' Down': -0.5975565, ' down': -0.8033956, ' Up': -6.814751, 'down': -7.9848337, 'Down': -8.085883}
{' Down': -0.5306682, ' down': -0.9008254, ' Up': -5.523123, ' up': -7.0508857, 'down': -8.053374}
{' Down': -0.35261944, ' down': -1.4787104, ' Up': -2.8502238, ' up': -4.524172, 'Down': -8.326647}
{' Down': -0.0723334, ' Up': -2.950019, ' down': -4.1302156, 'Down': -7.2707963, ' up': -8.161267}
{' Down': -0.061582074, ' down': -2.8797584, ' Up': -6.233628, 'Down': -6.978338, 'down': -7.5243616}
{' Down': -0.034108974, ' down': -3.436504, 'Down': -7.0856586, 'down': -7.949421, ' Up': -9.355457}
{' Down': -0.39190537, ' Up': -1.1551175, ' down': -4.9937005, ' up': -6.4000683, 'Down': -7.8598514}
{' Down': -0.10440273, ' Up': -2.4887562, ' down': -4.2026653, ' up': -7.303001, 'Down': -8.091076}
{' Down': -0.05752986, ' down': -2.9267352, ' Up': -6.399845, 'Down': -8.041304, 'down': -8.279533}
{' Down': -0.09257205, ' down': -2.44056, ' Up': -7.363928, 'down': -8.131435, 'Down': -8.194349}
{' Down': -0.16207205, ' Up': -2.0324829, ' down': -4.111193, ' up': -6.2652745, 'Down': -8.691517}
{' Down': -0.3975355, ' Up': -1.4337502, ' down': -2.678257, ' up': -4.2981696, 'Down': -5.443657}
{' Down': -0.19683069, ' down': -1.8832186, ' Up': -4.1882095, 'Down': -5.217966, 'down': -5.398561}
{' Down': -0.272604, ' down': -1.509716, 'down': -5.051779, 'Down': -5.251596, ' Up': -5.2631645}
{' Down': -0.47990254, ' Up': -1.1873173, ' down': -3.0099316, ' up': -3.8670635, 'Down': -5.771583}
{' Up': -0.024373844, ' up': -3.775289, ' Down': -7.147304, ' down': -8.848242, ' UP': -9.377454}
{' Down': -0.028298758, ' down': -3.5870984, 'Down': -8.594205, 'down': -10.554872, ' DOWN': -11.862553}
{' Up': -0.050158218, ' up': -3.7517495, ' Down': -3.7592854, ' down': -6.2037106, 'Up': -9.927378}
{' Down': -0.10308613, ' down': -2.3254924, 'Down': -8.903309, 'down': -9.728344, ' "': -11.26454}
{' Up': -0.051250365, ' Down': -3.3318288, ' up': -4.5414557, ' down': -5.787199, 'Up': -8.160446}
{' Down': -0.018262401, ' down': -4.0448127, 'Down': -7.6258254, 'down': -9.358191, ' DOWN': -11.800424}
{' Up': -0.01783144, ' up': -4.1730704, ' Down': -6.290685, 'Up': -8.459142, ' down': -8.984337}
{' Down': -0.054336455, ' down': -2.9502027, 'Down': -7.9511085, 'down': -8.542499, ' DOWN': -12.2001505}
{' Down': -0.10746719, ' Up': -2.7277045, ' down': -3.3727086, 'Down': -6.8132906, ' "': -7.806454}
{' Down': -0.008491065, ' down': -4.8746448, 'Down': -7.2268653, 'down': -9.630347, ' DOWN': -11.02466}
{' Up': -0.11097219, ' Down': -2.3461826, ' up': -5.205811, ' down': -5.7212534, 'Up': -8.495314}
{' Down': -0.036149032, ' down': -3.3580964, 'Down': -7.5747213, 'down': -8.696038, ' DOWN': -11.77995}
{' Up': -0.11057793, ' up': -2.3055108, ' Down': -6.0457063, ' down': -6.157458, ' UP': -8.467931}
{' Down': -0.16726159, ' down': -1.8740773, 'Down': -7.9247727, 'down': -8.963257, ' DOWN': -10.554199}
{' Up': -0.15485647, ' up': -1.9640777, ' Down': -6.3824735, ' down': -6.689631, 'Up': -9.243085}
{' Down': -0.36419022, ' down': -1.1883614, 'Down': -8.196063, 'down': -8.489511, ' "': -10.716258}
{' Down': -0.35889965, ' Up': -1.6629881, ' down': -2.269382, ' up': -5.555537, 'Down': -6.125257}
{' Down': -0.01361903, ' down': -4.390841, 'Down': -6.925455, 'down': -9.320475, ' DOWN': -9.892115}
{' Up': -0.15826455, ' Down': -2.1306345, ' up': -4.1879067, ' down': -4.531372, 'Up': -7.3233085}
{' Down': -0.037779883, ' down': -3.320409, 'Down': -7.2361283, 'down': -8.6241045, ' DOWN': -10.766409}
{' Down': -0.267748, ' Up': -1.5412179, ' down': -3.9448621, ' up': -7.082563, 'Down': -8.330341}
{' Down': -0.004832759, ' down': -5.3769584, 'Down': -8.693406, 'down': -11.084998, ' DOWN': -11.288104}
{' Up': -0.1483268, ' Down': -2.0429628, ' up': -5.206806, ' down': -5.996631, ' UP': -9.620511}
{' Down': -0.02997842, ' down': -3.5305946, 'Down': -8.724417, 'down': -9.597303, ' DOWN': -11.763824}
{' Down': -0.09886577, ' down': -2.7826884, ' Up': -3.5964777, 'Down': -5.625219, 'down': -7.6538196}
{' Down': -0.021614943, ' down': -4.0356035, 'Down': -5.6878915, 'down': -8.229995, ' DOWN': -10.174573}
{' Up': -0.031263486, ' Down': -4.2334423, ' up': -4.319092, 'Up': -6.4388843, ' down': -7.020921}
{' Down': -0.07158689, ' down': -2.742527, 'Down': -5.5671353, 'down': -7.1212516, ' DOWN': -10.568591}
{' down': -0.5806747, ' Down': -0.89964837, ' Up': -3.5980926, ' up': -5.4515224, 'down': -6.855779}
{' Down': -0.36989075, ' down': -1.1779847, 'Down': -7.223913, 'down': -7.5246453, ' DOWN': -11.206243}
{' down': -0.2686385, ' Down': -1.4509486, 'down': -7.2838836, 'Down': -7.9208064, ' Up': -9.21662}
{' Down': -0.51946986, ' down': -0.90639085, 'Down': -7.411094, 'down': -7.629997, ' Up': -9.891604}
{' Down': -0.2461813, ' down': -1.698284, ' Up': -3.4983902, 'Down': -6.121393, ' up': -6.5696487}
{' Down': -0.07433978, ' down': -2.6535366, 'Down': -6.96584, 'down': -8.16962, ' DOWN': -11.356827}
{' Down': -0.123251125, ' down': -2.1694453, 'Down': -6.920965, 'down': -7.6879787, ' Up': -8.710833}
{' Down': -0.047031913, ' down': -3.1020284, 'Down': -7.2116375, 'down': -8.465723, ' DOWN': -11.071569}
{' Down': -0.07506259, ' down': -2.7233112, ' Up': -5.6206875, 'Down': -6.0947614, 'down': -7.3935075}
{' Down': -0.09445314, ' down': -2.4304097, 'Down': -6.4659605, 'down': -7.5720053, ' DOWN': -10.2871275}
{' Down': -0.31831753, ' down': -1.3109798, 'Down': -6.4671307, 'down': -6.6903515, ' "': -8.62472}
{' Down': -0.0693975, ' down': -2.7323422, 'Down': -6.569309, 'down': -7.7070503, ' DOWN': -9.725153}
{' down': -0.6170648, ' Down': -0.8425, ' Up': -3.7494042, ' up': -5.557357, 'Down': -6.707782}
{' Down': -0.6168019, ' down': -0.77779937, 'Down': -7.4759593, 'down': -8.04482, ' DOWN': -10.713071}
{' down': -0.22215822, ' Down': -1.6173475, 'down': -7.7398868, 'Down': -8.169164, ' Up': -10.677724}
{' Down': -0.59519434, ' down': -0.80452394, 'Down': -7.3824673, 'down': -7.705908, ' Up': -9.21141}
{' Down': -0.19617306, ' down': -1.8175681, ' Up': -4.884777, 'Down': -5.1387825, 'down': -6.34197}
{' Down': -0.14235643, ' down': -2.0641208, 'Down': -5.4298377, 'down': -6.657636, ' DOWN': -9.62133}
{' Down': -0.24968182, ' down': -1.5396179, 'Down': -5.390391, 'down': -6.38413, ' DOWN': -8.993534}
{' Down': -0.08451215, ' down': -2.5621483, 'Down': -5.7892714, 'down': -7.2870526, ' DOWN': -9.1200695}
{' Down': -0.060887996, ' Up': -3.39586, ' down': -3.6991575, 'Down': -7.660558, ' up': -8.636764}
{' Down': -0.035465956, ' down': -3.372832, 'Down': -7.7689466, 'down': -9.084987, ' DOWN': -11.309436}
{' Down': -0.15095289, ' down': -1.9717059, 'Down': -7.6484103, 'down': -8.005574, ' "': -10.377761}
{' Down': -0.028289806, ' down': -3.5962868, 'Down': -8.008436, 'down': -9.348373, ' Up': -10.726793}
{' Down': -0.4028161, ' Up': -1.4793599, ' down': -2.443887, 'Down': -4.9091616, ' up': -5.1284704}
{' Down': -0.09357806, ' down': -2.519903, 'Down': -4.888828, 'down': -6.667457, ' DOWN': -10.538228}
{' Down': -0.54993117, ' down': -0.89508307, 'down': -4.926451, 'Down': -4.9662004, ' "': -9.240184}
{' Down': -0.36573154, ' down': -1.2208914, 'Down': -5.0314517, 'down': -5.373613, ' DOWN': -9.62382}
{' Up': -0.045917116, ' Down': -3.2837403, ' up': -5.04619, ' down': -7.1883388, ' UP': -8.938522}
{' Up': -0.6521604, ' Down': -0.75620824, ' down': -5.156854, ' up': -5.593066, 'Down': -9.806205}
{' Up': -0.117409684, ' Down': -2.298377, ' up': -4.7449408, ' down': -6.4788866, ' UP': -9.431932}
{' Up': -0.60820353, ' Down': -0.8304651, ' down': -4.2579627, ' up': -5.229028, ' "': -8.759339}
{' Up': -0.12205463, ' Down': -2.2364154, ' up': -5.233201, ' down': -6.0499754, ' "': -8.984143}
{' Up': -0.16299053, ' Down': -1.9289932, ' up': -5.690941, ' down': -6.498657, 'Down': -9.747444}
{' Up': -0.30505323, ' Down': -1.3922858, ' up': -4.8215346, ' down': -5.128059, 'Down': -8.991851}
{' Up': -0.14773747, ' Down': -2.0740411, ' up': -4.9618144, ' down': -5.4909306, ' "': -8.321186}
{' Up': -0.61793137, ' Down': -0.8149586, ' down': -4.2966304, ' up': -5.805959, 'Down': -7.262443}
{' Up': -0.44480613, ' Down': -1.1134729, ' down': -3.8493679, ' up': -4.8574433, 'Down': -7.47798}
{' Down': -0.67988044, ' Up': -0.7469753, ' down': -4.304722, ' up': -5.389893, 'Down': -7.2870197}
{' Down': -0.54505396, ' Up': -1.0243095, ' down': -2.9667897, ' up': -5.17095, ' "': -6.167504}
{' Up': -0.0901092, ' up': -2.9459383, ' Down': -3.5409873, ' down': -5.4807262, ' UP': -8.4365635}
{' Up': -0.19438572, ' Down': -1.9875145, ' up': -3.4189222, ' down': -5.026737, ' UP': -8.799334}
{' Up': -0.09971072, ' Down': -2.9658723, ' up': -3.2152674, ' down': -5.8255787, ' UP': -8.748074}
{' Up': -0.34905314, ' Down': -1.6552874, ' up': -2.8381314, ' down': -3.1220708, ' "': -7.418247}
{' Down': -0.057846654, ' down': -3.4305692, ' Up': -3.9070172, 'Down': -6.18226, ' "': -7.2439637}
{' Up': -0.6777021, ' Down': -0.76835066, ' down': -3.8849049, ' up': -5.383301, 'Down': -6.5400815}
{' Down': -0.7005471, ' Up': -0.72588056, ' down': -4.3611917, ' up': -5.488272, 'Down': -6.749806}
{' Down': -0.0804107, ' down': -2.9240117, ' Up': -3.987473, 'Down': -6.065447, ' "': -6.5605893}
{' Up': -0.07274971, ' Down': -2.713798, ' up': -5.8209395, ' down': -7.531189, ' UP': -8.510145}
{' Up': -0.21125107, ' Down': -1.67673, ' up': -6.0960813, ' down': -6.9314194, ' UP': -9.108669}
{' Up': -0.583515, ' Down': -0.8299788, ' down': -5.837112, ' up': -5.8652415, ' UP': -9.23042}
{' Up': -0.45704305, ' Down': -1.0257667, ' down': -5.35714, ' up': -5.825449, ' "': -7.8379116}
{' Up': -0.042192332, ' Down': -3.7741833, ' up': -4.1954994, 'Up': -6.389787, ' down': -6.918313}
{' Up': -0.25805163, ' Down': -1.5533359, ' up': -4.724339, ' down': -5.5161977, 'Down': -6.5417604}
{' Up': -0.09026432, ' Down': -2.7958057, ' up': -3.8737895, ' down': -6.086577, 'Up': -6.643147}
{' Down': -0.40542123, ' Up': -1.3696012, ' down': -2.7981749, ' up': -4.708209, 'Down': -5.1294622}
{' Down': -0.021277454, ' down': -3.8715541, 'Down': -8.617499, 'down': -10.527545, ' DOWN': -11.599958}
{' Up': -0.010527238, ' up': -4.582356, ' UP': -8.597303, 'Up': -10.043877, ' "': -11.707111}
{' Down': -0.1079327, ' down': -2.2818391, 'Down': -8.889323, 'down': -9.770697, ' DOWN': -11.59454}
{' Up': -0.010469474, ' up': -4.57241, ' UP': -9.765323, 'Up': -10.847759, ' Down': -12.625629}
{' Down': -0.016330026, ' down': -4.1561275, 'Down': -7.7631216, 'down': -9.465148, ' Up': -11.256166}
{' Up': -0.008579015, ' up': -4.800628, 'Up': -8.812395, ' UP': -8.852606, ' "': -11.518198}
{' Down': -0.07872895, ' down': -2.5908616, 'Down': -7.5737867, 'down': -8.466323, ' DOWN': -11.353392}
{' Up': -0.014367815, ' up': -4.265739, 'Up': -9.028485, ' UP': -9.456851, 'up': -11.209378}
{' Down': -0.015996559, ' down': -4.209398, 'Down': -7.070867, 'down': -8.893468, ' DOWN': -11.3207855}
{' Up': -0.009292149, ' up': -4.7303157, 'Up': -8.445518, ' UP': -8.809457, ' "': -10.353791}
{' Down': -0.03667743, ' down': -3.352967, 'Down': -7.113442, 'down': -8.548579, ' DOWN': -11.476352}
{' Up': -0.006164002, ' up': -5.144866, 'Up': -8.627597, ' UP': -9.129178, 'up': -11.12053}
{' Down': -0.19063729, ' down': -1.7547853, 'Down': -7.8223834, 'down': -8.872255, ' DOWN': -10.381376}
{' Up': -0.113035195, ' up': -2.242487, ' UP': -7.5753703, 'Up': -9.067826, ' "': -10.667079}
{' Down': -0.41235986, ' down': -1.0867889, 'Down': -8.019422, 'down': -8.364451, ' "': -10.900416}
{' Up': -0.12590608, ' up': -2.137766, ' UP': -8.274443, 'Up': -9.384824, 'up': -10.807777}
{' Down': -0.047371015, ' down': -3.121521, 'Down': -6.3189845, 'down': -8.172686, ' DOWN': -9.826192}
{' Up': -0.018494494, ' up': -4.08174, ' UP': -7.252631, 'Up': -7.405633, ' "': -9.787854}
{' Down': -0.060590934, ' down': -2.8676379, 'Down': -6.456386, 'down': -8.042841, ' DOWN': -10.092278}
{' Up': -0.006836468, ' up': -5.107411, 'Up': -8.0723295, ' UP': -8.480956, ' Down': -8.542358}
{' Down': -0.0047956244, ' down': -5.399163, 'Down': -8.439455, 'down': -10.651234, ' DOWN': -11.435658}
{' Up': -0.0027229476, ' up': -6.0146265, ' UP': -8.501733, 'Up': -9.795922, ' "': -11.392212}
{' Down': -0.017907893, ' down': -4.0485473, 'Down': -8.392734, 'down': -9.785206, ' DOWN': -11.567372}
{' Up': -0.003005508, ' up': -5.8629575, ' UP': -9.191562, 'Up': -10.011157, ' Down': -12.0690775}
{' Down': -0.05263059, ' down': -3.0923662, 'Down': -5.2948885, 'down': -7.19336, ' Up': -9.871604}
{' Up': -0.047785126, ' up': -3.1230469, 'Up': -6.2554607, ' UP': -7.5676503, 'up': -8.896467}
{' Down': -0.13641953, ' down': -2.1224425, 'Down': -5.115282, 'down': -6.3719196, ' DOWN': -9.825485}
{' Up': -0.038452465, ' up': -3.3429418, 'Up': -6.4184394, ' UP': -7.5000644, 'up': -8.744984}
{' Down': -0.020097502, ' down': -3.9283845, 'Down': -8.677735, 'down': -10.663479, ' Up': -11.081548}
{' Up': -0.0024485905, ' up': -6.103809, ' UP': -8.715702, 'Up': -10.538651, ' Down': -10.8741865}
{' Down': -0.013324152, ' down': -4.342405, 'Down': -8.573979, 'down': -10.788295, ' DOWN': -11.156768}
{' Up': -0.015249327, ' up': -4.2475643, ' UP': -7.2447677, 'Up': -9.388258, ' Down': -10.882305}
{' Down': -0.025811723, ' down': -3.6942017, 'Down': -7.589654, 'down': -9.287198, ' DOWN': -11.582051}
{' Up': -0.0028111702, ' up': -5.956487, ' UP': -9.084983, 'Up': -9.243308, 'up': -12.640207}
{' Down': -0.0147942575, ' down': -4.2588754, 'Down': -7.687554, 'down': -9.68139, ' DOWN': -10.770449}
{' Up': -0.0055790124, ' up': -5.2825656, ' UP': -8.076734, 'Up': -8.820924, 'up': -11.5273}
{' Down': -0.02168377, ' down': -3.9119558, 'Down': -6.7296586, 'down': -8.547793, ' "': -10.374412}
{' Up': -0.0026959323, ' up': -6.095776, 'Up': -8.454885, ' UP': -8.497573, 'up': -11.600597}
{' Down': -0.017999344, ' down': -4.1045547, 'Down': -6.808355, 'down': -8.766671, ' DOWN': -9.980722}
{' Up': -0.008697214, ' up': -4.8409076, ' UP': -7.7991858, 'Up': -8.192125, ' "': -10.573317}
{' Down': -0.10738257, ' down': -2.2884834, 'Down': -8.120979, 'down': -9.619488, ' DOWN': -11.072201}
{' Up': -0.019202953, ' up': -3.9825094, ' UP': -8.081067, 'Up': -9.81268, ' Down': -11.840655}
{' Down': -0.10711551, ' down': -2.2939117, 'Down': -7.6601777, 'down': -8.970259, ' Up': -9.917887}
{' Up': -0.20334122, ' up': -1.7014376, ' UP': -6.7301445, 'Up': -8.533628, ' Down': -9.927195}
{' Down': -0.02802196, ' down': -3.6570463, 'Down': -6.486401, 'down': -8.576588, ' DOWN': -9.373215}
{' Up': -0.0050209607, ' up': -5.531773, ' UP': -7.348658, 'Up': -7.8940396, 'up': -11.097584}
{' Down': -0.024502413, ' down': -3.7947927, 'Down': -6.575327, 'down': -8.609539, ' DOWN': -9.019188}
{' Up': -0.047186047, ' up': -3.1217592, ' UP': -6.6645384, 'Up': -7.4399147, 'up': -9.498616}
{' Down': -0.003318471, ' down': -5.790254, 'Down': -8.443244, 'down': -10.876047, ' "': -11.180536}
{' Up': -0.00072494993, ' up': -7.5395885, ' UP': -8.832121, 'Up': -10.111927, ' Down': -12.823258}
{' Down': -0.001929551, ' down': -6.392436, 'Down': -8.478431, 'down': -11.039507, ' DOWN': -11.184865}
{' Up': -0.0044152644, ' up': -5.614936, ' UP': -7.377382, 'Up': -9.208928, ' "': -11.0531435}
{' Down': -0.0753443, ' down': -2.8653224, 'Down': -4.2757244, 'down': -6.4355145, ' DOWN': -9.440697}
{' Up': -0.020132348, ' up': -4.1620636, 'Up': -5.6082, ' UP': -7.5529594, 'up': -8.975809}
{' Down': -0.05285742, ' down': -3.212094, 'Down': -4.683753, 'down': -6.652867, ' Up': -7.6097326}
{' Up': -0.19823673, ' up': -1.7689135, 'Up': -5.092041, ' UP': -6.4999332, 'up': -7.0347495}
{' Up': -0.69210076, ' Down': -0.74986666, ' up': -4.235914, ' down': -4.3896103, 'Down': -9.55468}
{' Down': -0.2824871, ' Up': -1.7678577, ' down': -2.7010815, ' up': -4.853982, ' "': -8.409162}
{' Down': -0.60149705, ' Up': -0.9214663, ' down': -3.1811936, ' up': -4.415712, ' "': -8.32404}
{' Down': -0.099379785, ' Up': -2.8679192, ' down': -3.339656, ' up': -6.158351, 'Down': -8.9866705}
{' Up': -0.2493558, ' Down': -1.5749936, ' up': -4.52964, ' down': -5.951948, 'Down': -9.476578}
{' Up': -0.041347936, ' Down': -3.4647734, ' up': -4.796448, ' down': -7.362011, ' "': -9.026618}
{' Down': -0.28574395, ' Up': -1.6518748, ' down': -2.9628258, ' up': -5.443474, 'Down': -8.023489}
{' Down': -0.058925275, ' Up': -3.1058133, ' down': -4.484161, ' up': -7.5009947, 'Down': -7.7912683}
{' Up': -0.35163632, ' Down': -1.3383058, ' up': -3.9402819, ' down': -4.2912416, 'Down': -8.027364}
{' Down': -0.14426816, ' down': -2.2527409, ' Up': -3.6590633, 'down': -6.83744, ' up': -6.8677387}
{' Down': -0.29012036, ' Up': -1.7176354, ' down': -2.7276776, ' up': -5.2747946, 'down': -7.4064794}
{' Down': -0.056876328, ' Up': -3.4640477, ' down': -3.805232, 'Down': -7.294965, ' up': -7.49766}
{' Up': -0.648496, ' Down': -0.90943646, ' up': -3.1544755, ' down': -3.4618864, 'Down': -8.976536}
{' Up': -0.7574296, ' Down': -1.0557904, ' down': -2.2432141, ' up': -2.5712035, ' "': -8.226166}
{' Down': -0.95249814, ' down': -1.2348926, ' Up': -1.4648844, ' up': -2.395724, ' "': -7.496166}
{' Down': -0.8373524, ' Up': -0.926605, ' down': -2.4353368, ' up': -2.4872987, 'Down': -8.685872}
{' Down': -0.48475608, ' Up': -1.0045714, ' down': -4.582956, ' up': -5.130735, ' "': -7.277548}
{' Up': -0.7080304, ' Down': -0.74281096, ' down': -3.8982234, ' up': -4.878904, ' "': -6.0168853}
{' Up': -0.33763117, ' Down': -1.3080502, ' down': -4.8472, ' up': -5.157434, ' "': -6.613596}
{' Down': -0.046287745, ' Up': -3.512604, ' down': -4.324877, 'Down': -6.725997, ' up': -7.930334}
{' Up': -0.3708004, ' Down': -1.1888298, ' up': -5.622873, ' down': -6.513483, 'Down': -10.186148}
{' Up': -0.15176916, ' Down': -1.9985403, ' up': -5.5542655, ' down': -6.7385316, ' "': -9.165072}
{' Up': -0.2969191, ' Down': -1.3878765, ' up': -5.5005856, ' down': -5.8491096, ' "': -8.881503}
{' Down': -0.062114004, ' Up': -2.922273, ' down': -5.156093, ' up': -7.72219, 'Down': -9.031802}
{' Up': -0.18572468, ' up': -2.452971, ' Down': -2.6458895, ' down': -4.776728, 'Up': -6.074022}
{' Down': -0.63773096, ' Up': -1.3055643, ' down': -1.9026159, ' up': -3.175695, 'Down': -5.277219}
{' Up': -0.7985756, ' Down': -0.8749095, ' down': -2.5207758, ' up': -3.1037457, 'Down': -5.6639605}
{' Down': -0.65806425, ' Up': -0.93360555, ' down': -3.0927298, ' up': -3.3046248, 'Down': -5.4922333}
{' Down': -0.47108927, ' down': -0.9878662, ' Up': -5.990128, 'Down': -8.176391, ' up': -8.280562}
{' Down': -0.24975689, ' down': -1.6245356, ' Up': -3.8197184, ' up': -6.409238, 'Down': -8.327182}
{' Up': -0.1690559, ' up': -1.9097174, ' Down': -5.306873, ' down': -6.114305, ' UP': -9.246913}
