{' Yes': -0.018133413, ' Generally': -4.688938, 'Yes': -5.2438526, ' No': -6.216215, ' A': -7.3354335}
{' Yes': -0.022830827, 'Yes': -4.379812, ' Generally': -5.03166, ' No': -6.416595, ' It': -7.544475}
{' Yes': -0.019413447, 'Yes': -4.374457, ' Ravens': -5.789852, ' No': -6.1991463, ' Generally': -7.3952527}
{' Yes': -0.015206903, 'Yes': -4.4051185, ' Generally': -6.8357325, ' Ravens': -6.855769, ' yes': -8.365159}
{' Yes': -0.038017854, 'Yes': -4.155567, ' No': -4.175036, '\n': -6.209555, ' ': -6.8427687}
{' Yes': -0.021152219, 'Yes': -4.28383, ' No': -5.89038, '\n': -6.759317, ' ': -7.1199565}
{' Yes': -0.03559985, 'Yes': -3.9832277, ' No': -4.9895906, ' Ravens': -5.1114035, '\n': -6.870675}
{' Yes': -0.018286861, 'Yes': -4.215762, ' Ravens': -6.18763, ' Generally': -8.119988, ' No': -8.377071}
{' Yes': -0.013971469, ' Generally': -5.2063255, 'Yes': -5.344082, ' No': -6.034427, ' A': -7.617471}
{' Yes': -0.0055965744, 'Yes': -5.791304, ' Generally': -6.235535, ' yes': -8.7420845, ' A': -9.002207}
{' Yes': -0.013632382, 'Yes': -5.0633526, ' Ravens': -5.558693, ' No': -6.2569346, ' Generally': -7.201378}
{' Yes': -0.010083639, 'Yes': -5.298106, ' Ravens': -5.764081, ' Generally': -6.5448294, ' yes': -8.313334}
{' No': -0.76177156, ' Yes': -0.83702594, 'No': -2.8855715, 'Yes': -4.3429213, ' Generally': -4.521493}
{' Yes': -0.13213794, ' No': -2.6530347, 'Yes': -3.826836, 'No': -4.816895, ' Generally': -4.909495}
{' Yes': -0.8307336, ' No': -0.8843587, 'No': -2.8870995, ' Ravens': -3.087718, 'Yes': -4.1756444}
{' Yes': -0.045224156, 'Yes': -3.6644847, ' Ravens': -4.772811, ' No': -5.23133, ' Generally': -6.9861765}
{' Yes': -0.08344025, ' No': -3.467477, ' Generally': -3.7930062, 'Yes': -4.297139, ' A': -5.543763}
{' Yes': -0.042926878, ' Generally': -4.3302, 'Yes': -4.46854, ' No': -4.821417, ' A': -5.7521644}
{' Yes': -0.07741106, ' Ravens': -3.3952212, 'Yes': -4.053251, ' No': -4.232354, ' Generally': -5.651923}
{' Yes': -0.02631589, 'Yes': -4.082087, ' Ravens': -5.27774, ' Generally': -6.641626, ' yes': -6.7186427}
{' Yes': -0.0036813028, 'Yes': -6.062866, ' yes': -7.2757125, ' ': -8.268438, '\n': -8.682742}
{' Yes': -0.0042177783, 'Yes': -5.7781315, ' yes': -7.401558, ' ': -8.514599, '\n': -8.883068}
{' Yes': -0.0047858628, 'Yes': -5.696573, ' yes': -7.274372, ' ': -8.557966, ' No': -8.921579}
{' Yes': -0.0042810496, 'Yes': -5.7200613, ' yes': -7.5458055, '\n': -8.589109, ' ': -9.261435}
{' Yes': -0.17943957, ' No': -2.1361408, 'Yes': -4.105314, ' A': -4.7343, 'No': -4.972769}
{' Yes': -0.068215445, ' No': -3.5179012, 'Yes': -4.2897596, ' A': -5.126586, ' Generally': -5.5405855}
{' Yes': -0.046505205, ' No': -3.9322436, 'Yes': -4.284193, ' Ravens': -5.0160046, ' ': -6.3710785}
{' Yes': -0.018919908, 'Yes': -4.313842, ' Ravens': -5.8357415, ' yes': -7.082587, ' ': -7.642243}
{' Yes': -0.27983946, ' No': -2.4042919, '\n': -2.6623735, 'Yes': -3.4757583, ' A': -3.6141288}
{' Yes': -0.124715835, '\n': -3.125309, 'Yes': -3.4803162, ' No': -4.091505, ' A': -4.505394}
{' Yes': -0.84248215, ' No': -1.083573, '\n': -2.125985, ' Ravens': -3.3491635, 'No': -3.5705287}
{' Yes': -0.058878742, 'Yes': -3.5544767, '\n': -4.058455, ' Ravens': -5.188456, ' ': -5.6588297}
{' Yes': -0.005183978, 'Yes': -6.108576, ' No': -6.207081, ' yes': -7.9797134, ' A': -8.165417}
{' Yes': -0.0068674916, ' No': -5.737868, 'Yes': -5.9528766, ' yes': -7.531947, ' ': -8.177524}
{' Yes': -0.027455479, ' No': -3.7893286, 'Yes': -5.8853774, ' Ravens': -7.186503, ' ': -8.08825}
{' Yes': -0.004501301, 'Yes': -5.657087, ' Ravens': -7.884805, ' yes': -7.924326, ' No': -8.841084}
{' No': -0.607831, ' Yes': -1.4769812, 'No': -1.9638644, 'Yes': -3.4609692, '\n': -4.021352}
{' No': -0.29441392, 'No': -1.7365239, ' Yes': -3.1448967, '\n': -4.2657104, ' ': -4.7603774}
{' No': -0.31169638, 'No': -1.8427745, ' Yes': -2.9138384, '\n': -4.149768, ' ': -4.3310575}
{' Yes': -0.18112436, 'Yes': -2.303784, ' No': -4.039574, ' Ravens': -4.1189866, '\n': -4.596478}
{' Yes': -0.019488627, 'Yes': -4.582801, ' yes': -5.4122114, ' ': -6.5578446, ' A': -6.7052836}
{' Yes': -0.020167379, 'Yes': -4.7111173, ' yes': -5.135634, ' A': -6.5627217, ' ': -6.6479115}
{' Yes': -0.029479342, 'Yes': -4.354343, ' No': -5.0614214, ' yes': -5.3045588, ' ': -6.376934}
{' Yes': -0.021888817, 'Yes': -4.441484, ' yes': -5.048077, ' Ravens': -6.7022347, ' ': -6.956623}
{' Yes': -0.050296545, 'Yes': -3.463613, ' yes': -4.824928, ' No': -5.579575, ' Generally': -6.163986}
{' Yes': -0.047473703, 'Yes': -3.6398215, ' yes': -4.645112, ' No': -5.612167, ' A': -5.9944854}
{' Yes': -0.07034771, 'Yes': -3.3340614, ' yes': -4.155998, ' Ravens': -4.985915, ' No': -5.5112014}
{' Yes': -0.08876198, 'Yes': -3.3378441, ' yes': -3.8966362, ' Ravens': -4.032287, ' No': -5.5789433}
{' Yes': -0.16825736, ' No': -2.3884187, 'Yes': -3.1603, 'No': -4.2008576, ' yes': -5.6970863}
{' Yes': -0.7761891, ' No': -0.78912663, 'No': -2.7336476, 'Yes': -4.0510454, ' yes': -6.67812}
{' Yes': -0.06438523, 'Yes': -3.2388198, ' No': -4.0616593, 'No': -5.8905663, ' Ravens': -6.7514486}
{' Yes': -0.05904819, 'Yes': -3.4103224, ' No': -4.081671, 'No': -5.7201366, ' Generally': -6.512001}
{' Yes': -0.3119581, ' No': -1.561855, 'Yes': -3.4549272, 'No': -3.73505, ' yes': -6.945249}
{' Yes': -0.17158782, ' No': -2.3276317, 'Yes': -3.2611854, 'No': -4.0515714, ' ': -6.780257}
{' Yes': -0.11875651, ' No': -2.9246705, 'Yes': -3.081895, 'No': -4.823586, ' Ravens': -6.4927235}
{' Yes': -0.07589472, 'Yes': -2.99142, ' No': -4.1371646, 'No': -5.5802336, ' Ravens': -6.8866925}
{' Yes': -0.013167233, 'Yes': -4.837729, ' No': -5.495003, ' yes': -7.633481, ' A': -8.906537}
{' Yes': -0.0155059025, 'Yes': -4.505004, ' No': -5.6917453, ' yes': -7.6762495, ' ': -8.767705}
{' Yes': -0.017650275, 'Yes': -4.4224644, ' No': -6.076626, ' Ravens': -6.21338, ' yes': -7.4598465}
{' Yes': -0.018672109, 'Yes': -4.2907076, ' Ravens': -6.104367, ' No': -6.5761595, ' Generally': -7.8353066}
{' No': -0.45227483, 'No': -1.0400854, ' Ravens': -5.676612, '\n': -6.519157, ' ': -6.842324}
{' No': -0.59823895, 'No': -0.91937923, ' Yes': -3.5501719, 'Yes': -5.3742685, ' Generally': -5.512267}
{' No': -0.8277261, 'No': -1.4950427, ' Yes': -1.5900992, ' Ravens': -2.6692617, 'Yes': -3.5531497}
{' Yes': -0.25326297, 'Yes': -2.060787, ' Ravens': -3.1793933, ' No': -3.791265, 'No': -3.8039222}
{' Yes': -0.6470461, ' No': -0.92993265, 'No': -3.4208212, 'Yes': -4.333333, ' Ravens': -4.393178}
{' Yes': -0.5520399, ' No': -1.0290221, 'No': -3.2686458, 'Yes': -4.2760196, ' yes': -5.302694}
{' Yes': -0.60660064, ' No': -1.2819604, ' Ravens': -2.2256668, 'No': -3.2705371, 'Yes': -3.8791835}
{' Yes': -0.06760073, 'Yes': -3.3628752, ' Ravens': -4.484509, ' No': -4.4884744, ' yes': -5.870365}
{' Yes': -0.053401962, ' yes': -3.0280285, 'Yes': -5.938244, ' ': -7.889263, 'yes': -8.066543}
{' Yes': -0.042400204, ' yes': -3.323894, 'Yes': -5.521126, ' ': -7.123083, 'yes': -7.876498}
{' Yes': -0.02466454, ' yes': -3.9148333, 'Yes': -5.7200294, ' ': -7.7728004, ' No': -8.541152}
{' Yes': -0.048284456, ' yes': -3.166048, 'Yes': -5.5506687, ' ': -7.904704, 'yes': -7.9075646}
{' Yes': -0.034478027, 'Yes': -3.782294, ' yes': -4.9546742, ' ': -6.6800365, '\n': -6.9250684}
{' Yes': -0.036975935, 'Yes': -3.7773705, ' yes': -4.697496, '\n': -6.66245, ' ': -6.9139605}
{' Yes': -0.03347629, 'Yes': -3.6986642, ' yes': -5.195566, ' ': -7.2067604, '\n': -7.3972282}
{' Yes': -0.031549055, 'Yes': -3.8282292, ' yes': -4.91703, '\n': -7.675799, ' Ravens': -7.805686}
{' Yes': -0.17084341, 'Yes': -2.873503, '\n': -3.016184, ' No': -3.6479685, ' ': -4.7778606}
{' Yes': -0.097365126, 'Yes': -2.7699592, '\n': -4.223288, ' yes': -4.68907, ' ': -5.826046}
{' Yes': -0.11746339, 'Yes': -2.9261465, '\n': -3.6501133, ' No': -4.7303114, ' Ravens': -4.8272104}
{' Yes': -0.068541005, 'Yes': -3.0752966, ' yes': -4.6884923, '\n': -5.0014043, ' Ravens': -6.3194966}
{' Yes': -0.009690674, 'Yes': -4.936139, ' yes': -6.4254785, ' ': -8.114673, ' No': -8.3940115}
{' Yes': -0.013446116, 'Yes': -4.8307276, ' yes': -5.3958025, ' ': -8.263823, '\n': -8.470992}
{' Yes': -0.01686532, 'Yes': -4.6849637, ' No': -5.349861, ' yes': -6.8835716, ' Ravens': -7.008923}
{' Yes': -0.010158425, 'Yes': -4.8624396, ' yes': -6.4262786, ' Ravens': -7.837547, 'yes': -9.252454}
{' No': -0.46995056, 'No': -1.6406124, ' Yes': -2.1892745, '\n': -3.5088654, 'Yes': -3.9348648}
{' No': -0.37748337, 'No': -1.6988773, ' Yes': -2.4507313, '\n': -3.856038, 'Yes': -4.4604616}
{' No': -0.2729413, 'No': -1.6784189, ' Yes': -3.7905934, '\n': -4.209144, ' ': -5.0202537}
{' Yes': -0.2048498, 'Yes': -2.3848748, ' No': -3.2602124, ' yes': -3.8790953, 'No': -4.422173}
{' Yes': -0.09975668, ' yes': -2.5742116, 'Yes': -4.332371, ' ': -6.290645, '\n': -6.5050926}
{' Yes': -0.120186135, ' yes': -2.3291743, 'Yes': -4.5107994, '\n': -6.527588, ' ': -6.5846453}
{' Yes': -0.10411588, ' yes': -2.737474, 'Yes': -3.8242583, ' No': -5.534663, '\n': -5.936706}
{' Yes': -0.1385064, ' yes': -2.2430289, 'Yes': -4.0269246, 'yes': -6.0073333, '\n': -6.881449}
{' Yes': -0.0053427042, 'Yes': -5.936302, '\n': -7.227648, ' yes': -7.314922, ' No': -7.3679657}
{' Yes': -0.0035622579, 'Yes': -6.1332097, ' yes': -7.517112, ' No': -8.365236, ' ': -8.736104}
{' Yes': -0.009689052, ' No': -5.2034984, 'Yes': -6.180427, '\n': -7.1182933, ' ': -7.6287813}
{' Yes': -0.0036762774, 'Yes': -6.054499, ' yes': -7.6808476, '\n': -8.00312, ' ': -8.734084}
{' Yes': -0.12431675, ' No': -2.7593284, '\n': -3.873895, 'Yes': -4.0978346, ' ': -5.1451945}
{' Yes': -0.09989645, ' No': -3.165885, 'Yes': -4.0971346, '\n': -4.1012793, ' A': -4.910245}
{' No': -0.7237757, ' Yes': -0.8947161, ' Ravens': -3.2177787, '\n': -3.751352, 'No': -3.7748125}
{' Yes': -0.04940644, 'Yes': -4.0218434, ' Ravens': -4.4794693, '\n': -4.746886, ' No': -5.2326508}
{' Yes': -0.07708196, ' No': -3.7206042, 'Yes': -4.0275936, '\n': -4.3142376, ' A': -4.641613}
{' Yes': -0.09610842, ' No': -3.6180618, '\n': -3.7632608, 'Yes': -4.032115, ' A': -4.380444}
{' Yes': -0.30877116, ' No': -2.0156384, ' Ravens': -2.5325527, '\n': -4.0914955, 'Yes': -4.3284435}
{' Yes': -0.039462935, 'Yes': -4.0366473, ' Ravens': -4.3704467, '\n': -5.6214805, ' ': -6.21317}
{' Yes': -0.075583726, ' No': -2.878669, '\n': -5.095866, ' ': -5.3438845, 'Yes': -5.7517195}
{' Yes': -0.014085532, ' No': -5.635206, 'Yes': -5.669332, '\n': -5.8019233, ' ': -6.0422854}
{' Yes': -0.2616516, ' No': -1.6664424, ' Ravens': -4.013532, '\n': -4.862827, ' ': -5.2376}
{' Yes': -0.015090655, 'Yes': -5.1276927, ' Ravens': -5.6001253, '\n': -6.0012236, ' ': -6.8482184}
{' No': -0.06052831, 'No': -3.266865, ' Yes': -4.216166, ' ': -6.017038, ' A': -6.5323462}
{' No': -0.09444273, 'No': -2.8805223, ' Yes': -3.7688866, ' ': -5.377108, '\n': -5.722339}
{' No': -0.06704382, 'No': -3.418013, ' Yes': -4.027077, ' ': -5.1224103, ' Ravens': -5.6246037}
{' Yes': -0.593258, ' No': -0.95747584, 'No': -3.735079, 'Yes': -4.192585, ' Ravens': -4.7495117}
{' Yes': -0.030689275, 'Yes': -4.8232307, ' No': -5.070162, ' ': -5.403719, '\n': -5.421671}
{' Yes': -0.031098938, 'Yes': -4.960971, ' No': -5.099851, ' yes': -5.2966228, '\n': -5.6159296}
{' Yes': -0.0394354, ' No': -4.255639, 'Yes': -4.579901, ' yes': -5.6031184, ' ': -5.6352787}
{' Yes': -0.01788168, 'Yes': -4.769982, ' yes': -5.2282643, ' Ravens': -6.7298074, ' ': -7.0846124}
{' Yes': -0.3753597, ' No': -1.2029449, ' Generally': -5.5674787, 'No': -5.7180066, 'Yes': -5.8498864}
{' Yes': -0.004702438, 'Yes': -5.531714, ' Generally': -7.897246, ' yes': -8.910007, ' No': -9.192605}
{' Yes': -0.022692475, ' No': -4.294949, 'Yes': -5.5519757, ' Ravens': -5.985888, ' Generally': -6.669304}
{' Yes': -0.004160314, 'Yes': -5.7920284, ' Ravens': -7.5913696, ' Generally': -7.8070526, ' yes': -9.122812}
{' Yes': -0.28041705, ' No': -1.5308062, 'Yes': -4.656468, 'No': -4.6591115, ' Generally': -5.382067}
{' Yes': -0.023978708, 'Yes': -4.480916, ' No': -5.179584, ' Generally': -5.338269, ' A': -7.520316}
{' Yes': -0.11571465, ' No': -2.7648406, ' Ravens': -3.75855, 'Yes': -4.180288, 'No': -5.3786006}
{' Yes': -0.032588676, 'Yes': -4.0213046, ' Ravens': -5.132915, ' No': -5.1772532, ' Generally': -6.67629}
{' Yes': -0.7229251, ' No': -0.75469977, 'No': -3.8308563, 'Yes': -4.7255707, ' A': -5.1606045}
{' Yes': -0.03169664, 'Yes': -4.2589955, ' No': -4.5754356, ' A': -6.343254, '\n': -6.628635}
{' Yes': -0.40335983, ' No': -1.5773805, ' Ravens': -2.441625, 'Yes': -4.275178, 'No': -4.3003454}
{' Yes': -0.05504363, ' Ravens': -3.706218, 'Yes': -3.9596133, ' No': -4.96363, ' ': -7.1567373}
{' Yes': -0.17219855, ' No': -2.0135984, ' Generally': -4.7724466, ' A': -5.1129866, 'Yes': -5.365981}
{' Yes': -0.003694106, 'Yes': -5.962886, ' Generally': -7.3422217, ' A': -8.687726, ' yes': -8.888936}
{' Yes': -0.114033625, ' Ravens': -3.0390687, ' No': -3.061299, 'Yes': -5.1401105, ' Generally': -5.8329663}
{' Yes': -0.012206814, 'Yes': -5.069402, ' Ravens': -5.379272, ' No': -7.6651225, ' Generally': -7.666183}
{' No': -0.13095997, 'No': -2.2331328, ' Generally': -5.7175403, ' Yes': -5.815024, '\n': -5.869277}
{' Yes': -0.07278683, ' No': -3.5983415, 'Yes': -3.682728, ' Generally': -5.1060853, 'No': -5.7345796}
{' No': -0.49632335, ' Yes': -1.8979042, ' Ravens': -2.1740005, 'No': -2.6040714, ' Generally': -4.2295556}
{' Yes': -0.05565507, 'Yes': -3.5388722, ' Ravens': -4.277308, ' No': -5.1217637, ' ': -6.5971494}
{' Yes': -0.46458256, ' No': -1.326586, ' Generally': -2.9697456, ' A': -4.218113, 'No': -4.370325}
{' Yes': -0.02684915, 'Yes': -4.49331, ' Generally': -4.8610086, ' A': -6.1105967, ' No': -6.362652}
{' Yes': -0.31484514, ' Ravens': -1.7665129, ' No': -2.8200653, 'Yes': -4.0922976, ' Generally': -5.0760107}
{' Yes': -0.064719826, ' Ravens': -3.5205266, 'Yes': -3.6632552, ' No': -5.8499484, ' Generally': -6.673166}
{' No': -0.4812234, ' Yes': -0.98860496, ' A': -5.749551, 'No': -5.974622, ' ': -6.268699}
{' Yes': -0.0031728018, 'Yes': -6.107647, ' yes': -7.870354, ' ': -8.457214, ' A': -8.94504}
{' Yes': -0.064091004, ' No': -2.9306984, 'Yes': -5.922028, ' Ravens': -6.087252, ' ': -6.8762417}
{' Yes': -0.0061118864, 'Yes': -5.6129055, ' No': -6.9693494, ' Ravens': -7.598797, ' yes': -7.997071}
{' No': -0.065087564, 'No': -2.9990644, ' A': -5.2116804, ' Yes': -5.9113145, '\n': -6.0854125}
{' No': -0.4819126, ' Yes': -1.2004129, 'No': -3.4469414, ' A': -3.490961, 'Yes': -5.1743126}
{' Yes': -0.6613931, ' No': -1.0013304, ' Ravens': -2.5823889, 'No': -4.3010263, 'Yes': -4.783059}
{' Yes': -0.11344972, ' Ravens': -2.8281217, ' No': -3.742232, 'Yes': -4.1100354, ' ': -5.986441}
{' No': -0.15970615, 'No': -2.6280613, '\n': -3.1073952, ' A': -4.169285, ' ': -4.77717}
{' Yes': -0.2338346, ' No': -2.7875874, '\n': -2.8158467, 'Yes': -3.4086716, ' A': -3.5221834}
{' No': -0.32747138, '\n': -2.0702615, 'No': -2.6857152, ' Ravens': -3.1450312, ' ': -3.871525}
{' Yes': -0.12536311, '\n': -3.331141, 'Yes': -3.371817, ' Ravens': -3.7497983, ' No': -4.3810964}
{' No': -0.02618617, ' Yes': -3.9684734, 'No': -5.3747063, ' A': -6.619558, ' ': -7.1343875}
{' Yes': -0.018428253, ' No': -4.384753, 'Yes': -6.0254736, ' A': -6.3041105, ' ': -6.9143}
{' No': -0.43904278, ' Yes': -1.1059778, ' Ravens': -4.131204, 'No': -5.5407634, ' Raven': -6.505216}
{' Yes': -0.03091013, ' Ravens': -4.293077, ' No': -4.514913, 'Yes': -5.3492923, ' ': -7.740015}
{' No': -0.19240178, 'No': -1.8589323, ' ': -4.90033, '\n': -4.904041, ' A': -5.8763804}
{' No': -0.34735832, 'No': -1.836412, ' Yes': -2.6264434, ' A': -3.7659202, ' ': -4.291103}
{' No': -0.19499771, 'No': -1.9520835, '\n': -4.3878326, ' ': -4.5823045, ' Ravens': -4.8395286}
{' Yes': -0.28591517, 'Yes': -2.3241744, ' Ravens': -2.5868852, ' No': -3.5434906, ' ': -4.0152664}
{' No': -0.6036622, ' Yes': -0.97510684, ' A': -3.129705, 'No': -4.404137, ' ': -4.646237}
{' Yes': -0.02308454, 'Yes': -4.6835628, ' A': -5.345203, ' yes': -5.353838, ' ': -6.1934843}
{' Yes': -0.32445022, ' No': -1.7065055, ' Ravens': -3.1151052, 'Yes': -4.261782, ' ': -4.520182}
{' Yes': -0.04659843, ' Ravens': -4.0045815, 'Yes': -4.2035255, ' yes': -5.460644, ' ': -5.9349275}
{' No': -0.50578034, ' Yes': -1.2091476, 'No': -2.900611, ' A': -4.019332, 'Yes': -4.5038137}
{' Yes': -0.06514978, 'Yes': -3.420149, ' yes': -4.6362634, ' No': -4.8024545, ' A': -4.9144993}
{' Yes': -0.2672614, ' Ravens': -2.4587514, ' No': -2.5789182, 'Yes': -3.317418, ' yes': -4.4044976}
{' Yes': -0.117995046, 'Yes': -3.0814254, ' Ravens': -3.4744248, ' No': -4.30817, ' yes': -4.410913}
{' No': -0.15665148, 'No': -1.9856824, ' Yes': -5.184741, ' ': -7.265879, 'Yes': -7.8155866}
{' No': -0.23202278, 'No': -2.1780713, ' Yes': -2.4355636, 'Yes': -5.391797, ' ': -7.099748}
{' Yes': -0.51383317, ' No': -1.1729728, 'No': -3.045312, 'Yes': -3.5587986, ' Ravens': -4.3605433}
{' Yes': -0.22893848, ' No': -1.9893317, 'Yes': -3.3245864, 'No': -3.7540638, ' Ravens': -5.0178847}
{' No': -0.124503724, 'No': -2.4495807, ' Yes': -3.5839686, 'Yes': -6.5624704, ' ': -7.079866}
{' Yes': -0.09948045, 'Yes': -3.1385753, ' No': -3.2187126, 'No': -5.06985, ' ': -6.3599777}
{' No': -0.4072194, ' Yes': -1.6637502, 'No': -2.2451768, ' Ravens': -3.8764594, 'Yes': -4.456618}
{' Yes': -0.3556049, ' No': -1.712962, 'Yes': -2.9616704, 'No': -3.1336675, ' Ravens': -3.9737074}
{' No': -0.20132929, ' Yes': -1.8290529, 'No': -4.076953, 'Yes': -6.282787, ' A': -6.3938737}
{' No': -0.6290673, ' Yes': -0.81287473, 'No': -4.241599, 'Yes': -5.16591, ' A': -6.518349}
{' Yes': -0.12575547, ' No': -2.708649, ' Ravens': -3.3620605, 'Yes': -4.414072, 'No': -5.8401527}
{' Yes': -0.12683214, ' No': -2.569301, ' Ravens': -3.721715, 'Yes': -4.3187914, 'No': -5.572205}
{' No': -0.42022794, 'No': -1.0845975, '\n': -6.45885, ' Ravens': -6.771497, ' ': -7.0770183}
{' No': -0.579909, 'No': -0.89846677, ' Yes': -4.1031823, 'Yes': -5.640505, ' A': -6.008923}
{' No': -0.41855416, 'No': -1.4100646, ' Ravens': -2.7300453, ' Yes': -4.8993397, ' Generally': -4.9256186}
{' Yes': -0.6204908, ' No': -2.0400484, ' Ravens': -2.0690687, 'No': -2.3454435, 'Yes': -2.3837907}
{' No': -0.13616756, 'No': -2.5827198, ' Yes': -4.225296, ' Ravens': -4.5197277, ' A': -4.6258006}
{' Yes': -0.15827328, ' No': -2.5666575, 'Yes': -3.8069036, ' A': -4.225055, 'No': -4.9666185}
{' No': -0.5203908, ' Ravens': -1.4664071, ' Yes': -2.4190917, 'No': -2.646663, 'Yes': -5.578834}
{' Yes': -0.4306089, ' No': -1.7668495, ' Ravens': -2.3456554, 'No': -3.2715547, 'Yes': -3.3225806}
{' Yes': -0.07559735, ' No': -2.8827183, ' yes': -4.398103, ' ': -6.292594, 'Yes': -6.324538}
{' Yes': -0.028005652, ' yes': -3.7929955, 'Yes': -5.65798, ' ': -6.8930945, 'yes': -8.330542}
{' Yes': -0.25179142, ' No': -1.6747249, ' Ravens': -4.268791, ' yes': -4.5631313, ' ': -5.5980463}
{' Yes': -0.044166803, ' No': -3.7524834, ' yes': -4.562389, 'Yes': -5.3704267, ' Ravens': -6.096634}
{' No': -0.26525962, ' Yes': -1.8689182, 'No': -3.006272, ' A': -4.468825, ' ': -5.114062}
{' Yes': -0.051325846, 'Yes': -3.4537456, ' yes': -5.0333376, ' No': -5.914683, '\n': -5.9493704}
{' Yes': -0.24711928, ' No': -1.943225, ' Ravens': -3.7926364, 'Yes': -3.8337796, 'No': -4.664117}
{' Yes': -0.04724347, 'Yes': -3.431593, ' yes': -5.2351437, ' Ravens': -5.6011086, '\n': -6.5738845}
{' No': -0.22621968, 'No': -2.463866, '\n': -2.7853954, ' Yes': -3.5381398, ' A': -4.502868}
{' Yes': -0.30601132, '\n': -2.535208, ' No': -2.7088852, 'Yes': -2.7765195, ' A': -3.886564}
{' No': -0.82418054, ' Ravens': -1.7804049, '\n': -1.824684, ' Yes': -2.0241868, 'No': -2.961212}
{' Yes': -0.571814, ' No': -1.934567, ' Ravens': -2.0481398, '\n': -2.6036897, 'Yes': -3.1346514}
{' No': -0.03220321, ' Yes': -4.221851, 'No': -4.2385283, ' ': -6.829425, ' A': -7.0251875}
{' Yes': -0.012701759, 'Yes': -4.688685, ' yes': -6.043102, ' ': -7.828566, ' A': -8.589518}
{' No': -0.028483456, 'No': -4.124511, ' Yes': -5.258336, ' Ravens': -5.2913275, ' ': -7.071351}
{' Yes': -0.04755908, ' No': -3.8251812, ' Ravens': -4.40849, 'Yes': -4.6549163, ' yes': -6.7028074}
{' No': -0.25639874, 'No': -1.5830189, '\n': -4.366149, ' ': -5.4434905, ' no': -6.218634}
{' No': -0.37802687, 'No': -1.5468577, ' Yes': -2.9811647, '\n': -3.5343587, 'Yes': -4.614072}
{' No': -0.19307394, 'No': -1.845618, '\n': -4.5648665, ' ': -5.43853, ' no': -6.782718}
{' No': -0.5243891, 'No': -1.7421377, ' Yes': -1.9075887, '\n': -3.3137834, 'Yes': -3.6511028}
{' No': -0.24109837, ' Yes': -1.9548014, 'No': -3.5467014, ' A': -4.2857943, ' yes': -4.890996}
{' Yes': -0.064857565, ' yes': -3.236359, 'Yes': -4.1013827, '\n': -6.1334643, ' ': -6.2125473}
{' No': -0.62413764, ' Yes': -1.1945971, ' Ravens': -3.077577, 'No': -3.4227939, ' yes': -3.7361667}
{' Yes': -0.107110605, ' yes': -2.816871, 'Yes': -3.6829178, ' Ravens': -5.2019234, '\n': -5.712351}
{' No': -0.6874483, ' Yes': -0.72990394, '\n': -5.487201, ' A': -5.552513, ' ': -5.837409}
{' Yes': -0.0044865124, 'Yes': -6.1189175, ' A': -7.2818704, ' No': -7.4150243, ' yes': -7.71057}
{' Yes': -0.47890165, ' No': -1.0211991, '\n': -5.178124, ' Ravens': -5.328221, ' ': -5.61657}
{' Yes': -0.02182302, ' No': -4.1732893, ' Ravens': -5.9829054, 'Yes': -6.0134573, '\n': -7.887852}
{' No': -0.06160737, 'No': -3.2244453, '\n': -4.5437393, ' ': -5.589069, ' A': -5.936203}
{' Yes': -0.2676994, ' No': -1.8413116, ' A': -3.7603505, '\n': -3.9082117, 'Yes': -4.300618}
{' No': -0.095245786, 'No': -3.2635827, ' Ravens': -3.856278, '\n': -3.9392304, ' ': -5.1451726}
{' Yes': -1.0117444, ' No': -1.0387774, ' Ravens': -1.5789498, '\n': -3.5378997, 'No': -3.75718}
{' No': -0.08350744, 'No': -3.318964, '\n': -4.1617064, ' A': -4.4894633, ' Yes': -4.586458}
{' Yes': -0.27593982, ' No': -1.9169577, ' A': -3.394443, '\n': -3.5258613, 'Yes': -4.3822513}
{' No': -0.30922198, ' Ravens': -2.0941968, ' Yes': -2.903422, '\n': -3.39452, 'No': -3.5211778}
{' Yes': -0.6075018, ' No': -1.5445173, ' Ravens': -1.7482947, '\n': -3.6336608, 'No': -4.32126}
{' No': -0.016887268, 'No': -4.775436, ' ': -5.8370624, ' Yes': -5.9981437, '\n': -6.550252}
{' Yes': -0.3301098, ' No': -1.4468337, ' A': -3.6336567, ' ': -4.925853, '\n': -5.33315}
