{' Yes': -0.004286734, 'Yes': -6.3658724, ' No': -6.7376213, ' Spider': -6.779202, ' yes': -9.341253}
{' Yes': -0.0036622803, ' No': -6.218574, 'Yes': -6.630282, ' yes': -9.509416, ' Directory': -9.609914}
{' Yes': -0.45232102, ' No': -1.0164384, 'Yes': -6.998032, 'No': -7.4405513, ' Nope': -8.908253}
{' Yes': -0.14492805, ' No': -2.0147612, 'Yes': -6.9718223, 'No': -8.738877, ' yes': -9.109864}
{' Yes': -0.6298041, ' No': -0.7833285, ' Nope': -5.314989, ' Off': -6.5902414, 'Yes': -6.7812924}
{' Yes': -0.2674253, ' No': -1.6643636, ' Off': -4.060846, ' Office': -4.420137, ' Nope': -4.825517}
{' No': -0.26723436, ' Yes': -1.4610265, 'No': -6.5712156, ' Nope': -7.43946, 'Yes': -8.280622}
{' Yes': -0.016771128, ' No': -4.2790217, 'Yes': -6.204051, ' Nope': -9.00591, ' yes': -9.7648325}
{' Yes': -0.19694123, ' Thread': -1.8007239, ' No': -4.816005, 'Thread': -6.602025, 'Yes': -6.7898836}
{' Yes': -0.23873849, ' Thread': -1.6847034, ' No': -3.909177, 'Thread': -6.599171, ' thread': -7.0388293}
{' Yes': -0.26057324, ' No': -1.8228339, ' Issue': -3.4319675, ' Nope': -5.286814, ' Tess': -5.4995933}
{' Yes': -0.2673939, ' No': -1.4736277, 'Yes': -6.235711, ' Nope': -6.7040777, '\n': -7.30842}
{' Yes': -0.012111666, ' No': -4.8828373, ' Sure': -5.7823024, 'Yes': -6.8666987, ' yes': -9.686554}
{' Yes': -0.064858906, ' No': -3.053325, ' Sure': -4.492238, 'Yes': -6.3145804, ' Nope': -7.7429566}
{' No': -0.5023389, ' Yes': -0.9542547, ' Fl': -5.4751816, 'Yes': -6.42811, 'No': -6.828463}
{' No': -0.60616463, ' Yes': -0.79779017, 'Yes': -6.316504, 'No': -7.104937, ' Nope': -7.4305434}
{' Yes': -0.19566192, ' No': -1.8639358, ' Sne': -4.127009, 'Yes': -5.8781266, ' Sn': -6.943798}
{' Yes': -0.21968034, ' No': -1.6470332, 'Yes': -6.1292644, ' Nope': -7.2514005, ' Sne': -7.317047}
{' Yes': -0.0025098384, 'Yes': -6.5901213, ' Better': -7.208047, ' No': -8.606551, ' YES': -9.88172}
{' Yes': -0.021311674, ' No': -3.9197412, 'Yes': -6.937889, ' yes': -10.022685, ' Nope': -10.160752}
{' Yes': -0.0159942, ' No': -4.186965, 'Yes': -7.445597, ' yes': -10.343007, 'No': -11.218293}
{' Yes': -0.22483318, ' No': -1.6468589, ' Purple': -4.997597, 'Yes': -7.137194, ' Nope': -7.8588133}
{' Yes': -0.012694817, ' No': -4.85913, 'Yes': -5.649259, ' Animal': -6.966422, ' yes': -8.859304}
{' Yes': -0.03710911, ' No': -3.7923675, ' Animal': -4.795448, 'Yes': -5.388189, ' yes': -8.254016}
{' Hel': -0.027115585, ' Yes': -4.002602, 'Helper': -5.86471, ' Help': -6.235925, ' Helic': -6.4348207}
{' Hel': -0.20610328, ' Yes': -1.7363272, 'Helper': -5.9219894, ' Help': -6.0374255, ' Helic': -6.5137568}
{' Yes': -0.14812309, ' No': -1.989361, 'Yes': -7.498249, 'No': -8.460907, ' Nope': -9.759577}
{' Yes': -0.0011033642, 'Yes': -7.0174375, ' No': -9.297992, ' yes': -9.82273, ' YES': -10.818973}
{' Yes': -0.006996535, ' No': -5.2512364, 'Yes': -6.4939523, ' Branch': -9.326666, ' yes': -10.117776}
{' Yes': -0.25449896, ' Branch': -1.6161914, ' No': -4.5227885, 'Yes': -5.370167, ' Br': -5.4141407}
{' Yes': -0.03052408, ' No': -3.627629, 'Yes': -6.007424, ' Nope': -8.341759, ' Pretty': -8.495569}
{' Yes': -0.11283707, ' No': -2.6655123, ' Pretty': -3.5915527, 'Yes': -5.8511534, ' Pre': -6.042466}
{' No': -0.28504395, ' Yes': -1.4053633, ' Nope': -6.474283, 'No': -7.5838375, ' Ign': -8.403537}
{' No': -0.10103849, ' Yes': -2.372252, ' Nope': -6.78414, ' Ignore': -7.32667, 'No': -7.4809475}
{' Yes': -0.22439846, ' No': -2.046086, ' Divide': -2.6678038, 'Yes': -6.7410035, ' Div': -7.6108365}
{' Yes': -0.6415966, ' Divide': -0.845889, ' No': -3.293637, ' Div': -5.337804, 'Yes': -7.1574407}
{' Yes': -0.14393853, ' Hammer': -2.0240579, 'Yes': -6.7550716, ' No': -8.699987, ' Ham': -9.024346}
{' Yes': -0.6002534, ' Hammer': -0.80201274, 'Yes': -7.07771, ' Ham': -7.491414, ' No': -7.528118}
{' Yes': -0.0016472941, 'Yes': -6.716669, ' No': -8.106914, ' yes': -10.113059, ' YES': -10.644517}
{' Yes': -0.0028623962, 'Yes': -6.370664, ' No': -7.1403, ' yes': -9.308807, ' YES': -9.795775}
{' Yes': -0.36098853, ' No': -1.2103232, 'Yes': -6.072122, 'No': -6.652952, ' Nope': -8.306143}
{' Yes': -0.2622021, ' No': -1.4849708, 'Yes': -6.1140537, 'No': -7.02824, ' Nope': -8.083695}
{' Yes': -0.11533262, ' Ex': -2.2854583, ' No': -5.7085176, 'Yes': -6.3363404, 'Ex': -7.226903}
{' No': -0.4300477, ' Yes': -1.0983349, ' Ex': -4.9717116, ' Nope': -5.0768332, 'No': -6.4970036}
{' Yes': -0.008667151, ' Dollar': -5.5081043, ' No': -5.606186, 'Yes': -7.3439236, ' yes': -9.190837}
{' Yes': -0.07243855, ' No': -2.6726294, 'Yes': -7.583104, ' Nope': -9.787974, 'No': -9.809686}
{' Yes': -0.027107561, ' Planet': -3.809336, ' No': -6.1851597, 'Yes': -6.248167, ' yes': -8.900025}
{' Yes': -0.04260059, ' No': -3.6301515, ' Planet': -4.3402, 'Yes': -6.3305016, ' yes': -9.273174}
{' Yes': -0.016715791, ' No': -4.9410663, ' Car': -5.31498, 'Yes': -5.7936187, ' yes': -8.064591}
{' Yes': -0.004822637, 'Yes': -6.199345, ' No': -6.517649, ' Car': -7.3355594, ' yes': -8.471374}
{' Yes': -0.054481402, ' Ass': -3.0373647, 'Yes': -5.7118716, ' No': -7.330174, ' Absolutely': -8.3305645}
{' Yes': -0.027514234, ' Ass': -3.896689, 'Yes': -5.794604, ' No': -5.94454, ' Absolutely': -8.6540985}
{' No': -0.2735535, ' Yes': -1.6952988, ' Circ': -3.4685836, ' Cir': -4.319066, ' Circus': -4.775331}
{' No': -0.6661936, ' Circ': -1.428025, ' Yes': -1.9223523, ' Cir': -2.827809, ' Circus': -3.2916076}
{' Yes': -0.0045217182, ' No': -5.738881, 'Yes': -6.7968955, ' yes': -9.607552, ' YES': -10.140248}
{' Yes': -0.0056887665, 'Yes': -5.952646, ' No': -7.0600038, ' Balloon': -7.33783, ' yes': -7.7778735}
{' Yes': -0.00463956, ' No': -5.6969113, 'Yes': -6.8676076, ' Finger': -9.51963, ' yes': -9.702974}
{' Yes': -0.014159466, ' No': -4.4038787, 'Yes': -6.7650137, ' Finger': -8.051178, ' yes': -9.200321}
{' Yes': -0.5293139, ' No': -1.2983245, ' Law': -2.4420736, ' Layer': -4.8315473, ' L': -5.3304386}
{' Yes': -0.14179401, ' No': -2.3556535, ' Law': -4.054295, 'Yes': -5.7976737, ' L': -6.275514}
{' Yes': -0.084783316, ' No': -2.6045415, 'Yes': -6.1039367, ' Nope': -6.1533585, ' Smooth': -6.2287292}
{' Yes': -0.123418406, ' Smooth': -2.8242695, ' No': -3.1097786, ' Sm': -5.3977494, 'Yes': -5.602654}
{' Yes': -0.11592712, ' Cancer': -2.6537154, ' Cance': -3.8432426, ' No': -4.9855413, 'Yes': -5.1227045}
{' Yes': -0.15717956, ' No': -2.07116, ' Cance': -4.896012, 'Yes': -5.5224023, ' Cancel': -6.6085534}
{' Yes': -0.0135053815, ' Sc': -4.6538553, 'Yes': -5.9766455, ' No': -7.531512, ' yes': -8.242494}
{' Yes': -0.022185314, ' Sc': -4.0712457, 'Yes': -6.090489, ' No': -6.632146, ' Scar': -7.665481}
{' No': -0.456052, ' Yes': -1.0091832, 'No': -6.9532475, 'Yes': -7.5465226, ' Nope': -8.975505}
{' No': -0.479583, ' Yes': -0.97149384, 'No': -6.7126493, 'Yes': -7.2825327, ' Nope': -7.7271986}
{' Yes': -0.5339074, ' No': -0.8896393, 'Yes': -7.0073915, ' Nope': -7.068165, 'No': -7.3585606}
{' No': -0.68994874, ' Yes': -0.71671647, ' Ex': -5.0756927, 'Yes': -6.6735563, 'No': -6.7368765}
{' Yes': -0.693166, ' No': -0.69862485, ' Nope': -6.729823, 'No': -7.2371855, 'Yes': -7.420583}
{' No': -0.34092996, ' Yes': -1.2451428, 'No': -7.417798, 'Yes': -8.48877, ' Nope': -8.94706}
{' No': -0.19028664, ' Yes': -1.7790527, 'No': -6.1806293, ' Nope': -6.3059235, 'Yes': -7.985607}
{' Yes': -0.3790752, ' No': -1.2098342, ' Cow': -4.7672358, ' Cowboy': -5.617816, 'Yes': -6.3993583}
{' Yes': -0.109365575, ' No': -2.346199, ' Finish': -5.370466, 'Yes': -6.075611, 'No': -7.995883}
{' Yes': -0.014965528, ' No': -5.2725716, ' Finish': -5.3451176, 'Yes': -5.6214943, ' Fish': -7.303151}
{' Yes': -0.60556424, ' No': -0.7952196, 'No': -6.9892, 'Yes': -7.004835, ' Nope': -7.563425}
{' Yes': -0.1468741, ' No': -2.0133748, 'Yes': -6.446858, ' Puzzle': -7.7967095, 'No': -8.049781}
{' Yes': -0.0010083135, 'Yes': -7.0377016, ' No': -9.945193, ' Repeat': -10.2112665, ' yes': -11.033482}
{' Yes': -0.0023025724, ' Repeat': -6.6173043, 'Yes': -7.207821, ' No': -9.290983, ' yes': -9.955076}
{' Yes': -0.0014517255, 'Yes': -7.0495872, ' Spider': -8.181849, ' No': -8.808735, ' yes': -9.597908}
{' Yes': -0.025006168, ' No': -3.7231224, 'Yes': -7.683701, ' yes': -11.017459, ' Nope': -11.048515}
{' Yes': -0.0063143047, ' No': -5.308017, 'Yes': -7.3945246, ' Candle': -7.645646, ' yes': -9.253629}
{' Yes': -0.0047481335, ' No': -5.7073917, 'Yes': -7.341793, ' Candle': -7.6339607, ' yes': -9.3719425}
{' Yes': -0.037565235, ' No': -3.8676183, ' Thr': -4.627398, ' Th': -5.764334, 'Yes': -6.6163907}
{' Yes': -0.021188077, ' No': -3.9006872, 'Yes': -7.4234915, ' yes': -10.168707, ' Nope': -10.441189}
{' Yes': -0.030015212, ' No': -3.5572593, 'Yes': -7.2575407, ' Beach': -9.135507, ' yes': -9.525027}
{' Yes': -0.03187604, ' No': -3.4793913, 'Yes': -7.7677903, ' yes': -10.205105, 'No': -10.472055}
{' Yes': -0.00697841, ' No': -5.03939, 'Yes': -7.7500753, ' yes': -10.846303, ' YES': -12.023247}
{' Yes': -0.016672881, ' No': -4.244267, ' Flower': -6.7830663, 'Yes': -7.122433, ' yes': -9.20751}
{' No': -0.0087571, ' Yes': -4.85471, 'No': -7.1789455, ' Nope': -8.894033, 'Yes': -11.74469}
{' No': -0.08472337, ' Yes': -2.5160835, 'No': -7.9727883, 'Yes': -9.9305525, ' Nope': -10.243717}
{' No': -0.013236509, ' Yes': -4.5169077, 'No': -6.403939, ' Nope': -8.269141, ' Indian': -8.884416}
{' No': -0.016695363, ' Yes': -4.1792946, 'No': -6.8986645, ' Nope': -8.894558, ' Indian': -10.786218}
{' Yes': -0.0025186834, ' Orange': -6.284365, 'Yes': -7.6461515, ' No': -9.533744, ' yes': -10.115905}
{' Yes': -0.005180862, ' Orange': -5.690474, ' No': -7.1426315, 'Yes': -7.156338, ' Sure': -9.191875}
{' Yes': -0.11507605, ' No': -2.2331066, 'Yes': -6.91336, 'No': -8.652811, ' Hungry': -9.344622}
{' Yes': -0.16994575, ' No': -1.8595114, 'Yes': -7.8770757, 'No': -9.510876, ' Nope': -10.090168}
{' Yes': -0.36529154, ' No': -1.1860142, 'Yes': -8.07312, 'No': -8.897137, ' Nope': -9.850584}
{' No': -0.5535892, ' Yes': -0.8608421, ' Number': -7.3696294, 'No': -7.4101644, ' Nope': -7.615551}
{' No': -0.4711216, ' Mirror': -1.6198051, ' Yes': -1.8386965, ' Mir': -4.4625745, 'No': -5.970449}
{' No': -0.25882638, ' Yes': -1.4857684, 'No': -7.2366967, ' Mirror': -7.758769, ' Mir': -8.521301}
{' Yes': -0.00031501107, 'Yes': -8.164825, ' yes': -11.32402, ' YES': -11.697091, ' No': -11.828917}
{' Yes': -0.0006911284, 'Yes': -7.351401, ' No': -11.086552, ' yes': -11.22035, ' YES': -11.688996}
{' No': -0.3248049, ' Yes': -1.3964697, ' Pepper': -4.009825, ' Pe': -5.530791, ' Nope': -5.557654}
{' No': -0.40061507, ' Yes': -1.1227984, ' Nope': -5.832938, 'No': -7.1056833, 'Yes': -7.8197107}
{' Yes': -0.004339535, 'Yes': -6.21294, ' No': -6.7136154, ' Cheese': -7.0582023, ' Che': -9.572594}
{' Yes': -0.0012015902, 'Yes': -7.040502, ' No': -8.574023, ' Cheese': -9.601253, ' YES': -11.258075}
{' No': -0.017477393, ' Yes': -4.132017, 'No': -7.215473, ' Nope': -7.576639, 'Yes': -11.27707}
{' No': -0.05440159, ' Yes': -3.0607984, ' Nope': -5.5779815, 'No': -6.175213, 'Yes': -9.389021}
{' No': -0.2436998, ' Yes': -1.8242776, ' Squ': -3.289379, ' Sure': -4.8166003, ' Square': -4.967838}
{' No': -0.44320884, ' Yes': -1.878338, ' Squ': -1.9034387, ' Sure': -3.3582556, ' Square': -4.0795345}
{' Yes': -0.00036563535, 'Yes': -8.143458, ' No': -10.427047, ' Sure': -11.135367, ' yes': -11.391841}
{' Yes': -0.0005521021, 'Yes': -8.047443, ' No': -8.776338, ' Sure': -10.421619, ' yes': -11.126586}
{' Yes': -0.07148356, ' No': -2.7006931, 'Yes': -6.5848703, ' Nope': -8.753007, ' YES': -9.72828}
{' Yes': -0.32673365, ' No': -1.2907152, 'Yes': -6.2059445, ' Nope': -7.2175374, 'No': -7.9090705}
{' Yes': -0.06394327, ' No': -2.8967793, ' Ending': -5.23071, 'Yes': -6.814557, 'No': -9.372224}
{' Yes': -0.7265306, ' Ending': -1.2730126, ' No': -1.4613099, ' End': -6.723057, 'Yes': -6.739419}
{' Yes': -0.0057506924, ' Energy': -5.7864532, ' No': -6.529539, 'Yes': -6.9871597, ' YES': -9.710227}
{' Yes': -0.030863903, ' No': -3.6237001, ' Energy': -6.221745, 'Yes': -7.132922, ' Nope': -7.689149}
{' Yes': -0.0050552892, ' No': -5.520247, 'Yes': -7.5184083, ' Father': -7.936112, ' yes': -9.875387}
{' Yes': -0.017904982, ' No': -4.075232, 'Yes': -7.491837, ' Father': -9.663839, ' Nope': -10.186911}
{' No': -0.076067194, ' Yes': -2.6321623, 'No': -7.10906, ' Pen': -8.449818, ' Nope': -8.814918}
{' Yes': -0.3591021, ' No': -1.200361, 'Yes': -7.9923887, 'No': -8.809212, ' Nope': -9.653948}
{' Yes': -0.013127434, ' Street': -4.7147665, ' No': -5.909626, 'Yes': -6.8790627, ' yes': -9.146224}
{' Yes': -0.0034480118, ' No': -5.9107394, 'Yes': -7.300369, ' yes': -10.65426, ' YES': -11.054509}
{' Yes': -0.0005844273, 'Yes': -7.8590345, ' Strong': -9.06586, ' No': -9.904109, ' yes': -11.077251}
{' Yes': -0.0051743304, ' Strong': -5.5701323, ' No': -7.230106, 'Yes': -7.564428, ' yes': -9.977499}
{' Yes': -0.24341664, ' No': -1.5385635, ' Seller': -6.983166, 'Yes': -8.301813, 'No': -9.392586}
{' Yes': -0.0063026114, ' No': -5.4453435, ' Seller': -6.528015, 'Yes': -7.9253125, ' yes': -9.412545}
{' Yes': -0.19427909, ' No': -1.7414725, ' Nope': -7.7316413, 'Yes': -7.78878, ' Bl': -8.442749}
{' No': -0.67770386, ' Yes': -0.7286129, ' Bl': -5.0472775, ' Nope': -6.8113785, 'No': -7.2598786}
{' Yes': -0.046270017, ' No': -3.1134012, 'Yes': -7.4975486, 'No': -9.74664, ' yes': -10.157865}
{' Yes': -0.01442514, ' No': -4.493103, 'Yes': -6.6557217, ' B': -7.1661086, ' Brow': -8.688297}
{' Yes': -0.003632129, ' No': -5.6985035, 'Yes': -8.286739, ' yes': -11.220247, ' YES': -12.086569}
{' Yes': -0.19252294, ' No': -1.8496637, ' Prince': -5.065728, ' Nope': -5.1047697, 'Yes': -6.401372}
{' Yes': -0.0105030835, ' No': -4.86502, ' Parent': -6.492522, 'Yes': -6.9476743, ' yes': -9.399845}
{' Yes': -0.012216708, ' Parent': -5.054165, ' No': -5.6132774, 'Yes': -6.550722, ' Parents': -8.891563}
{' Yes': -0.0013338423, ' No': -6.9937797, 'Yes': -7.8757877, ' yes': -11.507784, ' YES': -11.696768}
{' Yes': -0.00090032927, ' No': -7.5146713, 'Yes': -8.042828, ' yes': -11.427965, ' YES': -11.829058}
{' Yes': -0.14396876, ' No': -2.016413, 'Yes': -7.3226185, 'No': -9.223564, ' Nope': -9.4001875}
{' No': -0.42733583, ' Yes': -1.0586511, ' Nope': -7.5494823, 'No': -8.734989, 'Yes': -9.099955}
{' Yes': -0.017447125, ' No': -4.1186967, 'Yes': -7.01248, ' Stars': -10.383791, ' yes': -10.814867}
{' Yes': -0.41782588, ' St': -1.3857635, ' No': -3.081749, ' Stars': -3.546156, 'Yes': -5.2816353}
{' Yes': -0.0008429984, 'Yes': -7.519649, ' No': -9.099811, ' Doctor': -9.149759, ' yes': -9.688864}
{' Yes': -0.0033121915, ' No': -6.168744, 'Yes': -7.280516, ' Doctor': -7.80478, ' yes': -9.500869}
{' No': -0.0028370516, 'No': -6.5977917, ' Yes': -6.889218, ' Nope': -7.963885, ' Not': -9.592942}
{' No': -0.0076270346, ' Yes': -5.567987, 'No': -6.307579, ' Nope': -6.649943, ' Not': -7.5981274}
{' No': -0.15967406, ' Yes': -1.9516664, ' Nope': -6.3636327, ' Tennis': -6.424263, 'No': -6.8726125}
{' No': -0.31719568, ' Yes': -1.6234149, ' Tennis': -3.0922086, ' Tenn': -4.0160556, ' Ten': -5.516667}
{' No': -0.077748396, ' Yes': -2.6063359, 'No': -7.3268194, ' Nope': -8.896084, 'Yes': -9.563595}
{' Yes': -0.36590618, ' No': -1.5274204, ' Bucket': -2.5590749, ' Buck': -4.7665157, 'Yes': -6.4884906}
{' Yes': -0.2249131, ' No': -1.636786, 'Yes': -5.8825684, ' States': -6.29887, ' St': -6.660561}
{' Yes': -0.50346583, ' No': -0.96765345, ' St': -5.1228294, ' States': -5.1770496, 'Yes': -6.043668}
{' Yes': -0.0010496621, 'Yes': -7.648123, ' No': -7.680564, ' Yep': -10.665313, ' Sure': -10.685908}
{' Yes': -0.004125661, ' No': -5.923317, 'Yes': -7.0361557, ' Nope': -8.608927, ' Sure': -9.157809}
{' Yes': -0.0023514421, ' No': -6.4060073, 'Yes': -7.4782686, ' yes': -9.885552, ' YES': -10.102608}
{' No': -0.017591916, ' Yes': -4.4604363, ' Nope': -5.49878, 'No': -6.5687404, ' Nah': -8.869598}
{' Yes': -0.00149327, 'Yes': -6.856802, ' No': -9.009149, ' yes': -9.086708, ' YES': -9.281568}
{' Yes': -0.00071534567, 'Yes': -7.444597, ' No': -9.413584, ' yes': -10.905111, ' YES': -11.102829}
{' Yes': -0.45855635, ' No': -1.0041764, ' Turtle': -7.5766153, 'Yes': -7.593697, 'No': -8.205656}
{' No': -0.17496756, ' Yes': -1.8326174, 'No': -8.027304, 'Yes': -9.422814, ' Nope': -9.428045}
{' Yes': -0.0036311715, ' No': -5.79491, 'Yes': -7.5964117, ' yes': -10.78268, ' YES': -11.275147}
{' Yes': -0.6741541, ' No': -0.73328763, ' Butter': -4.8314815, 'Yes': -7.4444833, 'No': -7.4586368}
{' Yes': -0.0057251533, ' No': -5.256503, 'Yes': -7.804049, ' yes': -10.117162, ' YES': -11.613739}
{' Yes': -0.11775831, ' No': -2.2022521, 'Yes': -7.8410277, 'No': -9.492521, ' yes': -10.33361}
{' No': -0.13682966, ' Yes': -2.0666468, 'No': -7.251789, ' Nope': -7.8541903, 'Yes': -9.145999}
{' No': -0.011070831, ' Yes': -4.648703, 'No': -7.0199146, ' Nope': -7.6185017, 'Yes': -11.566407}
{' Yes': -0.013527492, ' No': -4.545422, 'Yes': -6.2693453, ' She': -7.553709, ' YES': -9.362836}
{' Yes': -0.014119628, ' No': -4.5028415, 'Yes': -5.94135, ' YES': -9.689546, ' yes': -9.740916}
{' Yes': -0.01640625, ' No': -4.2089033, 'Yes': -6.7626643, ' yes': -9.53243, ' YES': -9.640321}
{' Yes': -0.05821459, ' No': -2.9055827, 'Yes': -6.675201, ' St': -8.7424965, ' yes': -9.477743}
{' Yes': -0.016785856, ' No': -4.132304, 'Yes': -7.518579, ' yes': -10.711797, 'No': -11.256813}
{' Yes': -0.2846493, ' No': -1.4090484, 'Yes': -6.500334, ' Sunset': -6.996134, 'No': -7.892681}
{' Yes': -0.24714307, ' No': -1.5214674, 'Yes': -8.041565, 'No': -9.161019, ' Nope': -9.373951}
{' No': -0.1296362, ' Yes': -2.193473, ' Nope': -5.2577815, ' Minute': -5.9647207, 'No': -7.030528}
{' Yes': -0.010618197, ' No': -4.594534, 'Yes': -7.776891, ' yes': -11.160253, ' YES': -12.182513}
{' Yes': -0.009313988, ' No': -4.7421403, 'Yes': -7.738066, ' Nope': -10.104017, ' Sure': -10.820088}
{' No': -0.612474, ' Yes': -0.7930447, ' Nope': -6.606905, 'No': -6.704319, 'Yes': -7.120015}
{' Yes': -0.014164243, ' No': -4.444832, 'Yes': -6.6510334, ' Water': -8.414279, ' yes': -8.660007}
{' No': -0.11625649, ' Yes': -2.2174833, 'No': -7.4390044, ' Nope': -8.7329855, 'Yes': -9.723464}
{' No': -0.016524283, ' Yes': -4.1712446, 'No': -7.2892346, ' Nope': -8.421888, ' Not': -11.188922}
{' No': -0.015031962, ' Yes': -4.236475, 'No': -7.9011154, ' Nope': -9.664746, ' Length': -11.30546}
{' No': -0.38197592, ' Yes': -1.1664112, ' Nope': -5.2660584, 'No': -7.850302, ' Length': -8.601208}
{' Yes': -0.0058348035, ' No': -5.2183495, 'Yes': -7.96187, ' yes': -10.476406, ' YES': -12.393438}
{' Yes': -0.001083796, ' No': -7.3874264, 'Yes': -7.794672, ' yes': -10.481827, ' YES': -11.690628}
{' Yes': -0.0012406164, ' No': -7.155754, 'Yes': -7.859921, ' yes': -10.304367, ' YES': -11.229689}
{' Yes': -0.06398298, ' No': -2.794009, 'Yes': -7.4342504, ' Nope': -9.405615, 'No': -10.090265}
{' Yes': -0.26864597, ' No': -1.4501415, 'Yes': -7.5638275, 'No': -8.767824, ' Nope': -8.90929}
{' No': -0.49309415, ' Yes': -0.95305127, ' Muscle': -6.712021, ' Mus': -7.09857, 'No': -7.459258}
{' Yes': -0.5449794, ' Empire': -1.1559947, ' No': -2.888134, ' Em': -3.4304752, ' Emperor': -4.5188336}
{' Yes': -0.50602907, ' Empire': -1.565996, ' No': -2.2104416, ' Em': -2.7340012, ' Emperor': -4.8847895}
{' No': -0.005361221, ' Nope': -5.725034, 'No': -6.776889, ' Yes': -7.0155363, ' N': -11.557671}
{' No': -0.0022037597, ' Yes': -6.8054695, 'No': -7.1486626, ' Nope': -8.119801, ' no': -13.083484}
{' Yes': -0.002918229, ' No': -6.1181197, 'Yes': -7.652553, ' Hunger': -8.762143, ' yes': -10.651491}
{' Yes': -0.24684429, ' No': -1.5232344, ' Nope': -8.1826315, 'Yes': -8.267751, 'No': -8.954135}
{' Yes': -0.0006862372, ' No': -7.902608, 'Yes': -8.144874, ' yes': -10.882995, ' YES': -12.167889}
{' Yes': -0.10319344, ' No': -2.3491821, 'Yes': -6.7136807, ' Nope': -7.254159, 'No': -8.907734}
{' No': -0.2579873, ' Yes': -1.4965947, ' Dagger': -6.360316, 'No': -7.2936816, ' Nope': -7.79178}
{' No': -0.46896693, ' Yes': -0.9860739, 'No': -7.158129, 'Yes': -7.7629747, ' Nope': -9.654176}
{' No': -0.6415655, ' Yes': -0.7490713, 'Yes': -7.981844, 'No': -8.047022, ' yes': -10.829707}
{' Yes': -0.19648983, ' No': -1.7305835, 'Yes': -7.3104672, 'No': -8.762745, ' Nope': -9.6421995}
{' No': -0.18755831, ' Yes': -1.7701693, 'No': -7.6314535, 'Yes': -9.059722, ' Nope': -9.680867}
{' No': -0.2226163, ' Yes': -1.6174374, 'No': -7.405067, ' Nope': -8.255392, 'Yes': -8.638093}
{' No': -0.1649435, ' Yes': -1.9274232, ' Nope': -5.325311, 'No': -7.386925, ' Off': -8.004822}
{' No': -0.17114602, ' Yes': -1.986961, ' Nope': -4.6424623, ' Off': -5.1293187, ' Office': -6.338392}
{' No': -0.046072703, ' Yes': -3.1391587, 'No': -6.940834, ' Nope': -7.5000076, ' Behind': -10.014981}
{' Yes': -0.04131259, ' No': -3.2338424, 'Yes': -7.2457705, ' Nope': -9.308017, 'No': -10.138876}
{' Yes': -0.2066873, ' Thread': -2.270999, ' No': -2.547126, ' Nope': -7.077131, 'Yes': -7.158683}
{' Yes': -0.33705565, ' No': -1.3788266, ' Thread': -3.530085, ' Nope': -6.3371935, ' Dread': -7.141165}
{' No': -0.5462237, ' Yes': -1.1045809, ' Issue': -3.2012336, ' Nope': -4.536149, ' Tess': -5.0269327}
{' No': -0.09914012, ' Yes': -2.4276142, ' Nope': -5.4051037, 'No': -6.950306, 'Yes': -8.366391}
{' No': -0.50125504, ' Yes': -0.93710333, ' Nope': -6.845152, 'No': -7.5228176, ' Sure': -7.7293773}
{' Yes': -0.35275808, ' No': -1.240814, ' Sure': -5.501554, ' Nope': -6.768941, 'Yes': -6.7787247}
{' No': -0.090024024, ' Yes': -2.4690237, 'No': -7.452218, ' Nope': -7.4820313, 'Yes': -8.654256}
{' No': -0.04733133, ' Yes': -3.0975802, 'No': -7.505083, ' Nope': -7.7879295, 'Yes': -9.442341}
{' No': -0.06285133, ' Yes': -2.8470502, ' Nope': -6.4649425, 'No': -7.083382, ' Sne': -8.481069}
{' No': -0.09843634, ' Yes': -2.3946705, ' Nope': -6.30822, 'No': -7.564028, 'Yes': -9.01144}
{' Yes': -0.012011765, ' No': -4.60641, 'Yes': -6.785901, ' Better': -7.540796, ' yes': -9.781501}
{' Yes': -0.35305795, ' No': -1.2158128, 'Yes': -7.7141147, 'No': -8.355528, ' Nope': -8.597704}
{' Yes': -0.082321994, ' No': -2.5436258, 'Yes': -7.9495187, 'No': -10.330851, ' yes': -10.899429}
{' No': -0.59486353, ' Yes': -0.8109796, ' Purple': -6.3827395, ' Nope': -6.5858607, 'Yes': -8.155466}
{' Yes': -0.01689442, ' No': -4.19773, 'Yes': -6.5839276, ' Animal': -8.74721, ' yes': -9.777764}
{' Yes': -0.20478792, ' No': -1.7050511, 'Yes': -6.476024, ' Animal': -6.854261, 'No': -7.532072}
{' Hel': -0.06849824, ' Yes': -2.9062097, ' Help': -5.793784, 'Helper': -5.9548135, ' Helic': -6.0322676}
{' Hel': -0.13182569, ' Yes': -2.214862, 'Helper': -5.74683, ' Help': -5.7539268, ' Helic': -6.023333}
{' Yes': -0.27753055, ' No': -1.4207304, 'Yes': -7.9789963, ' Nope': -8.500738, 'No': -8.594527}
{' Yes': -0.008091695, ' No': -4.898829, 'Yes': -7.5565305, ' yes': -10.416518, ' YES': -11.443457}
{' Yes': -0.23037115, ' No': -1.5843902, 'Yes': -7.7190886, 'No': -8.916713, ' Nope': -9.650832}
{' Yes': -0.09389725, ' No': -2.630749, ' Branch': -4.2921453, 'Yes': -6.108423, ' Br': -7.605335}
{' Yes': -0.4260872, ' No': -1.0633687, 'Yes': -7.129105, 'No': -7.7255387, ' Nope': -8.1478615}
