{' Yes': -0.0061298776, 'Yes': -5.340942, ' Generally': -7.020786, ' yes': -8.552528, ' An': -10.049665}
{' Yes': -0.013417059, ' Generally': -5.2648053, 'Yes': -5.342974, ' B': -6.318831, ' On': -7.587944}
{' Yes': -0.014721912, ' Generally': -5.1844053, 'Yes': -5.407178, ' B': -5.9303827, ' It': -7.8446026}
{' Yes': -0.016097527, 'Yes': -4.365646, ' Generally': -6.072911, ' yes': -7.8900485, ' It': -8.849168}
{' Yes': -0.038203984, 'Yes': -4.4406066, ' Generally': -4.6265793, ' No': -4.894535, ' It': -5.2553115}
{' Yes': -0.021042397, 'Yes': -4.333893, ' Generally': -5.4798303, ' B': -6.130221, ' yes': -7.809538}
{' Yes': -0.026326906, 'Yes': -4.284456, ' B': -5.2441173, ' Generally': -5.603547, ' It': -7.0102305}
{' Yes': -0.015954167, 'Yes': -4.215602, ' yes': -8.187636, ' ': -8.320224, '\n': -8.450337}
{' Yes': -0.02682191, 'Yes': -4.333131, ' No': -5.0198445, ' It': -6.000546, ' Generally': -6.5222054}
{' Yes': -0.019062484, 'Yes': -4.2090745, ' Generally': -6.5643597, ' B': -6.5961456, ' yes': -8.210295}
{' Yes': -0.025397431, 'Yes': -4.0612364, ' B': -5.568099, ' Generally': -6.5989366, ' yes': -7.615212}
{' Yes': -0.0067559322, 'Yes': -5.571214, ' Generally': -6.097498, ' yes': -8.448282, ' A': -8.604179}
{' Yes': -0.022364192, ' Generally': -4.7163224, 'Yes': -5.376982, ' No': -5.4175453, ' It': -6.494081}
{' Yes': -0.024885414, ' Generally': -4.698794, ' B': -4.887465, 'Yes': -5.309567, ' On': -6.5232778}
{' Yes': -0.02527657, ' Generally': -4.851158, ' B': -4.9790993, 'Yes': -5.037737, ' It': -6.8691673}
{' Yes': -0.024947803, 'Yes': -3.9579442, '\n': -6.120992, ' ': -6.8130465, ' Generally': -6.9086924}
{' Yes': -0.29333222, ' No': -1.841281, 'Yes': -3.7487, 'No': -3.9763649, '\n': -4.056159}
{' Yes': -0.032245066, 'Yes': -3.7909465, ' B': -6.0484505, ' Generally': -6.083089, '\n': -6.705925}
{' Yes': -0.106747694, 'Yes': -3.291108, ' B': -3.4372797, ' No': -4.381419, ' Generally': -5.179023}
{' Yes': -0.016080264, 'Yes': -4.457452, ' Generally': -5.9141335, ' yes': -7.4141264, ' A': -8.378085}
{' Yes': -0.025305666, 'Yes': -4.227179, ' Generally': -5.3415823, ' It': -6.7160077, ' A': -6.9224606}
{' Yes': -0.02151494, 'Yes': -4.2461543, ' Generally': -5.899463, ' B': -6.2354503, ' yes': -6.8718147}
{' Yes': -0.03409041, 'Yes': -3.86887, ' B': -5.069554, ' yes': -6.0336843, ' Generally': -6.1297297}
{' Yes': -0.0049123582, 'Yes': -5.61183, ' yes': -7.486443, ' ': -8.078658, '\n': -8.447732}
{' Yes': -0.004229869, 'Yes': -5.918401, ' No': -8.019938, ' yes': -8.116452, ' ': -8.208271}
{' Yes': -0.0077223536, 'Yes': -5.3753943, '\n': -6.866426, ' yes': -7.051097, ' ': -7.845634}
{' Yes': -0.006546225, 'Yes': -5.695188, ' Generally': -7.046187, ' yes': -7.274755, ' B': -7.5141582}
{' Yes': -0.021622863, 'Yes': -4.007991, '\n': -6.9830313, ' yes': -7.036736, ' ': -7.348696}
{' Yes': -0.20421143, ' No': -2.0062647, 'Yes': -4.3992815, '\n': -4.7739935, ' It': -4.865449}
{' Yes': -0.016992263, 'Yes': -4.4212074, ' yes': -6.836494, ' B': -6.863731, ' Generally': -6.920291}
{' Yes': -0.018062342, 'Yes': -4.3219943, ' B': -6.2858024, ' yes': -6.856729, ' ': -7.5786886}
{' Yes': -0.065405175, 'Yes': -3.1615314, '\n': -4.2525997, ' ': -5.4646587, ' yes': -6.7672215}
{' Yes': -0.21275069, '\n': -2.7253182, ' No': -2.9237928, 'Yes': -3.5301583, ' A': -4.0252504}
{' Yes': -0.08628268, '\n': -3.325912, 'Yes': -3.3630292, ' ': -4.955375, ' yes': -6.316976}
{' Yes': -0.06327935, 'Yes': -3.4527519, '\n': -3.9136612, ' ': -5.3136168, ' B': -6.0290456}
{' Yes': -0.0038202277, 'Yes': -5.7557125, ' yes': -7.8949637, ' ': -8.729428, '\n': -9.7968645}
{' Yes': -0.004974717, 'Yes': -5.7889786, ' No': -6.7367363, ' yes': -8.330502, ' ': -8.534328}
{' Yes': -0.005014792, 'Yes': -5.5970325, ' yes': -7.494311, ' B': -8.544096, ' Generally': -8.661205}
{' Yes': -0.004102978, 'Yes': -5.767753, ' yes': -7.7389255, ' B': -8.455069, ' ': -9.066345}
{' Yes': -0.15933177, 'Yes': -2.0925515, '\n': -4.7158017, ' ': -5.1837363, ' yes': -5.2307353}
{' No': -0.4191165, 'No': -1.8712517, ' Yes': -2.1625419, '\n': -3.6884682, ' ': -4.049764}
{' Yes': -0.15088442, 'Yes': -2.2136705, '\n': -4.558086, ' yes': -5.2434783, ' B': -5.3054137}
{' Yes': -0.11147401, 'Yes': -2.4522314, ' B': -5.2288494, '\n': -5.4338517, ' yes': -5.4904966}
{' Yes': -0.024710974, 'Yes': -4.250423, ' yes': -4.9512186, ' ': -6.699644, '\n': -7.5030274}
{' Yes': -0.02231659, 'Yes': -4.497746, ' yes': -5.5666637, ' No': -6.512136, ' ': -6.5160203}
{' Yes': -0.027289711, 'Yes': -4.2172594, ' yes': -4.9491205, ' YES': -6.261703, ' ': -6.7940807}
{' Yes': -0.030421956, 'Yes': -4.3315597, ' yes': -4.489282, ' B': -6.22652, ' ': -6.767482}
{' Yes': -0.07204011, 'Yes': -3.0287986, ' yes': -4.0776224, ' Generally': -6.864933, ' A': -7.1394196}
{' Yes': -0.078722306, 'Yes': -3.2082026, ' yes': -4.140236, ' A': -5.4356155, ' No': -5.53283}
{' Yes': -0.10839699, 'Yes': -2.9343226, ' yes': -3.643041, ' B': -4.631437, ' Generally': -5.479826}
{' Yes': -0.10638008, 'Yes': -3.0575633, ' yes': -3.6565547, ' B': -4.167417, ' Generally': -5.702723}
{' Yes': -0.025106031, 'Yes': -3.8007119, ' yes': -6.2564554, ' Generally': -8.532327, 'yes': -9.332619}
{' Yes': -0.23588192, ' No': -1.8037663, 'Yes': -3.8414476, 'No': -4.153694, ' It': -5.8410397}
{' Yes': -0.052237626, 'Yes': -3.0952652, ' Generally': -5.8517423, ' yes': -6.8985295, ' B': -7.44091}
{' Yes': -0.05897889, 'Yes': -3.0402503, ' Generally': -5.8006296, ' No': -6.0474653, ' B': -6.614635}
{' Yes': -0.028179629, 'Yes': -3.6499844, ' yes': -6.76836, ' ': -8.750809, ' No': -8.934549}
{' Yes': -0.10418468, ' No': -3.0550647, 'Yes': -3.203487, 'No': -4.9126673, ' It': -7.035814}
{' Yes': -0.05465532, 'Yes': -2.9928722, ' yes': -6.886635, ' Generally': -7.5425386, ' B': -8.203226}
{' Yes': -0.07385837, 'Yes': -2.7381954, ' No': -6.3666215, ' yes': -6.8069105, ' B': -6.9049234}
{' Yes': -0.007450833, 'Yes': -5.063908, ' yes': -7.1210103, ' Generally': -9.460199, ' ': -9.52365}
{' Yes': -0.012473899, 'Yes': -4.6623816, ' No': -6.338781, ' yes': -7.5586867, ' Generally': -8.5966835}
{' Yes': -0.020396572, 'Yes': -4.1746855, ' Generally': -6.0815725, ' B': -6.866793, ' yes': -7.22131}
{' Yes': -0.019308437, 'Yes': -4.1365757, ' Generally': -6.6046352, ' B': -7.378445, ' yes': -7.4310355}
{' Yes': -0.106825955, 'Yes': -2.3568337, ' Generally': -6.2859697, ' yes': -6.3643746, ' No': -7.4614706}
{' No': -0.7087059, 'No': -1.2322198, ' Yes': -1.9814948, 'Yes': -3.8507156, ' Generally': -4.0958996}
{' Yes': -0.1429227, 'Yes': -2.177432, ' B': -4.835479, ' Generally': -5.315784, ' yes': -6.3848786}
{' Yes': -0.933304, 'No': -1.7876322, ' No': -1.8730129, ' B': -1.9331821, 'Yes': -2.3005564}
{' Yes': -0.02120628, 'Yes': -4.0894604, ' yes': -5.6019955, ' ': -8.786622, 'yes': -9.034105}
{' No': -0.806989, ' Yes': -0.82171, 'No': -2.9057648, ' Generally': -4.0319147, 'Yes': -4.327949}
{' Yes': -0.04751289, 'Yes': -3.3343608, ' yes': -5.400582, ' B': -5.786881, ' Generally': -6.2822347}
{' Yes': -0.0691904, 'Yes': -2.9376252, ' yes': -5.0657415, ' B': -5.3262587, ' Generally': -6.7198887}
{' Yes': -0.038238727, ' yes': -3.525841, 'Yes': -5.128975, ' ': -7.02356, '\n': -7.605575}
{' Yes': -0.03675652, ' yes': -3.6251693, 'Yes': -4.949934, ' ': -6.8921227, '\n': -7.2763305}
{' Yes': -0.035189632, ' yes': -3.5327406, 'Yes': -5.4890814, ' ': -7.8705273, ' YES': -7.8812895}
{' Yes': -0.07411907, ' yes': -2.7847416, 'Yes': -5.0186286, '\n': -6.942178, ' ': -7.0137787}
{' Yes': -0.03240876, 'Yes': -3.7687578, ' yes': -5.0178537, '\n': -7.1193304, ' ': -7.209368}
{' Yes': -0.031731155, 'Yes': -3.7515206, ' yes': -5.4460607, '\n': -6.5926213, ' ': -6.7483983}
{' Yes': -0.03349318, 'Yes': -3.829277, ' yes': -4.798828, '\n': -6.8598156, ' ': -7.3877273}
{' Yes': -0.035667177, 'Yes': -3.7487042, ' yes': -4.756397, '\n': -6.903016, ' ': -7.223096}
{' Yes': -0.07997096, 'Yes': -2.8919024, ' yes': -4.7330832, '\n': -4.7355876, ' ': -6.1339207}
{' Yes': -0.09592858, 'Yes': -2.9128363, '\n': -3.741707, ' yes': -5.065983, ' ': -5.2709064}
{' Yes': -0.07241363, 'Yes': -3.1600544, '\n': -4.4524565, ' yes': -4.4941053, ' ': -6.369162}
{' Yes': -0.10996092, 'Yes': -2.6654475, '\n': -4.155255, ' yes': -4.229166, ' ': -6.1484756}
{' Yes': -0.013465265, 'Yes': -4.693225, ' yes': -5.636926, '\n': -8.312436, ' ': -8.576773}
{' Yes': -0.014160252, 'Yes': -4.593101, ' yes': -5.7935257, '\n': -7.9291935, ' ': -8.31761}
{' Yes': -0.013990331, 'Yes': -4.6583233, ' yes': -5.707826, ' B': -8.301296, ' Generally': -8.326744}
{' Yes': -0.016076509, 'Yes': -4.4759097, ' yes': -5.6352305, '\n': -7.8609443, ' ': -8.705666}
{' Yes': -0.1575318, 'Yes': -2.1644268, ' yes': -4.195242, '\n': -4.661951, ' ': -5.951744}
{' No': -0.97424394, ' Yes': -1.0969361, 'No': -2.0530097, '\n': -2.4318511, 'Yes': -3.1240375}
{' Yes': -0.16054246, 'Yes': -2.2971563, ' yes': -3.6273985, '\n': -4.463621, ' YES': -5.695455}
{' Yes': -0.17338021, 'Yes': -2.1483235, ' yes': -3.7807698, '\n': -4.501623, ' ': -5.7934933}
{' Yes': -0.108614095, ' yes': -2.6109183, 'Yes': -3.7742844, '\n': -6.0942826, 'yes': -6.4248366}
{' Yes': -0.052614886, ' yes': -3.4560416, 'Yes': -4.4711084, '\n': -5.6927776, ' ': -5.830153}
{' Yes': -0.10696418, ' yes': -2.6109505, 'Yes': -3.9323483, '\n': -5.8270507, ' YES': -6.1958694}
{' Yes': -0.15575588, ' yes': -2.191551, 'Yes': -3.8678396, '\n': -5.1824718, 'yes': -6.2145247}
{' Yes': -0.006251985, 'Yes': -5.537971, '\n': -7.002722, ' yes': -7.547715, ' ': -7.599021}
{' Yes': -0.004274164, 'Yes': -5.9386153, '\n': -7.519657, ' yes': -7.7626944, ' ': -8.118579}
{' Yes': -0.007660487, 'Yes': -5.696198, '\n': -6.3722672, ' ': -7.1970577, ' Generally': -7.2094326}
{' Yes': -0.0059462003, 'Yes': -5.852772, ' yes': -6.96658, '\n': -7.134883, ' ': -7.4669085}
{' Yes': -0.026038785, 'Yes': -3.9839146, '\n': -5.6575003, ' ': -6.409045, ' yes': -6.924464}
{' Yes': -0.026020797, 'Yes': -4.1336575, '\n': -5.3786874, ' ': -6.003098, ' yes': -7.317692}
{' Yes': -0.024529839, 'Yes': -4.341432, '\n': -5.364654, ' Generally': -6.172771, ' ': -6.207521}
{' Yes': -0.025309581, 'Yes': -4.138608, '\n': -5.5507874, ' ': -6.341368, ' B': -6.7481923}
{' Yes': -0.023637682, 'Yes': -4.105217, '\n': -5.703262, ' ': -6.2481093, ' yes': -7.0993743}
{' Yes': -0.039067365, 'Yes': -4.0346975, '\n': -4.52369, ' ': -5.4704313, ' A': -6.004426}
{' Yes': -0.021136269, 'Yes': -4.3451986, '\n': -5.7987394, ' ': -6.3529406, ' yes': -6.8085904}
{' Yes': -0.026933527, 'Yes': -4.0404944, '\n': -5.650302, ' ': -6.212209, ' yes': -6.5214934}
{' Yes': -0.0053772223, 'Yes': -5.6811166, ' ': -7.048977, '\n': -7.3139586, ' yes': -8.095585}
{' Yes': -0.0058733546, 'Yes': -5.880223, '\n': -6.506962, ' ': -6.7633233, ' yes': -8.170318}
{' Yes': -0.008425364, 'Yes': -5.6370106, '\n': -6.2617784, ' ': -6.7071, ' Generally': -7.0808277}
{' Yes': -0.009858425, 'Yes': -5.255681, '\n': -6.0547705, ' ': -6.669671, ' yes': -7.2837133}
{' Yes': -0.023190433, 'Yes': -3.942616, ' ': -6.5912404, '\n': -6.9458184, ' yes': -6.9668465}
{' Yes': -0.119038925, ' No': -2.6980317, 'Yes': -3.8265848, '\n': -4.732969, ' ': -4.9434786}
{' Yes': -0.016345598, 'Yes': -4.33901, ' ': -6.729192, '\n': -7.208923, ' yes': -7.277271}
{' Yes': -0.024961555, 'Yes': -3.9512346, ' ': -6.5123076, ' yes': -6.585104, '\n': -6.7020683}
{' Yes': -0.016247088, 'Yes': -4.761013, ' yes': -5.588856, ' ': -6.4427567, '\n': -6.599308}
{' Yes': -0.019157443, 'Yes': -4.724842, ' yes': -5.6081715, '\n': -5.8195057, ' ': -5.932445}
{' Yes': -0.015654227, 'Yes': -4.674517, ' yes': -5.806521, ' ': -6.9107304, '\n': -7.159712}
{' Yes': -0.027052324, ' yes': -4.4627213, 'Yes': -4.50186, ' ': -6.7188263, '\n': -6.959625}
{' Yes': -0.04602751, ' No': -3.422084, 'Yes': -5.1910295, ' Generally': -5.4065657, ' A': -6.999065}
{' Yes': -0.01160863, 'Yes': -5.0249004, ' Generally': -5.7109895, ' No': -6.9503555, ' yes': -8.521875}
{' Yes': -0.8994527, ' No': -1.2945199, ' B': -1.770165, ' Generally': -2.1652281, ' On': -4.479916}
{' Yes': -0.69080305, ' B': -1.786449, ' Generally': -1.8867679, ' No': -2.2600303, ' It': -3.6809857}
{' Yes': -0.51541626, ' No': -1.1501533, 'No': -3.522403, ' Generally': -3.5880995, 'Yes': -4.2366304}
{' Yes': -0.06298241, ' No': -3.5060363, 'Yes': -4.1099772, ' Generally': -4.7729793, 'No': -6.210972}
{' No': -0.6932193, ' B': -1.4378253, ' Yes': -2.1062825, 'No': -2.7903147, ' Generally': -2.8308191}
{' No': -0.90209585, ' B': -1.0344677, ' Yes': -2.2546368, ' Generally': -3.0873966, 'No': -3.2343807}
{' No': -0.2817859, ' Yes': -1.7643642, 'No': -2.8356283, 'Yes': -5.5410023, ' Generally': -5.6798186}
{' Yes': -0.069966204, ' No': -3.3433194, 'Yes': -3.8827903, 'No': -5.813147, ' Generally': -6.077115}
{' No': -0.20896551, 'No': -2.4825537, ' B': -2.6681216, ' Yes': -3.9466136, ' Generally': -4.936769}
{' No': -1.075681, ' Yes': -1.3313019, ' B': -1.369514, 'No': -3.0491135, ' It': -3.5193264}
{' No': -0.1172757, ' Yes': -2.895043, 'No': -3.5806372, ' A': -4.4511514, ' Generally': -4.464192}
{' Yes': -0.08779893, ' No': -2.8909395, ' Generally': -4.5656223, 'Yes': -4.816824, ' A': -4.9962726}
{' No': -0.27057225, ' B': -1.7160641, 'No': -3.3412795, ' Generally': -4.441377, ' Yes': -5.1115813}
{' No': -0.7423565, ' B': -1.0671685, ' Yes': -2.6299582, ' Generally': -2.8992589, 'No': -3.8540204}
{' No': -0.13315485, 'No': -2.3941965, '\n': -4.2898774, ' Generally': -5.19905, ' ': -5.53572}
{' No': -0.5379651, ' Yes': -1.2635854, 'No': -2.6277058, '\n': -4.1050315, 'Yes': -4.449189}
{' No': -0.22047131, 'No': -2.1775732, ' B': -3.2651813, ' Yes': -4.542303, ' Generally': -4.5506053}
{' No': -0.39047197, 'No': -1.916944, ' B': -2.2037158, ' Yes': -3.9834862, '\n': -4.3737793}
{' No': -0.5833455, ' Yes': -1.1169453, 'No': -3.005455, ' Generally': -3.3492963, ' A': -4.4201355}
{' Yes': -0.033822853, 'Yes': -3.7594619, ' Generally': -5.4936123, ' A': -6.2037444, ' No': -6.8847775}
{' No': -0.39890513, ' B': -1.8294796, 'No': -2.4841654, ' Generally': -3.4135764, ' Yes': -3.4135857}
{' Yes': -0.7152504, ' B': -1.0756553, ' No': -2.70496, ' Generally': -3.3050196, 'Yes': -3.957904}
{' No': -0.018448593, 'No': -4.572514, ' Yes': -5.333636, ' ': -6.6164594, '\n': -7.1984577}
{' Yes': -0.010144876, 'Yes': -5.4841666, ' No': -5.612608, ' ': -7.3459687, '\n': -7.7648134}
{' No': -0.23453769, ' Yes': -2.3083596, ' B': -2.6057572, 'No': -4.494864, '\n': -4.738514}
{' No': -0.86836463, ' Yes': -0.976454, ' B': -1.8625032, ' Generally': -3.886881, 'No': -5.1164865}
{' No': -0.1262485, 'No': -2.3482485, '\n': -4.928012, ' A': -5.1352873, ' Yes': -5.452531}
{' No': -0.11151053, 'No': -3.0745535, ' Yes': -3.2149935, ' A': -4.8643026, '\n': -5.298034}
{' No': -0.16780658, 'No': -2.6148298, ' B': -2.9611623, ' Yes': -4.579727, '\n': -4.926403}
{' No': -0.50155526, ' B': -1.5674733, ' Yes': -2.2790554, 'No': -2.965882, ' Generally': -4.575837}
{' No': -0.20216565, 'No': -2.3783646, '\n': -2.7504804, ' ': -4.421257, ' A': -4.6242447}
{' No': -0.6749019, ' Yes': -1.423481, '\n': -2.1217613, 'No': -2.9881628, ' A': -3.244455}
{' No': -0.4842826, '\n': -1.5944206, 'No': -2.446086, ' B': -3.1823263, ' ': -3.623885}
{' No': -0.53051615, '\n': -1.8891623, 'No': -2.370278, ' B': -2.4294686, ' Yes': -3.2557318}
{' No': -0.018941656, 'No': -4.2504025, ' Yes': -6.372018, ' ': -6.3855433, ' A': -7.27885}
{' Yes': -0.48622045, ' No': -0.9845573, 'No': -5.406724, 'Yes': -5.752299, ' ': -6.379576}
{' No': -0.037482005, 'No': -3.6004376, ' B': -4.993525, ' ': -7.012312, ' Yes': -7.2510624}
{' No': -0.07062637, ' B': -3.3757963, 'No': -3.7101467, ' Yes': -5.3051915, ' It': -6.5648355}
{' No': -0.35682437, 'No': -1.3547891, '\n': -3.6761963, ' ': -4.5812516, ' A': -5.8250074}
{' No': -0.23594442, 'No': -1.7080436, '\n': -4.393375, ' ': -4.6206393, ' A': -5.545331}
{' No': -0.4091948, 'No': -1.4475477, '\n': -3.2569785, ' B': -3.3245845, ' ': -4.1412816}
{' No': -0.51083773, 'No': -1.2461913, ' B': -2.703457, '\n': -3.945734, ' ': -4.350176}
{' No': -0.3811102, ' Yes': -1.7169124, ' A': -2.7148676, 'No': -3.1462467, ' ': -4.4216166}
{' Yes': -0.13098578, ' No': -2.6040711, ' A': -3.9472945, 'Yes': -4.4179235, ' ': -5.1712384}
{' No': -0.40210903, ' B': -1.8267609, ' Yes': -2.5078049, 'No': -2.9548128, ' ': -4.5500584}
{' Yes': -0.46057114, ' B': -1.47727, ' No': -2.7575722, 'Yes': -4.098583, ' Generally': -4.175696}
{' No': -0.18574405, 'No': -1.933911, ' A': -4.895637, ' Yes': -5.0201087, ' Generally': -5.9083905}
{' Yes': -0.19012456, ' No': -2.6178875, 'Yes': -3.0859241, ' A': -3.8550165, ' yes': -4.4000278}
{' No': -0.2598532, 'No': -1.8512725, ' B': -3.0882356, ' no': -5.645409, ' Generally': -5.6812453}
{' Yes': -1.2298273, ' No': -1.2738166, ' B': -1.341289, 'No': -2.9728723, ' It': -3.6743503}
{' No': -0.11885807, 'No': -2.216585, ' Yes': -6.240972, ' ': -8.13042, ' Generally': -8.179365}
{' No': -0.4532163, ' Yes': -1.2815168, 'No': -2.6223886, 'Yes': -4.4922423, ' ': -6.915542}
{' No': -0.47706455, ' Yes': -1.7630676, 'No': -2.0085719, ' Generally': -3.5788822, ' B': -3.604981}
{' No': -0.3073467, 'No': -1.5440505, ' B': -3.9853213, ' Yes': -4.3704705, ' Generally': -4.756291}
{' No': -0.1349671, 'No': -2.1434643, ' Yes': -4.9344893, ' ': -7.5841746, 'Yes': -7.810886}
{' Yes': -0.3234385, ' No': -1.5942, 'Yes': -3.2547717, 'No': -3.503837, ' ': -6.297052}
{' No': -0.25748456, 'No': -1.6360112, ' Yes': -4.184223, ' B': -4.5804405, 'Yes': -6.4064455}
{' No': -0.3634088, 'No': -1.5274217, ' B': -3.2362802, ' Yes': -3.4730833, 'Yes': -5.552029}
{' No': -0.028063826, 'No': -3.6697185, ' Yes': -6.8137994, ' ': -7.9858418, ' A': -8.541791}
{' Yes': -0.6485644, ' No': -0.79516125, 'No': -4.202155, 'Yes': -4.800824, ' A': -7.174822}
{' No': -0.13913971, 'No': -2.6721902, ' Yes': -3.3802476, ' B': -3.9865038, ' Generally': -5.3337464}
{' No': -0.4253582, ' Yes': -1.8828359, ' B': -2.1913705, 'No': -2.915499, ' Generally': -4.179341}
{' No': -0.6038194, 'No': -0.81220865, ' Generally': -5.7414956, ' A': -6.564506, '\n': -6.6072445}
{' No': -0.5243718, 'No': -1.0250527, ' Yes': -3.7368143, ' BAT': -5.2072635, ' Generally': -5.351682}
{' No': -0.6438925, 'No': -0.8949663, ' B': -3.164936, ' Generally': -4.8118134, '\n': -5.412594}
{'No': -0.63018984, ' No': -0.88481325, ' B': -3.1871202, '\n': -5.5146375, ' ': -5.9866605}
{' No': -0.087374546, 'No': -2.5839202, ' A': -6.138499, ' Yes': -6.160777, '\n': -6.730461}
{' No': -0.19168942, 'No': -2.4615011, ' Yes': -2.5795658, ' BAT': -5.77098, 'Yes': -5.8619375}
{' No': -0.49999666, 'No': -1.7916074, ' B': -1.9271721, ' Yes': -2.982262, ' Generally': -4.464945}
{' Yes': -0.960416, ' No': -1.504079, ' B': -1.5071633, 'No': -2.4688025, 'Yes': -3.1741421}
{' No': -0.02650359, 'No': -4.292752, ' ': -5.4441724, ' Yes': -5.657471, ' no': -6.3441806}
{' Yes': -0.028620714, ' yes': -4.4826593, 'Yes': -4.827012, ' No': -5.3350935, ' ': -6.114144}
{' No': -0.05639423, ' B': -3.7613215, 'No': -4.145368, ' Yes': -4.6511836, ' ': -5.905977}
{' No': -0.5021548, ' Yes': -1.566606, ' B': -2.031797, 'No': -4.0775213, ' ': -4.5849853}
{' No': -0.2577797, 'No': -2.0951362, ' Yes': -2.689815, ' A': -4.2380233, '\n': -4.9057307}
{' Yes': -0.10278142, ' No': -3.2891922, 'Yes': -3.4390297, ' ': -5.119232, '\n': -5.1208267}
{' No': -0.15848738, 'No': -2.1318705, '\n': -4.5986934, ' B': -5.0363045, ' ': -5.3097587}
{' No': -0.8232806, ' Yes': -1.5338975, ' B': -1.7201827, 'No': -2.4785175, ' Generally': -3.7416592}
{' No': -0.30422187, 'No': -1.8161601, '\n': -2.5418565, ' ': -4.6616664, ' A': -4.906893}
{' Yes': -0.7313004, '\n': -1.5915776, ' No': -1.7806549, 'Yes': -3.074833, 'No': -3.2256107}
{' No': -0.3189777, 'No': -1.9386065, '\n': -2.3814757, ' B': -3.8868487, ' ': -4.514263}
{'\n': -1.2718867, ' No': -1.5556868, ' B': -1.6622962, ' Yes': -1.8605115, 'No': -2.3305204}
{' No': -0.04931933, 'No': -3.297637, ' Yes': -5.215314, ' ': -6.3720274, '\n': -6.436721}
{' Yes': -0.050485853, ' No': -3.4884167, 'Yes': -4.357004, ' yes': -6.2168555, 'No': -6.7748637}
{' No': -0.074936405, 'No': -2.886412, ' B': -4.5545125, ' Yes': -6.434857, '\n': -6.5115128}
{' No': -0.5727226, ' Yes': -1.3593265, ' B': -2.3221982, 'No': -3.0401602, ' Generally': -4.640149}
{' No': -0.3560859, 'No': -1.3798686, '\n': -3.3445504, ' ': -4.934188, ' no': -5.948509}
{' No': -0.36841473, 'No': -1.4357059, '\n': -3.014756, ' ': -4.5789413, ' Yes': -5.109124}
{' No': -0.35088545, 'No': -1.4447688, '\n': -3.1313326, ' ': -4.818259, ' no': -5.8605695}
{' No': -0.47044685, 'No': -1.1576874, '\n': -3.3496795, ' B': -4.5907435, ' ': -4.766938}
{' No': -0.16716605, 'No': -2.4495661, ' Yes': -3.9659176, '\n': -4.3003736, ' A': -4.427559}
{' Yes': -0.079339504, ' yes': -3.3131325, 'Yes': -3.7760785, '\n': -4.8402705, ' ': -5.3126097}
{' No': -0.21046638, 'No': -2.3031785, '\n': -3.4531858, ' B': -3.541912, ' no': -4.63012}
{' Yes': -0.53491473, ' B': -1.6015918, ' yes': -2.5744216, '\n': -3.2005641, ' No': -3.7436705}
{' No': -0.022591326, 'No': -4.3807683, '\n': -5.435555, ' ': -5.8280187, ' Yes': -6.596619}
{' Yes': -0.011276972, 'Yes': -5.308768, '\n': -6.323511, ' No': -6.3255982, ' ': -6.562895}
{' No': -0.16264115, ' Yes': -3.1125124, ' B': -3.16007, '\n': -3.4409845, 'No': -4.0488906}
{' No': -0.42721283, ' Yes': -1.7815638, ' B': -2.17653, ' Generally': -3.9008322, 'No': -4.298768}
{' No': -0.117540404, 'No': -2.535303, '\n': -3.9275322, ' ': -5.003013, ' A': -5.9958153}
{' Yes': -0.49163234, ' No': -1.1681422, 'No': -3.8464391, '\n': -4.180082, 'Yes': -4.221094}
{' No': -0.13389914, 'No': -2.785905, '\n': -3.1817582, ' B': -4.5619445, ' ': -4.797681}
{' No': -0.37610155, ' B': -1.8774786, 'No': -2.6899483, ' Yes': -3.3982553, '\n': -3.4181316}
{' No': -0.09159017, 'No': -2.8825924, '\n': -3.906722, ' ': -5.098771, ' A': -5.650136}
{' Yes': -0.21802755, ' No': -2.2735696, '\n': -3.354975, 'Yes': -3.867163, ' A': -4.2267404}
{' No': -0.12533095, '\n': -3.093869, 'No': -3.1063583, ' B': -4.4083643, ' ': -4.5453367}
{' No': -0.3732701, ' B': -2.366642, ' Yes': -2.38138, 'No': -2.9268913, '\n': -3.217947}
{' No': -0.016698396, 'No': -4.4352026, ' ': -5.8517866, '\n': -6.4401007, ' A': -9.0803385}
{' Yes': -0.043811467, ' No': -3.6385338, ' ': -5.2459025, 'Yes': -5.3946543, '\n': -5.5073733}
