{' Right': -0.039885, ' Left': -3.3768294, ' right': -5.4826035, ' left': -7.4533596, 'Right': -8.778944}
{' Left': -0.008163626, ' left': -4.9511833, ' Right': -7.4419556, 'Left': -8.009794, 'left': -8.923823}
{' Right': -0.00395085, ' right': -5.877463, ' Left': -7.215433, 'Right': -8.027851, 'right': -9.641064}
{' Left': -0.014947315, ' left': -4.2446723, 'Left': -8.065671, 'left': -8.739308, ' Right': -11.206095}
{' Left': -0.4515319, ' Right': -1.057113, ' left': -5.0685167, 'Right': -5.622564, 'Left': -5.661321}
{' Left': -0.03271763, ' left': -4.1421385, ' Right': -4.7319574, 'Left': -5.064002, 'left': -6.987374}
{' Right': -0.031860538, 'Right': -3.9886665, ' right': -4.4748516, 'right': -6.5775065, ' Left': -10.651107}
{' Left': -0.0365317, ' left': -3.7374802, 'Left': -4.516159, 'left': -6.816523, ' Right': -10.9521675}
{' Right': -0.44613388, ' Left': -1.0846951, ' left': -4.522004, ' right': -4.529453, 'Right': -9.449159}
{' Left': -0.10973208, ' Right': -2.4726338, ' left': -3.9868624, ' right': -7.0528836, 'left': -9.616212}
{' Left': -0.23529321, ' Right': -1.7895402, ' left': -3.2489784, ' right': -5.6280403, 'left': -9.091621}
{' Left': -0.532127, ' Right': -0.9930034, ' left': -3.57854, ' right': -4.2640243, 'left': -9.364547}
{' Left': -0.19110477, ' Right': -1.8666228, ' left': -4.0781035, ' right': -6.373157, 'left': -8.121438}
{' Left': -0.16876987, ' Right': -1.9512424, ' left': -4.442528, ' right': -6.9265075, 'Left': -8.403516}
{' Left': -0.10561559, ' Right': -2.7179127, ' left': -3.4415452, ' right': -6.6859756, 'left': -7.6927047}
{' Right': -0.6627851, ' Left': -0.77301645, ' left': -4.3636956, ' right': -4.6401825, 'Right': -8.499392}
{' Right': -0.5871396, ' Left': -0.94480944, ' left': -3.538035, ' right': -3.718241, 'right': -7.339354}
{' Left': -0.09629952, ' Right': -2.7235084, ' left': -3.7133286, ' right': -7.0509157, 'Left': -7.7794766}
{' Left': -0.12765251, ' Right': -2.3913147, ' left': -3.6457605, ' right': -6.714968, 'left': -7.6846304}
{' Right': -0.3020794, ' Left': -1.5287677, ' right': -3.5109549, ' left': -4.374135, 'Right': -7.4378347}
{' Left': -0.43508264, ' Right': -1.3007805, ' left': -2.8181734, ' right': -3.9005537, 'left': -8.467027}
{' Left': -0.16190307, ' left': -2.4373262, ' Right': -2.8511672, ' right': -5.5498233, 'Left': -8.541757}
{' Left': -0.25635585, ' left': -1.6513336, ' Right': -3.5445216, ' right': -5.380085, 'left': -7.5855293}
{' Left': -0.25130105, ' left': -2.1025736, ' Right': -2.4722407, ' right': -4.193775, 'left': -8.068083}
{' Left': -0.13003635, ' Right': -2.411828, ' left': -3.5201843, ' right': -6.8218923, 'left': -7.228363}
{' Left': -0.06275924, ' Right': -3.2789438, ' left': -3.8410375, 'Left': -7.1566215, 'left': -7.721675}
{' Left': -0.03399778, ' left': -4.0623465, ' Right': -4.197631, 'Left': -7.327073, 'left': -7.952472}
{' Left': -0.38449886, ' Right': -1.1777843, ' left': -4.7565575, ' right': -6.239605, 'Left': -8.184866}
{' Right': -0.6482929, ' Left': -0.7576088, ' left': -5.298657, ' right': -5.8399296, 'Right': -8.957258}
{' Left': -0.09510629, ' Right': -2.4755538, ' left': -5.1023045, ' right': -8.108082, 'Left': -8.988043}
{' Left': -0.09841523, ' Right': -2.536163, ' left': -4.301328, ' right': -7.412761, 'left': -8.701001}
{' Right': -0.69331944, ' Left': -0.71069926, ' left': -5.325615, ' right': -5.602808, 'Right': -9.47211}
{' Left': -0.717363, ' Right': -0.7471158, ' left': -4.0114646, ' right': -4.3534083, 'Right': -5.5330405}
{' Left': -0.50174695, ' Right': -0.999462, ' left': -4.2171645, ' right': -4.9335365, 'Right': -6.125644}
{' Left': -0.30154684, ' Right': -1.5061806, ' left': -3.680102, ' right': -5.1180425, 'Left': -5.730074}
{' Right': -0.23204225, ' Left': -1.8980368, ' right': -3.263746, ' left': -4.8098693, 'Right': -4.931165}
{' Right': -0.006205924, ' Left': -5.734311, ' right': -5.909333, 'Right': -8.7252, ' left': -9.776584}
{' Left': -0.033472713, ' left': -3.4238346, 'Left': -8.366785, 'left': -9.226509, ' "': -15.180986}
{' Right': -0.038436547, ' right': -3.2846577, 'Right': -8.771733, 'right': -9.632903, ' Left': -10.630084}
{' Left': -0.041454416, ' left': -3.2120419, 'Left': -8.379305, 'left': -9.205454, ' "': -13.206944}
{' Left': -0.13476603, ' Right': -2.3004973, ' left': -3.723572, ' right': -7.2252083, 'Left': -7.45425}
{' Left': -0.027428769, ' left': -3.641532, 'Left': -7.427262, 'left': -8.302426, ' ': -14.241854}
{' Right': -0.028482046, ' right': -3.6079857, 'Right': -7.312846, 'right': -8.468129, ' Left': -9.501466}
{' Left': -0.048136275, ' left': -3.0792549, 'Left': -7.2539964, 'left': -8.152344, ' "': -12.360332}
{' Left': -0.08235319, ' Right': -3.010936, ' left': -3.573644, 'Left': -7.2221727, ' right': -7.5563345}
{' Left': -0.05288401, ' left': -2.994973, 'Left': -7.0139756, 'left': -7.475985, ' ': -12.721069}
{' Right': -0.055557653, ' right': -2.959156, 'Right': -6.770256, 'right': -7.3182793, ' Left': -8.3268795}
{' Left': -0.095189415, ' left': -2.4167302, 'Left': -7.0342836, 'left': -7.301269, ' "': -10.779988}
{' Right': -0.3917783, ' Left': -1.7642146, ' right': -2.4296982, ' left': -2.7509701, 'Right': -7.8636923}
{' Left': -0.36969516, ' left': -1.1765361, 'left': -7.872617, 'Left': -8.026265, ' ': -13.997408}
{' Right': -0.31418163, ' right': -1.317981, ' Left': -7.316558, 'right': -7.7531366, 'Right': -7.8040423}
{' Left': -0.6715028, ' left': -0.71704835, 'left': -7.6233783, 'Left': -7.9855285, ' "': -10.317887}
{' Left': -0.060135078, ' left': -2.8835263, 'Left': -6.599299, 'left': -7.513081, ' Right': -7.625169}
{' Left': -0.0711934, ' left': -2.709236, 'Left': -6.537849, 'left': -7.304059, ' ': -11.92868}
{' Right': -0.049722746, ' right': -3.1255398, ' Left': -6.2127776, 'Right': -6.4545207, 'right': -7.457714}
{' Left': -0.102419294, ' left': -2.3545763, 'Left': -6.361023, 'left': -7.3149643, ' "': -11.380042}
{' Left': -0.02750014, ' Right': -4.1769657, ' left': -4.473158, 'Left': -8.410178, 'left': -9.40599}
{' Left': -0.014877863, ' left': -4.2356987, 'Left': -8.431879, 'left': -9.453409, ' ': -13.991659}
{' Right': -0.015973547, ' right': -4.4060698, ' Left': -5.7648478, 'Right': -8.246882, ' left': -9.066651}
{' Left': -0.030841649, ' left': -3.5075092, 'Left': -8.180445, 'left': -9.089386, ' ': -12.909955}
{' Left': -0.14115798, ' Right': -2.3114078, ' left': -3.6780915, 'Left': -5.4730763, ' right': -6.6070924}
{' Left': -0.054451693, ' left': -3.0697026, 'Left': -5.2327867, 'left': -6.7187734, ' ': -11.587515}
{' Right': -0.04245972, ' right': -3.4964983, 'Right': -4.6566677, 'right': -6.42202, ' Left': -9.67938}
{' Left': -0.085604556, ' left': -2.5987654, 'Left': -5.0669413, 'left': -6.5973077, ' ': -11.750511}
{' Right': -0.22390296, ' Left': -1.7092928, ' right': -4.488256, ' left': -4.830104, 'Right': -8.403993}
{' Left': -0.042910326, ' left': -3.1821926, 'Left': -8.40641, ' Right': -8.6396675, 'left': -9.164141}
{' Left': -0.33943903, ' left': -1.6724583, ' Right': -2.371282, ' right': -5.139055, 'left': -7.548871}
{' Left': -0.14063056, ' left': -2.0454483, ' Right': -6.741971, 'left': -7.9082637, 'Left': -8.307584}
{' Right': -0.5711367, ' Left': -0.86612153, ' left': -4.7045803, ' right': -5.4334493, 'Right': -7.540851}
{' Left': -0.02503373, ' left': -3.745994, 'Left': -7.332185, 'left': -8.360215, ' Right': -8.4262495}
{' Left': -0.09138849, ' left': -2.6541476, ' Right': -4.197931, 'Left': -7.1527743, 'left': -7.1828837}
{' Left': -0.089902855, ' left': -2.4666233, 'left': -7.4863772, 'Left': -7.614942, ' Right': -9.869872}
{' Right': -0.38005286, ' Left': -1.3186249, ' left': -3.7708476, ' right': -3.7879717, 'Right': -6.5464053}
{' Left': -0.056565393, ' left': -2.940814, 'Left': -6.7301927, 'left': -7.3803277, ' Right': -7.988805}
{' Left': -0.1556916, ' left': -2.107611, ' Right': -3.9804058, 'left': -6.352722, 'Left': -6.6972833}
{' Left': -0.14281222, ' left': -2.0369294, 'left': -6.6498384, 'Left': -7.0947466, ' Right': -7.635054}
{' Right': -0.7488627, ' Left': -0.7938646, ' left': -3.000297, ' right': -3.712747, 'Right': -8.210189}
{' Left': -0.19419754, ' left': -1.7394702, 'Left': -7.801465, 'left': -8.08187, ' Right': -8.766187}
{' Left': -0.6311881, ' left': -0.7829291, ' Right': -4.916295, ' right': -6.1225324, 'left': -6.887904}
{' Left': -0.31397104, ' left': -1.3210626, ' Right': -6.633501, 'left': -7.308378, 'Left': -8.051455}
{' Right': -0.16372949, ' Left': -2.0394466, ' right': -4.429303, ' left': -5.128779, 'Right': -6.1320715}
{' Left': -0.04111743, ' left': -3.2642484, 'Left': -6.3832536, 'left': -7.9454656, ' Right': -11.507453}
{' Left': -0.09043936, ' left': -2.569346, ' Right': -5.094176, 'Left': -6.1003895, 'left': -6.664093}
{' Left': -0.11277102, ' left': -2.2612162, 'Left': -6.642834, 'left': -6.825246, ' Right': -10.619832}
{' Right': -0.6146105, ' Left': -0.79227436, ' left': -5.384666, ' right': -6.5941463, 'Right': -8.586032}
{' Left': -0.008843927, ' left': -4.785999, 'Left': -8.433604, ' Right': -8.550508, 'left': -9.96437}
{' Left': -0.04284388, ' left': -3.4037218, ' Right': -4.8097944, 'Left': -8.30985, 'left': -8.505519}
{' Left': -0.02280168, ' left': -3.8194017, ' Right': -8.105853, 'Left': -8.65616, 'left': -9.002979}
{' Right': -0.056704793, ' Left': -3.901584, ' right': -4.088027, 'Right': -4.186429, 'right': -6.487359}
{' Left': -0.054477688, ' left': -3.0853577, 'Left': -5.060501, 'left': -7.0051003, ' Right': -9.868982}
{' Left': -0.13019134, ' left': -2.3250613, ' Right': -4.181819, 'Left': -5.189861, 'left': -6.037456}
{' Left': -0.10703714, ' left': -2.4377215, ' Right': -5.083668, 'Left': -5.208979, 'left': -6.2079244}
{' Right': -0.011746247, ' Left': -4.626435, ' right': -6.3955655, 'Right': -9.085541, ' left': -9.359768}
{' Right': -0.43929183, ' Left': -1.0630139, ' left': -5.1645093, ' right': -5.505818, 'Right': -8.831791}
{' Right': -0.143989, ' Left': -2.1000724, ' right': -4.7024207, ' left': -6.0634737, 'Right': -8.718219}
{' Right': -0.031555638, ' Left': -3.6333394, ' right': -5.5253034, ' left': -7.7346497, 'Right': -8.687407}
{' Right': -0.0146200545, ' Left': -4.485928, ' right': -6.027757, 'Right': -7.3586364, ' left': -9.051422}
{' Right': -0.678629, ' Left': -0.75004023, ' left': -4.3840923, ' right': -5.0432014, 'Right': -7.5367546}
{' Left': -0.4647573, ' Right': -1.0810559, ' left': -3.7890654, ' right': -4.8406763, 'Left': -7.246743}
{' Right': -0.016536284, ' Left': -4.7459407, ' right': -5.0409293, 'Right': -7.050826, ' left': -8.485234}
{' Right': -0.09583759, ' Left': -2.9102561, ' right': -3.6212912, ' left': -5.3915186, 'Right': -5.6527405}
{' Right': -0.60927385, ' Left': -0.9962349, ' left': -3.1100712, ' right': -3.3508623, 'Right': -6.0333476}
{' Left': -0.57530445, ' Right': -1.092051, ' left': -2.6713967, ' right': -3.66569, 'left': -6.2939982}
{' Right': -0.08481776, ' right': -3.3056924, ' Left': -3.4020572, ' left': -5.535789, 'Right': -5.5379386}
{' Right': -0.025565756, ' right': -4.1096034, ' Left': -4.8306003, ' left': -7.7496905, 'Right': -8.037673}
{' Right': -0.22755413, ' Left': -1.8264289, ' right': -3.5199485, ' left': -4.402517, 'Right': -7.904817}
{' Right': -0.2918489, ' Left': -1.6756169, ' right': -3.0609565, ' left': -3.9945316, 'Right': -7.9753675}
{' Right': -0.038393874, ' right': -3.588269, ' Left': -4.761048, ' left': -7.0863824, 'Right': -7.707974}
{' Right': -0.27417716, ' Left': -1.5412288, ' right': -4.69383, ' left': -4.6952014, 'Right': -5.392204}
{' Left': -0.5314008, ' Right': -0.9998647, ' left': -3.5418282, ' right': -4.852951, 'Left': -5.7800274}
{' Left': -0.37882897, ' Right': -1.2759695, ' left': -3.7650728, ' right': -5.1782484, 'Left': -5.657208}
{' Right': -0.35485324, ' Left': -1.3428293, ' left': -4.278246, ' right': -4.530413, 'Right': -5.225735}
{' Right': -0.0076776664, ' Left': -5.127581, ' right': -6.6146073, 'Right': -8.1387005, ' left': -9.806732}
{' Right': -0.4298758, ' Left': -1.093673, ' left': -4.79651, ' right': -5.179797, 'Right': -8.295726}
{' Left': -0.4720657, ' Right': -1.0273178, ' left': -4.2616053, ' right': -5.569674, 'Left': -8.698089}
{' Right': -0.008267773, ' Left': -5.4017115, ' right': -5.7269526, 'Right': -8.0794, ' left': -9.32397}
{' Right': -0.021813089, 'Right': -4.337317, ' right': -5.1732335, ' Left': -6.1536107, 'right': -7.4064107}
{' Right': -0.18779476, ' Left': -1.9847385, ' right': -4.2495427, 'Right': -4.537814, ' left': -5.1594114}
{' Right': -0.09208988, ' Left': -3.1771538, ' right': -3.7124605, 'Right': -4.0961485, ' left': -6.0941896}
{' Right': -0.044419326, ' Left': -4.1787515, 'Right': -4.271804, ' right': -4.409085, 'right': -6.906695}
{' Left': -0.049581174, ' left': -3.036132, 'Left': -8.456867, 'left': -8.988761, ' Right': -11.194304}
{' Right': -0.003422475, ' right': -5.7190094, 'Right': -9.023671, 'right': -12.000297, ' RIGHT': -12.526682}
{' Left': -0.1191489, ' left': -2.283463, ' Right': -4.6605396, ' right': -7.674486, 'left': -8.272688}
{' Right': -0.07711158, ' right': -2.6041958, 'Right': -8.722964, 'right': -9.634637, ' Left': -11.257989}
{' Left': -0.04140869, ' left': -3.2240927, 'Left': -7.6896114, 'left': -8.102974, ' Right': -11.600518}
{' Right': -0.0034571637, ' right': -5.8151937, 'Right': -7.7528358, 'right': -10.57139, ' RIGHT': -12.079726}
{' Left': -0.119841166, ' left': -2.7700315, ' Right': -3.049513, ' right': -6.492523, 'left': -7.328205}
{' Right': -0.061972827, ' right': -2.8274453, 'Right': -7.3567133, 'right': -8.308681, ' Left': -10.687188}
{' Left': -0.10502552, ' left': -2.3242047, 'Left': -6.9770627, 'left': -7.0366488, ' Right': -11.587112}
{' Right': -0.008732268, ' right': -4.851143, 'Right': -7.1881833, 'right': -9.464706, ' "': -11.091101}
{' Left': -0.12720925, ' left': -2.1617894, ' Right': -6.466395, 'Left': -6.6014485, 'left': -6.736527}
{' Right': -0.057769228, ' right': -2.9078956, 'Right': -6.7916255, 'right': -7.8718505, ' ': -11.054006}
{' Left': -0.27579066, ' left': -1.4260916, 'Left': -7.9446917, 'left': -7.9470854, ' Right': -9.720178}
{' Right': -0.08292225, ' right': -2.5379162, 'Right': -7.7896595, 'right': -9.300055, ' RIGHT': -11.131372}
{' Left': -0.4743117, ' left': -1.3579042, ' Right': -2.3203046, ' right': -3.8620605, 'left': -7.4031863}
{' Right': -0.36575228, ' right': -1.1855938, 'right': -8.058753, 'Right': -8.068479, ' Left': -9.724553}
{' Left': -0.15027556, ' left': -1.9925053, 'Left': -6.2690597, 'left': -6.6804247, ' Right': -11.375538}
{' Right': -0.017936597, ' right': -4.1463833, 'Right': -6.363046, 'right': -8.716091, ' ': -10.88929}
{' Left': -0.13511331, ' left': -2.3176522, ' Right': -3.7724595, 'Left': -6.127627, 'left': -6.6520543}
{' Right': -0.061832566, ' right': -2.846531, 'Right': -6.560964, 'right': -7.7369204, ' ': -10.811377}
{' Left': -0.018854305, ' left': -3.998697, 'Left': -8.309402, 'left': -9.363262, ' Right': -12.379343}
{' Right': -0.002150179, ' right': -6.2884545, 'Right': -8.266071, 'right': -11.347219, ' Left': -11.755405}
{' Left': -0.07490577, ' left': -2.6517167, ' Right': -6.9002852, 'left': -8.101906, 'Left': -8.184225}
{' Right': -0.016582703, ' right': -4.123827, 'Right': -8.669643, 'right': -9.864577, ' Left': -10.64847}
{' Left': -0.16001408, ' left': -1.9814594, 'Left': -4.9866242, 'left': -5.798569, ' Right': -9.032768}
{' Right': -0.017406972, ' right': -4.732859, 'Right': -4.8350224, 'right': -7.651631, ' RIGHT': -10.914576}
{' Left': -0.22663954, ' Right': -2.2753916, ' left': -2.461724, ' right': -5.1686025, 'Left': -5.2335114}
{' Right': -0.06561697, ' right': -2.9411318, 'Right': -4.7511907, 'right': -6.2252865, ' Left': -10.106222}
{' Left': -0.016705547, ' left': -4.1934385, ' Right': -6.637963, 'Left': -9.042637, 'left': -10.415321}
{' Right': -0.0067416495, ' right': -5.0480394, 'Right': -8.635238, ' Left': -9.275504, 'right': -10.923968}
{' Left': -0.018308412, ' left': -4.0216656, 'Left': -8.916795, 'left': -10.075473, ' Right': -10.083134}
{' Right': -0.0030192595, ' right': -5.9760337, ' Left': -8.244855, 'Right': -8.597282, 'right': -11.39828}
{' Left': -0.009411095, ' left': -4.7635193, ' Right': -7.85259, 'Left': -7.9022393, 'left': -9.58497}
{' Right': -0.003415897, ' right': -5.8145823, 'Right': -7.8564067, 'right': -10.563555, ' Left': -11.651715}
{' Left': -0.0119089745, ' left': -4.4751697, 'Left': -7.950551, 'left': -9.274167, ' Right': -12.80248}
{' Right': -0.004429873, ' right': -5.689545, 'Right': -7.1927843, ' Left': -8.447604, 'right': -10.019305}
{' Left': -0.028053835, ' left': -3.6698651, 'Left': -6.675692, ' Right': -7.39295, 'left': -8.169476}
{' Right': -0.008615866, ' right': -4.978565, 'Right': -6.492064, 'right': -8.824467, ' RIGHT': -11.492795}
{' Left': -0.01843493, ' left': -4.0594883, 'Left': -7.4377804, ' Right': -8.421298, 'left': -8.558817}
{' Right': -0.0073606996, ' right': -5.314823, 'Right': -6.5613136, ' Left': -7.196015, 'right': -9.009529}
{' Left': -0.059871912, ' left': -2.8826392, ' Right': -6.3958907, 'Left': -8.272722, 'left': -9.111919}
{' Right': -0.044160016, ' right': -3.1514747, 'Right': -8.214028, 'right': -9.459708, ' Left': -10.0062475}
{' Left': -0.09349867, ' left': -2.4240441, 'Left': -8.276335, ' Right': -8.297039, 'left': -8.673124}
{' Right': -0.059426505, ' right': -2.8875208, ' Left': -6.915576, 'Right': -7.4353113, 'right': -8.746831}
{' Left': -0.031934563, ' left': -3.55858, 'Left': -5.969655, 'left': -7.994413, ' Right': -10.059831}
{' Right': -0.008423921, ' right': -4.978881, 'Right': -6.5984297, 'right': -9.1024275, ' ': -11.228958}
{' Left': -0.0341313, ' left': -3.4469614, 'Left': -6.5815177, 'left': -8.055085, ' ': -12.292162}
{' Right': -0.0106012095, ' right': -4.8965473, 'Right': -6.2271233, ' Left': -7.2155094, 'right': -8.765322}
{' Left': -0.0086369105, ' left': -4.8169026, ' Right': -8.339136, 'Left': -8.390413, 'left': -10.168087}
{' Right': -0.001784859, ' right': -6.496434, 'Right': -8.366554, ' Left': -10.626538, 'right': -11.429156}
{' Left': -0.0038925693, ' left': -5.592448, 'Left': -9.047637, ' Right': -10.759397, 'left': -10.850051}
{' Right': -0.0015748754, ' right': -7.1147337, ' Left': -7.7068644, 'Right': -8.267274, ' "': -10.44925}
{' Left': -0.038496323, ' left': -3.900322, ' Right': -4.416483, 'Left': -5.368086, 'left': -7.768011}
{' Right': -0.036754414, 'Right': -3.9259315, ' right': -4.24073, 'right': -6.489717, ' Left': -7.8235335}
{' Left': -0.0534056, ' left': -3.3454435, ' Right': -4.8150764, 'Left': -4.9393153, 'left': -6.843946}
{' Right': -0.087794445, ' Left': -2.9437053, 'Right': -4.17669, ' right': -4.3628283, 'right': -6.6137643}
{' Left': -0.6208796, ' Right': -0.8168635, ' left': -4.2349277, ' right': -5.124929, 'Right': -9.336141}
{' Left': -0.043556422, ' left': -3.8008826, ' Right': -3.9355109, ' right': -8.06522, 'Left': -8.432636}
{' Right': -0.01881003, ' right': -4.024814, 'Right': -8.049885, ' Left': -8.122384, 'right': -8.937297}
{' Left': -0.057623174, ' left': -2.893307, 'Left': -8.34502, 'left': -8.384, ' Right': -8.96097}
{' Left': -0.038658008, ' Right': -3.8532157, ' left': -4.1596923, 'Left': -7.3682585, 'left': -8.175635}
{' Left': -0.024800358, ' left': -3.813937, ' Right': -6.5560427, 'Left': -7.492966, 'left': -7.7402635}
{' Right': -0.037052203, ' right': -4.0123825, ' Left': -4.107395, 'Right': -7.266622, ' left': -7.27749}
