{' Yes': -0.055776756, ' No': -2.984169, ' The': -6.1620555, 'Yes': -6.8753333, '\n': -8.805377}
{' No': -0.008539999, ' Yes': -5.203566, 'No': -5.946574, ' The': -9.260707, '\n': -9.262303}
{' No': -0.025716314, ' Yes': -3.9479096, 'No': -5.282829, '\n': -7.535293, ' The': -8.415242}
{' No': -0.022019202, ' Yes': -4.0199857, 'No': -5.7463803, '\n': -8.213708, ' The': -8.7604475}
{' Yes': -0.26196098, ' No': -1.4801636, 'Yes': -6.624216, 'No': -7.3347797, ' The': -7.6352043}
{' No': -0.39608482, ' Yes': -1.1271696, 'No': -6.3112245, 'Yes': -7.298663, ' The': -8.425214}
{' No': -0.19585256, ' Yes': -1.7462293, 'No': -6.0728564, ' The': -7.907158, 'Yes': -7.941574}
{' No': -0.05049877, ' Yes': -3.1136222, 'No': -5.480428, '\n': -8.632815, 'Yes': -8.860314}
{' No': -0.009825137, ' Yes': -5.2585664, 'No': -5.7356853, '\n': -6.8947735, ' ': -8.9417}
{' No': -0.017986478, ' Yes': -4.2374516, 'No': -5.795843, ' The': -8.94631, '\n': -9.407713}
{' No': -0.006151407, 'No': -5.7228985, ' Yes': -5.97002, ' The': -9.166891, '\n': -9.405199}
{' No': -0.003582358, 'No': -5.87512, ' Yes': -7.5789394, ' The': -9.284636, '\n': -9.763659}
{' No': -0.005892056, 'No': -5.2428284, ' Yes': -8.21076, '\n': -9.024885, ' The': -9.441593}
{' No': -0.01014301, 'No': -4.751537, ' Yes': -7.116857, '\n': -8.19608, ' The': -8.808819}
{' No': -0.010567837, 'No': -4.6034193, ' ': -8.9648485, '\n': -9.032169, ' The': -9.359652}
{' No': -0.023854174, ' Yes': -3.9586763, 'No': -5.5091043, ' The': -8.798778, '\n': -9.017533}
{' No': -0.027627766, ' Yes': -3.7221923, 'No': -5.9315963, '\n': -8.836316, ' The': -9.074404}
{' No': -0.42798918, ' Yes': -1.067647, 'No': -6.0310884, 'Yes': -6.8325644, '\n': -7.556868}
{' No': -0.045760117, ' Yes': -3.186856, 'No': -5.882946, ' The': -8.464859, '\n': -8.675348}
{' No': -0.010212256, ' Yes': -5.1659336, 'No': -5.552507, '\n': -8.291498, ' The': -9.09173}
{' Yes': -0.006346218, ' No': -5.666041, 'Yes': -6.294922, '\n': -7.6564407, ' yes': -7.980751}
{' No': -0.39370382, ' Yes': -1.133406, 'No': -6.365458, ' The': -7.460857, 'Yes': -7.7388687}
{' Yes': -0.030310377, ' No': -3.576281, ' The': -6.794539, 'Yes': -7.576109, ' yes': -9.11783}
{' Yes': -0.006895522, ' No': -5.136553, 'Yes': -7.5916657, ' The': -8.320339, ' yes': -8.783131}
{' Yes': -0.007369707, ' No': -5.0086226, 'Yes': -7.624999, ' yes': -9.632268, ' The': -9.969888}
{' Yes': -0.019358572, ' No': -3.985707, 'Yes': -7.84039, ' The': -9.739547, ' yes': -9.766416}
{' No': -0.039075173, ' Yes': -3.3110495, ' The': -7.158173, 'No': -7.2987037, '\n': -9.089839}
{' No': -0.25852376, ' Yes': -1.490507, ' The': -6.8408504, 'No': -7.1991725, ' ': -8.564002}
{' No': -0.083935894, ' Yes': -2.5477057, 'No': -6.57589, ' The': -7.5685186, '\n': -9.104228}
{' No': -0.081930384, ' Yes': -2.5756512, 'No': -6.459463, ' The': -7.71406, '\n': -8.538656}
{' Yes': -0.2168908, ' No': -1.6419625, 'Yes': -7.262497, 'No': -8.091328, ' The': -8.949989}
{' No': -0.48067182, ' Yes': -0.9677915, 'No': -7.250448, ' The': -7.5941167, 'Yes': -8.280087}
{' No': -0.004972259, 'No': -6.0211954, ' Yes': -6.2231493, ' The': -8.095951, ' ': -9.609244}
{' No': -0.21161564, ' Yes': -1.6722594, 'No': -6.364272, ' The': -7.799609, 'Yes': -7.9248614}
{' No': -0.05800796, ' Yes': -2.9200723, ' The': -6.8552985, 'No': -6.962604, ' Indian': -8.346641}
{' No': -0.003073247, ' Yes': -6.4461064, 'No': -6.705281, ' The': -8.56727, ' no': -11.04603}
{' Yes': -0.023543393, ' No': -3.8027277, 'Yes': -7.632947, ' The': -8.297951, ' yes': -8.948696}
{' Yes': -0.00998081, ' No': -4.706121, 'Yes': -7.5499015, ' The': -8.319232, ' yes': -9.781703}
{' No': -0.01349493, ' Yes': -4.447491, 'No': -6.5135074, ' The': -9.923517, ' Unfortunately': -10.105444}
{' No': -0.1502493, ' Yes': -1.9797343, 'No': -7.040376, 'Yes': -8.943714, '\n': -9.074311}
{' Yes': -0.38416666, ' No': -1.1475868, 'Yes': -7.61825, 'No': -7.7086573, ' The': -8.340068}
{' No': -0.0014376382, 'No': -6.666497, ' Yes': -9.144683, ' ': -10.418704, ' The': -11.457919}
{' No': -0.26880506, ' Yes': -1.4637761, ' The': -6.2361736, 'No': -6.5026646, 'Yes': -8.287373}
{' No': -0.021120746, ' Yes': -4.047559, 'No': -6.0625696, ' The': -7.638998, '\n': -8.3691435}
{' Yes': -0.00071117055, 'Yes': -7.385967, ' yes': -9.573594, ' YES': -11.229658, ' ': -12.375017}
{' Yes': -0.00080058357, 'Yes': -7.340684, ' yes': -9.868505, ' No': -9.981179, ' YES': -10.895776}
{' No': -0.22250558, ' Yes': -1.6220437, 'No': -6.9182816, ' The': -7.3179355, 'Yes': -8.676399}
{' No': -0.012231431, ' Yes': -4.581426, 'No': -6.5105295, ' The': -8.119532, '\n': -10.194541}
{' Yes': -0.22865099, ' No': -1.5985812, ' The': -7.131635, 'Yes': -7.1323957, 'No': -8.292259}
{' Yes': -0.56867826, ' No': -0.84061843, 'Yes': -7.112835, 'No': -7.455549, ' The': -7.5329704}
{' No': -0.0031921745, ' Yes': -6.3872766, 'No': -6.635549, ' The': -9.762126, ' ': -9.815362}
{' No': -0.014798856, ' Yes': -4.3263793, 'No': -6.719562, ' The': -9.251892, ' ': -9.522661}
{' No': -0.011359738, ' Yes': -4.70779, 'No': -6.240638, ' The': -8.701457, ' ': -9.564517}
{' No': -0.028021164, ' Yes': -3.655966, 'No': -6.505502, ' The': -8.811892, ' ': -10.233457}
{' Yes': -0.10720687, ' No': -2.299849, 'Yes': -7.376787, ' The': -7.879364, 'No': -9.334364}
{' No': -0.07177752, ' Yes': -2.6857567, 'No': -7.2224655, ' The': -8.708916, ' ': -9.805834}
{' Yes': -0.20814006, ' No': -1.6824386, 'Yes': -6.86711, ' The': -7.4247975, 'No': -8.584788}
{' No': -0.114768215, ' Yes': -2.2395108, 'No': -6.6316724, 'Yes': -8.208392, ' The': -8.637853}
{' No': -0.03144129, ' Yes': -3.5425038, 'No': -6.635887, ' The': -7.7120132, '\n': -9.528044}
{' No': -0.21247458, ' Yes': -1.6660573, 'No': -6.721147, ' The': -7.636999, 'Yes': -8.199085}
{' Yes': -0.07604842, ' No': -2.6320958, 'Yes': -7.110007, ' The': -8.728257, 'No': -9.293689}
{' Yes': -0.30119073, ' No': -1.3558496, 'Yes': -6.8323236, 'No': -7.468692, ' The': -8.091358}
{' Yes': -0.0010977585, ' No': -7.405726, 'Yes': -7.816216, ' yes': -9.683349, ' ': -11.593927}
{' Yes': -0.16643357, ' No': -1.8829309, 'Yes': -7.383957, 'No': -8.454783, ' The': -8.68405}
{' No': -0.03617078, ' Yes': -3.3845992, 'No': -6.9136577, ' The': -7.7886863, ' ': -9.282434}
{' Yes': -0.19538738, ' No': -1.7501607, ' Pen': -6.695727, ' The': -6.6983647, 'Yes': -7.3446107}
{' Yes': -0.0045515364, ' No': -5.573828, 'Yes': -7.4982877, ' yes': -9.583233, ' The': -9.687637}
{' No': -0.17410973, ' Yes': -1.8468527, ' The': -7.168179, 'No': -7.248901, ' ': -8.655475}
{' Yes': -0.009706383, ' No': -4.728403, 'Yes': -7.581392, ' The': -8.69995, ' yes': -9.584385}
{' Yes': -0.015677718, ' No': -4.218087, 'Yes': -7.7456746, ' The': -8.182793, ' yes': -9.594559}
{' Yes': -0.028745722, ' No': -3.5921113, 'Yes': -7.5685115, ' The': -8.808192, ' yes': -10.214368}
{' Yes': -0.18036881, ' No': -1.8133472, ' The': -6.986515, 'Yes': -7.5482635, 'No': -8.744352}
{' No': -0.041348185, ' Yes': -3.2634723, 'No': -6.6630387, ' The': -7.2728333, '\n': -9.457531}
{' No': -0.121984124, ' Yes': -2.182716, 'No': -6.6574297, ' The': -7.5338073, 'Yes': -8.814237}
{' Yes': -0.0864079, ' No': -2.5016282, 'Yes': -7.8565927, ' The': -8.5857935, ' yes': -9.139397}
{' Yes': -0.6313097, ' No': -0.76182574, 'No': -7.5676723, ' The': -8.063347, 'Yes': -8.075651}
{' No': -0.059429284, ' Yes': -2.9129238, 'No': -5.9596443, ' The': -8.4536705, ' Not': -8.760294}
{' No': -0.10093089, ' Yes': -2.3537004, 'No': -7.7419524, ' The': -7.930608, 'Yes': -9.933305}
{' Yes': -0.0051834984, ' No': -5.4069133, 'Yes': -7.46724, ' yes': -10.027099, ' The': -10.228148}
{' Yes': -0.36695847, ' No': -1.1836432, 'Yes': -7.733701, 'No': -8.428178, ' The': -8.543262}
{' Yes': -0.0014177603, 'Yes': -7.272192, ' No': -7.461216, ' The': -9.6030445, ' yes': -10.085043}
{' Yes': -0.04038819, ' No': -3.2555332, 'Yes': -7.3524895, ' The': -8.437059, ' yes': -9.720406}
{' No': -0.012251463, ' Yes': -4.645043, 'No': -6.1382756, ' The': -8.204306, ' ': -10.053413}
{' No': -0.012659079, ' Yes': -4.5514507, 'No': -6.501291, ' The': -8.080171, '\n': -9.354174}
{' No': -0.0047246558, ' Yes': -5.7658825, 'No': -6.657228, ' The': -9.110493, '\n': -9.294374}
{' Yes': -0.39093262, ' No': -1.134545, 'Yes': -6.991659, ' The': -7.7852464, 'No': -7.8753476}
{' Yes': -0.001869055, ' No': -6.805894, 'Yes': -7.514949, ' yes': -9.010948, ' The': -9.739137}
{' Yes': -0.03972196, ' No': -3.280223, 'Yes': -7.6472716, ' The': -7.853921, ' yes': -8.497256}
{' No': -0.027555345, ' Yes': -3.6667097, 'No': -6.7339687, ' The': -8.220307, '\n': -9.715719}
{' No': -0.050703987, ' Yes': -3.0301254, 'No': -7.3505616, ' The': -8.079054, 'Yes': -10.168847}
{' No': -0.078654535, ' Yes': -2.6006994, 'No': -7.1126084, ' The': -8.00759, '\n': -9.437478}
{' No': -0.04903865, ' Yes': -3.1001782, ' The': -6.719244, 'No': -6.7320595, '\n': -9.13625}
{' No': -0.029891334, ' Yes': -3.5817046, 'No': -6.7845254, ' ': -8.873719, ' The': -8.916371}
{' No': -0.2524575, ' Yes': -1.5134152, 'No': -6.8739204, ' The': -7.3613954, 'Yes': -7.9214616}
{' No': -0.011958436, ' Yes': -4.545823, 'No': -7.057345, ' The': -8.212188, '\n': -9.85241}
{' No': -0.0050851814, ' Yes': -5.565645, 'No': -6.927416, ' The': -8.722544, ' ': -10.137117}
{' Yes': -0.07810401, ' No': -2.6053314, 'Yes': -7.175241, ' The': -8.343358, 'No': -9.261708}
{' Yes': -0.011914582, ' No': -4.538684, 'Yes': -6.9259257, ' The': -9.273553, ' yes': -10.343957}
{' No': -0.5113073, ' Yes': -0.917996, 'No': -8.1221485, ' The': -8.24857, 'Yes': -8.65093}
{' No': -0.020447247, ' Yes': -3.9901412, 'No': -7.124722, ' The': -7.2586884, ' Not': -9.721776}
{' Yes': -0.0035020239, ' No': -6.0576224, 'Yes': -7.191152, ' yes': -8.662526, ' The': -9.044156}
{' Yes': -0.030674713, ' No': -3.52538, 'Yes': -7.4604025, ' The': -9.579318, ' yes': -10.006634}
{' No': -0.578881, ' Yes': -0.82524955, 'No': -7.6323876, 'Yes': -8.166165, ' The': -8.219936}
{' No': -0.1076649, ' Yes': -2.3035076, 'No': -6.467882, ' The': -8.541573, 'Yes': -8.924252}
{' Yes': -0.0035869647, ' No': -5.901633, 'Yes': -7.219283, ' yes': -9.682044, ' ': -10.955842}
{' Yes': -0.12732953, ' No': -2.1395977, 'Yes': -6.7844, 'No': -8.317942, ' The': -8.437338}
{' No': -0.06534403, ' Yes': -2.7866821, 'No': -6.6756988, ' The': -8.922555, 'Yes': -9.700623}
{' Yes': -0.6762472, ' No': -0.71345, 'No': -7.23824, 'Yes': -7.7634664, ' The': -8.5672655}
{' No': -0.01989294, ' Yes': -4.0190153, 'No': -7.091145, ' The': -7.2634954, ' ': -9.68723}
{' No': -0.06978192, ' Yes': -2.7552314, ' The': -5.9638205, 'No': -7.0282073, 'Yes': -9.33475}
{' No': -0.045201145, ' Yes': -3.1671605, 'No': -6.878857, ' The': -7.537768, '\n': -8.540109}
{' No': -0.20863521, ' Yes': -1.683277, ' The': -6.6611514, 'No': -7.210174, 'Yes': -8.271559}
{' No': -0.32007474, ' Yes': -1.3054836, ' The': -6.6082997, 'No': -6.937098, 'Yes': -8.165651}
{' No': -0.16299291, ' Yes': -1.9139675, 'No': -6.5916195, ' The': -7.052175, 'Yes': -8.390156}
{' Yes': -0.039621614, ' No': -3.2815669, 'Yes': -6.958816, ' The': -9.27414, ' yes': -9.673145}
{' No': -0.22201881, ' Yes': -1.623243, 'No': -7.144824, ' The': -7.5120363, 'Yes': -8.378341}
{' Yes': -0.0031342937, ' No': -6.029904, 'Yes': -7.3500767, ' yes': -10.304663, ' ': -10.977894}
{' No': -0.08491489, ' Yes': -2.5188975, 'No': -7.5005684, ' The': -8.66093, ' ': -10.051791}
{' Yes': -0.059436183, ' No': -2.867099, 'Yes': -7.438575, ' The': -9.394019, 'No': -9.855741}
{' Yes': -0.063879855, ' No': -2.7948785, 'Yes': -7.5871377, ' The': -9.205358, 'No': -9.971284}
{' Yes': -0.065019436, ' No': -2.7853827, 'Yes': -7.28094, ' The': -8.05562, 'No': -9.323119}
{' Yes': -0.04193845, ' No': -3.239084, 'Yes': -6.7001224, ' The': -8.033952, ' yes': -9.084676}
{' No': -0.0066735446, ' Yes': -5.299022, 'No': -6.7647066, ' The': -8.451869, '\n': -9.206805}
{' No': -0.0041016587, ' Yes': -6.091439, 'No': -6.4291177, ' The': -9.477754, ' Not': -10.006504}
{' No': -0.0052088415, ' Yes': -5.5001082, 'No': -6.8521457, ' The': -10.68217, ' ': -11.841746}
{' No': -0.0045993193, ' Yes': -5.942955, 'No': -6.3465443, ' The': -9.549936, ' ': -9.639879}
{' Yes': -0.08638321, ' No': -2.5129924, 'Yes': -7.2589674, ' The': -7.6096983, '\n': -8.740933}
{' Yes': -0.527445, ' No': -0.89542794, ' The': -7.487006, 'No': -8.046654, 'Yes': -8.08038}
{' Yes': -0.06827159, ' No': -2.7391584, 'Yes': -7.1083617, ' The': -8.484625, ' yes': -9.218662}
{' No': -0.64194834, ' Yes': -0.7529256, ' The': -6.6750307, 'No': -7.2795157, 'Yes': -7.76464}
{' No': -0.060939368, ' Yes': -2.8449683, 'No': -7.360055, ' The': -8.70003, 'Yes': -10.011365}
{' No': -0.014225849, ' Yes': -4.3492994, 'No': -7.009192, ' The': -9.138945, ' ': -9.397692}
{' No': -0.61332965, ' Yes': -0.78650546, ' The': -6.944945, 'No': -7.357642, 'Yes': -7.632075}
{' No': -0.34252828, ' Yes': -1.246129, ' The': -6.7697763, 'No': -7.3188124, 'Yes': -8.456934}
{' No': -0.0012586423, ' Yes': -7.4051476, 'No': -7.615043, ' The': -9.5250635, ' no': -10.32953}
{' No': -0.001998888, 'No': -6.297401, ' Yes': -9.850753, ' ': -10.327342, ' The': -10.569343}
{' No': -0.33351317, ' Yes': -1.2654856, 'No': -7.180691, 'Yes': -8.490988, ' The': -8.659591}
{' No': -0.42349672, ' Yes': -1.0679097, 'No': -7.006939, 'Yes': -7.867977, ' ': -9.623402}
{' Yes': -0.46307486, ' No': -0.9966767, 'Yes': -7.6696897, 'No': -7.8532267, ' The': -7.9564257}
{' Yes': -0.33854064, ' No': -1.2528416, 'Yes': -7.459601, ' The': -7.8081203, 'No': -8.0468}
{' No': -0.018573005, ' Yes': -4.071971, 'No': -6.915467, ' The': -8.524865, ' ': -9.6703825}
{' No': -0.041951127, ' Yes': -3.2510958, 'No': -6.3429666, '\n': -8.606656, ' The': -8.751661}
{' No': -0.019568432, ' Yes': -4.0398602, 'No': -6.6310334, ' The': -8.886116, ' ': -9.234561}
{' Yes': -0.3013769, ' No': -1.3494002, 'Yes': -8.179527, ' The': -8.638145, 'No': -8.948648}
{' No': -0.1708227, ' Yes': -1.8594899, 'No': -7.1666265, ' The': -8.360657, 'Yes': -8.884563}
{' No': -0.2735057, ' Yes': -1.4367576, ' The': -7.0993776, 'No': -7.7741847, 'Yes': -8.80782}
{' Yes': -0.3190894, ' No': -1.3082405, ' The': -6.4152136, 'Yes': -7.3566465, 'No': -8.662948}
{' No': -0.49684545, ' Yes': -0.95047015, ' The': -5.632507, 'No': -7.750364, 'Yes': -7.897169}
{' No': -0.0067109875, ' Yes': -5.1707087, 'No': -7.0728636, ' The': -9.728002, ' ': -10.115586}
{' No': -0.009257559, ' Yes': -4.7999983, 'No': -7.2398977, ' The': -8.777261, '\n': -10.353057}
{' No': -0.032349292, ' Yes': -3.5163066, 'No': -6.890396, ' The': -7.1709085, '\n': -9.001778}
{' No': -0.01658446, ' Yes': -4.216837, 'No': -7.236736, ' The': -7.2996726, '\n': -9.381241}
{' No': -0.0076925624, ' Yes': -5.104725, 'No': -6.680493, ' The': -8.299765, '\n': -10.324087}
{' No': -0.010696272, ' Yes': -4.6371455, 'No': -7.345681, ' The': -8.609598, '\n': -10.306033}
{' No': -0.081328884, ' Yes': -2.5710502, 'No': -6.7969904, ' The': -8.625373, ' ': -8.890191}
{' No': -0.16739266, ' Yes': -1.8882922, 'No': -6.662433, ' The': -6.824135, 'Yes': -8.752663}
{' No': -0.015128113, ' Yes': -4.325593, 'No': -6.741053, ' The': -7.8014054, '\n': -9.706969}
{' No': -0.0048163477, ' Yes': -5.7021313, 'No': -6.7183304, ' The': -8.963451, ' ': -10.161175}
{' No': -0.02320288, ' Yes': -3.850313, 'No': -6.73566, ' The': -8.10136, '\n': -9.981246}
{' No': -0.010024519, ' Yes': -4.7112436, 'No': -7.2177935, ' The': -8.699878, ' ': -10.633597}
{' No': -0.035172716, ' Yes': -3.4098637, 'No': -6.7675257, '\n': -8.917645, ' ': -9.515475}
{' No': -0.67985153, ' Yes': -0.7122669, 'No': -7.0130687, ' The': -7.347911, 'Yes': -7.5054736}
{' Yes': -0.4420941, ' No': -1.0307362, 'Yes': -8.331738, 'No': -8.78106, ' yes': -9.917262}
{' No': -0.10266887, ' Yes': -2.3335152, 'No': -7.920534, ' The': -9.396229, 'Yes': -10.085152}
{' Yes': -0.024524957, ' No': -3.7853699, 'Yes': -6.9978023, ' The': -8.138481, ' yes': -8.979455}
{' No': -0.3159047, ' Yes': -1.3227712, 'No': -6.1291366, ' The': -7.064946, 'Yes': -7.511781}
{' Yes': -0.10440941, ' No': -2.3400395, ' The': -6.7812123, 'Yes': -7.110545, ' yes': -8.100224}
{' Yes': -0.17700379, ' No': -1.8364792, ' The': -6.9372883, 'Yes': -6.9483104, ' yes': -7.9794245}
{' Yes': -0.022717897, ' No': -3.8436043, 'Yes': -7.0038652, 'No': -10.004811, ' yes': -10.121281}
{' Yes': -0.25438163, ' No': -1.4997543, 'Yes': -7.4422536, 'No': -8.035734, ' The': -8.358118}
{' Yes': -0.35614124, ' No': -1.2106448, 'Yes': -7.3069024, 'No': -7.916222, ' The': -8.5755}
{' Yes': -0.01008882, ' No': -4.7422934, 'Yes': -7.1459, ' The': -8.063558, ' yes': -9.208395}
{' No': -0.34600517, ' Yes': -1.235295, 'No': -6.7479577, 'Yes': -8.179382, ' The': -9.083208}
{' No': -0.08980601, ' Yes': -2.474541, 'No': -6.523201, 'Yes': -9.103012, '\n': -10.488855}
{' No': -0.048781827, ' Yes': -3.0793355, ' The': -7.265546, 'No': -7.309913, ' ': -9.793235}
{' No': -0.006264821, ' Yes': -5.20358, 'No': -7.585927, ' ': -9.481786, ' The': -9.65186}
{' No': -0.010699707, ' Yes': -4.614803, 'No': -7.503728, ' The': -9.162559, ' ': -10.320161}
{' No': -0.06263956, ' Yes': -2.8243906, 'No': -7.2886767, ' The': -7.674881, ' ': -9.706602}
{' Yes': -0.14592195, ' No': -2.0080264, 'Yes': -7.2512, ' The': -7.710312, 'No': -8.767651}
{' Yes': -0.18803087, ' No': -1.772307, 'Yes': -7.4499745, ' The': -7.7302747, 'No': -8.563967}
{' Yes': -0.20699018, ' No': -1.6805296, 'Yes': -7.9229646, 'No': -9.055312, ' The': -9.271345}
{' Yes': -0.017057318, ' No': -4.1350226, 'Yes': -7.498685, ' The': -8.350678, ' yes': -9.692916}
{' No': -0.0035159597, ' Yes': -6.220112, 'No': -6.6218243, ' The': -9.044369, '\n': -10.360783}
{' No': -0.019436905, ' Yes': -4.0295534, 'No': -6.8660316, ' The': -8.690349, '\n': -9.102844}
{' No': -0.39463273, ' Yes': -1.1250272, 'No': -7.2373214, ' The': -8.098194, 'Yes': -8.36845}
{' No': -0.0020959435, 'No': -6.472646, ' Yes': -7.933442, ' The': -9.270604, ' ': -10.232717}
{' Yes': -0.0017324927, ' No': -6.9002132, 'Yes': -7.4233365, ' yes': -9.662642, ' The': -10.270685}
{' Yes': -0.0015308762, ' No': -7.296082, 'Yes': -7.77212, ' The': -8.324771, ' yes': -9.109361}
{' No': -0.002216962, 'No': -6.838423, ' Yes': -6.8836327, ' The': -9.693129, ' ': -10.781292}
{' No': -0.23926511, ' Yes': -1.5576206, 'No': -6.6964235, ' The': -7.7795706, 'Yes': -8.18333}
{' No': -0.6222674, ' Yes': -0.77363855, 'No': -7.470782, 'Yes': -7.692036, ' The': -7.9144526}
{' Yes': -0.057082973, ' No': -2.9301336, 'Yes': -6.5618334, ' The': -8.40561, ' ': -9.009822}
{' No': -0.026825339, ' Yes': -3.6628726, 'No': -7.4720783, ' The': -9.058079, '\n': -9.84296}
{' No': -0.008381725, ' Yes': -5.116982, 'No': -6.1131573, ' The': -9.77889, '\n': -10.225631}
{' No': -0.008417188, ' Yes': -4.8736205, 'No': -7.520986, ' The': -9.212624, ' ': -9.914794}
{' No': -0.030626956, ' Yes': -3.535504, 'No': -7.3378377, ' The': -8.652935, ' Circ': -10.006044}
{' No': -0.05698119, ' Yes': -2.922824, 'No': -6.809183, ' ': -8.763733, '\n': -9.103281}
{' No': -0.09426404, ' Yes': -2.4259539, 'No': -6.979918, ' The': -8.261276, '\n': -8.947501}
{' Yes': -0.52541876, ' No': -0.8987175, 'No': -7.4497538, 'Yes': -7.7119417, ' The': -8.704007}
{' No': -0.026224043, ' Yes': -3.7025223, 'No': -6.9901752, ' The': -9.046027, ' Finger': -9.574411}
{' Yes': -0.10980918, ' No': -2.275474, 'Yes': -7.289334, ' The': -8.212331, ' yes': -9.360053}
{' No': -0.099924564, ' Yes': -2.3755841, 'No': -7.0685234, ' The': -7.165959, 'Yes': -8.80641}
{' No': -0.081514955, ' Yes': -2.5701108, 'No': -6.8854637, ' The': -7.7057858, 'Yes': -9.279095}
{' No': -0.09043087, ' Yes': -2.470348, 'No': -6.8131514, ' The': -7.6851587, '\n': -9.092788}
{' Yes': -0.23440513, ' No': -1.5738713, 'Yes': -7.2790976, ' The': -7.4817996, 'No': -8.090564}
{' Yes': -0.3460403, ' No': -1.2338654, 'Yes': -7.3800025, 'No': -8.111516, ' The': -8.434297}
{' Yes': -0.14128575, ' No': -2.0423667, 'Yes': -7.100413, ' The': -7.199368, ' yes': -8.734485}
{' No': -0.051402587, ' Yes': -3.0235076, 'No': -6.7934012, ' The': -8.618693, 'Yes': -9.887879}
{' No': -0.009097005, ' Yes': -4.833277, 'No': -7.0814557, ' The': -9.188917, '\n': -9.331503}
{' No': -0.015284427, ' Yes': -4.249995, 'No': -7.2479324, ' The': -8.897099, ' ': -11.123283}
{' No': -0.0037239597, ' Yes': -5.8621163, 'No': -7.3050904, ' The': -9.334202, ' ': -10.292841}
{' No': -0.0036159758, ' Yes': -5.925609, 'No': -7.166538, ' The': -9.341189, ' ': -10.573856}
{' No': -0.0062038237, ' Yes': -5.565585, 'No': -6.174155, ' The': -8.864511, '\n': -9.905953}
{' No': -0.006558583, ' Yes': -5.5142527, 'No': -6.1350904, ' The': -8.531669, ' ': -9.9446}
{' No': -0.0056156376, 'No': -5.326803, ' Unfortunately': -8.23777, ' The': -8.805588, ' Yes': -9.021677}
{' Yes': -0.6896685, ' No': -0.70159507, 'No': -6.905542, 'Yes': -7.2056155, ' The': -7.5672793}
{' No': -0.13666093, ' Yes': -2.0656846, 'No': -7.304801, ' The': -8.731675, 'Yes': -9.442512}
{' Yes': -0.4181152, ' No': -1.0775887, 'Yes': -7.280769, 'No': -7.7711616, ' yes': -9.8910055}
{' No': -0.05710506, ' Yes': -2.9191809, 'No': -6.878684, ' The': -8.156518, '\n': -9.618074}
{' No': -0.056585513, ' Yes': -2.9401953, 'No': -6.6571903, ' The': -7.7083206, '\n': -9.230442}
{' Yes': -0.0034341959, ' No': -5.974774, 'Yes': -7.49895, ' yes': -8.972949, ' The': -9.405927}
{' Yes': -0.24430515, ' No': -1.5350995, ' The': -7.4074306, 'Yes': -8.047352, 'No': -8.696739}
