{' No': -3.5439048, ' ': -9.908948, 'No': -9.454865, ' Yes': -0.030950211, 'Yes': -6.564}
{' No': -5.782559, ' ': -10.3988495, ' Yes': -0.006203344, ' yes': -10.276889, 'Yes': -5.804457}
{' No': -6.603568, ' ': -9.621213, ' Yes': -0.010764715, ' yes': -9.647037, 'Yes': -4.6911254}
{' No': -8.327856, ' ': -9.843903, ' Yes': -0.0063783084, ' yes': -8.68701, 'Yes': -5.136165}
{' No': -12.081262, ' ': -10.650355, ' Yes': -0.00059283763, ' yes': -8.914414, 'Yes': -7.769692}
{' No': -9.388305, ' ': -10.075091, ' Yes': -0.0037075672, ' yes': -9.115527, 'Yes': -5.6682773}
{' No': -8.101129, ' ': -9.006688, ' Yes': -0.0042810496, ' yes': -9.374459, 'Yes': -5.5915155}
{' No': -10.614868, ' ': -10.719388, ' Yes': -0.0011064683, ' yes': -9.654525, 'Yes': -6.9176726}
{' No': -8.767744, ' ': -8.024002, ' Yes': -0.0061611226, ' yes': -9.214148, 'Yes': -5.2009645}
{' No': -9.822995, ' ': -8.702031, ' Yes': -0.004434604, ' yes': -7.299463, 'Yes': -5.669044}
{' No': -9.165677, ' ': -10.539113, ' Yes': -0.007600486, ' yes': -7.294755, 'Yes': -5.000982}
{' No': -9.604963, ' ': -12.133768, ' Yes': -0.005712624, ' yes': -9.807405, 'Yes': -5.191442}
{' No': -10.404588, ' ': -9.831872, ' Yes': -0.016719488, ' yes': -7.857106, 'Yes': -4.1304545}
{' No': -7.259266, ' ': -10.369421, ' Yes': -0.0049884943, ' yes': -8.72062, 'Yes': -5.5066075}
{' No': -8.141388, ' ': -9.33712, ' Yes': -0.018529711, ' yes': -8.3238125, 'Yes': -4.0343413}
{' ': -9.620511, ' Yes': -0.018336702, ' yes': -6.3944693, 'Yes': -4.114051, 'yes': -9.866802}
{' ': -9.191005, ' Yes': -0.0034899404, ' yes': -6.121684, 'Yes': -6.769994, 'yes': -11.086646}
{' No': -9.305919, ' ': -8.74863, ' Yes': -0.008806167, ' yes': -6.9283214, 'Yes': -4.8943424}
{'\n': -10.052592, ' ': -8.269279, ' Yes': -0.008713988, ' yes': -7.606662, 'Yes': -4.850278}
{' No': -9.117242, ' ': -8.690424, ' Yes': -0.0042964923, ' yes': -6.595752, 'Yes': -5.9531713}
{'\n': -9.116796, ' ': -7.659831, ' Yes': -0.0089922305, ' yes': -7.5439196, 'Yes': -4.8560376}
{' No': -7.341936, ' ': -7.0926723, ' Yes': -0.017118374, ' yes': -4.7700005, 'Yes': -5.0125384}
{' No': -9.435218, ' ': -9.904838, ' Yes': -0.0006969734, ' yes': -9.514365, 'Yes': -7.641196}
{' No': -9.6655245, ' ': -9.505291, ' Yes': -0.0033883841, ' yes': -9.422726, 'Yes': -5.7612004}
{' No': -6.758547, '\n': -8.908201, ' ': -8.089717, ' Yes': -0.0057074092, 'Yes': -5.521651}
{' No': -6.442061, ' ': -8.8280325, ' Yes': -0.0025281853, ' yes': -9.84982, 'Yes': -7.240693}
{' No': -8.933859, ' ': -7.954312, ' Yes': -0.005785882, ' yes': -9.55792, 'Yes': -5.267791}
{' No': -8.825982, ' ': -8.912195, ' Yes': -0.0017157134, ' yes': -8.973554, 'Yes': -6.6566625}
{' No': -0.0035459902, ' ': -10.050793, 'No': -5.6571536, ' no': -13.536227, ' NO': -13.7375345}
{' No': -0.013432947, ' ': -9.55102, 'No': -4.322696, ' no': -13.073422, ' NO': -12.571864}
{' No': -0.017829316, ' ': -9.323052, 'No': -4.0413027, ' no': -13.381299, ' NO': -12.723131}
{' No': -0.0046968684, ' ': -10.366555, 'No': -5.3705664, ' no': -13.634575, ' NO': -14.042803}
{' No': -0.020440374, '\n': -12.956131, ' ': -8.88174, 'No': -3.9078474, ' no': -12.974239}
{' No': -0.015137067, ' x': -12.487259, ' ': -8.447117, 'No': -4.213864, ' no': -11.944721}
{' No': -0.00074868655, '\n': -12.135715, ' ': -9.290994, 'No': -7.347626, ' no': -12.5001135}
{' No': -0.0036650314, '\n': -12.397673, ' ': -9.179084, 'No': -5.6424356, ' NO': -12.880277}
{' No': -0.0042472263, '\n': -10.774774, ' ': -8.721568, 'No': -5.509813, ' no': -12.922578}
{' No': -0.0018294647, '\n': -12.367346, ' ': -9.528009, 'No': -6.350025, ' no': -13.2544775}
{' No': -0.0068838177, '\n': -10.088887, ' ': -7.7748675, 'No': -5.053316, ' no': -12.663986}
{' No': -0.0046809986, '\n': -10.165882, ' ': -8.487215, 'No': -5.424881, ' no': -11.354307}
{' No': -0.0144518055, ' ': -9.310957, 'No': -4.255729, ' no': -9.821836, ' NO': -11.649617}
{' No': -0.009670032, ' ': -10.85917, 'No': -4.645958, ' no': -13.111798, ' NO': -14.098798}
{' No': -0.039456733, '\n': -11.323996, ' ': -8.516585, 'No': -3.2587044, ' no': -11.055104}
{' No': -0.0074187648, ' ': -9.489424, 'No': -4.92043, ' no': -11.360033, ' NO': -12.645704}
{' No': -0.04345893, '\n': -11.351618, ' ': -8.335079, 'No': -3.1645432, ' no': -11.055744}
{' No': -0.040269908, ' x': -10.473639, ' ': -7.9062114, 'No': -3.2481518, ' no': -8.863199}
{' No': -0.0016828775, '\n': -11.109367, ' ': -8.151073, 'No': -6.659397, ' no': -9.342321}
{' No': -0.010337692, '\n': -11.196252, ' ': -7.974771, 'No': -4.617342, ' no': -10.231303}
{' No': -0.01129361, '\n': -8.832579, ' ': -7.357078, 'No': -4.564766, ' no': -10.946224}
{' No': -0.0042341184, '\n': -10.566168, ' ': -7.8292136, 'No': -5.5951176, ' no': -9.535617}
{' No': -0.009348401, '\n': -8.638433, ' ': -7.1534557, 'No': -4.7897015, ' no': -10.898137}
{' No': -0.010464837, '\n': -8.520659, ' ': -6.9879007, 'No': -4.746234, ' no': -7.4881253}
{' No': -0.000737831, '\n': -11.779712, ' ': -9.320268, 'No': -7.3610077, ' no': -13.079019}
{' No': -0.0035330686, '\n': -11.573349, ' ': -8.867229, 'No': -5.6928425, ' NO': -12.596924}
{' No': -0.0055808113, '\n': -8.591708, ' ': -7.8486114, 'No': -5.3028564, ' NO': -12.445187}
{' No': -0.0013029249, '\n': -11.420194, ' ': -8.696255, 'No': -6.7971196, ' NO': -12.667859}
{' No': -0.00551584, '\n': -9.10804, ' ': -7.734916, 'No': -5.309854, ' NO': -12.684577}
{' No': -0.0018342396, '\n': -11.680502, ' ': -8.831544, 'No': -6.3938394, ' no': -12.669549}
{' No': -0.002895034, ' ': -11.075915, 'No': -5.9331546, ' Yes': -8.411971, ' NO': -13.857587}
{' No': -0.017506748, ' ': -9.356614, 'No': -4.6615114, ' Yes': -4.860345, 'Yes': -9.703866}
{' No': -0.013525861, ' ': -9.621149, 'No': -4.3406224, ' Yes': -8.023564, 'Yes': -12.30503}
{' No': -0.0054761046, ' ': -10.952562, 'No': -5.6273365, ' Yes': -6.3009605, 'Yes': -11.688758}
{' No': -0.06491366, ' ': -8.857746, 'No': -3.9925847, ' Yes': -3.1314666, 'Yes': -7.4349213}
{' No': -1.3248643, ' ': -8.593291, 'No': -5.702391, ' Yes': -0.31957528, 'Yes': -5.505273}
{' No': -0.40489158, ' ': -8.49651, 'No': -8.215443, ' Yes': -1.1018902, 'Yes': -8.678425}
{' No': -0.60563976, ' ': -8.662016, 'No': -6.1054106, ' Yes': -0.7983297, 'Yes': -6.3587403}
{' No': -2.0067139, ' ': -8.102768, 'No': -7.5736103, ' Yes': -0.14951152, 'Yes': -5.6676426}
{' No': -0.74883777, ' ': -9.027774, 'No': -7.7803736, ' Yes': -0.6425126, 'Yes': -7.5430536}
{' No': -2.2351172, ' ': -6.883547, 'No': -7.379053, ' Yes': -0.12080606, 'Yes': -5.307837}
{' No': -5.6541796, ' ': -8.668807, ' Yes': -0.0070070396, ' yes': -7.8066535, 'Yes': -5.8688025}
{' No': -0.008746819, ' ': -10.023138, 'No': -4.8211284, ' Yes': -7.4882636, ' no': -10.707307}
{' No': -0.06629161, ' ': -10.762815, 'No': -4.672487, ' Yes': -2.914083, 'Yes': -7.5838065}
{' No': -0.06843645, ' ': -8.543713, 'No': -3.732432, ' Yes': -3.1904492, 'Yes': -7.127528}
{' No': -0.34478796, ' ': -8.990627, 'No': -5.433752, ' Yes': -1.2533554, 'Yes': -6.4798126}
{' No': -0.49469107, ' ': -7.7120233, 'No': -4.066877, ' Yes': -1.00377, 'Yes': -5.1233015}
{' No': -0.6452224, 'No': -3.948077, ' Yes': -0.8055389, ' yes': -7.1902523, 'Yes': -4.8617144}
{' No': -0.10317771, ' ': -7.772279, 'No': -7.1882186, ' Yes': -2.3385103, ' yes': -8.742955}
{' No': -0.17335065, ' ': -7.449294, 'No': -4.8212867, ' Yes': -1.904449, 'Yes': -6.56337}
{' No': -1.2988327, ' ': -6.812891, 'No': -6.1395745, ' Yes': -0.33209288, 'Yes': -5.106312}
{' No': -0.87350684, ' ': -7.1741543, 'No': -6.6089473, ' Yes': -0.5486396, 'Yes': -6.2582035}
{' No': -1.6515766, ' ': -6.1642184, 'No': -6.3844347, ' Yes': -0.22824067, 'Yes': -4.853912}
{' No': -2.34147, ' ': -6.387425, ' Yes': -0.1170094, ' yes': -5.346088, 'Yes': -5.069587}
{' No': -1.1930577, ' ': -7.758245, 'No': -8.643134, ' Yes': -0.36306542, 'Yes': -7.7239695}
{' No': -0.53071785, ' ': -7.304102, 'No': -5.9271793, ' Yes': -0.9002857, 'Yes': -6.2516494}
{' No': -1.686703, ' ': -6.601551, 'No': -6.8712006, ' Yes': -0.21380833, 'Yes': -5.440041}
{' No': -3.850089, ' ': -8.384122, ' Yes': -0.022856686, ' yes': -9.82298, 'Yes': -6.9227567}
{' No': -4.2118998, '\n': -8.835157, ' ': -6.8896904, ' Yes': -0.02318836, 'Yes': -5.0024877}
{' No': -5.2681966, ' ': -8.409574, ' Yes': -0.0070010372, ' yes': -8.742997, 'Yes': -6.5667195}
{' YES': -12.272483, ' ': -12.087449, ' Yes': -0.0032254807, ' yes': -10.812643, 'Yes': -5.7482643}
{' YES': -11.4697275, ' ': -11.474523, ' Yes': -0.009145427, ' yes': -9.9894085, 'Yes': -4.7068186}
{' YES': -11.362326, ' ': -11.439199, ' Yes': -0.008474534, ' yes': -10.0438, 'Yes': -4.783207}
{' YES': -12.15086, ' ': -12.58612, ' Yes': -0.004510581, ' yes': -10.682599, 'Yes': -5.4109206}
{' YES': -12.066786, ' ': -11.304738, ' Yes': -0.010341909, ' yes': -10.163645, 'Yes': -4.5828004}
{' YES': -11.94378, ' ': -11.341987, ' Yes': -0.0058376812, ' yes': -9.62236, 'Yes': -5.16154}
{' YES': -11.766478, ' ': -11.466702, ' Yes': -0.00070198486, ' yes': -9.8821945, 'Yes': -7.3700366}
{' YES': -11.781212, ' ': -11.250338, ' Yes': -0.003554541, ' yes': -9.905711, 'Yes': -5.662818}
{'\n': -10.556241, ' ': -10.216334, ' Yes': -0.004002972, ' yes': -9.406394, 'Yes': -5.563316}
{' YES': -12.051493, ' ': -12.16689, ' Yes': -0.0009589143, ' yes': -10.360473, 'Yes': -6.997691}
{'\n': -10.864774, ' ': -9.54028, ' Yes': -0.005104233, ' yes': -9.980279, 'Yes': -5.3101425}
{'\n': -10.321988, ' ': -9.783002, ' Yes': -0.0049082856, ' yes': -8.116858, 'Yes': -5.4084096}
{' YES': -11.191252, ' Yes': -0.007355355, ' yes': -8.210042, 'Yes': -4.958821, 'yes': -11.329787}
{' YES': -12.7560215, ' Yes': -0.010655127, ' yes': -10.2084675, 'Yes': -4.551316, 'yes': -12.495789}
{' YES': -10.603809, ' ': -10.68158, ' Yes': -0.019047417, ' yes': -8.327986, 'Yes': -3.9868662}
{' YES': -11.609702, ' ': -11.627913, ' Yes': -0.007318191, ' yes': -9.064607, 'Yes': -4.9405723}
{' ': -10.264342, ' Yes': -0.016234973, ' yes': -8.840598, 'Yes': -4.1418014, 'yes': -11.152712}
{' ': -10.139543, ' Yes': -0.024621656, ' yes': -7.07814, 'Yes': -3.756858, 'yes': -9.898713}
{' YES': -10.956534, ' ': -10.195676, ' Yes': -0.0023013765, ' yes': -7.447194, 'Yes': -6.409604}
{' ': -9.707941, ' Yes': -0.010461703, ' yes': -7.4574447, 'Yes': -4.6344695, 'yes': -10.440321}
{'\n': -10.077266, ' ': -9.340882, ' Yes': -0.008588333, ' yes': -8.197135, 'Yes': -4.813749}
{' YES': -10.368956, ' ': -9.868957, ' Yes': -0.005013295, ' yes': -6.998536, 'Yes': -5.5311956}
{'\n': -8.996492, ' ': -8.640167, ' Yes': -0.0135747995, ' yes': -8.161594, 'Yes': -4.354183}
{'\n': -8.98797, ' ': -8.6847, ' Yes': -0.016960984, ' yes': -5.5432577, 'Yes': -4.3853197}
{' YES': -11.412179, ' ': -10.812721, ' Yes': -0.0009846295, ' yes': -10.33213, 'Yes': -7.0008044}
{' YES': -11.02232, ' ': -10.13814, ' Yes': -0.0050239563, ' yes': -9.7569065, 'Yes': -5.3224277}
{'\n': -9.20857, ' ': -9.266164, ' Yes': -0.004800237, ' yes': -9.497554, 'Yes': -5.4036956}
{' YES': -11.386817, ' ': -10.545016, ' Yes': -0.0010713233, ' yes': -10.423898, 'Yes': -6.9099927}
{'\n': -9.548219, ' ': -8.929803, ' Yes': -0.0058643017, ' yes': -9.926211, 'Yes': -5.1882086}
{'\n': -11.969819, ' ': -10.451639, ' Yes': -0.0015352945, ' yes': -9.87255, 'Yes': -6.5423408}
{' No': -5.5619063, ' ': -9.957267, ' Yes': -0.0057062106, ' yes': -10.318471, 'Yes': -6.346763}
{' No': -9.176414, ' ': -10.324695, ' Yes': -0.0062975115, ' yes': -9.813527, 'Yes': -5.102824}
{' No': -10.536026, ' ': -10.526747, ' Yes': -0.009531739, ' yes': -9.894163, 'Yes': -4.669747}
{' No': -8.563894, ' ': -11.214289, ' Yes': -0.0035885193, ' yes': -10.377363, 'Yes': -5.701132}
{' No': -10.043511, ' ': -10.811738, ' Yes': -0.008182195, ' yes': -9.814641, 'Yes': -4.825362}
{' No': -11.550447, ' ': -10.601985, ' Yes': -0.005822872, ' yes': -8.731284, 'Yes': -5.1846213}
{' YES': -13.1487055, ' ': -10.927648, ' Yes': -0.00051960035, ' yes': -9.108625, 'Yes': -7.860787}
{' No': -9.833823, ' ': -9.800387, ' Yes': -0.0038714458, ' yes': -9.168109, 'Yes': -5.6157403}
{' No': -10.208036, ' ': -9.429323, ' Yes': -0.0040802965, ' yes': -9.303799, 'Yes': -5.5625725}
{' No': -11.904646, ' ': -11.024826, ' Yes': -0.000994292, ' yes': -9.634661, 'Yes': -7.0121713}
{' No': -10.044252, ' ': -8.291605, ' Yes': -0.0059478795, ' yes': -9.278036, 'Yes': -5.203984}
{'\n': -10.093577, ' ': -9.0506315, ' Yes': -0.0041688737, ' yes': -7.53049, 'Yes': -5.6754103}
{' No': -11.024887, ' ': -10.8270035, ' Yes': -0.0070273285, ' yes': -7.5133095, 'Yes': -5.0518117}
{' No': -10.505226, ' ': -12.660585, ' Yes': -0.0048435386, ' yes': -10.197479, 'Yes': -5.3472714}
{' ': -10.263589, ' Yes': -0.014922754, ' yes': -8.144628, 'Yes': -4.236882, 'yes': -11.228383}
{' No': -9.925219, ' ': -10.861295, ' Yes': -0.0042447136, ' yes': -8.817787, 'Yes': -5.519341}
{' No': -9.946469, ' ': -9.75203, ' Yes': -0.01725123, ' yes': -8.163777, 'Yes': -4.093364}
{' ': -9.729478, ' Yes': -0.01940409, ' yes': -6.527268, 'Yes': -4.038676, 'yes': -9.941937}
{' ': -9.478736, ' Yes': -0.00311564, ' yes': -6.314257, 'Yes': -6.728799, 'yes': -11.244574}
{' No': -10.452917, ' ': -9.002039, ' Yes': -0.008662101, ' yes': -7.069184, 'Yes': -4.882155}
{'\n': -9.72794, ' ': -8.170902, ' Yes': -0.009116976, ' yes': -7.555477, 'Yes': -4.809547}
{' No': -10.541678, ' ': -9.122411, ' Yes': -0.0041405046, ' yes': -6.5969877, 'Yes': -5.9551973}
{'\n': -9.0954075, ' ': -7.797654, ' Yes': -0.009793839, ' yes': -7.5929856, 'Yes': -4.746893}
{' No': -8.433617, ' ': -7.4385033, ' Yes': -0.016167065, ' yes': -4.8939157, 'Yes': -4.904242}
{' No': -11.813937, ' ': -10.379968, ' Yes': -0.00050540705, ' yes': -9.764853, 'Yes': -7.821119}
{' No': -9.5869, ' ': -9.366525, ' Yes': -0.0033200253, ' yes': -9.410344, 'Yes': -5.7880087}
{' No': -8.469782, '\n': -9.243, ' ': -8.401939, ' Yes': -0.0046311766, 'Yes': -5.5199203}
{' No': -8.139326, ' ': -9.358158, ' Yes': -0.0010513348, ' yes': -9.974428, 'Yes': -7.391108}
{'\n': -9.589846, ' ': -8.010473, ' Yes': -0.0045802183, ' yes': -9.696203, 'Yes': -5.5073705}
{' No': -9.755617, ' ': -9.28721, ' Yes': -0.0012761275, ' yes': -9.104938, 'Yes': -6.9106445}
{' No': -0.0033438285, ' ': -9.93137, 'No': -5.718246, ' no': -13.644216, ' NO': -13.636122}
{' No': -0.010074187, ' ': -9.749693, 'No': -4.6092067, ' no': -13.443795, ' NO': -12.820137}
{' No': -0.01627205, ' ': -9.22972, 'No': -4.133036, ' no': -13.437458, ' NO': -12.467749}
{' No': -0.004410055, ' ': -10.345869, 'No': -5.434067, ' no': -13.806289, ' NO': -13.76054}
{' No': -0.01920751, ' ': -9.007135, 'No': -3.9690003, ' no': -13.074001, ' NO': -13.0706215}
{' No': -0.013611838, ' ': -8.593004, 'No': -4.318589, ' no': -12.043822, ' NO': -12.771699}
{' No': -0.00071713567, '\n': -12.102962, ' ': -9.254152, 'No': -7.403217, ' no': -12.614183}
{' No': -0.003868813, '\n': -12.273024, ' ': -9.115902, 'No': -5.5885205, ' NO': -12.989426}
{' No': -0.004312715, '\n': -10.775236, ' ': -8.743006, 'No': -5.49317, ' no': -12.833878}
{' No': -0.0016583382, '\n': -12.355785, ' ': -9.677881, 'No': -6.446514, ' NO': -13.347248}
{' No': -0.0066645434, '\n': -10.014252, ' ': -7.793404, 'No': -5.0873146, ' NO': -12.724856}
{' No': -0.0050540892, '\n': -9.973514, ' ': -8.383822, 'No': -5.351152, ' no': -11.253828}
{' No': -0.013654859, ' ': -9.242751, 'No': -4.312439, ' no': -10.0365505, ' NO': -11.587247}
{' No': -0.009830432, ' ': -10.910082, 'No': -4.6293526, ' no': -13.4699335, ' NO': -14.161663}
{' No': -0.0306532, ' ': -8.958706, 'No': -3.5054533, ' no': -11.672218, ' NO': -12.140725}
{' No': -0.006757012, ' ': -9.663365, 'No': -5.012273, ' no': -11.726736, ' NO': -12.702191}
{' No': -0.029108075, '\n': -11.883166, ' ': -8.816205, 'No': -3.5577621, ' no': -11.32588}
{' No': -0.044716224, ' ': -8.005096, 'No': -3.141806, 'no': -10.735906, ' no': -9.157977}
{' No': -0.001597023, '\n': -11.164691, ' ': -8.189917, 'No': -6.6925364, ' no': -9.785651}
{' No': -0.009643912, '\n': -11.184629, ' ': -8.092735, 'No': -4.6835556, ' no': -10.719845}
{' No': -0.012658475, '\n': -8.805675, ' ': -7.370511, 'No': -4.4424753, ' no': -11.066433}
{' No': -0.0042437552, '\n': -10.53682, ' ': -7.864249, 'No': -5.585857, ' no': -9.723897}
{' No': -0.009610152, '\n': -8.62136, ' ': -7.1646147, 'No': -4.757828, ' no': -11.136473}
{' No': -0.012814893, '\n': -8.338887, ' ': -6.833268, 'No': -4.5151515, ' no': -7.7658587}
{' No': -0.0006490788, '\n': -12.049301, ' ': -9.237173, 'No': -7.520544, ' no': -13.344125}
{' No': -0.0034185278, '\n': -11.528052, ' ': -8.742565, 'No': -5.7329736, ' NO': -12.744744}
{' No': -0.0050072446, '\n': -9.110941, ' ': -8.06921, 'No': -5.3903127, ' NO': -12.437355}
{' No': -0.0011495523, '\n': -11.540302, ' ': -8.775102, 'No': -6.9300056, ' NO': -12.64554}
{' No': -0.0052066245, '\n': -9.265441, ' ': -7.7134314, 'No': -5.372932, ' NO': -12.504478}
{' No': -0.0017460467, '\n': -11.812845, ' ': -8.774399, 'No': -6.4530435, ' no': -12.635968}
{' No': -0.006607002, ' ': -10.025855, 'No': -5.642009, ' Yes': -5.8166704, 'Yes': -11.175382}
{' No': -0.28477973, ' ': -8.493015, 'No': -4.6571093, ' Yes': -1.4452983, 'Yes': -6.025252}
{' No': -0.07217054, ' ': -8.748729, 'No': -4.2521114, ' Yes': -2.9117184, 'Yes': -7.079553}
{' No': -0.017293682, ' ': -10.112722, 'No': -5.1796985, ' Yes': -4.4745994, 'Yes': -9.483203}
{' No': -1.6764733, ' ': -8.850209, 'No': -5.5999365, ' Yes': -0.22546156, 'Yes': -4.51761}
{' No': -4.2432704, 'No': -8.227996, ' Yes': -0.023646899, ' yes': -8.717883, 'Yes': -4.76839}
{' No': -1.887611, ' ': -8.32043, ' Yes': -0.16554223, ' yes': -8.684701, 'Yes': -7.4217715}
{' No': -3.8489203, ' ': -8.963944, 'No': -9.112021, ' Yes': -0.026778685, 'Yes': -5.3475547}
{' No': -5.948547, ' ': -8.725362, ' Yes': -0.007625353, ' yes': -8.998719, 'Yes': -5.375498}
{' No': -1.5921307, ' ': -8.6734295, 'No': -8.297005, ' Yes': -0.22961617, 'Yes': -6.759187}
{' No': -7.304628, ' ': -8.266137, ' Yes': -0.007390483, ' yes': -9.147153, 'Yes': -5.068792}
{' No': -7.6893945, ' ': -8.586234, ' Yes': -0.006151768, ' yes': -7.3088093, 'Yes': -5.353846}
{' No': -0.021049522, ' ': -9.40733, 'No': -4.527681, ' Yes': -4.627218, 'Yes': -9.073074}
{' No': -0.34113273, ' ': -9.685891, 'No': -4.8268313, ' Yes': -1.2798002, 'Yes': -5.86531}
{' No': -1.2903422, ' ': -7.967292, 'No': -5.2165675, ' Yes': -0.34818256, 'Yes': -4.3575034}
{' No': -2.352561, 'No': -7.4465027, ' Yes': -0.10630133, ' yes': -8.85831, 'Yes': -5.3240004}
{' No': -1.9269581, ' ': -8.066496, 'No': -5.638035, ' Yes': -0.17956154, 'Yes': -4.225652}
{' No': -3.2486818, 'No': -6.271726, ' Yes': -0.06573867, ' yes': -6.865222, 'Yes': -3.8373466}
{' No': -1.2785574, ' ': -6.853332, ' Yes': -0.33225682, ' yes': -6.4208536, 'Yes': -6.8013043}
{' No': -1.1272991, ' ': -6.864556, 'No': -5.7518716, ' Yes': -0.40949702, 'Yes': -4.940217}
{' No': -5.520573, ' ': -7.5648594, ' Yes': -0.013864975, ' yes': -7.5719795, 'Yes': -4.7617993}
{' No': -2.5602167, ' ': -7.599741, ' Yes': -0.08659748, ' yes': -6.677339, 'Yes': -5.6497226}
{' No': -5.404052, ' ': -7.299767, ' Yes': -0.015912198, ' yes': -7.678242, 'Yes': -4.610011}
{' No': -3.8834095, ' ': -6.900259, ' Yes': -0.039663658, ' yes': -4.963078, 'Yes': -4.6521854}
{' No': -4.621552, ' ': -8.67498, ' Yes': -0.010775079, ' yes': -9.31802, 'Yes': -7.449766}
{' No': -2.6103053, ' ': -7.824355, 'No': -8.084176, ' Yes': -0.08174086, 'Yes': -5.485748}
{' No': -5.3658166, '\n': -8.789666, ' ': -7.8274956, ' Yes': -0.010195394, 'Yes': -5.3415833}
{' No': -4.725446, ' ': -8.391734, ' Yes': -0.010204245, ' yes': -9.68373, 'Yes': -6.9511766}
{' No': -9.531503, ' ': -8.2786665, ' Yes': -0.0069993557, ' yes': -9.500833, 'Yes': -5.031642}
{' No': -8.833641, ' ': -9.323923, ' Yes': -0.0020012741, ' yes': -8.734095, 'Yes': -6.447106}
{' YES': -12.049181, ' ': -11.412175, ' Yes': -0.0048005963, ' yes': -10.233024, 'Yes': -5.3530574}
{' YES': -11.379721, ' ': -11.027309, ' Yes': -0.012221777, ' yes': -9.739236, 'Yes': -4.4182334}
{' YES': -11.354907, ' ': -11.228834, ' Yes': -0.014391638, ' yes': -9.836587, 'Yes': -4.254185}
{' YES': -12.159392, ' ': -12.050749, ' Yes': -0.0064434563, ' yes': -10.383459, 'Yes': -5.05481}
{' YES': -12.045775, ' ': -11.4732275, ' Yes': -0.012756513, ' yes': -10.232611, 'Yes': -4.37265}
{' YES': -11.59223, ' ': -10.963381, ' Yes': -0.010237485, ' yes': -9.200471, 'Yes': -4.599969}
{' YES': -11.60496, ' ': -11.037345, ' Yes': -0.000782033, ' yes': -9.533127, 'Yes': -7.292694}
{' YES': -11.522949, ' ': -10.75209, ' Yes': -0.00501683, ' yes': -9.520908, 'Yes': -5.3200874}
{'\n': -10.778522, ' ': -9.944125, ' Yes': -0.0041442756, ' yes': -9.2259035, 'Yes': -5.5334144}
{' YES': -11.815518, ' ': -11.755446, ' Yes': -0.0012690857, ' yes': -9.935902, 'Yes': -6.723912}
{' YES': -11.416235, ' ': -9.631761, ' Yes': -0.0067226887, ' yes': -9.736045, 'Yes': -5.0283403}
{'\n': -10.204247, ' ': -9.574968, ' Yes': -0.0066944854, ' yes': -7.9859233, 'Yes': -5.084949}
{' YES': -11.026924, ' Yes': -0.00904149, ' yes': -7.9485607, 'Yes': -4.7555814, 'yes': -11.125518}
{' YES': -12.987046, ' Yes': -0.012950017, ' yes': -10.288849, 'Yes': -4.356429, 'yes': -12.474124}
{' YES': -10.652625, ' ': -10.542176, ' Yes': -0.023280477, ' yes': -8.24705, 'Yes': -3.786441}
{' YES': -11.693174, ' ': -11.294697, ' Yes': -0.007807773, ' yes': -9.003486, 'Yes': -4.8762007}
{' ': -10.5128355, ' Yes': -0.019839983, ' yes': -8.882607, 'Yes': -3.9398873, 'yes': -11.109431}
{' ': -10.05328, ' Yes': -0.034474142, ' yes': -6.978298, 'Yes': -3.416926, 'yes': -9.634964}
{' YES': -10.86038, ' ': -9.78228, ' Yes': -0.0031900213, ' yes': -7.0836067, 'Yes': -6.098004}
{' ': -9.43786, ' Yes': -0.01294096, ' yes': -7.2624907, 'Yes': -4.422183, 'yes': -10.226077}
{'\n': -9.784693, ' ': -8.964515, ' Yes': -0.009973644, ' yes': -7.782665, 'Yes': -4.6794376}
{' ': -9.706621, ' Yes': -0.005594177, ' yes': -6.8785644, 'Yes': -5.4247913, 'yes': -10.2465925}
{'\n': -9.630316, ' ': -8.671908, ' Yes': -0.012357787, ' yes': -8.37063, 'Yes': -4.441803}
{' ': -8.372855, ' Yes': -0.021570116, ' yes': -5.274006, 'Yes': -4.159866, 'yes': -8.729199}
{' YES': -11.637683, ' ': -10.756109, ' Yes': -0.0007522656, ' yes': -10.1823015, 'Yes': -7.298983}
{'\n': -11.169766, ' ': -10.105926, ' Yes': -0.0047817286, ' yes': -9.951938, 'Yes': -5.370044}
