{' Yes': -0.021824969, ' No': -3.942994, 'Yes': -6.408141, ' The': -8.148902, ' yes': -9.244042}
{' No': -0.063897386, ' Yes': -2.8336725, 'No': -6.086034, ' The': -8.276689, '\n': -8.524734}
{' Yes': -0.012135076, ' No': -4.851359, 'Yes': -5.6675777, ' The': -8.233858, ' yes': -8.50502}
{' Yes': -0.3433401, ' No': -1.2592986, 'Yes': -5.7396817, 'No': -6.28117, '\n': -7.335237}
{' No': -0.015011751, ' Yes': -4.7267237, 'No': -5.2534623, ' The': -8.30513, '\n': -8.469781}
{' Yes': -0.52084965, ' No': -0.9155162, 'No': -6.1375866, 'Yes': -6.2542267, ' The': -7.075823}
{' Yes': -0.0013423164, 'Yes': -6.840532, ' yes': -9.030477, '\n': -9.626622, ' No': -10.224011}
{' No': -0.36690694, ' Yes': -1.1951044, 'No': -5.9496627, 'Yes': -7.308645, ' The': -7.5691957}
{' No': -0.36574993, ' Yes': -1.23766, '\n': -4.924933, 'No': -5.11097, 'Yes': -6.4915447}
{' Yes': -0.05877071, ' No': -2.933578, 'Yes': -6.006692, 'No': -8.08837, ' Most': -8.165816}
{' Yes': -0.0026472248, 'Yes': -6.332095, ' No': -7.6066394, '\n': -8.943612, ' yes': -8.961932}
{' No': -0.25412494, ' Yes': -1.50756, 'No': -6.1672487, 'Yes': -8.079891, ' The': -8.268462}
{' No': -0.5166853, ' Yes': -0.9208525, 'No': -6.200467, '\n': -6.6930246, 'Yes': -7.083083}
{' No': -0.0102485055, 'No': -5.30497, ' Yes': -5.3903027, '\n': -7.8385158, ' ': -8.980639}
{' Yes': -0.12295667, ' No': -2.198938, 'Yes': -6.1386538, ' The': -6.917836, 'No': -7.4174104}
{' Yes': -0.05784103, ' No': -2.9249768, 'Yes': -6.4184723, ' The': -7.8828125, 'No': -8.486923}
{' Yes': -0.06726501, ' No': -2.799376, 'Yes': -5.9427223, '\n': -7.425594, 'No': -8.025778}
{' No': -0.008255333, 'No': -5.2028356, ' Yes': -6.142725, ' ': -8.470604, ' The': -8.677383}
{' No': -0.029248856, ' Yes': -3.7794187, 'No': -5.2253947, ' The': -8.197478, '\n': -9.313081}
{' No': -0.19111422, ' Yes': -1.775499, 'No': -5.7611666, ' The': -7.4804325, 'Yes': -7.767648}
{' Yes': -0.004445919, 'Yes': -5.8731184, ' No': -6.845279, ' yes': -8.492162, '\n': -8.529988}
{' Yes': -0.008469546, ' No': -5.1045694, 'Yes': -6.1622834, ' yes': -9.08955, '\n': -10.080021}
{' Yes': -0.0074812775, ' No': -5.4566083, 'Yes': -5.9034886, ' yes': -8.946163, '\n': -9.19388}
{' Yes': -0.088522956, ' No': -2.4983912, 'Yes': -6.581429, ' The': -7.633382, 'No': -8.2877245}
{' Yes': -0.6068834, ' No': -0.79226047, 'No': -7.0504375, 'Yes': -7.361961, ' The': -7.9752626}
{' Yes': -0.15379389, ' No': -1.9698719, 'Yes': -6.476928, ' The': -7.6207275, 'No': -7.685198}
{' Yes': -0.0041545117, 'Yes': -6.07506, ' No': -6.418335, ' yes': -9.408266, '\n': -9.843153}
{' Yes': -0.456577, ' No': -1.0119855, 'No': -6.615978, 'Yes': -6.671064, ' The': -8.929703}
{' No': -0.034704413, ' Yes': -3.56094, 'No': -5.425354, ' The': -7.1066155, '\n': -8.695952}
{' No': -0.03819538, ' Yes': -3.3903282, 'No': -5.8011804, ' The': -7.6998105, '\n': -9.163171}
{' Yes': -0.15238954, ' No': -1.9815158, 'Yes': -6.3202205, 'No': -7.464611, '\n': -7.8795714}
{' Yes': -0.34040865, ' No': -1.2519726, 'Yes': -6.6898437, 'No': -7.041694, '\n': -8.825161}
{' Yes': -0.22777297, ' No': -1.6062881, 'Yes': -6.5886297, 'No': -7.2880964, ' The': -7.970252}
{' No': -0.27769175, ' Yes': -1.4379395, 'No': -5.6099205, 'Yes': -7.324641, ' The': -8.379382}
{' Yes': -0.06623651, ' No': -2.872791, 'Yes': -5.6887493, '\n': -5.9178195, ' ': -7.346605}
{' No': -0.020490864, ' Yes': -4.149418, 'No': -5.514393, ' The': -8.726625, '\n': -8.946983}
{' Yes': -0.0017274765, 'Yes': -6.4975786, ' yes': -9.347123, ' No': -10.004611, ' The': -10.647359}
{' Yes': -0.009239148, ' No': -4.9470806, 'Yes': -6.3792186, ' yes': -9.106907, '\n': -9.328668}
{' Yes': -0.010743025, ' No': -4.7538996, 'Yes': -6.3749623, ' yes': -8.635439, ' The': -9.995663}
{' Yes': -0.36189398, ' No': -1.2018026, 'Yes': -6.557557, 'No': -6.7638903, ' The': -8.674552}
{' Yes': -0.05552848, ' No': -2.941923, ' The': -7.435751, 'Yes': -7.680248, ' yes': -9.3433895}
{' Yes': -0.0032607624, ' No': -6.0169644, 'Yes': -7.4500856, ' The': -8.954211, ' yes': -9.665795}
{' Yes': -0.0027501439, ' No': -6.2324615, 'Yes': -7.5810084, ' The': -8.604196, ' yes': -9.911874}
{' No': -0.14195941, ' Yes': -2.034303, 'No': -7.012616, ' The': -7.7472405, 'Yes': -9.438592}
{' Yes': -0.28630403, ' No': -1.3996099, ' The': -6.672391, 'Yes': -7.7167673, 'No': -8.488477}
{' Yes': -0.0048707933, ' No': -5.469756, 'Yes': -7.5970926, ' yes': -9.911706, ' The': -9.97227}
{' No': -0.19069313, ' Yes': -1.7583926, 'No': -7.074282, 'Yes': -8.901196, ' The': -9.029022}
{' Yes': -0.01093132, ' No': -4.6482525, 'Yes': -7.0643196, ' The': -8.109976, ' yes': -9.858177}
{' Yes': -0.00070305873, 'Yes': -7.7349057, ' No': -8.807641, ' yes': -10.074462, ' YES': -10.503688}
{' Yes': -0.3180931, ' No': -1.305207, ' The': -7.521374, 'Yes': -7.7530465, 'No': -8.479784}
{' Yes': -0.0013122956, ' No': -7.0686283, 'Yes': -7.9388824, ' yes': -9.564905, ' The': -11.182894}
{' Yes': -0.002969819, ' No': -6.0636516, 'Yes': -7.617, ' The': -9.694997, ' yes': -9.879019}
{' Yes': -0.14395651, ' No': -2.0234807, 'Yes': -7.138036, ' The': -7.467221, 'No': -8.560981}
{' Yes': -0.004851684, ' No': -5.5305357, 'Yes': -7.3188543, ' yes': -9.184918, ' The': -9.638803}
{' Yes': -0.014843742, ' No': -4.3081975, 'Yes': -7.41606, ' The': -7.709233, ' yes': -9.320254}
{' Yes': -0.00094519305, 'Yes': -7.427363, ' No': -8.404508, ' The': -9.652326, ' yes': -10.111295}
{' Yes': -0.0024390933, ' No': -6.2307324, 'Yes': -7.954951, ' yes': -9.644607, ' The': -10.580546}
{' Yes': -0.17520913, ' No': -1.841198, ' The': -7.108743, 'Yes': -7.171873, 'No': -8.410646}
{' Yes': -0.0025335026, ' No': -6.3680196, 'Yes': -7.4395676, ' The': -8.910917, ' yes': -9.704376}
{' Yes': -0.002991938, ' No': -6.1601973, 'Yes': -7.1848783, ' yes': -9.7043295, ' The': -10.4210005}
{' No': -0.0476134, ' Yes': -3.089178, 'No': -7.196953, ' ': -9.648481, ' The': -9.873253}
{' Yes': -0.026930833, ' No': -3.6977184, ' The': -7.2144556, 'Yes': -7.5228906, ' yes': -7.8356786}
{' No': -0.002303528, 'No': -6.6139574, ' Yes': -7.016539, ' The': -10.749389, ' ': -10.7774}
{' No': -0.0073604593, ' Yes': -5.1227226, 'No': -6.6897597, ' The': -9.722129, ' ': -10.572005}
{' Yes': -0.003101529, ' No': -5.988701, 'Yes': -7.9252453, ' The': -8.836195, ' yes': -9.747593}
{' No': -0.0077204914, ' Yes': -5.05354, 'No': -6.7776136, ' The': -9.210813, ' ': -10.432357}
{' Yes': -0.002735319, ' No': -6.1889305, 'Yes': -7.7117653, ' The': -9.004686, ' yes': -9.46014}
{' Yes': -0.010027587, ' No': -4.6725197, 'Yes': -7.7405972, ' The': -9.0289, ' yes': -10.129801}
{' Yes': -0.0005093446, 'Yes': -7.86084, ' No': -9.735561, ' yes': -10.173485, ' ': -11.421717}
{' Yes': -0.10091427, ' No': -2.3526154, 'Yes': -7.4678173, ' The': -8.820473, 'No': -9.555296}
{' Yes': -0.01276062, ' No': -4.4135838, 'Yes': -7.888081, ' yes': -9.406806, '\n': -10.27503}
{' Yes': -0.0064427364, ' No': -5.169769, 'Yes': -7.637515, ' The': -8.736894, ' yes': -10.190011}
{' Yes': -0.00052281993, 'Yes': -7.8425727, ' No': -9.955406, ' yes': -10.054632, ' The': -11.002296}
{' No': -0.38127872, ' Yes': -1.1520555, 'No': -7.694574, ' The': -8.241944, 'Yes': -8.707712}
{' Yes': -0.0015609657, 'Yes': -7.2491937, ' No': -7.502333, ' The': -8.739649, ' yes': -9.384529}
{' No': -0.35910097, ' Yes': -1.2061257, 'No': -6.747057, ' The': -7.2456207, 'Yes': -8.304473}
{' Yes': -0.0011463299, 'Yes': -7.593231, ' No': -8.422924, ' The': -8.534716, ' yes': -8.75498}
{' Yes': -0.023474803, ' No': -3.8042555, 'Yes': -7.5776186, ' The': -8.4776125, ' yes': -9.102832}
{' No': -0.027544986, ' Yes': -3.636134, 'No': -7.460509, ' The': -9.1072, ' ': -9.39688}
{' No': -0.040926468, ' Yes': -3.2368894, 'No': -7.4275417, ' The': -9.336039, ' ': -9.583229}
{' Yes': -0.0017007297, ' No': -6.9226313, 'Yes': -7.7140203, ' The': -8.702126, ' yes': -9.564032}
{' Yes': -0.013555708, ' No': -4.4123306, 'Yes': -7.2158675, ' The': -7.809929, ' yes': -9.115537}
{' Yes': -0.45384344, ' No': -1.01374, 'Yes': -7.2436194, 'No': -7.3858232, ' Not': -8.403581}
{' No': -0.020141896, ' Yes': -3.9841406, 'No': -6.818863, ' The': -9.2751255, ' ': -9.666187}
{' No': -0.34819916, ' Yes': -1.227361, 'No': -7.6297464, ' The': -8.260747, 'Yes': -8.895032}
{' No': -0.29830483, ' Yes': -1.357713, ' The': -8.26867, 'No': -8.405341, 'Yes': -9.358663}
{' Yes': -0.024133608, ' No': -3.799589, ' The': -7.150928, 'Yes': -7.7707934, ' yes': -8.784497}
{' Yes': -0.29726213, ' No': -1.3696707, ' The': -6.2722654, 'Yes': -7.6360774, 'No': -8.160779}
{' No': -0.1598372, ' Yes': -1.9244188, 'No': -6.953885, ' The': -8.089633, ' ': -8.412824}
{' Yes': -0.63797307, ' No': -0.75442827, ' The': -7.497228, 'Yes': -8.160882, 'No': -8.165908}
{' Yes': -0.22807579, ' No': -1.5976055, ' The': -7.4556737, 'Yes': -7.5483875, 'No': -8.567854}
{' Yes': -0.033692155, ' No': -3.4425018, 'Yes': -7.5109615, ' The': -7.859383, ' yes': -9.094434}
{' Yes': -0.0012981491, 'Yes': -7.203114, ' No': -7.805905, ' yes': -9.375886, ' The': -10.333077}
{' Yes': -0.33426094, ' No': -1.2627296, 'Yes': -7.606075, ' The': -8.083926, 'No': -8.129098}
{' Yes': -0.0007281695, 'Yes': -7.8612013, ' No': -8.552234, ' yes': -9.641871, ' The': -9.992208}
{' Yes': -0.01711098, ' No': -4.1253967, 'Yes': -7.7223473, ' The': -8.618498, ' yes': -9.414038}
{' Yes': -0.5966536, ' No': -0.8068816, ' The': -6.3317575, 'No': -7.45841, 'Yes': -7.716065}
{' No': -0.0380698, ' Yes': -3.3405313, 'No': -6.560115, ' The': -8.056504, ' ': -9.516665}
{' Yes': -0.0007726081, 'Yes': -7.709699, ' The': -8.533912, ' yes': -9.813515, ' No': -9.852554}
{' Yes': -0.0042466293, ' No': -5.612569, 'Yes': -8.076112, ' The': -8.597428, ' yes': -9.636184}
{' Yes': -0.00079217425, 'Yes': -7.303417, ' yes': -9.927444, ' The': -10.520595, ' No': -11.048351}
{' Yes': -0.0069230087, ' No': -5.0509996, 'Yes': -8.004344, ' yes': -9.598201, ' The': -9.709533}
{' Yes': -0.022729665, ' No': -3.8403182, ' The': -7.9835625, 'Yes': -8.179099, ' Deer': -8.845552}
{' Yes': -0.003681423, ' No': -6.031515, ' The': -7.4610977, 'Yes': -7.77842, ' yes': -8.571295}
{' Yes': -0.3261546, ' No': -1.285156, ' The': -7.01732, 'Yes': -7.936755, 'No': -8.701127}
{' Yes': -0.0146686835, ' No': -4.2916174, 'Yes': -7.444928, ' The': -8.617862, ' yes': -9.489549}
{' Yes': -0.020015039, ' No': -3.9709005, 'Yes': -7.293786, ' The': -8.973638, ' yes': -9.412564}
{' No': -0.06429325, ' Yes': -2.7943497, 'No': -7.2385526, ' The': -8.3776455, ' ': -9.668615}
{' Yes': -0.09784058, ' No': -2.382272, 'Yes': -7.522895, ' The': -9.181633, 'No': -9.471293}
{' Yes': -0.018732836, ' No': -4.031642, 'Yes': -7.562931, ' yes': -8.876965, ' The': -9.160119}
{' No': -0.010892273, ' Yes': -4.809091, 'No': -6.3917623, ' The': -7.1287165, ' ': -9.825498}
{' No': -0.010270187, ' Yes': -4.66735, 'No': -7.518273, ' The': -8.58118, ' ': -9.85109}
{' Yes': -0.0013127733, 'Yes': -7.2118134, ' No': -7.84885, ' The': -9.244578, ' yes': -10.132212}
{' Yes': -0.015570556, ' No': -4.2236943, 'Yes': -7.5716896, ' The': -8.78377, ' yes': -9.472988}
{' Yes': -0.09262207, ' No': -2.4412012, 'Yes': -7.4174395, ' The': -7.699246, 'No': -9.126071}
{' No': -0.032316167, ' Yes': -3.4785993, 'No': -7.3265457, ' The': -8.696482, ' ': -9.570837}
{' Yes': -0.00048012446, 'Yes': -8.281835, ' No': -9.315972, ' yes': -9.5840025, ' The': -9.959636}
{' Yes': -0.009067955, ' No': -4.7747173, 'Yes': -7.7603226, ' yes': -9.671591, ' The': -9.757194}
{' Yes': -0.0029494904, ' No': -6.810713, 'Yes': -6.8560276, ' The': -7.3748465, ' yes': -9.36254}
{' Yes': -0.012055619, ' No': -4.571559, 'Yes': -7.048665, ' The': -7.4479265, ' yes': -9.21428}
{' Yes': -0.0004766064, 'Yes': -8.012024, ' The': -9.808392, ' yes': -9.958396, ' No': -10.827814}
{' No': -0.30704865, ' Yes': -1.3369005, ' The': -7.1831813, 'No': -7.401773, 'Yes': -8.946855}
{' Yes': -0.018916141, ' No': -4.0236173, 'Yes': -7.709081, ' The': -8.350618, ' yes': -9.299627}
{' Yes': -0.01478476, ' No': -4.290847, 'Yes': -7.1635427, ' The': -9.102725, ' yes': -9.786204}
{' No': -0.02011307, ' Yes': -3.996052, 'No': -6.657982, ' The': -9.314617, ' ': -9.619141}
{' Yes': -0.02523659, ' No': -3.7211516, 'Yes': -7.7017765, ' The': -9.186226, ' yes': -9.505598}
{' No': -0.057180285, ' Yes': -2.9135985, 'No': -7.4126124, ' The': -7.510145, ' ': -10.232332}
{' Yes': -0.41538528, ' No': -1.0833045, ' The': -7.1179743, 'Yes': -8.171935, 'No': -8.630827}
{' Yes': -0.002074442, ' No': -6.4214773, 'Yes': -7.8872232, ' yes': -9.98808, ' ': -11.649103}
{' No': -0.35387006, ' Yes': -1.2166936, ' The': -6.872907, 'No': -7.6187186, 'Yes': -8.7564}
{' Yes': -0.00070126774, 'Yes': -7.614829, ' The': -9.578103, ' yes': -9.720744, ' No': -10.340476}
{' Yes': -0.021904046, ' No': -3.865747, 'Yes': -7.661662, ' The': -9.078907, ' yes': -9.576377}
{' Yes': -0.0014287436, ' No': -6.8847103, 'Yes': -8.097519, ' yes': -9.553194, ' The': -11.47231}
{' Yes': -0.0009221041, ' No': -7.4811535, 'Yes': -8.263067, ' yes': -9.724505, ' The': -10.677376}
{' Yes': -0.0032566956, ' No': -6.114706, 'Yes': -7.391396, ' The': -8.148903, ' yes': -9.599721}
{' Yes': -0.068669565, ' No': -2.732137, ' The': -7.4639554, 'Yes': -7.809209, ' ': -9.213777}
{' Yes': -0.0011212069, 'Yes': -7.558664, ' No': -7.7574973, ' yes': -9.289974, ' The': -10.504199}
{' Yes': -0.0055222525, ' No': -5.299629, 'Yes': -7.9503236, ' yes': -9.311825, ' The': -10.007768}
{' Yes': -0.14183694, ' No': -2.0306594, ' The': -7.8054967, 'Yes': -7.9341283, 'No': -9.396164}
{' No': -0.03478828, ' Yes': -3.4116268, 'No': -7.0806365, ' The': -8.549725, ' ': -9.726309}
{' Yes': -0.31345642, ' No': -1.3169982, ' The': -7.2699327, 'Yes': -8.609894, 'No': -9.390632}
{' Yes': -0.025899187, ' No': -3.7152395, ' The': -7.499051, 'Yes': -7.717408, ' yes': -9.012025}
{' Yes': -0.026141811, ' No': -3.6914322, 'Yes': -7.623433, ' The': -8.449132, ' ': -9.762063}
{' Yes': -0.002336924, ' No': -6.8085117, 'Yes': -6.937277, ' The': -8.69487, ' yes': -10.254108}
{' Yes': -0.36870712, ' No': -1.1798663, 'Yes': -7.933444, ' The': -8.025327, 'No': -8.425717}
{' Yes': -0.03255943, ' No': -3.4665651, 'Yes': -7.476109, ' The': -9.719691, ' yes': -9.775243}
{' Yes': -0.08537266, ' No': -2.5177417, 'Yes': -7.137693, ' The': -8.565032, 'No': -9.23367}
{' No': -0.19390625, ' Yes': -1.7430567, 'No': -7.2362432, ' The': -7.9664845, 'Yes': -8.951135}
{' No': -0.018450353, ' Yes': -4.055056, 'No': -7.2941, ' The': -8.675446, ' ': -9.918153}
{' Yes': -0.024416352, ' No': -3.7541142, 'Yes': -7.546772, ' The': -9.900909, ' yes': -9.936989}
{' Yes': -0.06775322, ' No': -2.7590487, ' The': -6.6298084, 'Yes': -7.5943966, ' yes': -9.007631}
{' No': -0.011406643, ' Yes': -4.5811296, 'No': -7.1277905, ' The': -8.448856, ' ': -10.477425}
{' Yes': -0.06261455, ' No': -2.832964, 'Yes': -7.4271464, ' The': -7.571857, ' yes': -8.347722}
{' Yes': -0.096401185, ' No': -2.3997211, ' The': -7.557438, 'Yes': -7.8390846, ' Cave': -9.615848}
{' No': -0.0932271, ' Yes': -2.4357066, 'No': -6.918283, ' The': -8.298034, 'Yes': -9.525144}
{' No': -0.028977133, ' Yes': -3.614098, 'No': -6.8047485, ' The': -7.930004, ' ': -9.905959}
{' Yes': -0.36011246, ' No': -1.2004198, ' The': -7.244624, 'Yes': -8.261888, 'No': -8.602946}
{' No': -0.097811125, ' Yes': -2.3861372, 'No': -7.3088174, ' The': -7.932944, 'Yes': -9.76288}
{' Yes': -0.18054, ' No': -1.8102131, 'Yes': -7.1017375, ' The': -8.238463, 'No': -8.425769}
{' No': -0.010463209, ' Yes': -4.635101, 'No': -7.462646, ' The': -9.687896, ' ': -10.593514}
{' Yes': -0.2165835, ' No': -1.6504997, ' The': -6.496317, 'Yes': -7.282039, 'No': -8.1964}
{' No': -0.50967276, ' Yes': -0.92513716, ' The': -6.402729, 'No': -7.4572015, 'Yes': -8.071843}
{' Yes': -0.4883688, ' No': -0.95403266, ' The': -7.660972, 'Yes': -8.028306, 'No': -8.506533}
{' Yes': -0.31864947, ' No': -1.3057787, ' The': -6.790388, 'Yes': -7.8375053, 'No': -8.602589}
{' Yes': -0.00066649547, ' No': -8.1877985, 'Yes': -8.426679, ' The': -9.212741, ' yes': -9.959068}
{' Yes': -0.15012684, ' No': -1.9824078, ' The': -7.0486975, 'Yes': -7.5923433, 'No': -8.954467}
{' Yes': -0.0017912475, ' No': -6.8631763, 'Yes': -7.486555, ' The': -9.227646, ' yes': -9.753331}
{' Yes': -0.012580791, ' No': -4.430935, 'Yes': -8.060712, ' The': -8.537955, ' yes': -10.114768}
{' Yes': -0.12212055, ' No': -2.17179, 'Yes': -7.7588544, ' The': -8.509859, ' yes': -9.110245}
{' Yes': -0.0011096315, ' No': -7.2151403, 'Yes': -8.486167, ' The': -9.366593, ' yes': -9.822904}
{' No': -0.6860926, ' Yes': -0.70357925, 'No': -7.4189696, 'Yes': -7.688269, ' The': -7.903978}
{' No': -0.3667825, ' Yes': -1.1878407, ' The': -6.9307375, 'No': -7.4433217, 'Yes': -8.382676}
{' Yes': -0.0021071737, ' No': -6.5820856, 'Yes': -7.3945894, ' yes': -9.949342, ' The': -10.706979}
{' Yes': -0.06748307, ' No': -2.7457418, 'Yes': -7.2540326, ' yes': -9.185166, 'No': -9.384189}
{' No': -0.0036254888, 'No': -6.290797, ' Yes': -6.523761, ' The': -8.463975, ' ': -10.2500105}
{' No': -0.012487782, ' Yes': -4.491827, 'No': -6.9447026, ' The': -8.615768, ' ': -10.622713}
{' Yes': -0.66042656, ' No': -0.73051775, 'No': -7.262674, 'Yes': -7.5587783, ' The': -8.477104}
{' No': -0.34782505, ' Yes': -1.2285584, 'No': -7.5057454, ' The': -8.465024, 'Yes': -8.811479}
{' No': -0.46237093, ' Yes': -0.99830353, ' The': -7.192263, 'No': -7.490058, 'Yes': -8.388023}
{' No': -0.057587944, ' Yes': -2.8991692, 'No': -7.397372, ' The': -9.008971, ' ': -9.729863}
{' Yes': -0.0021176254, ' No': -6.532074, 'Yes': -7.678629, ' The': -9.293858, ' yes': -9.533857}
{' Yes': -0.3177846, ' No': -1.3047498, 'Yes': -7.816598, 'No': -8.397075, ' The': -8.40716}
{' Yes': -0.4432156, ' No': -1.0329489, ' The': -7.087111, 'Yes': -7.452727, 'No': -7.71593}
{' No': -0.5626278, ' Yes': -0.8473034, 'No': -7.3037066, 'Yes': -7.654394, ' The': -7.774553}
{' Yes': -0.36532325, ' No': -1.1894982, 'Yes': -7.5864, ' The': -7.8628817, 'No': -7.999276}
{' No': -0.14961776, ' Yes': -1.9843384, 'No': -7.1627803, ' The': -7.9798903, ' ': -8.849311}
{' Yes': -0.31013453, ' No': -1.3276117, ' The': -7.419578, 'Yes': -7.579263, 'No': -8.530112}
{' Yes': -0.0010791995, ' No': -7.599902, 'Yes': -7.7942095, ' yes': -9.634604, ' The': -9.890189}
{' No': -0.64132077, ' Yes': -0.74959147, ' The': -8.0790205, 'No': -8.666396, 'Yes': -8.675017}
{' Yes': -0.08241092, ' No': -2.5651076, ' The': -6.9582133, 'Yes': -7.2119007, ' ': -8.755251}
{' No': -0.021885894, ' Yes': -3.87527, 'No': -7.3995004, ' The': -8.676856, ' ': -9.877886}
{' No': -0.23415418, ' Yes': -1.5730593, 'No': -7.34456, ' The': -7.9203186, 'Yes': -8.922974}
{' No': -0.14675854, ' Yes': -2.0160594, 'No': -6.2828836, ' The': -6.954751, 'Yes': -8.568799}
{' Yes': -0.45538026, ' No': -1.0103614, ' The': -7.535418, 'Yes': -7.6174917, 'No': -7.866872}
{' Yes': -0.0006491971, 'Yes': -7.5270033, ' yes': -9.733437, ' No': -11.194381, ' ': -11.197148}
{' Yes': -0.00096356997, 'Yes': -7.5737934, ' No': -8.094852, ' yes': -9.57765, ' The': -10.070524}
{' Yes': -0.0050651133, ' No': -5.4345446, 'Yes': -7.5206914, ' yes': -9.650735, ' The': -10.206973}
{' Yes': -0.15469915, ' No': -1.9524534, ' The': -7.2559924, 'Yes': -7.7722297, ' yes': -9.427378}
{' No': -0.02297213, ' Yes': -3.861845, 'No': -6.8833385, ' The': -7.6190066, ' ': -9.308549}
{' No': -0.20578611, ' Yes': -1.6937526, 'No': -6.8327355, ' The': -7.2570443, 'Yes': -8.688963}
{' Yes': -0.3309651, ' No': -1.2710304, 'Yes': -7.333238, ' The': -8.554612, 'No': -8.738228}
{' No': -0.1261925, ' Yes': -2.141188, ' The': -7.7108903, 'No': -7.960457, 'Yes': -9.157471}
{' Yes': -0.01632076, ' No': -4.230167, 'Yes': -7.0714574, ' The': -7.4363375, ' yes': -9.417918}
{' No': -0.36173427, ' Yes': -1.1985644, 'No': -7.247508, ' The': -7.337236, 'Yes': -8.011843}
{' No': -0.006272259, ' Yes': -5.4816656, 'No': -6.4191914, ' The': -8.406191, ' ': -9.027891}
{' Yes': -0.14480686, ' No': -2.0229883, ' The': -6.785359, 'Yes': -7.0031037, 'No': -8.471969}
{' Yes': -0.0005068385, 'Yes': -8.019687, ' yes': -9.598725, ' No': -9.941058, ' The': -10.466924}
{' Yes': -0.16707447, ' No': -1.8786699, 'Yes': -7.6979585, ' The': -8.10022, 'No': -9.010668}
{' No': -0.477427, ' Yes': -0.9734635, 'No': -7.0967956, 'Yes': -7.9434204, ' The': -8.382629}
{' Yes': -0.003108524, ' No': -6.156478, 'Yes': -7.6516066, ' Most': -8.182897, ' The': -9.124011}
{' Yes': -0.0011332621, ' No': -7.553417, 'Yes': -7.6921406, ' The': -9.76668, ' yes': -10.021469}
{' Yes': -0.5249695, ' No': -0.897614, ' The': -8.158865, 'Yes': -8.375965, 'No': -8.40462}
{' Yes': -0.52921283, ' No': -0.8928241, ' The': -7.7587104, 'No': -7.818773, 'Yes': -7.8923244}
{' No': -0.09231119, ' Yes': -2.4524624, 'No': -6.3823957, 'Yes': -8.963994, ' ': -9.189435}
{' Yes': -0.015654469, ' No': -4.276177, ' The': -7.2662187, 'Yes': -7.3100286, ' yes': -9.039803}
{' Yes': -0.0137328105, ' No': -4.3767047, 'Yes': -7.703161, ' The': -7.733592, ' yes': -9.306718}
{' Yes': -0.01969961, ' No': -3.989428, 'Yes': -7.2373466, ' The': -9.265755, ' yes': -9.505533}
{' No': -0.0030375537, 'No': -6.5763407, ' Yes': -6.6502614, ' The': -8.507524, ' ': -9.229205}
{' No': -0.055220544, ' Yes': -2.9427745, 'No': -7.384183, ' The': -8.469911, ' ': -9.545976}
{' No': -0.50838786, ' Yes': -0.92533606, ' The': -6.992093, 'No': -7.324347, 'Yes': -8.093606}
{' Yes': -0.0006995979, 'Yes': -7.5948763, ' No': -9.17249, ' yes': -9.87264, ' The': -11.041024}
{' Yes': -0.0013429143, 'Yes': -7.226927, ' No': -7.637333, ' The': -9.773838, ' yes': -10.02216}
{' Yes': -0.0014577553, 'Yes': -6.9494176, ' No': -7.990641, ' yes': -9.721642, ' The': -9.9641285}
{' Yes': -0.04856543, ' No': -3.0717454, ' The': -7.574839, 'Yes': -7.8065114, ' yes': -9.888811}
{' Yes': -0.4802102, ' No': -0.9656496, ' The': -8.315021, 'Yes': -8.744283, 'No': -8.995034}
{' Yes': -0.1248126, ' No': -2.1495967, 'Yes': -8.048413, ' The': -8.08529, ' yes': -9.669171}
{' Yes': -0.004456696, ' No': -5.636138, 'Yes': -7.247388, ' The': -9.385827, ' yes': -10.090605}
{' Yes': -0.14694603, ' No': -1.996012, 'Yes': -7.8113766, ' The': -8.559994, 'No': -9.23237}
{' No': -0.05197384, ' Yes': -3.0117934, ' The': -7.275791, 'No': -7.384684, 'Yes': -10.256083}
{' No': -0.09204008, ' Yes': -2.447034, 'No': -7.345451, ' The': -7.4724836, 'Yes': -9.682605}
{' Yes': -0.19075574, ' No': -1.7577399, 'Yes': -7.58093, ' The': -7.9833555, 'No': -8.751215}
{' Yes': -0.052072853, ' No': -3.0007899, 'Yes': -7.263614, ' The': -9.096437, ' yes': -9.666494}
{' Yes': -0.017952496, ' No': -4.075928, 'Yes': -7.502775, ' The': -9.159468, ' yes': -9.25156}
{' Yes': -0.12547792, ' No': -2.146697, 'Yes': -7.3511467, 'No': -8.912779, ' The': -9.084151}
{' Yes': -0.004379944, ' No': -5.6743436, 'Yes': -7.301647, ' yes': -9.421457, ' ': -9.604961}
{' No': -0.1847597, ' Yes': -1.7849221, 'No': -7.588065, ' The': -8.551253, 'Yes': -9.311077}
{' Yes': -0.0005494758, 'Yes': -7.6743526, ' yes': -10.314306, ' YES': -11.16341, ' ': -11.288418}
{' Yes': -0.0009923818, 'Yes': -7.6927056, ' No': -7.8372197, ' The': -9.821316, ' yes': -10.032832}
{' Yes': -0.0055863853, ' No': -5.3513613, 'Yes': -7.676252, ' yes': -8.789943, ' The': -9.109786}
{' Yes': -0.6683841, ' No': -0.7208323, ' The': -7.8182025, 'No': -8.087754, 'Yes': -8.300049}
