{' Yes': -0.00454453, 'Yes': -5.773289, ' Generally': -6.811503, ' yes': -8.638304, ' An': -10.67748}
{' No': -0.07476554, 'No': -3.0468955, ' ': -4.810813, '\n': -4.8372808, ' Ant': -5.442804}
{' No': -0.06499991, 'No': -3.2972918, ' Ant': -5.0658894, ' ': -5.0702477, '\n': -5.343293}
{' Yes': -0.003748848, 'Yes': -5.8214173, ' Generally': -7.4644914, ' yes': -8.932672, ' A': -11.311109}
{' Yes': -0.036217447, ' Generally': -4.0716195, 'Yes': -4.9770646, ' No': -4.9831834, ' It': -5.9700456}
{' Yes': -0.011453308, ' Generally': -5.0593047, 'Yes': -5.7187114, ' On': -7.4033957, ' yes': -7.802375}
{' Yes': -0.024751538, ' Generally': -4.071981, 'Yes': -5.5297675, ' It': -6.721048, ' In': -7.3598742}
{' Yes': -0.01229171, 'Yes': -4.626618, ' Generally': -6.390322, ' yes': -7.973364, ' ': -9.403141}
{' Yes': -0.039631102, 'Yes': -4.313963, ' Generally': -4.491574, ' No': -4.861067, ' It': -6.0851097}
{' Yes': -0.014407784, 'Yes': -4.517717, ' Generally': -6.1055827, ' yes': -7.7646327, ' Rats': -9.085208}
{' Yes': -0.015892213, 'Yes': -4.5674725, ' Generally': -5.5976715, ' yes': -7.6237698, ' It': -8.635363}
{' Yes': -0.010492601, 'Yes': -4.6712, ' yes': -7.98028, ' ': -8.457641, '\n': -8.63323}
{' Yes': -0.040165477, 'Yes': -3.9974635, ' No': -4.606196, '\n': -5.705309, ' Generally': -6.164982}
{' Yes': -0.015593139, 'Yes': -4.3479695, ' Generally': -7.2987843, ' No': -7.5994587, ' yes': -8.037592}
{' Yes': -0.017855892, 'Yes': -4.269597, ' Generally': -6.615501, ' yes': -7.610226, ' ': -7.8640037}
{' Yes': -0.0044106543, 'Yes': -5.8479295, ' Generally': -6.7534475, ' yes': -8.668653, ' A': -9.552814}
{' Yes': -0.030694008, ' Generally': -4.1098375, 'Yes': -5.334649, ' No': -5.915879, ' It': -5.9866877}
{' Yes': -0.0155909, ' Generally': -4.911711, 'Yes': -5.238013, ' On': -6.9098887, ' yes': -7.526081}
{' Yes': -0.013191333, ' Generally': -5.08358, 'Yes': -5.27738, ' yes': -7.396841, ' In': -8.313616}
{' Yes': -0.022622664, 'Yes': -4.0644336, '\n': -6.284475, ' ': -6.8501043, ' Generally': -7.1792197}
{' Yes': -0.15633908, ' No': -2.6086879, 'Yes': -3.7559426, '\n': -4.391956, ' Generally': -4.6126475}
{' Yes': -0.032327373, 'Yes': -3.7794833, ' Generally': -6.0573072, ' Rats': -6.475303, '\n': -6.665078}
{' Yes': -0.05031673, 'Yes': -3.6404734, ' Generally': -5.1889315, '\n': -5.681309, ' It': -5.8108244}
{' Yes': -0.010893114, 'Yes': -4.857052, ' Generally': -6.32579, ' yes': -7.418632, ' ': -8.606117}
{' Yes': -0.02836725, 'Yes': -4.3664083, ' Generally': -4.803973, ' It': -6.537753, ' A': -6.6636896}
{' Yes': -0.020430822, 'Yes': -4.266326, ' Generally': -6.038922, ' yes': -6.3445597, ' Rats': -7.8186116}
{' Yes': -0.021900818, 'Yes': -4.1348195, ' yes': -6.1206117, ' Generally': -6.3354707, ' ': -7.8946037}
{' Yes': -0.006758573, 'Yes': -5.3857884, ' yes': -6.939402, ' ': -7.685458, '\n': -7.6921625}
{' Yes': -0.009540705, 'Yes': -5.6761117, ' Generally': -6.537533, ' No': -6.574086, '\n': -6.7494082}
{' Yes': -0.0061976467, 'Yes': -5.6115594, ' yes': -6.890938, '\n': -7.203146, ' ': -7.954379}
{' Yes': -0.00863751, 'Yes': -5.564816, ' Generally': -6.181941, ' yes': -6.8985167, '\n': -7.0825524}
{' Yes': -0.01907992, 'Yes': -4.1865563, '\n': -6.790306, ' yes': -6.9013677, ' ': -7.2651253}
{' Yes': -0.11097945, ' No': -2.9539227, 'Yes': -4.232867, '\n': -4.689753, ' A': -4.7187505}
{' Yes': -0.017577417, 'Yes': -4.320943, ' yes': -6.50339, ' ': -7.185988, '\n': -7.285336}
{' Yes': -0.017850857, 'Yes': -4.4799438, ' yes': -6.156786, ' Generally': -6.3633227, ' ': -7.1692414}
{' Yes': -0.06823375, 'Yes': -3.3085597, '\n': -3.9326916, ' ': -5.071825, ' yes': -6.524235}
{' Yes': -0.13936257, '\n': -2.705767, 'Yes': -3.523552, ' ': -4.2123184, ' A': -4.857723}
{' Yes': -0.09258349, '\n': -3.080224, 'Yes': -3.5675514, ' ': -4.6288614, ' yes': -6.2576694}
{' Yes': -0.06641568, '\n': -3.5731504, 'Yes': -3.6570072, ' ': -5.0294147, ' yes': -6.261365}
{' Yes': -0.0038511024, 'Yes': -5.767038, ' yes': -7.72681, ' ': -8.886207, ' YES': -9.603758}
{' Yes': -0.0061545256, 'Yes': -5.8828764, ' No': -6.537421, ' yes': -7.788898, ' It': -7.9627542}
{' Yes': -0.0042152638, 'Yes': -5.7938113, ' yes': -7.2659774, ' ': -8.705765, ' YES': -9.362547}
{' Yes': -0.0031376418, 'Yes': -6.149416, ' yes': -7.321098, ' ': -8.964726, ' Generally': -9.245976}
{' Yes': -0.14659461, 'Yes': -2.2478921, '\n': -4.44242, ' yes': -4.973326, ' ': -4.9742064}
{' Yes': -0.84433067, ' No': -1.0450696, 'No': -2.3466654, '\n': -3.2751756, 'Yes': -3.3309257}
{' Yes': -0.1431473, 'Yes': -2.3416984, '\n': -4.351503, ' ': -4.934934, ' yes': -5.1584516}
{' Yes': -0.106360726, 'Yes': -2.5634284, '\n': -4.8452015, ' yes': -4.8991995, ' ': -5.410012}
{' Yes': -0.020405455, 'Yes': -4.5405393, ' yes': -4.9593954, ' ': -6.8846736, ' YES': -7.437794}
{' Yes': -0.02310339, 'Yes': -4.719217, ' yes': -5.223129, ' A': -6.2836175, ' Generally': -6.324588}
{' Yes': -0.026594058, 'Yes': -4.2864814, ' yes': -4.7873607, ' YES': -6.296195, ' ': -6.8756933}
{' Yes': -0.031032596, ' yes': -4.327471, 'Yes': -4.3886847, ' ': -6.708667, ' Generally': -6.8701706}
{' Yes': -0.064804144, 'Yes': -3.1659372, ' yes': -4.0897884, ' Generally': -6.9341655, ' A': -7.1474056}
{' Yes': -0.10920826, 'Yes': -3.351636, ' No': -3.781419, ' yes': -4.1161833, ' A': -4.9210663}
{' Yes': -0.09870465, 'Yes': -2.9707956, ' yes': -3.555362, ' Generally': -5.8142486, ' Rats': -6.007084}
{' Yes': -0.08557307, 'Yes': -3.2615294, ' yes': -3.5425391, ' Generally': -5.412192, ' R': -6.331059}
{' Yes': -0.019980194, 'Yes': -4.0530767, ' yes': -6.3507295, ' No': -8.566599, ' Generally': -8.659651}
{' Yes': -0.054633796, 'Yes': -3.6866775, ' No': -3.7714384, 'No': -6.0538397, ' yes': -6.612804}
{' Yes': -0.037325017, 'Yes': -3.42276, ' Generally': -6.3899307, ' yes': -7.054189, ' No': -7.213682}
{' Yes': -0.049999733, 'Yes': -3.3135495, ' Generally': -5.32025, ' No': -5.76103, ' yes': -6.504465}
{' Yes': -0.025000727, 'Yes': -3.7835627, ' yes': -6.5145674, ' ': -8.663287, 'yes': -9.4699335}
{' Yes': -0.05128958, 'Yes': -3.2325487, ' No': -5.0160356, 'No': -6.710341, ' yes': -7.204232}
{' Yes': -0.054442566, 'Yes': -3.0392504, ' No': -6.5260487, ' yes': -6.6016912, ' Generally': -7.405892}
{' Yes': -0.05659542, 'Yes': -3.1308389, ' No': -5.41981, ' Generally': -6.186711, ' yes': -6.4905906}
{' Yes': -0.007986728, 'Yes': -5.0130086, ' yes': -6.9252496, ' ': -9.225539, ' YES': -9.332536}
{' Yes': -0.010033128, 'Yes': -4.809368, ' No': -7.025408, ' yes': -7.6941924, ' Generally': -8.444235}
{' Yes': -0.015972698, 'Yes': -4.3243318, ' Generally': -7.0076623, ' yes': -7.083098, ' No': -8.106206}
{' Yes': -0.017906984, 'Yes': -4.353329, ' Generally': -6.01648, ' yes': -6.914231, ' No': -7.6750536}
{' Yes': -0.08395651, 'Yes': -2.6323974, ' Generally': -6.223702, ' yes': -6.4150467, ' No': -6.852363}
{' No': -0.86473304, 'No': -1.2277282, ' Yes': -2.0772882, ' Rats': -3.1557715, ' Generally': -3.3515913}
{' Yes': -0.16606581, 'Yes': -2.4600053, ' Rats': -3.832413, ' Generally': -4.18212, ' No': -4.5491853}
{' Yes': -0.43368214, 'Yes': -2.2226589, ' No': -2.6694782, 'No': -2.8242574, ' Rats': -3.3978295}
{' Yes': -0.03122536, 'Yes': -3.7395554, ' yes': -5.1746197, ' ': -7.9372478, ' No': -8.137421}
{' Yes': -0.05571002, 'Yes': -3.257877, ' No': -5.2627106, ' yes': -5.4127407, ' Generally': -6.503879}
{' Yes': -0.035058815, 'Yes': -3.5664766, ' yes': -5.4436226, ' Generally': -7.5269966, ' Rats': -8.113361}
{' Yes': -0.048956145, 'Yes': -3.2672045, ' yes': -5.344019, ' Generally': -5.968014, ' Rats': -8.033436}
{' Yes': -0.046557467, ' yes': -3.27983, 'Yes': -5.1776934, ' ': -7.002654, 'yes': -7.702576}
{' Yes': -0.052869745, ' yes': -3.1528907, 'Yes': -5.1533237, ' ': -6.7606473, '\n': -6.86547}
{' Yes': -0.032489847, ' yes': -3.6743238, 'Yes': -5.322035, ' ': -7.218462, ' YES': -7.8804235}
{' Yes': -0.06667478, ' yes': -2.8932872, 'Yes': -5.05207, ' ': -7.0964065, '\n': -7.215636}
{' Yes': -0.031192154, 'Yes': -3.8722126, ' yes': -4.9154406, ' ': -7.0536914, '\n': -7.0901623}
{' Yes': -0.044168115, 'Yes': -3.7959151, ' yes': -4.891544, '\n': -5.6235223, ' No': -6.068183}
{' Yes': -0.03206374, 'Yes': -3.788041, ' yes': -5.028199, '\n': -7.2433157, ' ': -7.354221}
{' Yes': -0.03800776, 'Yes': -3.8714142, ' yes': -4.3698883, '\n': -6.4409237, ' ': -6.930533}
{' Yes': -0.07280805, 'Yes': -3.130238, '\n': -4.4748273, ' yes': -4.5834374, ' ': -5.8352456}
{' Yes': -0.1746493, '\n': -2.5104246, 'Yes': -2.9383097, ' ': -4.4583173, ' yes': -4.8019953}
{' Yes': -0.072054714, 'Yes': -3.1888168, '\n': -4.367514, ' yes': -4.5477567, ' ': -6.038607}
{' Yes': -0.091946244, 'Yes': -3.1387813, '\n': -3.798245, ' yes': -4.10434, ' ': -5.578148}
{' Yes': -0.012291347, 'Yes': -4.801056, ' yes': -5.6912994, '\n': -8.472727, ' ': -8.643244}
{' Yes': -0.014792624, 'Yes': -4.750619, ' yes': -5.7256465, '\n': -7.043278, ' Generally': -7.5654755}
{' Yes': -0.010583982, 'Yes': -4.954014, ' yes': -5.8734474, '\n': -8.793867, ' Generally': -8.859426}
{' Yes': -0.0129224835, 'Yes': -4.83848, ' yes': -5.617637, ' Generally': -7.7080684, '\n': -7.809816}
{' Yes': -0.15801091, 'Yes': -2.2103791, ' yes': -4.0657563, '\n': -4.455463, ' ': -5.7006426}
{' No': -0.6398836, 'No': -1.5296236, ' Yes': -2.1119332, '\n': -2.3182814, 'Yes': -4.2228894}
{' Yes': -0.17153072, 'Yes': -2.3418207, ' yes': -3.927254, '\n': -3.9316845, ' No': -4.956813}
{' Yes': -0.13646661, 'Yes': -2.4894404, ' yes': -3.6002743, '\n': -4.5012984, ' ': -5.937794}
{' Yes': -0.10155463, ' yes': -2.650749, 'Yes': -3.9444673, '\n': -6.243349, ' ': -6.339805}
{' Yes': -0.06636836, ' yes': -3.134802, 'Yes': -4.6935444, ' ': -5.4772015, '\n': -5.5267196}
{' Yes': -0.11147648, ' yes': -2.5528924, 'Yes': -3.9570117, '\n': -5.9434743, 'yes': -6.1032615}
{' Yes': -0.15060408, ' yes': -2.200321, 'Yes': -3.925634, '\n': -5.6999993, 'yes': -5.970082}
{' Yes': -0.005902611, 'Yes': -5.6226115, '\n': -6.974696, ' yes': -7.49854, ' ': -7.5862513}
{' Yes': -0.006779397, 'Yes': -5.714939, '\n': -6.7518597, ' Generally': -7.112934, ' yes': -7.246588}
{' Yes': -0.0060918555, 'Yes': -5.9357047, '\n': -6.671788, ' ': -7.2428484, ' yes': -7.257282}
{' Yes': -0.0058907405, 'Yes': -5.8553247, ' yes': -6.9150095, ' Generally': -7.3067403, '\n': -7.413502}
{' Yes': -0.020779647, 'Yes': -4.352025, '\n': -5.4994345, ' ': -6.2242966, ' yes': -7.095607}
{' Yes': -0.03360203, 'Yes': -4.237192, '\n': -4.568922, ' ': -5.5982556, ' Generally': -6.622348}
{' Yes': -0.024347581, 'Yes': -4.447588, '\n': -5.078762, ' ': -6.1178684, ' Generally': -6.600456}
{' Yes': -0.020576775, 'Yes': -4.334244, '\n': -5.6826096, ' ': -6.514883, ' yes': -6.8900385}
{' Yes': -0.023187751, 'Yes': -4.326664, '\n': -5.2233086, ' ': -5.963706, ' yes': -7.1183467}
{' Yes': -0.041736085, 'Yes': -4.0947733, '\n': -4.3071985, ' ': -5.344268, ' A': -6.1708574}
{' Yes': -0.019413628, 'Yes': -4.517997, '\n': -5.5628986, ' ': -6.2994957, ' yes': -6.7068563}
{' Yes': -0.022088116, 'Yes': -4.2422056, '\n': -5.891225, ' yes': -6.3183756, ' ': -6.38242}
{' Yes': -0.0047705914, 'Yes': -6.002947, ' ': -6.979633, '\n': -6.99958, ' yes': -8.17807}
{' Yes': -0.006072545, 'Yes': -5.8961153, '\n': -6.643569, ' ': -6.6794252, ' yes': -7.803125}
{' Yes': -0.0096267015, 'Yes': -5.615988, '\n': -6.132845, ' No': -6.6000485, ' ': -6.6982656}
{' Yes': -0.0097845085, 'Yes': -5.347614, '\n': -5.953943, ' ': -6.4843097, ' yes': -7.3742056}
{' Yes': -0.022853393, 'Yes': -4.0230327, '\n': -6.324238, ' ': -6.470447, ' yes': -6.9249663}
{' Yes': -0.043961618, 'Yes': -3.812354, ' No': -4.847501, '\n': -5.1559973, ' ': -5.611932}
{' Yes': -0.023028487, 'Yes': -4.3440275, ' No': -5.317931, ' ': -6.2757335, '\n': -6.4064455}
{' Yes': -0.025889523, 'Yes': -3.9694417, ' yes': -6.316428, ' ': -6.317372, '\n': -6.4234}
{' Yes': -0.0150711695, 'Yes': -4.979907, ' yes': -5.5610223, ' ': -6.28786, '\n': -6.434632}
{' Yes': -0.022729177, 'Yes': -4.8734903, ' yes': -4.960576, '\n': -5.7574224, ' ': -5.819168}
{' Yes': -0.014760682, 'Yes': -4.782871, ' yes': -5.6662307, ' ': -6.7281814, '\n': -7.045274}
{' Yes': -0.02805874, 'Yes': -4.4169884, ' yes': -4.4188704, ' ': -6.6844354, '\n': -7.0583777}
{' No': -0.22595134, ' Yes': -1.7493488, 'No': -4.2096796, ' Generally': -4.5422945, ' A': -6.897572}
{' Yes': -0.03667471, ' Generally': -3.7461894, 'Yes': -4.981449, ' No': -5.639774, ' A': -7.853542}
{' No': -0.75220567, ' Yes': -0.8748598, ' Generally': -2.4451473, 'No': -4.518571, ' On': -5.282109}
{' Generally': -1.0231851, ' No': -1.1943239, ' Yes': -1.5020936, ' It': -3.268516, ' On': -4.2311144}
{' No': -0.060920298, 'No': -3.0000243, ' Yes': -5.051206, ' Generally': -6.6371393, ' A': -7.277791}
{' Yes': -0.17909588, ' No': -2.1998324, ' Generally': -4.0045543, 'Yes': -4.186935, 'No': -4.8058996}
{' No': -0.07973132, 'No': -2.724051, ' Generally': -5.4241104, ' Yes': -5.952173, ' Rats': -6.0384808}
{' No': -0.13709904, 'No': -2.613858, ' Generally': -3.686005, ' Yes': -4.7121286, ' Rats': -4.7905207}
{' No': -0.05566276, 'No': -2.9673083, ' ': -7.0308533, '\n': -7.341364, ' Yes': -7.8330827}
{' Yes': -0.15758781, ' No': -2.3893573, 'Yes': -3.7457204, 'No': -4.706265, ' A': -4.8626814}
{' No': -0.08361579, 'No': -2.7132583, ' Rats': -5.140359, ' Yes': -6.0074286, ' Generally': -6.283065}
{' No': -0.15422997, 'No': -2.5536058, ' Rats': -3.8430724, ' Yes': -4.568811, ' Generally': -4.581901}
{' No': -0.026615663, 'No': -3.7386403, ' Generally': -6.5202317, ' A': -7.62172, ' Yes': -8.43615}
{' Yes': -0.1789173, ' No': -2.6267686, ' Generally': -2.7284243, ' A': -4.7508545, 'Yes': -4.891903}
{' No': -0.04383507, 'No': -3.4040623, ' Generally': -5.163746, ' Rats': -6.3024864, ' Yes': -7.2720737}
{' No': -0.113280416, ' Generally': -3.0840251, 'No': -3.4332168, ' Rats': -4.5394278, ' Yes': -5.3549623}
{' No': -0.09388829, 'No': -2.5363073, '\n': -5.2165112, ' ': -6.1196218, ' Generally': -6.8202133}
{' No': -0.79290944, ' Yes': -0.8154315, 'No': -2.9567814, 'Yes': -4.2409534, '\n': -4.5135574}
{' No': -0.1392152, 'No': -2.3565633, ' Rats': -3.9978805, '\n': -4.92316, ' ': -5.5419345}
{' No': -0.33257544, 'No': -2.2517078, ' Rats': -3.1906514, ' It': -3.5029113, ' Generally': -3.601885}
{' No': -0.05525664, 'No': -3.0813565, ' Generally': -5.42269, ' A': -6.837618, ' ': -7.389551}
{' Yes': -0.08212908, ' Generally': -3.6164134, ' No': -3.904978, 'Yes': -4.0982842, ' A': -5.1399403}
{' No': -0.11370747, 'No': -2.439025, ' Rats': -4.6492453, ' Generally': -5.26421, ' ': -6.6741824}
{' No': -0.20591938, 'No': -2.5171146, ' Rats': -3.3999307, ' Generally': -3.660778, ' Yes': -3.661974}
{' No': -0.012068469, 'No': -4.7282395, ' ': -6.3502307, '\n': -7.002511, ' A': -8.5417795}
{' Yes': -0.15570691, ' No': -2.1210809, ' A': -5.07116, ' ': -5.265034, '\n': -5.523598}
{' No': -0.012407692, 'No': -4.753655, '\n': -6.426214, ' ': -6.6498985, ' Generally': -8.079711}
{' No': -0.042801764, 'No': -4.1959214, ' Generally': -4.5231767, '\n': -5.6528215, ' ': -5.7467446}
{' No': -0.06351319, 'No': -2.9150584, '\n': -5.642281, ' ': -5.948792, ' A': -7.26046}
{' No': -0.13709584, 'No': -2.8445714, ' Yes': -3.2655308, ' A': -4.318105, '\n': -4.833272}
{' No': -0.07176452, 'No': -2.8203473, '\n': -5.579233, ' ': -5.797827, ' Rats': -6.290043}
{' No': -0.08015326, 'No': -2.780108, ' Generally': -5.696049, ' ': -5.8615494, ' Rats': -5.865437}
{' No': -0.16002262, 'No': -2.4899004, '\n': -2.944904, ' ': -4.678495, ' A': -6.256202}
{' No': -0.2707103, '\n': -2.305117, 'No': -2.5419333, ' Yes': -3.8427982, ' ': -3.9711761}
{' No': -0.2513928, '\n': -2.1995702, 'No': -2.429274, ' ': -4.1130733, ' Rats': -5.3934875}
{' No': -0.20746724, 'No': -2.4702826, '\n': -2.522544, ' ': -4.358424, ' Rats': -5.7816434}
{' No': -0.013992626, 'No': -4.4027576, ' ': -6.719501, '\n': -8.423114, ' NO': -9.374371}
{' No': -0.026381493, 'No': -4.1140623, ' Yes': -4.9556513, ' A': -6.8328404, ' ': -7.019721}
{' No': -0.02200031, 'No': -3.8935022, ' ': -7.3425183, '\n': -8.088519, ' Rats': -8.439391}
{' No': -0.017195504, 'No': -4.1860323, ' ': -7.49822, ' Rats': -7.890855, ' Generally': -8.072422}
{' No': -0.27753022, 'No': -1.584802, '\n': -3.834204, ' ': -4.599256, ' NO': -6.267249}
{' No': -0.30333373, 'No': -1.4932809, '\n': -4.091137, ' ': -4.5625896, ' A': -5.1663175}
{' No': -0.29939753, 'No': -1.6105393, '\n': -3.4722736, ' ': -4.3038783, ' Rats': -4.8117948}
{' No': -0.3260341, 'No': -1.4003692, '\n': -4.2669683, ' ': -4.893456, ' Rats': -5.096248}
{' No': -0.044358075, 'No': -3.4310253, ' ': -5.3335032, ' A': -5.9681416, '\n': -6.4399495}
{' Yes': -0.060691822, ' A': -4.0798182, 'Yes': -4.3739643, ' No': -4.4181366, ' yes': -5.1989098}
{' No': -0.07598719, 'No': -2.9250913, ' Rats': -5.0754232, ' ': -5.1324306, '\n': -5.8524942}
{' No': -0.11259175, 'No': -2.8872557, ' Rats': -4.085037, ' Yes': -4.6966057, ' ': -5.0286894}
{' No': -0.12875114, 'No': -2.187341, ' no': -6.0864124, ' A': -6.245803, ' ': -6.6739244}
{' No': -0.83480346, ' Yes': -0.8952951, 'No': -2.557923, ' A': -3.5384414, 'Yes': -3.8136365}
{' No': -0.1864758, 'No': -1.9313011, ' Rats': -5.1444254, ' no': -5.396182, '\n': -5.6747622}
{' No': -0.23047143, 'No': -2.1153648, ' Rats': -4.0515904, ' Generally': -4.3003726, ' It': -4.3312974}
{' No': -0.07329189, 'No': -2.6612568, ' ': -7.99601, ' no': -8.671441, ' NO': -9.190482}
{' No': -0.3950033, ' Yes': -1.4016656, 'No': -2.667962, 'Yes': -4.7403364, ' ': -7.101638}
{' No': -0.1610437, 'No': -2.0095525, ' Yes': -4.7888284, ' Generally': -5.6134706, ' Rats': -7.1381726}
{' No': -0.22960109, 'No': -1.7349397, ' Generally': -4.423435, ' Yes': -4.993107, ' Rats': -5.878486}
{' No': -0.09095819, 'No': -2.4573941, ' ': -7.51527, ' Yes': -8.280081, '\n': -8.968734}
{' No': -0.4940567, ' Yes': -1.4142151, 'No': -2.0770817, 'Yes': -4.0623474, ' ': -6.320768}
{' No': -0.21476135, 'No': -1.7632556, ' Yes': -4.397426, ' Rats': -5.8993464, ' Generally': -6.4285827}
{' No': -0.24440742, 'No': -1.6385438, ' Rats': -5.166451, ' Generally': -5.662046, ' Yes': -5.743356}
{' No': -0.017791634, 'No': -4.0865345, ' ': -7.997668, ' NO': -9.104968, ' no': -9.151222}
{' Yes': -0.4122713, ' No': -1.159294, 'No': -4.497335, 'Yes': -4.6210747, ' Generally': -6.8777747}
{' No': -0.05239766, 'No': -3.0787015, ' Yes': -5.9508557, ' Rats': -7.148667, ' Generally': -7.3684998}
{' No': -0.0660109, 'No': -3.1914017, ' Yes': -4.831081, ' Generally': -5.018207, ' Rats': -5.3669615}
{' No': -0.4182045, 'No': -1.088548, ' Generally': -6.770656, '\n': -6.855212, ' Rats': -6.930141}
{' No': -0.6209167, 'No': -0.901587, ' Yes': -4.049912, ' Rats': -4.776955, ' Generally': -4.9221687}
{' No': -0.46791002, 'No': -1.0860435, ' Rats': -3.9723542, ' Generally': -4.7906294, '\n': -5.6273265}
{'No': -0.7297176, ' No': -0.8465657, ' Rats': -3.3817675, ' Generally': -4.542315, ' R': -4.8092575}
{' No': -0.07123679, 'No': -2.776912, ' Rat': -5.8780985, ' ': -6.8014226, '\n': -6.952654}
{' No': -0.4741575, ' Yes': -1.7129098, 'No': -2.1834261, ' Rat': -3.8625066, ' R': -3.8693352}
{' No': -0.20618013, 'No': -1.8853756, ' Rats': -4.2209105, ' Yes': -4.5713687, ' Generally': -5.5774603}
{' No': -0.38243896, 'No': -1.8129218, ' Yes': -3.0340579, ' Generally': -3.250267, ' Rats': -3.617304}
{' No': -0.019128948, 'No': -4.6272507, ' ': -5.3793087, ' no': -5.837116, '\n': -6.829426}
{' Yes': -0.12502244, ' No': -2.6284478, ' yes': -4.0459623, ' ': -4.7493143, ' A': -4.938388}
{' No': -0.016896542, 'No': -4.60402, ' ': -5.8407216, ' no': -6.1604486, '\n': -7.1944857}
{' No': -0.0264206, 'No': -4.204298, ' ': -5.7201176, ' no': -5.921876, '\n': -6.384006}
{' No': -0.10129624, 'No': -2.4419334, '\n': -5.5759625, ' ': -5.6387963, ' no': -7.245807}
{' No': -0.72785085, ' Yes': -1.0346802, 'No': -2.5980844, ' A': -3.5146053, '\n': -4.140933}
{' No': -0.116405874, 'No': -2.3376963, '\n': -4.9417005, ' ': -5.5536942, ' no': -7.3620095}
{' No': -0.16993055, 'No': -2.134944, '\n': -4.6622057, ' Generally': -4.875148, ' ': -4.962523}
{' No': -0.15706587, 'No': -2.3149657, '\n': -3.302133, ' ': -4.97586, ' A': -6.965147}
{' No': -0.42313465, 'No': -1.8340806, '\n': -1.9017742, ' ': -4.1196527, ' A': -4.5221925}
{' No': -0.23492496, 'No': -2.2196774, '\n': -2.4371803, ' ': -4.736113, ' Rats': -6.1485214}
{' No': -0.36124453, 'No': -1.6462424, '\n': -2.53521, ' ': -4.3694897, ' Rats': -5.4595327}
{' No': -0.027064204, 'No': -3.7338474, ' ': -6.425711, '\n': -7.4236097, ' no': -8.15381}
{' No': -0.41398257, ' Yes': -1.2576602, 'No': -3.4810486, ' A': -4.76602, 'Yes': -5.323637}
{' No': -0.03878645, 'No': -3.3454592, '\n': -6.998682, ' ': -7.106691, ' no': -7.7177973}
{' No': -0.07535471, 'No': -3.0229712, ' Yes': -4.6754084, ' Generally': -5.246278, ' Rats': -5.827275}
{' No': -0.3200409, 'No': -1.5114186, '\n': -3.18938, ' ': -4.9605656, ' no': -5.946994}
{' No': -0.37511277, 'No': -1.3362982, '\n': -3.21983, ' ': -4.9427514, ' A': -7.2908792}
{' No': -0.3275894, 'No': -1.5473158, '\n': -2.9904997, ' ': -4.7958922, ' no': -5.766209}
{' No': -0.39295018, 'No': -1.252844, '\n': -3.6355689, ' ': -5.147224, ' Rats': -6.087294}
{' No': -0.07437426, 'No': -3.043584, ' no': -4.4739103, ' ': -5.209688, '\n': -5.386216}
{' Yes': -0.15359183, ' yes': -3.1379287, ' No': -3.7145479, '\n': -3.9863229, 'Yes': -4.1020436}
{' No': -0.11880612, 'No': -2.6440248, '\n': -4.0874186, ' no': -4.470543, ' ': -5.1654034}
{' No': -0.19472675, 'No': -2.2836018, '\n': -3.9218984, ' no': -4.316034, ' Rats': -4.367848}
{' No': -0.015463409, 'No': -4.84668, '\n': -5.4440236, ' ': -5.9135838, ' A': -8.409064}
{' Yes': -0.049392287, ' No': -3.9380393, '\n': -4.8260646, ' Generally': -5.096565, ' ': -5.392848}
{' No': -0.027770177, 'No': -4.441703, '\n': -4.598937, ' ': -5.5555544, ' Generally': -7.256937}
{' No': -0.025953444, 'No': -4.227846, ' Generally': -5.65072, '\n': -5.915134, ' ': -6.123335}
{' No': -0.07528395, 'No': -2.993262, '\n': -4.097129, ' ': -5.2877145, ' A': -8.037998}
