{' No': -0.016526647, ' Yes': -4.539882, 'No': -5.366693, ' Not': -7.1851287, ' Unfortunately': -9.273784}
{' No': -0.040814083, ' Yes': -3.3281407, 'No': -5.614922, '\n': -8.472942, 'Yes': -8.925678}
{' No': -0.2702704, ' Yes': -1.4477339, 'No': -7.138417, ' The': -7.9095445, 'Yes': -8.054984}
{' No': -0.20022956, ' Yes': -1.7211149, 'No': -6.607658, ' The': -7.5950484, 'Yes': -7.9208336}
{' No': -0.073318444, ' Yes': -2.6673222, 'No': -7.0186005, 'Yes': -9.004845, ' ': -9.560291}
{' Yes': -0.3560911, ' No': -1.212277, 'Yes': -6.759306, 'No': -7.9724517, ' The': -8.204536}
{' No': -0.017952861, ' Yes': -4.1054864, 'No': -6.808661, ' The': -9.45599, 'Yes': -10.441245}
{' No': -0.014058152, ' Yes': -4.463824, 'No': -6.15898, ' The': -9.16091, '\n': -9.777195}
{' Yes': -0.6042069, ' No': -0.79679185, 'Yes': -6.8184285, 'No': -6.97465, '\n': -8.028028}
{' No': -0.15851657, ' Yes': -1.9332911, 'No': -6.920361, ' The': -7.766185, 'Yes': -8.605839}
{' Yes': -0.0028942577, ' No': -6.5788636, 'Yes': -6.706334, ' The': -9.158856, ' yes': -9.577196}
{' No': -0.6214896, ' Yes': -0.7819702, ' The': -5.819045, 'No': -6.9232187, 'Yes': -7.0726023}
{' Yes': -0.037967082, ' No': -3.8281908, ' Rough': -4.311204, 'Yes': -6.612269, ' The': -8.1216135}
{' No': -0.053665437, ' Yes': -3.1963274, ' Rough': -5.136793, 'No': -5.336632, '\n': -8.586453}
{' No': -0.298365, ' Yes': -1.3764442, 'No': -5.621481, 'Yes': -6.703446, ' The': -8.724109}
{' No': -0.2501555, ' Yes': -1.5242414, 'No': -6.3477597, 'Yes': -7.2175035, ' The': -7.443055}
{' Yes': -0.44822338, ' No': -1.0236514, 'Yes': -6.787405, 'No': -7.4578648, ' yes': -9.213696}
{' No': -0.09897987, ' Yes': -2.3859634, 'No': -6.29405, 'Yes': -8.570772, ' The': -9.265959}
{' No': -0.115699984, ' Yes': -2.2397673, 'No': -6.382429, ' The': -7.7180004, 'Yes': -7.9511795}
{' No': -0.03213809, ' Yes': -3.521638, 'No': -6.4111395, ' The': -8.893623, 'Yes': -9.2023325}
{' Yes': -0.04411971, ' No': -3.191449, 'Yes': -6.557269, ' The': -8.499278, ' Store': -8.848041}
{' Yes': -0.008519321, ' No': -5.030331, 'Yes': -6.7170525, ' The': -8.389671, ' yes': -8.617461}
{' Yes': -0.14365046, ' No': -2.0328314, 'Yes': -6.712538, ' The': -7.0920863, 'No': -8.322892}
{' Yes': -0.08659026, ' No': -2.519087, 'Yes': -6.460531, ' The': -8.297258, 'No': -8.658846}
{' No': -0.04429664, ' Yes': -3.2105372, 'No': -5.981312, ' ': -8.592364, 'Yes': -9.072648}
{' No': -0.13983293, ' Yes': -2.050178, 'No': -6.5820704, 'Yes': -8.382686, ' The': -9.891002}
{' Yes': -0.49080414, ' No': -0.97202814, ' The': -5.274177, 'Yes': -6.0032163, 'No': -6.9331236}
{' Yes': -0.4859887, ' No': -1.0115529, 'Yes': -5.2920775, ' The': -5.7122855, ' Sh': -6.018234}
{' Yes': -0.07836106, ' No': -2.6556334, 'Yes': -5.831891, ' Sy': -6.9732447, ' ': -7.532477}
{' No': -0.1804355, ' Yes': -1.8209192, 'No': -6.4305615, 'Yes': -7.371231, ' ': -8.612321}
{' Yes': -0.009468617, ' No': -4.7888813, 'Yes': -6.9963584, ' yes': -9.211403, ' ': -10.627222}
{' Yes': -0.020283489, ' No': -3.9626584, 'Yes': -7.1427617, ' yes': -8.905366, ' ': -10.148095}
{' No': -0.06951097, ' Yes': -2.732679, 'No': -6.293378, 'Yes': -9.052196, ' The': -9.981557}
{' No': -0.21454325, ' Yes': -1.6594112, 'No': -6.2985497, 'Yes': -7.8415184, ' The': -8.3413925}
{' Yes': -0.027648294, ' No': -3.726739, 'Yes': -5.818806, 'No': -9.092782, ' yes': -9.627492}
{' No': -0.042831063, ' Yes': -3.2567818, 'No': -5.7661276, 'Yes': -9.208793, ' The': -9.704907}
{' Yes': -0.20931645, ' No': -1.6803076, 'Yes': -6.638193, 'No': -7.176044, ' The': -8.572724}
{' Yes': -0.36566025, ' No': -1.2003027, 'Yes': -6.3958964, 'No': -6.5898733, ' The': -7.0844865}
{' Yes': -0.3971709, ' No': -1.1233786, 'Yes': -6.947067, 'No': -7.2552147, ' The': -7.37433}
{' Yes': -0.35655826, ' No': -1.2119278, 'Yes': -6.7354608, 'No': -7.176489, ' yes': -8.813227}
{' Yes': -0.40775442, ' No': -1.0999141, 'Yes': -6.9135485, 'No': -7.370372, ' The': -9.157992}
{' Yes': -0.4741597, ' No': -0.9782854, 'Yes': -7.388432, 'No': -7.536694, ' The': -8.430569}
{' Yes': -0.008081304, ' No': -5.2105117, 'Yes': -6.1304145, ' The': -8.78385, ' yes': -9.126629}
{' Yes': -0.022716621, ' No': -4.0863323, ' Heart': -6.101534, 'Yes': -6.131285, ' The': -7.266276}
{' Yes': -0.023393104, ' No': -3.8325686, 'Yes': -6.913884, ' The': -8.217349, ' Horse': -9.7778845}
{' Yes': -0.00465417, ' No': -5.743166, 'Yes': -6.663427, ' The': -9.934197, ' ': -10.315622}
{' No': -0.013032137, ' Yes': -4.4803343, 'No': -6.4968495, ' ': -10.165891, 'Yes': -10.765122}
{' No': -0.087397896, ' Yes': -2.5182812, 'No': -6.0845385, ' The': -8.179488, 'Yes': -8.533561}
{' No': -0.046002362, ' Yes': -3.1989448, 'No': -5.5645046, 'Yes': -8.8469, ' ': -9.138886}
{' No': -0.0039800513, 'No': -5.941396, ' Yes': -6.6559095, ' ': -10.837846, ' Not': -11.295083}
{' Yes': -0.013675102, ' No': -4.513505, 'Yes': -6.353656, ' The': -7.53778, ' Snake': -8.867692}
{' Yes': -0.012618818, ' No': -4.679395, 'Yes': -6.2321234, ' Snake': -7.2235236, ' The': -7.8999624}
{' Yes': -0.50073665, ' No': -0.93751746, 'Yes': -7.2298303, ' ': -7.2724133, 'No': -7.568497}
{' No': -0.0706068, ' Yes': -2.720383, 'No': -6.337342, ' ': -8.485306, '\n': -8.640175}
{' No': -0.06758179, ' Yes': -2.7506874, 'No': -6.681321, 'Yes': -9.490179, ' The': -9.679791}
{' No': -0.028470457, ' Yes': -3.6249592, 'No': -6.689044, ' ': -9.7298155, ' The': -10.154361}
{' No': -0.0048425803, 'No': -5.4370646, ' Yes': -7.7801867, ' ': -10.588502, '\n': -11.151541}
{' No': -0.19098262, ' Yes': -1.7684551, 'No': -6.1285105, 'Yes': -7.7788324, ' The': -8.11653}
{' No': -0.39012104, ' Yes': -1.143438, 'No': -6.057458, 'Yes': -6.611293, ' Plane': -8.291024}
{' Yes': -0.34231186, ' No': -1.2522929, 'Yes': -6.542652, ' The': -7.159523, '\n': -7.188525}
{' Yes': -0.5983286, ' No': -0.8073568, ' Found': -6.332476, 'Yes': -6.946669, 'No': -7.0790005}
{' Yes': -0.1445301, ' No': -2.0231025, 'Yes': -6.7917557, ' ': -7.5959854, 'No': -8.264795}
{' Yes': -0.058204234, ' Uncle': -3.4891162, ' No': -4.1846743, ' ': -4.871944, 'Yes': -6.031516}
{' No': -0.33910045, ' Yes': -1.2645192, 'No': -6.693619, ' Uncle': -6.9490867, ' ': -6.958697}
{' No': -0.0059984894, ' Yes': -5.594625, 'No': -6.174106, ' The': -9.295582, ' ': -10.369386}
{' No': -0.042361774, ' Yes': -3.2992568, 'No': -5.441409, 'Yes': -9.059648, ' ': -9.988467}
{' Yes': -0.04001521, ' No': -3.301343, 'Yes': -6.369296, ' The': -8.027905, 'No': -9.179036}
{' Yes': -0.003088434, 'Yes': -6.4905148, ' No': -6.593262, ' yes': -9.424292, '\n': -10.201569}
{' No': -0.005473768, ' Yes': -5.3604083, 'No': -7.3125834, ' ': -10.057042, ' The': -10.623752}
{' No': -0.32650584, ' Yes': -1.2891942, 'No': -6.569603, ' The': -7.4597936, 'Yes': -7.5954747}
{' Yes': -0.3488153, ' No': -1.2514356, ' The': -5.8854647, 'Yes': -6.1700397, ' Te': -6.8806567}
{' Yes': -0.3493574, ' No': -1.2528646, ' The': -5.362474, 'Yes': -6.1909785, 'No': -6.786388}
{' Yes': -0.029283717, ' No': -3.5930154, 'Yes': -6.7954807, ' ': -9.3661785, 'No': -10.08412}
{' Yes': -0.07092968, ' No': -2.7091742, 'Yes': -6.6073995, 'No': -8.880055, ' ': -9.199238}
{' Yes': -0.66284084, ' No': -0.73555654, 'Yes': -6.2135496, 'No': -6.2422895, ' ': -7.1609864}
{' Yes': -0.13979201, ' No': -2.0706582, 'Yes': -5.9848084, ' ': -7.4363203, ' The': -8.213672}
{' No': -0.033098735, ' Yes': -3.4606483, 'No': -7.0709276, ' The': -9.251892, ' ': -9.377378}
{' No': -0.07171579, ' Yes': -2.704202, 'No': -6.5239797, ' ': -8.2698145, ' The': -8.473979}
{' Yes': -0.0018161489, 'Yes': -7.05571, ' No': -7.103798, ' yes': -9.6654625, ' The': -10.477856}
{' Yes': -0.0006265925, 'Yes': -7.7472296, ' yes': -9.346543, ' No': -9.397797, ' ': -11.416382}
{' No': -0.53650546, ' Yes': -0.8854491, 'No': -6.9227133, 'Yes': -7.3404484, '\n': -7.5819154}
{' No': -0.0071623335, ' Yes': -5.3435764, 'No': -6.198272, ' ': -8.580042, ' Ch': -9.889034}
{' Yes': -0.0031658052, ' No': -6.27519, 'Yes': -6.798774, ' yes': -9.549678, ' The': -9.948116}
{' Yes': -0.06729638, ' No': -2.7575047, 'Yes': -6.8763723, ' The': -8.214482, 'No': -9.098872}
{' Yes': -0.0040344535, ' No': -6.152481, 'Yes': -6.3433037, ' yes': -9.68741, ' ': -10.603693}
{' Yes': -0.6368658, ' No': -0.75683624, 'No': -7.169989, 'Yes': -7.2188497, ' ': -8.532074}
{' No': -0.44172838, ' Yes': -1.0340747, 'No': -6.948803, 'Yes': -7.8362894, ' ': -9.754837}
{' No': -0.11310027, ' Yes': -2.2511427, 'No': -6.73546, 'Yes': -8.728687, ' ': -8.749971}
{' Yes': -0.0144446725, ' No': -4.354811, 'Yes': -6.595072, ' ': -9.950539, ' yes': -10.594084}
{' Yes': -0.0034766041, 'Yes': -5.702333, ' No': -9.659373, ' yes': -10.892488, ' The': -11.1756315}
{' No': -0.036733888, ' Yes': -3.4066088, 'No': -5.9666467, ' The': -8.647354, 'Yes': -9.559132}
{' No': -0.54252446, ' Yes': -0.87713253, ' The': -6.9184475, 'No': -6.9403305, 'Yes': -7.793638}
{' Yes': -0.006201185, ' No': -5.2698555, 'Yes': -7.055647, ' Shirt': -9.524578, ' yes': -10.127509}
{' Yes': -0.01814288, ' No': -4.0926857, 'Yes': -6.9212193, ' The': -9.2078495, ' ': -9.845171}
{' Yes': -0.037810773, ' No': -3.328851, 'Yes': -6.826598, ' Pants': -9.981465, 'No': -10.284802}
{' No': -0.42062375, ' Yes': -1.0740986, 'No': -7.225012, 'Yes': -7.4292884, ' The': -8.5205765}
{' Yes': -0.5023922, ' No': -0.93802303, ' The': -6.987654, 'Yes': -7.050848, 'No': -7.2708015}
{' No': -0.022266002, ' Yes': -4.1907363, 'No': -5.1904483, ' Board': -7.821563, ' B': -8.130284}
{' Yes': -0.022201097, ' No': -3.9409688, 'Yes': -6.2202506, ' The': -8.175628, ' ': -9.112864}
{' Yes': -0.20906842, ' No': -1.6843569, 'Yes': -6.781919, ' Leave': -7.324379, ' The': -7.44815}
{' Yes': -0.23844513, ' No': -1.5560321, 'Yes': -7.2112284, 'No': -8.698389, ' The': -8.903726}
{' Yes': -0.42115533, ' No': -1.0792001, 'Yes': -6.512731, ' The': -7.059081, 'No': -7.223609}
{' Yes': -0.20596948, ' No': -1.6895928, 'Yes': -7.0854397, 'No': -8.286417, ' The': -8.642738}
{' No': -0.023510076, ' Yes': -4.0635643, 'No': -5.1894894, ' The': -8.536864, ' ': -9.466017}
{' Yes': -0.02421549, ' No': -3.7730098, 'Yes': -7.191373, ' ': -9.529357, ' yes': -10.2014065}
{' Yes': -0.09696753, ' No': -2.3976858, 'Yes': -6.7785945, 'No': -9.115332, ' yes': -9.196949}
{' No': -0.21205199, ' Yes': -1.6615626, 'No': -7.749942, ' ': -8.090169, ' The': -8.405361}
{' Yes': -0.62614983, ' No': -0.7683694, 'No': -7.5082145, 'Yes': -7.6862826, ' The': -8.09214}
{' Yes': -0.0673683, ' No': -2.751231, 'Yes': -6.9182386, ' The': -9.1035, 'No': -9.285975}
{' Yes': -0.0114989495, ' Women': -5.3517222, ' No': -5.368772, 'Yes': -6.570956, ' ': -7.6537905}
{' No': -0.12676786, ' Yes': -2.2773035, 'No': -4.4064746, 'Yes': -6.4912586, ' Ank': -7.397564}
{' Yes': -0.40462765, ' No': -1.1110905, '\n': -6.428265, 'Yes': -6.9769516, 'No': -7.762261}
{' No': -0.011934429, ' Yes': -4.602476, 'No': -6.416964, ' ': -9.045069, ' The': -10.636829}
{' Yes': -0.25519457, ' No': -1.5034533, 'Yes': -6.6504354, ' The': -7.4574275, 'No': -7.971405}
{' No': -0.041638456, ' Yes': -3.2164867, 'No': -7.4921217, ' ': -10.053786, 'Yes': -10.348707}
{' No': -0.02674189, ' Yes': -3.6946077, 'No': -6.6736207, ' ': -9.200683, '\n': -9.702379}
{' Yes': -0.015293204, ' No': -4.233532, 'Yes': -7.5521355, ' The': -9.664595, ' yes': -10.527981}
{' Yes': -0.0013996754, 'Yes': -7.1059694, ' No': -7.7848544, ' Shark': -9.57657, ' yes': -10.170403}
{' Yes': -0.15724094, ' No': -1.9560652, 'Yes': -6.5169687, ' ': -6.82631, ' Lemon': -6.9594903}
{' Yes': -0.039339364, ' No': -3.2948573, 'Yes': -6.7787776, ' ': -9.268551, ' Lemon': -9.483786}
{' No': -0.0020085045, 'No': -6.8473663, ' Yes': -7.1693935, ' ': -9.269844, ' The': -10.443169}
{' No': -0.010661152, ' Yes': -4.912669, 'No': -5.8780675, ' ': -8.446413, ' The': -9.314803}
{' No': -0.11051183, ' Yes': -2.2786007, 'No': -6.3204074, 'Yes': -8.413513, ' ': -9.498723}
{' No': -0.18547179, ' Yes': -1.7910911, 'No': -6.4488535, 'Yes': -8.165278, ' The': -8.516658}
{' No': -0.28160557, ' Yes': -1.4156406, 'No': -6.336337, 'Yes': -7.683453, ' ': -9.009067}
{' Yes': -0.1381283, ' No': -2.0699556, 'Yes': -6.4312153, 'No': -7.9257865, ' ': -8.178698}
{' No': -0.33044547, ' Yes': -1.2760459, 'No': -7.102074, 'Yes': -7.588721, ' ': -7.6373715}
{' No': -0.022088667, ' Yes': -3.9030435, 'No': -6.927444, ' ': -8.221746, ' The': -8.47099}
{' No': -0.0019705747, 'No': -6.2791634, ' Yes': -9.553497, ' ': -11.00592, ' no': -13.247391}
{' No': -0.0063971453, ' Yes': -5.4766097, 'No': -6.194692, ' ': -9.530632, '\n': -10.389166}
{' Yes': -0.27524102, ' No': -1.4449339, ' Devil': -6.237862, 'Yes': -6.784502, ' The': -7.5166497}
{' No': -0.5984444, ' Yes': -0.80405086, ' The': -7.060526, ' Devil': -7.338137, 'No': -7.6820493}
{' No': -0.032058075, ' Yes': -3.4775915, 'No': -7.5215573, ' The': -10.009698, ' ': -10.145015}
{' Yes': -0.033682477, ' No': -3.4326196, 'Yes': -7.4895062, ' ': -9.115679, ' yes': -9.449779}
{' No': -0.25901836, ' Yes': -1.4825519, 'No': -7.3668003, 'Yes': -8.629574, ' The': -8.864508}
{' No': -0.08942999, ' Yes': -2.4698944, 'No': -7.259155, 'Yes': -9.300058, ' ': -9.73365}
{' Yes': -0.39762267, ' No': -1.1324688, 'Yes': -5.9373164, 'No': -6.191672, ' The': -7.287408}
{' Yes': -0.23484015, ' No': -1.5812985, 'Yes': -6.273198, 'No': -6.977891, ' The': -8.104418}
{' No': -0.0081270905, ' Yes': -5.009929, 'No': -6.6186876, ' ': -10.134111, ' The': -10.989018}
{' No': -0.06060569, ' Yes': -2.8876243, 'No': -5.995647, ' ': -8.289256, 'Yes': -9.001224}
{' No': -0.14395347, ' Yes': -2.0213509, 'No': -7.1797123, ' Unfortunately': -8.344576, ' Not': -8.821754}
{' No': -0.68605, ' Yes': -0.70708996, 'No': -6.8010817, 'Yes': -6.9434214, ' Dirty': -7.063922}
{' Yes': -0.026225388, ' No': -3.7282705, 'Yes': -6.691581, ' ': -8.040648, ' The': -9.136828}
{' Yes': -0.014005442, ' No': -4.382108, 'Yes': -6.7835345, ' yes': -9.219593, ' ': -9.664974}
{' Yes': -0.17176694, ' No': -2.399096, ' E': -3.657784, ' erupt': -4.1350007, 'Yes': -4.983296}
{' No': -0.008525089, 'No': -5.083024, ' Nope': -6.5678124, ' Yes': -8.674996, ' Not': -8.738295}
{' Yes': -0.04568949, ' No': -3.156262, 'Yes': -6.5871186, ' The': -8.07138, ' yes': -8.990046}
{' Yes': -0.5599709, ' No': -0.8528004, 'Yes': -6.7950287, 'No': -7.111946, ' The': -7.8458977}
{' No': -0.6728078, ' Yes': -0.86486626, ' Armor': -2.7581253, 'No': -6.0906734, 'Yes': -6.870544}
{' No': -0.63941765, ' Yes': -0.7551652, 'No': -7.1122627, 'Yes': -7.4673476, ' The': -7.581951}
{' No': -0.009719384, ' Yes': -4.763738, 'No': -6.966129, ' ': -9.101054, '\n': -10.027299}
{' No': -0.01313438, ' Yes': -4.4808483, 'No': -6.502773, ' ': -9.273083, ' The': -10.073557}
{' No': -0.00510663, ' Yes': -5.9731565, 'No': -6.0706277, ' Still': -9.229287, '\n': -10.002806}
{' No': -0.055817977, ' Yes': -2.9629319, 'No': -6.4839144, ' ': -7.938554, ' The': -8.104911}
{' No': -0.41572973, ' Yes': -1.0870974, 'No': -6.1771927, 'Yes': -7.43495, ' Unfortunately': -9.330811}
{' Yes': -0.6545466, ' No': -0.7376766, 'No': -6.5687294, 'Yes': -7.517856, ' ': -9.344084}
{' Yes': -0.014908899, ' No': -4.3396616, 'Yes': -6.738482, ' The': -8.111386, ' Purs': -9.193693}
{' Yes': -0.14514966, ' No': -2.019377, 'Yes': -6.68997, ' The': -7.763374, '\n': -8.302089}
{' No': -0.033141185, ' Yes': -3.5031843, 'No': -6.2811613, ' The': -8.171924, ' ': -8.93189}
{' No': -0.027957784, ' Yes': -3.8593159, 'No': -5.318567, ' The': -7.6242356, ' ': -8.403435}
{' Yes': -0.3556436, ' No': -1.2178873, 'Yes': -6.416593, 'No': -7.121794, ' The': -7.531984}
{' Yes': -0.39342755, ' No': -1.1337745, 'Yes': -6.6619473, ' The': -6.8601856, 'No': -7.4488506}
{' No': -0.01601134, ' Yes': -4.3982553, 'No': -6.066754, '\n': -7.752324, ' ': -7.8622446}
{' No': -0.004983521, 'No': -5.8901987, ' Yes': -6.2546897, ' The': -9.267575, ' ': -9.426448}
{' Un': -0.87714714, ' No': -0.95187324, ' Unt': -2.7007136, ' ': -2.9923012, ' False': -3.0332313}
{' No': -0.23550297, ' Yes': -1.5663898, 'No': -7.485703, 'Yes': -8.420899, ' ': -9.135631}
{' Yes': -0.6090557, ' No': -0.79802823, 'No': -6.2516503, 'Yes': -6.6704893, ' The': -6.8497553}
{' Yes': -0.33367285, ' No': -1.2758287, ' The': -6.327558, ' ': -6.6287932, 'Yes': -7.3455286}
{' No': -0.012710995, ' Yes': -5.233633, ' Spice': -5.402254, 'No': -6.576457, ' Nope': -7.2521877}
{' Yes': -0.40023267, ' No': -1.1161503, 'Yes': -6.6520634, 'No': -7.6050167, ' Nope': -9.116683}
{' Yes': -0.00081883755, 'Yes': -7.363945, ' ': -9.714743, ' yes': -9.814487, ' No': -10.112934}
{' Yes': -0.10900545, ' No': -2.3620515, ' Under': -5.362065, ' ': -6.383774, 'Yes': -6.543124}
{' Yes': -0.48290062, ' No': -0.9627342, 'Yes': -7.694345, 'No': -8.107609, ' The': -8.393654}
{' No': -0.020544589, ' Yes': -4.0507317, 'No': -5.984326, ' ': -8.658268, ' The': -9.151489}
{' No': -0.5758884, ' Yes': -0.8544338, 'No': -5.7071214, '\n': -5.995463, ' ': -6.1763525}
{' Yes': -0.0539578, ' No': -2.9869354, 'Yes': -6.3417516, 'No': -8.9702215, ' ': -9.344123}
{' Yes': -0.013313703, ' No': -4.398972, 'Yes': -7.217724, ' The': -9.668039, ' ': -9.848221}
{' Yes': -0.2493408, ' No': -1.5177332, 'Yes': -7.1634774, 'No': -8.187731, ' ': -8.7379875}
{' No': -0.42852756, ' Yes': -1.081022, 'No': -5.3775706, 'Yes': -6.3880568, ' Unfortunately': -7.235851}
{' Yes': -0.45794323, ' No': -1.007706, 'Yes': -7.1576047, 'No': -7.5381436, ' The': -7.7417912}
{' Yes': -0.13286442, ' No': -2.1018243, 'Yes': -6.6719728, ' ': -8.158136, 'No': -8.531723}
{' Yes': -0.18997364, ' No': -1.7619113, 'Yes': -6.9220424, 'No': -8.633346, ' ': -9.975434}
{' No': -0.0069719264, ' Yes': -5.4850755, 'No': -6.4057183, ' Ocean': -7.04612, ' The': -9.344171}
{' No': -0.016940616, ' Yes': -4.6901565, 'No': -5.6731563, ' Ocean': -5.9489713, ' The': -7.3223343}
{' No': -0.006669044, 'No': -5.3449655, ' Yes': -6.388165, ' ': -8.877096, ' The': -10.903122}
{' No': -0.27967766, ' Yes': -1.4239037, 'No': -6.6553063, ' The': -6.7646036, 'Yes': -7.873027}
{' No': -0.079074405, ' Yes': -2.6167579, 'No': -5.9529448, 'Yes': -8.259704, '\n': -10.221517}
{' No': -0.22481482, ' Yes': -1.6109232, 'No': -7.119468, ' The': -7.864206, 'Yes': -8.606528}
{' Yes': -0.01145554, ' No': -4.63138, 'Yes': -6.697614, ' The': -8.663267, '\n': -9.429281}
{' Yes': -0.0067558116, ' No': -5.1628604, 'Yes': -7.0147076, ' ': -10.11908, ' yes': -10.569677}
{' No': -0.12470341, ' Yes': -2.152648, 'No': -7.396607, ' The': -8.6511545, 'Yes': -9.382579}
{' Yes': -0.52989817, ' No': -0.8940664, ' Guard': -7.260739, 'Yes': -7.42835, 'No': -7.4693203}
{' Yes': -0.024448542, ' No': -3.9585896, 'Yes': -6.0847645, ' Sweet': -6.1421757, ' ': -8.429529}
{' Yes': -0.0033780364, 'Yes': -6.0717335, ' No': -7.0516872, ' yes': -9.559114, ' The': -9.782038}
{' Yes': -0.19441593, ' No': -1.7430894, 'Yes': -6.6677485, 'No': -8.3014345, ' ': -9.322696}
{' No': -0.15388724, ' Yes': -2.001303, 'No': -5.2407722, ' The': -7.1597767, 'Yes': -7.5784225}
{' No': -0.4520104, ' Yes': -1.0200131, 'No': -6.40125, 'Yes': -7.054185, ' ': -8.602561}
{' No': -0.14703993, ' Yes': -1.9982246, 'No': -7.089377, 'Yes': -8.81669, ' ': -9.834787}
{' No': -0.018378045, ' Yes': -4.1299806, 'No': -6.445776, ' Unfortunately': -8.534922, ' ': -9.110212}
{' No': -0.07393686, ' Yes': -2.660992, 'No': -6.7560096, 'Yes': -9.470718, ' ': -9.6498165}
{' No': -0.09836893, ' Yes': -2.4174035, 'No': -5.910789, ' The': -7.226449, ' ': -7.947414}
{' No': -0.5665323, ' Yes': -0.84740275, 'No': -6.502888, ' The': -6.902331, 'Yes': -6.92943}
{' Yes': -0.18485714, ' No': -1.790917, 'Yes': -6.9672933, ' The': -8.2290125, '\n': -8.229225}
{' Yes': -0.32174236, ' No': -1.2980932, 'Yes': -7.116924, ' The': -7.698852, 'No': -8.253058}
{' Yes': -0.48940217, ' No': -0.9524741, 'Yes': -7.436639, 'No': -8.2827215, ' ': -8.827716}
{' Yes': -0.13113536, ' No': -2.107238, 'Yes': -7.1149764, ' ': -8.890553, ' The': -9.023431}
{' No': -0.5597529, ' Yes': -0.84964126, 'Yes': -8.020055, ' The': -8.26967, 'No': -8.312591}
{' No': -0.07079589, ' Yes': -2.7192752, 'No': -6.3319764, 'Yes': -8.395315, ' The': -8.995621}
{' No': -0.5492445, ' Yes': -0.8642241, 'No': -7.7380624, 'Yes': -7.822289, ' Seven': -9.0952}
{' No': -0.6121688, ' Yes': -0.78410673, 'Yes': -7.794145, 'No': -7.817411, ' ': -8.594371}
{' Yes': -0.00305597, ' No': -6.0877576, 'Yes': -7.467029, ' The': -9.418665, ' ': -9.851034}
{' Yes': -0.15009844, ' No': -1.9811951, 'Yes': -7.1598215, ' The': -8.170644, 'No': -8.826041}
{' Yes': -0.12620723, ' No': -2.2069016, ' Rough': -4.9604454, 'Yes': -7.0076594, ' ': -8.178756}
{' No': -0.026015108, ' Yes': -3.722546, 'No': -6.696782, ' ': -8.975481, '\n': -10.1600895}
{' Yes': -0.24830195, ' No': -1.5284266, 'Yes': -6.322332, 'No': -7.5646644, ' ': -8.575162}
{' No': -0.6175952, ' Yes': -0.780582, ' The': -7.1641593, 'Yes': -7.3804154, 'No': -7.534862}
{' Yes': -0.034241825, ' No': -3.4453418, 'Yes': -6.4666204, ' yes': -9.391763, 'No': -9.768529}
{' No': -0.27442285, ' Yes': -1.4353782, 'No': -6.65414, 'Yes': -7.810017, ' The': -9.272101}
{' No': -0.118251145, ' Yes': -2.2128956, 'No': -6.748454, ' The': -7.8210573, ' ': -8.3541}
{' No': -0.13195993, ' Yes': -2.1010857, 'No': -7.085094, 'Yes': -8.231944, ' ': -9.530848}
{' Yes': -0.084223494, ' No': -2.5524108, ' Store': -6.742308, 'Yes': -7.0252156, ' The': -7.716332}
{' Yes': -0.0063287616, ' No': -5.495661, 'Yes': -7.1975727, ' The': -7.601564, ' ': -8.075277}
{' Yes': -0.053094484, ' No': -2.9936464, 'Yes': -7.0022383, ' The': -7.896545, ' ': -8.96246}
{' Yes': -0.024130555, ' No': -3.8365788, 'Yes': -6.3334394, ' The': -9.057986, ' ': -9.13946}
{' No': -0.10416814, ' Yes': -2.3277705, 'No': -6.931793, ' ': -8.799916, 'Yes': -8.903683}
{' Yes': -0.53895235, ' No': -0.8780923, 'Yes': -7.5461407, 'No': -8.022554, ' ': -9.488293}
{' Yes': -0.055216704, ' No': -3.0104415, 'Yes': -6.2942986, ' The': -6.3185525, ' ': -8.144603}
{' No': -0.6758447, ' Yes': -0.7485338, ' Show': -5.853573, ' Sh': -6.019017, 'Yes': -6.1107955}
{' Yes': -0.04819138, ' No': -3.3148408, ' Sy': -5.36899, 'Yes': -5.5794168, ' ': -6.362604}
{' Yes': -0.40573373, ' No': -1.1114813, 'Yes': -5.994502, ' ': -7.2873025, 'No': -7.487967}
{' Yes': -0.011512939, ' No': -4.550001, 'Yes': -7.3100104, ' yes': -9.5332775, ' ': -9.9237385}
{' Yes': -0.011405679, ' No': -4.569547, 'Yes': -7.287048, ' yes': -8.856049, ' ': -9.519809}
{' No': -0.29029644, ' Yes': -1.3850974, 'No': -7.029571, ' The': -8.104006, 'Yes': -8.245766}
{' Yes': -0.5693898, ' No': -0.83999294, 'Yes': -7.0255938, 'No': -7.089023, ' ': -8.351802}
{' Yes': -0.59046465, ' No': -0.8160029, 'No': -6.292191, 'Yes': -6.4644494, ' ': -8.866199}
{' No': -0.044933718, ' Yes': -3.213322, 'No': -5.6604195, 'Yes': -9.075026, ' ': -9.809195}
{' Yes': -0.30450472, ' No': -1.344166, 'Yes': -7.2228093, 'No': -7.37427, ' The': -8.5023155}
{' Yes': -0.09293265, ' No': -2.4504805, 'Yes': -6.6687765, ' Arrow': -7.6845045, 'No': -8.298543}
{' Yes': -0.37007213, ' No': -1.179465, 'Yes': -7.0776863, 'No': -7.5962577, ' The': -8.541883}
{' Yes': -0.4065803, ' No': -1.102259, 'Yes': -7.0361686, 'No': -7.5218844, ' ': -8.59284}
{' Yes': -0.10973726, ' No': -2.2723942, 'Yes': -7.399961, 'No': -9.454265, ' yes': -9.588069}
