{' No': -1.5779239, ' ': -9.414157, 'No': -6.8790917, ' Yes': -0.23486064, 'Yes': -6.3427877}
{' No': -5.43532, ' ': -9.571274, 'No': -8.781569, ' Yes': -0.01664367, 'Yes': -4.4354134}
{' No': -4.8935266, 'No': -9.808138, ' Yes': -0.010193587, ' yes': -10.2421665, 'Yes': -5.983273}
{' No': -4.3839993, ' ': -8.786133, 'No': -7.945008, ' Yes': -0.021811202, 'Yes': -4.768154}
{' No': -2.6236868, ' ': -7.846055, 'No': -6.402243, ' Yes': -0.0850439, 'Yes': -4.9984}
{' No': -9.671175, ' ': -11.521604, ' Yes': -0.0004337889, ' yes': -9.56024, 'Yes': -8.151359}
{' No': -7.254999, ' ': -9.863995, ' Yes': -0.0036910553, ' yes': -9.460497, 'Yes': -5.8649745}
{' No': -4.733216, ' ': -8.619435, ' Yes': -0.012526529, ' yes': -9.52319, 'Yes': -5.7048383}
{' No': -8.881388, ' ': -11.117929, ' Yes': -0.001068696, ' yes': -9.760828, 'Yes': -7.0663075}
{' No': -6.576236, ' ': -7.8410697, ' Yes': -0.0068182233, ' yes': -9.177228, 'Yes': -5.3317885}
{' No': -8.449521, ' ': -9.091458, ' Yes': -0.0029173924, ' yes': -8.048705, 'Yes': -6.104447}
{' No': -5.7967944, 'No': -9.570047, ' Yes': -0.011821996, ' yes': -7.1404076, 'Yes': -4.856528}
{' No': -7.0868254, 'No': -11.109598, ' Yes': -0.008130276, ' yes': -8.865169, 'Yes': -4.9486303}
{' No': -9.971746, ' ': -10.036826, ' Yes': -0.014138971, ' yes': -7.59823, 'Yes': -4.3112526}
{' No': -6.825076, ' ': -10.64462, ' Yes': -0.005672222, ' yes': -8.110204, 'Yes': -5.4678035}
{' No': -8.512636, ' ': -9.538893, ' Yes': -0.019500904, ' yes': -7.4929595, 'Yes': -3.99395}
{' No': -8.497651, ' ': -9.339315, ' Yes': -0.017288892, ' yes': -6.0648327, 'Yes': -4.237847}
{' No': -9.243564, ' ': -10.301234, ' Yes': -0.001101455, ' yes': -7.45291, 'Yes': -7.8606725}
{' No': -7.693581, ' ': -9.704025, ' Yes': -0.004276978, ' yes': -7.918301, 'Yes': -5.6923394}
{' No': -7.2183504, ' ': -8.337588, ' Yes': -0.0057822852, ' yes': -8.049586, 'Yes': -5.416688}
{' No': -6.687503, ' ': -9.25776, ' Yes': -0.00397036, ' yes': -7.0675616, 'Yes': -6.351264}
{' No': -6.937137, ' ': -7.388888, ' Yes': -0.0062840157, ' yes': -7.7931776, 'Yes': -5.4820414}
{' No': -6.34221, ' ': -7.357997, ' Yes': -0.011176307, ' yes': -5.416053, 'Yes': -5.496331}
{' No': -7.378012, ' ': -9.851856, ' Yes': -0.0010874952, ' yes': -9.648165, 'Yes': -7.9899635}
{' No': -6.2431026, ' ': -8.866552, ' Yes': -0.004406162, ' yes': -9.638529, 'Yes': -6.1103835}
{' No': -3.9390259, '\n': -9.065884, ' ': -7.4401145, ' Yes': -0.023525331, 'Yes': -5.8346634}
{' No': -5.5665474, ' ': -9.002361, ' Yes': -0.0045171087, ' yes': -9.980743, 'Yes': -7.5944347}
{' No': -4.6874323, '\n': -8.610314, ' ': -6.8721128, ' Yes': -0.015864296, 'Yes': -5.2712107}
{' No': -6.3398104, ' ': -8.509359, ' Yes': -0.0035946807, ' yes': -8.897178, 'Yes': -6.539788}
{' No': -0.0041843173, ' ': -11.645918, 'No': -5.4809904, ' no': -14.411705, ' NO': -14.472177}
{' No': -0.022592058, ' ': -10.367797, 'No': -3.8030427, ' no': -13.451232, ' NO': -13.194755}
{' No': -0.031623673, ' ': -9.892005, 'No': -3.4714105, ' no': -13.474263, ' NO': -13.259648}
{' No': -0.0069154473, ' ': -10.743335, 'No': -4.9809656, ' no': -13.869336, ' NO': -14.134295}
{' No': -0.03150249, '\n': -12.711696, ' ': -9.221176, 'No': -3.4770799, ' no': -12.44288}
{' No': -0.018847628, ' ': -9.19321, 'No': -3.9870539, ' no': -12.007331, ' NO': -13.416479}
{' No': -0.00047905065, ' ': -11.300429, 'No': -7.674244, ' no': -13.93391, ' NO': -14.409649}
{' No': -0.004761667, '\n': -13.332303, ' ': -10.074413, 'No': -5.35958, ' no': -13.402107}
{' No': -0.003521644, '\n': -12.109022, ' ': -9.801416, 'No': -5.6690464, ' no': -13.562899}
{' No': -0.0015182232, '\n': -13.583692, ' ': -11.045238, 'No': -6.5033298, ' no': -14.101909}
{' No': -0.0062486865, '\n': -10.7641945, ' ': -8.970286, 'No': -5.1036396, ' no': -12.876528}
{' No': -0.004253633, '\n': -10.994993, ' ': -9.480414, 'No': -5.486738, ' no': -11.9126}
{' No': -0.019409012, ' ': -10.067443, 'No': -3.9561234, ' no': -10.392383, ' NO': -12.435043}
{' No': -0.019982565, ' ': -11.191933, 'No': -3.92402, 'no': -13.092813, ' no': -12.257089}
{' No': -0.05485352, '\n': -11.685229, ' ': -9.021107, 'No': -2.9335935, ' no': -10.932718}
{' No': -0.010409544, ' ': -10.39454, 'No': -4.575839, ' no': -10.817317, ' NO': -12.798843}
{' No': -0.05662462, '\n': -10.737781, ' ': -8.5945, 'No': -2.9043798, ' no': -10.522953}
{' No': -0.056282997, ' ': -8.17034, 'No': -2.918933, 'no': -10.030938, ' no': -8.132739}
{' No': -0.0007422436, '\n': -13.385783, ' ': -9.959924, 'No': -7.291803, ' no': -11.481912}
{' No': -0.006595363, ' ': -9.446317, 'No': -5.0397525, ' no': -11.274951, ' NO': -12.927263}
{' No': -0.0074749705, '\n': -11.048246, ' ': -8.905121, 'No': -4.921974, ' no': -11.938641}
{' No': -0.0032488615, '\n': -12.1624365, ' ': -9.430691, 'No': -5.768776, ' no': -10.401421}
{' No': -0.006327023, '\n': -9.56583, ' ': -8.429611, 'No': -5.1167793, ' no': -10.924913}
{' No': -0.0074062753, '\n': -9.550155, ' ': -8.033487, 'No': -4.9933777, ' no': -8.570444}
{' No': -0.0004914521, '\n': -13.235484, ' ': -10.390113, 'No': -7.6904607, ' NO': -14.143279}
{' No': -0.0048015546, '\n': -12.21999, ' ': -9.375677, 'No': -5.36114, ' NO': -13.091104}
{' No': -0.006073146, '\n': -10.164698, ' ': -8.821287, 'No': -5.138994, ' no': -13.280737}
{' No': -0.0012324408, '\n': -12.5542145, ' ': -9.629604, 'No': -6.760175, ' NO': -13.46175}
{' No': -0.007644031, '\n': -10.320611, ' ': -8.562552, 'No': -4.908342, ' no': -12.959156}
{' No': -0.0023534733, '\n': -12.027945, ' ': -9.750326, 'No': -6.083198, ' no': -12.418195}
{' No': -0.005014792, ' ': -11.451506, 'No': -5.3326454, ' Yes': -8.758627, 'Yes': -13.87821}
{' No': -0.02276064, ' ': -10.325303, 'No': -3.8306048, ' Yes': -7.1907687, 'Yes': -11.230159}
{' No': -0.025249181, ' ': -9.937998, 'No': -3.7222896, ' Yes': -7.2860518, 'Yes': -11.223803}
{' No': -0.0084872795, ' ': -10.97182, 'No': -4.924194, ' Yes': -6.7643175, 'Yes': -11.722385}
{' No': -0.24987242, ' ': -8.799235, 'No': -3.6188471, ' Yes': -1.6545372, 'Yes': -5.839044}
{' No': -0.3895105, ' ': -8.119874, 'No': -4.225839, ' Yes': -1.1870456, 'Yes': -6.0148253}
{' No': -0.021637784, ' ': -9.777846, 'No': -7.1659665, ' Yes': -3.8854342, 'Yes': -10.729056}
{' No': -0.17338914, ' ': -8.869334, 'No': -5.1913066, ' Yes': -1.8798769, 'Yes': -7.0873957}
{' No': -0.049669873, ' ': -8.355909, 'No': -5.1985188, ' Yes': -3.1626325, 'Yes': -8.175468}
{' No': -0.026824236, ' ': -9.814872, 'No': -6.4667335, ' Yes': -3.696912, 'Yes': -9.930087}
{' No': -0.06769722, ' ': -7.5899363, 'No': -4.847612, ' Yes': -2.873014, 'Yes': -7.6825285}
{' No': -1.287084, ' ': -7.619515, 'No': -6.2199335, ' Yes': -0.33255124, 'Yes': -5.6384172}
{' No': -0.027640574, ' ': -9.611705, 'No': -3.7573903, ' Yes': -5.5908256, 'Yes': -9.74497}
{' No': -0.020366216, ' ': -11.493259, 'No': -4.082931, ' Yes': -5.734533, 'Yes': -9.870851}
{' No': -0.21262696, ' ': -8.365034, 'No': -3.6768389, ' Yes': -1.8177238, 'Yes': -5.6728473}
{' No': -0.05478546, ' ': -9.898523, 'No': -4.8897066, ' Yes': -3.091977, 'Yes': -8.11982}
{' No': -4.1449523, 'No': -7.076648, ' Yes': -0.04292302, ' yes': -7.8069415, 'Yes': -3.6989286}
{' No': -0.7696249, 'No': -3.5978374, ' Yes': -0.6983873, ' yes': -6.874901, 'Yes': -4.5828724}
{' No': -0.017276943, ' ': -8.492636, 'No': -6.7362537, ' Yes': -4.15868, ' no': -10.044222}
{' No': -0.042015154, ' ': -8.272249, 'No': -4.826189, ' Yes': -3.424919, 'Yes': -8.253941}
{' No': -0.062445268, ' ': -7.7460747, 'No': -5.2539506, ' Yes': -2.9106104, 'Yes': -7.980318}
{' No': -0.014166239, ' ': -8.597717, 'No': -5.4046383, ' Yes': -4.678751, 'Yes': -9.916412}
{' No': -0.051351506, ' ': -6.88097, 'No': -4.8332305, ' Yes': -3.2054708, 'Yes': -7.993927}
{' No': -0.0343288, '\n': -8.172625, ' ': -7.012762, 'No': -4.7363434, ' Yes': -3.7657683}
{' No': -0.030266326, ' ': -9.132448, 'No': -7.4442296, ' Yes': -3.5380464, 'Yes': -10.648861}
{' No': -0.02939463, ' ': -8.938055, 'No': -5.5294843, ' Yes': -3.6995664, 'Yes': -9.095461}
{' No': -0.06922502, ' ': -7.669984, 'No': -5.5574946, ' Yes': -2.780227, 'Yes': -8.103452}
{' No': -0.07985217, ' ': -8.444943, 'No': -6.895257, ' Yes': -2.5851088, 'Yes': -9.167716}
{' No': -0.25988492, ' ': -6.444775, 'No': -5.027152, ' Yes': -1.5202953, 'Yes': -6.3829813}
{' No': -0.36409208, ' ': -7.6586742, 'No': -6.33299, ' Yes': -1.1967833, 'Yes': -7.3934116}
{' YES': -12.177196, ' ': -12.2111635, ' Yes': -0.0048652217, ' yes': -10.264409, 'Yes': -5.337983}
{' YES': -11.407187, ' Yes': -0.011876221, ' yes': -9.506593, 'Yes': -4.44777, 'yes': -11.805239}
{' YES': -11.530519, ' ': -11.822599, ' Yes': -0.012484582, ' yes': -9.658969, 'Yes': -4.3966036}
{' YES': -12.110211, ' ': -12.359735, ' Yes': -0.00574104, ' yes': -10.193856, 'Yes': -5.1717963}
{' ': -11.69283, ' Yes': -0.014124283, ' yes': -9.804565, 'Yes': -4.2724495, 'yes': -11.77603}
{' YES': -11.49224, ' ': -10.620019, ' Yes': -0.00849852, ' yes': -8.799378, 'Yes': -4.7953997}
{' YES': -11.993065, ' ': -11.855402, ' Yes': -0.00084622175, ' yes': -9.834731, 'Yes': -7.1616697}
{' YES': -11.789308, ' ': -11.222288, ' Yes': -0.005173251, ' yes': -9.433533, 'Yes': -5.2885575}
{'\n': -10.501645, ' ': -10.308692, ' Yes': -0.0047718496, ' yes': -9.260074, 'Yes': -5.3838325}
{' YES': -12.175135, ' ': -12.222646, ' Yes': -0.0014335185, ' yes': -10.190325, 'Yes': -6.5844145}
{'\n': -10.61423, ' ': -9.5872135, ' Yes': -0.00619099, ' yes': -9.549323, 'Yes': -5.117164}
{'\n': -9.922889, ' ': -9.809745, ' Yes': -0.0066201417, ' yes': -7.887753, 'Yes': -5.102674}
{' YES': -10.759992, ' Yes': -0.01515946, ' yes': -7.443889, 'Yes': -4.2418857, 'yes': -10.114753}
{' YES': -12.525821, ' Yes': -0.016140351, ' yes': -9.347628, 'Yes': -4.1409607, 'yes': -11.448301}
{' YES': -10.58906, ' Yes': -0.026796805, ' yes': -7.883768, 'Yes': -3.6507535, 'yes': -10.228741}
{' YES': -11.498403, ' Yes': -0.009279636, ' yes': -8.660601, 'Yes': -4.706938, 'yes': -11.206373}
{' ': -10.5073595, ' Yes': -0.030947998, ' yes': -8.220254, 'Yes': -3.5026653, 'yes': -10.116078}
{' ': -10.174691, ' Yes': -0.029132625, ' yes': -6.6476955, 'Yes': -3.602781, 'yes': -9.326954}
{' YES': -11.330272, ' ': -10.828765, ' Yes': -0.0023681107, ' yes': -7.355441, 'Yes': -6.3883696}
{' ': -10.192913, ' Yes': -0.010313243, ' yes': -7.463281, 'Yes': -4.6460724, 'yes': -10.486122}
{'\n': -11.213533, ' ': -10.102826, ' Yes': -0.0055171573, ' yes': -8.775657, 'Yes': -5.2443094}
{' ': -10.399318, ' Yes': -0.0058857626, ' yes': -7.589999, 'Yes': -5.2443233, 'yes': -10.420411}
{'\n': -9.878846, ' ': -8.934228, ' Yes': -0.007422668, ' yes': -8.643582, 'Yes': -4.960225}
{'\n': -8.678216, ' ': -8.55982, ' Yes': -0.016745547, ' yes': -5.3593245, 'Yes': -4.4769864}
{' YES': -11.895747, ' ': -11.232448, ' Yes': -0.00077738106, ' yes': -10.211865, 'Yes': -7.2453847}
{'\n': -11.281577, ' ': -10.496242, ' Yes': -0.0044548996, ' yes': -9.600545, 'Yes': -5.443143}
{'\n': -9.873241, ' ': -10.126324, ' Yes': -0.0038880806, ' yes': -9.80175, 'Yes': -5.592736}
{' YES': -12.162045, ' ': -11.12624, ' Yes': -0.0011107035, ' yes': -10.274392, 'Yes': -6.8571076}
{'\n': -10.424578, ' ': -9.387962, ' Yes': -0.006057014, ' yes': -10.122744, 'Yes': -5.136737}
{'\n': -11.994932, ' ': -10.915077, ' Yes': -0.0018184166, ' yes': -9.889593, 'Yes': -6.355345}
{' No': -6.2307744, ' ': -11.044779, ' Yes': -0.0036763973, ' yes': -10.302154, 'Yes': -6.4122353}
{' No': -8.48672, ' ': -10.279863, ' Yes': -0.009469038, ' yes': -9.383469, 'Yes': -4.7011366}
{' No': -7.268611, ' ': -9.875882, ' Yes': -0.012671877, ' yes': -9.542346, 'Yes': -4.444753}
{' No': -6.679653, ' ': -10.775234, ' Yes': -0.0037999435, ' yes': -10.20005, 'Yes': -6.005144}
{' No': -5.892578, ' ': -9.355661, 'No': -9.365934, ' Yes': -0.011961271, 'Yes': -4.725464}
{' No': -4.5232368, ' ': -8.6333475, 'No': -8.275163, ' Yes': -0.01759137, 'Yes': -5.120195}
{' No': -10.797749, ' ': -11.400052, ' Yes': -0.000501949, ' yes': -9.481417, 'Yes': -7.846468}
{' No': -9.820421, ' ': -10.195176, ' Yes': -0.0033725342, ' yes': -9.333757, 'Yes': -5.7509007}
{' No': -6.6396756, ' ': -8.759219, ' Yes': -0.005793916, ' yes': -9.417954, 'Yes': -5.4723406}
{' No': -9.81731, ' ': -11.27671, ' Yes': -0.0008777763, ' yes': -9.780594, 'Yes': -7.194561}
{' No': -7.997787, ' ': -8.125962, ' Yes': -0.0055294447, ' yes': -9.19097, 'Yes': -5.3547664}
{' No': -10.433836, ' ': -9.456274, ' Yes': -0.0026230828, ' yes': -7.9518514, 'Yes': -6.1500874}
{' No': -6.709771, ' ': -10.338346, ' Yes': -0.009486549, ' yes': -7.271224, 'Yes': -4.900453}
{' No': -9.346112, ' Yes': -0.008385874, ' yes': -9.090436, 'Yes': -4.8109865, 'yes': -12.202185}
{' ': -10.047259, ' Yes': -0.016290104, ' yes': -7.469142, 'Yes': -4.167346, 'yes': -10.6220045}
{' No': -7.5454526, ' ': -10.804446, ' Yes': -0.0050631976, ' yes': -8.140414, 'Yes': -5.474601}
{' No': -10.244276, ' ': -9.807318, ' Yes': -0.019861687, ' yes': -7.5550404, 'Yes': -3.9629939}
{' ': -9.977811, ' Yes': -0.016988387, ' yes': -6.1799307, 'Yes': -4.223396, 'yes': -9.880488}
{' No': -10.451816, ' ': -10.218896, ' Yes': -0.0015421616, ' yes': -6.985461, 'Yes': -7.520199}
{' No': -10.273532, ' ': -9.798362, ' Yes': -0.00465345, ' yes': -7.561057, 'Yes': -5.5174727}
{' No': -7.829405, ' ': -8.420344, ' Yes': -0.005609463, ' yes': -8.032716, 'Yes': -5.377313}
{' No': -7.8220444, ' ': -9.467794, ' Yes': -0.00330944, ' yes': -6.8549137, 'Yes': -6.348728}
{' No': -8.745426, ' ': -7.7231064, ' Yes': -0.0060520386, ' yes': -7.7661953, 'Yes': -5.3168316}
{' No': -8.376072, ' ': -7.772106, ' Yes': -0.010281025, ' yes': -5.287672, 'Yes': -5.424917}
{' No': -8.839707, ' ': -10.233621, ' Yes': -0.0005894979, ' yes': -9.607797, 'Yes': -7.9997935}
{' No': -7.2077985, ' ': -8.966149, ' Yes': -0.003197675, ' yes': -9.517934, 'Yes': -6.105603}
{' No': -6.0311623, '\n': -9.479535, ' ': -8.018702, ' Yes': -0.006022055, 'Yes': -5.770981}
{' No': -6.4056067, ' ': -9.235944, ' Yes': -0.0022870987, ' yes': -9.979014, 'Yes': -7.640896}
{' No': -6.0510545, '\n': -8.805855, ' ': -7.3321743, ' Yes': -0.00819067, 'Yes': -5.3193765}
{' No': -9.614026, ' ': -9.46025, ' Yes': -0.0013687563, ' yes': -9.051551, 'Yes': -6.8198843}
{' No': -0.0048278472, ' ': -10.935196, 'No': -5.340025, ' no': -13.947049, ' NO': -14.037801}
{' No': -0.019856704, ' ': -10.335473, 'No': -3.931037, ' no': -13.422261, ' NO': -13.035884}
{' No': -0.029387819, ' ': -9.696025, 'No': -3.544223, ' no': -13.20701, ' NO': -12.792743}
{' No': -0.004721302, ' ': -10.919921, 'No': -5.362433, ' no': -13.804672, ' NO': -14.156747}
{' No': -0.02870358, '\n': -12.584556, ' ': -9.258453, 'No': -3.56904, ' no': -12.325797}
{' No': -0.022115478, ' ': -8.93373, 'No': -3.8296752, ' no': -11.768408, ' NO': -12.66962}
{' No': -0.0005815645, ' ': -11.040681, 'No': -7.4825068, ' no': -13.787037, ' NO': -14.119377}
{' No': -0.004971539, '\n': -13.294522, ' ': -9.967746, 'No': -5.317229, ' no': -13.298853}
{' No': -0.0042804508, '\n': -11.868737, ' ': -9.692585, 'No': -5.473076, ' NO': -13.432002}
{' No': -0.0015837118, '\n': -13.612596, ' ': -10.881615, 'No': -6.4626126, ' no': -13.961442}
{' No': -0.0061839106, '\n': -10.413104, ' ': -8.71763, 'No': -5.122183, ' no': -12.733139}
{' No': -0.004246989, '\n': -10.854604, ' ': -9.222148, 'No': -5.4945765, ' no': -11.8855}
{' No': -0.01624382, ' ': -10.039407, 'No': -4.1332235, ' no': -10.5218935, ' NO': -12.282167}
{' No': -0.023347648, ' ': -11.181217, 'No': -3.769901, 'no': -12.951472, ' no': -12.259352}
{' No': -0.04478778, '\n': -11.763528, ' ': -9.026755, 'No': -3.1319554, ' no': -10.8498335}
{' No': -0.008979722, ' ': -10.189743, 'No': -4.7240806, ' no': -11.073161, ' NO': -12.566919}
{' No': -0.07243054, '\n': -10.700318, ' ': -8.388963, 'No': -2.6657076, ' no': -10.429881}
{' No': -0.059818566, ' x': -9.62356, ' ': -8.150297, 'No': -2.8600886, ' no': -8.124386}
{' No': -0.0008372717, '\n': -12.982772, ' ': -9.540836, 'No': -7.205341, ' no': -10.958196}
{' No': -0.007378113, '\n': -12.564996, ' ': -9.12834, 'No': -4.9312005, ' no': -11.063414}
{' No': -0.009414404, '\n': -10.591101, ' ': -8.767022, 'No': -4.691419, ' no': -11.524253}
{' No': -0.0032383983, '\n': -12.280807, ' ': -9.362104, 'No': -5.776064, ' no': -10.211537}
{' No': -0.0070575806, '\n': -9.346008, ' ': -8.336903, 'No': -5.0082746, ' no': -11.007675}
{' No': -0.008249442, '\n': -9.7500725, ' ': -8.075029, 'No': -4.8754234, ' no': -8.51634}
{' No': -0.0005623597, '\n': -13.241933, ' ': -10.270341, 'No': -7.55449, ' NO': -13.800942}
{' No': -0.0038588203, '\n': -12.374694, ' ': -9.615519, 'No': -5.578781, ' NO': -13.387771}
{' No': -0.0053769816, '\n': -10.142817, ' ': -8.970276, 'No': -5.260727, ' NO': -13.4126835}
{' No': -0.0010001989, '\n': -12.7256565, ' ': -9.737334, 'No': -6.974795, ' NO': -13.677959}
{' No': -0.007168515, '\n': -9.939613, ' ': -8.471695, 'No': -4.9792657, ' no': -12.986638}
{' No': -0.0021772392, '\n': -12.0513, ' ': -9.867352, 'No': -6.1595573, ' no': -12.826143}
{' No': -0.0053319163, ' ': -10.813491, 'No': -5.6311, ' Yes': -6.3756523, 'Yes': -11.756545}
{' No': -0.02614016, ' ': -9.829361, 'No': -4.2016444, ' Yes': -4.5433154, 'Yes': -8.947565}
{' No': -0.06789783, ' ': -9.205481, 'No': -3.9529836, ' Yes': -3.0868013, 'Yes': -7.2866263}
{' No': -0.01687181, ' ': -10.491075, 'No': -5.274905, ' Yes': -4.4638896, 'Yes': -9.689822}
{' No': -0.49531403, ' ': -8.7021885, 'No': -4.0250134, ' Yes': -1.0019573, 'Yes': -5.224791}
{' No': -2.380076, 'No': -6.276488, ' Yes': -0.10722777, ' yes': -8.286888, 'Yes': -4.992295}
{' No': -1.9381505, ' ': -9.15962, ' Yes': -0.15664138, ' yes': -8.911797, 'Yes': -7.314257}
{' No': -3.643449, 'No': -8.654439, ' Yes': -0.031872902, ' yes': -8.9962015, 'Yes': -5.3399878}
{' No': -2.9669464, ' ': -8.268843, 'No': -8.218985, ' Yes': -0.058638413, 'Yes': -5.343142}
{' No': -1.7526861, ' ': -9.319742, 'No': -8.338198, ' Yes': -0.1922252, 'Yes': -6.747986}
{' No': -5.6699705, ' ': -8.247563, ' Yes': -0.00942716, ' yes': -8.955995, 'Yes': -5.210582}
{' No': -5.6581373, ' ': -8.856202, ' Yes': -0.008973587, ' yes': -7.408632, 'Yes': -5.3850055}
{' No': -0.075013116, ' ': -9.191906, 'No': -4.173873, ' Yes': -2.8814287, 'Yes': -7.3929963}
{' No': -0.097919725, ' ': -10.780718, 'No': -4.204792, ' Yes': -2.5609305, 'Yes': -6.8282695}
{' No': -3.3731515, 'No': -7.0500216, ' Yes': -0.053527404, ' yes': -7.849875, 'Yes': -4.1097345}
{' No': -2.7241702, 'No': -7.673274, ' Yes': -0.073340826, ' yes': -8.534799, 'Yes': -5.426198}
{' No': -6.2638903, 'No': -9.336865, ' Yes': -0.024153756, ' yes': -7.987809, 'Yes': -3.8425548}
{' No': -3.2963152, 'No': -6.092362, ' Yes': -0.06383627, ' yes': -6.6194983, 'Yes': -3.8682735}
{' No': -0.36797068, ' ': -7.42963, 'No': -7.23627, ' Yes': -1.1855671, ' yes': -7.714206}
{' No': -2.2296498, 'No': -6.9000754, ' Yes': -0.123847246, ' yes': -7.3937445, 'Yes': -4.9807825}
{' No': -3.9457064, ' ': -8.107463, ' Yes': -0.02683556, ' yes': -8.100572, 'Yes': -5.0605497}
{' No': -1.4729067, 'No': -6.9145627, ' Yes': -0.2675711, ' yes': -7.3045297, 'Yes': -5.724858}
{' No': -3.0335937, ' ': -6.9586344, 'No': -7.5735984, ' Yes': -0.06044763, 'Yes': -4.7748084}
{' No': -0.70437026, 'No': -5.0723605, ' Yes': -0.71815467, ' yes': -5.61858, 'Yes': -5.2770195}
{' No': -0.9250881, ' ': -8.243414, 'No': -8.460501, ' Yes': -0.50666726, 'Yes': -7.7776055}
{' No': -1.0922428, ' ': -7.810502, 'No': -6.511434, ' Yes': -0.41594645, 'Yes': -5.8695097}
{' No': -4.2946415, '\n': -8.800455, ' ': -7.9600673, ' Yes': -0.020319134, 'Yes': -5.1537457}
{' No': -2.5707953, ' ': -8.506258, 'No': -9.570414, ' Yes': -0.08088713, 'Yes': -7.035006}
{' No': -7.697935, ' ': -8.470594, ' Yes': -0.0071263737, ' yes': -9.460369, 'Yes': -5.064589}
{' No': -5.5945945, ' ': -9.297088, ' Yes': -0.0063323015, ' yes': -8.720288, 'Yes': -6.074569}
{' YES': -12.232687, ' ': -12.219818, ' Yes': -0.0040363693, ' yes': -10.0579815, 'Yes': -5.5282}
{' YES': -11.266664, ' ': -11.590963, ' Yes': -0.011968813, ' yes': -9.35523, 'Yes': -4.4413548}
{' YES': -11.306647, ' Yes': -0.015000861, ' yes': -9.358739, 'Yes': -4.2150264, 'yes': -11.647774}
{' YES': -12.137228, ' ': -12.091579, ' Yes': -0.005730369, ' yes': -10.023401, 'Yes': -5.1751027}
{' ': -11.59515, ' Yes': -0.014433363, ' yes': -9.730547, 'Yes': -4.251307, 'yes': -11.613535}
{' YES': -11.34712, ' ': -10.699455, ' Yes': -0.009850058, ' yes': -8.527267, 'Yes': -4.6503396}
{' YES': -11.965333, ' ': -11.746229, ' Yes': -0.0009005687, ' yes': -9.516136, 'Yes': -7.1190395}
{' YES': -11.766734, ' ': -11.098674, ' Yes': -0.005340967, ' yes': -9.313475, 'Yes': -5.258213}
{'\n': -10.846104, ' ': -10.265376, ' Yes': -0.0050939294, ' yes': -9.15359, 'Yes': -5.3173018}
{' YES': -12.184441, ' ': -12.065247, ' Yes': -0.0013565801, ' yes': -10.02932, 'Yes': -6.6467705}
{'\n': -11.093897, ' ': -9.4602, ' Yes': -0.0073210727, ' yes': -9.374358, 'Yes': -4.9480386}
{'\n': -10.609483, ' ': -9.908925, ' Yes': -0.0070948587, ' yes': -7.767587, 'Yes': -5.031291}
{' YES': -10.803202, ' Yes': -0.015785938, ' yes': -7.154614, 'Yes': -4.213528, 'yes': -9.951214}
{' YES': -12.872461, ' Yes': -0.016041443, ' yes': -9.747412, 'Yes': -4.145081, 'yes': -11.656944}
{' ': -10.526101, ' Yes': -0.023448506, ' yes': -7.8947787, 'Yes': -3.7847111, 'yes': -10.357572}
{' YES': -11.53498, ' Yes': -0.008343559, ' yes': -8.51833, 'Yes': -4.818337, 'yes': -11.2764}
{' ': -10.707931, ' Yes': -0.027263617, ' yes': -8.414155, 'Yes': -3.626791, 'yes': -10.265021}
{' ': -10.111983, ' Yes': -0.032166276, ' yes': -6.7550945, 'Yes': -3.4955277, 'yes': -9.380453}
{' YES': -11.032317, ' ': -10.328063, ' Yes': -0.0031259821, ' yes': -6.9469943, 'Yes': -6.1697493}
{' ': -9.917407, ' Yes': -0.01279183, ' yes': -7.3756747, 'Yes': -4.425109, 'yes': -10.23508}
{' ': -9.84696, ' Yes': -0.007082552, ' yes': -8.294758, 'Yes': -5.002661, 'yes': -11.269574}
{' ': -10.164459, ' Yes': -0.006661123, ' yes': -7.144829, 'Yes': -5.160006, 'yes': -10.116955}
{'\n': -10.032047, ' ': -8.646841, ' Yes': -0.013336715, ' yes': -7.7457123, 'Yes': -4.378893}
{' ': -8.688901, ' Yes': -0.019710371, ' yes': -5.162349, 'Yes': -4.3194003, 'yes': -8.746044}
