{' No': -0.07999569, ' Yes': -2.710546, 'No': -4.6041656, 'Yes': -8.152537, ' ': -9.752942}
{' Yes': -0.12996182, ' No': -2.353873, 'Yes': -3.910769, 'No': -5.024785, ' ': -8.96151}
{' Yes': -0.43977544, ' No': -1.1222649, 'No': -4.124319, 'Yes': -4.2924576, ' ': -8.064318}
{' Yes': -0.39415184, ' No': -1.2526323, 'No': -3.900686, 'Yes': -3.9465828, ' ': -8.056923}
{' Yes': -0.2221353, ' No': -1.6495492, 'Yes': -5.555597, 'No': -5.8038073, ' ': -9.1901455}
{' Yes': -0.4183027, ' No': -1.1053067, 'No': -5.078045, 'Yes': -5.4419575, ' ': -9.047382}
{' No': -0.08031349, 'No': -2.790667, ' Yes': -4.191241, 'Yes': -7.809462, ' ': -8.392276}
{' Yes': -0.5922449, ' No': -0.9152811, 'No': -3.498506, 'Yes': -4.154793, ' ': -7.629539}
{' No': -0.6328199, ' Yes': -0.8313939, 'No': -3.6298842, 'Yes': -5.089685, ' ': -7.527559}
{' Yes': -0.15968286, ' No': -2.047193, 'Yes': -4.4928336, 'No': -5.0474176, ' ': -7.782853}
{' Yes': -0.0025725225, ' No': -6.3282137, 'Yes': -7.3117843, ' yes': -9.434308, ' ': -10.678063}
{' Yes': -0.0036518706, ' No': -6.1501875, 'Yes': -6.5753407, ' yes': -9.552331, ' ': -10.399011}
{' Yes': -0.028635435, ' No': -3.7526305, 'Yes': -5.4411244, 'No': -8.473631, ' ': -9.099234}
{' Yes': -0.028225305, ' No': -3.9212096, 'Yes': -4.902954, 'No': -7.9655776, ' ': -8.982689}
{' No': -0.48972914, ' Yes': -0.9743407, 'No': -5.1024437, 'Yes': -5.893347, ' ': -7.171089}
{' Yes': -0.22246993, ' No': -1.6907449, 'Yes': -4.603354, 'No': -5.5795846, ' ': -6.9259667}
{' Yes': -0.14506683, ' No': -2.0129142, 'Yes': -6.874166, 'No': -8.34155, ' ': -9.173642}
{' Yes': -0.041853856, ' No': -3.2452574, 'Yes': -6.351382, 'No': -8.977792, ' ': -9.304839}
{' No': -0.35329682, ' Yes': -1.2576225, 'No': -4.84265, ' ': -5.989609, 'Yes': -6.007147}
{' Yes': -0.36996868, ' No': -1.2210715, 'Yes': -4.8767757, 'No': -5.2937646, ' ': -6.5699673}
{' Yes': -0.034050014, ' No': -3.5027654, 'Yes': -5.986389, ' ': -7.937919, ' yes': -8.505674}
{' Yes': -0.013737162, ' No': -4.8234787, 'Yes': -5.3533273, ' yes': -8.07015, ' ': -8.075327}
{' No': -0.4001992, ' Yes': -1.2030271, 'No': -3.692136, 'Yes': -5.475612, ' ': -8.32739}
{' Yes': -0.05209571, ' No': -3.4236014, 'Yes': -4.180752, 'No': -6.2143745, ' yes': -7.201317}
{' Yes': -0.48324853, ' No': -1.0776509, 'No': -3.668084, 'Yes': -4.0803537, ' ': -8.584757}
{' Yes': -0.09006812, ' No': -2.949382, 'Yes': -3.5741243, 'No': -5.28778, ' yes': -7.5768704}
{' Yes': -0.70729417, ' No': -0.9144665, 'No': -2.721977, 'Yes': -3.247974, ' ': -6.9206843}
{' Yes': -0.10774722, 'Yes': -2.5634642, ' No': -3.9569485, 'No': -5.4258046, ' yes': -6.808247}
{' No': -0.36374745, ' Yes': -1.2456559, 'No': -4.2890177, 'Yes': -5.7816243, ' ': -8.307738}
{' Yes': -0.100684114, ' No': -2.4526968, 'Yes': -4.9058104, 'No': -6.3765383, ' yes': -7.6550374}
{' No': -0.21809568, 'No': -2.0538461, ' Yes': -2.7648563, 'Yes': -5.492117, ' ': -7.6648803}
{' Yes': -0.11894762, 'Yes': -2.8079925, ' No': -3.150003, 'No': -4.843763, ' yes': -7.457017}
{' No': -0.76164305, ' Yes': -0.82379395, 'No': -2.625399, 'Yes': -3.90091, ' ': -7.138718}
{' Yes': -0.1034126, ' No': -3.1064796, 'Yes': -3.1788197, 'No': -4.7703247, ' yes': -5.9547215}
{' Yes': -0.0043261256, ' No': -6.1532097, 'Yes': -6.7186522, ' yes': -7.2207546, ' ': -8.456701}
{' Yes': -0.006574063, ' No': -5.644927, 'Yes': -6.161806, ' yes': -7.2436438, ' ': -8.779502}
{' Yes': -0.04449603, ' No': -3.300353, 'Yes': -5.1745296, 'No': -7.786901, ' ': -8.155356}
{' Yes': -0.04172285, ' No': -3.5886319, 'Yes': -4.4411902, 'No': -7.2181296, ' yes': -7.773702}
{' Yes': -0.56628513, ' No': -0.8657331, 'No': -5.26241, 'Yes': -5.296008, ' ': -6.8147306}
{' Yes': -0.11964021, ' No': -2.319574, 'Yes': -4.471473, 'No': -6.1601, ' ': -7.364547}
{' Yes': -0.2661008, ' No': -1.4688653, 'Yes': -6.275149, 'No': -7.1608834, ' ': -7.694872}
{' Yes': -0.07874294, ' No': -2.6478748, 'Yes': -5.7041163, ' yes': -7.315107, ' ': -7.651151}
{' No': -0.3164737, ' Yes': -1.3694599, 'No': -4.5409513, ' ': -5.7437615, 'Yes': -5.9519906}
{' Yes': -0.07096698, ' No': -3.0533736, 'Yes': -4.0649014, ' ': -6.280068, 'No': -6.4169216}
{' Yes': -0.028985905, ' No': -3.8779943, 'Yes': -5.3402576, ' yes': -6.6121936, ' ': -6.768999}
{' Yes': -0.033811696, ' No': -4.2373695, 'Yes': -4.4193096, ' yes': -5.3524246, ' ': -6.8272514}
{' Yes': -0.0052603125, ' No': -5.4432597, 'Yes': -7.231, ' ': -9.027087, ' yes': -9.7723}
{' Yes': -0.00907066, ' No': -4.9581866, 'Yes': -6.4005914, ' ': -8.548034, ' yes': -9.450198}
{' Yes': -0.031659357, ' No': -3.5908196, 'Yes': -5.785702, ' ': -8.388463, 'No': -8.5584135}
{' Yes': -0.035651736, ' No': -3.6416755, 'Yes': -4.8447433, 'No': -7.7479663, ' ': -7.941867}
{' No': -0.44467416, ' Yes': -1.0427177, 'No': -5.474215, 'Yes': -6.5929627, ' ': -7.1340694}
{' Yes': -0.3631968, ' No': -1.2337584, 'Yes': -5.0391207, 'No': -5.4127994, ' ': -6.4065547}
{' No': -0.14110273, ' Yes': -2.0367744, 'No': -7.3325214, ' ': -7.877806, 'Yes': -9.218611}
{' Yes': -0.39142162, ' No': -1.1377823, 'Yes': -6.688606, ' ': -6.780795, 'No': -7.057355}
{' No': -0.27757344, ' Yes': -1.484906, 'No': -4.860089, ' ': -5.2318196, 'Yes': -6.3406835}
{' No': -0.42158076, ' Yes': -1.1231304, 'No': -4.570897, ' ': -5.5267673, 'Yes': -5.634029}
{' Yes': -0.017872639, ' No': -4.171925, 'Yes': -6.383471, ' ': -7.7973123, 'No': -9.692422}
{' Yes': -0.040516604, ' No': -3.3600547, 'Yes': -5.6399403, ' ': -7.117193, 'No': -8.033371}
{' No': -0.008262362, 'No': -4.8030467, ' ': -11.004212, ' Not': -13.144081, ' NO': -13.187105}
{' No': -0.009321566, 'No': -4.6816483, ' ': -11.380145, ' NO': -13.799714, ' no': -14.01274}
{' No': -0.036903325, 'No': -3.3198507, ' ': -9.95063, ' NO': -10.957294, ' no': -12.830855}
{' No': -0.058653835, 'No': -2.866477, ' ': -9.955016, ' NO': -11.425385, ' no': -12.300907}
{' No': -0.040811107, 'No': -3.2219462, ' ': -9.715737, ' NO': -10.144627, 'NO': -13.034776}
{' No': -0.07464704, 'No': -2.633359, ' ': -9.690253, ' NO': -11.021071, ' no': -12.14408}
{' No': -0.010551694, 'No': -4.55929, ' ': -10.954184, ' NO': -12.439735, ' no': -13.094673}
{' No': -0.013210598, 'No': -4.334706, ' ': -11.194483, ' NO': -13.252697, ' no': -13.514214}
{' No': -0.07312201, 'No': -2.6536348, ' ': -9.382273, ' NO': -11.212115, ' no': -12.325949}
{' No': -0.08348619, 'No': -2.525911, ' ': -9.350484, ' NO': -11.8444805, ' no': -12.373973}
{' No': -0.042825714, 'No': -3.1777134, ' ': -8.824928, ' NO': -10.432408, ' no': -11.251552}
{' No': -0.04807642, 'No': -3.0634782, ' ': -8.910737, ' X': -10.650584, ' NO': -10.86948}
{' No': -0.0006482434, 'No': -7.370435, ' ': -11.211757, ' NO': -13.025844, ' no': -13.482005}
{' No': -0.0016790562, 'No': -6.4100003, ' ': -10.571575, '\n': -12.617686, ' no': -13.410458}
{' No': -0.006864732, 'No': -4.9931736, ' ': -9.995725, ' NO': -12.136618, ' no': -12.960706}
{' No': -0.009488414, 'No': -4.6688323, ' ': -9.96093, ' NO': -12.294952, '\n': -12.591966}
{' No': -0.0062868358, 'No': -5.086506, ' ': -9.595686, '\n': -11.700373, ' NO': -11.794179}
{' No': -0.014253721, 'No': -4.2659397, ' ': -9.363993, '\n': -10.880551, ' NO': -12.246631}
{' No': -0.00151685, 'No': -6.504633, ' ': -11.104784, ' NO': -13.089086, ' no': -13.819261}
{' No': -0.0027695075, 'No': -5.9041133, ' ': -10.402184, '\n': -12.700704, ' NO': -13.218315}
{' No': -0.009754293, 'No': -4.659107, ' ': -8.6008625, '\n': -10.294344, ' NO': -11.71887}
{' No': -0.0143075315, 'No': -4.2671647, ' ': -8.827009, '\n': -10.446803, ' NO': -12.530963}
{' No': -0.0050044884, 'No': -5.3250403, ' ': -9.434178, '\n': -10.47963, ' NO': -11.816117}
{' No': -0.007408858, 'No': -4.9379334, ' ': -8.945124, '\n': -9.861295, ' no': -11.007603}
{' No': -0.034941163, 'No': -3.37418, ' ': -9.826559, ' NO': -10.986046, ' Not': -11.759833}
{' No': -0.039896287, 'No': -3.2450428, ' ': -9.858332, ' no': -9.986124, ' NO': -10.679185}
{' No': -0.09022381, 'No': -2.451819, ' ': -9.530167, ' NO': -10.494925, ' no': -11.47194}
{' No': -0.11632231, 'No': -2.210839, ' ': -9.61183, ' no': -10.007727, ' NO': -10.288706}
{' No': -0.14255884, 'No': -2.022838, ' ': -8.232875, ' NO': -8.662816, '\n': -9.789181}
{' No': -0.1844495, 'No': -1.784179, ' ': -8.402393, ' no': -9.540799, ' NO': -9.727618}
{' No': -0.016122725, 'No': -4.1404514, ' ': -10.0263405, ' NO': -10.943295, ' no': -11.457566}
{' No': -0.0145812845, 'No': -4.2416396, ' ': -10.074147, ' no': -10.364928, ' NO': -11.482057}
{' No': -0.14353198, 'No': -2.0143816, ' ': -8.605885, ' NO': -9.822593, '\n': -10.55528}
{' No': -0.18291324, 'No': -1.7905371, ' ': -8.7708, '\n': -10.371743, ' no': -10.430352}
{' No': -0.13111925, 'No': -2.1012712, ' ': -8.324482, ' NO': -9.280262, ' no': -9.646879}
{' No': -0.14502673, 'No': -2.0097766, ' no': -8.192096, ' ': -8.258449, ' NO': -9.115006}
{' No': -0.0014298182, 'No': -6.6369014, ' ': -9.322589, ' no': -11.097062, ' NO': -11.788967}
{' No': -0.002209436, 'No': -6.175535, ' ': -9.281756, ' no': -10.862126, '\n': -11.49627}
{' No': -0.009114869, 'No': -4.715036, ' ': -9.273156, ' NO': -11.700014, ' no': -11.905433}
{' No': -0.017952861, 'No': -4.0370035, ' ': -9.132747, ' no': -10.936965, ' NO': -11.826455}
{' No': -0.010784177, 'No': -4.5445957, ' ': -9.441603, '\n': -11.455763, ' NO': -11.796869}
{' No': -0.016635487, 'No': -4.112258, ' ': -9.201913, '\n': -11.046981, ' no': -12.438177}
{' No': -0.0029213375, 'No': -5.864482, ' ': -9.71462, ' no': -11.952445, '\n': -12.034328}
{' No': -0.0051974584, 'No': -5.291584, ' ': -9.193904, ' no': -10.328763, '\n': -11.662068}
{' No': -0.012941202, 'No': -4.3821692, ' ': -8.1440525, '\n': -10.2104435, ' NO': -11.165828}
{' No': -0.01485935, 'No': -4.2335367, ' ': -8.602568, '\n': -9.834547, ' no': -12.116533}
{' No': -0.00878927, 'No': -4.784445, ' ': -8.269861, '\n': -9.8183365, ' no': -9.962021}
{' No': -0.019545274, 'No': -3.9832635, ' ': -8.133097, ' no': -8.355755, '\n': -8.72229}
{' No': -0.00093910686, 'No': -7.0149574, ' ': -10.26614, ' NO': -13.079884, '\n': -13.09893}
{' No': -0.0023071116, 'No': -6.1179514, ' ': -9.436339, '\n': -11.031184, ' NO': -12.892514}
{' No': -0.0074309553, 'No': -4.915729, ' ': -9.682652, ' NO': -12.2207775, '\n': -12.957353}
{' No': -0.016440844, 'No': -4.124736, ' ': -9.137296, '\n': -10.915135, ' NO': -11.8882065}
{' No': -0.00614493, 'No': -5.1166873, ' ': -9.092486, '\n': -11.518135, ' NO': -12.150316}
{' No': -0.0120736, 'No': -4.439438, ' ': -8.846399, '\n': -9.939676, ' NO': -12.888633}
{' No': -0.0009175695, 'No': -7.0327625, ' ': -10.391035, ' NO': -13.026114, '\n': -14.077372}
{' No': -0.0023705016, 'No': -6.091049, ' ': -9.299434, '\n': -12.0519905, ' NO': -12.43439}
{' No': -0.010179677, 'No': -4.6413765, ' ': -7.8419585, '\n': -9.446547, ' NO': -12.128952}
{' No': -0.01425747, 'No': -4.278887, ' ': -8.361852, '\n': -9.774445, ' NO': -12.610994}
{' No': -0.0033642214, 'No': -5.719962, ' ': -9.600484, '\n': -12.083, ' NO': -12.799106}
{' No': -0.0058878018, 'No': -5.157657, ' ': -9.305307, '\n': -11.164087, ' no': -12.178057}
{' No': -0.07326585, ' Yes': -2.76838, 'No': -4.8921037, 'Yes': -8.066586, ' ': -9.883581}
{' No': -0.03512419, ' Yes': -3.735596, 'No': -4.5657787, 'Yes': -8.559349, ' ': -9.827747}
{' No': -0.086428754, 'No': -2.9604845, ' Yes': -3.5050285, 'Yes': -7.103228, ' ': -9.242087}
{' No': -0.052813876, 'No': -3.0734973, ' Yes': -5.312721, 'Yes': -8.819659, ' ': -9.435716}
{' No': -0.091850914, ' Yes': -3.04847, 'No': -3.2445436, 'Yes': -6.725212, ' ': -9.222729}
{' No': -0.060403187, 'No': -2.9326165, ' Yes': -5.3051353, 'Yes': -8.5009165, ' ': -8.831578}
{' No': -0.03848988, ' Yes': -3.9672732, 'No': -3.98986, 'Yes': -8.376748, ' ': -9.428094}
{' No': -0.021317944, 'No': -4.4381804, ' Yes': -4.6983576, 'Yes': -9.234527, ' ': -9.745374}
{' No': -0.1762998, ' Yes': -2.1170995, 'No': -3.2614095, 'Yes': -5.965242, ' ': -8.174146}
{' No': -0.084751844, ' Yes': -3.1487586, 'No': -3.293021, 'Yes': -6.9415874, ' ': -8.48171}
{' Yes': -0.39296308, ' No': -1.1652198, 'No': -4.9471755, 'Yes': -5.211984, ' ': -8.25435}
{' No': -0.08799809, ' Yes': -2.905562, 'No': -3.5771658, 'Yes': -6.9977837, ' ': -7.6747804}
{' Yes': -0.22075133, ' No': -1.6251322, 'Yes': -7.1046643, 'No': -8.406746, ' yes': -9.2667885}
{' No': -0.45512795, ' Yes': -1.0123484, 'No': -6.6219935, 'Yes': -7.2988205, ' ': -8.576723}
{' No': -0.09575861, ' Yes': -2.4876635, 'No': -4.8992004, 'Yes': -7.4149437, ' ': -9.028128}
{' No': -0.060125075, ' Yes': -3.0754523, 'No': -4.470243, 'Yes': -7.6067195, ' ': -8.485162}
{' No': -0.16330242, ' Yes': -1.9509841, 'No': -4.981496, 'Yes': -6.7727203, ' ': -7.940342}
{' No': -0.020312807, 'No': -4.583755, ' Yes': -4.664314, ' ': -8.292199, 'Yes': -9.029294}
{' No': -0.016279439, ' Yes': -4.2471313, 'No': -6.326716, 'Yes': -10.353804, ' ': -10.988119}
{' No': -0.007939746, ' Yes': -5.202211, 'No': -6.0683165, ' ': -9.745462, 'Yes': -10.8834715}
{' No': -0.051104255, ' Yes': -3.25228, 'No': -4.636664, ' ': -7.1700177, 'Yes': -7.801005}
{' No': -0.020557974, 'No': -4.350119, ' Yes': -4.9776196, ' ': -7.987963, 'Yes': -9.141415}
{' Yes': -0.5203975, ' No': -0.91679984, 'Yes': -6.0532, 'No': -6.079145, ' ': -7.377407}
{' No': -0.08417474, ' Yes': -2.6521869, 'No': -4.755058, ' ': -7.4189653, 'Yes': -7.43521}
{' No': -0.05384589, 'No': -3.4822114, ' Yes': -3.857347, 'Yes': -7.8104258, ' ': -9.334722}
{' No': -0.07753073, 'No': -3.1801612, ' Yes': -3.446416, 'Yes': -7.088938, ' ': -8.741025}
{' No': -0.09678163, 'No': -2.5537307, ' Yes': -4.2937117, 'Yes': -7.3074074, ' ': -9.5358305}
{' No': -0.13431871, 'No': -2.5421975, ' Yes': -3.1269047, 'Yes': -5.867532, ' ': -8.976726}
{' No': -0.241147, 'No': -2.2054586, ' Yes': -2.3513098, 'Yes': -4.812451, ' ': -7.8624215}
{' No': -0.64950126, ' Yes': -1.000566, 'No': -2.532806, 'Yes': -3.5335422, ' ': -7.442215}
{' No': -0.039442845, ' Yes': -3.781262, 'No': -4.1666994, 'Yes': -8.186791, ' ': -9.709635}
{' No': -0.0781479, ' Yes': -2.7644005, 'No': -4.477276, 'Yes': -7.37746, ' ': -9.2911625}
{' No': -0.40776822, ' Yes': -1.3818855, 'No': -2.6508522, 'Yes': -4.375061, ' ': -8.031873}
{' No': -0.4679416, ' Yes': -1.2457031, 'No': -2.674044, 'Yes': -4.1292133, ' ': -7.6957645}
{' No': -0.5663617, ' Yes': -0.98616356, 'No': -3.0573685, 'Yes': -4.492635, ' yes': -7.4944854}
{' No': -0.6767247, ' Yes': -0.8834737, 'No': -2.8804104, 'Yes': -4.012189, ' yes': -5.961596}
{' Yes': -0.1552518, ' No': -1.9608014, 'Yes': -6.4465804, ' yes': -7.220388, ' ': -7.940419}
{' No': -0.46510896, ' Yes': -0.9973545, 'No': -6.6395373, 'Yes': -7.172922, ' ': -7.4205246}
{' No': -0.2624834, ' Yes': -1.5121399, 'No': -4.8342476, 'Yes': -6.329313, ' ': -7.6291575}
{' No': -0.036585737, ' Yes': -4.0031633, 'No': -4.0788164, ' ': -7.966231, 'Yes': -8.097459}
{' No': -0.26526237, ' Yes': -1.4971616, 'No': -5.0392528, 'Yes': -6.3333964, ' ': -7.2555456}
{' No': -0.03536746, ' Yes': -3.9647632, 'No': -4.202352, ' ': -7.7552443, 'Yes': -8.104969}
{' No': -0.018346902, ' Yes': -4.2065525, 'No': -5.772012, ' ': -9.5045805, 'Yes': -9.791352}
{' No': -0.016269745, ' Yes': -4.5766487, 'No': -5.207752, ' ': -8.359516, 'Yes': -9.552262}
{' No': -0.048646025, ' Yes': -3.2777379, 'No': -4.8024683, ' ': -6.914271, 'Yes': -8.013318}
{' No': -0.026236096, 'No': -4.222866, ' Yes': -4.553463, ' ': -7.7265363, 'Yes': -8.710394}
{' No': -0.51554847, ' Yes': -0.9424036, 'No': -5.1543407, 'Yes': -5.9075007, ' ': -6.156547}
{' No': -0.025836553, 'No': -4.388141, ' Yes': -4.5221286, ' ': -6.8123255, '\n': -7.5052443}
{' Yes': -0.11773243, ' No': -2.215379, 'Yes': -6.5813107, ' ': -8.420379, 'No': -8.454408}
{' No': -0.37485695, ' Yes': -1.1723709, 'No': -6.366323, 'Yes': -7.240333, ' ': -7.791963}
{' No': -0.2887735, ' Yes': -1.4174947, 'No': -5.046546, 'Yes': -6.5626187, ' ': -7.512667}
{' No': -0.03930341, ' Yes': -3.52241, 'No': -4.7976995, ' ': -7.717932, 'Yes': -8.250933}
{' No': -0.36630982, ' Yes': -1.2068212, 'No': -5.421615, 'Yes': -6.3497787, ' ': -6.848186}
{' No': -0.033050314, ' Yes': -3.999254, 'No': -4.3571754, ' ': -7.1817946, '\n': -8.040126}
{' No': -0.032518845, ' Yes': -3.4918234, 'No': -6.6627445, ' ': -8.494495, 'Yes': -9.951637}
{' No': -0.05394616, ' Yes': -3.0063841, 'No': -6.0172753, ' ': -7.782265, 'Yes': -8.817057}
{' No': -0.27938136, ' Yes': -1.4806602, 'No': -4.679669, ' ': -5.6321225, 'Yes': -6.1174283}
{' No': -0.027151411, ' Yes': -4.1122494, 'No': -4.675665, ' ': -7.280962, '\n': -8.410351}
{' Yes': -0.09203061, ' No': -2.4691422, 'Yes': -6.1321306, ' ': -7.697123, 'No': -7.9636884}
{' No': -0.023071121, ' Yes': -4.0828533, 'No': -5.263393, ' ': -7.5370345, '\n': -8.950487}
{' Yes': -0.0049237404, 'Yes': -5.3435946, ' yes': -9.667039, ' No': -9.950314, ' ': -11.331371}
{' Yes': -0.0075854743, 'Yes': -4.896934, ' yes': -9.72564, ' YES': -11.2490015, ' ': -11.565365}
{' Yes': -0.018841676, 'Yes': -4.002927, ' yes': -8.306575, ' No': -9.495552, ' ': -10.240187}
{' Yes': -0.023879996, 'Yes': -3.759668, ' yes': -8.43816, ' YES': -10.366257, ' ': -10.552783}
{' Yes': -0.019178161, 'Yes': -3.9778497, ' yes': -8.735474, ' No': -10.0610075, ' YES': -10.429233}
{' Yes': -0.028425382, 'Yes': -3.586813, ' yes': -8.436432, ' YES': -9.615662, ' ': -10.296501}
{' Yes': -0.0078491485, 'Yes': -4.9042535, ' No': -8.484198, ' yes': -8.911356, ' ': -10.401654}
{' Yes': -0.008287726, 'Yes': -4.8105526, ' yes': -9.589157, ' YES': -10.957176, ' ': -11.124074}
{' Yes': -0.021516338, 'Yes': -3.8626626, ' yes': -8.745297, ' ': -9.900653, ' No': -10.461068}
{' Yes': -0.029030269, 'Yes': -3.5624049, ' yes': -8.807117, ' ': -10.266445, ' YES': -10.267614}
{' Yes': -0.012159026, 'Yes': -4.4628024, ' yes': -7.7725515, ' ': -9.623931, ' YES': -10.3277235}
{' Yes': -0.019166434, 'Yes': -4.0068965, ' yes': -7.4465322, ' YES': -9.2153635, ' ': -9.494601}
{' Yes': -0.0017138022, 'Yes': -6.8855534, ' No': -7.4823995, ' yes': -9.212047, ' ': -11.146644}
{' Yes': -0.0017606757, 'Yes': -6.4106846, ' yes': -9.486309, ' ': -10.899597, ' YES': -11.624507}
{' Yes': -0.0065594837, 'Yes': -5.2380295, ' No': -6.934068, ' yes': -8.679815, ' ': -10.002445}
{' Yes': -0.009645356, 'Yes': -4.671213, ' yes': -8.781757, ' ': -10.279551, ' YES': -10.537893}
{' Yes': -0.008118559, 'Yes': -5.0914946, ' No': -6.484745, ' yes': -8.698073, ' ': -8.797115}
{' Yes': -0.010182389, 'Yes': -4.6249795, ' yes': -8.889032, ' ': -9.372193, '\n': -10.027774}
{' Yes': -0.0019283561, 'Yes': -6.6092963, ' No': -7.6228714, ' yes': -9.6206455, ' ': -11.306561}
{' Yes': -0.0022307618, 'Yes': -6.151175, ' yes': -9.622662, ' YES': -11.248454, ' ': -11.379617}
{' Yes': -0.023091434, ' No': -4.4302816, 'Yes': -4.7014856, ' ': -6.747519, '\n': -8.23495}
{' Yes': -0.012141471, 'Yes': -4.458867, ' ': -8.488311, ' yes': -8.738635, '\n': -9.686423}
{' Yes': -0.005428699, 'Yes': -5.4666085, ' No': -7.593778, ' yes': -7.882145, ' ': -8.827553}
{' Yes': -0.008133342, 'Yes': -4.9003143, ' yes': -7.7078304, ' ': -9.3967905, '\n': -9.743844}
{' Yes': -0.017695472, 'Yes': -4.1052256, ' yes': -7.091744, ' No': -9.215596, ' ': -10.069737}
{' Yes': -0.028788477, 'Yes': -3.6284091, ' yes': -6.455122, ' YES': -9.12854, 'yes': -9.550393}
{' Yes': -0.037658133, 'Yes': -3.3102617, ' yes': -8.115785, ' No': -9.50516, 'yes': -10.319179}
{' Yes': -0.04770498, 'Yes': -3.0848274, ' yes': -7.2875743, 'yes': -9.290144, ' YES': -9.908667}
{' Yes': -0.07009981, 'Yes': -2.7100935, ' yes': -7.198384, ' ': -9.036393, ' YES': -9.246499}
{' Yes': -0.09496208, 'Yes': -2.4172564, ' yes': -6.9018774, ' YES': -8.88702, 'yes': -8.894563}
{' Yes': -0.011955723, 'Yes': -4.6232305, ' No': -6.4247518, ' yes': -7.9948425, ' ': -10.13443}
{' Yes': -0.011464643, 'Yes': -4.5191665, ' yes': -7.7496867, ' YES': -10.468007, 'yes': -10.883689}
{' Yes': -0.041922662, 'Yes': -3.2036731, ' yes': -8.225341, ' ': -9.402949, 'yes': -10.295932}
{' Yes': -0.068417236, 'Yes': -2.7285504, ' yes': -7.4901924, 'yes': -9.381764, ' ': -9.415646}
{' Yes': -0.03197807, 'Yes': -3.508899, ' yes': -6.605115, 'yes': -9.619351, ' ': -9.740779}
{' Yes': -0.05893501, 'Yes': -2.968559, ' yes': -5.2548695, 'yes': -8.146932, ' YES': -8.514631}
{' Yes': -0.0036059876, 'Yes': -6.161042, ' yes': -7.134202, ' No': -7.5447435, ' ': -9.036654}
{' Yes': -0.003145475, 'Yes': -6.007206, ' yes': -7.4281254, ' ': -9.98107, ' YES': -10.8790455}
{' Yes': -0.0109019745, 'Yes': -4.6540275, ' yes': -7.42477, ' No': -7.530425, ' ': -9.038032}
{' Yes': -0.016727852, 'Yes': -4.1657586, ' yes': -7.0332885, ' ': -9.452484, ' YES': -9.911514}
{' Yes': -0.009002756, 'Yes': -4.990282, ' No': -6.496935, ' ': -8.096039, ' yes': -8.348845}
{' Yes': -0.013519154, 'Yes': -4.347133, ' yes': -8.177926, ' ': -9.101394, ' YES': -10.391889}
{' Yes': -0.0033825224, 'Yes': -5.8963175, ' yes': -7.668343, ' No': -9.425614, ' ': -9.952634}
{' Yes': -0.0073417877, 'Yes': -5.039038, ' yes': -7.252575, ' ': -9.851683, ' YES': -10.420279}
{' Yes': -0.010394065, 'Yes': -4.910727, ' No': -6.3849373, ' ': -7.1302476, ' yes': -8.113511}
{' Yes': -0.01446759, 'Yes': -4.2940598, ' yes': -7.789831, ' ': -8.571703, '\n': -10.169746}
{' Yes': -0.011572328, 'Yes': -4.937935, ' yes': -5.668049, ' ': -7.9844193, '\n': -8.287567}
{' Yes': -0.02125529, 'Yes': -4.1630034, ' yes': -5.360225, ' ': -8.165036, '\n': -8.436337}
{' Yes': -0.0022593795, 'Yes': -6.447829, ' No': -7.7666974, ' yes': -9.119675, ' ': -9.215947}
{' Yes': -0.0031212587, 'Yes': -5.845257, ' yes': -9.21417, ' ': -9.596331, '\n': -10.481558}
{' Yes': -0.007764583, 'Yes': -4.984594, ' No': -7.504358, ' yes': -8.754737, ' ': -8.888819}
{' Yes': -0.010750918, 'Yes': -4.5730124, ' yes': -8.743087, ' ': -9.07667, '\n': -10.423554}
{' Yes': -0.01526161, ' No': -4.735125, 'Yes': -5.230082, ' ': -7.372557, '\n': -8.5993595}
{' Yes': -0.012430084, 'Yes': -4.4498687, ' ': -8.3980665, '\n': -8.639117, ' No': -8.909017}
{' Yes': -0.0022792714, 'Yes': -6.678482, ' No': -7.1608806, ' ': -8.945442, ' yes': -9.328039}
{' Yes': -0.002665274, 'Yes': -6.011019, ' yes': -9.229197, ' ': -9.520593, ' YES': -10.933065}
{' Yes': -0.023572749, ' No': -4.579635, 'Yes': -4.6746783, ' ': -5.9800696, '\n': -7.101478}
{' Yes': -0.010094599, 'Yes': -4.6725087, ' ': -7.92413, '\n': -9.056858, ' yes': -9.210609}
{' Yes': -0.0031048162, 'Yes': -5.919444, ' yes': -8.856432, ' No': -9.029365, ' ': -9.146972}
{' Yes': -0.0053226906, 'Yes': -5.298913, ' yes': -8.792256, ' ': -9.292153, '\n': -10.36881}
