{' No': -7.8954477, ' ': -11.721575, ' Yes': -0.0019776858, ' yes': -10.208998, 'Yes': -6.4668174}
{' No': -11.167719, ' ': -11.972602, ' Yes': -0.0023026916, ' yes': -10.178564, 'Yes': -6.1020646}
{' No': -9.710745, ' ': -10.710196, ' Yes': -0.01136824, ' yes': -9.564203, 'Yes': -4.4974904}
{' No': -9.182028, ' ': -10.236528, ' Yes': -0.0062369932, ' yes': -8.657911, 'Yes': -5.1341457}
{' YES': -12.693928, ' ': -11.097146, ' Yes': -0.0007845383, ' yes': -9.100487, 'Yes': -7.336714}
{' ': -10.282371, ' Yes': -0.0046100384, ' yes': -8.982544, 'Yes': -5.420992, 'yes': -12.099735}
{' No': -11.672103, ' ': -9.895628, ' Yes': -0.005107828, ' yes': -8.960494, 'Yes': -5.319916}
{' No': -12.959486, ' ': -11.295336, ' Yes': -0.0010176222, ' yes': -9.514016, 'Yes': -6.986645}
{'\n': -11.11925, ' ': -8.927484, ' Yes': -0.0055827284, ' yes': -9.114736, 'Yes': -5.2417827}
{' ': -9.570736, ' Yes': -0.004427357, ' yes': -7.6480308, 'Yes': -5.5661106, 'yes': -11.011876}
{' No': -8.239406, ' ': -10.434777, ' Yes': -0.010493626, ' yes': -7.7377543, 'Yes': -4.6390047}
{' No': -10.940468, ' Yes': -0.013380511, ' yes': -9.441357, 'Yes': -4.328959, 'yes': -11.778069}
{' ': -10.815752, ' Yes': -0.016031144, ' yes': -8.035396, 'Yes': -4.165134, 'yes': -10.842216}
{' No': -10.633816, ' Yes': -0.0057725715, ' yes': -8.346699, 'Yes': -5.2077837, 'yes': -11.655378}
{' ': -10.6736355, ' Yes': -0.023544127, ' yes': -8.0714245, 'Yes': -3.7771394, 'yes': -10.254317}
{' ': -10.040132, ' Yes': -0.017755896, ' yes': -6.760729, 'Yes': -4.114733, 'yes': -10.006509}
{' ': -9.693385, ' Yes': -0.0024681306, ' yes': -6.840575, 'Yes': -6.637059, 'yes': -11.381345}
{' ': -9.433003, ' Yes': -0.009442624, ' yes': -7.077229, 'Yes': -4.777217, 'yes': -10.218303}
{' ': -9.045209, ' Yes': -0.008066882, ' yes': -7.8759537, 'Yes': -4.8925443, 'yes': -11.116892}
{' No': -10.051789, ' ': -8.840434, ' Yes': -0.0043751546, ' yes': -6.9848685, 'Yes': -5.742685}
{'\n': -9.543372, ' ': -8.231556, ' Yes': -0.009658778, ' yes': -7.5540366, 'Yes': -4.7431602}
{' ': -8.101163, ' Yes': -0.011983773, ' yes': -5.4653945, 'Yes': -4.9356627, 'yes': -9.296966}
{'\n': -12.375916, ' ': -10.552454, ' Yes': -0.0006350028, ' yes': -9.718158, 'Yes': -7.5272193}
{' No': -11.9363785, ' ': -9.978597, ' Yes': -0.003323255, ' yes': -9.4231, 'Yes': -5.7525334}
{'\n': -10.68535, ' ': -8.927593, ' Yes': -0.0047304644, ' yes': -9.382851, 'Yes': -5.4146404}
{' No': -9.924808, ' ': -10.015351, ' Yes': -0.0008271887, ' yes': -9.728728, 'Yes': -7.311004}
{'\n': -10.261893, ' ': -8.393321, ' Yes': -0.005671502, ' yes': -9.463959, 'Yes': -5.243245}
{'\n': -11.485603, ' ': -9.7498455, ' Yes': -0.0015051487, ' yes': -9.105436, 'Yes': -6.631354}
{' No': -0.005972764, ' ': -10.483636, 'No': -5.128941, ' no': -13.482117, ' NO': -13.672837}
{' No': -0.023201475, ' ': -10.126629, 'No': -3.7772565, ' no': -12.772636, ' NO': -12.438564}
{' No': -0.038469315, ' ': -9.306549, 'No': -3.279749, ' no': -12.988262, ' NO': -12.427486}
{' No': -0.0066661043, ' ': -10.962587, 'No': -5.0171447, ' no': -13.560284, ' NO': -13.909999}
{' No': -0.027846113, ' ': -9.5703535, 'No': -3.5979393, ' no': -12.79295, ' NO': -12.848785}
{' No': -0.024026088, ' ': -8.847436, 'No': -3.747863, ' no': -11.580835, ' NO': -12.534503}
{' No': -0.0012948075, '\n': -12.8494215, ' ': -10.055232, 'No': -6.6904554, ' no': -12.6231575}
{' No': -0.007854137, '\n': -12.052449, ' ': -9.083737, 'No': -4.867185, ' no': -12.633363}
{' No': -0.0074719107, '\n': -10.926886, ' ': -8.967846, 'No': -4.9214025, ' no': -12.762213}
{' No': -0.0017785287, '\n': -13.023062, ' ': -10.120156, 'No': -6.359156, ' no': -13.30026}
{' No': -0.0072708786, '\n': -10.372618, ' ': -8.339918, 'No': -4.9670887, ' no': -12.522458}
{' No': -0.008226185, '\n': -9.884522, ' ': -8.456513, 'No': -4.840795, ' no': -11.017784}
{' No': -0.031364348, ' ': -9.257404, 'No': -3.4828296, ' no': -10.179079, ' NO': -11.694352}
{' No': -0.020449497, ' ': -11.093717, 'No': -3.901063, 'no': -13.606315, ' no': -12.6866}
{' No': -0.050015274, '\n': -11.668758, ' ': -9.03039, 'No': -3.0236745, ' no': -11.202399}
{' No': -0.010888175, ' ': -10.359557, 'No': -4.5298414, ' no': -11.625174, ' NO': -12.826989}
{' No': -0.056249894, ' ': -8.78599, 'No': -2.9095895, 'no': -11.663168, ' no': -10.985894}
{' No': -0.056593966, ' x': -9.85624, ' ': -8.24577, 'No': -2.9089158, ' no': -9.367767}
{' No': -0.002464187, '\n': -10.955817, ' ': -8.299899, 'No': -6.1430864, ' no': -10.161831}
{' No': -0.016499802, '\n': -11.223311, ' ': -8.036822, 'No': -4.1357946, ' no': -10.665894}
{' No': -0.018116051, '\n': -9.648161, ' ': -7.717882, 'No': -4.0502815, ' no': -11.366225}
{' No': -0.0061982465, '\n': -11.106541, ' ': -8.173747, 'No': -5.1449327, ' no': -10.122464}
{' No': -0.013069582, '\n': -8.8956585, ' ': -7.5675774, 'No': -4.3981476, ' no': -10.954702}
{' No': -0.014901033, '\n': -8.660324, ' ': -7.442642, 'No': -4.282599, ' no': -8.553801}
{' No': -0.0011026489, '\n': -11.671165, ' ': -9.360748, 'No': -6.9038506, ' no': -13.382576}
{' No': -0.005054449, '\n': -12.117439, ' ': -8.900946, 'No': -5.3197265, ' NO': -13.102495}
{' No': -0.0071521862, '\n': -9.840655, ' ': -8.31153, 'No': -4.9881034, ' no': -12.8893}
{' No': -0.0016949982, '\n': -12.173413, ' ': -9.072341, 'No': -6.4581294, ' NO': -12.993586}
{' No': -0.00751761, '\n': -9.906092, ' ': -8.058668, 'No': -4.945662, ' no': -12.864817}
{' No': -0.0028568974, '\n': -11.472027, ' ': -8.79143, 'No': -5.9210596, ' no': -12.25461}
{' No': -0.004726991, ' ': -11.14991, 'No': -5.367935, ' Yes': -10.253302, ' no': -14.132451}
{' No': -0.021961441, ' ': -9.978073, 'No': -3.8343735, ' Yes': -9.884551, ' NO': -12.558829}
{' No': -0.038450293, ' ': -9.334329, 'No': -3.281532, ' Yes': -9.973817, ' NO': -12.204191}
{' No': -0.008237123, ' ': -11.035625, 'No': -4.808896, ' Yes': -10.534362, ' NO': -13.530952}
{' No': -0.030818105, ' ': -9.772552, 'No': -3.521705, ' Yes': -7.2434263, 'Yes': -11.12539}
{' No': -0.024864823, ' ': -8.877199, 'No': -4.0215406, ' Yes': -5.0532136, 'Yes': -9.7036495}
{' No': -0.0014034958, ' ': -10.01073, 'No': -7.158544, ' Yes': -7.46866, ' no': -12.715106}
{' No': -0.008276967, ' ': -9.4323015, 'No': -5.0450125, ' Yes': -6.3776994, 'Yes': -11.290057}
{' No': -0.014921241, ' ': -8.494829, 'No': -5.2023697, ' Yes': -4.7100143, 'Yes': -9.760169}
{' No': -0.001711175, '\n': -13.04811, ' ': -10.046587, 'No': -6.541229, ' Yes': -8.429062}
{' No': -0.012623164, '\n': -9.830532, ' ': -8.136866, 'No': -4.7042313, ' Yes': -5.7758107}
{' No': -0.0139316395, '\n': -9.454618, ' ': -8.147547, 'No': -4.8687673, ' Yes': -5.164711}
{' No': -0.013559877, ' ': -9.768982, 'No': -4.3656583, ' Yes': -7.322161, ' no': -10.732411}
{' No': -0.014503755, ' ': -11.082056, 'No': -4.257942, ' Yes': -8.412374, ' no': -12.58725}
{' No': -0.02308259, ' ': -9.584939, 'No': -3.9692607, ' Yes': -5.5816813, 'Yes': -9.553655}
{' No': -0.011690161, ' ': -10.396555, 'No': -4.925934, ' Yes': -5.451763, 'Yes': -10.330874}
{' No': -0.18771572, ' ': -8.564066, 'No': -3.3872354, ' Yes': -2.0081825, 'Yes': -5.8694286}
{' No': -0.13194966, ' ': -8.2764, 'No': -3.460166, ' Yes': -2.4039147, 'Yes': -6.669069}
{' No': -0.0023065156, ' ': -8.489928, 'No': -6.5697103, ' Yes': -7.3739514, ' no': -9.917606}
{' No': -0.00907006, ' ': -8.565725, 'No': -4.780764, ' Yes': -7.792172, ' no': -10.804011}
{' No': -0.0123561565, '\n': -10.128933, ' ': -7.761339, 'No': -4.652174, ' Yes': -6.1049385}
{' No': -0.004058569, ' ': -8.571313, 'No': -5.599143, ' Yes': -8.999671, ' no': -10.872035}
{' No': -0.00884549, '\n': -9.381188, ' ': -8.006976, 'No': -4.8016577, ' Yes': -8.754077}
{' No': -0.011847209, ' ': -7.1701283, 'No': -4.6024766, ' Yes': -7.5194783, ' no': -8.290649}
{' No': -0.0011555213, '\n': -11.30946, ' ': -9.250104, 'No': -7.2694283, ' Yes': -7.9705977}
{' No': -0.005813221, '\n': -11.867668, ' ': -8.936965, 'No': -5.240928, ' Yes': -7.9447722}
{' No': -0.009700365, '\n': -8.991675, ' ': -7.762552, 'No': -5.001092, ' Yes': -6.0555696}
{' No': -0.0014126861, '\n': -12.09365, ' ': -9.064492, 'No': -6.761846, ' Yes': -8.956643}
{' No': -0.019614628, '\n': -8.196633, ' ': -7.2250185, 'No': -4.605497, ' Yes': -4.789329}
{' No': -0.003584392, '\n': -10.662439, ' ': -8.447008, 'No': -6.3179116, ' Yes': -6.483839}
{' YES': -12.386311, ' ': -12.356166, ' Yes': -0.004387007, ' yes': -10.065311, 'Yes': -5.4436646}
{' YES': -11.20307, ' ': -11.3447275, ' Yes': -0.015531751, ' yes': -9.096512, 'Yes': -4.182415}
{' YES': -10.922464, ' Yes': -0.021117212, ' yes': -9.044464, 'Yes': -3.8761375, 'yes': -11.17258}
{' YES': -12.204329, ' ': -12.448661, ' Yes': -0.006649123, ' yes': -10.001823, 'Yes': -5.0252953}
{' ': -11.507773, ' Yes': -0.016525496, ' yes': -9.452095, 'Yes': -4.117834, 'yes': -11.228566}
{' ': -10.787298, ' Yes': -0.008516615, ' yes': -8.507284, 'Yes': -4.7989826, 'yes': -11.634519}
{' YES': -12.073974, ' ': -11.552629, ' Yes': -0.00105915, ' yes': -9.29656, 'Yes': -6.961247}
{' YES': -11.612152, ' ': -10.593453, ' Yes': -0.0074799554, ' yes': -9.082196, 'Yes': -4.92094}
{'\n': -10.924145, ' ': -10.11524, ' Yes': -0.005391243, ' yes': -9.082678, 'Yes': -5.261363}
{' YES': -12.2034, ' ': -11.631419, ' Yes': -0.001513865, ' yes': -9.796813, 'Yes': -6.543237}
{'\n': -10.079405, ' ': -9.279291, ' Yes': -0.0090617, ' yes': -9.316919, 'Yes': -4.7358418}
{'\n': -9.987473, ' ': -9.3891735, ' Yes': -0.009059954, ' yes': -7.6042933, 'Yes': -4.7867393}
{' ': -11.163764, ' Yes': -0.01018642, ' yes': -7.7706, 'Yes': -4.639884, 'yes': -10.655308}
{' YES': -12.656457, ' Yes': -0.013713291, ' yes': -9.317855, 'Yes': -4.3040957, 'yes': -11.34006}
{' YES': -10.98869, ' Yes': -0.01711425, ' yes': -7.834007, 'Yes': -4.1040525, 'yes': -10.346538}
{' YES': -11.677424, ' Yes': -0.009413199, ' yes': -8.42093, 'Yes': -4.6975923, 'yes': -11.010847}
{' ': -11.039309, ' Yes': -0.018994624, ' yes': -8.484878, 'Yes': -3.9872105, 'yes': -10.359036}
{' ': -10.426512, ' Yes': -0.018384723, ' yes': -6.8051577, 'Yes': -4.0751343, 'yes': -9.672731}
{' ': -10.115299, ' Yes': -0.0035239158, ' yes': -6.9567556, 'Yes': -5.9956594, 'yes': -10.992355}
{' ': -9.477278, ' Yes': -0.012282535, ' yes': -7.034301, 'Yes': -4.4939623, 'yes': -9.9402685}
{'\n': -10.508417, ' ': -9.326883, ' Yes': -0.010399247, ' yes': -8.099405, 'Yes': -4.61607}
{' ': -10.067383, ' Yes': -0.006315746, ' yes': -7.247217, 'Yes': -5.2065067, 'yes': -10.176476}
{'\n': -9.463122, ' ': -8.868721, ' Yes': -0.014258075, ' yes': -8.459751, 'Yes': -4.2916703}
{'\n': -8.754688, ' ': -8.38495, ' Yes': -0.0179832, ' yes': -5.311053, 'Yes': -4.3970594}
{'\n': -11.696699, ' ': -10.636011, ' Yes': -0.0010704888, ' yes': -9.597593, 'Yes': -6.9470315}
{'\n': -11.644215, ' ': -9.957444, ' Yes': -0.0059065092, ' yes': -9.437701, 'Yes': -5.160503}
{'\n': -9.7341385, ' ': -9.491489, ' Yes': -0.006368709, ' yes': -9.542988, 'Yes': -5.0949287}
{' YES': -12.108882, ' ': -10.640588, ' Yes': -0.0013060874, ' yes': -9.819406, 'Yes': -6.7115946}
{'\n': -9.616649, ' ': -8.848043, ' Yes': -0.010068887, ' yes': -9.5406685, 'Yes': -4.633537}
{'\n': -11.425357, ' ': -10.504276, ' Yes': -0.0021792112, ' yes': -9.466211, 'Yes': -6.1867847}
{' No': -11.453815, ' ': -12.213036, ' Yes': -0.0019475872, ' yes': -10.137697, 'Yes': -6.272665}
{' No': -10.819174, ' ': -10.72958, ' Yes': -0.011087887, ' yes': -9.1457615, 'Yes': -4.5224743}
{' No': -10.9528055, ' ': -10.232076, ' Yes': -0.018951131, ' yes': -9.028892, 'Yes': -3.985849}
{' No': -12.122261, ' ': -12.137276, ' Yes': -0.0031016485, ' yes': -10.024197, 'Yes': -5.7966766}
{' No': -9.360113, ' ': -10.322599, ' Yes': -0.0128544355, ' yes': -9.558159, 'Yes': -4.376822}
{' No': -11.3207, ' ': -10.294515, ' Yes': -0.0065066866, ' yes': -8.541289, 'Yes': -5.0783715}
{' YES': -12.608616, ' ': -11.076896, ' Yes': -0.00084455, ' yes': -9.103457, 'Yes': -7.24907}
{' ': -10.26907, ' Yes': -0.005110164, ' yes': -9.047226, 'Yes': -5.3126335, 'yes': -12.064535}
{' No': -11.8608265, ' ': -9.976322, ' Yes': -0.0049690255, ' yes': -9.081743, 'Yes': -5.3445573}
{' YES': -12.688475, ' ': -11.297142, ' Yes': -0.0010726355, ' yes': -9.669733, 'Yes': -6.9175305}
{'\n': -11.139984, ' ': -8.916284, ' Yes': -0.0055459277, ' yes': -9.25998, 'Yes': -5.245391}
{' ': -9.330582, ' Yes': -0.005585066, ' yes': -7.527633, 'Yes': -5.321894, 'yes': -10.753048}
{' No': -9.093587, ' ': -10.407292, ' Yes': -0.010096043, ' yes': -7.6835866, 'Yes': -4.6667314}
{' No': -12.056502, ' Yes': -0.0127783045, ' yes': -9.511513, 'Yes': -4.373681, 'yes': -11.918377}
{' ': -10.444921, ' Yes': -0.01724917, ' yes': -8.043401, 'Yes': -4.0915403, 'yes': -10.678903}
{' ': -11.342178, ' Yes': -0.0059250956, ' yes': -8.35803, 'Yes': -5.1784177, 'yes': -11.571718}
{' ': -10.463236, ' Yes': -0.024571257, ' yes': -7.9625225, 'Yes': -3.7362714, 'yes': -10.164497}
{' ': -9.910363, ' Yes': -0.01913302, ' yes': -6.7299123, 'Yes': -4.038695, 'yes': -9.746989}
{' ': -9.804189, ' Yes': -0.0024194962, ' yes': -6.976563, 'Yes': -6.5670385, 'yes': -11.391223}
{' ': -9.401368, ' Yes': -0.010541756, ' yes': -7.2048316, 'Yes': -4.645328, 'yes': -10.1804495}
{' ': -8.869201, ' Yes': -0.00951525, ' yes': -8.038178, 'Yes': -4.714189, 'yes': -11.058705}
{' ': -8.923097, ' Yes': -0.0043020598, ' yes': -7.023904, 'Yes': -5.7427263, 'yes': -10.524777}
{'\n': -9.523699, ' ': -8.079878, ' Yes': -0.010187806, ' yes': -7.5424805, 'Yes': -4.690449}
{' ': -7.721905, ' Yes': -0.017394295, ' yes': -5.0070105, 'Yes': -4.627433, 'yes': -8.755408}
{'\n': -12.76611, ' ': -10.663783, ' Yes': -0.0006434713, ' yes': -9.867853, 'Yes': -7.4867578}
{' YES': -12.303324, ' ': -10.026581, ' Yes': -0.003981249, ' yes': -9.427168, 'Yes': -5.563717}
{'\n': -10.336696, ' ': -8.942344, ' Yes': -0.005265523, ' yes': -9.382466, 'Yes': -5.3013678}
{' No': -10.327083, ' ': -9.825725, ' Yes': -0.0009899978, ' yes': -9.726748, 'Yes': -7.0865855}
{'\n': -10.079134, ' ': -8.25765, ' Yes': -0.005872756, ' yes': -9.538429, 'Yes': -5.2105975}
{'\n': -11.380459, ' ': -9.6737175, ' Yes': -0.0016884304, ' yes': -8.977721, 'Yes': -6.5163693}
{' No': -0.00648989, ' ': -10.314646, 'No': -5.0466433, ' no': -13.407463, ' NO': -13.483791}
{' No': -0.03061239, ' ': -9.896119, 'No': -3.5036616, ' no': -12.773361, ' NO': -12.171582}
{' No': -0.0399394, ' ': -8.929567, 'No': -3.2440786, ' no': -12.966967, ' NO': -11.888765}
{' No': -0.008024762, ' ': -10.757788, 'No': -4.832335, ' no': -13.599368, ' NO': -13.572587}
{' No': -0.028745597, ' ': -9.318849, 'No': -3.567232, ' no': -12.893131, ' NO': -12.680476}
{' No': -0.02274308, ' ': -8.6599455, 'No': -3.8041093, ' no': -11.522029, ' NO': -12.203651}
{' No': -0.0014397867, '\n': -12.89325, ' ': -9.687974, 'No': -6.594766, ' no': -12.528379}
{' No': -0.008326791, '\n': -12.010198, ' ': -8.911786, 'No': -4.810796, ' no': -12.669329}
{' No': -0.007576525, '\n': -10.857742, ' ': -8.904926, 'No': -4.9086137, ' no': -12.741207}
{' No': -0.0019020184, '\n': -12.765748, ' ': -9.858227, 'No': -6.2975564, ' NO': -13.166084}
{' No': -0.00821765, '\n': -10.123501, ' ': -8.128666, 'No': -4.8489466, ' NO': -12.705351}
{' No': -0.009292992, '\n': -9.862176, ' ': -8.391069, 'No': -4.7173333, ' no': -10.931279}
{' No': -0.027500568, ' ': -9.15286, 'No': -3.6136038, ' no': -10.182635, ' NO': -11.558302}
{' No': -0.020993276, ' ': -11.006925, 'No': -3.875104, 'no': -13.721056, ' no': -12.839525}
{' No': -0.06101856, '\n': -11.698696, ' ': -8.857811, 'No': -2.830048, ' no': -11.408085}
{' No': -0.012327192, ' ': -10.147369, 'No': -4.4068127, ' no': -11.523326, ' NO': -12.449802}
{' No': -0.06286568, ' ': -8.565602, 'No': -2.8020413, 'no': -11.6423, ' no': -11.042296}
{' No': -0.057874188, ' x': -9.80695, ' ': -7.99402, 'No': -2.888969, ' no': -9.277662}
{' No': -0.002496455, '\n': -11.097463, ' ': -8.266236, 'No': -6.1290236, ' no': -10.310592}
{' No': -0.017196171, '\n': -11.311946, ' ': -7.9375453, 'No': -4.095784, ' no': -10.749313}
{' No': -0.018893365, '\n': -9.4879465, ' ': -7.621852, 'No': -4.0104766, ' no': -11.560224}
{' No': -0.0065354863, '\n': -10.806939, ' ': -8.076824, 'No': -5.094525, ' no': -10.179347}
{' No': -0.018380048, '\n': -8.825688, ' ': -7.328789, 'No': -4.052903, ' no': -10.847654}
{' No': -0.01834751, '\n': -8.37281, ' ': -7.1437936, 'No': -4.085345, ' no': -8.130124}
{' No': -0.0012779183, '\n': -12.003818, ' ': -9.386837, 'No': -6.740242, ' no': -13.032415}
{' No': -0.0059807994, '\n': -11.957478, ' ': -8.721421, 'No': -5.1520853, ' NO': -12.9930525}
{' No': -0.008487519, '\n': -9.447597, ' ': -8.082717, 'No': -4.821792, ' NO': -12.67022}
{' No': -0.0020108917, '\n': -11.927825, ' ': -8.880575, 'No': -6.289458, ' NO': -12.618386}
{' No': -0.008006796, '\n': -9.949925, ' ': -7.901981, 'No': -4.886558, ' NO': -12.795337}
{' No': -0.0034002261, '\n': -11.133213, ' ': -8.581031, 'No': -5.7502527, ' no': -12.085773}
{' No': -0.006074166, ' ': -10.934701, 'No': -5.224559, ' Yes': -7.341088, 'Yes': -12.4584}
{' No': -0.03188386, ' ': -9.740401, 'No': -3.479998, ' Yes': -7.6255517, 'Yes': -11.220644}
{' No': -0.039647598, ' ': -9.381356, 'No': -3.2616606, ' Yes': -7.741004, 'Yes': -11.106029}
{' No': -0.009076132, ' ': -11.0418825, 'No': -4.751384, ' Yes': -7.895455, 'Yes': -12.484931}
{' No': -0.037457187, ' ': -9.56769, 'No': -3.3573573, ' Yes': -6.315274, 'Yes': -10.024656}
{' No': -0.04300559, ' ': -8.879305, 'No': -3.9055104, ' Yes': -3.83725, 'Yes': -8.367382}
{' No': -0.10269237, ' ': -9.023447, 'No': -7.211846, ' Yes': -2.3371723, 'Yes': -9.189811}
{' No': -0.07145289, ' ': -8.777735, 'No': -5.237678, ' Yes': -2.7630343, 'Yes': -7.911718}
{' No': -0.5369403, ' ': -7.22621, 'No': -5.5366926, ' Yes': -0.8971222, 'Yes': -5.877417}
{' No': -0.0088034, ' ': -9.51673, 'No': -6.4985185, ' Yes': -4.9387903, 'Yes': -11.137676}
{' No': -0.0653544, ' ': -7.2870183, 'No': -4.8595495, ' Yes': -2.91479, 'Yes': -7.6813645}
{' No': -0.37975466, ' ': -7.2147245, 'No': -5.1651034, ' Yes': -1.1807152, 'Yes': -6.215574}
{' No': -0.021321109, ' ': -9.3839, 'No': -4.105988, ' Yes': -5.4208155, 'Yes': -9.714449}
{' No': -0.021841297, ' ': -11.10129, 'No': -3.8928473, ' Yes': -6.749778, 'Yes': -10.639635}
{' No': -0.087965086, ' ': -9.085812, 'No': -3.9253786, ' Yes': -2.7629814, 'Yes': -6.73043}
{' No': -0.098930985, ' ': -10.061577, 'No': -4.889891, ' Yes': -2.4540374, 'Yes': -7.348679}
{' No': -0.992249, ' ': -8.286726, 'No': -3.952332, ' Yes': -0.5207161, 'Yes': -4.175568}
{' No': -0.50824684, 'No': -3.881696, ' Yes': -0.9911455, ' yes': -7.4342623, 'Yes': -5.1758013}
{' No': -0.023236552, ' ': -8.027988, 'No': -6.5270376, ' Yes': -3.861516, 'Yes': -10.026542}
{' No': -0.049763836, ' ': -7.834658, 'No': -4.5863314, ' Yes': -3.2834332, 'Yes': -7.87126}
{' No': -0.1150251, ' ': -6.8421426, 'No': -4.6473737, ' Yes': -2.3364167, 'Yes': -6.771204}
{' No': -0.006544604, ' ': -8.450222, 'No': -5.5620804, ' Yes': -6.025984, ' no': -10.805168}
{' No': -0.02540281, ' ': -7.378868, 'No': -4.4955297, ' Yes': -4.3457475, 'Yes': -8.655174}
{' No': -0.081269085, ' ': -6.3176413, 'No': -4.4245157, ' Yes': -2.7713497, 'Yes': -7.346613}
{' No': -0.02091421, '\n': -10.3065605, ' ': -8.558394, 'No': -7.151602, ' Yes': -3.929325}
{' No': -0.013116143, ' ': -8.768855, 'No': -5.373517, ' Yes': -4.8067102, 'Yes': -10.007397}
{' No': -0.09691289, ' ': -6.988062, 'No': -5.166025, ' Yes': -2.4680943, 'Yes': -7.409352}
{' No': -0.002837888, '\n': -11.764581, ' ': -8.841888, 'No': -6.677637, ' Yes': -6.560735}
{' No': -0.16601774, ' ': -6.4451466, 'No': -4.826039, ' Yes': -1.955084, 'Yes': -6.586567}
{' No': -0.12955953, ' ': -7.5800924, 'No': -6.2791543, ' Yes': -2.1305227, 'Yes': -8.2592745}
{' YES': -12.148561, ' ': -12.616105, ' Yes': -0.0046293796, ' yes': -9.994852, 'Yes': -5.3901577}
{' YES': -10.919308, ' Yes': -0.021625906, ' yes': -8.880543, 'Yes': -3.853348, 'yes': -10.965679}
{' YES': -10.7173, ' Yes': -0.02543815, ' yes': -8.932451, 'Yes': -3.691593, 'yes': -10.868189}
{' YES': -11.957943, ' Yes': -0.009943663, ' yes': -9.817715, 'Yes': -4.6227956, 'yes': -12.258392}
{' YES': -11.527922, ' Yes': -0.01883803, ' yes': -9.436502, 'Yes': -3.9874637, 'yes': -11.03296}
{' YES': -11.252305, ' ': -11.113323, ' Yes': -0.011146351, ' yes': -8.556497, 'Yes': -4.523561}
{' YES': -11.723232, ' ': -11.760585, ' Yes': -0.0013116975, ' yes': -9.153724, 'Yes': -6.7382364}
{' YES': -11.459792, ' ': -10.848934, ' Yes': -0.007170136, ' yes': -9.030133, 'Yes': -4.964558}
{'\n': -10.739599, ' ': -10.143459, ' Yes': -0.0066954456, ' yes': -9.009323, 'Yes': -5.04077}
{' YES': -11.898519, ' ': -11.742986, ' Yes': -0.0016573827, ' yes': -9.676927, 'Yes': -6.453607}
{'\n': -10.814361, ' ': -9.699197, ' Yes': -0.00884549, ' yes': -9.296998, 'Yes': -4.754981}
{'\n': -9.90261, ' ': -9.484605, ' Yes': -0.010161494, ' yes': -7.676509, 'Yes': -4.661031}
{' YES': -10.89693, ' Yes': -0.014420543, ' yes': -7.39404, 'Yes': -4.295829, 'yes': -10.015048}
{' YES': -12.218031, ' Yes': -0.020353928, ' yes': -9.225134, 'Yes': -3.9107058, 'yes': -10.985658}
{' YES': -10.895638, ' Yes': -0.023689495, ' yes': -8.0553875, 'Yes': -3.771275, 'yes': -10.10945}
{' YES': -11.46622, ' Yes': -0.010034753, ' yes': -8.400799, 'Yes': -4.633053, 'yes': -10.837168}
{' ': -11.098921, ' Yes': -0.02849051, ' yes': -8.502407, 'Yes': -3.5824492, 'yes': -9.932875}
{' ': -10.606029, ' Yes': -0.020286286, ' yes': -6.6314445, 'Yes': -3.983053, 'yes': -9.398337}
{' ': -10.443829, ' Yes': -0.0034618897, ' yes': -7.0371017, 'Yes': -5.988386, 'yes': -10.920187}
{' ': -9.671883, ' Yes': -0.014334315, ' yes': -7.0204315, 'Yes': -4.3287416, 'yes': -9.678469}
{'\n': -10.754587, ' ': -9.632588, ' Yes': -0.010062025, ' yes': -8.257937, 'Yes': -4.642873}
{' ': -10.086684, ' Yes': -0.0070776306, ' yes': -7.089579, 'Yes': -5.1004267, 'yes': -9.841266}
{'\n': -9.427637, ' ': -8.930383, ' Yes': -0.018290505, ' yes': -7.886246, 'Yes': -4.0483193}
{' ': -8.466255, ' Yes': -0.02108221, ' yes': -5.3984528, 'Yes': -4.1520157, 'yes': -8.565006}
{' YES': -11.685584, ' ': -10.923406, ' Yes': -0.0012868103, ' yes': -9.559014, 'Yes': -6.742728}
