{' Yes': -0.002734724, 'Yes': -5.9330664, ' yes': -10.151877, '\n': -11.201728, ' YES': -11.638396}
{' Yes': -0.042951204, ' Dead': -3.4160914, ' De': -6.2769403, 'Yes': -6.3459864, ' Deadline': -6.4265556}
{' Yes': -0.010336972, ' Dead': -5.2741613, 'Yes': -6.3953104, ' No': -6.786397, ' De': -7.3634105}
{' Yes': -0.0006877887, 'Yes': -7.3498807, ' yes': -10.450743, ' YES': -11.691845, 'yes': -13.315354}
{' Yes': -0.36270246, ' Cave': -1.2052318, 'Yes': -6.1125765, ' yes': -7.822736, ' YES': -7.847617}
{' Yes': -0.031629335, ' Moon': -3.6889627, 'Yes': -5.6658893, ' No': -7.018708, ' yes': -7.8884673}
{' Yes': -0.011320614, ' No': -5.6924877, 'Yes': -5.7097783, ' Moon': -5.8754315, ' Balloon': -7.8527436}
{' Yes': -0.099457934, ' Pain': -2.5853474, ' No': -5.1757507, ' Plain': -5.2938375, ' Paint': -5.9100776}
{' Yes': -0.037740886, ' No': -4.260845, ' Pain': -4.3178716, ' Plain': -5.8426967, 'Yes': -6.03098}
{' Yes': -0.0009523522, 'Yes': -7.0142937, ' yes': -10.260593, ' YES': -11.804094, ' Plus': -12.379983}
{' Yes': -0.0069032647, ' Plus': -5.1390386, 'Yes': -7.070114, ' Pl': -9.874263, ' yes': -10.326434}
{' Yes': -0.23338573, ' Area': -1.6137244, ' Arena': -5.6704135, 'Yes': -6.136776, ' Sure': -6.81236}
{' Yes': -0.052470777, ' Area': -3.1102862, 'Yes': -6.0966578, ' Sure': -6.3880568, ' Arena': -6.8543863}
{' Yes': -0.19178595, ' Dive': -1.7674505, 'Yes': -6.1075063, ' YES': -8.0241165, ' yes': -8.393914}
{' Yes': -0.49685043, ' Dive': -0.95610386, ' D': -6.2832346, 'Yes': -6.460632, ' Diver': -6.8470006}
{' Yes': -0.0010239468, 'Yes': -7.4357753, ' Hear': -8.134842, ' Yeah': -9.453035, ' YES': -11.067555}
{' Yes': -0.002430549, 'Yes': -6.6472173, ' Hear': -7.154777, ' Yeah': -8.842264, ' YES': -10.234978}
{' Yes': -0.0305663, ' Bush': -3.5779104, 'Yes': -6.337357, ' yes': -8.81631, 'Bush': -9.716435}
{' Yes': -0.39743775, ' Bush': -1.1274183, 'Yes': -6.22133, 'Bush': -7.061059, ' Bus': -8.277121}
{' Yes': -0.0017642585, 'Yes': -7.0608664, ' Near': -7.4878683, ' yes': -9.04385, ' No': -9.255426}
{' Yes': -0.0015464588, ' No': -7.014621, 'Yes': -7.9209414, ' Near': -8.784743, ' yes': -9.886209}
{' Yes': -0.18171069, ' Mile': -1.8411555, ' Miles': -6.1371036, 'Yes': -6.5764146, ' No': -6.5847178}
{' Yes': -0.069731176, ' Mile': -2.8012927, ' Miles': -6.2770653, ' No': -6.434962, 'Yes': -6.809568}
{' Yes': -0.07343954, ' Navy': -2.7025955, 'Yes': -5.9949384, ' No': -7.7942853, ' yes': -8.425839}
{' Yes': -0.008834367, ' Navy': -5.480441, 'Yes': -5.638675, ' yes': -7.7320013, ' YES': -9.079325}
{' Yes': -0.095408, ' Okay': -3.0418344, ' No': -3.462838, 'Yes': -5.5454183, ' Yep': -6.0886106}
{' Yes': -0.8346958, ' Okay': -1.186367, ' No': -1.3808671, ' OK': -6.408277, ' Nope': -6.6158214}
{' Yes': -0.002172103, 'Yes': -6.5787077, ' Math': -7.827038, ' No': -8.784223, ' YES': -9.610215}
{' Yes': -0.001256612, 'Yes': -7.062666, ' No': -9.123657, ' Math': -9.14648, ' YES': -9.884876}
{' Yes': -0.098111555, ' Beef': -2.4157784, 'Yes': -6.197827, ' Bee': -6.884913, ' yes': -7.897799}
{' Yes': -0.24316028, ' Beef': -1.6274395, ' No': -4.427248, ' Bee': -5.637996, 'Yes': -6.5036383}
{' Yes': -0.0011262194, 'Yes': -6.834107, ' yes': -10.421743, ' YES': -11.592695, ' Milk': -13.006531}
{' Yes': -0.0014069555, 'Yes': -6.9755125, ' No': -8.180871, ' Milk': -9.041348, ' yes': -10.237342}
{' Yes': -0.0050290474, 'Yes': -5.9077845, ' Bass': -6.2558203, ' yes': -8.75214, ' YES': -9.35947}
{' Yes': -0.013765625, ' Bass': -4.6952267, 'Yes': -5.5304813, ' yes': -8.460218, ' YES': -9.27095}
{' Yes': -0.001224205, 'Yes': -7.0680037, ' Bird': -8.430747, ' yes': -9.4078045, ' YES': -10.156075}
{' Yes': -0.07268465, ' Bird': -2.7209446, 'Yes': -6.18796, ' yes': -7.50216, ' B': -7.6266823}
{' Yes': -0.0019282378, 'Yes': -6.643036, ' YES': -8.104951, ' yes': -8.8806, ' Yeah': -10.569024}
{' Yes': -0.0029476988, 'Yes': -6.5297494, ' YES': -7.4535, ' yes': -8.779302, ' Live': -8.803358}
{' Yes': -0.0060874796, ' Indeed': -6.091431, ' Need': -6.4691978, 'Yes': -6.6634755, ' yes': -8.073622}
{' Yes': -0.016604275, ' Need': -4.674535, ' Indeed': -5.732437, 'Yes': -6.878214, ' No': -6.9356766}
{' Yes': -0.0016561887, 'Yes': -6.865004, ' Tool': -7.9224873, ' yes': -9.525341, ' YES': -9.696201}
{' Yes': -0.009125939, ' Tool': -5.1389303, ' Too': -6.578679, 'Yes': -6.654141, ' YES': -9.065224}
{' Yes': -0.37854066, ' Po': -1.1747024, ' No': -5.9128532, 'Yes': -6.384896, ' Yep': -7.33586}
{' Yes': -0.3000646, ' Po': -1.3635985, 'Yes': -6.5355954, ' No': -6.7373047, ' Yep': -8.377846}
{' Yes': -0.004216342, ' Rock': -6.632676, 'Yes': -6.7009287, ' Cro': -7.3075943, ' yes': -7.948703}
{' Yes': -0.36487535, ' Cro': -1.2959666, ' Rock': -4.1927943, ' Rocket': -4.726006, 'Yes': -6.1402864}
{' Yes': -0.0016678318, 'Yes': -6.44496, ' yes': -10.479764, ' No': -11.088583, ' YES': -11.154577}
{' Yes': -0.009152645, ' Last': -5.437499, 'Yes': -5.646754, ' Blast': -7.1394954, ' yes': -8.932694}
{' Yes': -0.014998865, ' Door': -4.3480997, 'Yes': -6.505334, ' yes': -8.625661, ' Sure': -9.209257}
{' Yes': -0.05472275, ' Door': -3.0268734, 'Yes': -5.936593, ' yes': -7.172731, ' D': -8.175525}
{' Yes': -0.021376094, ' No': -4.2861557, ' To': -5.5594673, 'Yes': -5.837172, ' YES': -9.226048}
{' Yes': -0.020243587, ' No': -4.4034777, 'Yes': -5.6751947, ' To': -5.700793, ' YES': -8.428608}
{' Yes': -0.049809948, ' Maze': -3.1083558, 'Yes': -5.6992292, ' yes': -8.473678, ' YES': -9.442339}
{' Yes': -0.0056146784, ' Maze': -5.8319902, 'Yes': -6.051581, ' yes': -9.267574, ' YES': -9.796016}
{' Yes': -0.03393452, ' Monk': -3.9952915, ' Monkey': -5.051871, 'Yes': -5.452204, ' yes': -6.7947907}
{' Yes': -0.048682258, ' Monkey': -3.8107958, ' Mon': -4.848355, ' Monk': -4.962492, 'Yes': -5.2776785}
{' Yes': -0.00087658426, 'Yes': -7.277812, ' Camp': -9.502967, ' yes': -10.091439, ' Yep': -10.415273}
{' Yes': -0.015743656, ' Camp': -4.367388, 'Yes': -6.3369904, ' yes': -8.120101, ' Campus': -8.164315}
{' Yes': -0.13459738, ' Most': -2.089851, 'Yes': -6.480651, ' Mostly': -7.882111, 'Most': -8.855317}
{' Yes': -0.099654734, ' Most': -2.3900695, ' Mostly': -6.473905, 'Yes': -6.83565, ' Almost': -8.82175}
{' Yes': -0.0012117351, 'Yes': -7.226881, ' yes': -8.81463, ' Trip': -9.036743, ' Tri': -9.253122}
{' Yes': -0.0039053743, 'Yes': -6.74062, ' Trip': -6.953212, ' Tri': -7.0918546, ' yes': -7.9632854}
{' Yes': -0.02351252, ' No': -4.6180844, ' Dusk': -4.6906857, 'Yes': -5.582171, ' yes': -8.713847}
{' Yes': -0.004785742, 'Yes': -6.00106, ' No': -6.777717, ' Dusk': -6.9020057, ' yes': -9.459003}
{' Yes': -0.0004522747, 'Yes': -7.95456, ' yes': -10.124737, ' YES': -10.446669, ' No': -11.552314}
{' Yes': -0.0004959867, 'Yes': -7.8242335, ' yes': -10.399448, ' Hello': -10.802848, ' YES': -10.954971}
{' Yes': -0.0051264013, ' No': -6.2217326, ' Lawn': -6.555391, 'Yes': -6.6475844, ' Y': -9.231335}
{' Yes': -0.3954742, ' Lawn': -1.385783, ' No': -2.7636135, ' lawn': -5.330644, 'Yes': -6.338736}
{' Yes': -0.009158781, ' Hill': -4.7975516, 'Yes': -7.4382415, ' yes': -9.085993, ' No': -9.589141}
{' Yes': -0.061796043, ' Hill': -2.8809621, ' No': -5.986259, 'Yes': -7.2571044, ' yes': -8.713274}
{' Yes': -0.001121924, 'Yes': -6.869534, ' Sure': -10.836754, ' YES': -10.989241, ' yes': -11.119114}
{' Yes': -0.0026742993, 'Yes': -6.6805396, ' Take': -6.7862415, ' yes': -9.43692, ' YES': -9.539654}
{' Yes': -0.001453875, 'Yes': -6.7987595, ' Part': -9.123087, ' yes': -9.908944, ' No': -9.966297}
{' Yes': -0.007085555, 'Yes': -5.913433, ' Party': -6.2116776, ' Part': -7.313335, ' Apart': -7.733205}
{' Yes': -0.0009460276, 'Yes': -7.276378, ' No': -8.785625, ' Sure': -10.002448, ' Yep': -10.818977}
{' Yes': -0.001725924, 'Yes': -6.7263794, ' Pick': -8.43159, ' yes': -9.342496, ' No': -9.356594}
{' Yes': -0.0010036626, 'Yes': -6.998701, ' yes': -10.4846325, ' YES': -10.962681, ' Sure': -11.106465}
{' Yes': -0.0006032135, 'Yes': -7.5935597, ' No': -9.8138485, ' yes': -10.953413, ' YES': -11.568771}
{' Yes': -0.028836206, ' No': -3.7379177, ' De': -5.9803796, 'Yes': -6.5717244, ' yes': -8.562604}
{' Yes': -0.32655782, ' De': -1.5300453, ' No': -3.0205655, 'Yes': -5.8924828, ' Def': -6.128099}
{' Yes': -0.0016111122, 'Yes': -6.565282, ' yes': -8.939425, ' YES': -10.18249, 'yes': -11.601224}
{' Yes': -0.006399723, 'Yes': -5.5062757, ' Kiss': -6.9135437, ' yes': -7.08659, ' YES': -8.242779}
{' Yes': -0.00091184373, 'Yes': -7.31657, ' No': -8.787242, ' Soda': -10.338863, ' yes': -10.428373}
{' Yes': -0.0010907168, 'Yes': -7.0163093, ' No': -9.22709, ' yes': -10.191462, ' Soda': -10.721912}
{' Yes': -0.0014239677, 'Yes': -7.275983, ' No': -7.5943384, ' Gone': -8.922004, ' yes': -10.302398}
{' Yes': -0.028962286, ' No': -3.710643, ' Gone': -6.20148, ' Nope': -6.9348054, 'Yes': -7.1992364}
{' Yes': -0.002962226, 'Yes': -6.6681266, ' Fire': -7.2062163, ' Sure': -8.091364, ' yes': -8.347761}
{' Yes': -0.0019064386, 'Yes': -6.9647856, ' Fire': -7.607461, ' yes': -9.019711, ' Sure': -9.048601}
{' Yes': -0.001285496, 'Yes': -7.0392566, ' yes': -8.439036, ' YES': -9.685746, ' ': -11.01521}
{' Yes': -0.0014479051, 'Yes': -7.0059395, ' yes': -8.13668, ' YES': -9.478253, ' ': -10.692013}
{' Yes': -0.00038698118, 'Yes': -7.985641, ' yes': -10.585476, ' No': -11.777262, ' YES': -12.020204}
{' Yes': -0.0009957855, 'Yes': -7.2734504, ' No': -9.300882, ' yes': -9.615843, ' Push': -10.061937}
{' Yes': -0.007284387, ' Stop': -5.2408714, 'Yes': -6.630375, ' No': -8.072739, ' Yep': -8.86531}
{' Yes': -0.033013407, ' Stop': -3.5545816, 'Yes': -6.4344997, ' Yep': -7.094945, ' St': -7.8299627}
{' Yes': -0.0002386978, 'Yes': -8.41235, ' yes': -11.602993, ' YES': -12.161671, ' Yep': -14.428606}
{' Yes': -0.0006041681, ' No': -8.006246, 'Yes': -8.382978, ' yes': -11.239707, ' Late': -11.32455}
{' Yes': -0.0034402963, 'Yes': -6.1906385, ' No': -7.0981874, ' yes': -8.033414, ' YES': -9.494041}
{' Yes': -0.001717386, 'Yes': -6.601065, ' No': -8.802207, ' yes': -9.017106, ' YES': -9.9840555}
{' Yes': -0.00045501743, 'Yes': -7.9220285, ' YES': -10.684413, ' yes': -10.706241, ' Wife': -10.84756}
{' Yes': -0.05538275, ' Wife': -3.0983837, ' W': -5.4359636, ' No': -6.451614, 'Yes': -6.8908267}
{' Yes': -0.001015712, 'Yes': -7.2673883, ' yes': -9.089865, ' Frog': -9.092444, ' YES': -10.330646}
{' Yes': -0.0010728749, 'Yes': -7.506123, ' Frog': -8.07252, ' yes': -9.230538, ' YES': -9.636715}
{' Yes': -0.00095354614, 'Yes': -7.043222, ' yes': -10.062614, ' YES': -11.121245, ' Yep': -11.84535}
{' Yes': -0.0011871463, 'Yes': -7.304789, ' Duck': -8.634381, ' yes': -8.68445, ' YES': -9.72485}
{' Yes': -0.0005519829, 'Yes': -7.661191, ' yes': -9.871825, ' YES': -10.852958, ' Bank': -11.955595}
{' Yes': -0.00058060983, 'Yes': -7.5792165, ' yes': -10.255844, ' YES': -10.606562, ' No': -12.088396}
{' Yes': -0.0010432191, 'Yes': -7.158588, ' Test': -9.431351, ' YES': -9.779646, ' yes': -9.856797}
{' Yes': -0.0026412494, ' Test': -6.7355704, 'Yes': -6.7810087, ' yes': -9.357457, ' YES': -9.673962}
{' Yes': -0.00095903437, 'Yes': -7.2156324, ' Stay': -8.658032, ' yes': -11.016479, ' YES': -11.136819}
{' Yes': -0.012674473, ' Stay': -4.4998245, 'Yes': -6.763065, ' yes': -9.466506, ' YES': -9.642565}
{' Yes': -0.0018674433, 'Yes': -7.0000043, ' No': -7.166509, ' yes': -9.080675, ' YES': -10.558709}
{' Yes': -0.026162246, ' No': -4.7216043, ' Ye': -5.0285883, ' East': -5.7162447, 'Yes': -5.8652806}
{' Yes': -0.006278437, ' No': -5.188405, 'Yes': -7.910161, ' Yeah': -9.199974, ' Nope': -9.454498}
{' High': -0.5103612, ' Yes': -0.946877, ' No': -5.7366514, ' Yeah': -6.391904, 'High': -6.7266297}
{' Yes': -0.0024694453, ' No': -6.1605515, 'Yes': -8.075158, ' yes': -10.707065, ' Draw': -12.032669}
{' Yes': -0.6121878, ' Draw': -0.82604927, ' Drawn': -5.297895, ' Drew': -5.5782537, ' No': -6.2269773}
{' Yes': -0.3486434, ' King': -1.2731867, ' Kings': -5.1011114, 'King': -5.9984403, ' Kingston': -6.240252}
{' Yes': -0.059638873, ' King': -2.9789083, ' No': -5.494913, 'Yes': -6.7006974, ' Kings': -7.9551096}
{' Yes': -0.01125756, ' No': -4.5579095, 'Yes': -7.5524464, ' Lose': -9.803778, ' Nope': -9.831856}
{' Yes': -0.0028419532, ' No': -6.2417927, 'Yes': -7.424804, ' Lo': -9.041372, ' Lose': -9.322813}
{' Yes': -0.0015142226, 'Yes': -7.6216445, ' Sure': -7.6292014, ' Yep': -8.786706, ' No': -9.093222}
{' Yes': -0.00040868655, 'Yes': -8.290913, ' Sure': -9.182695, ' Yep': -11.018288, ' Yeah': -11.557116}
{' Yes': -0.00056713086, 'Yes': -7.559916, ' yes': -10.530838, ' YES': -11.078896, 'yes': -13.641186}
{' Yes': -0.004858573, ' Sick': -6.134833, 'Yes': -6.1737976, ' yes': -8.138453, ' YES': -8.909864}
{' Yes': -0.0026336594, ' Dirt': -6.4209323, 'Yes': -7.0942492, ' yes': -9.58982, ' YES': -10.388866}
{' Yes': -0.0023049612, 'Yes': -7.1618834, ' No': -7.198828, ' Dirt': -7.322872, ' yes': -9.816163}
{' Yes': -0.0022957015, 'Yes': -7.1426663, ' Tears': -7.2794185, ' Te': -8.488696, ' T': -9.058246}
{' Yes': -0.00230986, 'Yes': -6.6325774, ' Tears': -8.044688, ' yes': -8.70287, ' YES': -8.834437}
{' No': -0.0011969345, 'No': -6.7734914, ' Nope': -10.51162, ' Yes': -11.014145, '\n': -11.910704}
{' Yes': -0.004642554, ' No': -5.9849815, 'Yes': -7.233401, ' Sure': -7.455191, ' True': -7.6912594}
{' Rain': -0.43425378, ' Yes': -1.2361852, ' Train': -3.5616093, 'Rain': -4.346959, ' Brain': -4.8217278}
{' Rain': -0.40957317, ' Yes': -1.5365318, ' Brain': -3.2733557, ' Train': -3.3535063, 'Rain': -3.9659562}
{' Yes': -0.0002940247, 'Yes': -8.315281, ' No': -10.406944, ' yes': -11.516382, ' YES': -12.224976}
{' Yes': -0.0004529918, 'Yes': -7.9435315, ' No': -9.951987, ' Yep': -11.2553005, ' yes': -11.341328}
{' Yes': -0.004032059, ' Sure': -6.307413, 'Yes': -7.2289147, ' Absolutely': -7.3271675, ' Yep': -8.932316}
{' Yes': -0.0063195247, ' Sure': -5.9147186, ' No': -6.9878325, 'Yes': -7.025948, ' Yep': -8.161509}
{' Yes': -0.0007979591, 'Yes': -7.648829, ' yes': -9.160357, ' YES': -9.541663, ' Kill': -9.881173}
{' Yes': -0.0015303993, ' No': -6.7787976, 'Yes': -8.097864, ' yes': -10.00652, ' YES': -10.889316}
{' Yes': -0.0033090804, ' No': -5.8316894, 'Yes': -7.9992228, ' Nope': -11.626907, ' yes': -11.666783}
{' Yes': -0.012487782, ' No': -4.4593487, 'Yes': -7.4605107, ' Nope': -8.771313, ' yes': -10.208458}
{' Yes': -0.1685958, ' No': -1.8852954, ' Tail': -6.3755236, 'Yes': -7.2886114, ' Nope': -7.848439}
{' Yes': -0.03989734, ' No': -3.32068, ' Tail': -6.4795046, 'Yes': -7.02695, ' yes': -8.930511}
{' Yes': -0.0033957404, ' Land': -6.3445916, 'Yes': -6.751667, ' yes': -8.397365, ' YES': -9.618672}
{' Yes': -0.023090396, ' Land': -4.0313473, 'Yes': -6.102674, ' yes': -7.4049325, ' Island': -7.630354}
{' Yes': -0.0047934684, ' Feel': -5.767729, 'Yes': -7.377429, ' F': -8.425705, ' yes': -8.749063}
{' Yes': -0.02935872, ' Feel': -3.8994339, ' F': -5.42796, 'Yes': -7.129551, ' Fee': -7.4021235}
{' Yes': -0.0011640536, 'Yes': -7.1159177, ' Loud': -9.140228, ' YES': -9.92001, ' yes': -9.949249}
{' Yes': -0.07322718, ' Loud': -2.7117617, ' L': -6.8920126, 'Yes': -6.892628, ' No': -6.9302607}
{' Yes': -0.0006947066, 'Yes': -7.5180974, ' Sure': -9.2552805, ' yes': -10.6298065, ' Star': -10.999815}
{' Yes': -0.0013678017, 'Yes': -7.033451, ' Sure': -8.569841, ' Star': -8.693705, ' yes': -9.872372}
{' Yes': -0.0022801077, 'Yes': -6.3655095, ' Card': -8.097799, ' yes': -9.006518, ' YES': -9.638232}
{' Yes': -0.0016025159, 'Yes': -6.6598663, ' yes': -9.118883, ' Card': -9.342138, ' YES': -9.826122}
{' Yes': -0.051962655, ' Deer': -3.0271173, 'Yes': -6.811497, ' yes': -8.405339, ' Dear': -8.493479}
{' Yes': -0.40310138, ' Deer': -1.1170295, 'Yes': -6.942753, ' De': -6.9852557, ' deer': -7.124659}
{' Yes': -0.006776697, ' Look': -5.334398, 'Yes': -6.6560225, ' YES': -8.429629, ' Yep': -9.136267}
{' Yes': -0.0034130847, 'Yes': -6.469689, ' Look': -6.6168165, ' YES': -8.388593, ' Yep': -9.377476}
{' Yes': -0.00035370977, 'Yes': -8.3180275, ' No': -9.567903, ' yes': -11.004918, ' YES': -11.396672}
{' Yes': -0.000686118, 'Yes': -7.8035007, ' YES': -9.675225, ' yes': -9.69479, ' No': -9.706304}
{' Yes': -0.00036813872, 'Yes': -8.011003, ' No': -11.113986, ' yes': -11.47527, ' YES': -12.016592}
{' Yes': -0.000846937, 'Yes': -7.564386, ' No': -8.929771, ' Less': -9.330498, ' yes': -10.006093}
{' Yes': -0.0007225029, 'Yes': -7.437509, ' No': -9.949008, ' Sure': -10.037595, ' yes': -11.090785}
{' Yes': -0.0020285102, 'Yes': -6.9773526, ' Code': -7.253865, ' YES': -9.333654, ' Sure': -9.588711}
{' Yes': -0.00037720232, 'Yes': -8.093781, ' Sure': -9.913369, ' No': -12.042949, ' yes': -12.062746}
{' Yes': -0.0008898286, 'Yes': -7.45727, ' Sure': -8.310597, ' YES': -10.652307, ' yes': -11.507029}
{' Yes': -0.0659194, ' Exit': -2.8538127, ' No': -5.3538756, 'Yes': -6.899272, ' Ex': -8.637509}
{' Yes': -0.5087598, ' Exit': -0.9748052, ' No': -4.050557, ' Ex': -6.095947, 'Exit': -7.2203774}
{' Yes': -0.0011073037, 'Yes': -7.3961344, ' Lion': -7.7507734, ' yes': -10.755811, ' YES': -10.958451}
{' Yes': -0.0008080994, 'Yes': -7.6494246, ' No': -8.128825, ' yes': -10.682042, ' YES': -11.925271}
{' Yes': -0.008618753, ' Roof': -4.919227, 'Yes': -6.8992376, ' yes': -8.849484, ' YES': -9.938641}
{' Roof': -0.26245123, ' Yes': -1.4802475, ' Ro': -7.012905, ' roof': -7.1854916, 'Yes': -7.982862}
{' Want': -0.10073804, ' Yes': -2.466125, 'Want': -5.5492997, ' Wanted': -5.7087245, ' W': -6.84685}
{' Want': -0.11975462, ' Yes': -2.477081, ' Wanted': -4.6038394, ' W': -4.808267, 'Want': -5.3099217}
{' Yes': -0.00092234253, 'Yes': -7.674693, ' Wind': -7.857596, ' yes': -10.203326, ' Yep': -11.483902}
{' Yes': -0.012682743, ' Wind': -4.735289, ' Window': -6.391745, 'Yes': -7.0763063, ' No': -7.150979}
{' Yes': -0.00043223824, 'Yes': -7.8980317, ' yes': -10.456346, ' YES': -10.796144, ' Yep': -12.597312}
{' Yes': -0.35307628, ' Foot': -1.242389, ' Football': -5.5945134, 'Yes': -6.246981, 'Foot': -7.5391617}
{' Yes': -0.22889815, ' No': -1.7853231, ' Hate': -3.3799922, ' Nope': -6.70103, 'Yes': -7.013638}
{' Yes': -0.38558912, ' No': -1.3805805, ' Hate': -2.8081813, ' Nope': -5.159642, 'Yes': -7.1054277}
{' Yes': -0.016378436, ' No': -4.176122, 'Yes': -7.182882, ' yes': -10.621757, ' YES': -10.642073}
{' Yes': -0.0013885148, 'Yes': -7.2800283, ' Slow': -8.30032, ' YES': -9.0116825, ' No': -9.086241}
{' Yes': -0.0005350468, 'Yes': -7.8252225, ' yes': -10.050155, ' Ring': -10.138925, ' No': -10.97153}
{' Yes': -0.0014499346, 'Yes': -7.3487644, ' Ring': -7.9217343, ' No': -8.463336, ' yes': -9.484488}
{' Yes': -0.0010404745, 'Yes': -7.4946184, ' Bear': -8.029368, ' yes': -9.410342, ' YES': -10.829572}
{' Yes': -0.0018427793, ' Bear': -6.8974566, 'Yes': -7.490532, ' yes': -8.85181, ' YES': -9.853866}
{' Yes': -0.00044810143, 'Yes': -8.281693, ' YES': -9.170707, ' No': -10.379247, ' Y': -10.827946}
{' Yes': -0.0033584216, ' No': -5.791539, 'Yes': -8.34958, ' YES': -10.162423, ' yes': -11.42685}
{' Yes': -0.0013582519, 'Yes': -6.798635, ' yes': -8.715723, ' YES': -10.216209, ' No': -11.807406}
{' Yes': -0.0014637242, 'Yes': -6.731665, ' yes': -8.614791, ' YES': -10.013386, ' No': -11.109575}
{' Yes': -0.0069920328, ' Skin': -5.4945426, 'Yes': -6.2286334, ' Sk': -8.2931185, ' Ski': -8.692923}
{' Yes': -0.0043612644, ' No': -5.974953, 'Yes': -6.508441, ' Skin': -8.703086, ' yes': -9.804704}
{' Yes': -0.00086268375, 'Yes': -7.1762185, ' yes': -10.373882, ' Yep': -10.893372, ' No': -11.164514}
{' Yes': -0.0013901846, 'Yes': -6.8176475, ' So': -9.308994, ' Yep': -9.62277, ' yes': -9.860604}
{' Yes': -0.0005394594, 'Yes': -7.627767, ' Yep': -10.976769, ' Sure': -11.220757, ' yes': -11.868648}
{' Yes': -0.0017696341, ' Che': -6.9290233, 'Yes': -7.408468, ' Yep': -10.144643, ' YES': -10.317744}
{' Yes': -0.022051618, ' No': -3.9145246, 'Yes': -6.718838, ' Male': -8.4921665, ' yes': -8.5425005}
{' Yes': -0.0045155506, 'Yes': -6.5039806, ' Male': -6.8796864, ' No': -7.1782265, ' yes': -7.855125}
{' Yes': -0.00037660534, 'Yes': -8.100004, ' No': -10.021807, ' yes': -11.316883, ' Sure': -11.932021}
{' Yes': -0.0016401295, ' No': -7.0833774, 'Yes': -7.3368335, ' yes': -9.99577, ' Nope': -10.6054325}
{' Yes': -0.0013357524, 'Yes': -7.339756, ' Bike': -7.6477566, ' yes': -9.540543, ' Bicycle': -10.19079}
{' Yes': -0.019371817, ' Bike': -4.1666436, ' Bicycle': -6.97429, 'Yes': -7.0574784, ' B': -7.060614}
{' Yes': -0.10465643, ' Dead': -2.4954338, ' Deadline': -5.456538, ' De': -5.6767745, 'Dead': -6.380918}
{' Yes': -0.021210603, ' Dead': -4.483205, ' No': -5.652116, ' De': -6.585914, 'Yes': -6.871567}
{' Yes': -0.00059557945, 'Yes': -7.522465, ' yes': -10.349791, ' YES': -11.384272, ' Yep': -12.42033}
{' Yes': -0.12359793, ' Cave': -2.1853504, 'Yes': -6.4438496, ' YES': -7.8787355, ' yes': -8.031997}
{' Yes': -0.003036479, 'Yes': -6.529796, ' Moon': -7.114198, ' No': -7.6342616, ' yes': -8.873289}
{' Yes': -0.021672562, ' No': -3.9941874, 'Yes': -6.3144274, ' Moon': -7.8294134, ' yes': -8.612175}
{' Yes': -0.17326482, ' Pain': -2.2457762, ' Plain': -3.8859665, ' Paint': -4.5948944, ' No': -4.855611}
{' Yes': -0.075590156, ' No': -2.8305893, ' Pain': -5.3586254, ' Nope': -5.832831, ' Plain': -6.4614296}
{' Yes': -0.00050445244, 'Yes': -7.675887, ' yes': -10.6807165, ' No': -11.539417, ' YES': -12.179029}
{' Yes': -0.0021574683, ' No': -6.5795074, 'Yes': -7.802915, ' Plus': -8.091509, ' yes': -11.133215}
{' Yes': -0.08541401, ' Area': -2.5448217, 'Yes': -6.6432123, ' Arena': -7.027026, ' Sure': -8.208892}
{' Yes': -0.011123508, ' Area': -4.7746406, 'Yes': -6.6930976, ' Sure': -7.578055, ' Arena': -8.670042}
{' Yes': -0.017741945, ' Dive': -4.1457934, 'Yes': -6.765353, ' YES': -8.561029, ' yes': -8.820198}
{' Dive': -0.3762087, ' Yes': -1.2299284, ' D': -4.6428976, ' Diver': -5.5398893, ' Divide': -5.987705}
{' Yes': -0.00031417754, 'Yes': -8.278663, ' Yeah': -10.762143, ' Hear': -11.224111, ' YES': -11.722282}
{' Yes': -0.004214067, ' Hear': -5.796753, 'Yes': -7.295265, ' Yeah': -8.425102, ' Hearth': -10.04446}
{' Yes': -0.006584263, ' Bush': -5.1363354, 'Yes': -7.462776, ' yes': -9.907701, ' Sure': -11.555737}
{' Yes': -0.22080046, ' Bush': -1.6303903, 'Yes': -6.7159057, 'Bush': -7.999518, ' yes': -8.884833}
{' Yes': -0.0010182201, 'Yes': -7.470323, ' No': -8.781285, ' Near': -9.05474, ' yes': -9.41874}
{' Yes': -0.00088529586, 'Yes': -7.910618, ' No': -8.260624, ' Near': -8.993938, ' yes': -9.777993}
{' Yes': -0.072317444, ' Mile': -2.9250493, ' No': -4.374987, ' M': -6.9960384, ' Miles': -7.1310925}
{' Yes': -0.059496023, ' Mile': -3.1166265, ' No': -4.905262, ' Miles': -6.5948515, ' Smile': -6.8771744}
{' Yes': -0.012955996, ' Navy': -4.822274, ' No': -5.8721666, 'Yes': -6.421611, ' yes': -9.047061}
{' Yes': -0.0023657228, 'Yes': -6.573399, ' No': -7.4044437, ' Navy': -9.091915, ' yes': -9.116623}
{' Yes': -0.30825123, ' No': -1.3551893, ' Nope': -5.493893, 'Yes': -6.960841, ' Yep': -7.5648694}
{' No': -0.3308173, ' Yes': -1.5895358, ' Okay': -2.66714, ' Nope': -5.48878, 'No': -7.1867075}
