{' No': -0.22724734, ' Yes': -1.6289539, 'No': -5.0760174, 'Yes': -7.1854076, ' ': -9.172646}
{' Yes': -0.17786139, ' No': -1.9238826, 'Yes': -4.4754553, 'No': -5.290416, ' ': -8.097167}
{' Yes': -0.0479225, ' No': -3.5586908, 'Yes': -4.0939164, 'No': -6.6261296, ' ': -8.810122}
{' No': -0.6864945, ' Yes': -0.7589185, 'No': -3.9390085, 'Yes': -4.774347, ' ': -7.7256374}
{' Yes': -0.02217928, 'Yes': -3.925551, ' No': -6.2994237, ' yes': -8.754138, 'No': -9.1897335}
{' No': -0.42613593, ' Yes': -1.0816935, 'No': -5.0547366, 'Yes': -6.647049, ' ': -8.40013}
{' Yes': -0.07103398, ' No': -2.785126, 'Yes': -5.161326, 'No': -7.025545, ' ': -8.922167}
{' No': -0.08123359, 'No': -2.9896424, ' Yes': -3.622848, 'Yes': -7.375104, ' ': -7.9714694}
{' Yes': -0.049497373, 'Yes': -3.6505985, ' No': -3.897693, 'No': -6.411821, ' ': -8.347565}
{' Yes': -0.644408, ' No': -0.7980106, 'No': -4.0478864, 'Yes': -5.029032, ' ': -7.4649205}
{' Yes': -0.019428885, 'Yes': -4.312485, ' No': -5.3225408, ' yes': -7.6588826, 'No': -8.217645}
{' Yes': -0.007857801, ' No': -4.931188, 'Yes': -7.7470694, ' yes': -9.138772, ' ': -9.871856}
{' Yes': -0.0009144692, 'Yes': -7.3913445, ' No': -8.565889, ' yes': -9.479376, ' ': -10.62769}
{' Yes': -0.0640239, ' No': -2.8461664, 'Yes': -5.7216716, 'No': -8.023706, ' ': -8.5288}
{' Yes': -0.006246467, 'Yes': -5.359789, ' No': -6.615585, ' yes': -9.2211275, ' ': -9.771314}
{' No': -0.16562425, ' Yes': -1.9222008, 'No': -5.384559, ' ': -7.0967665, 'Yes': -7.118165}
{' Yes': -0.029557794, ' No': -3.92271, 'Yes': -4.7727294, ' ': -7.8362207, 'No': -8.177392}
{' No': -0.59971195, ' Yes': -0.7996003, 'No': -7.2349577, 'Yes': -7.578243, ' ': -8.361403}
{' Yes': -0.0046321955, ' No': -5.764657, 'Yes': -6.618056, ' yes': -9.592594, ' ': -9.646943}
{' No': -0.03699814, ' Yes': -3.6147528, 'No': -4.91224, ' ': -6.479548, '\n': -8.212733}
{' Yes': -0.023919247, ' No': -4.2157946, 'Yes': -4.88025, ' ': -7.083636, 'No': -8.528008}
{' Yes': -0.10698601, ' No': -2.324746, 'Yes': -6.1831784, ' ': -7.250691, 'No': -7.845047}
{' Yes': -0.0057941554, 'Yes': -5.397989, ' yes': -7.6300864, ' No': -7.7293067, ' ': -8.474864}
{' No': -0.30112636, ' Yes': -1.4390237, 'No': -3.9406507, 'Yes': -5.9040046, ' ': -7.670524}
{' Yes': -0.025997, 'Yes': -4.3026333, ' No': -4.5601726, ' yes': -6.8605094, 'No': -7.6784625}
{' No': -0.25338098, ' Yes': -1.6999085, 'No': -3.3127356, 'Yes': -5.4198427, ' ': -8.667453}
{' Yes': -0.03383346, 'Yes': -3.711608, ' No': -4.869408, ' yes': -7.4434533, 'No': -7.69757}
{' Yes': -0.337945, ' No': -1.4923925, 'Yes': -3.310023, 'No': -3.7584045, ' ': -6.78858}
{' Yes': -0.062144578, 'Yes': -2.8521566, ' yes': -6.5807595, ' No': -7.286221, ' ': -8.749123}
{' No': -0.35139677, ' Yes': -1.2686502, 'No': -4.4388504, 'Yes': -5.875379, ' ': -8.071653}
{' Yes': -0.016458295, ' No': -4.69992, 'Yes': -5.051027, ' yes': -7.439273, 'No': -8.940103}
{' No': -0.18736506, 'No': -2.4047112, ' Yes': -2.578541, 'Yes': -5.5495872, ' ': -7.3781457}
{' Yes': -0.06134521, 'Yes': -2.87342, ' No': -6.4010243, ' yes': -7.231837, 'No': -8.165166}
{' Yes': -0.44558766, ' No': -1.1887078, 'No': -3.4666524, 'Yes': -3.8301146, ' yes': -7.0286546}
{' Yes': -0.03890592, 'Yes': -3.4003406, ' yes': -5.645696, ' No': -7.205201, ' ': -8.595747}
{' Yes': -0.012467742, ' No': -4.6445765, ' yes': -6.6215367, 'Yes': -6.9827704, ' ': -7.730121}
{' Yes': -0.0022702508, 'Yes': -6.898863, ' yes': -6.9551334, ' No': -8.464525, ' ': -9.501913}
{' Yes': -0.11335339, ' No': -2.2937942, 'Yes': -5.4147735, 'No': -7.101562, ' ': -7.337196}
{' Yes': -0.0092473915, 'Yes': -4.9247594, ' No': -6.7139344, ' yes': -7.5020714, ' ': -8.993452}
{' No': -0.13667208, ' Yes': -2.1351118, 'No': -4.9725676, ' ': -6.5651727, 'Yes': -6.9889283}
{' Yes': -0.013996315, 'Yes': -4.7147427, ' No': -5.466852, ' ': -7.9453373, ' yes': -8.320578}
{' Yes': -0.4456821, ' No': -1.03198, 'Yes': -6.595391, 'No': -7.019643, ' ': -7.3289537}
{' Yes': -0.012321398, ' No': -4.7984576, 'Yes': -5.895771, ' yes': -7.0393667, ' ': -8.125514}
{' No': -0.11278329, ' Yes': -2.3409307, 'No': -5.081861, ' ': -5.7513847, 'Yes': -7.4004183}
{' Yes': -0.024138248, 'Yes': -4.2428308, ' No': -4.9096055, ' ': -6.5955086, ' yes': -8.135046}
{' Yes': -0.08564787, ' No': -2.623875, 'Yes': -5.469845, ' yes': -6.1457334, ' ': -6.239687}
{' Yes': -0.02426929, 'Yes': -4.4818044, ' yes': -4.9938965, ' No': -5.431616, ' ': -6.896517}
{' Yes': -0.014762196, ' No': -4.285754, 'Yes': -7.4993863, ' ': -8.396783, ' yes': -9.484335}
{' Yes': -0.002466458, ' No': -6.727333, 'Yes': -6.878647, ' ': -9.088598, ' yes': -9.289963}
{' Yes': -0.05929564, ' No': -2.9251747, 'Yes': -5.7811146, ' ': -7.892683, 'No': -7.9643173}
{' Yes': -0.0110290665, 'Yes': -5.0258355, ' No': -5.54202, ' ': -8.221777, ' yes': -9.119001}
{' No': -0.047529135, ' Yes': -3.202566, 'No': -5.3819904, ' ': -7.0383053, 'Yes': -8.662997}
{' Yes': -0.018855825, ' No': -4.590759, 'Yes': -4.924364, ' ': -7.1361594, '\n': -8.365827}
{' No': -0.065030955, ' Yes': -2.7793481, 'No': -7.6185164, ' ': -7.994356, 'Yes': -10.133521}
{' Yes': -0.021706978, ' No': -3.9251568, 'Yes': -6.766471, ' ': -7.752396, ' yes': -9.349166}
{' No': -0.0500837, ' Yes': -3.3098376, 'No': -4.83512, ' ': -5.6626854, '\n': -7.4090595}
{' Yes': -0.05006866, ' No': -3.3032517, 'Yes': -4.844218, ' ': -5.886841, '\n': -7.1274056}
{' Yes': -0.14237656, ' No': -2.0402608, 'Yes': -6.708639, ' ': -7.018309, 'No': -8.02393}
{' Yes': -0.008573786, ' No': -5.3067837, 'Yes': -5.90267, ' ': -7.5866776, ' yes': -8.4040165}
{' No': -0.006581083, 'No': -5.0303884, ' ': -11.0926895, ' NO': -12.752176, ' Not': -13.154332}
{' No': -0.0073422077, 'No': -4.920396, ' ': -11.059854, ' NO': -13.622232, ' no': -14.012693}
{' No': -0.028735537, 'No': -3.566718, ' ': -9.927693, ' NO': -10.723773, ' no': -12.865602}
{' No': -0.035421982, 'No': -3.3597856, ' ': -10.016151, ' NO': -11.611347, ' no': -12.808843}
{' No': -0.053857148, 'No': -2.951381, ' ': -9.368871, ' NO': -9.697321, 'NO': -12.34852}
{' No': -0.052945968, 'No': -2.9666648, ' ': -9.620039, ' NO': -10.961306, ' no': -12.6058855}
{' No': -0.009908568, 'No': -4.6225452, ' ': -10.809619, ' NO': -12.059816, ' no': -12.933128}
{' No': -0.010129159, 'No': -4.6003447, ' ': -10.677283, ' NO': -12.715334, ' no': -13.077721}
{' No': -0.058524273, 'No': -2.869914, ' ': -9.137729, ' NO': -11.148927, '\n': -12.041919}
{' No': -0.057802193, 'No': -2.8814657, ' ': -9.33687, ' NO': -11.77839, ' no': -12.515125}
{' No': -0.038290814, 'No': -3.2870488, ' ': -9.023281, ' NO': -10.498005, ' no': -11.338609}
{' No': -0.032360863, 'No': -3.4537914, ' ': -8.869919, ' X': -10.721791, ' no': -10.902136}
{' No': -0.00045692569, 'No': -7.7329683, ' ': -11.32041, ' NO': -12.48766, ' no': -13.4156475}
{' No': -0.0011689449, 'No': -6.7789645, ' ': -10.673921, '\n': -12.46153, ' NO': -13.299344}
{' No': -0.004865821, 'No': -5.3398037, ' ': -10.06744, ' NO': -11.580795, ' no': -13.1814375}
{' No': -0.0064418954, 'No': -5.0593247, ' ': -9.758073, '\n': -12.236196, ' NO': -12.266786}
{' No': -0.0060155177, 'No': -5.133716, ' ': -9.496642, '\n': -11.321063, ' NO': -11.342041}
{' No': -0.008528396, 'No': -4.7818108, ' ': -9.380373, '\n': -10.943481, ' NO': -12.201051}
{' No': -0.001155999, 'No': -6.782409, ' ': -11.0019655, ' NO': -12.81962, '\n': -13.685701}
{' No': -0.0024934665, 'No': -6.009854, ' ': -10.438929, '\n': -12.879026, ' NO': -12.993049}
{' No': -0.006334221, 'No': -5.097658, ' ': -8.836792, '\n': -10.08588, ' NO': -11.413527}
{' No': -0.007826216, 'No': -4.878744, ' ': -8.81324, '\n': -10.36396, ' NO': -12.316626}
{' No': -0.0040858616, 'No': -5.538138, ' ': -9.408915, '\n': -10.142012, ' NO': -11.241853}
{' No': -0.006129036, 'No': -5.1411424, ' ': -8.814154, '\n': -9.364502, ' no': -11.243256}
{' No': -0.025654854, 'No': -3.6794844, ' ': -9.92003, ' NO': -10.651395, ' no': -11.6972685}
{' No': -0.028630957, 'No': -3.572416, ' ': -9.75738, ' no': -10.14143, ' NO': -10.690849}
{' No': -0.06236412, 'No': -2.8073268, ' ': -9.9941435, ' NO': -10.572608, ' no': -11.878666}
{' No': -0.054533206, 'No': -2.9379365, ' ': -10.126789, ' NO': -10.8268, ' no': -10.879961}
{' No': -0.13497864, 'No': -2.0747333, ' NO': -8.271581, ' ': -8.278581, '\n': -9.586049}
{' No': -0.16483167, 'No': -1.8873925, ' ': -8.311779, ' NO': -9.654105, ' no': -9.781419}
{' No': -0.011883761, 'No': -4.444949, ' ': -10.114947, ' NO': -10.764076, ' no': -11.575236}
{' No': -0.012143823, 'No': -4.425796, ' ': -9.753688, ' no': -10.430146, ' NO': -11.415533}
{' No': -0.14581147, 'No': -1.9998478, ' ': -8.535452, ' NO': -9.802147, '\n': -10.289679}
{' No': -0.13675646, 'No': -2.059654, ' ': -8.67715, '\n': -10.200116, ' no': -10.433764}
{' No': -0.13770151, 'No': -2.0557065, ' ': -8.151953, ' NO': -9.195956, '\n': -9.574105}
{' No': -0.11554436, 'No': -2.2238073, ' ': -8.09621, ' no': -8.494103, '\n': -9.035859}
{' No': -0.0010357033, 'No': -7.036176, ' ': -9.042077, ' no': -10.860305, ' NO': -11.558635}
{' No': -0.0016121276, 'No': -6.5301433, ' ': -9.102039, '\n': -10.905867, ' no': -10.9751}
{' No': -0.007273941, 'No': -4.9446173, ' ': -9.217378, ' NO': -11.234867, ' no': -11.868582}
{' No': -0.0105224205, 'No': -4.570001, ' ': -9.405393, ' no': -11.153985, ' NO': -12.124356}
{' No': -0.0075210324, 'No': -4.9081573, ' ': -9.4483185, '\n': -11.174113, ' NO': -11.531121}
{' No': -0.010874977, 'No': -4.540172, ' ': -9.126853, '\n': -10.57447, ' NO': -12.424509}
{' No': -0.0030833513, 'No': -5.81783, ' ': -9.4847, '\n': -11.400751, ' no': -11.650891}
{' No': -0.005306691, 'No': -5.276982, ' ': -8.897882, ' no': -10.656445, '\n': -11.053354}
{' No': -0.00857607, 'No': -4.8032174, ' ': -8.237343, '\n': -10.010309, ' NO': -11.269133}
{' No': -0.0155516695, 'No': -4.201295, ' ': -8.019416, '\n': -9.145072, ' no': -11.644788}
{' No': -0.007337165, 'No': -4.991704, ' ': -8.113423, '\n': -9.016431, ' no': -9.894341}
{' No': -0.01841095, 'No': -4.0642715, ' ': -7.7174993, '\n': -8.013368, ' no': -8.311749}
{' No': -0.0005770326, 'No': -7.4969463, ' ': -10.90487, ' NO': -13.205419, '\n': -13.883728}
{' No': -0.001648428, 'No': -6.4631305, ' ': -9.593437, '\n': -11.189357, ' NO': -12.87381}
{' No': -0.005682952, 'No': -5.1850977, ' ': -9.779666, ' NO': -12.003674, '\n': -13.061146}
{' No': -0.0083544385, 'No': -4.804266, ' ': -9.219776, '\n': -10.97937, ' NO': -12.216013}
{' No': -0.0054712486, 'No': -5.2349653, ' ': -9.131338, '\n': -11.326308, ' NO': -11.92057}
{' No': -0.009906943, 'No': -4.643236, ' ': -8.846001, '\n': -9.411892, ' NO': -12.909339}
{' No': -0.0006863573, 'No': -7.326753, ' ': -10.59909, ' NO': -13.115272, '\n': -14.116689}
{' No': -0.0020727692, 'No': -6.2322145, ' ': -9.297341, '\n': -11.785711, ' NO': -12.6316395}
{' No': -0.008820419, 'No': -4.7919526, ' ': -7.8699956, '\n': -9.302288, ' NO': -11.946491}
{' No': -0.011931715, 'No': -4.468309, ' ': -8.192691, '\n': -9.122077, ' NO': -12.535218}
{' No': -0.0025796355, 'No': -5.9982724, ' ': -9.476373, '\n': -11.438777, ' NO': -12.631882}
{' No': -0.004301581, 'No': -5.494534, ' ': -8.828993, '\n': -10.569288, ' no': -12.060524}
{' No': -0.020794924, ' Yes': -4.2502737, 'No': -5.082652, 'Yes': -9.592376, ' ': -10.107308}
{' No': -0.03630527, ' Yes': -3.5419357, 'No': -5.041138, 'Yes': -8.741405, ' ': -9.673706}
{' No': -0.05167514, 'No': -3.302552, ' Yes': -4.3318377, 'Yes': -8.129912, ' ': -9.208631}
{' No': -0.040930692, 'No': -3.6854563, ' Yes': -4.2267942, 'Yes': -8.232265, ' ': -9.011063}
{' No': -0.07461647, ' Yes': -3.3227394, 'No': -3.3562038, 'Yes': -7.1215105, ' ': -9.043908}
{' No': -0.09435744, ' Yes': -2.8901908, 'No': -3.4183168, 'Yes': -6.5622506, ' ': -8.323041}
{' No': -0.016683305, 'No': -4.5077243, ' Yes': -5.220947, ' ': -9.736416, 'Yes': -10.017087}
{' No': -0.019395642, ' Yes': -4.5109267, 'No': -4.819675, 'Yes': -9.33021, ' ': -9.802486}
{' No': -0.110440664, ' Yes': -2.6890922, 'No': -3.352647, 'Yes': -6.663133, ' ': -8.1460285}
{' No': -0.11408226, ' Yes': -2.8477228, 'No': -3.0400789, 'Yes': -6.385326, ' ': -8.217908}
{' Yes': -0.32135573, ' No': -1.3356247, 'Yes': -5.176136, 'No': -5.1817513, ' yes': -8.222493}
{' No': -0.22909722, ' Yes': -1.735897, 'No': -3.696987, 'Yes': -5.872655, ' ': -7.4144835}
{' Yes': -0.50814617, ' No': -0.9229906, 'Yes': -7.6061287, 'No': -8.065907, ' ': -9.088096}
{' Yes': -0.39131442, ' No': -1.131934, 'Yes': -7.195332, 'No': -7.859935, ' ': -8.605823}
{' No': -0.089723594, ' Yes': -2.520416, 'No': -5.340601, 'Yes': -7.7755127, ' ': -8.885588}
{' No': -0.13198292, ' Yes': -2.152956, 'No': -5.05324, 'Yes': -7.1076274, ' ': -8.294702}
{' No': -0.03544638, ' Yes': -3.525757, 'No': -5.3324146, ' ': -8.235298, 'Yes': -8.553659}
{' No': -0.030408561, ' Yes': -3.8658307, 'No': -4.791963, ' ': -7.877061, 'Yes': -8.407276}
{' No': -0.005068528, ' Yes': -5.621514, 'No': -6.5711236, ' ': -10.702562, 'Yes': -11.8050995}
{' No': -0.020135026, ' Yes': -4.0175595, 'No': -6.328575, ' ': -9.304232, 'Yes': -9.947485}
{' No': -0.03722349, ' Yes': -3.6172957, 'No': -4.808307, ' ': -7.0027723, '\n': -8.046525}
{' No': -0.025899312, ' Yes': -4.174531, 'No': -4.661113, ' ': -7.767318, 'Yes': -8.605937}
{' No': -0.19224963, ' Yes': -1.777718, 'No': -5.4945683, 'Yes': -7.2385464, ' ': -7.400213}
{' No': -0.66263676, ' Yes': -0.74450785, 'No': -5.4446497, 'Yes': -5.738263, ' ': -6.8398423}
{' No': -0.03869165, 'No': -3.6965342, ' Yes': -4.361224, 'Yes': -8.406737, ' ': -9.353053}
{' No': -0.32930112, ' Yes': -1.3847668, 'No': -3.7156153, 'Yes': -5.33117, ' yes': -7.4031663}
{' No': -0.06009609, 'No': -2.9392235, ' Yes': -5.274623, 'Yes': -8.55366, ' ': -9.7547035}
{' No': -0.15176743, ' Yes': -2.392282, 'No': -3.0924337, 'Yes': -5.60856, ' ': -9.004519}
{' No': -0.2840037, ' Yes': -1.8373446, 'No': -2.5675042, 'Yes': -4.5776834, ' ': -7.5897565}
{' Yes': -0.20800082, ' No': -2.0895123, 'Yes': -3.0342755, 'No': -4.260546, ' yes': -6.804949}
{' No': -0.01927064, 'No': -4.354815, ' Yes': -5.1027703, 'Yes': -9.60825, ' ': -9.76482}
{' No': -0.11440286, ' Yes': -2.3099117, 'No': -4.845352, 'Yes': -7.199556, ' ': -8.9431715}
{' No': -0.24955636, ' Yes': -1.8744476, 'No': -2.807341, 'Yes': -5.036143, ' ': -8.098339}
{' Yes': -0.54255503, ' No': -1.0400296, 'No': -3.3435133, 'Yes': -3.553934, ' ': -7.398643}
{' Yes': -0.71710134, ' No': -0.7681305, 'No': -3.4062033, 'Yes': -4.331233, ' yes': -6.9572577}
{' Yes': -0.3309713, ' No': -1.5047804, 'Yes': -3.5151963, 'No': -3.744372, ' yes': -5.3475766}
{' No': -0.6031346, ' Yes': -0.79815334, 'No': -7.1412835, 'Yes': -7.2728596, ' yes': -7.3334146}
{' Yes': -0.59093225, ' No': -0.8119978, 'Yes': -7.347365, ' ': -7.533055, ' yes': -7.538625}
{' No': -0.4179544, ' Yes': -1.0995378, 'No': -5.2226515, 'Yes': -6.1027017, ' ': -7.347539}
{' No': -0.13373636, ' Yes': -2.1794899, 'No': -4.5967226, 'Yes': -6.722771, ' ': -7.4170976}
{' No': -0.048662044, ' Yes': -3.2158334, 'No': -5.0697246, ' ': -7.4393396, 'Yes': -8.069192}
{' No': -0.091854766, ' Yes': -2.568087, 'No': -4.6733956, 'Yes': -7.0465875, ' ': -7.215029}
{' No': -0.011929784, ' Yes': -4.690389, 'No': -5.998496, ' ': -9.087958, 'Yes': -10.4401865}
{' No': -0.028198944, ' Yes': -3.798949, 'No': -5.389096, ' ': -7.4628587, 'Yes': -8.899227}
{' No': -0.06549643, ' Yes': -2.9084814, 'No': -5.004261, ' ': -6.640634, 'Yes': -7.809181}
{' No': -0.024754532, ' Yes': -4.3881636, 'No': -4.5144925, ' ': -7.220731, 'Yes': -8.723826}
{' No': -0.16772637, ' Yes': -1.9549426, 'No': -4.8964267, ' ': -6.079347, '\n': -6.8764057}
{' No': -0.16105989, ' Yes': -2.0352852, 'No': -4.519567, ' ': -5.780793, 'Yes': -6.470916}
{' No': -0.5020111, ' Yes': -0.9339245, 'No': -7.2234373, 'Yes': -7.6428933, ' ': -7.9207563}
{' Yes': -0.52032214, ' No': -0.90639234, 'Yes': -7.321927, ' ': -7.685513, 'No': -7.7152967}
{' No': -0.31288314, ' Yes': -1.3453748, 'No': -5.1479454, 'Yes': -6.5456743, ' ': -7.055034}
{' No': -0.17028292, ' Yes': -1.9105248, 'No': -5.041682, 'Yes': -6.831388, ' ': -7.016063}
{' No': -0.043080695, ' Yes': -3.308019, 'No': -5.3918033, ' ': -7.3264704, 'Yes': -8.499246}
{' No': -0.079643466, ' Yes': -2.768782, 'No': -4.5254726, ' ': -6.4233646, 'Yes': -7.1793423}
{' No': -0.010795504, ' Yes': -4.661924, 'No': -6.841015, ' ': -8.57923, 'Yes': -11.1295395}
{' No': -0.080292754, ' Yes': -2.5959918, 'No': -6.386227, ' ': -7.3350644, 'Yes': -8.682139}
{' No': -0.033279203, ' Yes': -3.8614252, 'No': -4.681627, ' ': -6.4251647, '\n': -7.451294}
{' No': -0.040598042, ' Yes': -3.5411682, 'No': -4.7257404, ' ': -6.6957417, '\n': -7.891317}
{' No': -0.19791925, ' Yes': -1.7356905, 'No': -6.2447925, ' ': -7.168334, 'Yes': -7.9326143}
{' No': -0.04068731, ' Yes': -3.3650126, 'No': -5.4874206, ' ': -7.1050105, '\n': -8.739623}
{' Yes': -0.0050560664, 'Yes': -5.333751, ' No': -9.030971, ' yes': -9.597009, ' ': -11.014371}
{' Yes': -0.008226185, 'Yes': -4.8165965, ' yes': -9.70158, ' YES': -10.815851, ' ': -11.347083}
{' Yes': -0.013506711, 'Yes': -4.339476, ' yes': -8.627981, ' No': -8.992467, ' YES': -10.543905}
{' Yes': -0.01811478, 'Yes': -4.0340924, ' yes': -8.792782, ' YES': -9.883881, ' ': -10.463999}
{' Yes': -0.019347815, 'Yes': -3.9721296, ' yes': -8.907046, ' No': -9.1645155, ' YES': -10.178241}
{' Yes': -0.023628283, 'Yes': -3.7686117, ' yes': -8.761999, ' YES': -9.539423, ' ': -10.595934}
{' Yes': -0.006390727, 'Yes': -5.098529, ' yes': -9.123602, ' No': -9.163152, ' YES': -10.619521}
{' Yes': -0.008931731, 'Yes': -4.7368827, ' yes': -9.586783, ' YES': -10.261052, ' ': -11.012605}
{' Yes': -0.021074539, 'Yes': -3.8823853, ' yes': -8.827213, ' ': -10.040972, ' No': -10.686045}
{' Yes': -0.025461748, 'Yes': -3.6916676, ' yes': -8.941221, ' ': -10.326851, ' YES': -10.471178}
{' Yes': -0.010172272, 'Yes': -4.642576, ' yes': -7.94998, ' ': -9.810665, ' No': -10.4095}
{' Yes': -0.017656462, 'Yes': -4.0842037, ' yes': -7.6277294, ' YES': -9.373594, ' ': -9.638773}
{' Yes': -0.0015619203, 'Yes': -7.2180033, ' No': -7.2716117, ' yes': -9.214637, ' ': -10.990346}
{' Yes': -0.0013244717, 'Yes': -6.71653, ' yes': -9.525028, ' YES': -10.948576, ' ': -11.020567}
{' Yes': -0.0055049327, 'Yes': -5.396599, ' No': -7.2556243, ' yes': -8.741579, ' ': -9.930756}
{' Yes': -0.00847219, 'Yes': -4.8058815, ' yes': -8.874061, ' YES': -9.877063, ' ': -10.011666}
{' Yes': -0.006251326, 'Yes': -5.307219, ' No': -7.08374, ' ': -8.677001, ' yes': -8.786127}
{' Yes': -0.008480786, 'Yes': -4.815034, ' yes': -8.948654, ' ': -9.331972, '\n': -9.688126}
{' Yes': -0.001537505, 'Yes': -6.661779, ' No': -8.70704, ' yes': -9.563669, ' ': -11.551827}
{' Yes': -0.0020888334, 'Yes': -6.2220936, ' yes': -9.577007, ' YES': -11.091995, ' ': -11.385271}
{' Yes': -0.009425475, 'Yes': -4.83942, ' ': -7.4367967, ' No': -7.6444674, '\n': -8.488755}
{' Yes': -0.010218517, 'Yes': -4.63267, ' ': -8.693983, ' yes': -8.882079, '\n': -9.626623}
{' Yes': -0.0050086225, 'Yes': -5.5022883, ' yes': -7.777988, '\n': -8.68552, ' ': -8.812531}
{' Yes': -0.007607634, 'Yes': -4.9833136, ' yes': -7.658524, ' ': -9.20159, '\n': -9.425504}
{' Yes': -0.016612941, 'Yes': -4.175817, ' yes': -7.336076, ' No': -8.000261, ' ': -9.930174}
{' Yes': -0.027101621, 'Yes': -3.7082825, ' yes': -6.244943, ' YES': -8.796423, 'yes': -9.52926}
{' Yes': -0.028647149, 'Yes': -3.583184, ' yes': -8.460819, ' No': -8.597818, 'yes': -10.937311}
{' Yes': -0.043308727, 'Yes': -3.1742978, ' yes': -7.7527695, ' YES': -9.690165, 'yes': -9.929211}
{' Yes': -0.057302035, 'Yes': -2.904508, ' yes': -7.4736037, ' ': -9.213643, ' YES': -9.263075}
{' Yes': -0.07855253, 'Yes': -2.59965, ' yes': -7.0732555, ' YES': -8.682577, 'yes': -9.186089}
{' Yes': -0.01040563, 'Yes': -4.861195, ' No': -6.1017003, ' yes': -8.178615, 'No': -10.265664}
{' Yes': -0.015491255, 'Yes': -4.2186236, ' yes': -7.4894676, ' YES': -10.017312, 'yes': -10.554124}
{' Yes': -0.041090228, 'Yes': -3.223032, ' yes': -8.343061, ' ': -9.4335785, 'yes': -10.409637}
{' Yes': -0.057221565, 'Yes': -2.9032853, ' yes': -7.5786657, ' ': -9.3917055, ' YES': -9.39808}
{' Yes': -0.034029726, 'Yes': -3.4380648, ' yes': -6.79685, ' ': -9.691732, 'yes': -9.759798}
{' Yes': -0.06353827, 'Yes': -2.8749378, ' yes': -5.388531, 'yes': -8.2482605, ' YES': -8.795374}
{' Yes': -0.0037621902, 'Yes': -6.3330255, ' yes': -6.9805956, ' No': -7.087912, ' ': -8.855609}
{' Yes': -0.0026596563, 'Yes': -6.2765946, ' yes': -7.270918, ' ': -10.160163, ' YES': -10.58349}
{' Yes': -0.008712906, 'Yes': -4.9159927, ' yes': -7.388471, ' No': -7.5042415, ' ': -9.146577}
{' Yes': -0.0137794, 'Yes': -4.368605, ' yes': -7.0947113, ' ': -9.557691, ' YES': -9.698021}
{' Yes': -0.0069278716, 'Yes': -5.0725384, ' yes': -8.441364, ' ': -8.646393, ' No': -8.759396}
{' Yes': -0.010916796, 'Yes': -4.563422, ' yes': -8.253066, ' ': -9.23182, ' YES': -10.406921}
{' Yes': -0.003623574, 'Yes': -5.8527594, ' yes': -7.382316, ' ': -10.075536, ' No': -10.109172}
{' Yes': -0.008243312, 'Yes': -4.9230933, ' yes': -7.1744533, ' ': -9.570996, ' YES': -10.091533}
{' Yes': -0.007656225, 'Yes': -5.0246487, ' ': -7.671482, ' yes': -8.178789, ' No': -8.657051}
{' Yes': -0.015091623, 'Yes': -4.268597, ' yes': -7.555296, ' ': -8.256081, '\n': -9.082911}
{' Yes': -0.013399175, 'Yes': -4.821094, ' yes': -5.4904366, '\n': -7.7285132, ' ': -7.821223}
{' Yes': -0.022536824, 'Yes': -4.183864, ' yes': -5.1117835, ' ': -8.001722, '\n': -8.065801}
{' Yes': -0.0016896245, 'Yes': -6.879014, ' No': -7.717451, ' yes': -9.257163, ' ': -9.404113}
{' Yes': -0.0017215057, 'Yes': -6.456769, ' yes': -9.603576, ' ': -9.9973345, ' YES': -11.012248}
{' Yes': -0.0069216876, 'Yes': -5.151062, ' No': -7.2529497, ' ': -8.682073, ' yes': -8.697278}
{' Yes': -0.009590711, 'Yes': -4.6877656, ' yes': -8.863508, ' ': -9.076485, ' YES': -10.222113}
{' Yes': -0.007842195, 'Yes': -5.3569956, ' No': -6.05079, ' ': -7.7510495, '\n': -8.727679}
{' Yes': -0.0094796885, 'Yes': -4.7233715, ' ': -8.461445, '\n': -8.50329, ' yes': -9.309309}
{' Yes': -0.0016689047, 'Yes': -6.8098083, ' No': -7.859159, ' ': -9.420171, ' yes': -9.506121}
{' Yes': -0.0024613186, 'Yes': -6.090281, ' yes': -9.351274, ' ': -9.625871, ' YES': -10.804696}
{' Yes': -0.014847736, 'Yes': -4.6997666, ' No': -5.828877, ' ': -6.432797, '\n': -7.089671}
{' Yes': -0.011470974, 'Yes': -4.5287724, ' ': -7.9878125, '\n': -8.815332, ' yes': -9.31535}
{' Yes': -0.0028899538, 'Yes': -6.0239615, ' yes': -8.761917, ' No': -8.89355, ' ': -9.157455}
