{' Yes': -0.0008259966, 'Yes': -7.33266, ' Spider': -9.466446, ' yes': -10.101548, ' The': -10.42057}
{' Yes': -0.0019173673, 'Yes': -6.599308, ' ': -8.598093, ' YES': -8.7143, ' yes': -9.291279}
{' Yes': -0.44737276, ' No': -1.0393469, 'Yes': -5.940874, 'No': -6.237221, '\n': -6.7642837}
{' Yes': -0.02267644, ' No': -3.918861, 'Yes': -6.0849814, ' yes': -9.282324, 'No': -9.688861}
{' No': -0.021606842, ' Yes': -3.9990463, 'No': -6.0314527, ' Dis': -7.980444, '\n': -9.376339}
{' No': -0.38784277, ' Yes': -1.1416365, 'No': -6.8129697, 'Yes': -7.7023816, '\n': -8.23325}
{' Yes': -0.058762487, ' No': -2.882041, 'Yes': -7.1197414, ' yes': -9.132295, 'No': -10.069217}
{' Yes': -0.029341597, ' No': -3.667006, 'Yes': -5.9083066, ' The': -8.444676, ' yes': -8.781189}
{' Yes': -0.0029064526, 'Yes': -6.5715127, ' No': -6.7420397, ' yes': -8.938046, ' The': -9.300185}
{' Yes': -0.008070065, ' No': -5.056469, 'Yes': -6.4915295, ' The': -10.16939, ' yes': -10.237791}
{' No': -0.09523431, ' Yes': -2.4248488, 'No': -6.87134, ' The': -7.372234, ' ': -8.6924925}
{' Yes': -0.011274741, ' No': -4.8605485, 'Yes': -6.410736, ' The': -6.7551484, ' yes': -7.7286415}
{' No': -0.028044268, ' Yes': -3.7373698, 'No': -5.7578964, ' The': -8.010233, '\n': -9.192825}
{' Yes': -0.6229984, ' No': -0.7874348, ' The': -5.6471257, 'Yes': -6.0855684, 'No': -6.185788}
{' No': -0.11389054, ' Yes': -2.261729, ' Ex': -6.5042386, 'No': -7.026183, ' The': -7.1560388}
{' No': -0.037051525, ' Yes': -3.3619204, 'No': -6.6541524, ' ': -8.908455, ' The': -9.331843}
{' Yes': -0.023611253, ' No': -3.809357, 'Yes': -7.2813735, ' Dollar': -8.996056, ' yes': -9.006338}
{' Yes': -0.010914206, ' No': -4.6851444, 'Yes': -6.7091866, ' The': -8.784454, ' yes': -9.349251}
{' Yes': -0.6752036, ' Planet': -1.1477531, ' No': -1.7742711, 'Yes': -6.502072, 'Planet': -7.2817287}
{' Yes': -0.1633778, ' No': -1.9092904, 'Yes': -6.299383, 'No': -7.9549766, ' yes': -9.325659}
{' Yes': -0.054146986, ' No': -3.0016432, 'Yes': -5.9567404, 'No': -8.760776, ' yes': -9.349557}
{' Yes': -0.0069446764, ' No': -5.1808486, 'Yes': -6.8294845, ' yes': -9.340787, ' ': -9.707457}
{' Yes': -0.00229851, 'Yes': -6.179216, ' yes': -10.022673, ' Pres': -10.151064, ' ': -10.155361}
{' Yes': -0.1901136, ' No': -1.7883536, 'Yes': -5.4518895, 'No': -7.056706, '\n': -8.333079}
{' No': -0.19783324, ' Yes': -1.7758, ' Circus': -5.9184422, ' Circ': -6.082877, 'No': -6.338895}
{' No': -0.086840786, ' Yes': -2.5359166, 'No': -6.615628, ' Circ': -6.9218836, ' The': -7.451607}
{' Yes': -0.2732863, ' No': -1.452621, 'Yes': -5.8984327, 'No': -7.0880404, ' yes': -7.893643}
{' Yes': -0.021535948, ' No': -4.0353317, 'Yes': -5.8299003, '\n': -8.344177, ' The': -8.58378}
{' Yes': -0.65610445, ' No': -0.7358546, 'No': -6.961554, 'Yes': -7.348174, ' ': -8.923598}
{' Yes': -0.0619065, ' No': -2.842321, 'Yes': -6.773156, 'No': -8.748736, ' Finger': -9.143498}
{' Yes': -0.0029520025, 'Yes': -5.957667, ' yes': -9.005269, ' The': -9.127233, ' ': -10.145101}
{' Yes': -0.102472454, ' No': -2.3885212, 'Yes': -6.0573955, ' The': -6.343043, ' yes': -7.8268514}
{' Yes': -0.06244254, ' No': -2.8347182, 'Yes': -6.60118, ' yes': -9.124423, ' ': -9.174584}
{' Yes': -0.0024125644, 'Yes': -6.3480387, ' The': -8.131814, ' No': -8.594584, ' yes': -9.541839}
{' Yes': -0.40621954, ' No': -1.1093751, 'Yes': -6.2615356, 'No': -6.43733, ' The': -8.281967}
{' Yes': -0.06451199, ' No': -2.8130372, 'Yes': -6.241214, 'No': -8.879388, ' The': -9.000471}
{' Yes': -0.0082843, 'Yes': -5.33269, ' Sc': -6.6493855, ' yes': -7.0837917, ' No': -7.499232}
{' Yes': -0.01503523, ' No': -5.082601, 'Yes': -5.441915, ' Sc': -5.730497, ' yes': -7.672863}
{' No': -0.1281264, ' Yes': -2.1364462, 'No': -6.399597, 'Yes': -8.437792, ' The': -9.242279}
{' No': -0.04973001, ' Yes': -3.1368916, 'No': -5.450866, ' ': -7.974298, 'Yes': -8.173196}
{' Yes': -0.16908596, ' No': -1.8845266, 'Yes': -6.137357, 'No': -7.451753, '\n': -8.098845}
{' No': -0.3519288, ' Yes': -1.2324296, 'No': -6.194961, 'Yes': -6.710113, ' The': -7.503289}
{' Yes': -0.27798364, ' No': -1.4236821, 'Yes': -6.789355, 'No': -7.8337326, ' The': -9.087254}
{' No': -0.39761913, ' Yes': -1.1215667, 'No': -6.612018, 'Yes': -7.308313, ' ': -9.438714}
{' Yes': -0.38200736, ' No': -1.1507642, 'Yes': -7.4024997, 'No': -8.183164, ' ': -9.897912}
{' No': -0.2345676, ' Yes': -1.5788783, 'No': -6.3438454, 'Yes': -7.497684, ' The': -8.581028}
{' Yes': -0.016897937, ' No': -4.2663903, 'Yes': -6.136748, ' The': -8.609869, ' yes': -8.824957}
{' No': -0.1300223, ' Yes': -2.1244452, 'No': -6.4037876, 'Yes': -8.289139, ' The': -8.364321}
{' No': -0.12392193, ' Yes': -2.177791, 'No': -6.1141944, ' The': -8.080559, 'Yes': -8.1840105}
{' No': -0.32872465, ' Yes': -1.2869803, 'No': -5.9848905, 'Yes': -7.116898, ' ': -8.270352}
{' Yes': -0.010890886, ' No': -4.883955, ' Repeat': -6.05944, 'Yes': -7.4847045, ' YES': -8.899306}
{' Yes': -0.0042375885, ' No': -5.682254, 'Yes': -7.4039736, ' yes': -9.308358, ' The': -9.523437}
{' Yes': -0.0006281441, 'Yes': -7.5774693, ' yes': -9.898845, ' The': -10.500681, ' No': -10.902426}
{' Yes': -0.0015252677, 'Yes': -7.2397246, ' No': -7.5695353, ' yes': -9.082877, ' ': -9.450011}
{' Yes': -0.0005573492, 'Yes': -7.898026, ' No': -8.937107, ' yes': -10.61528, ' ': -11.475371}
{' Yes': -0.0057658576, ' Candle': -5.9519515, ' No': -6.2952824, 'Yes': -7.157591, ' YES': -8.583567}
{' Yes': -0.022663388, ' No': -3.872372, 'Yes': -7.1158156, ' The': -7.8338604, ' yes': -8.621328}
{' Yes': -0.09194546, ' No': -2.4532182, ' The': -7.3057036, 'Yes': -7.5331793, ' yes': -8.3837}
{' Yes': -0.057916377, ' Bleach': -3.726686, ' No': -3.7645261, ' Ble': -5.666211, 'Yes': -6.165483}
{' Yes': -0.0026845194, 'Yes': -6.6539044, ' No': -6.7494555, ' yes': -8.895324, ' The': -10.496736}
{' Yes': -0.016215166, ' No': -4.231978, 'Yes': -6.696678, ' ': -9.199223, ' yes': -9.5956335}
{' Yes': -0.0010384442, 'Yes': -7.5487347, ' No': -8.296783, ' yes': -8.962173, ' The': -9.711946}
{' Yes': -0.6240313, ' No': -0.7698176, 'Yes': -7.6505184, 'No': -7.8952255, ' ': -9.244648}
{' Yes': -0.452841, ' No': -1.0242044, 'Yes': -6.5092163, ' The': -6.877483, 'No': -7.02671}
{' Yes': -0.26825097, ' No': -1.453342, 'Yes': -7.2360754, ' The': -8.10723, 'No': -8.136771}
{' No': -0.02401839, ' Yes': -3.846938, 'No': -6.1150002, 'Yes': -9.664062, ' Indian': -10.432668}
{' Yes': -0.0016601294, ' No': -6.8980546, 'Yes': -7.5069585, ' ': -9.741337, ' yes': -10.729138}
{' Yes': -0.029708588, ' No': -3.56369, 'Yes': -7.3189406, ' ': -9.217364, ' yes': -9.628754}
{' Yes': -0.39134622, ' No': -1.1407799, 'Yes': -6.1681504, 'No': -6.4531827, ' Hungry': -8.130804}
{' Yes': -0.03912513, ' No': -3.306373, 'Yes': -7.055467, '\n': -7.8740897, ' yes': -8.659762}
{' No': -0.0032852218, ' Yes': -6.285525, 'No': -6.6917324, ' ': -9.141647, '\n': -10.228176}
{' No': -0.010525492, ' Yes': -4.961325, 'No': -5.8419995, ' ': -7.777069, ' Number': -9.896339}
{' No': -0.4729315, ' Yes': -0.98268193, 'No': -6.9167213, 'Yes': -7.566847, ' ': -7.594277}
{' No': -0.48916313, ' Yes': -0.95415753, 'No': -7.3610973, 'Yes': -7.9962816, ' ': -8.035292}
{' Yes': -0.0011263395, 'Yes': -6.8434615, ' yes': -10.451539, ' ': -11.431593, ' YES': -11.691827}
{' Yes': -0.0015998886, 'Yes': -6.575622, ' yes': -9.1501, ' ': -10.001925, ' The': -10.834847}
{' Yes': -0.42220977, ' No': -1.0733786, 'Yes': -6.868651, 'No': -7.4316645, ' The': -7.778071}
{' Yes': -0.12120667, ' No': -2.8393862, ' Pepper': -3.732237, ' Pe': -4.0949674, 'Yes': -5.1992455}
{' Yes': -0.0025681006, ' No': -6.5966616, 'Yes': -6.9348264, ' ': -9.358512, ' The': -9.629798}
{' Yes': -0.0036351194, ' No': -6.2019024, 'Yes': -6.666347, ' The': -8.85712, ' yes': -9.441412}
{' Yes': -0.06034918, ' No': -3.14247, ' Nep': -4.988383, ' ': -5.3586125, 'Yes': -5.862387}
{' Yes': -0.08142856, ' No': -2.7021255, 'Yes': -5.2468967, ' Neph': -6.1889935, ' Nep': -6.731986}
{' No': -0.42826793, ' Yes': -1.0576566, 'No': -7.394305, 'Yes': -8.068435, ' ': -9.27221}
{' Yes': -0.1753945, ' No': -1.8354554, 'Yes': -7.135393, 'No': -8.595757, ' ': -8.606319}
{' Yes': -0.0012991048, 'Yes': -7.1840663, ' No': -7.7319965, ' ': -10.09399, ' yes': -10.279411}
{' Yes': -0.0010872569, 'Yes': -7.4461856, ' No': -7.908935, ' ': -9.937821, ' yes': -10.151897}
{' Yes': -0.0271753, ' No': -3.6717942, 'Yes': -6.731086, ' The': -9.669309, ' ': -10.093038}
{' Yes': -0.40801227, ' No': -1.1015128, 'Yes': -6.20372, 'No': -7.7733335, ' ': -9.426179}
{' No': -0.0063222833, 'No': -5.767919, ' Yes': -5.803855, ' ': -9.63812, ' The': -10.236621}
{' Yes': -0.21024863, ' No': -1.6740587, 'Yes': -6.75744, 'No': -8.157694, ' ': -8.204596}
{' Yes': -0.020051163, ' No': -3.9724705, 'Yes': -7.1331873, ' ': -9.571275, ' The': -9.885669}
{' Yes': -0.050973658, ' Energy': -3.2857492, ' No': -4.6035857, 'Yes': -6.700698, ' ': -7.913619}
{' Yes': -0.0018792074, 'Yes': -6.594759, ' No': -7.8147964, ' yes': -9.869593, ' ': -10.767807}
{' Yes': -0.012742387, ' No': -4.424659, 'Yes': -7.4487276, ' yes': -10.212935, ' ': -10.3326845}
{' Yes': -0.3239133, ' No': -1.2883373, 'Yes': -7.8510365, ' The': -8.413639, 'No': -8.868778}
{' No': -0.0121737495, ' Yes': -5.0616484, 'No': -5.917405, ' Pen': -5.980321, ' Nope': -8.98778}
{' Yes': -0.041653868, ' No': -3.2335236, 'Yes': -6.9532766, ' The': -8.749564, ' yes': -9.400206}
{' No': -0.02394379, ' Yes': -4.152184, 'No': -5.202037, ' ': -6.7844243, '\n': -6.993815}
{' Yes': -0.0011611878, 'Yes': -6.8570094, '\n': -9.940715, ' ': -10.900146, ' yes': -10.972716}
{' Yes': -0.00043927436, 'Yes': -7.9957047, ' No': -9.642838, ' yes': -10.646395, ' YES': -12.282188}
{' Yes': -0.0047882576, ' No': -5.649039, 'Yes': -6.8845925, ' The': -9.210623, ' yes': -9.644947}
{' Yes': -0.012024251, ' No': -4.916531, ' Seller': -6.0576825, 'Yes': -6.438343, ' yes': -7.977068}
{' Yes': -0.6480329, ' No': -0.7773568, ' Bl': -4.2233844, ' ': -6.747007, 'Yes': -7.395229}
{' No': -0.5959427, ' Yes': -0.81073123, ' Bl': -6.634798, 'Yes': -6.9454165, 'No': -7.13202}
{' Yes': -0.015670937, ' No': -4.2355766, 'Yes': -7.1136622, ' The': -9.262691, ' yes': -9.433027}
{' Yes': -0.017547999, ' No': -4.155354, 'Yes': -6.9030876, ' ': -8.028484, ' B': -8.746445}
{' Yes': -0.02019779, ' No': -3.953963, 'Yes': -7.2169404, 'No': -10.842241, ' ': -10.856752}
{' Yes': -0.12390209, ' No': -2.158572, 'Yes': -7.2183533, ' The': -9.179645, 'No': -9.192624}
{' Yes': -0.0008947209, 'Yes': -7.192995, ' ': -10.139057, ' No': -10.461135, ' yes': -10.469622}
{' Yes': -0.0015961875, 'Yes': -7.0539103, ' No': -7.324279, ' yes': -10.242642, ' ': -10.960053}
{' Yes': -0.0013387355, 'Yes': -6.707393, ' No': -10.1223135, ' yes': -10.244677, ' ': -11.00993}
{' Yes': -0.04985537, ' No': -3.0641851, 'Yes': -6.513587, ' ': -8.4580765, 'No': -9.246062}
{' No': -0.031435814, ' Yes': -3.5155358, 'No': -6.9492903, ' The': -8.935629, ' ': -9.998605}
{' No': -0.07826939, ' Yes': -2.63787, 'No': -5.923047, ' The': -7.7965784, ' ': -8.264585}
{' Yes': -0.020839045, ' No': -3.9906988, 'Yes': -6.4425454, '\n': -8.509255, ' The': -8.963724}
{' Yes': -0.022553587, ' No': -4.6896276, 'Yes': -4.744151, ' Stars': -5.9040074, ' yes': -7.7534833}
{' Yes': -0.0015228798, 'Yes': -6.905321, ' No': -8.328352, ' yes': -9.2078, ' The': -9.296213}
{' Yes': -0.03068651, ' No': -3.5353649, 'Yes': -7.2948475, ' Doctor': -8.647201, ' yes': -9.306698}
{' No': -0.23291583, ' Yes': -1.5821455, 'No': -6.4976287, 'Yes': -7.6599708, ' The': -9.462254}
{' Yes': -0.10403624, ' No': -2.3383064, 'Yes': -6.3756404, ' yes': -8.606854, 'No': -8.7201395}
{' Yes': -0.13284597, ' No': -2.0962915, 'Yes': -7.164193, ' ': -8.161605, ' The': -8.865792}
{' No': -0.464001, ' Yes': -1.0018162, 'No': -6.3024635, 'Yes': -6.7524834, ' The': -7.710676}
{' No': -0.39113274, ' Yes': -1.1348233, 'No': -6.9002347, 'Yes': -7.4115715, ' The': -8.410934}
{' Yes': -0.31581405, ' No': -1.3142214, 'Yes': -7.3521924, ' The': -7.584668, ' ': -8.230116}
{' Yes': -0.010662235, ' No': -5.370085, 'Yes': -5.449436, ' The': -7.2354794, ' States': -7.7856483}
{' Yes': -0.05145241, ' No': -3.048641, 'Yes': -6.1436796, ' yes': -8.802727, ' The': -8.833736}
{' Yes': -0.008433721, ' No': -4.90203, 'Yes': -7.062238, ' ': -10.123162, ' The': -10.210855}
{' Yes': -0.033953756, ' No': -3.4452791, 'Yes': -6.7077303, ' The': -9.11425, ' ': -9.669967}
{' No': -0.013110827, ' Yes': -4.6224475, ' Ex': -6.1055613, 'No': -7.2237597, ' ': -9.352067}
{' Yes': -0.098716095, ' No': -2.3837807, 'Yes': -6.6702647, 'No': -8.704001, ' ': -9.132689}
{' Yes': -0.01223288, ' No': -5.3062277, ' Loving': -5.81816, 'Yes': -5.918841, ' ': -7.505509}
{' Yes': -0.018540338, ' No': -4.0945497, 'Yes': -7.0243535, ' The': -8.142291, ' ': -8.372151}
{' No': -0.27181527, ' Yes': -1.4395972, 'No': -7.6498036, ' ': -8.331647, 'Yes': -8.640628}
{' No': -0.37067735, ' Yes': -1.1798565, 'No': -7.098874, ' The': -7.3621492, 'Yes': -7.7142587}
{' Yes': -0.09900224, ' No': -2.4378638, ' ': -5.6850886, 'Yes': -6.3426886, ' Butter': -7.133716}
{' Yes': -0.0050186235, ' No': -5.611347, 'Yes': -6.704317, ' yes': -9.78293, ' ': -10.787168}
{' No': -0.052062552, ' Yes': -3.0059085, 'No': -6.8294625, ' ': -9.44493, 'Yes': -9.780434}
{' Yes': -0.009736959, ' No': -4.7344418, 'Yes': -7.3144145, ' ': -9.092813, ' yes': -9.80494}
{' No': -0.47957137, ' Yes': -0.9700975, ' The': -7.18371, 'No': -7.5154867, 'Yes': -7.760123}
{' Yes': -0.3309187, ' No': -1.2780317, ' The': -6.731524, 'Yes': -6.876025, 'No': -7.912574}
{' Yes': -0.029593589, ' No': -4.1528788, ' She': -4.996686, 'Yes': -5.1920652, ' ': -8.619031}
{' Yes': -0.005421207, ' No': -5.5952935, 'Yes': -6.542952, ' yes': -9.108399, ' The': -9.326595}
{' Yes': -0.013152497, ' No': -4.5341043, 'Yes': -6.2313566, ' yes': -8.85889, ' ': -9.278573}
{' Yes': -0.019324541, ' No': -4.064145, 'Yes': -6.50882, ' The': -8.781852, ' yes': -8.870824}
{' No': -0.10804147, ' Yes': -2.2864587, 'No': -7.4669127, 'Yes': -9.265843, ' ': -10.140148}
{' Yes': -0.02328859, ' No': -3.8200622, 'Yes': -7.0113864, ' yes': -9.781007, ' ': -10.142979}
{' Yes': -0.062458206, ' No': -2.8223648, 'Yes': -7.332662, ' The': -8.438606, ' ': -9.421776}
{' No': -0.34707156, ' Yes': -1.2498521, ' Minute': -5.2844834, ' ': -7.339118, 'No': -7.551842}
{' Yes': -0.118093975, ' No': -2.2087903, 'Yes': -6.73477, 'No': -8.541321, ' ': -9.223553}
{' Yes': -0.01786129, ' No': -4.108683, 'Yes': -6.8792124, ' Car': -9.334895, ' ': -9.850951}
{' Yes': -0.03435896, ' No': -3.4344096, 'Yes': -7.2614646, ' The': -7.839847, ' yes': -8.272507}
{' Yes': -0.009509534, ' No': -4.796521, 'Yes': -7.0404, ' ': -9.0755415, ' The': -9.315408}
{' Yes': -0.037518017, ' No': -3.335644, 'Yes': -7.16658, ' The': -8.632404, ' ': -9.076731}
{' No': -0.021135783, ' Yes': -4.018463, 'No': -5.9361496, ' Not': -9.278225, ' ': -9.524685}
{' No': -0.05807277, ' Yes': -2.8903081, 'No': -7.5345244, ' The': -8.772576, ' ': -9.714182}
{' No': -0.6454841, ' Yes': -0.7459366, 'Yes': -7.6468935, 'No': -7.8632836, '\n': -8.921458}
{' Yes': -0.0004895429, 'Yes': -7.7977815, ' yes': -10.406955, ' The': -10.934615, ' ': -11.464536}
{' Yes': -0.0011871463, 'Yes': -7.0660534, ' No': -8.862828, ' yes': -9.558762, ' The': -9.855906}
{' Yes': -0.0017670059, 'Yes': -6.852282, ' France': -7.993624, ' No': -8.441497, ' ': -9.656779}
{' Yes': -0.00061406806, 'Yes': -7.9382906, ' No': -8.523033, ' yes': -10.354369, ' ': -11.426261}
{' Yes': -0.62443703, ' No': -0.7684743, 'Yes': -8.390184, 'No': -8.658442, ' ': -8.961496}
{' Yes': -0.41097933, ' No': -1.1132594, ' Muscle': -5.6339006, 'Yes': -6.48725, ' ': -6.531745}
{' Yes': -0.039506026, ' No': -3.321412, ' Empire': -6.976441, ' The': -7.153294, 'Yes': -7.467652}
{' Yes': -0.384648, ' Empire': -1.3291898, ' No': -3.015757, ' Emperor': -6.2570295, 'Yes': -6.5541925}
{' No': -0.04118985, ' Yes': -3.244429, 'No': -6.795613, ' ': -9.040322, 'Yes': -9.894626}
{' No': -0.0048056855, 'No': -5.752588, ' Yes': -6.498311, ' ': -9.727123, '\n': -10.082529}
{' Yes': -0.0044831587, ' No': -5.6832833, 'Yes': -7.1003065, ' Hunger': -9.381032, ' ': -9.4019785}
{' Yes': -0.0020504312, ' No': -6.6526384, 'Yes': -7.4528713, ' yes': -9.6910715, '\n': -10.212983}
{' Yes': -0.004397126, ' No': -5.649784, 'Yes': -7.28331, ' ': -9.426558, ' yes': -10.030081}
{' No': -0.11901758, ' Yes': -2.3381126, '\n': -4.3828974, 'No': -6.613297, ' ': -7.111857}
{' Yes': -0.019519381, ' No': -4.0074725, 'Yes': -7.0845766, ' yes': -8.87287, ' The': -9.459323}
{' Yes': -0.045437336, ' No': -3.142365, 'Yes': -6.957493, ' yes': -9.003765, 'No': -9.905149}
{' No': -0.04870604, ' Yes': -3.0601823, 'No': -7.545564, ' ': -9.834688, 'Yes': -10.235335}
{' Yes': -0.025596391, ' No': -3.7452886, 'Yes': -6.7559943, ' ': -8.706765, ' yes': -9.206399}
{' Yes': -0.04020655, ' No': -3.274965, 'Yes': -6.9499526, ' The': -8.347508, ' yes': -8.6214075}
{' Yes': -0.032429263, ' No': -3.482037, 'Yes': -7.019602, ' The': -9.35676, ' yes': -9.54945}
{' Yes': -0.051370207, ' No': -3.0715194, 'Yes': -6.414796, ' The': -6.692754, ' ': -7.9418397}
{' Yes': -0.15302515, ' No': -2.0065389, 'Yes': -5.508143, ' ': -6.8315625, ' The': -7.1113453}
{' Yes': -0.43324387, ' No': -1.0495882, 'Yes': -7.2397966, 'No': -8.16996, ' ': -8.421935}
{' No': -0.32021102, ' Yes': -1.3521153, ' It': -5.433225, ' ': -5.792775, '\n': -5.9148245}
{' Yes': -0.21392229, ' No': -1.656143, 'Yes': -7.185598, ' ': -8.015787, ' The': -8.50277}
{' Yes': -0.20124465, ' No': -1.7268413, ' The': -6.1513305, 'Yes': -6.9132423, ' ': -7.5474567}
{' No': -0.043384854, ' Yes': -3.359854, 'No': -5.912925, ' Issue': -6.4863806, ' The': -7.183349}
{' Yes': -0.041272216, ' No': -3.2472696, 'Yes': -6.777644, ' ': -8.973729, ' yes': -9.250442}
{' Yes': -0.010796528, ' No': -4.6407423, 'Yes': -7.208163, ' The': -8.927135, ' yes': -9.239902}
{' Yes': -0.1964692, ' No': -1.7357262, 'Yes': -6.8714676, ' ': -7.809594, 'No': -8.171354}
{' No': -0.20875369, ' Yes': -1.6756192, 'No': -7.4369254, 'Yes': -7.753122, ' The': -9.322348}
{' No': -0.28255486, ' Yes': -1.4092028, 'No': -7.027176, 'Yes': -7.276102, ' ': -9.08709}
{' Yes': -0.10122197, ' No': -2.3856325, 'Yes': -6.1077104, ' The': -6.5839834, ' yes': -8.397847}
{' Yes': -0.23688778, ' No': -1.5913705, ' Sne': -5.8221407, 'Yes': -5.863715, 'No': -7.9288697}
{' No': -0.006819784, ' Yes': -5.663195, 'No': -5.785731, ' ': -8.783234, ' Not': -10.0704775}
{' Yes': -0.00285857, ' No': -6.672395, 'Yes': -6.699741, ' yes': -9.085233, ' The': -9.313075}
{' Yes': -0.0017056847, ' No': -6.75807, 'Yes': -7.7162247, ' ': -9.885956, ' yes': -10.641224}
{' Yes': -0.08897728, ' No': -2.4733615, 'Yes': -7.5040364, ' ': -9.056447, 'No': -9.553166}
{' Yes': -0.002593918, ' No': -6.632261, 'Yes': -7.0486393, ' The': -9.01746, ' yes': -9.082155}
{' Yes': -0.009365488, ' No': -4.9357877, 'Yes': -6.3550353, ' yes': -8.593119, ' The': -9.427387}
{' Yes': -0.0039196135, 'Yes': -6.70643, ' The': -6.938112, ' No': -6.9757495, ' yes': -7.4805903}
{' Yes': -0.0029996492, 'Yes': -6.47181, ' No': -6.8660417, ' yes': -8.114575, ' YES': -10.233275}
{' Yes': -0.5126177, ' No': -0.9175326, 'No': -7.1563783, 'Yes': -7.372864, ' ': -9.167456}
{' Yes': -0.0064625335, ' No': -5.216379, 'Yes': -7.031904, ' yes': -9.83164, ' ': -9.901312}
{' Yes': -0.0064140595, ' No': -5.234691, 'Yes': -7.127998, ' yes': -8.968608, ' ': -9.407814}
{' Yes': -0.0010173838, 'Yes': -7.17129, ' ': -9.3024435, ' yes': -9.753247, ' YES': -10.044419}
{' Yes': -0.32543474, ' No': -1.2965995, 'Yes': -6.247708, 'No': -6.91705, '\n': -7.6047177}
{' Yes': -0.0103610605, ' No': -4.7797756, 'Yes': -6.3301525, ' yes': -9.832615, ' ': -10.531456}
{' No': -0.011247734, ' Yes': -4.7021523, 'No': -6.478651, ' Dis': -8.360699, ' ': -8.770786}
{' Yes': -0.4909658, ' No': -0.94959915, 'Yes': -7.6999483, 'No': -8.237682, ' ': -8.821324}
{' Yes': -0.014146408, ' No': -4.311921, 'Yes': -7.6067023, ' yes': -9.524482, ' ': -10.29519}
{' Yes': -0.0035866054, 'Yes': -6.276238, ' No': -6.6689854, ' ': -8.950504, ' yes': -9.063339}
{' Yes': -0.00337056, ' No': -6.1086497, 'Yes': -7.0754886, ' yes': -8.753399, ' The': -9.82815}
{' Yes': -0.009686342, ' Hammer': -4.9006124, 'Yes': -6.551455, ' No': -7.9203687, ' ': -8.418735}
{' No': -0.6581779, ' Yes': -0.7347314, ' The': -6.936479, 'No': -7.6668143, 'Yes': -7.7087235}
{' Yes': -0.0042165797, ' No': -5.8608828, 'Yes': -7.170188, ' yes': -8.234178, ' The': -8.335639}
{' No': -0.13301276, ' Yes': -2.101902, 'No': -6.5428386, ' The': -7.784815, 'Yes': -8.531186}
{' Yes': -0.2085762, ' No': -1.7340012, ' The': -5.1464176, 'Yes': -5.8242836, 'No': -7.1241283}
{' No': -0.16483025, ' Yes': -1.8995066, ' The': -6.944876, 'No': -7.4741354, ' Ex': -7.727544}
{' No': -0.38460892, ' Yes': -1.1463239, 'No': -7.336368, 'Yes': -7.999927, ' ': -8.347358}
{' Yes': -0.0032236879, ' No': -6.0301914, 'Yes': -7.7169476, ' ': -8.346974, ' yes': -9.674503}
{' Yes': -0.0025901531, 'Yes': -6.771484, ' No': -6.8356495, ' ': -9.075041, ' yes': -9.366009}
{' No': -0.6740644, ' Yes': -1.1480787, ' Planet': -1.7735114, 'No': -6.6235213, 'Yes': -7.220948}
{' Yes': -0.055911448, ' No': -2.9987578, 'Yes': -6.1179285, ' Planet': -6.3268423, 'No': -9.003383}
{' Yes': -0.0027311372, 'Yes': -6.5674033, ' No': -6.687324, ' yes': -10.18065, ' ': -11.0250025}
{' Yes': -0.001959049, ' No': -6.7348385, 'Yes': -7.399099, ' yes': -9.546211, ' ': -9.928587}
{' Yes': -0.0051847557, ' No': -5.8825817, 'Yes': -6.181895, ' ': -9.1698265, ' The': -9.638199}
{' Yes': -0.083960526, ' No': -2.5835311, 'Yes': -5.475304, 'No': -8.067788, ' The': -8.916573}
{' No': -0.043669865, ' Yes': -3.4196272, ' Circ': -5.474334, ' Circus': -5.943871, 'No': -6.514725}
{' No': -0.45957556, ' Yes': -1.0029335, 'Yes': -7.502357, 'No': -7.8214273, ' Circ': -8.091972}
{' Yes': -0.1804809, ' No': -1.8144034, 'Yes': -6.551368, 'No': -8.210224, ' ': -8.677811}
{' Yes': -0.008200525, ' No': -5.087781, 'Yes': -6.3363285, ' yes': -9.608578, '\n': -9.778894}
{' Yes': -0.06422797, ' No': -2.7881334, 'Yes': -7.782125, ' ': -9.5518465, ' yes': -9.790158}
{' No': -0.6935407, ' Yes': -0.7093165, ' Finger': -5.2636375, 'No': -6.648348, 'Yes': -7.298153}
{' Yes': -0.0015053881, 'Yes': -6.622046, ' yes': -9.680471, ' The': -9.803802, ' ': -10.676001}
{' Yes': -0.027744558, ' No': -3.776028, 'Yes': -6.210053, ' The': -6.748354, ' ': -7.6319675}
{' Yes': -0.012098813, ' No': -4.507344, 'Yes': -7.048797, ' yes': -9.658676, ' ': -10.391062}
{' Yes': -0.0024610793, 'Yes': -6.876455, ' The': -6.9660683, ' No': -8.289099, ' yes': -9.155597}
{' Yes': -0.38080686, ' No': -1.1592836, 'Yes': -6.7007284, 'No': -6.859221, ' The': -8.006451}
{' Yes': -0.54203564, ' No': -0.8753009, 'Yes': -7.1114264, 'No': -7.654165, ' ': -8.589112}
{' Yes': -0.008049155, 'Yes': -5.555713, ' No': -6.218132, ' Sc': -7.1207485, ' yes': -7.4498744}
{' Yes': -0.006609103, ' No': -5.818933, 'Yes': -6.038164, ' Sc': -7.4335213, ' yes': -8.1473255}
{' Yes': -0.22566567, ' No': -1.6097466, 'Yes': -6.7178698, 'No': -8.192864, ' ': -8.372855}
