{' Up': -0.13971002, ' up': -2.0480924, ' "': -7.462845, ' UP': -7.8543925, 'Up': -8.495467}
{' Up': -0.1525937, ' up': -1.9752274, ' UP': -6.59234, ' "': -6.8823814, 'Up': -8.169813}
{' Down': -0.06876904, ' down': -2.794517, ' Up': -5.7916026, ' "': -6.986366, 'Down': -7.213891}
{' Up': -0.07012641, ' up': -2.729798, ' UP': -6.67182, ' "': -7.067122, 'Up': -8.185361}
{' Down': -0.16701213, ' down': -1.9721555, ' Up': -5.0347185, ' "': -5.1934648, ' up': -6.9902005}
{' Up': -0.114807524, ' up': -2.2501264, ' UP': -6.519058, ' "': -6.7232842, 'Up': -8.143324}
{' Down': -0.19671154, ' down': -1.7766942, ' Up': -5.4449377, ' "': -6.1018133, ' up': -6.5786347}
{' Up': -0.067746334, ' up': -2.7810814, ' UP': -6.189859, ' "': -6.7733274, 'Up': -8.250829}
{' Up': -0.24012531, ' Down': -2.1365886, ' up': -2.6697004, ' down': -3.8164268, ' "': -5.6729274}
{' Up': -0.20303045, ' up': -1.699191, ' "': -7.870236, ' UP': -8.291839, 'Up': -8.50867}
{' Up': -0.5100991, ' up': -1.3588711, ' Down': -2.3694987, ' down': -3.0572126, ' "': -6.5672393}
{' Up': -0.08563521, ' up': -2.553712, ' Down': -5.9264627, ' down': -7.5106874, ' "': -7.520462}
{' Up': -0.15816896, ' up': -1.9392759, ' "': -6.716812, ' UP': -7.5229855, 'Up': -8.026905}
{' Down': -0.105747096, ' down': -2.321285, ' "': -6.9141707, 'Down': -7.5060534, 'down': -8.021651}
{' Up': -0.13293664, ' up': -2.147726, ' Down': -5.4096737, ' down': -6.333481, ' "': -7.090164}
{' Down': -0.20821668, ' down': -1.7067517, ' "': -5.8300657, ' Up': -6.255349, 'Down': -7.2533383}
{' Up': -0.06429992, ' up': -2.9976285, ' "': -5.0460787, ' Down': -5.4580984, ' down': -6.739936}
{' Down': -0.34503976, ' down': -1.8283427, ' Up': -2.2149148, ' up': -4.4847794, ' "': -4.6496296}
{' Up': -0.051441994, ' up': -3.1227138, ' Down': -5.506184, ' "': -7.0026517, ' down': -7.2427487}
{' Down': -0.2201895, ' down': -1.6369966, ' "': -6.4191656, 'Down': -7.3381457, 'down': -7.7556067}
{' Up': -0.04904591, ' up': -3.209187, ' "': -5.1261697, ' UP': -6.9002056, 'Up': -8.272068}
{' Down': -0.11909929, ' down': -2.2073162, ' "': -6.559687, 'Down': -7.5545354, 'down': -8.568577}
{' Up': -0.019561807, ' up': -4.073221, ' "': -7.147339, ' Down': -7.1856647, ' UP': -7.8045993}
{' Down': -0.10444792, ' down': -2.332227, ' "': -6.668414, 'Down': -7.5515776, 'down': -8.680032}
{' Up': -0.13233441, ' up': -2.1369026, ' "': -5.5811067, ' Down': -7.3094716, ' UP': -7.312788}
{' Down': -0.2836875, ' down': -1.4101981, ' "': -6.4049964, 'Down': -7.308069, 'down': -7.751268}
{' Up': -0.25028044, ' up': -1.5507585, ' Down': -5.2897263, ' down': -5.8276515, ' "': -7.6153145}
{' Down': -0.18282507, ' down': -1.8029652, ' "': -6.7192917, 'Down': -7.2830634, 'down': -8.141927}
{' Up': -0.30841738, ' up': -1.6632167, ' Down': -3.1789749, ' down': -3.4265146, ' "': -6.7418394}
{' up': -0.6557598, ' Up': -0.74250984, ' down': -6.1705356, ' Down': -6.24497, ' "': -7.63413}
{' Up': -0.4038485, ' up': -1.2341022, ' Down': -3.777601, ' down': -4.04911, ' "': -8.231961}
{' down': -0.6135409, ' Down': -1.0420803, ' Up': -2.7268963, ' up': -3.3215582, ' "': -5.8626957}
{' Down': -0.12762895, ' down': -2.1470857, ' Up': -6.9658885, 'Down': -7.0929484, ' "': -7.1751328}
{' Up': -0.07495401, ' up': -2.644393, ' UP': -7.350916, 'Up': -8.293433, ' "': -8.457341}
{' Down': -0.07808165, ' down': -2.6918108, ' Up': -5.2516446, 'Down': -7.1845403, ' "': -7.6280556}
{' Up': -0.04847789, ' up': -3.1050515, ' UP': -6.470301, ' "': -7.394137, 'Up': -8.207875}
{' Down': -0.3108824, ' Up': -1.7142848, ' down': -2.6709268, ' up': -4.384062, ' "': -5.551107}
{' Up': -0.06973725, ' up': -2.7239463, ' UP': -6.885313, ' "': -7.5663342, 'Up': -8.792017}
{' Down': -0.51158255, ' Up': -1.2413856, ' down': -2.5748513, ' up': -3.470542, ' "': -6.0328393}
{' Up': -0.072556406, ' up': -2.7346048, ' UP': -6.067517, ' "': -6.150624, ' Down': -7.9126477}
{' Down': -0.7553056, ' Up': -0.85576177, ' down': -2.6199524, ' up': -3.5210469, ' "': -6.2504506}
{' Up': -0.1002962, ' up': -2.3873081, ' Down': -6.003784, ' down': -8.032607, ' "': -8.15113}
{' Up': -0.28044948, ' up': -2.0571084, ' Down': -2.3839386, ' down': -3.7641702, ' "': -7.3842306}
{' Down': -0.41097054, ' Up': -1.5354977, ' down': -2.2479436, ' up': -4.2635036, ' "': -6.7161555}
{' Up': -0.18166153, ' up': -1.8221759, ' "': -5.8297577, ' UP': -7.7682357, 'Up': -7.995435}
{' Down': -0.19399567, ' down': -1.7684183, ' "': -5.6530123, 'Down': -7.0324254, 'down': -7.3154345}
{' Up': -0.19364613, ' up': -1.7586334, ' Down': -6.795001, ' "': -6.960568, ' down': -7.131167}
{' Down': -0.21588567, ' down': -1.6677442, ' "': -5.6451855, 'Down': -6.9605255, 'down': -7.133587}
{' Up': -0.13467573, ' up': -2.3290975, ' "': -4.1385875, ' Down': -4.828346, ' down': -5.49509}
{' Up': -1.1285106, ' Down': -1.3026305, ' down': -1.3852359, ' up': -1.9860849, ' "': -4.154914}
{' Up': -0.16383867, ' up': -1.9333316, ' Down': -5.855703, ' down': -6.395283, ' "': -6.543496}
{' Down': -0.6271208, ' down': -0.7763555, ' "': -5.4829574, 'down': -7.074255, 'Down': -7.4737244}
{' Up': -0.06715543, ' up': -2.9578853, ' "': -4.508655, ' UP': -6.8947825, ' Down': -7.6873794}
{' Down': -0.07502198, ' down': -2.6875248, ' "': -5.7627697, 'Down': -7.347322, ' DOWN': -8.33913}
{' Up': -0.02421549, ' up': -3.838003, ' "': -6.9142947, ' Down': -7.533941, ' UP': -7.7175627}
{' Down': -0.15031926, ' down': -1.9941933, ' "': -6.043756, 'Down': -7.4218683, 'down': -8.338965}
{' Up': -0.1801947, ' up': -1.8603648, ' "': -5.0386996, ' UP': -7.1054645, ' Down': -7.1965957}
{' Down': -0.17241319, ' down': -1.8638613, ' "': -6.255411, 'Down': -7.0953903, 'down': -8.071693}
{' Up': -0.1969781, ' up': -1.7655377, ' Down': -5.7294025, ' down': -6.210932, ' "': -6.506185}
{' Down': -0.354437, ' down': -1.2227765, ' "': -5.9723983, 'Down': -7.1690536, 'down': -7.7455974}
{' Up': -0.63308805, ' Down': -1.7515782, ' up': -1.8324442, ' down': -2.037509, ' "': -5.465644}
{' up': -0.68220687, ' Up': -0.7087191, ' "': -6.67576, ' UP': -7.9975824, 'Up': -8.471843}
{' Up': -0.4673752, ' up': -1.3641095, ' Down': -2.691952, ' down': -3.0464518, ' "': -6.4101143}
{' down': -0.52906096, ' Down': -1.018685, ' Up': -3.662354, ' up': -4.017296, ' "': -5.3989167}
{' Down': -0.18333009, ' down': -1.8101956, ' "': -6.2081027, 'Down': -6.965205, ' Up': -7.888067}
{' Up': -0.08739315, ' up': -2.4990578, ' "': -7.4847126, ' UP': -7.512316, 'Up': -8.056492}
{' Down': -0.035322566, ' down': -3.501223, ' Up': -5.9856625, 'Down': -7.0449486, ' "': -7.1583443}
{' Up': -0.07864254, ' up': -2.6232862, ' UP': -6.608244, ' "': -6.6881886, 'Up': -7.938246}
{' Down': -0.18031605, ' down': -2.111884, ' Up': -3.3729773, ' "': -5.4704866, ' up': -5.688737}
{' Up': -0.097406976, ' up': -2.4121518, ' "': -6.511595, ' UP': -6.61717, 'Up': -8.23784}
{' Down': -0.2769145, ' down': -1.8804855, ' Up': -2.6452386, ' up': -4.2953353, ' "': -6.091299}
{' Up': -0.08216182, ' up': -2.6043594, ' UP': -5.958171, ' "': -6.2857895, 'Up': -8.3993845}
{' Down': -0.76923525, ' Up': -0.958326, ' down': -2.1897638, ' up': -3.2994723, ' "': -5.7592745}
{' Up': -0.09529175, ' up': -2.4376607, ' Down': -6.246159, ' "': -7.223485, ' down': -8.1589985}
{' Up': -0.24033655, ' Down': -1.9309818, ' up': -2.9609725, ' down': -4.1711264, ' "': -7.0505095}
{' Down': -0.34657735, ' down': -1.5777937, ' Up': -2.578114, ' up': -4.786856, ' "': -6.710982}
{' Up': -0.25598744, ' up': -1.5096096, ' "': -5.7768283, ' UP': -7.6822987, 'Up': -7.847889}
{' Down': -0.29572213, ' down': -1.3834468, ' "': -5.892541, ' Up': -6.9658422, 'down': -7.285539}
{' Up': -0.19369172, ' up': -1.7565141, ' Down': -6.764933, ' "': -7.1441655, ' down': -7.2740517}
{' Down': -0.41010842, ' down': -1.1116693, ' "': -5.536918, ' Up': -6.67815, 'down': -6.821211}
{' Up': -0.08580613, ' up': -2.694197, ' "': -4.8541164, ' Down': -5.3225713, ' down': -6.456581}
{' Down': -0.53555954, ' down': -1.2701311, ' Up': -2.3644378, ' up': -3.8628871, ' "': -4.0375566}
{' Up': -0.12632288, ' up': -2.1485357, ' "': -7.187562, ' Down': -7.4646764, ' down': -8.297597}
{' Down': -0.4196813, ' down': -1.0808237, ' "': -6.218206, 'down': -7.3589053, 'Down': -7.377431}
{' Up': -0.1074709, ' up': -2.3768094, ' "': -4.836221, ' UP': -7.5005636, 'Up': -8.007035}
{' Down': -0.22635525, ' down': -1.6188341, ' "': -5.6474195, 'Down': -7.560133, 'down': -8.151783}
{' Up': -0.029410282, ' up': -3.5873575, ' "': -7.5708094, 'Up': -8.3105955, ' UP': -8.3568535}
{' Down': -0.15981264, ' down': -1.9287069, ' "': -6.5501394, 'Down': -7.4451513, 'down': -8.263574}
{' Up': -0.28032064, ' up': -1.4314609, ' "': -5.538154, ' UP': -7.664727, ' down': -8.054712}
{' Down': -0.26809463, ' down': -1.4593046, ' "': -6.4014115, 'Down': -7.356178, 'down': -7.8733153}
{' Up': -0.32925463, ' up': -1.2842926, ' Down': -6.749548, ' down': -6.885821, ' "': -7.1729774}
{' Down': -0.58575577, ' down': -0.8218798, ' "': -6.0921106, 'Down': -7.264752, 'down': -7.3664002}
{' Up': -0.28893545, ' up': -1.6597241, ' Down': -3.342343, ' down': -3.8086803, ' "': -5.9048734}
{' up': -0.43253857, ' Up': -1.0507237, ' "': -7.1678057, 'up': -8.70687, ' UP': -8.769538}
{' Up': -0.502196, ' up': -0.9931895, ' Down': -4.4444222, ' down': -4.4551244, ' "': -7.7517414}
{' Up': -0.7835851, ' up': -1.1113437, ' down': -2.1169496, ' Down': -2.4256864, ' "': -5.396775}
{' Down': -0.20536648, ' down': -1.7029364, ' "': -6.6914845, ' Up': -7.0258408, 'Down': -7.039093}
{' Up': -0.095990516, ' up': -2.4035237, ' UP': -7.7275, ' "': -7.992862, 'Up': -8.169349}
{' Down': -0.06692144, ' down': -2.796154, ' Up': -6.3850446, 'Down': -7.0974846, ' "': -7.1759167}
{' Up': -0.115383394, ' up': -2.2400362, ' "': -6.8269086, ' UP': -6.892781, 'Up': -8.032738}
{' Down': -0.15244187, ' down': -2.1121337, ' Up': -4.319739, ' "': -5.5263166, ' up': -6.4858117}
{' Up': -0.08724739, ' up': -2.501655, ' UP': -7.1928205, ' "': -7.43735, 'Up': -8.503261}
{' Down': -0.28081936, ' down': -1.8040259, ' Up': -2.7911265, ' up': -4.3098836, ' "': -5.69611}
{' Up': -0.102648325, ' up': -2.3748155, ' UP': -5.973006, ' "': -6.4186172, 'Up': -8.377815}
{' Up': -0.5554501, ' Down': -1.1459996, ' down': -2.8324006, ' up': -3.096313, ' "': -5.672452}
{' Up': -0.14862317, ' up': -1.9946811, ' Down': -7.0558934, ' "': -7.4400826, 'Up': -8.393879}
{' Up': -0.16781794, ' up': -2.4318864, ' Down': -2.8544555, ' down': -4.8265166, ' "': -7.476812}
{' Down': -0.18266773, ' down': -1.8940171, ' Up': -4.2868834, ' up': -6.821067, ' "': -7.3261404}
{' Up': -0.19887052, ' up': -1.753329, ' "': -5.4111986, ' Down': -7.1199956, ' down': -7.2763886}
{' Down': -0.20376357, ' down': -1.7152247, ' "': -5.903398, 'Down': -7.1169004, 'down': -7.39445}
{' Up': -0.19483547, ' up': -1.8086582, ' Down': -4.8781695, ' down': -5.551027, ' "': -7.1594367}
{' Down': -0.15145703, ' down': -1.99276, ' "': -5.961454, 'Down': -7.1001816, 'down': -7.2860484}
{' Up': -0.12481767, ' up': -2.4696662, ' "': -4.2369547, ' Down': -4.3413434, ' down': -5.36307}
{' Up': -0.64542866, ' up': -1.4376116, ' Down': -2.0178576, ' down': -2.4795961, ' "': -3.8840606}
{' Up': -0.12592833, ' up': -2.238542, ' Down': -4.9472647, ' down': -5.928624, ' "': -6.572837}
{' Down': -0.3507066, ' down': -1.2352053, ' "': -5.683386, 'Down': -7.294335, 'down': -7.323021}
{' Up': -0.09103014, ' up': -2.8037202, ' "': -3.7905862, ' Down': -6.252447, ' UP': -7.2235165}
{' Down': -0.1632451, ' down': -1.9160336, ' "': -6.0068197, 'Down': -7.4492993, 'down': -8.270734}
{' Up': -0.024797792, ' up': -3.891411, ' Down': -6.187729, ' "': -6.9670563, ' UP': -7.7349353}
{' Down': -0.23278245, ' down': -1.586277, ' "': -6.2856636, 'Down': -7.347482, 'down': -7.9411387}
{' Up': -0.19593333, ' up': -1.7777357, ' "': -5.145423, ' Down': -6.830571, ' down': -6.9159207}
{' Down': -0.39838663, ' down': -1.1240528, ' "': -6.0976567, 'Down': -7.2610645, 'down': -7.4966073}
{' Up': -0.41840845, ' up': -1.1059904, ' down': -5.3792677, ' Down': -5.433429, ' "': -6.8333216}
{' Down': -0.26856327, ' down': -1.4605607, ' "': -6.12711, 'Down': -7.272663, 'down': -7.8293657}
{' Up': -0.47938535, ' Down': -1.8482399, ' up': -1.9281119, ' down': -2.6102848, ' "': -5.6346545}
{' Up': -0.47450587, ' up': -0.9764495, ' "': -7.339917, ' UP': -8.400664, 'Up': -8.794799}
{' Up': -0.48485258, ' up': -1.3618134, ' Down': -2.4634655, ' down': -3.191239, ' "': -6.911736}
{' Up': -0.6461095, ' up': -0.9629145, ' down': -3.055211, ' Down': -3.1570807, ' "': -5.585013}
{' Down': -0.17939273, ' down': -1.826415, ' "': -6.352154, 'Down': -6.981312, 'down': -8.247875}
{' Up': -0.068785325, ' up': -2.732249, ' UP': -7.341315, ' "': -7.7951627, 'Up': -8.195429}
{' Down': -0.03628747, ' down': -3.3889027, 'Down': -7.0091295, ' "': -7.406469, 'down': -8.862611}
{' Up': -0.04529825, ' up': -3.1689935, ' "': -6.975926, ' UP': -7.0475163, 'Up': -7.931084}
{' Down': -0.16045883, ' down': -2.1013043, ' Up': -4.1390715, ' "': -5.1530275, ' up': -6.350755}
{' Up': -0.11264151, ' up': -2.263015, ' UP': -6.8205113, ' "': -6.9077444, 'Up': -8.175147}
{' Down': -0.24174944, ' down': -1.6704241, ' Up': -4.171086, ' up': -5.537705, ' "': -5.600405}
{' Up': -0.10108169, ' up': -2.4173143, ' UP': -5.6662273, ' "': -5.836021, 'Up': -7.8015575}
{' Up': -0.7945184, ' Down': -0.81719863, ' down': -2.6887214, ' up': -3.335509, ' "': -6.253784}
{' Up': -0.09772043, ' up': -2.3906682, ' Down': -7.5046706, ' "': -7.9625754, 'Up': -8.126456}
{' Down': -0.639902, ' Up': -1.2198542, ' down': -2.1537035, ' up': -2.8265283, 'Down': -7.2961693}
{' Down': -0.38994247, ' Up': -1.5165199, ' down': -2.4234316, ' up': -4.3718057, ' "': -6.647169}
{' Up': -0.20436819, ' up': -1.7202524, ' "': -5.4315352, ' UP': -7.4957366, 'Up': -7.957528}
{' Down': -0.16197757, ' down': -1.9326209, ' "': -5.802808, 'Down': -6.9695024, 'down': -7.345826}
{' Up': -0.24094082, ' up': -1.5564411, ' "': -6.905247, ' Down': -7.233685, ' down': -7.466904}
{' Down': -0.2210463, ' down': -1.6448802, ' "': -5.6401095, 'down': -7.0489383, 'Down': -7.2632976}
{' Up': -0.21152543, ' up': -2.0868154, ' "': -3.0847669, ' Down': -4.3924985, ' down': -4.881291}
{' Down': -0.6273558, ' down': -1.2325612, ' Up': -2.4184725, ' "': -2.86096, ' up': -3.6389468}
{' Up': -0.153578, ' up': -2.0281487, ' "': -5.5499516, ' Down': -5.55068, ' down': -6.16575}
{' Down': -0.44092327, ' down': -1.0524821, ' "': -5.157821, 'Down': -7.149706, 'down': -7.151614}
{' Up': -0.110391736, ' up': -2.4199183, ' "': -4.3345056, ' UP': -6.3722806, 'Up': -8.004602}
{' Down': -0.3933989, ' down': -1.143376, ' "': -5.2812905, 'Down': -7.5044084, 'down': -7.568396}
{' Up': -0.087738805, ' up': -2.6195362, ' "': -5.093428, ' Down': -5.9658246, ' UP': -6.982911}
{' Down': -0.39004087, ' down': -1.154388, ' "': -5.081567, 'down': -7.414878, 'Down': -7.4871764}
{' Up': -0.30776218, ' up': -1.3694706, ' "': -4.908781, ' UP': -6.1995163, 'Up': -7.7864313}
{' Down': -0.5557567, ' down': -0.8652411, ' "': -5.622836, 'down': -7.235333, 'Down': -7.2453127}
{' Up': -0.34192172, ' up': -1.2606554, ' "': -6.0782633, ' down': -6.712399, ' Down': -6.838858}
{' Down': -0.6155012, ' down': -0.79131305, ' "': -5.4035125, 'down': -7.0922427, 'Down': -7.2195277}
{' Up': -0.5226181, ' Down': -1.4341398, ' up': -2.3711307, ' down': -2.6632984, ' "': -5.399674}
{' Up': -0.49365225, ' up': -0.94786257, ' "': -7.114359, ' UP': -7.6866665, ' Down': -8.325346}
{' Up': -0.5359803, ' up': -1.6595917, ' Down': -1.8748378, ' down': -2.6750336, ' "': -6.7155104}
{' Down': -1.0105606, ' Up': -1.1395031, ' down': -1.5976673, ' up': -2.2428699, ' "': -5.1670604}
{' Down': -0.13687272, ' down': -2.0829597, ' "': -6.2297807, 'Down': -7.028262, 'down': -8.277049}
{' Up': -0.17908925, ' up': -1.8253598, ' UP': -6.7288213, ' "': -6.7834034, 'Up': -8.002275}
{' Down': -0.04868639, ' down': -3.089965, 'Down': -7.012332, ' "': -7.2816534, 'down': -8.502572}
{' Up': -0.073513955, ' up': -2.686572, ' UP': -6.7001386, ' "': -6.836442, 'Up': -7.9574556}
{' Down': -0.12367246, ' down': -2.1957471, ' "': -5.7868896, 'Down': -6.9391055, ' DOWN': -7.412458}
{' Up': -0.09990646, ' up': -2.3877864, ' UP': -6.3136935, ' "': -6.840926, 'Up': -8.1962595}
{' Down': -0.1400076, ' down': -2.0638244, ' "': -6.7469487, 'Down': -6.9874687, ' Up': -7.327992}
{' Up': -0.065024905, ' up': -2.8926826, ' UP': -5.351543, ' "': -6.0344768, 'Up': -8.114411}
{' Down': -0.76202834, ' Up': -0.9103838, ' down': -2.412003, ' up': -3.3763947, ' "': -5.157204}
{' Up': -0.114609115, ' up': -2.2327902, ' "': -7.8538547, ' UP': -8.236269, 'Up': -8.370411}
{' Up': -0.2981428, ' Down': -1.7207102, ' up': -2.8391373, ' down': -4.01114, ' "': -6.444806}
{' Down': -0.6384171, ' Up': -1.1578493, ' down': -2.1193647, ' up': -3.3975666, ' "': -5.7688317}
{' Up': -0.2013785, ' up': -1.7235115, ' "': -5.929671, 'Up': -8.001818, ' UP': -8.028908}
{' Down': -0.16650742, ' down': -1.9012924, ' "': -6.033529, 'Down': -7.2665343, 'down': -7.4797072}
{' Up': -0.2851107, ' up': -1.4051821, ' down': -7.2540913, ' Down': -7.2542515, ' "': -7.614769}
{' Down': -0.31869087, ' down': -1.336084, ' Up': -5.563272, ' "': -5.620519, 'down': -6.829604}
{' Up': -0.12014419, ' up': -2.4242194, ' "': -4.221161, ' Down': -4.980452, ' down': -5.99621}
{' Down': -0.465526, ' down': -1.7398809, ' Up': -1.9565023, ' "': -3.413833, ' up': -3.864644}
{' Up': -0.05049921, ' up': -3.1084254, ' Down': -5.931665, ' "': -6.8835373, ' down': -7.7274723}
{' Down': -0.2609545, ' down': -1.4902368, ' "': -5.8460464, 'Down': -7.158329, 'down': -7.4968777}
{' Up': -0.072296366, ' up': -2.8250449, ' "': -4.731945, ' UP': -7.09173, 'Up': -8.1335945}
{' Down': -0.24688327, ' down': -1.5413091, ' "': -5.643583, 'Down': -7.4245224, 'down': -7.8658824}
{' Up': -0.049667306, ' up': -3.1518803, ' "': -5.991094, ' Down': -6.3752685, ' UP': -7.3921256}
{' Down': -0.23885036, ' down': -1.566922, ' "': -5.939444, 'Down': -7.4023056, 'down': -7.8353086}
{' Up': -0.18079908, ' up': -1.852142, ' "': -5.0939517, ' UP': -6.8883758, 'Up': -7.752347}
{' Down': -0.27881578, ' down': -1.4261451, ' "': -6.3103533, 'Down': -7.3160677, 'down': -7.77353}
{' Up': -0.33950287, ' up': -1.2571417, ' down': -7.0569725, ' Down': -7.1495724, ' "': -7.2231593}
{' Down': -0.5128113, ' down': -0.9248292, ' "': -5.7915664, 'down': -7.2719264, 'Down': -7.2835517}
{' Up': -0.24278705, ' Down': -2.3602204, ' up': -2.3775985, ' down': -3.730351, ' "': -5.60108}
{' Up': -0.4450558, ' up': -1.0281037, ' "': -7.276089, ' UP': -8.105356, 'Up': -8.5933}
{' Up': -0.4793923, ' up': -1.1312114, ' Down': -3.4905844, ' down': -3.6342952, ' "': -7.478352}
{' Up': -0.37325, ' up': -1.3681651, ' Down': -3.4049995, ' down': -3.9597638, ' "': -5.548554}
{' Down': -0.21434338, ' down': -1.6569588, ' "': -6.9734716, 'Down': -7.0863905, 'down': -8.084352}
{' Up': -0.09872313, ' up': -2.3860536, ' UP': -6.99434, ' "': -7.2905145, 'Up': -8.02376}
{' Down': -0.0420049, ' down': -3.2304492, 'Down': -7.134969, ' "': -7.7204204, 'down': -8.819282}
{' Up': -0.08727724, ' up': -2.5188339, ' "': -6.5705914, ' UP': -6.7694535, 'Up': -7.891876}
{' Down': -0.095289975, ' down': -2.4764392, ' "': -5.930693, ' Up': -6.016831, 'Down': -7.016774}
{' Up': -0.06557535, ' up': -2.7938466, ' UP': -6.6598725, ' "': -7.297703, 'Up': -8.250618}
{' Down': -0.11239951, ' down': -2.374887, ' Up': -4.661197, ' up': -6.4935656, ' "': -6.8909807}
{' Up': -0.05716609, ' up': -2.9867432, ' UP': -5.627583, ' "': -6.7169747, 'Up': -8.337093}
{' Up': -0.32122234, ' Down': -1.5725309, ' up': -3.2216527, ' down': -3.7066476, ' "': -6.2336993}
{' Up': -0.11595799, ' up': -2.2948406, ' Down': -4.9825735, ' down': -7.003556, ' "': -7.699347}
{' Up': -0.16407461, ' Down': -2.5804393, ' up': -2.726918, ' down': -4.6844563, ' "': -7.7700624}
{' Down': -0.11403723, ' down': -2.3075683, ' Up': -5.018271, 'Down': -7.3970494, ' "': -7.670418}
{' Up': -0.19899647, ' up': -1.7535027, ' "': -5.2088366, ' Down': -7.7122297, 'Up': -7.8419843}
{' Down': -0.18413746, ' down': -1.8182201, ' "': -5.4626026, 'Down': -7.193336, 'down': -7.375635}
{' Up': -0.2747557, ' up': -1.4528182, ' Down': -6.1179214, ' down': -6.212909, ' "': -6.6436267}
{' Down': -0.24194415, ' down': -1.5700482, ' "': -5.574671, ' Up': -6.6944966, 'down': -7.1171923}
{' Up': -0.11841203, ' up': -3.2639425, ' Down': -3.3080862, ' "': -3.5036578, ' down': -5.103229}
{' Down': -0.3530175, ' down': -1.4371563, ' Up': -3.5163991, ' "': -3.7302375, ' up': -5.4641795}
{' Up': -0.087432116, ' up': -2.6135798, ' Down': -5.046933, ' down': -6.282373, ' "': -6.4719954}
{' Down': -0.25041965, ' down': -1.5330582, ' "': -5.6835246, 'down': -6.9224234, 'Down': -6.9432592}
{' Up': -0.09324752, ' up': -3.0007658, ' "': -3.4018373, ' Down': -5.6056886, ' down': -6.825236}
{' Down': -0.25460896, ' down': -1.5298033, ' "': -4.9652524, 'Down': -7.339211, 'down': -7.893742}
{' Up': -0.039883263, ' up': -3.3939807, ' Down': -6.0626283, ' "': -6.247168, ' UP': -7.8251305}
{' Down': -0.09057469, ' down': -2.48815, ' "': -5.992295, 'Down': -7.317314, 'down': -8.507629}
{' Up': -0.1883619, ' up': -1.8993013, ' "': -4.1762614, ' Down': -5.782661, ' down': -6.196922}
{' Down': -0.25299585, ' down': -1.5181516, ' "': -5.786508, 'Down': -7.178964, 'down': -7.8694787}
{' Up': -0.4690143, ' up': -1.001918, ' down': -6.0945992, ' Down': -6.1662893, ' "': -6.2422743}
{' Down': -0.672755, ' down': -0.72422665, ' "': -5.706631, 'down': -7.1711626, 'Down': -7.184235}
