{' !': -8.781245e-05, '!': -9.38345, ' @': -12.985971, ' ': -13.820295, '!.': -15.134049}
{' @': -0.00091196294, '@': -7.083881, ' ': -10.084675, '\n': -11.149837, ' @@': -11.2866125}
{' #': -7.1481794e-05, '#': -10.173074, ' ': -10.895598, '\n': -11.626671, ' \\': -13.100977}
{' #': -5.3597672e-05, '#': -10.566565, ' ': -10.915596, '\n': -12.609645, ' \\': -12.755037}
{' @': -0.0034338373, '@': -5.7062454, ' ': -9.422411, '\n': -11.26516, ' @@': -12.536863}
{' @': -0.0021975506, '@': -6.161409, ' ': -9.947815, ' !': -10.454052, '\n': -12.297499}
{' #': -0.0003051177, '#': -8.198838, ' ': -10.732766, '\n': -12.670645, ' "#': -13.464944}
{' #': -0.00015958735, '#': -8.939958, ' ': -10.940339, ' !': -12.332214, '\n': -12.736159}
{' $': -0.00179292, '$': -6.4405403, ' $\\': -8.819443, ' ': -10.923765, ' $$': -11.12662}
{' $': -0.0033178127, '$': -5.7716837, ' !': -9.274701, ' $\\': -9.683415, ' ': -10.74278}
{' !': -0.0003921081, '!': -7.849174, ' ': -13.481354, '!.': -15.470506, '\n': -15.930589}
{' !': -0.00034512393, '!': -7.977949, ' ': -13.594421, ' @': -14.562561, '\n': -15.583872}
{' #': -0.00016101786, '#': -8.932463, ' ': -11.058409, '\n': -11.744058, ' @': -12.694355}
{' #': -0.00011225586, '#': -9.403283, ' ': -11.302988, ' @': -11.601988, '\n': -11.897403}
{' $': -0.0022167242, '$': -6.1663437, ' $\\': -9.767347, '\n': -10.798908, ' $$': -10.877091}
{' $': -0.0015139843, '$': -6.6073847, ' $\\': -10.124818, '\n': -10.223004, ' $$': -10.317307}
{' !': -0.00025717984, '!': -8.273932, ' ': -13.68942, ' #': -14.384241, ' !!': -15.810998}
{' !': -0.00034846272, '!': -7.991687, ' #': -11.741849, ' ': -13.342576, '\n': -15.483381}
{' @': -0.0014299375, '@': -6.6160364, ' #': -9.840146, ' ': -10.80684, ' @@': -11.838737}
{' @': -0.0017704093, '@': -6.775721, ' #': -7.4471035, ' ': -10.443327, '\n': -11.775508}
{' $': -0.00045752362, '$': -7.9730277, ' #': -9.890973, ' $\\': -10.251147, ' $$': -11.249485}
{' $': -0.004367792, ' #': -5.611728, '$': -7.4252906, ' $\\': -10.124715, ' $$': -10.729162}
{' !': -0.00043796306, '!': -7.7392354, ' ': -13.5232525, '!.': -14.145535, '\n': -15.508765}
{' !': -0.00034214277, '!': -7.9886994, ' ': -13.461016, '!.': -14.060993, '\n': -15.188301}
{' @': -0.0015456242, '@': -6.513234, ' ': -10.277823, '\n': -11.30229, ' $': -11.871121}
{' @': -0.0007447508, '@': -7.280131, ' ': -10.4712925, '\n': -11.306554, ' $': -11.757627}
{' #': -0.00010569845, '#': -9.652536, ' ': -10.765078, '\n': -11.45968, ' \\': -12.293973}
{' #': -7.827482e-05, '#': -10.2547035, ' ': -10.50724, '\n': -11.879465, ' $': -12.586393}
{' !': -3.9292627e-05, '!': -10.192075, ' ': -13.311742, '\n': -16.497978, ' !!': -16.990566}
{' !': -3.1781543e-05, '!': -10.407699, ' ': -13.434267, ' @': -16.67669, '\n': -16.90556}
{' !': -5.3716885e-05, '!': -9.859793, ' ': -13.598846, ' #': -16.159054, '\n': -16.255878}
{' !': -5.550595e-05, '!': -9.840451, ' ': -13.416098, ' #': -14.596018, '\n': -16.446356}
{' !': -5.0140625e-05, '!': -9.9359255, ' ': -13.689149, ' $': -15.493204, '\n': -15.925739}
{' !': -3.6074933e-05, '!': -10.309166, ' ': -13.487946, ' $': -13.828935, '\n': -16.341583}
{' @': -0.000793249, '@': -7.2479115, ' ': -9.623089, '\n': -12.209649, ' "@': -12.367651}
{' @': -0.0010609428, '@': -6.9435773, ' ': -9.490379, '\n': -11.823208, ' "@': -12.409324}
{' @': -0.00078382215, '@': -7.2695265, ' ': -9.897, ' #': -10.718551, '\n': -11.978094}
{' @': -0.0010144017, '@': -7.0701, ' #': -9.30478, ' ': -9.783587, '\n': -11.870786}
{' @': -0.00081442395, '@': -7.1947784, ' ': -10.265265, '\n': -11.258583, ' $': -12.088847}
{' @': -0.0010847488, '@': -6.914293, ' ': -10.224376, ' $': -10.534408, '\n': -11.104835}
{' #': -3.3809963e-05, '#': -10.73553, ' ': -11.671151, '\n': -13.562842, ' "#': -13.795559}
{' #': -2.9280032e-05, '#': -10.987776, ' ': -11.722006, '\n': -13.357534, ' "#': -13.903309}
{' #': -1.8310955e-05, '#': -11.407606, ' ': -12.528973, '\n': -13.049989, ' "#': -14.283618}
{' #': -2.0218295e-05, '#': -11.43175, ' ': -12.274659, '\n': -12.951963, ' @': -13.581224}
{' #': -2.6419024e-05, '#': -11.124299, ' ': -12.249454, '\n': -12.347753, ' "#': -14.074862}
{' #': -2.0575926e-05, '#': -11.566247, '\n': -12.53637, ' ': -12.561631, ' $': -12.741322}
{' $': -0.00055722997, '$': -8.184913, ' $\\': -8.745363, ' ': -9.939892, '$.': -10.070991}
{' $': -0.0006308868, '$': -8.004392, ' $\\': -8.639506, ' ': -9.882018, '$.': -10.245918}
{' $': -0.0005157848, ' $\\': -8.117672, '$': -9.167191, ' ': -9.939499, '$.': -10.269401}
{' $': -0.0006569513, ' $\\': -7.846613, '$': -8.898197, ' ': -9.874281, '$.': -10.113134}
{' $': -0.00038244936, ' $\\': -8.788255, '$': -8.857828, ' ': -10.043683, '$.': -11.190365}
{' $': -0.0003960448, '$': -8.517503, ' $\\': -9.143399, ' ': -10.145171, '$.': -11.247}
{' !': -4.9902206e-05, '!': -9.962667, ' ': -12.947415, ' @': -15.113664, ' !!': -16.910055}
{' !': -4.370523e-05, '!': -10.111487, ' ': -13.182742, ' @': -13.866568, ' !!': -16.547318}
{' !': -6.253833e-05, '!': -9.782662, ' #': -12.488675, ' ': -13.033452, '\n': -16.65188}
{' !': -0.00010498132, '!': -9.69136, ' #': -10.110573, ' ': -13.010549, ' !!': -16.554354}
{' !': -4.6921985e-05, '!': -10.02212, ' ': -13.557606, ' $': -13.8273535, '\n': -16.954138}
{' !': -6.289782e-05, '!': -9.93999, ' $': -11.300822, ' ': -13.182277, '$': -16.178017}
{' @': -0.00076199096, '@': -7.292424, ' ': -9.630446, '\n': -12.307292, ' "@': -12.910459}
{' @': -0.0010077166, '@': -6.995909, ' ': -9.555027, '\n': -11.803097, ' !': -12.578429}
{' @': -0.0009846295, '@': -7.2087994, ' #': -8.624304, ' ': -9.84935, '\n': -12.207888}
{' @': -0.0016572627, '@': -6.958519, ' #': -7.378238, ' ': -9.666634, '\n': -11.661357}
{' @': -0.0010423837, '@': -6.9603624, ' ': -9.998431, ' $': -10.74354, '\n': -11.217461}
{' @': -0.0013291856, '@': -6.857152, ' $': -8.559602, ' ': -9.985169, '\n': -10.656061}
{' #': -4.859278e-05, '#': -10.323569, ' ': -11.368211, '\n': -13.551617, ' "#': -13.768363}
{' #': -4.036551e-05, '#': -10.627008, ' ': -11.3930025, '\n': -13.540531, ' !': -13.662767}
{' #': -4.5494293e-05, '#': -10.472085, ' ': -11.357526, '\n': -12.775276, ' "#': -14.122397}
{' #': -3.0473995e-05, '#': -11.05637, ' ': -11.823687, ' @': -12.4142065, '\n': -13.045717}
{' #': -3.8103353e-05, '#': -10.704122, ' ': -11.792416, '\n': -12.307642, ' $': -13.595031}
{' #': -5.1930627e-05, '#': -10.763807, ' $': -11.219882, ' ': -11.481087, '\n': -12.310646}
{' $': -0.0005018289, ' $\\': -8.709084, '$': -8.777262, '$.': -9.43655, ' ': -9.489604}
{' $': -0.00065134565, '$': -8.07418, ' $\\': -8.920346, '$.': -9.2761755, ' ': -9.536586}
{' $': -0.00052520697, ' $\\': -8.110936, '$': -9.513136, '$.': -9.649949, ' ': -9.832087}
{' $': -0.0005831151, ' $\\': -8.1070175, '$': -9.0738735, ' ': -9.597728, '$.': -9.803847}
{' $': -0.00036301085, ' $\\': -8.820127, '$': -9.28689, ' ': -9.582857, '$.': -10.991319}
{' $': -0.00036372704, '$': -9.061776, ' $\\': -9.440217, ' #': -9.555994, ' ': -9.746234}
{' @': -0.0022566912, '@': -6.123287, ' ': -9.907177, '\n': -12.134961, ' "@': -13.125954}
{' @': -0.0023413443, '@': -6.0858316, ' ': -9.942613, '\n': -11.926999, ' <@': -12.876802}
{' #': -0.00018867897, '#': -8.796383, ' ': -10.5152025, '\n': -12.393365, ' "#': -12.981171}
{' #': -0.00013788574, '#': -9.153799, ' ': -10.6709385, '\n': -12.342112, ' "#': -13.438002}
{' $': -0.0019579744, '$': -6.338002, ' $\\': -8.807202, ' ': -10.954689, ' $$': -11.3834715}
{' $': -0.002086326, '$': -6.2488265, ' $\\': -9.167686, ' ': -10.825044, ' $$': -10.938144}
{' !': -0.0002014371, '!': -8.5339155, ' @': -12.859594, ' ': -13.511133, '\n': -15.16573}
{' !': -0.0003073789, '!': -8.125671, ' @': -11.676746, ' ': -13.192375, ' <': -14.655548}
{' #': -0.0001463533, '#': -9.059611, ' ': -11.040301, '\n': -11.833328, ' @': -12.8592005}
{' #': -0.00012429406, '#': -9.330793, ' ': -10.797907, '\n': -11.9116745, ' @': -12.447167}
{' $': -0.002508225, '$': -6.085916, ' $\\': -8.801882, ' $$': -10.165228, ' ': -11.151501}
{' $': -0.0024945422, '$': -6.0703096, ' $\\': -9.256835, ' $$': -10.163894, ' ': -10.798696}
{' !': -0.00021860692, '!': -8.446701, ' #': -12.761462, ' ': -14.075786, ' <': -16.042095}
{' !': -0.0003176346, '!': -8.077562, ' #': -12.205969, ' ': -13.571293, ' <': -14.499043}
{' @': -0.001405404, '@': -6.6307673, ' ': -10.205211, ' #': -10.257937, '\n': -11.830261}
{' @': -0.00094495463, '@': -7.1583543, ' #': -8.997547, ' ': -10.346618, '\n': -12.174998}
{' $': -0.000782033, '$': -7.372877, ' $\\': -9.548298, ' #': -9.946472, ' $$': -10.750489}
{' $': -0.0009170917, '$': -7.2394342, ' #': -9.007195, ' $\\': -10.128948, ' $$': -10.646264}
{' !': -0.0004422574, '!': -7.7299895, ' ': -14.021804, ' $': -14.062828, '!.': -14.370897}
{' !': -0.00050922454, '!': -7.5955596, ' <': -13.001448, ' ': -13.140762, ' $': -13.325252}
{' @': -0.0007835837, '@': -7.2324347, ' ': -10.167069, ' @@': -11.822999, '\n': -11.923044}
{' @': -0.0006177654, '@': -7.5157804, ' ': -9.975646, '\n': -11.426696, ' @@': -12.000357}
{' #': -9.878341e-05, '#': -9.690297, ' ': -10.98848, ' \\': -11.471113, '\n': -12.487253}
{' #': -6.6829845e-05, '#': -10.436438, ' ': -10.711914, ' \\': -11.966, '\n': -12.583716}
{' @': -0.0031288534, '@': -5.7962103, ' ': -9.645098, '\n': -11.848121, ' <@': -12.54343}
{' @': -0.0031890038, '@': -5.7690105, ' ': -9.987257, ' <@': -12.26709, '\n': -12.346623}
{' #': -0.00029521773, '#': -8.281476, ' ': -10.378535, '\n': -12.258513, ' "#': -13.17868}
{' #': -0.00016101786, '#': -8.887391, ' ': -10.938626, '\n': -12.952685, ' "#': -14.119056}
{' $': -0.002275329, '$': -6.1958275, ' $\\': -8.624691, ' ': -10.602991, ' $$': -10.949985}
{' $': -0.002255854, '$': -6.151048, ' $\\': -9.525924, ' ': -10.813915, ' $$': -10.953433}
{' !': -0.0005517445, '!': -7.508766, ' ': -13.283184, ' <': -13.954834, ' @': -15.292864}
{' !': -0.00052890525, '!': -7.5508637, ' ': -13.597946, ' <': -13.787119, ' @': -15.24856}
{' #': -0.00017151104, '#': -8.875094, ' ': -11.065979, '\n': -11.889073, ' \\': -12.303343}
{' #': -0.000111778085, '#': -9.277413, ' ': -11.417456, '\n': -12.734592, ' @': -12.9823}
{' $': -0.0033800695, '$': -5.745191, ' $\\': -9.017519, ' $$': -10.734935, ' ': -11.315409}
{' $': -0.003119583, '$': -5.80564, ' $\\': -9.7625265, ' $$': -10.921969, ' ': -11.362808}
{' !': -0.00020549206, '!': -8.502522, ' #': -13.63728, ' ': -14.354367, ' <': -14.541962}
{' !': -0.00034369153, '!': -8.024212, ' #': -11.40119, ' <': -12.85189, ' ': -13.262019}
{' @': -0.0014355488, '@': -6.627211, ' #': -9.658511, ' ': -10.277947, '\n': -11.913686}
{' @': -0.0014750622, '@': -6.9398828, ' #': -7.663689, ' ': -10.533651, '\n': -12.271281}
{' $': -0.0009435232, '$': -7.118249, ' $\\': -9.476817, ' #': -10.614618, ' $$': -10.902055}
{' $': -0.001321606, '$': -6.794463, ' #': -9.141112, ' $\\': -10.029588, ' $$': -10.339441}
{' !': -0.00032002066, '!': -8.052327, ' ': -13.977729, ' <': -15.258965, '!.': -15.368808}
{' !': -0.0002547938, '!': -8.288318, ' <': -13.368053, ' ': -13.7669735, '!.': -15.115693}
{' @': -0.0014444424, '@': -6.5932965, ' ': -9.9647255, '\n': -11.550436, ' $': -11.716105}
{' @': -0.000841566, '@': -7.161312, ' ': -10.202148, '\n': -11.412189, ' $': -11.8963585}
{' #': -9.56821e-05, '#': -9.80938, ' ': -10.866545, ' \\': -11.202819, '\n': -12.31665}
{' #': -9.5442745e-05, '#': -9.861953, ' ': -10.713966, ' \\': -11.49056, '\n': -12.274269}
{' @': -0.0011313519, '@': -6.844904, ' ': -10.004715, ' !': -11.35225, ' "@': -12.874443}
{' @': -0.0014426524, '@': -6.5797863, ' ': -10.285484, ' @@': -11.576845, '\n': -12.065967}
{' #': -0.00010736549, '#': -9.367594, ' !': -11.492704, ' ': -11.783681, ' "#': -13.457143}
{' #': -6.754697e-05, '#': -9.9846115, ' ': -11.44324, ' "#': -12.310541, '\n': -12.650565}
{' $': -0.0013012532, '$': -6.8540325, ' $\\': -8.429367, ' $$': -11.524466, ' ': -11.775236}
{' $': -0.0013274547, '$': -7.2807465, ' $\\': -7.569887, ' $$': -9.335478, ' ': -10.898292}
{' !': -9.830563e-05, '!': -9.389721, ' @': -11.172846, ' ': -14.8512335, '!.': -16.597664}
{' !': -0.00026325852, '!': -8.246674, ' ': -14.457321, '\n': -15.290301, ' !=': -16.369858}
{' #': -0.00055878155, ' @': -7.715961, '#': -9.356596, ' ': -11.110359, '\n': -12.109728}
{' #': -0.00011714342, '#': -9.242469, ' ': -11.779976, '\n': -11.804939, ' "#': -12.960607}
{' $': -0.0011635758, '$': -7.3163505, ' $\\': -7.935709, ' $$': -9.177761, ' ': -11.4396925}
{' $': -0.0009621376, ' $\\': -7.8718247, '$': -7.9442334, ' $$': -8.629605, ' ': -10.754494}
{' !': -0.0004906167, ' #': -7.810467, '!': -9.381437, ' ': -14.564819, '#': -16.24309}
{' !': -0.000280908, '!': -8.187129, ' #': -13.339087, ' ': -14.348219, '\n': -15.670847}
{' @': -0.009926207, ' #': -4.6837487, '@': -7.4149837, ' ': -10.986065, '@#': -12.220493}
{' @': -0.0010999034, '@': -6.9573545, ' #': -9.388844, ' ': -10.350684, '\n': -10.986304}
{' $': -0.0008218215, ' $\\': -8.076722, ' #': -8.29221, '$': -8.822832, ' $$': -9.338465}
{' $': -0.00094686385, ' $\\': -7.6600366, '$': -8.423045, ' $$': -8.565659, ' #': -10.533263}
{' !': -0.00033820607, '!': -8.02433, ' $': -11.544839, ' ': -14.42789, '!.': -15.4892845}
{' !': -0.00043080773, '!': -7.7532325, ' ': -14.012814, '!.': -15.422893, ' $': -15.95146}
{' @': -0.00039389907, '@': -8.245518, ' $': -9.458416, ' ': -10.105807, ' @@': -12.167397}
{' @': -0.00090187904, '@': -7.1129813, ' @@': -10.269459, ' ': -10.298589, '\n': -11.316716}
{' #': -0.0001033124, ' $': -9.773211, '#': -10.704328, ' ': -11.0174675, ' \\': -12.743831}
{' #': -5.216904e-05, '#': -10.79128, ' ': -10.963113, '\n': -12.087866, ' $': -12.885951}
{' @': -0.0009630922, '@': -7.2235084, ' !': -8.525894, ' ': -10.392742, ' "@': -13.422373}
{' @': -0.0011622607, '@': -6.7965627, ' ': -10.365624, '\n': -12.233805, ' @@': -12.47733}
{' #': -0.000101643476, '#': -9.391256, ' !': -11.85825, ' ': -11.890803, '\n': -13.248603}
{' #': -6.611553e-05, '#': -9.981881, ' ': -11.462956, ' "#': -12.619766, '\n': -12.713762}
{' $': -0.001251959, '$': -6.8310833, ' $\\': -8.810419, ' ': -11.910974, ' $$': -11.987428}
{' $': -0.0011220442, '$': -7.221846, ' $\\': -8.053969, ' $$': -10.058776, ' ': -11.041221}
{' !': -0.00010271822, '!': -9.205174, ' @': -13.370404, ' ': -14.589988, '\n': -16.047564}
{' !': -0.00027613778, '!': -8.200425, ' ': -14.217596, '\n': -14.658048, ' @': -15.218037}
{' #': -0.0002496669, ' @': -8.6286125, '#': -9.891259, ' ': -11.389256, '\n': -12.336277}
{' #': -0.00010259808, '#': -9.39268, ' ': -11.834923, '\n': -11.844906, ' "#': -13.17501}
{' $': -0.0014783456, '$': -6.919002, ' $\\': -7.9828486, ' $$': -9.127512, ' $(': -11.118478}
{' $': -0.0011009781, ' $\\': -7.7260833, '$': -7.73444, ' $$': -8.658241, ' ': -11.01315}
{' !': -0.00025431695, ' #': -8.742868, '!': -9.274748, ' ': -14.154475, ' !=': -16.682554}
{' !': -0.0002463262, '!': -8.318635, ' #': -13.747234, ' ': -14.075074, '\n': -15.172542}
{' @': -0.009301355, ' #': -4.7544603, '@': -7.40783, ' ': -10.7190485, '@#': -12.162194}
{' @': -0.0009201949, '@': -7.118567, ' #': -9.822377, ' ': -10.465852, '\n': -11.313887}
{' $': -0.0007884759, ' $\\': -8.093311, '$': -8.323259, ' $$': -9.05917, ' #': -9.285648}
{' $': -0.0009077869, ' $\\': -7.695358, '$': -8.365028, ' $$': -8.753071, ' #': -10.680851}
{' !': -0.00019929133, '!': -8.5352125, ' $': -13.103667, ' ': -14.6001835, '!.': -15.860845}
{' !': -0.00048131656, '!': -7.6426244, ' ': -14.045945, ' $': -14.834423, '!.': -15.439876}
{' @': -0.0003067838, '@': -8.336038, ' ': -10.336818, ' $': -10.67888, ' @@': -11.94874}
{' @': -0.0008343478, '@': -7.198899, ' ': -10.217248, ' @@': -10.312796, '\n': -11.5136595}
{' #': -4.0843282e-05, '#': -11.226541, ' $': -11.357015, ' ': -11.447799, ' \\': -12.87885}
{' #': -4.8353428e-05, '#': -10.705132, ' ': -11.146508, '\n': -12.1729145, ' $': -13.133516}
{' !': -0.07201712, ' @': -2.6684964, '@': -9.615972, '!': -9.774667, ' ': -12.312525}
{' !': -0.00011273176, '!': -9.118441, ' @': -13.305919, ' ': -13.779875, '\n': -15.413479}
{' !': -0.011690764, ' #': -4.463223, '!': -9.30652, '#': -12.424104, ' ': -13.070649}
{' !': -7.732115e-05, '!': -9.499293, ' ': -13.444338, ' #': -14.735833, '\n': -14.851572}
{' !': -0.012001206, ' $': -4.4581738, '!': -8.535763, '$': -8.862835, ' $\\': -12.4875965}
{' !': -0.00014408647, '!': -8.952452, ' $': -11.377147, ' ': -13.083141, '\n': -14.29152}
{' @': -0.014258075, ' !': -4.3195977, '@': -7.1015644, ' ': -10.970188, '!': -12.612864}
{' @': -0.0017510619, '@': -6.4823723, ' !': -8.824722, ' ': -9.958773, '\n': -11.288249}
{' @': -0.38647774, ' #': -1.1397241, '@': -7.5630984, ' ': -10.035018, '@#': -10.214334}
{' @': -0.0034260007, ' #': -6.094, '@': -6.8476806, ' ': -9.767091, '\n': -10.679569}
{' @': -0.0277312, ' $': -3.6339037, '@': -7.1434383, '$': -9.908705, ' $$': -10.124763}
{' @': -0.0028268306, ' $': -6.5881996, '@': -6.635086, ' ': -9.897223, '\n': -10.03946}
{' #': -0.033638585, ' !': -3.4125867, '#': -9.090759, '!': -11.737948, ' ': -13.282644}
{' #': -7.839496e-05, '#': -9.773598, ' !': -11.224464, ' ': -12.411903, ' "#': -13.492337}
{' #': -0.22887142, ' @': -1.5883131, '@': -8.486825, '#': -9.8077, ' ': -10.886565}
{' #': -0.00019940869, ' @': -9.178284, '#': -9.423387, ' ': -11.664842, '\n': -12.476092}
{' #': -0.023325443, ' $': -3.7743363, '#': -10.077909, '#$': -10.515141, '$': -11.396459}
{' #': -0.00039306178, ' $': -8.025587, '#': -10.1382675, '#$': -11.41338, ' ': -12.021275}
{' $': -0.0760798, ' !': -2.6344788, '$': -6.6755857, '!': -9.31064, ' $\\': -9.573317}
{' $': -0.0010072426, '$': -7.521501, '$.': -8.554806, ' $\\': -8.7426405, ' ': -9.884538}
{' $': -0.018667553, ' @': -4.084238, ' $\\': -7.3135924, '$': -7.370682, ' $$': -9.082889}
{' $': -0.0010530055, ' $\\': -7.516268, '$': -8.425184, '$.': -9.189393, ' ': -9.453564}
{' $': -0.0044778297, ' #': -5.673261, '$': -7.662593, ' $\\': -8.034224, '$.': -9.21047}
{' $': -0.00097401056, ' $\\': -8.135953, '$': -8.200952, ' #': -9.078908, ' ': -9.270159}
{' !': -6.802381e-05, '!': -9.686065, ' @': -12.638528, ' ': -13.0737095, '\n': -15.187792}
{' !': -8.8171946e-05, '!': -9.367901, ' ': -13.1257715, '\n': -14.469207, ' !!': -16.465483}
{' !': -7.231626e-05, '!': -9.5966835, ' ': -13.13747, ' #': -13.231003, '\n': -14.964407}
{' !': -6.21807e-05, '!': -9.732743, ' ': -13.09025, '\n': -14.61386, ' !!': -16.500553}
{' !': -0.000111657944, '!': -9.142516, ' $': -12.922015, ' ': -13.25862, '\n': -15.094407}
{' !': -7.958892e-05, '!': -9.492867, ' ': -12.792065, '\n': -14.159063, ' $': -14.980117}
{' @': -0.0011012156, '@': -7.0086904, ' !': -8.812466, ' ': -10.336686, ' "@': -11.854399}
{' @': -0.001408389, '@': -6.6199174, ' ': -9.944297, '\n': -11.268371, ' "@': -12.254995}
{' @': -0.0035693767, ' #': -5.889635, '@': -7.2308197, ' ': -10.083299, '\n': -11.31676}
{' @': -0.0010392806, '@': -6.9877443, ' ': -9.839406, '\n': -10.69023, ' #': -10.713156}
{' @': -0.0011675134, '@': -6.9169602, ' $': -9.052547, ' ': -10.438252, '\n': -11.145735}
{' @': -0.0011565931, '@': -6.873104, ' ': -10.002136, '\n': -10.149558, ' $': -10.945462}
{' #': -0.00019237537, ' !': -8.8136, '#': -10.110928, ' ': -13.380343, ' "#': -14.102478}
{' #': -4.6921985e-05, '#': -10.444175, ' ': -11.617877, '\n': -12.696676, ' "#': -12.852211}
{' #': -0.0008709767, ' @': -7.107791, '#': -10.0120535, ' ': -12.413264, '\n': -13.898033}
{' #': -5.0976956e-05, '#': -10.387286, ' ': -11.362104, '\n': -12.222785, ' @': -13.494571}
{' #': -0.00020549206, ' $': -8.790187, '#': -10.143878, '#$': -12.090371, ' ': -12.605735}
{' #': -5.562516e-05, '#': -10.7058525, ' ': -11.366899, '\n': -11.581962, ' $': -11.850316}
{' $': -0.002091224, '$': -6.937794, ' !': -7.0086904, ' $\\': -9.279013, '$.': -9.642601}
{' $': -0.0010046161, '$': -7.5165377, ' $\\': -8.375247, '$.': -8.930117, ' ': -9.789076}
{' $': -0.0012154944, ' $\\': -7.7084446, '$': -7.7397366, ' @': -9.093053, ' ': -9.439994}
{' $': -0.001289078, ' $\\': -7.357021, '$': -7.75338, ' $$': -9.5121765, ' ': -9.626623}
{' $': -0.001002707, '$': -7.7845216, ' $\\': -8.253825, ' #': -8.830146, ' ': -9.6670685}
{' $': -0.00092198397, ' $\\': -7.854288, '$': -7.950316, ' $$': -9.728375, ' ': -9.751904}
{' @': -0.0019584529, '@': -6.3120813, ' ': -9.062814, '\n': -11.319441, ' @@': -12.018564}
{' @': -0.0017924424, '@': -6.370822, ' ': -9.724643, '\n': -11.795605, ' @@': -11.860739}
{' #': -8.3045044e-05, '#': -9.923666, ' ': -10.771014, '\n': -12.217954, ' "#': -12.357337}
{' #': -8.042151e-05, '#': -9.788158, ' ': -11.1250515, '\n': -12.578655, ' "#': -13.108235}
{' $': -0.0012631178, '$': -6.9644694, ' $\\': -8.2698345, ' ': -10.431786, ' $$': -10.829078}
{' $': -0.0013460156, '$': -7.025487, ' $\\': -7.9817343, ' $$': -9.769813, ' ': -10.127133}
{' !': -0.0002939055, '!': -8.145193, ' ': -12.837731, '\n': -14.267748, '!.': -15.977751}
{' !': -0.00036169955, '!': -7.935, ' ': -12.940844, '\n': -14.094263, ' @': -15.680883}
{' #': -0.00011762026, '#': -9.243447, ' ': -11.613084, '\n': -11.891768, ' "#': -13.2646475}
{' #': -0.00015648511, '#': -9.065627, ' ': -10.827645, '\n': -11.413509, ' @': -12.591641}
{' $': -0.0010453678, '$': -7.4200797, ' $\\': -8.141762, ' $$': -9.309052, ' ': -10.475879}
{' $': -0.0010473961, '$': -7.5596676, ' $\\': -8.151127, ' $$': -8.6245, ' ': -10.590391}
{' !': -0.0002665992, '!': -8.244304, ' #': -13.157994, ' ': -13.355384, '\n': -15.670486}
{' !': -0.00033415205, '!': -8.021925, ' #': -12.4383135, ' ': -13.497943, '\n': -14.967954}
