{' ': -10.764524, ' Generally': -7.858884, ' Yes': -0.005441524, ' yes': -9.020902, 'Yes': -5.327934}
{' Generally': -4.853556, ' Yes': -0.015972579, ' B': -6.5162787, 'Yes': -5.4288216, ' In': -7.350513}
{' Generally': -6.5673337, ' Yes': -0.015065061, ' yes': -8.149856, 'Yes': -4.3627768, ' It': -8.579959}
{' Generally': -6.1721563, ' Yes': -0.016249875, ' B': -7.0952597, ' yes': -8.11015, 'Yes': -4.397752}
{'\n': -9.186331, ' ': -8.471895, ' Yes': -0.014009794, ' yes': -8.409748, 'Yes': -4.327902}
{' ': -7.8137903, ' Generally': -7.2251115, ' Yes': -0.025519835, ' B': -6.632777, 'Yes': -3.8233578}
{' Generally': -6.375904, ' A': -8.814892, ' Yes': -0.005358285, ' yes': -8.715231, 'Yes': -5.784366}
{' Generally': -5.2079024, ' Yes': -0.014081663, ' B': -6.23289, 'Yes': -5.316934, ' In': -7.580249}
{'\n': -6.2403045, ' ': -6.8133273, ' Generally': -7.0646005, ' Yes': -0.02758022, 'Yes': -3.8018034}
{'\n': -7.2767267, ' ': -7.1175385, ' Generally': -7.128189, ' Yes': -0.030584183, 'Yes': -3.6197984}
{' Generally': -6.729205, ' A': -8.389987, ' Yes': -0.016251875, ' yes': -7.501746, 'Yes': -4.303376}
{' Generally': -6.8797965, ' Yes': -0.018398263, ' B': -7.308623, ' yes': -6.9705505, 'Yes': -4.2091827}
{'\n': -8.5931835, ' ': -8.222282, ' Yes': -0.0031336949, ' yes': -8.141848, 'Yes': -6.0743537}
{'\n': -7.1076355, ' ': -7.6307793, ' Generally': -6.8769665, ' Yes': -0.005831506, 'Yes': -5.8861923}
{'\n': -7.3837533, ' ': -7.5964613, ' Yes': -0.01608299, ' yes': -7.314509, 'Yes': -4.2979393}
{' Generally': -6.8612523, ' Yes': -0.016418185, ' B': -6.7079544, ' yes': -7.06727, 'Yes': -4.414182}
{'\n': -4.660543, ' ': -5.669806, ' Yes': -0.044090495, ' yes': -7.15774, 'Yes': -3.5487845}
{'\n': -4.236278, ' ': -5.468251, ' Yes': -0.050055943, ' yes': -6.742921, 'Yes': -3.590011}
{'\n': -10.240538, ' ': -9.0596895, ' Yes': -0.0023899777, ' yes': -8.515734, 'Yes': -6.2054057}
{'\n': -10.0146265, ' ': -9.138553, ' Yes': -0.0031008113, ' yes': -8.135999, 'Yes': -5.9722257}
{'\n': -5.2290826, ' ': -5.5499024, ' Yes': -0.11317115, ' yes': -5.815426, 'Yes': -2.3690267}
{'\n': -5.6860304, ' ': -5.8527036, ' Yes': -0.09946847, ' yes': -5.611292, 'Yes': -2.4888155}
{'\n': -7.902724, ' ': -7.0147405, ' Yes': -0.015610817, ' yes': -5.3585405, 'Yes': -4.710387}
{' ': -6.942106, ' Yes': -0.022050092, ' B': -7.750071, ' yes': -5.091922, 'Yes': -4.3482084}
{' Generally': -7.516718, ' A': -7.6964493, ' Yes': -0.05227788, ' yes': -4.3839617, 'Yes': -3.3201056}
{' Generally': -6.298584, ' Yes': -0.078222856, ' B': -5.7364373, ' yes': -3.927937, 'Yes': -3.061795}
{' No': -8.18717, ' Generally': -8.0016365, ' Yes': -0.021391377, ' yes': -7.1383862, 'Yes': -3.9413247}
{' Generally': -6.0528193, ' Yes': -0.045148637, ' B': -8.027432, ' yes': -7.24805, 'Yes': -3.2184253}
{' ': -8.395703, ' Generally': -8.981595, ' Yes': -0.03001822, ' yes': -7.4475, 'Yes': -3.5622866}
{' ': -8.455058, ' Generally': -8.619549, ' Yes': -0.047058772, ' yes': -7.2949567, 'Yes': -3.1126525}
{' ': -9.466911, ' Generally': -8.972184, ' Yes': -0.009044317, ' yes': -7.540471, 'Yes': -4.810861}
{' Generally': -6.669392, ' Yes': -0.017174646, ' B': -8.35566, ' yes': -7.6596894, 'Yes': -4.2235856}
{' ': -7.286432, ' Generally': -5.875121, ' Yes': -0.1072841, ' yes': -6.6984625, 'Yes': -2.358581}
{' Generally': -6.323162, ' Yes': -0.12926361, ' B': -6.4113073, ' yes': -6.568305, 'Yes': -2.165614}
{' ': -8.3375, ' Generally': -7.3558745, ' Yes': -0.025236223, ' yes': -5.8931327, 'Yes': -3.8686123}
{' Generally': -6.5249615, ' Yes': -0.03954838, ' B': -6.7589736, ' yes': -5.8392725, 'Yes': -3.4329293}
{'\n': -7.311, ' ': -6.861069, ' Yes': -0.05211925, ' yes': -3.1696117, 'Yes': -5.05157}
{'\n': -7.357137, ' ': -7.0691843, ' Yes': -0.0483569, ' yes': -3.291456, 'Yes': -4.8666077}
{'\n': -6.801071, ' ': -7.1023173, ' Yes': -0.029306857, ' yes': -5.3135552, 'Yes': -3.831545}
{'\n': -6.879018, ' ': -7.3290715, ' Yes': -0.033171624, ' yes': -4.9190087, 'Yes': -3.7776744}
{'\n': -4.5764236, ' ': -6.0147476, ' Yes': -0.07170868, ' yes': -5.3106956, 'Yes': -2.9794483}
{'\n': -4.239006, ' ': -5.911104, ' Yes': -0.091680594, ' yes': -5.0346203, 'Yes': -2.7691405}
{'\n': -8.395818, ' ': -8.615865, ' Yes': -0.011197403, ' yes': -5.9509, 'Yes': -4.8248777}
{'\n': -7.950729, ' ': -8.411383, ' Yes': -0.017053438, ' yes': -5.3434696, 'Yes': -4.49661}
{'\n': -4.291721, ' ': -5.808693, ' Yes': -0.14692843, ' yes': -4.5913424, 'Yes': -2.2231688}
{'\n': -4.6944184, ' ': -6.1997576, ' Yes': -0.1470418, ' yes': -4.117226, 'Yes': -2.2369502}
{'\n': -6.0164466, ' ': -6.4215946, ' Yes': -0.08338349, ' yes': -2.8525484, 'Yes': -4.086527}
{'\n': -5.8393016, ' Yes': -0.10673887, ' yes': -2.6134832, 'Yes': -3.873342, 'yes': -6.3724065}
{'\n': -7.2026696, ' ': -7.8630714, ' Yes': -0.005333236, ' yes': -7.5766206, 'Yes': -5.643557}
{'\n': -5.744393, ' ': -6.8367405, ' Generally': -6.755219, ' Yes': -0.01127673, 'Yes': -5.399943}
{'\n': -5.7004604, ' ': -6.533205, ' Yes': -0.02065119, ' yes': -7.283329, 'Yes': -4.227112}
{'\n': -5.3549337, ' ': -6.2214456, ' Generally': -6.397008, ' Yes': -0.0271331, 'Yes': -4.1064844}
{'\n': -5.50713, ' ': -6.179333, ' Yes': -0.027838571, ' yes': -7.214026, 'Yes': -3.908469}
{'\n': -5.876749, ' ': -6.3949337, ' Yes': -0.025616387, ' yes': -6.719567, 'Yes': -3.9924645}
{'\n': -6.8489776, ' ': -6.939256, ' Yes': -0.0052355058, ' yes': -8.346518, 'Yes': -5.842796}
{'\n': -5.661004, ' ': -6.4902754, ' Yes': -0.010764475, ' yes': -7.8776183, 'Yes': -5.3179126}
{'\n': -6.2092495, ' ': -6.7113514, ' Yes': -0.024815023, ' yes': -7.1789737, 'Yes': -3.8943448}
{'\n': -6.552858, ' ': -6.5781417, ' Yes': -0.022611383, ' yes': -6.926822, 'Yes': -4.003818}
{'\n': -6.1758585, ' ': -6.1929846, ' Yes': -0.018609984, ' yes': -5.36257, 'Yes': -4.7134547}
{'\n': -6.7222524, ' ': -6.5703144, ' Yes': -0.02111642, ' yes': -5.151993, 'Yes': -4.4967327}
{' No': -4.367383, ' Generally': -6.6681757, ' A': -7.039693, ' Yes': -0.021706734, 'Yes': -5.2352934}
{' Generally': -7.9060984, ' Yes': -0.003703499, ' B': -8.983428, ' yes': -9.316997, 'Yes': -5.7927904}
{' No': -3.9181075, ' Generally': -4.773065, 'No': -5.973998, ' Yes': -0.058957703, 'Yes': -3.8191066}
{' Generally': -5.9030523, ' Yes': -0.01621977, ' B': -8.284705, ' yes': -9.313073, 'Yes': -4.3622394}
{' No': -5.650092, '\n': -7.3793116, ' Generally': -6.525317, ' Yes': -0.022178123, 'Yes': -4.239614}
{'\n': -6.873086, ' ': -7.77127, ' Generally': -7.4023714, ' Yes': -0.023640856, 'Yes': -3.8753958}
{' No': -4.175466, ' Generally': -5.6466055, ' A': -6.7520742, ' Yes': -0.030551367, 'Yes': -4.806012}
{' Generally': -7.435932, ' Yes': -0.008033894, ' B': -8.151297, ' yes': -9.040361, 'Yes': -4.9691486}
{' No': -4.5167875, '\n': -5.467971, ' Generally': -5.5282183, ' Yes': -0.051413566, 'Yes': -3.67615}
{'\n': -5.829574, ' ': -7.1790686, ' Generally': -6.463044, ' Yes': -0.028787192, 'Yes': -3.8252594}
{' No': -5.3921695, ' Generally': -4.071418, ' A': -5.818852, ' Yes': -0.059552766, 'Yes': -3.6340826}
{' Generally': -7.0494833, ' Yes': -0.01949446, ' B': -8.145711, ' yes': -8.49038, 'Yes': -4.0356035}
{' No': -5.117967, '\n': -7.9401712, ' Yes': -0.008952656, ' yes': -8.050479, 'Yes': -6.376188}
{'\n': -8.179759, ' ': -9.719199, ' Yes': -0.0025917666, ' yes': -8.921359, 'Yes': -6.1833863}
{' No': -4.1965322, '\n': -5.352458, ' ': -6.493918, ' Yes': -0.04075138, 'Yes': -4.348201}
{'\n': -7.623281, ' ': -8.50054, ' Yes': -0.014261577, ' yes': -8.15699, 'Yes': -4.3512654}
{' No': -4.3768516, '\n': -2.8554754, ' ': -4.484864, ' Yes': -0.11558449, 'Yes': -3.819369}
{'\n': -2.7168517, ' ': -4.9337115, ' Yes': -0.104276426, ' yes': -7.1993413, 'Yes': -3.7278779}
{' No': -5.6277676, ' A': -8.437208, ' Yes': -0.0070803314, ' yes': -8.418509, 'Yes': -6.0560894}
{' ': -10.118384, ' Yes': -0.0022731787, ' B': -10.149831, ' yes': -9.449296, 'Yes': -6.1895876}
{' No': -3.5207355, '\n': -4.0048857, 'No': -4.856885, ' Yes': -0.14991866, 'Yes': -2.6561384}
{'\n': -4.894989, ' ': -6.010042, ' Yes': -0.07926395, ' yes': -6.7867794, 'Yes': -2.7402499}
{' No': -3.3714535, ' A': -5.6681304, ' Yes': -0.062902056, ' yes': -5.7972155, 'Yes': -4.5595355}
{'\n': -7.694038, ' ': -7.5215883, ' Yes': -0.016869808, ' yes': -6.683261, 'Yes': -4.263856}
{' No': -5.4976277, ' Generally': -6.242484, ' Yes': -0.03253652, ' yes': -6.6507335, 'Yes': -3.7814682}
{' Generally': -6.049203, ' Yes': -0.062472545, ' B': -5.986972, ' yes': -5.7628694, 'Yes': -2.9680092}
{' No': -0.2428603, 'No': -2.0595927, ' Yes': -2.4979548, ' yes': -8.149775, 'Yes': -5.347461}
{' No': -7.0857253, ' Generally': -7.241686, ' Yes': -0.04651476, ' yes': -7.9500713, 'Yes': -3.1496866}
{' No': -2.3575728, 'No': -4.4215164, ' Yes': -0.15117273, ' yes': -6.931181, 'Yes': -3.452206}
{' ': -9.201459, ' Generally': -8.773627, ' Yes': -0.062747374, ' yes': -7.6996427, 'Yes': -2.8166938}
{' No': -1.8733612, ' Generally': -7.6629725, 'No': -5.258409, ' Yes': -0.1869656, 'Yes': -4.5677924}
{' No': -9.300288, ' Generally': -7.284132, ' Yes': -0.011053714, ' yes': -8.865252, 'Yes': -4.6171346}
{' No': -0.37339503, '\n': -6.6871533, 'No': -1.2436686, ' Yes': -4.127618, 'Yes': -6.2603993}
{' Generally': -6.1697626, ' Yes': -0.102719456, ' B': -6.18209, ' yes': -8.163267, 'Yes': -2.3852262}
{' No': -0.20909038, '\n': -6.6670346, 'No': -1.7446034, ' A': -7.120209, ' Yes': -4.622239}
{' No': -5.6870174, ' Generally': -5.718775, 'No': -6.472035, ' Yes': -0.08217134, 'Yes': -2.6908462}
{'\n': -7.976707, ' ': -7.9366198, ' Yes': -0.0082199965, ' yes': -5.372933, 'Yes': -5.9929094}
{'\n': -8.504494, ' ': -8.914737, ' Yes': -0.007037232, ' yes': -5.4312983, 'Yes': -6.100825}
{' No': -6.08345, '\n': -6.461614, ' Yes': -0.028980142, ' yes': -5.984134, 'Yes': -3.8924613}
{'\n': -6.8164415, ' ': -8.385106, ' Yes': -0.027663184, ' yes': -6.054526, 'Yes': -3.7559018}
{'\n': -2.7229044, ' ': -4.8270135, ' Yes': -0.13608389, ' yes': -5.7958183, 'Yes': -3.0152476}
{'\n': -3.087834, ' ': -5.732832, ' Yes': -0.09940566, ' yes': -5.807085, 'Yes': -3.1650395}
{' No': -7.240115, '\n': -7.317345, ' Yes': -0.011029429, ' yes': -6.594365, 'Yes': -4.984214}
{'\n': -8.209491, ' Generally': -8.866441, ' Yes': -0.0090669915, ' yes': -7.6660414, 'Yes': -4.8207903}
{' No': -3.3805025, '\n': -3.0218866, 'No': -4.6321535, ' Yes': -0.19970882, 'Yes': -2.578777}
{'\n': -3.8266203, ' ': -6.3528223, ' Yes': -0.11867738, ' yes': -5.031891, 'Yes': -2.516844}
{'\n': -5.7757072, ' ': -6.4622574, ' Yes': -0.06039565, ' yes': -3.3556132, 'Yes': -4.061507}
{'\n': -6.8209066, ' ': -8.025788, ' Yes': -0.031100536, ' yes': -4.33302, 'Yes': -4.162774}
{' No': -3.4532216, '\n': -5.650344, ' ': -6.766732, ' Yes': -0.042199295, 'Yes': -5.896993}
{'\n': -5.2192917, ' ': -7.1331444, ' Yes': -0.010957713, ' yes': -8.047278, 'Yes': -5.513233}
{' No': -3.7147233, '\n': -3.0539415, ' ': -5.0062346, ' Yes': -0.108896054, 'Yes': -4.0092826}
{'\n': -3.8614516, ' ': -6.1627703, ' Yes': -0.04111445, ' yes': -7.8603663, 'Yes': -4.121375}
{' No': -4.639899, '\n': -2.697211, ' ': -4.3225923, ' Yes': -0.122662425, 'Yes': -3.9778697}
{'\n': -3.5167186, ' ': -5.3590856, ' Yes': -0.050780177, ' yes': -7.513077, 'Yes': -4.264064}
{' No': -4.734985, '\n': -4.6110682, ' ': -5.460445, ' Yes': -0.028110048, 'Yes': -5.7133245}
{'\n': -4.046505, ' ': -5.6708965, ' Generally': -8.096128, ' Yes': -0.027242733, 'Yes': -5.2435207}
{' No': -1.2051651, '\n': -3.336915, 'No': -4.032718, ' Yes': -0.48747748, 'Yes': -4.170186}
{'\n': -4.8064785, ' ': -6.4341946, ' Yes': -0.024433454, ' yes': -7.5859814, 'Yes': -4.301676}
{' No': -4.7581606, '\n': -3.7470124, ' ': -4.8689556, ' Yes': -0.06702922, 'Yes': -4.3468275}
{'\n': -5.019381, ' ': -6.2104287, ' Yes': -0.030018587, ' yes': -5.813494, 'Yes': -4.065116}
{' No': -4.912169, ' Generally': -4.560612, ' A': -6.927138, ' Yes': -0.025873741, 'Yes': -5.230351}
{' No': -2.1111784, ' On': -4.233998, ' Generally': -1.7500846, ' Yes': -0.68809605, ' B': -1.8049649}
{' No': -0.74170476, ' Generally': -3.423147, 'No': -3.1159282, ' Yes': -0.8750875, 'Yes': -4.7343383}
{' No': -0.42687526, ' Generally': -3.3779228, 'No': -2.634164, ' Yes': -3.0574656, ' B': -1.7229147}
{' No': -0.465437, 'No': -2.866577, ' A': -5.2675133, ' Yes': -1.2239763, 'Yes': -4.988846}
{' No': -0.28622198, ' Generally': -4.8232512, 'No': -2.3418689, ' Yes': -3.584123, ' B': -2.273046}
{' No': -0.105169676, ' Generally': -3.6874352, 'No': -3.7369332, ' A': -4.4529514, ' Yes': -3.4518607}
{' No': -0.41075975, ' Generally': -3.0757987, 'No': -3.772786, ' Yes': -3.3357399, ' B': -1.5377873}
{' No': -0.1326236, '\n': -5.0861545, ' ': -5.677625, 'No': -2.257574, ' Yes': -5.7732687}
{' No': -0.15151404, ' Generally': -5.4199944, 'No': -2.2398489, ' Yes': -5.2835293, ' B': -4.673965}
{' No': -1.5940595, ' Generally': -3.484118, 'No': -4.0586357, ' A': -3.9617732, ' Yes': -0.34998375}
{' No': -1.0445557, ' Generally': -3.154741, 'No': -3.1549683, ' Yes': -1.2045689, ' B': -1.4842243}
{' No': -0.016292952, ' ': -6.8536644, 'No': -5.135496, ' A': -7.0236354, ' Yes': -4.888533}
{' No': -0.21857682, ' Generally': -4.430887, 'No': -4.518755, ' Yes': -2.5840838, ' B': -2.4296536}
{' No': -0.08880725, '\n': -6.148261, ' ': -6.306088, 'No': -2.5782843, ' A': -5.856648}
{' No': -0.118332595, ' Generally': -5.77731, 'No': -2.8977287, ' Yes': -5.1883645, ' B': -3.1822345}
{' No': -0.14488693, '\n': -3.267972, ' ': -4.807629, 'No': -2.473384, ' A': -5.738337}
{' No': -0.26978448, '\n': -2.287149, ' ': -4.0698886, 'No': -2.4441714, ' B': -3.8868687}
{' No': -0.01265045, ' ': -7.02356, 'No': -4.4934015, ' A': -8.623702, ' Yes': -8.746501}
{' No': -0.023581719, ' ': -7.7591195, 'No': -3.9131727, ' Yes': -9.13167, ' B': -5.9949236}
{' No': -0.273992, '\n': -4.5075984, ' ': -4.9014654, 'No': -1.5197823, ' A': -6.5448084}
{' No': -0.28231886, '\n': -4.427069, ' ': -4.848051, 'No': -1.5331734, ' B': -4.8422956}
{' No': -0.7519291, ' ': -4.58034, 'No': -3.6459055, ' A': -2.7569244, ' Yes': -0.88482744}
{' No': -1.370378, ' Generally': -4.402296, 'No': -3.6903062, ' Yes': -0.8296942, ' B': -1.4849924}
{' No': -0.17460884, ' Generally': -6.1867566, 'No': -2.0940197, ' A': -4.346745, ' Yes': -4.203648}
{' No': -0.22888812, ' Generally': -5.2754455, 'No': -2.1232002, ' Yes': -4.78409, ' B': -2.8841634}
{' No': -0.1263686, ' ': -7.97625, ' Generally': -8.115619, 'No': -2.1469774, ' Yes': -7.037091}
{' No': -0.26101097, ' Generally': -4.2631664, 'No': -1.7904948, ' Yes': -3.6705625, ' B': -4.153904}
{' No': -0.21984732, ' ': -6.7650037, 'No': -1.9663206, ' Yes': -2.95892, 'Yes': -5.8258286}
{' No': -0.22399116, ' Generally': -6.7834096, 'No': -1.7231385, ' Yes': -5.292417, ' B': -4.3829627}
{' No': -0.042246055, ' ': -8.005963, 'No': -3.3448484, ' A': -8.201063, ' Yes': -5.318844}
{' No': -0.098008335, ' Generally': -5.2455435, 'No': -2.8623435, ' Yes': -4.280818, ' B': -4.228402}
{' No': -0.70641834, '\n': -7.018449, ' ': -6.855616, ' Generally': -6.062516, 'No': -0.6963532}
{' No': -0.66619074, '\n': -5.9521956, ' Generally': -5.2191215, 'No': -0.7868096, ' B': -4.2335963}
{' No': -0.13144276, ' ': -7.136698, ' Generally': -6.4209, 'No': -2.1417518, ' Yes': -6.4274917}
{' No': -0.72064203, ' Generally': -3.4196508, 'No': -2.0215986, ' Yes': -1.644842, ' B': -2.136095}
{' No': -0.030944863, ' ': -5.327553, 'No': -4.196167, ' Yes': -5.636671, ' no': -6.0098395}
{' No': -0.17270692, ' ': -5.1048117, 'No': -3.8087234, ' Yes': -3.178381, ' B': -2.5436327}
{' No': -0.29598808, '\n': -4.8744235, 'No': -2.103176, ' A': -4.3072834, ' Yes': -2.3303068}
{' No': -0.17656454, '\n': -4.5120993, ' ': -5.1059675, 'No': -2.1349041, ' B': -4.244811}
{' No': -0.29427662, '\n': -2.8035805, ' ': -4.8938036, 'No': -1.6984532, ' A': -6.009738}
{' No': -0.41606516, '\n': -2.2354202, ' ': -4.3990517, 'No': -1.6062716, ' B': -4.095066}
{' No': -0.049344506, '\n': -6.9653525, ' ': -6.5384803, 'No': -3.2315707, ' Yes': -5.327905}
{' No': -0.07364155, '\n': -6.819655, 'No': -2.7977684, ' Yes': -6.278949, ' B': -5.2912164}
{' No': -0.40153614, '\n': -3.2493448, ' ': -5.038254, 'No': -1.2620289, ' no': -7.0401363}
{' No': -0.38503167, '\n': -3.37343, ' ': -5.031263, 'No': -1.2947016, ' no': -6.20458}
{' No': -0.4437732, '\n': -4.126863, 'No': -2.8481233, ' A': -3.328037, ' Yes': -1.5698853}
{' No': -0.51534194, '\n': -3.1985905, 'No': -2.484443, ' Yes': -2.2922776, ' B': -2.1947355}
{' No': -0.02469411, '\n': -5.3826823, ' ': -5.997642, 'No': -4.431621, ' Yes': -5.6980486}
{' No': -0.14327694, '\n': -3.9621835, 'No': -3.8391519, ' Yes': -4.0199995, ' B': -2.846066}
{' No': -0.08748182, '\n': -4.3392787, ' ': -5.50057, 'No': -2.769828, ' A': -6.339774}
{' No': -0.10580354, '\n': -3.875531, ' ': -5.3488703, 'No': -2.7665758, ' B': -4.6130323}
{' No': -0.09269734, '\n': -3.8780956, ' ': -4.991667, 'No': -2.8725455, ' A': -5.8918514}
{' No': -0.09846968, '\n': -3.6153708, ' ': -4.969159, 'No': -2.9680185, ' B': -5.0452604}
{' No': -0.021610862, '\n': -5.5987916, ' ': -5.5672364, 'No': -4.3473783, ' A': -7.6720543}
{' No': -0.055300165, '\n': -4.3780613, ' ': -5.3261547, 'No': -3.5134928, ' B': -5.1814046}
{' No': -0.054581106, '\n': -5.163668, ' ': -5.832172, 'No': -3.123806, ' A': -8.063667}
{' No': -0.069559656, '\n': -5.3469567, ' ': -5.5466332, 'No': -2.8773465, ' B': -6.4294467}
{' No': -0.3186483, '\n': -3.9873474, 'No': -3.7163682, ' A': -3.4446187, ' Yes': -1.7349253}
{' No': -0.17709967, '\n': -4.387569, 'No': -3.1266522, ' Yes': -3.4727025, ' B': -2.909344}
{' No': -1.2323774, 'No': -4.7841506, ' A': -5.254279, ' Yes': -0.37889037, 'Yes': -5.1290884}
{' No': -0.3441837, ' Generally': -3.4453285, 'No': -3.5053508, ' Yes': -2.9091403, ' B': -1.8815504}
{' No': -0.2985908, ' Generally': -5.627692, 'No': -2.4910192, ' Yes': -1.8159324, 'Yes': -5.2584467}
{' No': -0.19803832, ' Generally': -4.2014008, 'No': -2.1517355, ' Yes': -5.695081, ' B': -3.247574}
{' No': -0.8550114, '\n': -5.53847, 'No': -3.328547, ' Yes': -0.6646103, 'Yes': -4.423945}
{' No': -0.16572055, '\n': -4.6400456, ' ': -6.119261, 'No': -2.1475742, ' B': -3.9820864}
{' No': -0.14295138, ' Generally': -6.1483874, 'No': -3.2939236, ' A': -5.449443, ' Yes': -2.4449227}
{' No': -0.15838145, ' Generally': -5.826794, 'No': -2.566943, ' Yes': -7.3666196, ' B': -2.7367084}
{' No': -0.15889442, '\n': -5.0311594, ' Generally': -5.3486276, 'No': -2.3111484, ' Yes': -3.582667}
{' No': -0.22447345, '\n': -4.055574, ' Generally': -4.5521865, 'No': -2.2545924, ' B': -3.0873122}
{' No': -0.2189293, ' Generally': -4.9264083, 'No': -1.774025, ' A': -5.188837, ' Yes': -4.968774}
{' No': -0.18803628, ' Not': -6.7215714, ' Generally': -5.6231027, 'No': -1.920355, ' B': -4.0513344}
{' No': -0.04416799, '\n': -7.264268, 'No': -5.433154, ' A': -6.966956, ' Yes': -3.3204646}
{' No': -0.02638394, '\n': -5.4306674, 'No': -4.48789, ' Yes': -5.743409, ' B': -5.299726}
{' No': -0.07456413, '\n': -5.570411, 'No': -2.8666916, ' A': -5.7430453, ' Yes': -5.535736}
{' No': -0.10717649, '\n': -5.0049577, 'No': -2.7475495, ' Yes': -5.3987827, ' B': -3.9066641}
{' No': -0.5922266, '\n': -1.8023401, ' ': -3.7608626, 'No': -3.0418687, ' Yes': -1.7285695}
{' No': -0.45918325, '\n': -1.278586, ' ': -4.1624475, 'No': -2.9573808, ' B': -4.1816564}
{' No': -0.05444754, ' Generally': -7.2745757, 'No': -4.621187, ' A': -6.342886, ' Yes': -3.245243}
{' No': -0.03913728, '\n': -7.787334, 'No': -4.0352573, ' Yes': -6.4671535, ' B': -4.043646}
{' No': -0.3609817, '\n': -3.7660985, 'No': -1.7384517, ' A': -4.371838, ' Yes': -2.6058395}
{' No': -0.18141052, '\n': -4.3135605, ' ': -5.742159, 'No': -1.9264551, ' B': -5.8217607}
{' No': -0.07615544, ' ': -6.149778, 'No': -2.845469, ' A': -5.206782, ' Yes': -5.5991364}
{' No': -0.10775997, '\n': -6.325139, ' ': -6.221247, 'No': -2.5788388, ' B': -3.8677735}
{' No': -0.522913, 'No': -2.6293106, ' A': -4.571113, ' Yes': -1.1985112, 'Yes': -4.434183}
{' No': -0.37371403, ' Generally': -4.6095214, 'No': -1.588016, ' Yes': -3.7645426, ' B': -2.8478065}
{' No': -0.18320858, ' ': -8.605707, 'No': -1.7930145, ' Yes': -7.8607388, ' no': -8.669996}
{' No': -0.32774144, ' Generally': -6.7458434, 'No': -1.3155916, ' Yes': -7.1976, ' B': -4.9305854}
{' No': -0.17927656, ' ': -7.6842375, 'No': -2.4239378, ' Yes': -2.6389039, 'Yes': -5.7665353}
{' No': -0.31507882, ' Generally': -6.8930902, 'No': -1.3576565, ' Yes': -5.80055, ' B': -5.268421}
{' No': -0.045704838, ' ': -8.36037, 'No': -3.25356, ' Yes': -5.230304, 'Yes': -8.905234}
{' No': -0.114968725, ' Generally': -6.6705084, 'No': -2.2660613, ' Yes': -7.620319, ' B': -6.091883}
{' No': -0.41670153, '\n': -7.235603, ' ': -7.806729, 'No': -1.0835431, ' A': -7.909839}
{' No': -0.5749062, '\n': -6.375022, ' Generally': -6.580737, 'No': -0.8773278, ' B': -4.2042475}
{' No': -0.18257149, '\n': -6.554254, ' ': -8.154852, 'No': -1.807146, ' no': -8.262567}
{' No': -0.2980964, '\n': -7.3466206, ' ': -8.080703, 'No': -1.3785942, ' B': -5.4963803}
{' No': -0.105707884, '\n': -6.8047047, ' ': -6.1861577, 'No': -5.2437863, ' Yes': -2.4076488}
{' No': -0.018716441, '\n': -7.17739, 'No': -4.9604487, ' Yes': -5.1386847, ' B': -5.679303}
{' No': -0.1069015, '\n': -5.894699, ' ': -6.836509, 'No': -2.352648, ' Yes': -6.976703}
{' No': -0.22644375, '\n': -4.3926845, 'No': -1.7876315, ' Yes': -5.482925, ' B': -4.805362}
{' No': -1.6886054, '\n': -0.925399, ' ': -3.510272, 'No': -3.10538, ' Yes': -1.18172}
{' No': -0.657158, '\n': -1.1431524, 'No': -2.1419528, ' Yes': -4.4594383, ' B': -3.940113}
{' No': -0.04484208, '\n': -6.6170135, 'No': -3.3773253, ' A': -7.274372, ' Yes': -5.095715}
{' No': -0.082104556, '\n': -6.244814, 'No': -2.7884948, ' Yes': -5.914982, ' B': -4.6444917}
{' No': -0.3225872, '\n': -3.2173302, ' ': -5.7874336, 'No': -1.4725868, ' Yes': -6.7607307}
{' No': -0.31505907, '\n': -3.1882584, ' ': -5.810549, 'No': -1.4978821, ' no': -7.216511}
{' No': -0.066674456, '\n': -5.8958077, 'No': -2.9253953, ' A': -6.494795, ' no': -5.536003}
{' No': -0.14642824, '\n': -4.997773, 'No': -2.1899977, ' B': -4.515485, ' no': -6.0594606}
{' No': -0.02907488, '\n': -4.9417887, 'No': -4.894315, ' A': -6.221047, ' Yes': -4.673953}
