{' Generally': -9.161838, ' Yes': -0.0017084321, ' yes': -10.110803, 'Yes': -6.519433, ' In': -11.086627}
{' No': -8.736566, ' ': -9.012599, ' Yes': -0.0027102164, ' yes': -6.973604, 'Yes': -6.614645}
{'\n': -5.881664, ' ': -7.0385027, ' Yes': -0.014186854, ' yes': -7.2878776, 'Yes': -4.669592}
{'\n': -5.0565896, ' ': -6.0548663, ' Yes': -0.026840338, ' yes': -6.8165717, 'Yes': -4.1124134}
{'\n': -6.822677, ' ': -7.1736717, ' Yes': -0.004054979, ' yes': -8.229313, 'Yes': -6.29351}
{'\n': -5.2293396, ' ': -6.4713297, ' Yes': -0.03339808, ' yes': -5.998226, 'Yes': -3.7915728}
{'\n': -8.586801, ' ': -8.135779, ' Yes': -0.011869041, ' yes': -5.747915, 'Yes': -4.8471656}
{'\n': -11.469699, ' Yes': -0.0013544315, ' yes': -10.077951, 'Yes': -6.6946216, ' In': -11.101717}
{' No': -6.673527, ' ': -9.545873, ' Yes': -0.006671865, ' yes': -8.040577, 'Yes': -5.3504825}
{' No': -4.109311, 'No': -7.2311897, ' Yes': -0.033724766, ' yes': -7.3107533, 'Yes': -4.2465982}
{' No': -7.4940906, ' Yes': -0.0018619493, ' yes': -9.810293, 'Yes': -6.8033047, ' In': -10.085831}
{' No': -5.3064413, '\n': -7.794547, 'No': -8.027921, ' Yes': -0.021174438, 'Yes': -4.238667}
{' No': -6.0499654, '\n': -8.992464, ' Yes': -0.009867153, ' yes': -8.427156, 'Yes': -5.021921}
{'\n': -7.990245, ' ': -8.754548, ' Yes': -0.0021264064, ' yes': -7.50657, 'Yes': -6.9655986}
{' No': -5.784899, ' ': -8.108439, ' Yes': -0.010462607, ' yes': -7.2280293, 'Yes': -5.12612}
{'\n': -5.1833816, ' ': -6.226096, ' Yes': -0.024880953, ' yes': -6.819465, 'Yes': -4.172174}
{' No': -4.644476, ' ': -9.456261, ' Yes': -0.011021052, ' yes': -9.286949, 'Yes': -6.80731}
{'\n': -4.909338, ' ': -5.2079782, ' Yes': -0.093945056, ' yes': -5.8284883, 'Yes': -2.6432557}
{' No': -8.12143, ' ': -8.864718, ' Yes': -0.0059806793, ' yes': -6.534964, 'Yes': -5.548755}
{' No': -7.755923, ' ': -9.784128, ' Yes': -0.007628054, ' yes': -6.9369736, 'Yes': -5.125874}
{' No': -3.8135417, 'No': -5.5289955, ' Yes': -0.0892488, ' yes': -4.906191, 'Yes': -2.987278}
{' No': -3.6264277, 'No': -5.8872747, ' Yes': -0.07240414, ' yes': -5.2872972, 'Yes': -3.427249}
{'\n': -8.352152, ' ': -8.853682, ' Yes': -0.0050853617, ' yes': -7.1405087, 'Yes': -5.5709114}
{' No': -3.4528265, ' ': -7.1001115, 'No': -5.3317857, ' Yes': -0.07821557, 'Yes': -3.3244543}
{'\n': -8.36769, ' Yes': -0.044687923, ' yes': -5.124783, 'Yes': -3.320807, 'yes': -6.8012505}
{'\n': -7.2019773, ' ': -6.899901, ' Yes': -0.17561786, ' yes': -1.8608347, 'Yes': -6.085257}
{' No': -5.511186, ' Yes': -0.042217016, ' yes': -4.275158, 'Yes': -3.860656, 'yes': -7.2671375}
{'\n': -4.571537, ' ': -6.087294, ' Yes': -0.08620101, ' yes': -3.6815417, 'Yes': -3.2019787}
{'\n': -6.7578454, ' Yes': -0.01578957, ' yes': -5.2738767, 'Yes': -4.7255077, 'yes': -8.3756695}
{'\n': -3.8827376, ' ': -5.195662, ' Yes': -0.16421679, ' yes': -4.223227, 'Yes': -2.3014753}
{'\n': -6.2305336, ' Yes': -0.0335526, ' yes': -3.8237062, 'Yes': -4.822109, 'yes': -7.518289}
{' No': -8.339869, ' ': -9.379723, ' Yes': -0.0031838617, ' yes': -6.427555, 'Yes': -6.7895355}
{'\n': -6.000889, ' ': -7.914621, ' Yes': -0.013527008, ' yes': -7.160299, 'Yes': -4.645141}
{'\n': -5.316244, ' ': -6.733343, ' Yes': -0.0277312, ' yes': -6.504616, 'Yes': -3.9517403}
{'\n': -7.5420732, ' ': -8.014138, ' Yes': -0.0034346746, ' yes': -8.114589, 'Yes': -6.125767}
{'\n': -5.3138723, ' ': -6.9399652, ' Yes': -0.050517138, ' yes': -5.7046537, 'Yes': -3.2456656}
{'\n': -8.515716, ' Yes': -0.01716458, ' yes': -5.0476265, 'Yes': -4.621519, 'yes': -8.185155}
{' No': -9.555629, '\n': -9.670926, ' Yes': -0.002353114, ' yes': -9.756153, 'Yes': -6.181435}
{' No': -4.007163, 'No': -7.980636, ' Yes': -0.02649037, ' yes': -8.124835, 'Yes': -5.041514}
{' No': -4.8532186, '\n': -8.032002, ' Yes': -0.023493236, ' yes': -7.5414276, 'Yes': -4.286711}
{' No': -4.06221, 'No': -8.93317, ' Yes': -0.020447064, ' yes': -9.5511465, 'Yes': -5.9863772}
{' No': -0.99742615, '\n': -6.827867, 'No': -3.7948925, ' Yes': -0.5243694, 'Yes': -4.368581}
{' No': -6.6116333, ' ': -9.465612, ' Yes': -0.009000651, ' yes': -8.52423, 'Yes': -4.9503493}
{' No': -7.0179334, ' ': -8.327565, ' Yes': -0.0030602708, ' yes': -7.2736726, 'Yes': -6.959159}
{' No': -5.486626, '\n': -8.365365, ' Yes': -0.012438535, ' yes': -7.303768, 'Yes': -4.9703183}
{'\n': -5.2754245, ' ': -6.558165, ' Yes': -0.023822248, ' yes': -6.9955797, 'Yes': -4.1809607}
{' No': -5.0417747, ' ': -9.462431, ' Yes': -0.007940346, ' yes': -9.012463, 'Yes': -6.727567}
{' No': -2.8955898, '\n': -4.7007737, 'No': -5.2171283, ' Yes': -0.14130414, 'Yes': -2.94183}
{' No': -7.4491277, ' ': -9.278326, ' Yes': -0.0068556727, ' yes': -6.0466347, 'Yes': -5.611176}
{' No': -6.435637, ' Yes': -0.010790202, ' yes': -7.271927, 'Yes': -4.8116302, ' It': -9.670977}
{' No': -2.2280848, 'No': -4.1566906, ' Yes': -0.19409974, ' yes': -5.6033115, 'Yes': -3.048443}
{' No': -2.764162, 'No': -5.515377, ' Yes': -0.10145758, ' yes': -6.091758, 'Yes': -3.6776695}
{' No': -1.5660137, ' ': -7.2815495, 'No': -5.5491066, ' Yes': -0.25103992, 'Yes': -4.908322}
{' No': -0.60667455, ' ': -6.769148, 'No': -2.1829684, ' Yes': -1.1467212, 'Yes': -3.8513775}
{'\n': -7.657235, ' Yes': -0.0698537, ' yes': -6.583958, 'Yes': -2.7370634, 'yes': -7.875758}
{' No': -6.9718256, ' ': -6.8000517, ' Yes': -0.13800547, ' yes': -2.100072, 'Yes': -5.7601805}
{' No': -6.2296276, '\n': -7.4208274, ' Yes': -0.03401209, ' yes': -4.627842, 'Yes': -3.9070225}
{' No': -4.888157, '\n': -4.616589, ' Yes': -0.082464635, ' yes': -4.008303, 'Yes': -3.2286668}
{'\n': -7.157344, ' ': -8.281262, ' Yes': -0.015622564, ' yes': -5.4642763, 'Yes': -4.6091666}
{' No': -2.2044444, 'No': -3.8939795, ' Yes': -0.2898269, ' yes': -3.849728, 'Yes': -2.6490302}
{' No': -8.0977, '\n': -7.114782, ' Yes': -0.02716256, ' yes': -3.9063318, 'Yes': -5.2894874}
{' No': -3.7393055, ' ': -8.696199, ' Yes': -0.027147617, ' yes': -6.796051, 'Yes': -6.5257707}
{' No': -4.288549, '\n': -5.3846197, ' Yes': -0.031724326, ' yes': -7.1662965, 'Yes': -4.5005083}
{' No': -6.5075207, '\n': -5.6753025, ' ': -6.9592857, ' Yes': -0.021934874, 'Yes': -4.2222366}
{' No': -7.542097, '\n': -7.9159966, ' Yes': -0.0033630247, ' yes': -8.203857, 'Yes': -6.2570724}
{' No': -3.6076648, '\n': -5.0054445, ' Yes': -0.06521289, ' yes': -6.1603837, 'Yes': -3.7182698}
{' No': -8.281226, ' ': -8.837875, ' Yes': -0.0144819245, ' yes': -5.199321, 'Yes': -4.817006}
{' No': -1.0463587, 'No': -5.9270043, ' Yes': -0.4418836, 'Yes': -6.267643, ' It': -7.75957}
{' No': -1.2044393, 'No': -4.984055, ' Yes': -0.37850395, 'Yes': -5.102946, ' It': -7.270267}
{' No': -0.6919609, '\n': -6.479272, 'No': -3.9263792, ' Yes': -0.760839, 'Yes': -4.7559805}
{' No': -1.1198761, 'No': -6.1722846, ' Yes': -0.40378112, 'Yes': -6.484826, ' It': -7.6608505}
{' No': -0.32695094, '\n': -6.0521436, 'No': -3.1526458, ' Yes': -1.4898785, 'Yes': -5.328543}
{' No': -2.25654, 'No': -5.791616, ' Yes': -0.12571688, ' yes': -7.666507, 'Yes': -4.8612056}
{' No': -0.022240039, '\n': -6.729523, ' ': -7.391756, 'No': -6.593746, ' Yes': -3.9921935}
{' No': -0.6402841, ' ': -7.3794913, 'No': -5.0732675, ' Yes': -0.7732778, 'Yes': -5.8093}
{' No': -0.08649823, '\n': -4.737537, ' ': -5.8936596, 'No': -3.9247336, ' Yes': -2.998556}
{' No': -0.08208606, ' ': -8.372947, 'No': -6.2407637, ' Yes': -2.5743687, 'Yes': -9.020135}
{' No': -0.13622712, '\n': -4.640469, ' ': -5.0301766, 'No': -2.3325808, ' Yes': -4.47411}
{' No': -3.4917562, 'No': -8.091018, ' Yes': -0.037738595, ' yes': -6.147236, 'Yes': -5.694273}
{' No': -0.23322865, 'No': -3.868494, ' Yes': -1.6981009, ' yes': -6.9789057, 'Yes': -6.230819}
{' No': -0.34046438, 'No': -1.9170693, ' Yes': -2.0822227, ' yes': -6.0984426, 'Yes': -4.472712}
{' No': -0.95421684, 'No': -3.3292034, ' Yes': -0.61537254, ' yes': -5.253081, 'Yes': -3.5905905}
{' No': -3.9118123, '\n': -6.6400814, ' Yes': -0.030745327, ' yes': -6.746109, 'Yes': -4.953221}
{' No': -0.2656491, '\n': -7.292212, 'No': -1.6774417, ' Yes': -3.1876593, 'Yes': -5.717965}
{' No': -1.192908, 'No': -0.6685417, ' Yes': -2.0516593, 'D': -5.6300473, 'Yes': -3.0882995}
{' No': -1.7951721, ' ': -5.552893, ' Yes': -0.3433212, ' yes': -2.22942, ' no': -4.8330293}
{' No': -0.63869196, 'No': -4.1206255, ' Yes': -0.82482255, ' yes': -5.1656523, 'Yes': -4.907872}
{' No': -1.1985974, '\n': -3.1692128, 'No': -3.77693, ' Yes': -0.554047, 'Yes': -3.533291}
{' No': -1.3275883, '\n': -5.488166, 'No': -5.393689, ' Yes': -0.3360206, 'Yes': -5.110442}
{' No': -0.31784827, '\n': -3.62889, ' ': -5.0021286, 'No': -1.7377607, ' Yes': -3.0591524}
{' No': -3.0801713, '\n': -6.375182, ' Yes': -0.082429886, ' yes': -3.751299, 'Yes': -5.2234135}
{' No': -0.09731435, '\n': -7.425597, ' ': -7.6786904, 'No': -6.285149, ' Yes': -2.419828}
{' No': -1.1780087, '\n': -5.042297, 'No': -5.0981417, ' Yes': -0.40185696, 'Yes': -4.88516}
{' No': -2.6149037, '\n': -5.0836787, 'No': -6.216428, ' Yes': -0.106618315, 'Yes': -4.1565394}
{' No': -1.3278867, '\n': -5.5579967, ' ': -5.9991107, ' Yes': -0.32103735, 'Yes': -6.4845157}
{' No': -0.1031606, '\n': -4.7026877, ' ': -5.9183455, 'No': -3.2802274, ' Yes': -3.0914338}
{' No': -4.661669, ' Yes': -0.027692415, ' yes': -4.9205165, 'Yes': -4.659776, 'yes': -8.291602}
{' No': -10.788366, '\n': -10.619286, ' Yes': -0.0019211895, ' yes': -10.145403, 'Yes': -6.318732}
{' No': -4.547991, 'No': -8.340953, ' Yes': -0.020187574, ' yes': -8.127888, 'Yes': -4.7739086}
{' No': -4.9879174, ' ': -8.164114, ' Yes': -0.021803403, ' yes': -7.4826126, 'Yes': -4.3233476}
{' No': -5.564761, 'No': -10.80164, ' Yes': -0.005529325, ' yes': -9.535809, 'Yes': -6.4870634}
{' No': -2.082942, '\n': -6.5705214, 'No': -4.757888, ' Yes': -0.16818896, 'Yes': -3.9557638}
{' No': -7.9023657, ' ': -9.516315, ' Yes': -0.008185382, ' yes': -8.32456, 'Yes': -4.921422}
{'\n': -8.519812, ' ': -8.662627, ' Yes': -0.0013629065, ' yes': -8.125523, 'Yes': -7.3291554}
{' No': -7.364952, ' ': -8.198057, ' Yes': -0.0073225736, ' yes': -7.7143383, 'Yes': -5.1803246}
{'\n': -5.3351154, ' ': -6.4453773, ' Yes': -0.022146495, ' yes': -6.9175887, 'Yes': -4.259192}
{' No': -6.743429, ' ': -10.108496, ' Yes': -0.0021195365, ' yes': -9.018873, 'Yes': -7.1817627}
{' No': -4.8535237, '\n': -4.9596725, ' ': -5.234134, ' Yes': -0.081158206, 'Yes': -2.9631867}
{' No': -9.07963, ' ': -9.197412, ' Yes': -0.00479263, ' yes': -6.279266, 'Yes': -5.9527316}
{' No': -9.585016, ' Yes': -0.010137229, ' yes': -6.7056804, 'Yes': -4.750938, 'yes': -9.609109}
{' No': -4.7788477, 'No': -6.5633874, ' Yes': -0.07295915, ' yes': -5.872227, 'Yes': -2.8753786}
{' No': -5.8787518, '\n': -7.685802, ' Yes': -0.037569936, ' yes': -5.817187, 'Yes': -3.5231638}
{' No': -5.7262783, '\n': -7.542963, ' Yes': -0.0139985485, ' yes': -7.7602005, 'Yes': -4.677775}
{' No': -2.484876, ' ': -7.458122, 'No': -4.5951166, ' Yes': -0.1414597, 'Yes': -3.3008509}
{'\n': -8.418192, ' Yes': -0.35602558, ' yes': -3.9826696, 'Yes': -1.3768902, 'yes': -3.5810773}
{' ': -6.391241, ' Yes': -0.27714732, ' yes': -1.4384136, 'Yes': -6.3565416, 'yes': -7.3141766}
{'\n': -7.473284, ' ': -7.6069984, ' Yes': -0.035387587, ' yes': -4.301583, 'Yes': -3.9319274}
{'\n': -4.6043334, ' ': -6.0882025, ' Yes': -0.09420948, ' yes': -3.4561248, 'Yes': -3.130636}
{'\n': -7.6038947, ' ': -8.320897, ' Yes': -0.0132994475, ' yes': -5.5259414, 'Yes': -4.7957067}
{'\n': -4.0455503, ' Yes': -0.1707821, ' yes': -3.3711777, 'Yes': -2.3959465, 'yes': -5.2670765}
{'\n': -7.2994704, ' ': -7.9808326, ' Yes': -0.02672542, ' yes': -3.911125, 'Yes': -5.306623}
{' No': -8.819652, '\n': -8.74291, ' Yes': -0.0029291697, ' yes': -6.8230867, 'Yes': -6.64754}
{' No': -7.264843, '\n': -5.8287683, ' Yes': -0.015369768, ' yes': -7.067639, 'Yes': -4.607922}
{'\n': -5.1435113, ' ': -6.4846005, ' Yes': -0.023732038, ' yes': -6.5765195, 'Yes': -4.244721}
{'\n': -7.6757846, ' ': -7.8925095, ' Yes': -0.0028899538, ' yes': -8.276054, 'Yes': -6.444348}
{' No': -6.1672783, '\n': -5.0073004, ' Yes': -0.035577003, ' yes': -5.8869953, 'Yes': -3.846692}
{'\n': -8.44647, ' ': -8.240874, ' Yes': -0.013631476, ' yes': -5.6220355, 'Yes': -4.7017946}
{' No': -2.6777282, ' Not': -2.0614102, ' Generally': -2.4541774, ' Yes': -0.6449999, ' It': -2.491468}
{' No': -1.5830541, ' Not': -1.9816519, ' Generally': -2.959702, ' Yes': -0.9101988, ' Most': -2.66705}
{' No': -0.7244234, ' Not': -2.3466752, 'No': -3.186324, ' Yes': -1.5604753, ' It': -3.2788992}
{' No': -1.9178176, ' Not': -2.254064, ' Usually': -2.5385585, ' Generally': -1.9223533, ' Yes': -1.1049037}
{' No': -0.73098105, ' Not': -2.0434427, ' Generally': -2.4382584, ' Yes': -2.3589852, ' It': -2.6644468}
{' No': -0.647815, ' Not': -2.8630173, ' Usually': -3.2972176, ' Generally': -2.338052, ' Yes': -1.7076371}
{' No': -0.9927908, ' Not': -2.3444622, ' Generally': -2.1028066, ' Yes': -2.3795114, ' Most': -2.4587407}
{' No': -1.2239445, ' Generally': -3.1096215, ' Yes': -0.62574834, ' Most': -3.7313888, ' It': -3.3659081}
{' No': -3.1096923, '\n': -3.4626377, ' Generally': -5.1305923, ' Yes': -0.1190635, 'Yes': -4.1855035}
{' No': -1.0651398, ' Not': -2.8832376, ' Usually': -2.3640535, ' Generally': -1.5563525, ' Most': -1.9836539}
{' No': -0.4216907, '\n': -3.219233, ' ': -4.273558, 'No': -2.1353843, ' Yes': -2.0217252}
{' No': -1.4853626, ' Usually': -3.6794982, ' Generally': -2.871612, ' Yes': -0.4894197, ' Most': -3.614641}
{' No': -0.48886168, ' Not': -1.7616545, ' Generally': -3.10266, ' Yes': -2.5266807, ' It': -3.7115276}
{' No': -0.4579194, ' Not': -3.1843865, 'No': -2.0014489, ' Yes': -1.9506658, ' It': -4.349076}
{' No': -0.57504696, ' Not': -3.1959767, 'No': -2.381905, ' Yes': -1.4010358, ' It': -4.223293}
{' No': -0.13210692, ' Not': -5.4248066, ' Generally': -6.4373584, 'No': -4.4355583, ' Yes': -2.2995396}
{' No': -0.6460092, ' Generally': -4.3965607, 'No': -1.8590752, ' Yes': -1.2990377, 'Yes': -4.2671313}
{' No': -1.4037075, 'No': -3.9303873, ' Yes': -0.35052878, ' yes': -5.0847187, 'Yes': -4.3486233}
{' No': -1.3621837, ' Usually': -2.9058287, '\n': -2.6680853, ' Generally': -3.185937, ' Yes': -0.92530936}
{' No': -0.90756524, ' Usually': -2.8967543, ' Generally': -2.4003937, ' Yes': -1.7442715, ' Most': -2.4141495}
{' No': -0.889562, '\n': -1.8978647, ' Generally': -3.6689951, 'No': -2.653087, ' Yes': -1.2715353}
{' No': -1.1114157, ' Usually': -2.5246353, ' Generally': -2.4963434, ' Yes': -1.8860415, ' Most': -1.865446}
{' No': -0.4723366, '\n': -2.809738, ' ': -4.482922, 'No': -1.5714635, ' Yes': -2.7678125}
{' No': -2.9679155, '\n': -2.9990816, ' Generally': -3.2195978, ' Yes': -0.27391547, ' Most': -3.7456143}
{' No': -1.5134265, ' Usually': -3.103917, ' Generally': -2.5744655, ' Yes': -0.72977334, ' Most': -2.9146733}
{' No': -2.6686602, '\n': -2.4558895, ' Generally': -2.879786, ' Yes': -0.39715078, ' Most': -3.4067006}
{' No': -3.56344, '\n': -3.4799228, ' Generally': -4.4813304, ' Yes': -0.110437, 'Yes': -4.3013473}
{' No': -1.0460578, ' Usually': -3.0545778, ' Generally': -2.1335, ' Yes': -1.019, ' Most': -3.3789415}
{' No': -0.47782597, '\n': -2.0418556, ' Generally': -4.3104267, 'No': -2.6749694, ' Yes': -2.0309362}
{' No': -2.8913674, ' Usually': -4.759984, '\n': -4.6487994, ' Generally': -4.0382004, ' Yes': -0.13195083}
{' No': -0.40435064, ' Generally': -6.0261154, 'No': -4.8384194, ' Yes': -1.1620277, ' It': -6.1298556}
{' No': -0.06547709, ' Generally': -7.3620353, 'No': -3.6248567, ' Yes': -3.4813552, ' It': -6.614184}
{' No': -0.07264966, '\n': -6.2972507, ' ': -7.15102, 'No': -2.869616, ' Yes': -4.7250295}
{' No': -0.016369164, ' Generally': -8.599868, 'No': -4.8073025, ' Yes': -4.976992, ' It': -8.762197}
{' No': -0.09182883, ' Not': -5.456353, '\n': -6.377139, 'No': -2.5821185, ' Yes': -5.878316}
{' No': -0.080137305, '\n': -7.0292115, ' Generally': -7.2476373, 'No': -3.3421383, ' Yes': -3.3044374}
{' No': -0.029664319, '\n': -6.164834, ' ': -7.0645294, 'No': -6.4803686, ' Yes': -3.7411892}
{' No': -0.023903377, '\n': -7.6445894, ' ': -7.6770287, 'No': -4.230496, ' Yes': -4.9063134}
{' No': -0.2510213, '\n': -4.171765, 'No': -3.7510347, ' Yes': -1.747489, 'Yes': -5.56773}
{' No': -0.0031142037, ' Not': -10.64187, ' ': -9.252994, 'No': -5.8764243, ' Yes': -9.825875}
{' No': -0.14180267, '\n': -4.53958, ' ': -5.2300625, 'No': -2.1842487, ' Yes': -6.5134645}
{' No': -0.079813115, '\n': -7.6096153, ' ': -7.663003, 'No': -4.5577197, ' Yes': -2.7640631}
{' No': -0.051850595, ' Not': -5.0213194, 'No': -3.1947336, ' Yes': -6.4498816, ' It': -7.9356484}
{' No': -0.23904866, ' ': -6.8562675, 'No': -1.6007048, ' Yes': -5.126301, ' no': -6.95629}
{' No': -0.15172276, '\n': -6.7961826, ' ': -6.8287835, 'No': -2.1004531, ' Yes': -4.3195043}
{' No': -0.03081626, '\n': -7.2255087, ' ': -7.405057, 'No': -3.610427, ' Yes': -6.4277253}
{' No': -0.34421644, ' Not': -6.929007, 'No': -1.2553169, ' Yes': -6.1419983, ' It': -7.1572237}
{' No': -0.32395473, '\n': -6.105571, 'No': -2.1001198, ' Yes': -1.9714347, 'Yes': -4.6116705}
{' No': -0.13446066, 'No': -5.4085627, ' Yes': -3.2736528, ' yes': -5.1517954, ' no': -2.6738033}
{' No': -0.07275061, '\n': -7.0226345, 'No': -3.0330374, ' Yes': -4.0693307, ' no': -6.611875}
{' No': -0.1318078, '\n': -4.404864, 'No': -2.3543515, ' Yes': -4.648497, ' no': -5.8761253}
{' No': -0.04568949, '\n': -5.6106176, 'No': -3.7503076, ' Yes': -4.2034307, ' no': -6.742406}
{' No': -0.2528203, '\n': -4.093471, ' ': -5.234815, 'No': -1.6653378, ' no': -5.0652437}
{' No': -0.5342115, '\n': -4.5067344, 'No': -4.578654, ' Yes': -0.9998736, ' yes': -4.3400187}
{' False': -8.309412, ' No': -0.0043110396, 'No': -6.127117, ' Yes': -6.8737965, ' no': -8.113768}
{' No': -0.030850256, '\n': -5.302726, ' ': -7.6952076, 'No': -3.907416, ' Yes': -5.4097924}
{' No': -0.06831793, '\n': -4.9111123, ' ': -6.524696, 'No': -3.7161944, ' Yes': -3.4539416}
{' No': -0.005008323, '\n': -7.5759172, ' ': -8.003585, 'No': -5.600246, ' Yes': -8.040622}
{' No': -0.0630419, '\n': -4.595846, ' ': -6.192987, 'No': -3.0775092, ' Yes': -6.2924013}
{' No': -0.072672926, '\n': -7.2825155, 'No': -4.1650243, ' Yes': -2.9697866, ' no': -7.30565}
{' No': -0.05866401, '\n': -8.1794615, 'No': -4.9780364, ' Yes': -3.0376585, ' It': -7.309464}
{' No': -0.046844818, ' ': -7.9750323, 'No': -3.634634, ' Yes': -4.0524178, ' It': -7.979548}
{' No': -0.052276943, '\n': -6.433177, ' ': -7.176245, 'No': -3.4318774, ' Yes': -4.188299}
{' No': -0.013489371, 'No': -4.56641, ' Yes': -6.2572904, ' The': -8.055861, ' E': -8.690538}
{' No': -0.06533639, '\n': -6.3971806, ' Generally': -7.0132236, 'No': -3.0915716, ' Yes': -4.395666}
{' No': -0.048356026, '\n': -7.9355874, 'No': -3.4971778, ' Yes': -4.2451315, ' The': -7.6388135}
{' No': -0.006476151, '\n': -7.369173, ' ': -8.130851, 'No': -6.717896, ' Yes': -5.544092}
{' No': -0.016527373, '\n': -8.010668, ' ': -8.052579, 'No': -4.6117306, ' Yes': -5.229393}
{' No': -0.026445081, '\n': -5.6349745, ' ': -6.7636504, 'No': -4.078834, ' Yes': -5.562652}
{' No': -0.003007481, ' ': -9.311494, 'No': -5.9612665, ' Yes': -8.514634, ' The': -9.988206}
{' No': -0.09384966, '\n': -4.924056, ' ': -5.3896775, 'No': -2.616034, ' Yes': -5.8551197}
{' No': -0.017143358, 'No': -4.457264, ' Yes': -5.5564666, ' The': -7.696438, ' no': -8.046759}
{' No': -0.030489607, '\n': -8.721079, 'No': -3.602276, ' Yes': -6.433818, ' no': -7.523989}
{' No': -0.20476034, 'No': -1.7123648, ' Yes': -6.447494, 'no': -7.603025, ' no': -6.5014343}
{' No': -0.1432788, '\n': -6.9708233, 'No': -2.6757588, ' Yes': -2.8401306, 'Yes': -5.8257465}
{' No': -0.10633069, '\n': -6.843758, 'No': -4.4391, ' Yes': -2.452921, 'Yes': -6.8735695}
{' No': -0.11930336, ' ': -7.991957, 'No': -2.2651734, ' Yes': -4.938399, 'Yes': -7.9827805}
{' No': -0.58437115, 'No': -0.82367843, ' Yes': -7.707203, 'E': -7.1886454, 'e': -7.206928}
{' No': -0.046481352, ' ': -6.1313043, 'No': -5.748592, ' Yes': -5.7701697, ' no': -3.3610716}
{' No': -0.031415395, '\n': -6.968417, 'No': -3.7058022, ' Yes': -5.8133097, ' no': -6.562092}
{' No': -0.087705694, '\n': -4.5444813, 'No': -2.7945137, ' Yes': -5.360861, ' no': -5.4180603}
{' No': -0.02389373, '\n': -5.969166, ' ': -7.3106976, 'No': -3.986723, ' no': -7.0536017}
{' No': -0.18485814, '\n': -4.335049, ' ': -5.7466655, 'No': -1.9396149, ' no': -5.5046697}
{' No': -0.031349342, '\n': -6.0108914, 'No': -4.267927, ' Yes': -5.063425, ' no': -5.177929}
{' No': -0.01487399, '\n': -7.814873, 'No': -6.1978626, ' Yes': -4.4650903, ' no': -8.188712}
{' No': -0.025313921, '\n': -5.429872, ' ': -7.034826, 'No': -4.09995, ' Yes': -5.9301467}
{' No': -0.03424861, '\n': -5.492111, ' ': -6.904738, 'No': -3.806286, ' Yes': -5.188204}
{' No': -0.010545552, '\n': -6.5772777, ' ': -7.035846, 'No': -5.5726986, ' Yes': -5.4789467}
{' No': -0.055695087, '\n': -5.133837, ' ': -6.351539, 'No': -3.2059674, ' Yes': -5.3233}
{' No': -0.22380394, 'No': -4.4206824, ' Yes': -1.7002654, ' yes': -6.7550063, 'Yes': -6.2902503}
{' No': -8.968082, '\n': -10.124764, ' Yes': -0.0023513231, ' yes': -9.968406, 'Yes': -6.1757917}
{' No': -4.6166606, 'No': -8.375055, ' Yes': -0.019633897, ' yes': -8.184957, 'Yes': -4.749269}
{' No': -3.962059, 'No': -7.702485, ' Yes': -0.0317787, ' yes': -7.726591, 'Yes': -4.529303}
{' No': -4.6283283, 'No': -9.818514, ' Yes': -0.011909637, ' yes': -9.382094, 'Yes': -6.3188324}
{' No': -2.8324645, '\n': -5.952656, 'No': -5.616698, ' Yes': -0.09108216, 'Yes': -3.8908298}
{' No': -7.025288, '\n': -9.147729, ' Yes': -0.00990893, ' yes': -8.118143, 'Yes': -4.795965}
{' No': -8.320338, '\n': -8.548317, ' Yes': -0.0017508236, ' yes': -7.9214664, 'Yes': -7.1183524}
{' No': -5.9569616, '\n': -8.189261, ' Yes': -0.009543835, ' yes': -7.515351, 'Yes': -5.164918}
{'\n': -5.3861837, ' ': -6.5906973, ' Yes': -0.021710815, ' yes': -7.080378, 'Yes': -4.2658052}
{' No': -6.95142, ' ': -10.123591, ' Yes': -0.002098094, ' yes': -9.103343, 'Yes': -6.944137}
{' No': -4.022359, '\n': -4.5636854, ' ': -5.0155888, ' Yes': -0.09893907, 'Yes': -2.9525976}
{' No': -7.4462376, ' ': -9.341777, ' Yes': -0.005213335, ' yes': -6.39089, 'Yes': -5.9068623}
{' No': -8.112637, ' Yes': -0.012675982, ' yes': -6.5191436, 'Yes': -4.543271, 'yes': -9.31765}
{' No': -3.3013456, 'No': -5.2085037, ' Yes': -0.11487217, ' yes': -5.504259, 'Yes': -2.8049068}
{' No': -4.8210483, 'No': -7.5672693, ' Yes': -0.041999616, ' yes': -5.8676853, 'Yes': -3.554794}
{' No': -4.19593, '\n': -7.6445065, ' Yes': -0.029582968, ' yes': -7.065281, 'Yes': -4.4271502}
{' No': -0.9601465, ' ': -6.9236274, 'No': -2.8346448, ' Yes': -0.6425787, 'Yes': -3.517428}
{' No': -6.6317043, ' Yes': -0.23688944, ' yes': -4.3891454, 'Yes': -1.7215447, 'yes': -4.112311}
{' ': -6.6233335, ' Yes': -0.26765957, ' yes': -1.4699091, 'Yes': -6.3821034, 'yes': -7.348149}
{' No': -7.6656733, '\n': -7.5692534, ' Yes': -0.023067217, ' yes': -4.9542747, 'Yes': -4.264135}
